	530167	31452	S30H1	31723	530050	31749	F29H1	530364	s24H1	31232	S13Hp	530394	S11Hp	31236	31112	s26pp	530295	31450	530258	31519	31537	530227	31637	s6pp	s20pp	S28Hp	S6Hp	F16H1	s21pp	s1pp	31557	31328	31750	31021	S25Hp
530167	0.0	0.2775559949967728	0.2535187380271749	0.17277521879040847	0.19586478114871383	0.3265370715215417	0.21621627017261666	0.24785386368586396	0.2724081829743207	0.2939413368614715	0.252171461242186	0.2140612817951582	0.28346858930514296	0.20776903347829018	0.3092760512489741	0.31600643527528544	0.2640480238392473	0.2281390441370207	0.29890365626234183	0.3024231363625998	0.27431255855056663	0.3366859565392799	0.3394208979947024	0.3403924216432474	0.3502132422075917	0.38394995146378025	0.1799861407694863	0.27113749178572044	0.28870559332163126	0.34435846852332824	0.3301960093431107	0.2131906907926754	0.17963389932928406	0.09276736163652638	0.1681423933225203
31452	0.2775559949967728	0.0	0.20460648067802295	0.16922221065908366	0.1963812168552035	0.34228387520272086	0.23196307385379583	0.26360066736704313	0.2881549866554999	0.3096881405426507	0.2893658622959636	0.25125568284893585	0.32066299035892054	0.2449634345320678	0.3574590912612152	0.36418947528752654	0.3122310638514884	0.27632208414926185	0.34708669627458294	0.3506061763748409	0.32249559856280774	0.384868996551521	0.3876039380069435	0.3885754616554885	0.3983962822198328	0.43213299147602136	0.22816918078172743	0.3193205317979616	0.33688863333387237	0.39254150853556935	0.3783790493553518	0.26137373080491655	0.2551885562754903	0.26102622700779854	0.33640125869379245
S30H1	0.2535187380271749	0.20460648067802295	0.0	0.1451849536894858	0.17234395988560564	0.318246618233123	0.20792581688419798	0.23956341039744528	0.26411772968590197	0.2856508835730528	0.2653286053263657	0.22721842587933794	0.29662573338932263	0.2209261775624699	0.3334218342916173	0.3401522183179287	0.28819380688189056	0.25228482717966394	0.3230494393049851	0.3265689194052431	0.29845834159320983	0.36083173958192316	0.3635666810373456	0.3645382046858906	0.37435902525023496	0.40809573450642345	0.20413192381212955	0.2952832748283637	0.3128513763642745	0.36850425156597144	0.3543417923857539	0.23733647383531867	0.2311512993058924	0.23698897003820069	0.3123640017241946
31723	0.17277521879040847	0.16922221065908366	0.1451849536894858	0.0	0.09160044064883921	0.23750309899635655	0.12718229764743152	0.15881989116067885	0.18337421044913554	0.20490736433628637	0.18458508608959928	0.1464749066425715	0.21588221415255623	0.14018265832570348	0.2526783150548509	0.25940869908116226	0.20745028764512408	0.17154130794289751	0.2423059200682186	0.24582540016847665	0.2177148223564434	0.2800882203451567	0.28282316180057915	0.2837946854491242	0.29361550601346853	0.327352215269657	0.12338840457536311	0.21453975559159727	0.23210785712750803	0.287760732329205	0.2735982731489875	0.15659295459855221	0.15040778006912597	0.15624545080143426	0.23162048248742817
530050	0.19586478114871383	0.1963812168552035	0.17234395988560564	0.09160044064883921	0.0	0.2605926613546619	0.1502718600057369	0.1819094535189842	0.2064637728074409	0.22799692669459173	0.20767464844790462	0.16956446900087685	0.2389717765108616	0.16327222068400882	0.2757678774131562	0.2824982614394676	0.23053985000342944	0.19463087030120288	0.265395482426524	0.268914962526782	0.24080438471474877	0.3031777827034621	0.3059127241588845	0.3068842478074295	0.31670506837177387	0.35044177762796236	0.14647796693366846	0.2376293179499026	0.2551974194858134	0.31085029468751035	0.29668783550729283	0.17968251695685758	0.17349734242743134	0.17933501315973963	0.25471004484573356
31749	0.3265370715215417	0.34228387520272086	0.318246618233123	0.23750309899635655	0.2605926613546619	0.0	0.19127207363764917	0.2688943274517739	0.312737268552551	0.33427042243970184	0.3383469388207325	0.30023675937370475	0.36964406688368945	0.2939445110568367	0.40644016778598413	0.41317055181229545	0.3612121403762573	0.32530316067403076	0.39606777279935185	0.39958725289960983	0.37147667508757665	0.4338500730762899	0.4365850145317124	0.4375565381802574	0.4473773587446017	0.48111406800079026	0.27715025730649634	0.3683016083227305	0.3858697098586413	0.44152258506033826	0.42736012588012073	0.31035480732968546	0.3041696328002592	0.31000730353256745	0.38538233521856136
F29H1	0.21621627017261666	0.23196307385379583	0.20792581688419798	0.12718229764743152	0.1502718600057369	0.19127207363764917	0.0	0.15857352610284886	0.20241646720362602	0.22394962109077685	0.22802613747180744	0.18991595802477967	0.2593232655347644	0.18362370970791164	0.29611936643705905	0.3028497504633704	0.2508913390273323	0.2149823593251057	0.2857469714504268	0.2892664515506848	0.26115587373865157	0.3235292717273649	0.3262642131827873	0.32723573683133234	0.3370565573956767	0.3707932666518652	0.1668294559575713	0.25798080697380543	0.27554890850971625	0.3312017837114132	0.31703932453119565	0.2000340059807604	0.19384883145133416	0.19968650218364245	0.2750615338696364
530364	0.24785386368586396	0.26360066736704313	0.23956341039744528	0.15881989116067885	0.1819094535189842	0.2688943274517739	0.15857352610284886	0.0	0.23405406071687335	0.25558721460402417	0.2596637309850548	0.221553551538027	0.2909608590480117	0.21526130322115897	0.3277569599503064	0.3344873439766177	0.2825289325405796	0.24661995283835303	0.3173845649636741	0.3209040450639321	0.2927934672518989	0.3551668652406122	0.35790180669603466	0.3588733303445797	0.368694150908924	0.40243086016511254	0.1984670494708186	0.2896184004870528	0.30718650202296355	0.36283937722466053	0.348676918044443	0.23167159949400773	0.2254864249645815	0.23132409569688975	0.30669912738288363
s24H1	0.2724081829743207	0.2881549866554999	0.26411772968590197	0.18337421044913554	0.2064637728074409	0.312737268552551	0.20241646720362602	0.23405406071687335	0.0	0.1712884778679492	0.2842180502735115	0.24610787082648372	0.31551517833646847	0.2398156225096157	0.35231127923876315	0.3590416632650745	0.3070832518290363	0.2711742721268098	0.3419388842521308	0.34545836435238886	0.31734778654035567	0.3797211845290689	0.38245612598449136	0.38342764963303644	0.39324847019738074	0.4269851794535693	0.22302136875927533	0.3141727197755095	0.33174082131142024	0.3873936965131172	0.37323123733289976	0.2562259187824645	0.2500407442530382	0.25587841498534647	0.3312534466713404
31232	0.2939413368614715	0.3096881405426507	0.2856508835730528	0.20490736433628637	0.22799692669459173	0.33427042243970184	0.22394962109077685	0.25558721460402417	0.1712884778679492	0.0	0.3057512041606623	0.26764102471363455	0.3370483322236193	0.2613487763967665	0.373844433125914	0.3805748171522253	0.3286164057161871	0.2927074260139606	0.36347203813928164	0.3669915182395397	0.3388809404275065	0.4012543384162197	0.4039892798716422	0.40496080352018726	0.41478162408453156	0.4485183333407201	0.24455452264642616	0.3357058736626603	0.35327397519857107	0.40892685040026805	0.3947643912200506	0.2777590726696153	0.271573898140189	0.27741156887249724	0.3527866005584912
S13Hp	0.252171461242186	0.2893658622959636	0.2653286053263657	0.18458508608959928	0.20767464844790462	0.3383469388207325	0.22802613747180744	0.2596637309850548	0.2842180502735115	0.3057512041606623	0.0	0.14078524865428604	0.21019255616427077	0.1914142482837901	0.3320745575066284	0.3388049415329398	0.28684653009690164	0.250937550394675	0.32170216251999617	0.32522164262025416	0.2971110648082209	0.35948446279693425	0.36221940425235666	0.3631909279009017	0.37301174846524604	0.40674845772143453	0.20278464702714064	0.2939359980433748	0.3115040995792856	0.3671569747809825	0.352994515600765	0.23598919705032975	0.22980402252090348	0.23564169325321177	0.3110167249392057
530394	0.2140612817951582	0.25125568284893585	0.22721842587933794	0.1464749066425715	0.16956446900087685	0.30023675937370475	0.18991595802477967	0.221553551538027	0.24610787082648372	0.26764102471363455	0.14078524865428604	0.0	0.08494575279717466	0.15330406883676234	0.29396437805960063	0.300694762085912	0.24873635064987382	0.21282737094764725	0.28359198307296835	0.2871114631732264	0.25900088536119314	0.3213742833499064	0.3241092248053289	0.3250807484538739	0.33490156901821827	0.36863827827440676	0.16467446758011284	0.255825818596347	0.2733939201322578	0.32904679533395476	0.31488433615373723	0.19787901760330195	0.1916938430738757	0.197531513806184	0.2729065454921779
S11Hp	0.28346858930514296	0.32066299035892054	0.29662573338932263	0.21588221415255623	0.2389717765108616	0.36964406688368945	0.2593232655347644	0.2909608590480117	0.31551517833646847	0.3370483322236193	0.21019255616427077	0.08494575279717466	0.0	0.22271137634674706	0.3633716855695854	0.37010206959589675	0.31814365815985857	0.282234678457632	0.3529992905829531	0.35651877068321114	0.3284081928711779	0.39078159085989117	0.3935165323153136	0.39448805596385866	0.404308876528203	0.4380455857843915	0.2340817750900976	0.3252331261063317	0.3428012276422425	0.39845410284393945	0.384291643663722	0.2672863251132867	0.26110115058386046	0.2669388213161687	0.34231385300216266
31236	0.20776903347829018	0.2449634345320678	0.2209261775624699	0.14018265832570348	0.16327222068400882	0.2939445110568367	0.18362370970791164	0.21526130322115897	0.2398156225096157	0.2613487763967665	0.1914142482837901	0.15330406883676234	0.22271137634674706	0.0	0.2876721297427326	0.29440251376904397	0.24244410233300578	0.20653512263077922	0.2772997347561003	0.28081921485635836	0.2527086370443251	0.3150820350330384	0.31781697648846086	0.3187885001370059	0.32860932070135024	0.36234602995753873	0.1583822192632448	0.24953357027947898	0.26710167181538974	0.3227545470170867	0.3085920878368692	0.19158676928643392	0.18540159475700768	0.19123926548931597	0.2666142971753099
31112	0.3092760512489741	0.3574590912612152	0.3334218342916173	0.2526783150548509	0.2757678774131562	0.40644016778598413	0.29611936643705905	0.3277569599503064	0.35231127923876315	0.373844433125914	0.3320745575066284	0.29396437805960063	0.3633716855695854	0.2876721297427326	0.0	0.3661245588911063	0.31416614745506816	0.2782571677528416	0.3490217798781627	0.3525412599784207	0.3244306821663875	0.38680408015510076	0.38953902161052323	0.39051054525906825	0.40033136582341255	0.4340680750796011	0.23010426438530718	0.32125561540154135	0.3388237169374521	0.3944765921391491	0.38031413295893157	0.2633088144084963	0.2869086125276916	0.29274628325999985	0.36812131494599376
s26pp	0.31600643527528544	0.36418947528752654	0.3401522183179287	0.25940869908116226	0.2824982614394676	0.41317055181229545	0.3028497504633704	0.3344873439766177	0.3590416632650745	0.3805748171522253	0.3388049415329398	0.300694762085912	0.37010206959589675	0.29440251376904397	0.3661245588911063	0.0	0.289831178102354	0.2539221984001274	0.32468681052544845	0.3282062906257065	0.3000957128136733	0.36246911080238653	0.365204052257809	0.3661755759063541	0.3759963964706984	0.40973310572688687	0.20576929503259297	0.3039663455459514	0.3215344470818622	0.37718732228355917	0.3630248631033417	0.2667668619586256	0.29363899655400294	0.29947666728631117	0.3748516989723051
530295	0.2640480238392473	0.3122310638514884	0.28819380688189056	0.20745028764512408	0.23053985000342944	0.3612121403762573	0.2508913390273323	0.2825289325405796	0.3070832518290363	0.3286164057161871	0.28684653009690164	0.24873635064987382	0.31814365815985857	0.24244410233300578	0.31416614745506816	0.289831178102354	0.0	0.18224233190829864	0.2530069440336197	0.2565264241338777	0.2334478254649457	0.29582122345365897	0.29855616490908143	0.29952768855762646	0.3093485091219708	0.3430852183781593	0.1391214076838654	0.2520079341099133	0.26957603564582405	0.32522891084752104	0.3110664516673035	0.21480845052258746	0.2416805851179648	0.24751825585027307	0.322893287536267
31450	0.2281390441370207	0.27632208414926185	0.25228482717966394	0.17154130794289751	0.19463087030120288	0.32530316067403076	0.2149823593251057	0.24661995283835303	0.2711742721268098	0.2927074260139606	0.250937550394675	0.21282737094764725	0.282234678457632	0.20653512263077922	0.2782571677528416	0.2539221984001274	0.18224233190829864	0.0	0.19165030395702656	0.19516978405728458	0.19753884576271913	0.2599122437514324	0.26264718520685487	0.2636187088553999	0.27343952941974425	0.30717623867593274	0.10321242798163885	0.21609895440768673	0.2336670559435975	0.2893199311452945	0.27515747196507695	0.1788994708203609	0.20577160541573825	0.2116092761480465	0.2869843078340404
530258	0.29890365626234183	0.34708669627458294	0.3230494393049851	0.2423059200682186	0.265395482426524	0.39606777279935185	0.2857469714504268	0.3173845649636741	0.3419388842521308	0.36347203813928164	0.32170216251999617	0.28359198307296835	0.3529992905829531	0.2772997347561003	0.3490217798781627	0.32468681052544845	0.2530069440336197	0.19165030395702656	0.0	0.16412195800922796	0.2683034578880402	0.3306768558767535	0.33341179733217596	0.334383320980721	0.3442041415450653	0.37794085080125384	0.1739770401069599	0.2868635665330078	0.3044316680689186	0.36008454327061556	0.34592208409039804	0.249664082945682	0.27653621754105934	0.28237388827336757	0.35774891995936153
