	f14ppB	w14pp	S9H1	w17pp	f22ppA	f6ppA	f1pp	w11pp	f16ppB	w2pp	f2pp	w29pp	S20H1	w3pp	w26pp	f11pp	f32pp	w20pp	w8pp	s8pp	w12pp	f15pp	w9pp	f7pp	f16ppA	w24pp	w10pp	w7pp	w1pp	f14ppA	f9pp	w6pp	w18pp	f24pp	f20ppB	f19pp	w32pp	w16pp	w15pp	w21pp	w19pp
f14ppB	0.0	0.05188011850704641	0.34832096217441066	0.11351956642837202	0.21360426955341522	0.2556661657408179	0.2601305456914572	0.11661847898870029	0.22563278952219928	0.20186277991924	0.3309138772665413	0.24735037450156716	0.47989248918486627	0.2918138985073899	0.19703487329046065	0.3337593178659745	0.28608375578561623	0.10745676845676673	0.2086700226984068	0.3304531531050499	0.23403968743746634	0.24974100301533014	0.23757718841980902	0.18179519848791892	0.21009163643344664	0.3248863093745978	0.19918549169474237	0.31034667076249844	0.24878962804464022	0.22696302452979217	0.2512427048398444	0.2715765217783286	0.12880164281654688	0.12108716991434175	0.251153308992504	0.15950745999663668	0.20657366246742465	0.19578595679111754	0.1794722774660137	0.21347304614293916	0.10230095710699479
w14pp	0.05188011850704641	0.0	0.369799697625983	0.1349983018799444	0.23508300500498758	0.27714490119239027	0.2816092811430296	0.13809721444027268	0.2471115249737717	0.22334151537081243	0.3523926127181137	0.2688291099531396	0.5013712246364387	0.3132926339589623	0.21851360874203302	0.3552380533175469	0.30756249123718865	0.12893550390833913	0.2301487581499792	0.3519318885566223	0.25551842288903875	0.27121973846690256	0.2590559238713814	0.20327393393949128	0.231570371885019	0.34636504482617014	0.22066422714631473	0.3318254062140708	0.2702683634962126	0.24844175998136458	0.2727214402914168	0.29305525722990095	0.15028037826811927	0.14256590536591413	0.2726320444440764	0.18098619544820907	0.22805239791899706	0.21726469224268996	0.2009510129175861	0.23495178159451158	0.12377969255856718
S9H1	0.34832096217441066	0.369799697625983	0.0	0.3889830868333688	0.496040867012098	0.5381027631995007	0.54256714315014	0.3990550764473831	0.5080693869808821	0.48429937737792284	0.6133504747252241	0.5297869719602499	0.762329086643549	0.5742504959660727	0.4794714707491434	0.6161959153246572	0.5685203532442991	0.38989336591544954	0.4911066201570896	0.6128897505637327	0.5164762848961492	0.532177600474013	0.5200137858784918	0.4642317959466017	0.4925282338921294	0.6073229068332806	0.48162208915342514	0.5927832682211812	0.531226225503323	0.509399621988475	0.5336793022985272	0.5540131192370114	0.41123824027522965	0.40352376737302453	0.5335899064511868	0.44194405745531945	0.48901025992610747	0.4782225542498003	0.46190887492469646	0.49590964360162193	0.38473755456567754
w17pp	0.11351956642837202	0.1349983018799444	0.3889830868333688	0.0	0.26123947126605934	0.30330136745346203	0.30776574740410134	0.16425368070134444	0.27326799123484347	0.2494979816318842	0.37854907897918544	0.29498557621421134	0.5275276908975104	0.33944910022003405	0.24467007500310478	0.38139451957861864	0.3337189574982604	0.1550919701694109	0.25630522441105097	0.37808835481769404	0.2816748891501105	0.2973762047279743	0.28521239013245314	0.22943040020056304	0.25772683814609076	0.3725215110872419	0.2468206934073865	0.35798187247514257	0.29642482975728435	0.27459822624243635	0.2988779065524886	0.3192117234909727	0.17643684452919103	0.1687223716269859	0.29878851070514817	0.20714266170928083	0.2542088641800688	0.24342115850376173	0.22710747917865787	0.2611082478555833	0.14993615881963893
f22ppA	0.21360426955341522	0.23508300500498758	0.496040867012098	0.26123947126605934	0.0	0.32958923146795377	0.3340536114185931	0.22454260519329966	0.3335569157267987	0.3097869061238394	0.43883800347114066	0.3552745007061665	0.5878166153894656	0.39973802471198927	0.30495899949506	0.4416834440705739	0.39400788199021564	0.21538089466136612	0.3165941489030062	0.4383772793096493	0.34196381364206574	0.35766512921992955	0.34550131462440836	0.28971932469251827	0.318015762638046	0.4328104355791972	0.3071096178993417	0.4182707969670978	0.35671375424923957	0.33488715073439157	0.3591668310444438	0.37950064798292793	0.23672576902114625	0.2290112961189411	0.35907743519710333	0.2674315862012361	0.31449778867202405	0.3037100829957169	0.31148607990268695	0.3454868485796124	0.234314759543668
f6ppA	0.2556661657408179	0.27714490119239027	0.5381027631995007	0.30330136745346203	0.32958923146795377	0.0	0.28082053134637075	0.26660450138070235	0.3756188119142013	0.35184880231124205	0.4808998996585434	0.39733639689356925	0.6298785115768684	0.44179992089939196	0.3470208956824627	0.48374534025797655	0.4360697781776183	0.2574427908487688	0.3586560450904088	0.48043917549705195	0.3840257098294684	0.3997270254073322	0.38756321081181105	0.33178122087992096	0.3600776588254487	0.4748723317665998	0.3491715140867444	0.46033269315450054	0.39877565043664226	0.3769490469217942	0.40122872723184644	0.4215625441703306	0.2787876652085489	0.2710731923063438	0.4011393313845061	0.3094934823886387	0.3565596848594267	0.34577197918311964	0.35354797609008964	0.38754874476701506	0.2763766557310707
f1pp	0.2601305456914572	0.2816092811430296	0.54256714315014	0.30776574740410134	0.3340536114185931	0.28082053134637075	0.0	0.27106888133134166	0.38008319186484063	0.35631318226188136	0.4853642796091827	0.40180077684420856	0.6343428915275077	0.44626430085003127	0.351485275633102	0.48820972020861586	0.4405341581282576	0.2619071707994081	0.36312042504104813	0.48490355544769126	0.3884900897801077	0.4041914053579715	0.39202759076245036	0.33624560083056027	0.364542038776088	0.47933671171723913	0.3536358940373837	0.46479707310513985	0.40324003038728157	0.3814134268724335	0.40569310718248575	0.42602692412096993	0.2832520451591882	0.2755375722569831	0.4056037113351454	0.313957862339278	0.361024064810066	0.35023635913375895	0.35801235604072895	0.39201312471765437	0.28084103568171
w11pp	0.11661847898870029	0.13809721444027268	0.3990550764473831	0.16425368070134444	0.22454260519329966	0.26660450138070235	0.27106888133134166	0.0	0.14407323440793285	0.12030322480497357	0.2493543221522749	0.1702751109794361	0.4028172256627352	0.21473863498525886	0.11995960976832956	0.25668405434384345	0.20901049226448523	0.04695351337178688	0.1787317217348727	0.3005148521415158	0.20410138647393225	0.21980270205179606	0.2076388874562749	0.15185689752438478	0.20090919756009296	0.31570387050124415	0.19000305282138868	0.3011642318891448	0.23960718917128654	0.2177805856564385	0.24206026596649075	0.2623940829049749	0.11961920394319323	0.1119047310409881	0.24197087011915033	0.15032502112328303	0.197391223594071	0.1866035179177639	0.21450028933797202	0.24850105801489747	0.1373289689789531
f16ppB	0.22563278952219928	0.2471115249737717	0.5080693869808821	0.27326799123484347	0.3335569157267987	0.3756188119142013	0.38008319186484063	0.14407323440793285	0.0	0.20558240633595115	0.3346335036832525	0.2792894215129351	0.5118315361962342	0.3237529455187579	0.22897392030182856	0.3656983648773425	0.31802480279798423	0.15596782390528588	0.2877460322683717	0.4095291626750148	0.31311569700743125	0.32881701258529505	0.31665319798977387	0.2608712080578838	0.3099235080935919	0.4247181810347431	0.2990173633548877	0.41017854242264384	0.3486214997047855	0.3267948961899375	0.35107457649998974	0.37140839343847387	0.22863351447669222	0.2209190415744871	0.35098518065264933	0.259339331656782	0.30640553412757	0.2956178284512629	0.323514599871471	0.3575153685483965	0.2463432795124521
w2pp	0.20186277991924	0.22334151537081243	0.48429937737792284	0.2494979816318842	0.3097869061238394	0.35184880231124205	0.35631318226188136	0.12030322480497357	0.20558240633595115	0.0	0.29238160961864046	0.25551941190997585	0.48806152659327495	0.2999829359157986	0.20520391069886929	0.3419283552743832	0.29425479319502496	0.1321978143023266	0.2639760226654124	0.38575915307205555	0.289345687404472	0.3050470029823358	0.2928831883868146	0.2371011984549245	0.28615349849063265	0.40094817143178385	0.27524735375192844	0.38640853281968457	0.32485149010182623	0.30302488658697824	0.32730456689703047	0.3476383838355146	0.20486350487373295	0.19714903197152783	0.32721517104969006	0.23556932205382275	0.2826355245246107	0.2718478188483036	0.29974459026851175	0.3337453589454372	0.22257326990949283
