	S22Hp	S28Hp	530368	31512	S6Hp	31129	F1H1	31300	31700	31714	S2Hp	S16H2	31750	530215	F6H1	F3H1	S15Hp	S29H1	S21H1	31452	S3Hp	31333	S19H1	S7Hp	530075	530315	530050	530451	S10H1	31328	530055	31160	31071	F14H1B	S4Hp	31766	S18H1	31236	F29H1	31021	F22HpB	31379	S26Hp	F8H1	31360	31600	530227	S13Hp	31219	S31Hp	F7H1	31232	F32H1	S1Hp	31428	S9H1	530258	530177	530295	31343	S8Hp	S14Hp	31519	31267	s24H1	31009	f24pp	w9pp	w20pp	w3pp	f15pp	f10pp	f22ppA	w7pp	f9pp	w23pp	f26pp	f13pp	f3pp	f20ppA	w8pp	f7pp	f31pp	f20ppB	f14ppB	f19pp	f4pp	w13pp	S17H1	530119	530444	530331	F23HpA	S25Hp	F14H1A	31723	530167
S22Hp	0.0	0.1082901612134082	0.14975178657154142	0.15342137023027028	0.1075618921906502	0.1592314970736937	0.1644741681783012	0.11412848717246811	0.1562525163937398	0.16737880515637552	0.13104552466962235	0.15458196124895643	0.16324079723060428	0.16808153481120922	0.17591083292036894	0.19014767173652328	0.18433049353235761	0.21042697115778605	0.1863706947465897	0.1763141190721822	0.12831473793954862	0.12234354194079701	0.13687522024210838	0.13217327305686558	0.15962777338809223	0.16933406801205142	0.16496164069915548	0.1807169700211341	0.17540442433064254	0.17878826239298654	0.17209594815998855	0.13606662283987178	0.18808634529775023	0.1714909354960086	0.11488434430904763	0.16664495012617095	0.11820889835414085	0.16243913171384708	0.16032239059674325	0.1830226302085646	0.14123936437982598	0.11359031310320074	0.13429690566537753	0.1750239133128372	0.1194315357726854	0.12307438782910446	0.15621113967669598	0.13852017977834272	0.14599664831620607	0.12796410274273126	0.16652280323418764	0.1650302640359288	0.10576061808380252	0.1501018468806533	0.19280309425966216	0.1893160681105386	0.18620199506538895	0.1922818569192872	0.18688349305278565	0.15328400103733278	0.14635434817617646	0.1544015776304089	0.167739556658931	0.16864514685655133	0.16279887468142848	0.1642259584575538	0.10601204561254907	0.10976427227700641	0.12015733070528127	0.12103568601509812	0.12670453383424862	0.13058892809875033	0.13841500445234858	0.16145172782190897	0.1516811481011082	0.14235257949887056	0.13316916360943415	0.13432499788324184	0.11763518885098335	0.12616489066887654	0.1269722003667064	0.1264563538692352	0.12700032233206984	0.1128624561915473	0.11410752592351757	0.11153879480531662	0.12676966463997488	0.11880949303618886	0.14094888920647056	0.12790549492827955	0.13900720357033847	0.1570483627424162	0.14715837188114522	0.12088848737882847	0.1119291095753216	0.06033687567253066	0.07461383208380083
S28Hp	0.1082901612134082	0.0	0.08385925733223967	0.08752884099096853	0.07767392948807103	0.1293435343711145	0.134586205475722	0.08424052446988894	0.1263645536911606	0.1374908424537963	0.10115756196704317	0.12469399854637722	0.1333528345280251	0.13819357210863004	0.14602287021778973	0.1602597090339441	0.15444253082977838	0.1805390084552069	0.1564827320440105	0.146426156369603	0.09842677523696944	0.09245557923821784	0.10698725753952919	0.10228531035428638	0.12973981068551305	0.1394461053094722	0.13507367799657627	0.1508290073185549	0.14551646162806336	0.14890029969040736	0.14220798545740937	0.1061786601372926	0.15819838259517105	0.1416029727934294	0.08499638160646847	0.13675698742359177	0.08832093565156168	0.1325511690112679	0.13043442789416404	0.1531346675059854	0.11135140167724679	0.08370235040062156	0.10440894296279835	0.14513595061025802	0.08954357307010621	0.09318642512652528	0.12632317697411677	0.10863221707576354	0.11610868561362687	0.09807614004015208	0.13663484053160846	0.1351423013333496	0.07587265538122334	0.12021388417807412	0.16291513155708298	0.15942810540795943	0.15631403236280977	0.16239389421670802	0.15699553035020644	0.1233960383347536	0.11646638547359726	0.12451361492782971	0.13785159395635183	0.13875718415397215	0.13291091197884927	0.13433799575497463	0.08210740933084087	0.08585963599529822	0.09625269442357309	0.09713104973338993	0.10279989755254042	0.10668429181704214	0.11451036817064038	0.13754709154020078	0.12777651181939997	0.11844794321716236	0.10926452732772594	0.11042036160153364	0.09373055256927516	0.10226025438716835	0.1030675640849982	0.10255171758752701	0.10309568605036164	0.08895781990983911	0.09020288964180938	0.08763415852360842	0.10286502835826669	0.09490485675448067	0.11704425292476237	0.10400085864657134	0.11510256728863026	0.133143726460708	0.12325373559943703	0.09953357546594135	0.10845148314126443	0.1214756457240298	0.13575260213529997
530368	0.14975178657154142	0.08385925733223967	0.0	0.09008424144120637	0.11913555484620422	0.1708051597292477	0.17604783083385522	0.12570214982802214	0.1678261790492938	0.17895246781192953	0.1426191873251764	0.16615562390451044	0.1748144598861583	0.17965519746676323	0.18748449557592295	0.2017213343920773	0.1959041561879116	0.22200063381334012	0.19794435740214372	0.1878877817277362	0.13988840059510263	0.13391720459635104	0.1484488828976624	0.1437469357124196	0.17120143604364624	0.18090773066760543	0.1765353033547095	0.1922906326766881	0.18697808698619656	0.19036192504854055	0.18366961081554256	0.1476402854954258	0.19966000795330424	0.18306459815156262	0.12645800696460166	0.17821861278172496	0.12978256100969487	0.1740127943694011	0.17189605325229726	0.19459629286411861	0.15281302703538	0.12516397575875476	0.14587056832093154	0.18659757596839122	0.13100519842823943	0.1346480504846585	0.16778480233225	0.15009384243389673	0.15757031097176008	0.13953776539828527	0.17809646588974165	0.1766039266914828	0.11733428073935656	0.16167550953620732	0.20437675691521617	0.20088973076609262	0.19777565772094297	0.20385551957484122	0.19845715570833966	0.1648576636928868	0.15792801083173047	0.16597524028596292	0.17931321931448502	0.18021880951210534	0.1743725373369825	0.17579962111310782	0.1235690346889741	0.12732126135343141	0.13771431978170628	0.13859267509152315	0.14426152291067362	0.14814591717517533	0.15597199352877358	0.17900871689833397	0.1692381371775332	0.15990956857529556	0.15072615268585915	0.15188198695966684	0.13519217792740837	0.14372187974530154	0.14452918944313142	0.14401334294566023	0.14455731140849484	0.13041944526797233	0.13166451499994258	0.12909578388174164	0.14432665371639988	0.13636648211261387	0.15850587828289558	0.14546248400470455	0.15656419264676347	0.1746053518188412	0.16471536095757022	0.14099520082407457	0.14991310849939765	0.16293727108216302	0.17721422749343319
31512	0.15342137023027028	0.08752884099096853	0.09008424144120637	0.0	0.12280513850493308	0.17447474338797656	0.17971741449258405	0.129371733486751	0.17149576270802264	0.18262205147065835	0.14628877098390522	0.16982520756323927	0.17848404354488712	0.18332478112549205	0.19115407923465177	0.20539091805080614	0.19957373984664045	0.22567021747206895	0.20161394106087255	0.19155736538646506	0.14355798425383148	0.1375867882550799	0.15211846655639122	0.1474165193711484	0.17487101970237506	0.18457731432633429	0.18020488701343834	0.19596021633541694	0.19064767064492538	0.1940315087072694	0.18733919447427141	0.15130986915415465	0.2033295916120331	0.18673418181029144	0.1301275906233305	0.1818881964404538	0.13345214466842373	0.17768237802812994	0.1755656369110261	0.19826587652284744	0.15648261069410885	0.1288335594174836	0.1495401519796604	0.19026715962712007	0.13467478208696826	0.13831763414338732	0.17145438599097884	0.15376342609262558	0.16123989463048893	0.14320734905701413	0.1817660495484705	0.18027351035021166	0.12100386439808539	0.16534509319493618	0.20804634057394503	0.20455931442482148	0.2014452413796718	0.20752510323357004	0.2021267393670685	0.16852724735161564	0.1615975944904593	0.16964482394469177	0.18298280297321387	0.1838883931708342	0.17804212099571132	0.17946920477183664	0.12723861834770292	0.13099084501216027	0.14138390344043514	0.14226225875025197	0.14793110656940245	0.1518155008339042	0.15964157718750244	0.1826783005570628	0.17290772083626205	0.16357915223402442	0.15439573634458797	0.1555515706183957	0.13886176158613722	0.1473914634040304	0.14819877310186025	0.14768292660438906	0.1482268950672237	0.13408902892670116	0.1353340986586714	0.13276536754047047	0.14799623737512874	0.1400360657713427	0.1621754619416244	0.1491320676634334	0.1602337763054923	0.17827493547757006	0.16838494461629908	0.1446647844828034	0.15358269215812648	0.16660685474089187	0.18088381115216204
S6Hp	0.1075618921906502	0.07767392948807103	0.11913555484620422	0.12280513850493308	0.0	0.11722533783875758	0.13062735145858137	0.08028167045274831	0.12240569967401996	0.13353198843665567	0.09719870794990255	0.12073514452923659	0.12939398051088447	0.1342347180914894	0.1420640162006491	0.15630085501680346	0.15048367681263775	0.1765801544380663	0.15252387802686987	0.14246730235246235	0.0944679212198288	0.08849672522107721	0.10302840352238855	0.09832645633714575	0.1257809566683724	0.13548725129233158	0.13111482397943564	0.14687015330141426	0.14155760761092273	0.14494144567326672	0.13824913144026874	0.10221980612015197	0.15423952857803042	0.13764411877628877	0.08103752758932783	0.13279813340645114	0.08436208163442105	0.12859231499412727	0.1264755738770234	0.14917581348884476	0.10739254766010616	0.07974349638348094	0.10045008894565771	0.1411770965931174	0.08558471905296558	0.08922757110938465	0.12236432295697615	0.1046733630586229	0.11214983159648624	0.09411728602301145	0.13267598651446783	0.13118344731620896	0.07191380136408272	0.11625503016093348	0.15895627753994235	0.1554692513908188	0.15235517834566914	0.1584350401995674	0.1530366763330658	0.11943718431761297	0.11250753145645663	0.12055476091068908	0.1338927399392112	0.1347983301368315	0.12895205796170864	0.130379141737834	0.08137914030808288	0.08513136697254023	0.09552442540081509	0.09640278071063194	0.10207162852978241	0.10595602279428415	0.11378209914788237	0.13681882251744276	0.12704824279664198	0.11771967419440435	0.10853625830496794	0.10969209257877563	0.09300228354651716	0.10153198536441035	0.10233929506224021	0.10182344856476902	0.10236741702760363	0.08822955088708112	0.08947462061905137	0.08690588950085043	0.10213675933550868	0.09417658773172266	0.11631598390200437	0.10327258962381333	0.11437429826587225	0.13241545743795	0.12252546657667904	0.09880530644318336	0.10772321411850642	0.1207473767012718	0.13502433311254197
31129	0.1592314970736937	0.1293435343711145	0.1708051597292477	0.17447474338797656	0.11722533783875758	0.0	0.18229695634162485	0.1319512753357918	0.17407530455706344	0.18520159331969915	0.14886831283294605	0.17240474941228007	0.18106358539392792	0.18590432297453285	0.19373362108369258	0.20797045989984694	0.20215328169568125	0.22824975932110975	0.20419348290991335	0.19413690723550586	0.14613752610287228	0.1401663301041207	0.15469800840543202	0.14999606122018921	0.17745056155141586	0.18715685617537509	0.18278442886247914	0.19853975818445774	0.19322721249396618	0.1966110505563102	0.18991873632331221	0.15388941100319545	0.2059091334610739	0.18931372365933224	0.13270713247237131	0.1844677382894946	0.13603168651746453	0.18026191987717075	0.1781451787600669	0.20084541837188824	0.15906215254314965	0.13141310126652442	0.1521196938287012	0.19284670147616087	0.13725432393600906	0.14089717599242813	0.17403392784001964	0.15634296794166638	0.16381943647952973	0.14578689090605493	0.1843455913975113	0.18285305219925246	0.1235834062471262	0.16792463504397698	0.21062588242298583	0.20713885627386228	0.2040247832287126	0.21010464508261084	0.2047062812161093	0.17110678920065645	0.1641771363395001	0.17222436579373257	0.18556234482225467	0.186467935019875	0.18062166284475212	0.18204874662087744	0.13304874519112636	0.1368009718555837	0.14719403028385858	0.14807238559367542	0.15374123341282592	0.15762562767732763	0.16545170403092585	0.18848842740048627	0.17871784767968546	0.16938927907744783	0.16020586318801144	0.1613616974618191	0.14467188842956064	0.15320159024745383	0.1540088999452837	0.1534930534478125	0.1540370219106471	0.1398991557701246	0.14114422550209488	0.1385754943838939	0.15380636421855218	0.14584619261476617	0.16798558878504785	0.1549421945068568	0.16604390314891576	0.18408506232099348	0.17419507145972252	0.15047491132622687	0.15939281900154992	0.1724169815843153	0.18669393799558545
F1H1	0.1644741681783012	0.134586205475722	0.17604783083385522	0.17971741449258405	0.13062735145858137	0.18229695634162485	0.0	0.09911643191571098	0.1601671199704972	0.18194045858348495	0.14560717809673185	0.16914361467606587	0.17780245065771372	0.18264318823831865	0.19047248634747838	0.20470932516363274	0.19889214695946705	0.22498862458489557	0.20093234817369915	0.19087577249929166	0.14287639136665808	0.1369051953679065	0.15143687366921782	0.14673492648397501	0.17418942681520166	0.1838957214391609	0.17952329412626494	0.19527862344824354	0.18996607775775198	0.193349915820096	0.18665760158709802	0.15062827626698125	0.2026479987248597	0.18605258892311805	0.12944599773615711	0.1812066035532804	0.13277055178125033	0.17700078514095655	0.1748840440238527	0.19758428363567404	0.15580101780693545	0.12815196653031022	0.148858559092487	0.18958556673994667	0.13399318919979486	0.13763604125621393	0.17077279310380544	0.15308183320545218	0.16268428607158147	0.14465174049810667	0.18321044098956304	0.1817179017913042	0.12244825583917796	0.16678948463602872	0.20949073201503757	0.20600370586591402	0.20288963282076433	0.20896949467466258	0.20357113080816103	0.17315203766162862	0.1662223848004723	0.17426961425470472	0.18760759328322685	0.18851318348084717	0.1826669113057243	0.18409399508184965	0.13829141629573385	0.1420436429601912	0.15243670138846607	0.1533150566982829	0.15898390451743338	0.16286829878193512	0.17069437513553337	0.19373109850509374	0.18396051878429298	0.17463195018205535	0.1654485342926189	0.16660436856642663	0.14991455953416816	0.15844426135206133	0.15925157104989118	0.15873572455242	0.15927969301525463	0.1451418268747321	0.14638689660670234	0.1438181654885014	0.15904903532315967	0.15108886371937363	0.17322825988965534	0.16018486561146433	0.17128657425352323	0.189327733425601	0.17943774256433	0.15571758243083433	0.1646354901061574	0.1776596526889228	0.19193660910019297
31300	0.11412848717246811	0.08424052446988894	0.12570214982802214	0.129371733486751	0.08028167045274831	0.1319512753357918	0.09911643191571098	0.0	0.10982143896466415	0.1315947775776519	0.09526149709089878	0.11879793367023281	0.12745676965188069	0.13229750723248562	0.14012680534164532	0.15436364415779968	0.14854646595363397	0.17464294357906252	0.1505866671678661	0.14053009149345858	0.09253071036082502	0.08655951436207343	0.10109119266338477	0.09638924547814197	0.12384374580936862	0.1335500404333278	0.12917761312043186	0.14493294244241048	0.13962039675191895	0.14300423481426294	0.13631192058126496	0.10028259526114819	0.15230231771902664	0.13570690791728499	0.07910031673032406	0.13086092254744736	0.08242487077541727	0.1266551041351235	0.12453836301801964	0.14723860262984098	0.10545533680110238	0.07780628552447716	0.09851287808665393	0.1392398857341136	0.0836475081939618	0.08729036025038087	0.12042711209797237	0.10273615219961912	0.11233860506574841	0.09430605949227362	0.13286475998372999	0.13137222078547114	0.0721025748333449	0.11644380363019566	0.1591450510092045	0.15565802486008096	0.1525439518149313	0.15862381366882955	0.15322544980232797	0.12280635665579556	0.11587670379463924	0.12392393324887169	0.1372619122773938	0.1381675024750141	0.13232123029989123	0.1337483140760166	0.0879457352899008	0.09169796195435814	0.102091020382633	0.10296937569244985	0.10863822351160032	0.11252261777610206	0.12034869412970028	0.14338541749926068	0.1336148377784599	0.12428626917622226	0.11510285328678585	0.11625868756059354	0.09956887852833507	0.10809858034622827	0.10890589004405812	0.10839004354658693	0.10893401200942154	0.09479614586889903	0.09604121560086928	0.09347248448266834	0.1087033543173266	0.10074318271354057	0.12288257888382229	0.10983918460563125	0.12094089324769017	0.1389820524197679	0.12909206155849695	0.10537190142500127	0.11428980910032434	0.1273139716830897	0.14159092809435989
31700	0.1562525163937398	0.1263645536911606	0.1678261790492938	0.17149576270802264	0.12240569967401996	0.17407530455706344	0.1601671199704972	0.10982143896466415	0.0	0.17371880679892354	0.13738552631217044	0.16092196289150446	0.1695807988731523	0.17442153645375724	0.18225083456291696	0.19648767337907133	0.19067049517490564	0.21676697280033416	0.19271069638913774	0.18265412071473025	0.13465473958209667	0.12868354358334508	0.1432152218846564	0.1385132746994136	0.16596777503064025	0.17567406965459947	0.17130164234170353	0.18705697166368213	0.18174442597319057	0.1851282640355346	0.1784359498025366	0.14240662448241984	0.19442634694029828	0.17783093713855663	0.1212243459515957	0.17298495176871898	0.12454889999668892	0.16877913335639513	0.1666623922392913	0.18936263185111263	0.14757936602237404	0.1199303147457488	0.14063690730792558	0.18136391495538526	0.12577153741523345	0.1294143894716525	0.16255114131924403	0.14486018142089077	0.15446263428702006	0.13643008871354526	0.17498878920500163	0.1734962500067428	0.11422660405461654	0.1585678328514673	0.20126908023047616	0.1977820540813526	0.19466798103620292	0.20074784289010117	0.19534947902359961	0.1649303858770672	0.1580007330159109	0.1660479624701433	0.17938594149866544	0.18029153169628576	0.17444525952116288	0.17587234329728824	0.13006976451117244	0.1338219911756298	0.14421504960390466	0.1450934049137215	0.15076225273287197	0.1546466469973737	0.16247272335097196	0.18550944672053232	0.17573886699973157	0.16641029839749394	0.1572268825080575	0.15838271678186522	0.14169290774960674	0.15022260956749992	0.15102991926532977	0.15051407276785858	0.15105804123069322	0.13692017509017068	0.13816524482214093	0.13559651370394	0.15082738353859826	0.14286721193481222	0.16500660810509393	0.15196321382690292	0.16306492246896181	0.18110608164103958	0.1712160907797686	0.14749593064627292	0.156413838321596	0.1694380009043614	0.18371495731563156
31714	0.16737880515637552	0.1374908424537963	0.17895246781192953	0.18262205147065835	0.13353198843665567	0.18520159331969915	0.18194045858348495	0.1315947775776519	0.17371880679892354	0.0	0.1267477915216784	0.15028422810101244	0.1589430640826603	0.16378380166326523	0.17839219197005862	0.192629030786213	0.1868118525820473	0.21290833020747582	0.1888520537962794	0.1787954781218719	0.13079609698923833	0.12653788611637853	0.14887733356118893	0.14417538637594612	0.17162988670717277	0.18133618133113194	0.176963754018236	0.19271908334021462	0.1874065376497231	0.19079037571206708	0.1840980614790691	0.14806873615895233	0.20008845861683078	0.18349304881508913	0.1268864576281282	0.1786470634452515	0.13244490572504283	0.17667513908474905	0.17455839796764522	0.19725863757946654	0.15547537175072795	0.12782632047410272	0.1485329130362795	0.18925992068373917	0.13366754314358736	0.13731039520000643	0.17044714704759795	0.1527561871492447	0.16558892304965578	0.14755637747618097	0.18611507796763735	0.1846225387693785	0.12535289281725226	0.16969412161410302	0.21239536899311187	0.20890834284398832	0.20579426979883864	0.21187413165273689	0.20647576778623533	0.17605667463970293	0.1691270217785466	0.17717425123277902	0.19051223026130115	0.19141782045892147	0.1855715482837986	0.18699863205992395	0.14119605327380816	0.1449482799382655	0.15534133836654038	0.1562196936763572	0.1618885414955077	0.16577293576000943	0.17359901211360768	0.19663573548316804	0.18686515576236729	0.17753658716012966	0.1683531712706932	0.16950900554450093	0.15281919651224246	0.16134889833013563	0.1621562080279655	0.1616403615304943	0.16218432999332894	0.1480464638528064	0.14929153358477665	0.1467228024665757	0.16195367230123398	0.15399350069744794	0.17613289686772965	0.16308950258953864	0.17419121123159753	0.1922323704036753	0.18234237954240431	0.15862221940890864	0.16754012708423172	0.1805642896669971	0.19484124607826728
