	530055	31750	530050	F22HpB	S2Hp	31300	530295	S6Hp	31236	31749	S30H1	w25pp	f14ppB	w24pp	w22pp	f26pp	w31pp	w1pp	w21pp	w9pp	f19pp	f16ppA	w19pp	w20pp	f7pp	w8pp	f24pp	w28pp	w26pp	F3H1	S3Hp	S22Hp	S26Hp	S11Hp	31071	31452	31328	530075	530258	S23Hp	31519	530167	31333	S29H1	F23HpA	S17H1	530394	31021	31219	31009	S8Hp	31700	S4Hp	S1Hp	31129	S13Hp	S15Hp	S9H1	530119	F32H1	S12Hp	S7Hp	F14H1B	530451	31512	530163	31360	S25Hp	S28Hp	31267	31600	F29H1	31723	S27H1	S31Hp	531414	530331	F14H1A	31714	S19H1	530444	530364	F6H1	S18H1
530055	0.0	0.17815583159324708	0.18876065115671936	0.19547651995641024	0.17150384600387109	0.20439064245164762	0.1694880158938204	0.1584001980808485	0.15855755989155004	0.24840167068957664	0.24103565324757992	0.20439380440031651	0.1879517237672909	0.19717064425237307	0.23114385571068807	0.21108940290919004	0.22535157615593354	0.20231966756751907	0.21639515160992262	0.18322805712953982	0.20443618840936684	0.20810687399532546	0.1960784675106359	0.18325603801286844	0.18030503239617202	0.18778010535818862	0.17664794194759303	0.19336392930889562	0.1962436564408231	0.22855547046236263	0.18642550093107033	0.20613182040640898	0.17590246229001016	0.21953879691993733	0.23384468102383027	0.24567861678567443	0.23883781722351505	0.18175257428024702	0.18410244893306987	0.19473639314837904	0.26152267291000286	0.2564079375227592	0.24616565710444183	0.26222214520850906	0.23897304984172307	0.2315294563079161	0.23681648594181853	0.2479791662388957	0.2358895529273498	0.2120968974737756	0.2033322436797571	0.24590283255211032	0.19357094523662555	0.19689004526949289	0.25384066260935917	0.27827518730316847	0.23430295470397106	0.21866993161140708	0.19138126299974345	0.23549259776020692	0.190412703357124	0.23923008876608148	0.23980372291011715	0.26602947613572875	0.26345319738790896	0.24951322452749247	0.23747916454275148	0.16779465843745142	0.15770371211206258	0.16069630547447208	0.21601752819855716	0.23019897110415502	0.2478462347846453	0.24455631067360967	0.24411390507853514	0.24934757082449077	0.2176005229176019	0.17263345250645254	0.23485478940367338	0.20452218904191358	0.2287775652274257	0.2242058403314461	0.20326891038073147	0.16536526573298616
31750	0.17815583159324708	0.0	0.09742671413492714	0.18731847575826371	0.16334580180572453	0.19623259825350106	0.16132997169567384	0.1502421538827019	0.15039951569340348	0.2402436264914301	0.2328776090494334	0.19623576020216996	0.17979367956914438	0.1890126000542265	0.2229858115125415	0.20293135871104345	0.21719353195778696	0.19416162336937248	0.20823710741177606	0.17507001293139324	0.1962781442112203	0.1999488297971789	0.18792042331248937	0.1750979938147219	0.17214698819802549	0.17962206116004206	0.16848989774944648	0.18520588511074904	0.18808561224267656	0.2203974262642161	0.17826745673292377	0.19797377620826245	0.1677444180918636	0.2113807527217908	0.22568663682568374	0.2375205725875279	0.23067977302536852	0.17359453008210046	0.17594440473492332	0.18657834895023248	0.25336462871185633	0.2482498933246126	0.23800761290629524	0.25406410101036253	0.2308150056435765	0.22337141210976952	0.22865844174367195	0.23982112204074918	0.22773150872920328	0.20393885327562905	0.19517419948161052	0.2377447883539638	0.18541290103847902	0.1887320010713463	0.24568261841121258	0.2701171431050219	0.22614491050582447	0.21051188741326055	0.1832232188015969	0.22733455356206034	0.18225465915897748	0.2310720445679349	0.23164567871197056	0.25787143193758216	0.25529515318976237	0.24135518032934594	0.22932112034460495	0.15963661423930486	0.14954566791391605	0.15253826127632553	0.2078594840004106	0.22204092690600846	0.2396881905864987	0.23639826647546314	0.2359558608803886	0.2411895266263442	0.20944247871945534	0.16447540830830598	0.2266967452055268	0.19636414484376702	0.22061952102927912	0.21604779613329955	0.19511086618258494	0.1572072215348396
530050	0.18876065115671936	0.09742671413492714	0.0	0.19792329532173597	0.1739506213691968	0.20683741781697335	0.17193479125914612	0.1608469734461742	0.16100433525687577	0.25084844605490236	0.24348242861290564	0.20684057976564224	0.19039849913261664	0.1996174196176988	0.2335906310760138	0.21353617827451576	0.22779835152125927	0.2047664429328448	0.21884192697524835	0.18567483249486555	0.20688296377469256	0.21055364936065118	0.19852524287596163	0.18570281337819416	0.18275180776149774	0.19022688072351435	0.17909471731291876	0.19581070467422135	0.19869043180614882	0.23100224582768836	0.18887227629639605	0.2085785957717347	0.1783492376553359	0.22198557228526306	0.236291456389156	0.24812539215100016	0.24128459258884077	0.18419934964557275	0.1865492242983956	0.19718316851370477	0.2639694482753286	0.2588547128880849	0.24861243246976755	0.2646689205738348	0.2414198252070488	0.23397623167324183	0.23926326130714426	0.25042594160422144	0.23833632829267554	0.21454367283910133	0.20577901904508283	0.24834960791743604	0.19601772060195127	0.1993368206348186	0.2562874379746849	0.2807219626684942	0.23674973006929678	0.2211167069767328	0.19382803836506918	0.23793937312553265	0.19285947872244974	0.2416768641314072	0.24225049827544287	0.2684762515010545	0.2658999727532347	0.2519599998928182	0.2399259399080772	0.17024143380277715	0.1601504874773883	0.1631430808397978	0.21846430356388288	0.23264574646948075	0.250293010149971	0.2470030860389354	0.24656068044386087	0.2517943461898165	0.22004729828292763	0.17508022787177827	0.2373015647689991	0.2069689644072393	0.23122434059275143	0.22665261569677184	0.2057156857460572	0.16781204109831188
F22HpB	0.19547651995641024	0.18731847575826371	0.19792329532173597	0.0	0.12045248858273976	0.16014875313368132	0.1252461265758541	0.12700222104592607	0.12715958285662762	0.21700369365465422	0.2096376762126575	0.1729958273653941	0.15655374673236852	0.16577266721745065	0.19974587867576565	0.17969142587426762	0.19395359912101112	0.17092169053259665	0.1849971745750002	0.1518300800946174	0.17303821137444445	0.17670889696040304	0.1646804904757135	0.15185806097794605	0.14890705536124962	0.1563821283232662	0.14524996491267061	0.1619659522739732	0.1648456794059007	0.19715749342744024	0.15502752389614793	0.1747338433714866	0.14450448525508774	0.18814081988501494	0.20244670398890785	0.214280639750752	0.20743984018859263	0.15035459724532463	0.15270447189814745	0.16333841611345662	0.23012469587508044	0.22500996048783678	0.2147676800695194	0.23082416817358664	0.20757507280680065	0.20013147927299368	0.2054185089068961	0.2165811892039733	0.20449157589242742	0.18069892043885322	0.1719342666448347	0.2145048555171879	0.16217296820170315	0.16549206823457047	0.22244268557443675	0.24687721026824605	0.20290497766904864	0.18727195457648468	0.15998328596482103	0.2040946207252845	0.15901472632220162	0.20783211173115906	0.20840574587519473	0.23463149910080633	0.23205522035298654	0.21811524749257005	0.20608118750782906	0.136396681402529	0.12630573507714019	0.1292983284395497	0.18461955116363477	0.19880099406923263	0.21644825774972287	0.21315833363868725	0.21271592804361272	0.21794959378956835	0.18620254588267948	0.14123547547153015	0.20345681236875096	0.17312421200699118	0.19737958819250329	0.19280786329652372	0.17187093334580908	0.146764484956966
S2Hp	0.17150384600387109	0.16334580180572453	0.1739506213691968	0.12045248858273976	0.0	0.13617607918114216	0.10127345262331494	0.10302954709338688	0.10318690890408845	0.19303101970211506	0.18566500226011834	0.14902315341285494	0.13258107277982933	0.14179999326491147	0.17577320472322647	0.15571875192172843	0.16998092516847194	0.14694901658005746	0.16102450062246104	0.12785740614207822	0.14906553742190526	0.15273622300786388	0.14070781652317432	0.12788538702540686	0.12493438140871044	0.13240945437072704	0.12127729096013146	0.13799327832143402	0.1408730054533615	0.17318481947490105	0.13105484994360875	0.1507611694189474	0.12053181130254857	0.16416814593247575	0.1784740300363687	0.19030796579821285	0.18346716623605347	0.12638192329278544	0.1287317979456083	0.13936574216091746	0.20615202192254128	0.2010372865352976	0.19079500611698022	0.20685149422104748	0.18360239885426147	0.1761588053204545	0.18144583495435693	0.19260851525143413	0.18051890193988823	0.15672624648631403	0.1479615926922955	0.19053218156464874	0.13820029424916397	0.14151939428203128	0.19847001162189756	0.22290453631570686	0.17893230371650945	0.1632992806239455	0.13601061201228187	0.18012194677274532	0.13504205236966244	0.18385943777861988	0.18443307192265554	0.21065882514826714	0.20808254640044735	0.1941425735400309	0.1821085135552899	0.11242400744998983	0.102333061124601	0.1053256544870105	0.16064687721109558	0.17482832011669344	0.19247558379718369	0.1891856596861481	0.18874325409107356	0.19397691983702917	0.16222987193014032	0.11726280151899096	0.17948413841621177	0.149151538054452	0.1734069142399641	0.16883518934398453	0.1478982593932699	0.12279181100442685
31300	0.20439064245164762	0.19623259825350106	0.20683741781697335	0.16014875313368132	0.13617607918114216	0.0	0.12263079177079436	0.13591634354116344	0.136073705351865	0.2259178161498916	0.21855179870789487	0.18190994986063147	0.16546786922760587	0.17468678971268803	0.20866000117100303	0.188605548369505	0.2028677216162485	0.17983581302783402	0.19391129707023758	0.16074420258985478	0.1819523338696818	0.18562301945564041	0.17359461297095086	0.1607721834731834	0.15782117785648697	0.16529625081850358	0.154164087407908	0.17088007476921058	0.17375980190113804	0.2060716159226776	0.16394164639138528	0.18364796586672394	0.15341860775032512	0.19705494238025228	0.21136082648414523	0.2231947622459894	0.21635396268383	0.15926871974056198	0.16161859439338483	0.172252538608694	0.23903881837031782	0.23392408298307413	0.22368180256475675	0.23973829066882402	0.216489195302038	0.20904560176823106	0.21433263140213346	0.22549531169921067	0.21340569838766477	0.18961304293409056	0.18084838914007206	0.22341897801242527	0.1710870906969405	0.17440619072980784	0.2313568080696741	0.2557913327634834	0.21181910016428598	0.19618607707172203	0.1688974084600584	0.21300874322052188	0.16792884881743897	0.2167462342263964	0.21731986837043207	0.24354562159604368	0.24096934284822388	0.22702936998780743	0.21499531000306643	0.14531080389776638	0.13521985757237753	0.13821245093478704	0.1935336736588721	0.20771511656446998	0.22536238024496022	0.22207245613392462	0.2216300505388501	0.2268637162848057	0.19511666837791686	0.1501495979667675	0.2123709348639883	0.18203833450222853	0.20629371068774066	0.20172198579176107	0.18078505584104643	0.15567860745220338
530295	0.1694880158938204	0.16132997169567384	0.17193479125914612	0.1252461265758541	0.10127345262331494	0.12263079177079436	0.0	0.1010137169833362	0.10117107879403776	0.19101518959206437	0.18364917215006765	0.14700732330280425	0.13056524266977865	0.13978416315486078	0.17375737461317578	0.15370292181167775	0.16796509505842125	0.14493318647000678	0.15900867051241035	0.12584157603202753	0.14704970731185457	0.1507203928978132	0.13869198641312364	0.12586955691535617	0.12291855129865975	0.13039362426067636	0.11926146085008077	0.13597744821138333	0.13885717534331082	0.17116898936485037	0.12903901983355806	0.14874533930889672	0.11851598119249789	0.16215231582242506	0.176458199926318	0.18829213568816217	0.18145133612600278	0.12436609318273475	0.1267159678355576	0.13734991205086677	0.2041361918124906	0.1990214564252469	0.18877917600692953	0.2048356641109968	0.18158656874421078	0.1741429752104038	0.17943000484430624	0.19059268514138344	0.17850307182983755	0.15471041637626334	0.14594576258224481	0.18851635145459805	0.13618446413911328	0.1395035641719806	0.19645418151184688	0.22088870620565618	0.17691647360645876	0.1612834505138948	0.13399478190223119	0.17810611666269463	0.13302622225961175	0.1818436076685692	0.18241724181260485	0.20864299503821646	0.20606671629039666	0.1921267434299802	0.1800926834452392	0.11040817733993914	0.10031723101455031	0.10330982437695982	0.1586310471010449	0.17281249000664275	0.190459753687133	0.1871698295760974	0.18672742398102288	0.19196108972697848	0.16021404182008964	0.11524697140894027	0.1774683083061611	0.1471357079444013	0.1713910841299134	0.16681935923393384	0.1458824292832192	0.12077598089437615
S6Hp	0.1584001980808485	0.1502421538827019	0.1608469734461742	0.12700222104592607	0.10302954709338688	0.13591634354116344	0.1010137169833362	0.0	0.051216612063103954	0.14106072286113058	0.13369470541913384	0.109644232306145	0.0932021516731194	0.10242107215820155	0.13639428361651657	0.11633983081501852	0.13060200406176203	0.10757009547334755	0.12164557951575111	0.08847848503536829	0.10968661631519534	0.11335730190115395	0.1013288954164644	0.08850646591869693	0.08555546030200052	0.09303053326401711	0.08189836985342151	0.0986143572147241	0.1014940843466516	0.13380589836819112	0.09167592883689882	0.11138224831223749	0.08660382526490687	0.13450326397247028	0.1488091480763632	0.1606430838382074	0.15380228427604797	0.09671704133277997	0.09906691598560283	0.10970086020091198	0.17648713996253582	0.17137240457529213	0.16113012415697475	0.17718661226104201	0.15393751689425597	0.14649392336044903	0.15178095299435146	0.16294363329142866	0.15085401997988276	0.12706136452630856	0.11829671073229003	0.16086729960464327	0.1085354122891585	0.11185451232202581	0.1688051296618921	0.1932396543557014	0.14926742175650398	0.13363439866394003	0.10634573005227639	0.15045706481273985	0.10537717040965697	0.1541945558186144	0.15476818996265007	0.18099394318826167	0.17841766444044188	0.16447769158002543	0.1524436315952844	0.08275912548998435	0.07266817916459553	0.07566077252700504	0.1309819952510901	0.14516343815668797	0.16281070183717822	0.15952077772614265	0.15907837213106807	0.1643120378770237	0.13256498997013483	0.08759791955898548	0.1542752378296998	0.12394263746794001	0.14819801365345214	0.14969707823175799	0.12876014828104337	0.10968816308140422
31236	0.15855755989155004	0.15039951569340348	0.16100433525687577	0.12715958285662762	0.10318690890408845	0.136073705351865	0.10117107879403776	0.051216612063103954	0.0	0.12988058911772818	0.12251457167573143	0.10980159411684656	0.09335951348382097	0.10257843396890312	0.13655164542721812	0.11649719262572009	0.1307593658724636	0.10772745728404912	0.12180294132645267	0.08863584684606986	0.10984397812589691	0.1135146637118555	0.10148625722716598	0.0886638277293985	0.08571282211270209	0.09318789507471867	0.08205573166412308	0.09877171902542567	0.10165144615735316	0.1339632601788927	0.09183329064760037	0.11153961012293906	0.08676118707560843	0.13466062578317184	0.14896650988706478	0.16080044564890897	0.15395964608674956	0.09687440314348153	0.09922427779630438	0.10985822201161355	0.17664450177323737	0.17152976638599368	0.1612874859676763	0.17734397407174357	0.15409487870495753	0.14665128517115059	0.15193831480505302	0.16310099510213022	0.15101138179058432	0.12721872633701012	0.11845407254299159	0.16102466141534483	0.10869277409986006	0.11201187413272737	0.16896249147259365	0.19339701616640295	0.14942478356720554	0.13379176047464159	0.10650309186297796	0.1506144266234414	0.10553453222035852	0.15435191762931597	0.15492555177335163	0.18115130499896323	0.17857502625114344	0.16463505339072698	0.15260099340598599	0.08291648730068592	0.07282554097529709	0.0758181343377066	0.13113935706179167	0.14532079996738953	0.16296806364787977	0.1596781395368442	0.15923573394176965	0.16446939968772525	0.1327223517808364	0.08775528136968705	0.15443259964040135	0.12409999927864158	0.1483553754641537	0.14985444004245957	0.12891751009174493	0.10984552489210579
31749	0.24840167068957664	0.2402436264914301	0.25084844605490236	0.21700369365465422	0.19303101970211506	0.2259178161498916	0.19101518959206437	0.14106072286113058	0.12988058911772818	0.0	0.16396758328599514	0.1996457049148732	0.1832036242818476	0.19242254476692974	0.22639575622524474	0.2063413034237467	0.2206034766704902	0.19757156808207574	0.21164705212447932	0.1784799576440965	0.19968808892392353	0.20335877450988216	0.1913303680251926	0.17850793852742514	0.1755569329107287	0.1830320058727453	0.1718998424621497	0.1886158298234523	0.1914955569553798	0.22380737097691933	0.181677401445627	0.20138372092096568	0.17660529787363505	0.22450473658119846	0.2388106206850914	0.25064455644693556	0.24380375688477618	0.18671851394150815	0.189068388594331	0.19970233280964017	0.266488612571264	0.2613738771840203	0.25113159676570296	0.2671880848697702	0.24393898950298415	0.2364953959691772	0.2417824256030796	0.25294510590015684	0.24085549258861094	0.2170628371350367	0.2082981833410182	0.25086877221337145	0.19853688489788668	0.201855984930754	0.25880660227062025	0.2832411269644296	0.23926889436523213	0.2236358712726682	0.19634720266100458	0.24045853742146803	0.19537864301838515	0.24419602842734256	0.24476966257137822	0.2709954157969898	0.2684191370491701	0.2544791641887536	0.2424451042040126	0.17276059809871253	0.1626696517733237	0.16566224513573322	0.22098346785981826	0.23516491076541612	0.2528121744459064	0.2495222503348708	0.24907984473979627	0.2543135104857519	0.22256646257886303	0.17759939216771364	0.24427671043842797	0.2139441100766682	0.23819948626218032	0.23969855084048616	0.21876162088977152	0.1996896356901324
