	S10H1	S22Hp	S8Hp	F7H1	F1H1	S6Hp	531414	S11Hp	S28Hp	S23Hp	F23HpA	F14H1A	31071	S1Hp	31519	S17H1	530258	530119	31700	S16H2	31512	f10pp	w3pp	w4pp	w18pp	w24pp	w21pp	f11pp	w19pp	w1pp	w14pp	f20ppA	w8pp	w26pp	f24pp	w10pp	w27pp	w9pp	f19pp	w13pp	w16pp	w23pp	f2pp	w20pp	w15pp	w2pp	w11pp	f17ppB	w32pp	w17pp	f7pp	w12pp	w29pp	F22H1A	530074	530075	530050	s24H1	530227	31723	S27H1	31333	31300	F8H1	F32H1	S12Hp	S25Hp	31021	S21H1	S30H1	31360	S14Hp	F29H1	S15Hp	S26Hp	S2Hp	31236	S9H1	S29H1	F3H1	S3Hp	F14H1B	530364	F16H1	31749	530055	S19H1	530154	S4Hp	S7Hp	530451	F22HpB	S31Hp	S13Hp
S10H1	0.0	0.11624845646962033	0.10377194113716649	0.11377891977599217	0.18023134180582265	0.20194645748950033	0.18599783721782753	0.17502940181820717	0.2093532828694906	0.15103460616664124	0.14706061966290684	0.11544923546106624	0.14952676830347908	0.12823284456931466	0.15994931038061305	0.16101684446149445	0.17441845744475787	0.16938811665606457	0.2694728429714191	0.2596292646882765	0.3755252593689102	0.3965115025995198	0.3653130286991842	0.3974645875316509	0.3685665172397413	0.3605541774908717	0.4460191756307197	0.38978375746750527	0.3799592514456318	0.37193962268027503	0.3712094439058524	0.37102621677044323	0.3539512350869717	0.3521419568433371	0.34921152932255245	0.36901442712916893	0.4010137362846517	0.3948736129007344	0.3806884181364103	0.41456544421279373	0.37626344222423036	0.3887997586264876	0.3670281278280494	0.3552805812631322	0.399862436646986	0.36841069451412595	0.35493551285792074	0.37235388588198154	0.3601061571490385	0.3530290255897868	0.3603583807270358	0.3638773233280687	0.3415816271033979	0.4928041037186034	0.43897979598549863	0.3482577967527154	0.4384853713554289	0.4510061657506052	0.37696009771960337	0.4077952334185141	0.41096213000631276	0.22464419219797502	0.23724481006146056	0.1715372650565031	0.18391454241972366	0.15303229597565768	0.18813164664843218	0.20275181042577517	0.14410143009689008	0.1325253867033228	0.1789873926652981	0.17816201048842809	0.19310420669986744	0.12639241746528135	0.1351609356745921	0.17013160086033008	0.21806117140015235	0.20710639885059087	0.19107723275907176	0.13159245759992347	0.11923383395610368	0.1276534178078071	0.19922106853753668	0.1938924799195533	0.19861008397622681	0.19199766063990187	0.19633296064492614	0.30872957364198367	0.13616484253381464	0.08492527570325581	0.12579046643280223	0.09902405366431843	0.16982097122887185	0.06678001052442917
S22Hp	0.11624845646962033	0.0	0.02658746809550064	0.06137857216765672	0.18617659656819308	0.20789171225187075	0.191943091980198	0.18097465658057763	0.21529853763186102	0.15697986092901167	0.15300587442527727	0.12139449022343668	0.1554720230658495	0.1341780993316851	0.1658945651429835	0.1669620992238649	0.18036371220712832	0.17533337141843502	0.2754180977337895	0.2655745194506469	0.38147051413128064	0.40245675736189024	0.37125828346155465	0.4034098422940214	0.3745117720021118	0.36649943225324216	0.45196443039309014	0.3957290122298757	0.38590450620800226	0.3778848774426455	0.3771546986682229	0.3769714715328137	0.35989648984934214	0.35808721160570756	0.3551567840849229	0.3749596818915394	0.40695899104702216	0.40081886766310487	0.38663367289878076	0.4205106989751642	0.3822086969866008	0.39474501338885803	0.37297338259041984	0.3612258360255027	0.40580769140935646	0.3743559492764964	0.3608807676202912	0.378299140644352	0.36605141191140894	0.3589742803521573	0.36630363548940625	0.36982257809043917	0.34752688186576836	0.49874935848097385	0.4449250507478691	0.35420305151508585	0.4444306261177994	0.45695142051297566	0.3829053524819738	0.41374048818088455	0.4169073847686832	0.23058944696034545	0.243190064823831	0.17748251981887356	0.18985979718209411	0.1589775507380281	0.19407690141080264	0.20869706518814563	0.15004668485926054	0.13847064146569327	0.18493264742766855	0.18410726525079854	0.1990494614622379	0.1323376722276518	0.14110619043696251	0.17607685562270053	0.2240064261625228	0.2130516536129613	0.1970224875214422	0.1375377123622939	0.1251790887184741	0.13359867257017752	0.20516632329990714	0.19983773468192373	0.20455533873859727	0.19794291540227232	0.20227821540729657	0.3146748284043541	0.14211009729618507	0.09087053046562626	0.13173572119517268	0.10496930842668889	0.1757662259912423	0.12591587582906627
S8Hp	0.10377194113716649	0.02658746809550064	0.0	0.04890205683520289	0.17370008123573927	0.19541519691941694	0.17946657664774412	0.1684981412481238	0.2028220222994072	0.14450334559655784	0.14052935909282344	0.10891797489098284	0.1429955077333957	0.12170158399923126	0.15341804981052964	0.15448558389141107	0.16788719687467446	0.16285685608598116	0.2629415824013357	0.2530980041181931	0.3689939987988268	0.38998024202943643	0.35878176812910084	0.3909333269615676	0.36203525666965797	0.35402291692078836	0.43948791506063634	0.3832524968974219	0.37342799087554845	0.3654083621101917	0.36467818333576907	0.3644949562003599	0.34741997451688833	0.34561069627325375	0.3426802687524691	0.3624831665590856	0.39448247571456835	0.38834235233065106	0.37415715756632695	0.4080341836427104	0.369732181654147	0.3822684980564042	0.36049686725796604	0.34874932069304887	0.39333117607690266	0.3618794339440426	0.3484042522878374	0.3658226253118982	0.35357489657895513	0.3464977650197035	0.35382712015695245	0.35734606275798536	0.33505036653331455	0.48627284314852004	0.4324485354154153	0.34172653618263205	0.43195411078534557	0.44447490518052185	0.37042883714952	0.40126397284843074	0.4044308694362294	0.21811293162789164	0.23071354949137718	0.16500600448641972	0.17738328184964025	0.1465010354055743	0.18160038607834877	0.19622054985569176	0.13757016952680667	0.1259941261332394	0.1724561320952147	0.1716307499183447	0.18657294612978403	0.11986115689519795	0.12862967510450868	0.1636003402902467	0.21152991083006895	0.2005751382805075	0.18454597218898838	0.1250611970298401	0.11270257338602029	0.12112215723772368	0.19268980796745327	0.18736121934946992	0.1920788234061434	0.18546640006981846	0.18980170007484276	0.3021983130719003	0.12963358196373123	0.07839401513317243	0.11925920586271883	0.09249279309423505	0.16328971065878845	0.11343936049661242
F7H1	0.11377891977599217	0.06137857216765672	0.04890205683520289	0.0	0.18370705987456493	0.2054221755582426	0.1894735552865698	0.17850511988694945	0.21282900093823287	0.15451032423538352	0.1505363377316491	0.11892495352980853	0.15300248637222136	0.13170856263805691	0.16342502844935533	0.16449256253023675	0.17789417551350015	0.17286383472480685	0.27294856104016135	0.26310498275701877	0.3790009774376525	0.3999872206682621	0.3687887467679265	0.40094030560039323	0.3720422353084836	0.364029895559614	0.449494893699462	0.39325947553624757	0.3834349695143741	0.37541534074901733	0.3746851619745947	0.37450193483918554	0.357426953155714	0.3556176749120794	0.35268724739129476	0.37249014519791124	0.404489454353394	0.3983493309694767	0.3841641362051526	0.41804116228153604	0.37973916029297267	0.3922754766952299	0.3705038458967917	0.35875629933187453	0.4033381547157283	0.37188641258286825	0.35841123092666305	0.37582960395072385	0.3635818752177808	0.35650474365852913	0.3638340987957781	0.367353041396811	0.3450573451721402	0.4962798217873457	0.44245551405424094	0.3517335148214577	0.4419610894241712	0.4544818838193475	0.3804358157883457	0.4112709514872564	0.41443784807505507	0.2281199102667173	0.24072052813020284	0.17501298312524538	0.18739026048846594	0.15650801404439996	0.19160736471717446	0.20622752849451745	0.14757714816563236	0.1360011047720651	0.18246311073404037	0.18163772855717036	0.19657992476860972	0.12986813553402363	0.13863665374333434	0.17360731892907239	0.22153688946889463	0.21058211691933315	0.19455295082781404	0.13506817566866575	0.12270955202484596	0.13112913587654934	0.20269678660627896	0.19736819798829558	0.2020858020449691	0.19547337870864415	0.19980867871366842	0.312205291710726	0.13964056060255692	0.08840099377199809	0.1292661845015445	0.10249977173306071	0.17329668929761413	0.1234463391354381
F1H1	0.18023134180582265	0.18617659656819308	0.17370008123573927	0.18370705987456493	0.0	0.2081879714039948	0.19223935113232204	0.1812709157327017	0.21559479678398513	0.15727612008113573	0.15330213357740136	0.14061614684950857	0.1746936796919214	0.15339975595775696	0.18511622176905537	0.1861837558499368	0.1995853688332002	0.1945550280445069	0.2946397543598614	0.2847961760767188	0.40069217075735253	0.42167841398796213	0.39047994008762654	0.4226314989200933	0.39373342862818367	0.38572108887931406	0.47118608701916204	0.4149506688559476	0.40512616283407415	0.3971065340687174	0.39637635529429477	0.3961931281588856	0.37911814647541403	0.37730886823177945	0.3743784407109948	0.3941813385176113	0.42618064767309405	0.42004052428917676	0.40585532952485265	0.4397323556012361	0.4014303536126727	0.4139666700149299	0.39219503921649174	0.38044749265157457	0.42502934803542836	0.3935776059025683	0.3801024242463631	0.3975207972704239	0.38527306853748083	0.3781959369782292	0.38552529211547815	0.38904423471651106	0.36674853849184025	0.5179710151070458	0.464146707373941	0.37342470814115775	0.46365228274387127	0.47617307713904755	0.4021270091080457	0.43296214480695644	0.4361290413947551	0.24981110358641734	0.2624117214499029	0.19670417644494542	0.209081453808166	0.1781992073641	0.21329855803687447	0.2279187218142175	0.1692683414853324	0.15769229809176513	0.2041543040537404	0.2169271082095965	0.23186930442103582	0.16515751518644972	0.17392603339576046	0.20889669858149845	0.2568262691213207	0.24587149657175922	0.2298423304802401	0.17035755532109184	0.15799893167727205	0.16641851552897544	0.23798616625870506	0.23265757764072165	0.2373751816973952	0.23076275836107024	0.2350980583660945	0.3474946713631521	0.17492994025498299	0.1390505747826565	0.17991576551220292	0.15314935274371913	0.22394627030827255	0.18989876116526858
S6Hp	0.20194645748950033	0.20789171225187075	0.19541519691941694	0.2054221755582426	0.2081879714039948	0.0	0.1929108921508396	0.18194245675121923	0.21626633780250265	0.15794766109965327	0.15397367459591887	0.16233126253318625	0.19640879537559908	0.17511487164143463	0.20683133745273302	0.20789887153361444	0.22130048451687784	0.21627014372818454	0.31635487004353907	0.3065112917603965	0.4224072864410302	0.4433935296716398	0.4121950557713042	0.44434661460377095	0.41544854431186135	0.40743620456299173	0.4929012027028397	0.4366657845396253	0.42684127851775183	0.41882164975239505	0.41809147097797245	0.41790824384256325	0.4008332621590917	0.3990239839154571	0.3960935563946725	0.41589645420128896	0.4478957633567717	0.44175563997285444	0.4275704452085303	0.46144747128491376	0.4231454692963504	0.4356817856986076	0.4139101549001694	0.40216260833525225	0.44674446371910603	0.41529272158624597	0.40181753993004077	0.41923591295410156	0.4069881842211585	0.39991105266190685	0.4072404077991558	0.41075935040018874	0.3884636541755179	0.5396861307907234	0.48586182305761866	0.3951398238248354	0.48536739842754895	0.49788819282272523	0.4238421247917234	0.4546772604906341	0.4578441570784328	0.271526219270095	0.28412683713358056	0.2184192921286231	0.23079656949184366	0.19991432304777768	0.23501367372055215	0.24963383749789514	0.19098345716901005	0.17940741377544278	0.2258694197374181	0.23864222389327414	0.2535844201047135	0.18687263087012737	0.1956411490794381	0.23061181426517613	0.27854138480499835	0.2675866122554369	0.2515574461639178	0.1920726710047695	0.1797140473609497	0.1881336312126531	0.25970128194238273	0.2543726933243993	0.2590902973810728	0.25247787404474786	0.25681317404977216	0.3692097870468297	0.19664505593866066	0.16076569046633418	0.2016308811958806	0.1748644684273968	0.24566138599195023	0.21161387684894625
531414	0.18599783721782753	0.191943091980198	0.17946657664774412	0.1894735552865698	0.19223935113232204	0.1929108921508396	0.0	0.13950424978937026	0.17382813084065368	0.11550945413780431	0.11153546763406991	0.14638264226151348	0.1804601751039263	0.15916625136976187	0.19088271718106026	0.19195025126194168	0.20535186424520507	0.20032152345651177	0.3004062497718663	0.2905626714887237	0.40645866616935744	0.42744490939996704	0.39624643549963146	0.4283979943320982	0.3994999240401886	0.39148758429131897	0.47695258243116695	0.4207171642679525	0.41089265824607907	0.4028730294807223	0.4021428507062997	0.4019596235708905	0.38488464188741894	0.38307536364378436	0.3801449361229997	0.3999478339296162	0.43194714308509896	0.4258070197011817	0.41162182493685756	0.445498851013241	0.4071968490246776	0.41973316542693484	0.39796153462849665	0.3862139880635795	0.43079584344743327	0.3993441013145732	0.385868919658368	0.4032872926824288	0.39103956394948575	0.3839624323902341	0.39129178752748306	0.394810730128516	0.37251503390384516	0.5237375105190506	0.4699132027859459	0.37919120355316266	0.4694187781558762	0.48193957255105246	0.40789350452005063	0.43872864021896135	0.44189553680676	0.25557759899842225	0.2681782168619078	0.20247067185695033	0.2148479492201709	0.1839657027761049	0.2190650534488794	0.23368521722622237	0.1750348368973373	0.16345879350377002	0.20992079946574532	0.22269360362160137	0.2376357998330407	0.1709240105984546	0.17969252880776534	0.21466319399350337	0.2625927645333256	0.25163799198376413	0.23560882589224502	0.17612405073309673	0.16376542708927694	0.17218501094098035	0.24375266167070994	0.23842407305272656	0.24314167710940007	0.23652925377307513	0.2408645537780994	0.35326116677515695	0.1806964356669879	0.14481707019466142	0.1856822609242078	0.15891584815572404	0.22971276572027743	0.19566525657727346
S11Hp	0.17502940181820717	0.18097465658057763	0.1684981412481238	0.17850511988694945	0.1812709157327017	0.18194245675121923	0.13950424978937026	0.0	0.10440178293447804	0.07090677738090458	0.09040834553961531	0.1354142068618931	0.16949173970430592	0.1481978159701415	0.17991428178143992	0.18098181586232132	0.19438342884558474	0.18935308805689144	0.2894378143722459	0.27959423608910333	0.39549023076973705	0.41647647400034665	0.38527800010001106	0.4174295589324778	0.3885314886405682	0.3805191488916986	0.46598414703154656	0.40974872886833213	0.3999242228464587	0.3919045940811019	0.3911744153066793	0.3909911881712701	0.37391620648779855	0.37210692824416397	0.3691765007233793	0.3889793985299958	0.42097870768547857	0.4148385843015613	0.40065338953723717	0.4345304156136206	0.39622841362505723	0.40876473002731445	0.38699309922887626	0.3752455526639591	0.4198274080478129	0.3883756659149528	0.3749004842587476	0.3923188572828084	0.38007112854986536	0.3729939969906137	0.38032335212786267	0.3838422947288956	0.36154659850422477	0.5127690751194303	0.4589447673863255	0.36822276815354227	0.4584503427562558	0.4709711371514321	0.39692506912043024	0.42776020481934096	0.43092710140713963	0.24460916359880186	0.2572097814622874	0.19150223645732997	0.20387951382055053	0.17299726737648452	0.20809661804925902	0.22271678182660204	0.16406640149771695	0.15249035810414968	0.19895236406612496	0.211725168221981	0.22666736443342034	0.15995557519883424	0.16872409340814498	0.203694758593883	0.25162432913370525	0.24066955658414377	0.22464039049262466	0.1651556153334764	0.1527969916896566	0.16121657554135999	0.23278422627108958	0.2274556376531062	0.2321732417097797	0.22556081837345476	0.22989611837847904	0.3422927313755366	0.16972800026736753	0.13384863479504105	0.17471382552458747	0.14794741275610368	0.2187443303206571	0.1846968211776531
S28Hp	0.2093532828694906	0.21529853763186102	0.2028220222994072	0.21282900093823287	0.21559479678398513	0.21626633780250265	0.17382813084065368	0.10440178293447804	0.0	0.10523065843218798	0.12473222659089872	0.16973808791317652	0.20381562075558934	0.1825216970214249	0.21423816283272332	0.21530569691360474	0.22870730989686813	0.22367696910817483	0.32376169542352934	0.31391811714038675	0.4298141118210205	0.4508003550516301	0.4196018811512945	0.4517534399837612	0.4228553696918516	0.414843029942982	0.50030802808283	0.44407260991961556	0.4342481038977421	0.4262284751323853	0.4254982963579627	0.4253150692225535	0.408240087539082	0.4064308092954474	0.40350038177466274	0.4233032795812792	0.455302588736762	0.4491624653528447	0.4349772705885206	0.468854296664904	0.43055229467634065	0.44308861107859787	0.4213169802801597	0.4095694337152425	0.4541512890990963	0.42269954696623624	0.40922436531003104	0.42664273833409183	0.4143950096011488	0.4073178780418971	0.4146472331791461	0.418166175780179	0.3958704795555082	0.5470929561707136	0.4932686484376089	0.4025466492048257	0.4927742238075392	0.5052950182027155	0.43124895017171366	0.4620840858706244	0.46525098245842306	0.2789330446500853	0.2915336625135708	0.22582611750861337	0.23820339487183395	0.20732114842776794	0.24242049910054242	0.2570406628778854	0.19839028254900035	0.18681423915543308	0.23327624511740835	0.2460490492732644	0.26099124548470376	0.19427945625011764	0.20304797445942838	0.2380186396451664	0.2859482101849886	0.27499343763542716	0.25896427154390805	0.19947949638475976	0.18712087274093997	0.19554045659264338	0.267108107322373	0.2617795187043896	0.2664971227610631	0.25988469942473813	0.26421999942976243	0.37661661242682	0.20405188131865093	0.16817251584632445	0.20903770657587087	0.18227129380738707	0.25306821137194047	0.21902070222893652
S23Hp	0.15103460616664124	0.15697986092901167	0.14450334559655784	0.15451032423538352	0.15727612008113573	0.15794766109965327	0.11550945413780431	0.07090677738090458	0.10523065843218798	0.0	0.06641354988804934	0.11141941121032715	0.14549694405274	0.12420302031857555	0.15591948612987394	0.15698702021075536	0.17038863319401876	0.16535829240532546	0.26544301872068	0.2555994404375374	0.3714954351181711	0.3924816783487807	0.36128320444844514	0.39343476328091187	0.36453669298900226	0.35652435324013265	0.44198935137998063	0.3857539332167662	0.37592942719489275	0.367909798429536	0.36717961965511337	0.3669963925197042	0.3499214108362326	0.34811213259259804	0.3451817050718134	0.3649846028784299	0.39698391203391264	0.39084378864999536	0.37665859388567124	0.4105356199620547	0.3722336179734913	0.3847699343757485	0.36299830357731033	0.35125075701239317	0.39583261239624695	0.3643808702633869	0.3509056886071817	0.3683240616312425	0.35607633289829943	0.34899920133904777	0.35632855647629674	0.35984749907732966	0.33755180285265884	0.48877427946786434	0.4349499717347596	0.34422797250197634	0.43445554710468987	0.44697634149986615	0.3729302734688643	0.40376540916777504	0.4069323057555737	0.22061436794723593	0.23321498581072148	0.16750744080576402	0.17988471816898458	0.1490024717249186	0.18410182239769307	0.19872198617503606	0.14007160584615097	0.1284955624525837	0.174957568414559	0.18773037257041505	0.20267256878185438	0.1359607795472683	0.14472929775657903	0.17969996294231705	0.2276295334821393	0.21667476093257781	0.2006455948410587	0.1411608196819104	0.12880219603809062	0.13722177988979403	0.20878943061952362	0.20346084200154024	0.20817844605821376	0.2015660227218888	0.20590132272691308	0.3182979357239707	0.14573320461580158	0.1098538391434751	0.1507190298730215	0.12395261710453773	0.19474953466909112	0.16070202552608714
