	F29H1	S6Hp	S7Hp	F1H1	F23HpA	530119	31267	530295	F14H1B	530055	F8H1	S25Hp	S12Hp	31236	31714	530315	S9H1	F22HpB	S13Hp	S15Hp	S14Hp	S1Hp	F7H1	31021	S19H1	F3H1	S29H1	530331	31328	530444	31333	s24H1	530163	w14pp	w11pp	f7pp	w20pp	f20ppA	31750	S18H1	31519	31071	S23Hp	S31Hp	S16H2	S22Hp	31700	530258	31379	S20H1	530050	S27H1	S30H1	S17H1	530215	F14H1A	S28Hp	S3Hp	S4Hp	31219	S2Hp	530451	31360	31129	S26Hp	F32H1	530167	531414	31300	S10H1	S21H1	530075	S8Hp	S11Hp	31232	530394	31160	F6H1
F29H1	0.0	0.09165786934641439	0.17175641316087162	0.35163232775650055	0.3260931744378772	0.23700031456472487	0.2741856230773765	0.3283378061610268	0.2787290057569044	0.30770283175882274	0.31753573235203714	0.3457360877558787	0.2631380676236149	0.3348756192625508	0.3455269804042187	0.24596783363847272	0.28493735460217706	0.23002157942506157	0.32139404452677	0.23474515912797017	0.25647589162007256	0.21481549853384552	0.25024036323376053	0.36280753062089277	0.23853395056686677	0.2449487218293161	0.35202505108745386	0.29711040794962396	0.2537037909130019	0.34003993240816655	0.2843009699263016	0.3917778505585522	0.4067097024774369	0.43328540509315283	0.43278541625695	0.422275438064885	0.4171180431740734	0.4242501690731372	0.31882590864844773	0.3509157259246415	0.26096662147096283	0.2858643681950176	0.3219031436395384	0.29817002546973925	0.29590636209205334	0.3203541438148185	0.3476674384503228	0.3072215763758738	0.3655896507410884	0.2746694710940034	0.3541005314810768	0.3311258301951877	0.3628439180356655	0.23502018125394444	0.33092008160549236	0.3443650247760889	0.3198667298458927	0.24655666301271845	0.24798981774074974	0.2575030357733795	0.33501663157259076	0.36975869401746975	0.3595407687806842	0.35763490873671966	0.2380157301025254	0.2690222379766706	0.3648843694313635	0.3527435917732682	0.33924937926796683	0.36186295868811624	0.34792381373081693	0.2716996282646977	0.22321978486822855	0.29667811744753925	0.2254686123446913	0.21830082375292373	0.2039556216105336	0.14865315580285793
S6Hp	0.09165786934641439	0.0	0.14921918577668128	0.32909510037231027	0.3035559470536868	0.21446308718053453	0.2516483956931862	0.3058005787768364	0.2561917783727141	0.28516560437463234	0.29499850496784685	0.3231988603716883	0.24060084023942455	0.31233839187836043	0.3229897530200284	0.22343060625428238	0.2624001272179867	0.20748435204087123	0.2988568171425797	0.21220793174377983	0.23393866423588222	0.19227827114965518	0.22770313584957017	0.3402703032367024	0.21599672318267643	0.22241149444512576	0.32948782370326346	0.27457318056543356	0.23116656352881157	0.31750270502397626	0.26176374254211127	0.3692406231743619	0.3841724750932466	0.41074817770896244	0.4102481888727596	0.3997382106806946	0.394580815789883	0.4017129416889468	0.29628868126425734	0.3283784985404511	0.23842939408677252	0.2633271408108273	0.29936591625534803	0.27563279808554897	0.27336913470786306	0.29781691643062813	0.3251302110661325	0.2846843489916834	0.343052423356898	0.2521322437098131	0.3315633040968864	0.3085886028109974	0.3403066906514751	0.2124829538697541	0.30838285422130207	0.3218277973918986	0.2973295024617024	0.2240194356285281	0.2254525903565594	0.23496580838918915	0.31247940418840037	0.34722146663327946	0.3370035413964938	0.33509768135252926	0.21547850271833507	0.2464850105924802	0.3423471420471732	0.3302063643890779	0.31671215188377644	0.33932573130392596	0.32538658634662654	0.24916240088050734	0.2006825574840382	0.27414089006334885	0.20293138496050095	0.1957635963687334	0.18141839422634326	0.1261159284186676
S7Hp	0.17175641316087162	0.14921918577668128	0.0	0.20327804307185718	0.17773888975323376	0.08864602988008141	0.12583133839273308	0.17998352147638338	0.130374721072261	0.1593485470741793	0.16918144766739374	0.1973818030712353	0.11478378293897146	0.18652133457790737	0.1971726957195753	0.09761354895382929	0.13658306991753363	0.08166729474041813	0.17303975984212663	0.08639087444332673	0.10812160693542913	0.06646121384920206	0.10188607854911706	0.21445324593624931	0.09017966588222331	0.09659443714467267	0.20367076640281043	0.14875612326498053	0.10534950622835847	0.19168564772352314	0.13594668524165818	0.2434235658739088	0.2583554177927935	0.2849311204085094	0.28443113157230654	0.27392115338024153	0.26876375848942996	0.2758958843884937	0.17047162396380428	0.20256144123999803	0.11261233678631943	0.13751008351037422	0.173548858954895	0.14981574078509585	0.14755207740740994	0.1719998591301751	0.1993131537656794	0.15886729169123034	0.21723536605644495	0.12631518640936	0.20574624679643333	0.18277154551054434	0.21448963335102206	0.08666589656930099	0.18256579692084896	0.1960107400914455	0.1715124451612493	0.09820237832807502	0.0996355330561063	0.10914875108873606	0.1866623468879473	0.22140440933282637	0.21118648409604077	0.20928062405207623	0.08966144541788197	0.12066795329202712	0.2165300847467201	0.2043893070886248	0.19089509458332338	0.21350867400347284	0.1995695290461735	0.12334534358005425	0.07486550018358511	0.14832383276289582	0.12250034647169725	0.1547087681446349	0.14036356600224476	0.16360941359010595
F1H1	0.35163232775650055	0.32909510037231027	0.20327804307185718	0.0	0.29459030561127975	0.22163981185433934	0.258825120366991	0.3129773034506413	0.2755934308346864	0.3045672568366047	0.3144001574298191	0.34260051283366066	0.26000249270139686	0.34002348865499077	0.35067484979665875	0.25111570303091274	0.2900852239946171	0.23516944881750157	0.32654191391921006	0.23989302852041017	0.2616237610125126	0.2199633679262855	0.25538823262620053	0.3679554000133327	0.24368181995930677	0.2500965912217561	0.35717292047989385	0.30225827734206395	0.25885166030544193	0.3451878018006066	0.28944883931874166	0.39692571995099224	0.4118575718698769	0.4384332744855928	0.43793328564939	0.427423307457325	0.4222659125665134	0.42939803846557717	0.32397377804088767	0.3560635953170814	0.2661144908634029	0.29101223758745765	0.3270510130319784	0.3033178948621793	0.3010542314844934	0.3255020132072585	0.3528153078427628	0.31236944576831377	0.37073752013352834	0.27981734048644347	0.3592484008735167	0.33627369958762776	0.36799178742810545	0.24016805064638444	0.3360679509979324	0.34951289416852893	0.32501459923833276	0.25170453240515844	0.25313768713318974	0.2626509051658195	0.3401645009650307	0.3749065634099098	0.3646886381731242	0.36278277812915966	0.2431635994949654	0.27417010736911057	0.37003223882380354	0.35789146116570825	0.3443972486604068	0.3670108280805563	0.35307168312325693	0.2768474976571377	0.22836765426066855	0.30182598683997924	0.30237626106732624	0.3345846827402639	0.32023948059787377	0.3434853281857349
F23HpA	0.3260931744378772	0.3035559470536868	0.17773888975323376	0.29459030561127975	0.0	0.19610065853571595	0.23328596704836763	0.2874381501320179	0.25005427751606296	0.27902810351798124	0.2888610041111957	0.3170613595150372	0.23446333938277344	0.3144843353363674	0.3251356964780353	0.22557654971228933	0.26454607067599367	0.20963029549887816	0.3010027606005866	0.21435387520178678	0.23608460769388917	0.1944242146076621	0.2298490793075771	0.3424162466947093	0.21814266664068335	0.2245574379031327	0.33163376716127047	0.27671912402344057	0.2333125069868185	0.31964864848198316	0.2639096860001182	0.3713865666323688	0.3863184185512535	0.41289412116696944	0.4123941323307666	0.4018841541387016	0.39672675924789	0.4038588851469538	0.2984346247222643	0.33052444199845804	0.24057533754477947	0.26547308426883426	0.30151185971335503	0.27777874154355586	0.27551507816586995	0.29996285988863514	0.3272761545241394	0.2868302924496904	0.34519836681490496	0.25427818716782	0.33370924755489334	0.3107345462690043	0.34245263410948207	0.21462889732776103	0.31052879767930897	0.3239737408499055	0.2994754459197093	0.22616537908653506	0.22759853381456635	0.2371117518471961	0.3146253476464073	0.34936741009128636	0.3391494848545008	0.33724362481053627	0.21762444617634202	0.24863095405048716	0.3444930855051801	0.3323523078470848	0.3188580953417834	0.34147167476193285	0.32753252980463354	0.2513083443385143	0.20282850094204513	0.27628683352135586	0.27683710774870285	0.3090455294216405	0.29470032727925033	0.3179461748671115
530119	0.23700031456472487	0.21446308718053453	0.08864602988008141	0.22163981185433934	0.19610065853571595	0.0	0.10042643747458463	0.15457862055823487	0.16096141764291066	0.18993524364482894	0.19976814423804337	0.22796849964188493	0.14537047950962112	0.22539147546321506	0.23604283660488298	0.136483689839137	0.17545321080284135	0.12053743562572583	0.21190990072743432	0.12526101532863443	0.14699174782073685	0.10533135473450977	0.1407562194344248	0.253323386821557	0.12904980676753103	0.13546457802998038	0.2425409072881181	0.1876262641502882	0.1442196471136662	0.23055578860883083	0.1748168261269659	0.2822937067592165	0.2972255586781012	0.3238012612938171	0.32330127245761425	0.31279129426554925	0.3076338993747377	0.31476602527380143	0.20934176484911196	0.24143158212530572	0.15148247767162715	0.1763802243956819	0.21241899984020268	0.18868588167040357	0.18642221829271766	0.21087000001548278	0.2381832946509871	0.19773743257653803	0.2561055069417526	0.1651853272946677	0.24461638768174102	0.22164168639585202	0.2533597742363297	0.1255360374546087	0.22143593780615664	0.2348808809767532	0.210382586046557	0.13707251921338273	0.138505673941414	0.14801889197404378	0.225532487773255	0.26027455021813406	0.25005662498134845	0.24815076493738392	0.12853158630318967	0.15953809417733483	0.2554002256320278	0.24325944797393248	0.22976523546863106	0.25237881488878056	0.2384396699314812	0.16221548446536196	0.1137356410688928	0.1871939736482035	0.1877442478755505	0.21995266954848813	0.20560746740609803	0.22885331499395917
31267	0.2741856230773765	0.2516483956931862	0.12583133839273308	0.258825120366991	0.23328596704836763	0.10042643747458463	0.0	0.16392708227285982	0.19814672615556234	0.22712055215748062	0.23695345275069504	0.2651538081545366	0.1825557880222728	0.2625767839758667	0.2732281451175347	0.17366899835178867	0.21263851931549302	0.1577227441383775	0.249095209240086	0.1624463238412861	0.18417705633338852	0.14251666324716145	0.17794152794707646	0.29050869533420864	0.1662351152801827	0.17264988654263205	0.2797262158007698	0.22481157266293988	0.18140495562631787	0.26774109712148253	0.21200213463961756	0.31947901527186817	0.33441086719075286	0.36098656980646876	0.3604865809702659	0.3499766027782009	0.34481920788738935	0.3519513337864531	0.24652707336176363	0.27861689063795736	0.18866778618427882	0.21356553290833358	0.24960430835285435	0.22587119018305524	0.22360752680536933	0.24805530852813445	0.27536860316363876	0.2349227410891897	0.2932908154544043	0.20237063580731937	0.28180169619439266	0.2588269949085037	0.2905450827489814	0.16272134596726037	0.25862124631880834	0.27206618948940486	0.24756789455920866	0.1742578277260344	0.17569098245406567	0.18520420048669545	0.26271779628590664	0.29745985873078573	0.2872419334940001	0.2853360734500356	0.16571689481584134	0.1967234026899865	0.29258553414467947	0.2804447564865842	0.2669505439812827	0.2895641234014322	0.27562497844413286	0.19940079297801364	0.15092094958154448	0.22437928216085518	0.22492955638820217	0.2571379780611398	0.24279277591874968	0.26603862350661084
530295	0.3283378061610268	0.3058005787768364	0.17998352147638338	0.3129773034506413	0.2874381501320179	0.15457862055823487	0.16392708227285982	0.0	0.2522989092392126	0.2812727352411309	0.29110563583434534	0.31930599123818687	0.23670797110592307	0.31672896705951703	0.3273803282011849	0.22782118143543895	0.26679070239914326	0.21187492722202778	0.30324739232373626	0.21659850692493637	0.2383292394170388	0.19666884633081172	0.23209371103072673	0.344660878417859	0.22038729836383297	0.22680206962628233	0.33387839888442006	0.27896375574659016	0.23555713870996814	0.32189328020513275	0.2661543177232678	0.3736311983555184	0.3885630502744031	0.41513875289011903	0.4146387640539162	0.4041287858618512	0.3989713909710396	0.4061035168701034	0.30067925644541393	0.3327690737216077	0.2428199692679291	0.26771771599198385	0.3037564914365046	0.2800233732667055	0.2777597098890196	0.30220749161178473	0.32952078624728903	0.28907492417284	0.3474429985380546	0.2565228188909696	0.335953879278043	0.31297917799215397	0.3446972658326317	0.21687352905091065	0.31277342940245856	0.32621837257305514	0.3017200776428589	0.22841001080968468	0.22984316553771594	0.23935638357034572	0.31686997936955696	0.351612041814436	0.3413941165776504	0.33948825653368586	0.21986907789949162	0.2508755857736368	0.3467377172283297	0.3345969395702344	0.32110272706493304	0.34371630648508245	0.32977716152778314	0.25355297606166394	0.20507313266519475	0.27853146524450545	0.27908173947185244	0.3112901611447901	0.2969449590023999	0.3201908065902611
F14H1B	0.2787290057569044	0.2561917783727141	0.130374721072261	0.2755934308346864	0.25005427751606296	0.16096141764291066	0.19814672615556234	0.2522989092392126	0.0	0.15021005436314877	0.16004295495636323	0.25754932172372746	0.17495130159146366	0.2671201666553946	0.2777715277970626	0.1782123810313166	0.21718190199502094	0.16226612681790542	0.2536385919196139	0.16698970652081402	0.18872043901291644	0.14706004592668936	0.18248491062660438	0.29505207801373656	0.17077849795971062	0.17719326922215997	0.2842695984802977	0.2293549553424678	0.18594833830584578	0.27228447980101045	0.21654551731914548	0.3240223979513961	0.3389542498702808	0.3655299524859967	0.36502996364979384	0.35451998545772884	0.34936259056691726	0.356494716465981	0.2510704560412915	0.2831602733174853	0.19321116886380674	0.2181089155878615	0.2541476910323823	0.23041457286258316	0.22815090948489725	0.2525986912076624	0.2799119858431667	0.23946612376871762	0.2978341981339322	0.2069140184868473	0.2863450788739206	0.2633703775880316	0.2950884654285093	0.1672647286467883	0.26316462899833626	0.2766095721689328	0.2521112772387366	0.17880121040556232	0.1802343651335936	0.18974758316622337	0.26726117896543455	0.30200324141031365	0.29178531617352804	0.2898794561295635	0.17026027749536926	0.20126678536951442	0.2971289168242074	0.2849881391661121	0.2714939266608106	0.29410750608096015	0.2801683611236608	0.20394417565754155	0.1554643322610724	0.2289226648403831	0.2294729390677301	0.2616813607406677	0.2473361585982776	0.27058200618613876
530055	0.30770283175882274	0.28516560437463234	0.1593485470741793	0.3045672568366047	0.27902810351798124	0.18993524364482894	0.22712055215748062	0.2812727352411309	0.15021005436314877	0.0	0.12398166371274015	0.28652314772564574	0.20392512759338194	0.29609399265731295	0.3067453537989808	0.20718620703323487	0.24615572799693922	0.1912399528198237	0.2826124179215322	0.1959635325227323	0.21769426501483471	0.17603387192860764	0.21145873662852266	0.3240259040156549	0.1997523239616289	0.20616709522407825	0.313243424482216	0.2583287813443861	0.21492216430776406	0.30125830580292867	0.24551934332106376	0.3529962239533143	0.367928075872199	0.39450377848791496	0.3940037896517121	0.3834938114596471	0.37833641656883554	0.3854685424678993	0.28004428204320986	0.3121340993194036	0.22218499486572502	0.24708274158977978	0.28312151703430055	0.25938839886450143	0.2571247354868155	0.28157251720958065	0.30888581184508496	0.2684399497706359	0.32680802413585053	0.23588784448876557	0.3153189048758389	0.2923442035899499	0.32406229143042764	0.19623855464870657	0.2921384550002545	0.30558339817085106	0.28108510324065483	0.2077750364074806	0.20920819113551187	0.21872140916814165	0.2962350049673529	0.33097706741223193	0.3207591421754463	0.3188532821314818	0.19923410349728754	0.2302406113714327	0.3261027428261256	0.3139619651680303	0.30046775266272896	0.32308133208287837	0.30914218712557906	0.23291800165945983	0.18443815826299068	0.2578964908423014	0.25844676506964837	0.290655186742586	0.27630998460019585	0.29955583218805704
