	s24H1	31232	530394	31300	31267	S9H1	S4Hp	31379	w3pp	f24pp	f25pp	w23pp	w28pp	f15pp	w10pp	f1pp	f6ppA	f12ppB	w15pp	w8pp	w14pp	f20ppA	w26pp	f14ppB	f17ppB	f16ppA	f7pp	w29pp	w4pp	w9pp	f2pp	w24pp	w11pp	w18pp	w2pp	f32pp	w1pp	w16pp	w7pp	w32pp	w20pp	w19pp	w21pp	w12pp	f19pp	w17pp	f10pp	f11pp	S25Hp	31009
s24H1	0.0	0.41772207660448907	0.4137811208457273	0.4802817152967509	0.4428033223087444	0.4033427453395339	0.4470906154139339	0.4605561665350957	0.38852199470317367	0.36709769700032235	0.42553116247686984	0.4193685042081896	0.438072825156252	0.4445190805137855	0.42893445055514245	0.4453888054251247	0.4439194592540747	0.4519354004289693	0.4379893573287171	0.38277590297614117	0.4057662067254797	0.3709678822484386	0.37620523525316507	0.37573021559441944	0.45379851693233975	0.41801480117247597	0.38453758293456675	0.44279578048221646	0.43521568844558434	0.40472085284804593	0.4610480999853245	0.3983205197699169	0.40313628522157985	0.4283519112980279	0.4197929598927832	0.46334211690531013	0.4470490021208008	0.4650630414380935	0.4379277211061356	0.43564243486421445	0.3900202953115838	0.3952938779713243	0.3958970528482759	0.4519316221295788	0.3991323943700304	0.39885718693454164	0.41365701447039255	0.39604948847400734	0.4414917344600704	0.3863177735634262
31232	0.41772207660448907	0.0	0.3926303711648364	0.4871976994876075	0.449719306499601	0.4102587295303905	0.45400659960479056	0.4674721507259523	0.39543797889403026	0.37401368119117895	0.43244714666772643	0.4262844883990462	0.4449888093471086	0.4514350647046422	0.43585043474599905	0.45230478961598136	0.4508354434449313	0.4588513846198259	0.44490534151957367	0.38969188716699776	0.4126821909163363	0.37788386643929517	0.38312121944402167	0.38264619978527603	0.46071450112319634	0.42493078536333256	0.39145356712542334	0.4497117646730731	0.44213167263644093	0.4116368370389025	0.46796408417618107	0.4052365039607735	0.41005226941243644	0.4352678954888845	0.4267089440836398	0.4702581010961667	0.4539649863116574	0.4719790256289501	0.4448437052969922	0.44255841905507104	0.39693627950244037	0.4022098621621809	0.4028130370391325	0.4588476063204354	0.406048378560887	0.40577317112539824	0.42057299866124914	0.40296547266486393	0.448407718650927	0.4231805803781775
530394	0.4137811208457273	0.3926303711648364	0.0	0.48325674372884575	0.44577835074083927	0.40631777377162875	0.4500656438460288	0.46353119496719053	0.3914970231352685	0.3700727254324172	0.4285061909089647	0.42234353264028446	0.44104785358834686	0.44749410894588043	0.4319094789872373	0.4483638338572196	0.4468944876861696	0.45491042886106414	0.4409643857608119	0.385750931408236	0.40874123515757455	0.3739429106805334	0.3791802636852599	0.3787052440265143	0.4567735453644346	0.4209898296045708	0.3875126113666616	0.44577080891431137	0.4381907168776792	0.4076958812801408	0.46402312841741933	0.40129554820201174	0.4061113136536747	0.43132693973012276	0.42276798832487805	0.466317145337405	0.45002403055289564	0.46803806987018837	0.44090274953823044	0.4386174632963093	0.3929953237436786	0.39826890640341917	0.39887208128037077	0.4549066505616737	0.40210742280212525	0.4018322153666365	0.4166320429024874	0.3990245169061022	0.44446676289216525	0.4192396246194158
31300	0.4802817152967509	0.4871976994876075	0.48325674372884575	0.0	0.13084475101373122	0.16452811830696618	0.46440274875754084	0.5089756311240303	0.43694145929210826	0.41551716158925694	0.4739506270658045	0.46778796879712425	0.4864922897451866	0.49293854510272017	0.4773539151440771	0.49380827001405936	0.49233892384300937	0.5003548650179039	0.48640882191765167	0.4311953675650758	0.45418567131441434	0.4193873468373732	0.42462469984209966	0.4241496801833541	0.5022179815212744	0.46643426576141056	0.43295704752350134	0.4912152450711511	0.483635153034519	0.4531403174369806	0.5094675645742591	0.44673998435885154	0.4515557498105145	0.4767713758869625	0.46821242448171785	0.5117615814942448	0.49546846670973543	0.5134825060270282	0.4863471856950702	0.48406189945314904	0.4384397599005184	0.44371334256025896	0.44431651743721057	0.5003510867185135	0.447551858958965	0.4472766515234763	0.46207647905932714	0.444468953062942	0.489911199049005	0.4857402190704394
31267	0.4428033223087444	0.449719306499601	0.44577835074083927	0.13084475101373122	0.0	0.1270497253189597	0.4269243557695343	0.4714972381360238	0.3994630663041018	0.3780387686012504	0.43647223407779795	0.4303095758091177	0.44901389675718006	0.4554601521147137	0.43987552215607056	0.4563298770260529	0.45486053085500283	0.4628764720298974	0.4489304289296452	0.3937169745770693	0.4167072783264078	0.38190895384936674	0.3871463068540931	0.38667128719534755	0.46473958853326786	0.4289558727734041	0.3954786545354948	0.4537368520831446	0.44615676004651245	0.41566192444897404	0.4719891715862526	0.409261591370845	0.41407735682250796	0.439292982898956	0.4307340314937113	0.4742831885062383	0.4579900737217289	0.4760041130390216	0.4488687927070637	0.44658350646514255	0.4009613669125119	0.4062349495722525	0.40683812444920403	0.46287269373050693	0.4100734659709585	0.40979825853546975	0.42459808607132066	0.40699056007493545	0.45243280606099845	0.4482618260824328
S9H1	0.4033427453395339	0.4102587295303905	0.40631777377162875	0.16452811830696618	0.1270497253189597	0.0	0.3874637788003238	0.4320366611668133	0.36000248933489126	0.33857819163203995	0.39701165710858743	0.3908489988399072	0.4095533197879696	0.4159995751455032	0.40041494518686005	0.41686930005684236	0.4153999538857923	0.4234158950606869	0.40946985196043467	0.35425639760785876	0.3772467013571973	0.34244837688015617	0.34768572988488267	0.34721071022613703	0.42527901156405734	0.38949529580419356	0.35601807756628434	0.4142762751139341	0.40669618307730193	0.3762013474797635	0.4325285946170421	0.3698010144016345	0.37461677985329744	0.3998324059297455	0.3912734545245008	0.4348226115370278	0.4185294967525184	0.4365435360698111	0.4094082157378532	0.40712292949593204	0.36150078994330137	0.3667743726030419	0.3673775474799935	0.4234121167612964	0.370612889001748	0.37033768156625924	0.38513750910211014	0.36752998310572493	0.412972229091788	0.40880124911322235
S4Hp	0.4470906154139339	0.45400659960479056	0.4500656438460288	0.46440274875754084	0.4269243557695343	0.3874637788003238	0.0	0.47578453124121334	0.4037503594092913	0.38232606170644	0.4407595271829875	0.43459686891430727	0.45330118986236967	0.45974744521990324	0.4441628152612601	0.4606171701312424	0.4591478239601924	0.46716376513508695	0.45321772203483474	0.3980042676822588	0.42099457143159735	0.38619624695455623	0.39143359995928273	0.3909585803005371	0.4690268816384574	0.43324316587859363	0.3997659476406844	0.4580241451883342	0.450444053151702	0.4199492175541636	0.47627646469144214	0.41354888447603455	0.4183646499276975	0.44358027600414557	0.43502132459890086	0.47857048161142784	0.46227736682691845	0.4802914061442112	0.45315608581225325	0.4508707995703321	0.40524866001770143	0.410522242677442	0.4111254175543936	0.4671599868356965	0.41436075907614806	0.4140855516406593	0.4288853791765102	0.411277853180125	0.45672009916618805	0.4525491191876224
31379	0.4605561665350957	0.4674721507259523	0.46353119496719053	0.5089756311240303	0.4714972381360238	0.4320366611668133	0.47578453124121334	0.0	0.36851184666840414	0.34708754896555283	0.4055210144421003	0.3993583561734201	0.4180626771214825	0.42450893247901605	0.40892430252037293	0.42537865739035524	0.4239093112193052	0.43192525239419977	0.41797920929394755	0.36276575494137164	0.38575605869071017	0.35095773421366905	0.35619508721839555	0.3557200675596499	0.4337883688975702	0.39800465313770644	0.3645274348997972	0.422785632447447	0.4152055404108148	0.3847107048132764	0.44103795195055495	0.37831037173514737	0.3831261371868103	0.4083417632632584	0.3997828118580137	0.44333196887054066	0.42703885408603126	0.445052893403324	0.41791757307136607	0.4156322868294449	0.37001014727681425	0.3752837299365548	0.3758869048135064	0.4319214740948093	0.37912224633526087	0.3788470388997721	0.393646866435623	0.3760393404392378	0.4531839014081438	0.4660146703087841
w3pp	0.38852199470317367	0.39543797889403026	0.3914970231352685	0.43694145929210826	0.3994630663041018	0.36000248933489126	0.4037503594092913	0.36851184666840414	0.0	0.1046909815349724	0.1631244470115199	0.15696178874283967	0.17566610969090207	0.18211236504843564	0.16652773508979252	0.18298208995977483	0.18151274378872478	0.18952868496361935	0.17558264186336717	0.12036918751079125	0.14335949126012976	0.10856116678308868	0.11379851978781513	0.11332350012906951	0.19139180146698984	0.15560808570712603	0.12213086746921681	0.18038906501686658	0.1728089729802344	0.142314137382696	0.19864138451997454	0.13591380430456695	0.1407295697562299	0.165945195832678	0.1573862444274333	0.20093540143996028	0.18464228665545088	0.2026563259727436	0.17552100564078565	0.1732357193988645	0.12761357984623384	0.13288716250597443	0.13349033738292598	0.1895249066642289	0.13672567890468046	0.1364504714691917	0.15125029900504264	0.13364277300865743	0.38114972957622184	0.3939804984768621
f24pp	0.36709769700032235	0.37401368119117895	0.3700727254324172	0.41551716158925694	0.3780387686012504	0.33857819163203995	0.38232606170644	0.34708754896555283	0.1046909815349724	0.0	0.0650213953955002	0.06716942762636881	0.0858737485744312	0.0923200039319648	0.07673537397332165	0.09318972884330398	0.09172038267225392	0.09973632384714849	0.0857902807468963	0.03057682639432039	0.06706370682450408	0.032265382347462984	0.05319279435722373	0.05271777469847812	0.13078607603639844	0.09500236027653466	0.061525142038625406	0.11978333958627521	0.11220324754964303	0.08170841195210463	0.13803565908938314	0.07530807887397556	0.08012384432563854	0.1053394704020866	0.0967805189968419	0.14032967600936888	0.12403656122485948	0.14205060054215218	0.11491528021019426	0.11262999396827311	0.06700785441564244	0.07228143707538301	0.07288461195233459	0.1289191812336375	0.07611995347408906	0.08829925388487028	0.1030990814207212	0.085491555424336	0.35972543187337047	0.37255620077401075
f25pp	0.42553116247686984	0.43244714666772643	0.4285061909089647	0.4739506270658045	0.43647223407779795	0.39701165710858743	0.4407595271829875	0.4055210144421003	0.1631244470115199	0.0650213953955002	0.0	0.12560289310291634	0.1443072140509787	0.1507534694085123	0.13516883944986918	0.1516231943198515	0.15015384814880145	0.15816978932369602	0.1442237462234438	0.0890102918708679	0.1254971723010516	0.0906988478240105	0.11162625983377125	0.11115124017502565	0.18921954151294595	0.15343582575308218	0.11995860751517293	0.17821680506282273	0.17063671302619055	0.14014187742865214	0.1964691245659307	0.13374154435052307	0.13855730980218606	0.16377293587863412	0.1552139844733894	0.1987631414859164	0.182470026701407	0.20048406601869972	0.1733487456867418	0.17106345944482065	0.12544131989218998	0.13071490255193052	0.13131807742888213	0.187352646710185	0.13455341895063658	0.1467327193614178	0.1615325468972687	0.1439250209008835	0.41815889734991796	0.4309896662505583
w23pp	0.4193685042081896	0.4262844883990462	0.42234353264028446	0.46778796879712425	0.4303095758091177	0.3908489988399072	0.43459686891430727	0.3993583561734201	0.15696178874283967	0.06716942762636881	0.12560289310291634	0.0	0.09331330110071924	0.09975955645825285	0.10271074534078042	0.11916510021076275	0.11769575403971269	0.12571169521460726	0.11176565211435507	0.0725052010746438	0.11933451403237133	0.08453618955533025	0.105463601565091	0.10498858190634539	0.18305688324426572	0.14727316748440195	0.11379594924649268	0.1720541467941425	0.1644740547575103	0.1339792191599719	0.19030646629725043	0.12757888608184284	0.13239465153350582	0.15761027760995389	0.14905132620470918	0.19260048321723616	0.17630736843272676	0.19432140775001946	0.16718608741806154	0.1649008011761404	0.11927866162350972	0.12455224428325029	0.12515541916020187	0.18118998844150475	0.12839076068195632	0.14057006109273756	0.15536988862858847	0.13776236263220326	0.4119962390812377	0.42482700798187806
w28pp	0.438072825156252	0.4449888093471086	0.44104785358834686	0.4864922897451866	0.44901389675718006	0.4095533197879696	0.45330118986236967	0.4180626771214825	0.17566610969090207	0.0858737485744312	0.1443072140509787	0.09331330110071924	0.0	0.08977959079831568	0.1214150662888428	0.13786942115882514	0.13640007498777507	0.14441601616266964	0.13046997306241748	0.09120952202270619	0.13803883498043373	0.10324051050339264	0.1241679225131534	0.12369290285440779	0.20176120419232813	0.16597748843246432	0.13250027019455507	0.19075846774220487	0.1831783757055727	0.15268354010803428	0.2090107872453128	0.14628320702990522	0.1510989724815682	0.1763145985580163	0.16775564715277158	0.21130480416529857	0.19501168938078917	0.21302572869808184	0.18589040836612392	0.18360512212420277	0.1379829825715721	0.1432565652313127	0.14385974010826424	0.19989430938956715	0.14709508163001872	0.15927438204079994	0.17407420957665087	0.15646668358026566	0.43070056002930013	0.4435313289299404
f15pp	0.4445190805137855	0.4514350647046422	0.44749410894588043	0.49293854510272017	0.4554601521147137	0.4159995751455032	0.45974744521990324	0.42450893247901605	0.18211236504843564	0.0923200039319648	0.1507534694085123	0.09975955645825285	0.08977959079831568	0.0	0.1278613216463764	0.14431567651635874	0.1428463303453087	0.15086227152020326	0.13691622841995105	0.09765577738023978	0.14448509033796733	0.10968676586092624	0.130614177870687	0.13013915821194139	0.2082074595498617	0.17242374378999792	0.13894652555208867	0.19720472309973847	0.18962463106310629	0.15912979546556788	0.21545704260284643	0.1527294623874388	0.1575452278391018	0.18276085391554986	0.17420190251030515	0.21775105952283214	0.20145794473832274	0.21947198405561547	0.19233666372365754	0.1900513774817364	0.14442923792910572	0.14970282058884626	0.15030599546579787	0.20634056474710075	0.15354133698755232	0.16572063739833354	0.18052046493418444	0.16291293893779923	0.43714681538683375	0.44997758428747403
w10pp	0.42893445055514245	0.43585043474599905	0.4319094789872373	0.4773539151440771	0.43987552215607056	0.40041494518686005	0.4441628152612601	0.40892430252037293	0.16652773508979252	0.07673537397332165	0.13516883944986918	0.10271074534078042	0.1214150662888428	0.1278613216463764	0.0	0.09627205091313676	0.11053391556298872	0.11854985673788329	0.1046038136376311	0.08207114742159664	0.12890046037932418	0.0941021359022831	0.11502954791204385	0.11455452825329823	0.19262282959121857	0.1568391138313548	0.12336189559344553	0.18162009314109534	0.17404000110446316	0.14354516550692475	0.19987241264420327	0.1371448324287957	0.14196059788045867	0.16717622395690673	0.15861727255166203	0.202166429564189	0.1858733147796796	0.2038873540969723	0.1767520337650144	0.17446674752309324	0.12884460797046257	0.13411819063020314	0.13472136550715472	0.1907559347884576	0.13795670702890916	0.1501360074396904	0.16493583497554132	0.1473283089791561	0.4215621854281906	0.4343929543288309
f1pp	0.4453888054251247	0.45230478961598136	0.4483638338572196	0.49380827001405936	0.4563298770260529	0.41686930005684236	0.4606171701312424	0.42537865739035524	0.18298208995977483	0.09318972884330398	0.1516231943198515	0.11916510021076275	0.13786942115882514	0.14431567651635874	0.09627205091313676	0.0	0.12698827043297106	0.13500421160786563	0.12105816850761343	0.09852550229157897	0.14535481524930652	0.11055649077226543	0.13148390278202618	0.13100888312328057	0.20907718446120088	0.1732934687013371	0.13981625046342785	0.19807444801107765	0.19049435597444547	0.15999952037690707	0.21632676751418561	0.153599187298778	0.15841495275044098	0.18363057882688905	0.17507162742164434	0.21862078443417132	0.20232766964966192	0.22034170896695465	0.19320638863499673	0.19092110239307558	0.1452989628404449	0.15057254550018545	0.15117572037713706	0.20721028965843993	0.1544110618988915	0.16659036230967272	0.18139018984552363	0.16378266384913842	0.43801654029817294	0.4508473091988132
f6ppA	0.4439194592540747	0.4508354434449313	0.4468944876861696	0.49233892384300937	0.45486053085500283	0.4153999538857923	0.4591478239601924	0.4239093112193052	0.18151274378872478	0.09172038267225392	0.15015384814880145	0.11769575403971269	0.13640007498777507	0.1428463303453087	0.11053391556298872	0.12698827043297106	0.0	0.10201644440708993	0.10445195841852417	0.09705615612052891	0.14388546907825644	0.10908714460121537	0.1300145566109761	0.1295395369522305	0.20760783829015084	0.17182412253028706	0.13834690429237778	0.1966051018400276	0.18902500980339543	0.15853017420585702	0.21485742134313554	0.15212984112772795	0.15694560657939094	0.182161232655839	0.1736022812505943	0.21715143826312128	0.20085832347861188	0.21887236279590458	0.19173704246394666	0.1894517562220255	0.14382961666939484	0.1491031993291354	0.14970637420608698	0.20574094348738986	0.15294171572784143	0.16512101613862268	0.17992084367447359	0.16231331767808838	0.43654719412712284	0.4493779630277631
f12ppB	0.4519354004289693	0.4588513846198259	0.45491042886106414	0.5003548650179039	0.4628764720298974	0.4234158950606869	0.46716376513508695	0.43192525239419977	0.18952868496361935	0.09973632384714849	0.15816978932369602	0.12571169521460726	0.14441601616266964	0.15086227152020326	0.11854985673788329	0.13500421160786563	0.10201644440708993	0.0	0.11246789959341874	0.10507209729542348	0.15190141025315101	0.11710308577610994	0.13803049778587068	0.13755547812712507	0.2156237794650454	0.17984006370518163	0.14636284546727235	0.20462104301492218	0.19704095097829	0.1665461153807516	0.2228733625180301	0.16014578230262252	0.1649615477542855	0.19017717383073357	0.18161822242548886	0.22516737943801585	0.20887426465350645	0.22688830397079915	0.19975298363884122	0.19746769739692008	0.1518455578442894	0.15711914050402997	0.15772231538098155	0.21375688466228443	0.160957656902736	0.17313695731351725	0.18793678484936815	0.17032925885298295	0.4445631353020174	0.4573939042026577
w15pp	0.4379893573287171	0.44490534151957367	0.4409643857608119	0.48640882191765167	0.4489304289296452	0.40946985196043467	0.45321772203483474	0.41797920929394755	0.17558264186336717	0.0857902807468963	0.1442237462234438	0.11176565211435507	0.13046997306241748	0.13691622841995105	0.1046038136376311	0.12105816850761343	0.10445195841852417	0.11246789959341874	0.0	0.0911260541951713	0.13795536715289883	0.10315704267585775	0.1240844546856185	0.12360943502687288	0.20167773636479322	0.16589402060492942	0.1324168023670202	0.19067499991466996	0.18309490787803778	0.15260007228049938	0.20892731941777792	0.14619973920237034	0.1510155046540333	0.17623113073048138	0.16767217932523668	0.21122133633776366	0.19492822155325426	0.21294226087054696	0.18580694053858904	0.1835216542966679	0.13789951474403722	0.1431730974037778	0.14377627228072937	0.19981084156203227	0.14701161380248384	0.15919091421326503	0.17399074174911597	0.15638321575273076	0.43061709220176525	0.4434478611024055
w8pp	0.38277590297614117	0.38969188716699776	0.385750931408236	0.4311953675650758	0.3937169745770693	0.35425639760785876	0.3980042676822588	0.36276575494137164	0.12036918751079125	0.03057682639432039	0.0890102918708679	0.0725052010746438	0.09120952202270619	0.09765577738023978	0.08207114742159664	0.09852550229157897	0.09705615612052891	0.10507209729542348	0.0911260541951713	0.0	0.08274191280032292	0.04794358832328183	0.06887100033304258	0.06839598067429696	0.14646428201221728	0.11068056625235351	0.07720334801444426	0.13546154556209405	0.12788145352546187	0.09738661792792347	0.153713865065202	0.0909862848497944	0.09580205030145739	0.12101767637790545	0.11245872497266074	0.15600788198518772	0.13971476720067832	0.15772880651797103	0.1305934861860131	0.12830819994409196	0.08268606039146129	0.08795964305120185	0.08856281792815343	0.14459738720945634	0.0917981594499079	0.10397745986068913	0.11877728739654005	0.10116976140015484	0.3754036378491893	0.3882344067498296
w14pp	0.4057662067254797	0.4126821909163363	0.40874123515757455	0.45418567131441434	0.4167072783264078	0.3772467013571973	0.42099457143159735	0.38575605869071017	0.14335949126012976	0.06706370682450408	0.1254971723010516	0.11933451403237133	0.13803883498043373	0.14448509033796733	0.12890046037932418	0.14535481524930652	0.14388546907825644	0.15190141025315101	0.13795536715289883	0.08274191280032292	0.0	0.05632135897604391	0.09186130408238109	0.09138628442363547	0.1694545857615558	0.13367087000169203	0.10019365176378277	0.15845184931143258	0.1508717572748004	0.12037692167726198	0.1767041688145405	0.11397658859913293	0.1187923540507959	0.14400798012724397	0.13544902872199927	0.17899818573452625	0.16270507095001685	0.18071911026730955	0.15358378993535163	0.15129850369343048	0.10567636414079981	0.11094994680054038	0.11155312167749196	0.16758769095879483	0.11478846319924642	0.12696776361002765	0.14176759114587856	0.12416006514949335	0.3983939415985278	0.41122471049916814
