	f14ppB	f20ppA	w2pp	w11pp	f10pp	w32pp	w6pp	w12pp	f7pp	w9pp	w20pp	w8pp	w18pp	f4pp	w3pp	f2pp	f11pp	w28pp	f16ppA	w24pp	w29pp	w27pp	w26pp	w14pp	f8pp	f16ppB	f22ppA	w17pp	f19pp	w1pp	f12ppB	f6ppA	w4pp	w21pp	w16pp	f32pp	w19pp	w10pp	f24pp	w13pp	f1pp	w31pp	S1Hp	S4Hp	F7H1	S21H1	S19H1	31160	31750	F14H1A	S3Hp	F3H1	S15Hp	S31Hp	S18H1	S26Hp	S16H2	S30H1	31267	S28Hp	31360	F32H1	F6H1	S27H1	F22HpB	530050	S7Hp	530315	530119	31328	530075	530394	31236	530451	S2Hp	530295	S29H1	S10H1	F14H1B	531414	S25Hp	S8Hp	S11Hp	S14Hp	S23Hp	530055	S13Hp	31071	S22Hp	S12Hp	530258	S9H1	S6Hp	31700	31300	F23HpA	F8H1	31219	31333	F29H1	530177	S20H1	F1H1	s24H1	S17H1	31232	f25pp	f17ppB
f14ppB	0.0	0.01831182831290661	0.02574419712293905	0.0332549838458492	0.049160438015381704	0.04517691081122487	0.05766426795188981	0.0642825154140257	0.041558019189814666	0.0442376944365012	0.03236485810209718	0.04700708327970404	0.04670856537184529	0.06920768298353124	0.06604690556277203	0.06588456824233851	0.07745724236721725	0.07542262437781388	0.054728620035269966	0.040816598300724996	0.06276133867526645	0.06378386489474432	0.04426376863783078	0.05111087899306592	0.0648541615892089	0.07293846285476271	0.07345688226104496	0.049459251038482345	0.05426914510102801	0.06414423300334736	0.05779361873053387	0.07010967903489108	0.07099705305438128	0.06165157296324862	0.047024941579132284	0.06096970834738913	0.04031766015986018	0.0410823341849353	0.038205275370295166	0.027986482564327862	0.028799727765013963	0.04097126538639431	0.4307029871801698	0.5591246530466709	0.6613585065948825	0.7449298021706366	0.726864857623164	0.7278215266586674	0.6674288194321728	0.5344684112880459	0.5512439142011333	0.5226359693366353	0.6499162513942544	0.5523854822321302	0.6274554744603101	0.5926185991367768	0.5925093592937857	0.6419133382378044	0.6933448235688072	0.7033304017641916	0.6954425649246453	0.7692062569930906	0.694023445943096	0.7262382406533167	0.6665025630650724	0.7338751412879756	0.6498162774118742	0.712151427305375	0.6819519381563405	0.6893687402832257	0.6983753619553154	0.7789765064531291	0.777872704712199	0.7454104558775566	0.7568754110546255	0.7045917308277977	0.6898870985087087	0.7875174701411524	0.7308361552837668	0.7462269273323311	0.7055807702317151	0.7426905931076907	0.7580486733966675	0.7918914648703058	0.7723112751137712	0.7336472002581197	0.7035286686490717	0.7354705985422234	0.7319207516509395	0.5939023603778147	0.6396597755105423	0.6881134966356652	0.6351783159184493	0.5766704621795727	0.5453566526971514	0.5849221203569254	0.6459713414301195	0.6853513575743414	0.6966011371964651	0.7227725529069994	0.7117267562392732	0.6477249837270034	0.7119181619679756	0.7132448735813748	0.6771962801151693	0.6166936034242402	0.04714416825474152	0.0278521252483395
f20ppA	0.01831182831290661	0.0	0.01703446937318518	0.024545256096095328	0.040450710265627826	0.036467183061470995	0.04895454020213593	0.055572787664271824	0.03284829144006079	0.03552796668674732	0.02365513035234331	0.038297355529950165	0.037998837622091414	0.060497955233777365	0.05733717781301815	0.05717484049258463	0.06874751461746338	0.06671289662806001	0.04601889228551609	0.032106870550971126	0.054051610925512576	0.05507413714499044	0.03555404088807691	0.04240115124331204	0.05614443383945501	0.06422873510500884	0.0647471545112911	0.04074952328872847	0.04555941735127413	0.055434505253593475	0.04908389098077999	0.061399951285137214	0.06228732530462741	0.052941845213494744	0.03831521382937841	0.05225998059763525	0.0316079324101063	0.032372606435181424	0.029495547620541296	0.02915985947840154	0.02997310467908764	0.04214464230046799	0.43187636409424346	0.5602980299607446	0.6625318835089562	0.7461031790847104	0.7280382345372377	0.7289949035727411	0.6686021963462465	0.5356417882021196	0.552417291115207	0.523809346250709	0.6510896283083281	0.553558859146204	0.6286288513743838	0.5937919760508505	0.5936827362078594	0.6430867151518781	0.6945182004828809	0.7045037786782653	0.696615941838719	0.7703796339071644	0.6951968228571697	0.7274116175673904	0.6676759399791461	0.7350485182020493	0.6509896543259479	0.7133248042194487	0.6831253150704142	0.6905421171972994	0.6995487388693891	0.7801498833672028	0.7790460816262728	0.7465838327916303	0.7580487879686992	0.7057651077418714	0.6910604754227824	0.7886908470552261	0.7320095321978405	0.7474003042464048	0.7067541471457888	0.7438639700217644	0.7592220503107412	0.7930648417843795	0.7734846520278449	0.7348205771721934	0.7047020455631454	0.7366439754562971	0.7330941285650132	0.5950757372918885	0.640833152424616	0.6892868735497389	0.636351692832523	0.5778438390936464	0.5465300296112251	0.5860954972709991	0.6471447183441932	0.6865247344884151	0.6977745141105388	0.7239459298210731	0.7129001331533469	0.6488983606410771	0.7130915388820493	0.7144182504954485	0.678369657029243	0.6178669803383139	0.048317545168815194	0.03791592688778689
w2pp	0.02574419712293905	0.01703446937318518	0.0	0.026160228651233776	0.04206568282076628	0.03808215561660945	0.050569512757274386	0.05718776021941028	0.03446326399519924	0.037142939241885775	0.02527010290748176	0.03991232808508862	0.03961381017722987	0.06211292778891582	0.058952150368156604	0.058789813047723086	0.07036248717260184	0.06832786918319847	0.047633864840654544	0.033721843106109574	0.05566658348065103	0.056689109700128894	0.03716901344321536	0.0440161237984505	0.05775940639459347	0.0658437076601473	0.06636212706642955	0.04236449584386692	0.04717438990641259	0.05704947780873193	0.050698863535918445	0.06301492384027567	0.06390229785976587	0.0545568177686332	0.03993018638451686	0.05387495315277371	0.03322290496524476	0.03398757899031988	0.031110520175679744	0.03659222828843398	0.037405473489120086	0.04957701111050043	0.4393087329042759	0.567730398770777	0.6699642523189886	0.7535355478947428	0.7354706033472701	0.7364272723827735	0.6760345651562789	0.543074157012152	0.5598496599252394	0.5312417150607414	0.6585219971183605	0.5609912279562363	0.6360612201844162	0.6012243448608829	0.6011151050178918	0.6505190839619105	0.7019505692929133	0.7119361474882977	0.7040483106487514	0.7778120027171967	0.7026291916672021	0.7348439863774228	0.6751083087891785	0.7424808870120817	0.6584220231359803	0.7207571730294811	0.6905576838804466	0.6979744860073318	0.7069811076794215	0.7875822521772352	0.7864784504363052	0.7540162016016627	0.7654811567787316	0.7131974765519038	0.6984928442328148	0.7961232158652585	0.7394419010078729	0.7548326730564372	0.7141865159558212	0.7512963388317968	0.7666544191207736	0.8004972105944119	0.7809170208378773	0.7422529459822258	0.7121344143731778	0.7440763442663295	0.7405264973750456	0.6025081061019208	0.6482655212346484	0.6967192423597713	0.6437840616425554	0.5852762079036788	0.5539623984212575	0.5935278660810315	0.6545770871542256	0.6939571032984475	0.7052068829205712	0.7313782986311055	0.7203325019633793	0.6563307294511095	0.7205239076920817	0.7218506193054809	0.6858020258392754	0.6252993491483463	0.05574991397884764	0.04534829569781933
w11pp	0.0332549838458492	0.024545256096095328	0.026160228651233776	0.0	0.02451457456680549	0.020531047362648658	0.04230803507714556	0.048926282539281454	0.02620178631507042	0.02888146156175695	0.017008625227352938	0.03845020654306536	0.038151688635206606	0.06065080624689256	0.05749002882613334	0.05732769150569982	0.06890036563057857	0.0668657476411752	0.04617174329863128	0.03225972156408631	0.05420446193862777	0.05522698815810563	0.0357068919011921	0.042554002256427234	0.056297284852570205	0.06438158611812403	0.06490000552440628	0.04090237430184366	0.045712268364389325	0.055587356266708667	0.04923674199389518	0.061552802298252406	0.0624401763177426	0.053094696226609936	0.0384680648424936	0.05241283161075044	0.031760783423221486	0.032525457448296616	0.02964839863365648	0.04410301501134413	0.044916260212030226	0.05708779783341057	0.446819519627186	0.5752411854936872	0.6774750390418988	0.7610463346176529	0.7429813900701803	0.7439380591056837	0.6835453518791891	0.5505849437350622	0.5673604466481496	0.5387525017836515	0.6660327838412706	0.5685020146791465	0.6435720069073264	0.6087351315837931	0.608625891740802	0.6580298706848207	0.7094613560158235	0.7194469342112079	0.7115590973716616	0.7853227894401069	0.7101399783901122	0.7423547731003329	0.6826190955120887	0.7499916737349919	0.6659328098588905	0.7282679597523912	0.6980684706033567	0.705485272730242	0.7144918944023316	0.7950930389001454	0.7939892371592153	0.7615269883245729	0.7729919435016418	0.720708263274814	0.7060036309557249	0.8036340025881686	0.746952687730783	0.7623434597793474	0.7216973026787313	0.758807125554707	0.7741652058436838	0.8080079973173221	0.7884278075607875	0.749763732705136	0.719645201096088	0.7515871309892397	0.7480372840979558	0.610018892824831	0.6557763079575586	0.7042300290826815	0.6512948483654656	0.592786994626589	0.5614731851441677	0.6010386528039416	0.6620878738771357	0.7014678900213577	0.7127176696434814	0.7388890853540157	0.7278432886862894	0.6638415161740197	0.7280346944149919	0.7293614060283911	0.6933128125621856	0.6328101358712565	0.06326070070175778	0.05285908242072947
f10pp	0.049160438015381704	0.040450710265627826	0.04206568282076628	0.02451457456680549	0.0	0.028238676091552926	0.058213489246678074	0.06483173670881397	0.04210724048460293	0.04478691573128946	0.03291407939688545	0.05435566071259787	0.05405714280473911	0.07655626041642506	0.07339548299566585	0.07323314567523233	0.08480581980011108	0.08277120181070771	0.062077197468163786	0.04816517573361882	0.07010991610816028	0.07113244232763814	0.05161234607072461	0.05845945642595975	0.07220273902210271	0.08028704028765654	0.08080545969393879	0.056807828471376165	0.06161772253392184	0.07149281043624117	0.06514219616342769	0.07745825646778491	0.07834563048727511	0.06900015039614245	0.054373519012026104	0.06831828578028296	0.047666237592754	0.04843091161782912	0.04555385280318899	0.06000846918087663	0.06082171438156273	0.07299325200294307	0.46272497379671856	0.5911466396632197	0.6933804932114312	0.7769517887871854	0.7588868442397128	0.7598435132752162	0.6994508060487216	0.5664903979045947	0.583265900817682	0.554657955953184	0.6819382380108031	0.584407468848679	0.6594774610768589	0.6246405857533256	0.6245313459103344	0.6739353248543531	0.725366810185356	0.7353523883807404	0.727464551541194	0.8012282436096394	0.7260454325596447	0.7582602272698654	0.6985245496816211	0.7658971279045244	0.681838264028423	0.7441734139219237	0.7139739247728892	0.7213907268997745	0.7303973485718641	0.8109984930696779	0.8098946913287478	0.7774324424941054	0.7888973976711743	0.7366137174443464	0.7219090851252574	0.8195394567577011	0.7628581419003155	0.7782489139488799	0.7376027568482638	0.7747125797242395	0.7900706600132162	0.8239134514868546	0.8043332617303199	0.7656691868746685	0.7355506552656205	0.7674925851587722	0.7639427382674883	0.6259243469943635	0.6716817621270911	0.720135483252214	0.6672003025349981	0.6086924487961215	0.5773786393137001	0.6169441069734741	0.6779933280466682	0.7173733441908902	0.7286231238130139	0.7547945395235481	0.7437487428558219	0.6797469703435521	0.7439401485845244	0.7452668601979235	0.7092182667317181	0.6487155900407889	0.07916615487129028	0.06876453659026198
w32pp	0.04517691081122487	0.036467183061470995	0.03808215561660945	0.020531047362648658	0.028238676091552926	0.0	0.05422996204252124	0.060848209504657136	0.0381237132804461	0.040803388527132625	0.028930552192728616	0.05037213350844103	0.05007361560058228	0.07257273321226823	0.06941195579150902	0.0692496184710755	0.08082229259595425	0.07878767460655087	0.058093670264006955	0.044181648529461985	0.06612638890400344	0.06714891512348131	0.04762881886656777	0.05447592922180291	0.06821921181794588	0.07630351308349971	0.07682193248978196	0.052824301267219334	0.057634195329765	0.06750928323208434	0.06115866895927086	0.07347472926362808	0.07436210328311828	0.06501662319198562	0.05038999180786927	0.06433475857612611	0.04368271038859717	0.04444738441367228	0.041570325599032155	0.0560249419767198	0.0568381871774059	0.06900972479878625	0.4587414465925617	0.5871631124590629	0.6893969660072745	0.7729682615830287	0.754903317035556	0.7558599860710594	0.6954672788445648	0.5625068707004379	0.5792823736135253	0.5506744287490273	0.6779547108066464	0.5804239416445223	0.6554939338727022	0.6206570585491689	0.6205478187061777	0.6699517976501964	0.7213832829811992	0.7313688611765836	0.7234810243370373	0.7972447164054827	0.722061905355488	0.7542767000657087	0.6945410224774644	0.7619136007003676	0.6778547368242662	0.740189886717767	0.7099903975687325	0.7174071996956177	0.7264138213677074	0.8070149658655211	0.8059111641245911	0.7734489152899486	0.7849138704670175	0.7326301902401897	0.7179255579211007	0.8155559295535444	0.7588746146961588	0.7742653867447231	0.7336192296441071	0.7707290525200827	0.7860871328090595	0.8199299242826978	0.8003497345261632	0.7616856596705117	0.7315671280614637	0.7635090579546154	0.7599592110633315	0.6219408197902068	0.6676982349229343	0.7161519560480573	0.6632167753308413	0.6047089215919648	0.5733951121095434	0.6129605797693174	0.6740098008425115	0.7133898169867334	0.7246395966088571	0.7508110123193914	0.7397652156516652	0.6757634431393954	0.7399566213803677	0.7412833329937668	0.7052347395275613	0.6447320628366322	0.07518262766713346	0.06478100938610515
w6pp	0.05766426795188981	0.04895454020213593	0.050569512757274386	0.04230803507714556	0.058213489246678074	0.05422996204252124	0.0	0.04005592125242295	0.031315549245495185	0.033995224492181716	0.034462813885118966	0.06285949064910597	0.06256097274124722	0.08506009035293316	0.08189931293217395	0.08173697561174043	0.09330964973661918	0.09127503174721581	0.0705810274046719	0.05666900567012692	0.07861374604466838	0.07963627226414624	0.06011617600723271	0.06696328636246784	0.08070656895861081	0.08879087022416465	0.0893092896304469	0.06531165840788428	0.07012155247042993	0.07999664037274928	0.07364602609993579	0.08596208640429301	0.08684946042378322	0.07750398033265055	0.06287734894853421	0.07682211571679105	0.0561700675292621	0.056934741554337226	0.05405768273969709	0.06851229911738474	0.06932554431807084	0.08149708193945118	0.4712288037332267	0.5996504695997278	0.7018843231479394	0.7854556187236935	0.7673906741762209	0.7683473432117243	0.7079546359852297	0.5749942278411028	0.5917697307541901	0.5631617858896921	0.6904420679473112	0.5929112987851871	0.667981291013367	0.6331444156898337	0.6330351758468425	0.6824391547908613	0.7338706401218641	0.7438562183172485	0.7359683814777022	0.8097320735461475	0.7345492624961528	0.7667640572063735	0.7070283796181293	0.7744009578410325	0.6903420939649311	0.7526772438584318	0.7224777547093973	0.7298945568362826	0.7389011785083722	0.819502323006186	0.8183985212652559	0.7859362724306135	0.7974012276076824	0.7451175473808546	0.7304129150617655	0.8280432866942092	0.7713619718368236	0.786752743885388	0.7461065867847719	0.7832164096607476	0.7985744899497244	0.8324172814233627	0.812837091666828	0.7741730168111766	0.7440544852021286	0.7759964150952803	0.7724465682039964	0.6344281769308716	0.6801855920635992	0.7286393131887221	0.6757041324715062	0.6171962787326296	0.5858824692502083	0.6254479369099822	0.6864971579831763	0.7258771741273983	0.737126953749522	0.7632983694600562	0.75225257279233	0.6882508002800602	0.7524439785210325	0.7537706901344317	0.7177220966682262	0.657219419977297	0.08766998480779839	0.07726836652677008
w12pp	0.0642825154140257	0.055572787664271824	0.05718776021941028	0.048926282539281454	0.06483173670881397	0.060848209504657136	0.04005592125242295	0.0	0.03793379670763107	0.0406134719543176	0.04108106134725486	0.06947773811124186	0.0691792202033831	0.09167833781506907	0.08851756039430984	0.08835522307387633	0.09992789719875507	0.0978932792093517	0.07719927486680778	0.06328725313226281	0.08523199350680427	0.08625451972628213	0.0667344234693686	0.07358153382460374	0.08732481642074671	0.09540911768630053	0.09592753709258278	0.07192990587002016	0.07673979993256583	0.08661488783488516	0.08026427356207169	0.09258033386642892	0.0934677078859191	0.08412222779478644	0.0694955964106701	0.08344036317892695	0.06278831499139799	0.06355298901647312	0.060675930201832984	0.07513054657952063	0.07594379178020673	0.08811532940158708	0.4778470511953625	0.6062687170618637	0.7085025706100753	0.7920738661858294	0.7740089216383568	0.7749655906738602	0.7145728834473656	0.5816124753032387	0.598387978216326	0.569780033351828	0.6970603154094471	0.599529546247323	0.6745995384755029	0.6397626631519696	0.6396534233089785	0.6890574022529972	0.740488887584	0.7504744657793844	0.7425866289398381	0.8163503210082834	0.7411675099582887	0.7733823046685094	0.7136466270802652	0.7810192053031684	0.696960341427067	0.7592954913205677	0.7290960021715333	0.7365128042984185	0.7455194259705081	0.8261205704683219	0.8250167687273918	0.7925545198927494	0.8040194750698183	0.7517357948429905	0.7370311625239014	0.8346615341563451	0.7779802192989596	0.7933709913475239	0.7527248342469078	0.7898346571228835	0.8051927374118603	0.8390355288854986	0.819455339128964	0.7807912642733125	0.7506727326642645	0.7826146625574162	0.7790648156661323	0.6410464243930075	0.6868038395257351	0.735257560650858	0.6823223799336421	0.6238145261947655	0.5925007167123442	0.6320661843721181	0.6931154054453122	0.7324954215895342	0.7437452012116579	0.7699166169221922	0.758870820254466	0.6948690477421962	0.7590622259831684	0.7603889375965676	0.7243403441303621	0.663837667439433	0.09428823226993428	0.08388661398890598
f7pp	0.041558019189814666	0.03284829144006079	0.03446326399519924	0.02620178631507042	0.04210724048460293	0.0381237132804461	0.031315549245495185	0.03793379670763107	0.0	0.010855531713294432	0.018356565123043827	0.046753241887030825	0.046454723979172066	0.06895384159085802	0.06579306417009881	0.06563072684966528	0.07720340097454403	0.07516878298514067	0.05447477864259674	0.04056275690805178	0.06250749728259324	0.0635300235020711	0.044009927245157565	0.0508570376003927	0.06460032019653567	0.0726846214620895	0.07320304086837175	0.04920540964580912	0.05401530370835479	0.06389039161067413	0.05753977733786064	0.06985583764221787	0.07074321166170806	0.0613977315705754	0.04677110018645906	0.06071586695471591	0.040063818767186954	0.040828492792262076	0.03795143397762195	0.0524060503553096	0.053219295555995694	0.06539083317737604	0.4551225549711515	0.5835442208376527	0.6857780743858642	0.7693493699616184	0.7512844254141458	0.7522410944496492	0.6918483872231546	0.5588879790790277	0.575663481992115	0.547055537127617	0.6743358191852361	0.576805050023112	0.6518750422512919	0.6170381669277586	0.6169289270847674	0.6663329060287861	0.717764391359789	0.7277499695551733	0.719862132715627	0.7936258247840724	0.7184430137340777	0.7506578084442984	0.6909221308560541	0.7582947090789574	0.674235845202856	0.7365709950963567	0.7063715059473222	0.7137883080742075	0.7227949297462971	0.8033960742441109	0.8022922725031808	0.7698300236685384	0.7812949788456073	0.7290112986187794	0.7143066662996904	0.8119370379321341	0.7552557230747485	0.7706464951233128	0.7300003380226968	0.7671101608986725	0.7824682411876492	0.8163110326612876	0.7967308429047529	0.7580667680491014	0.7279482364400535	0.7598901663332052	0.7563403194419213	0.6183219281687965	0.6640793433015241	0.712533064426647	0.6595978837094311	0.6010900299705545	0.5697762204881331	0.6093416881479071	0.6703909092211012	0.7097709253653232	0.7210207049874469	0.7471921206979811	0.7361463240302549	0.6721445515179851	0.7363377297589574	0.7376644413723565	0.7016158479061511	0.6411131712152219	0.07156373604572325	0.06116211776469494
w9pp	0.0442376944365012	0.03552796668674732	0.037142939241885775	0.02888146156175695	0.04478691573128946	0.040803388527132625	0.033995224492181716	0.0406134719543176	0.010855531713294432	0.0	0.021036240369730355	0.04943291713371735	0.049134399225858605	0.07163351683754456	0.06847273941678533	0.06831040209635182	0.07988307622123056	0.07784845823182719	0.05715445388928328	0.0432424321547383	0.06518717252927976	0.06620969874875762	0.04668960249184409	0.053536712847079226	0.0672799954432222	0.07536429670877604	0.07588271611505829	0.05188508489249566	0.05669497895504132	0.06657006685736067	0.06021945258454718	0.0725355128889044	0.0734228869083946	0.06407740681726193	0.04945077543314559	0.06339554220140244	0.042743494013873486	0.04350816803894861	0.04063110922430847	0.05508572560199612	0.055898970802682225	0.06807050842406256	0.45780223021783806	0.5862238960843392	0.6884577496325508	0.772029045208305	0.7539641006608323	0.7549207696963357	0.6945280624698411	0.5615676543257142	0.5783431572388016	0.5497352123743036	0.6770154944319227	0.5794847252697986	0.6545547174979784	0.6197178421744451	0.619608602331454	0.6690125812754727	0.7204440666064755	0.7304296448018599	0.7225418079623136	0.796305500030759	0.7211226889807643	0.753337483690985	0.6936018061027407	0.7609743843256439	0.6769155204495425	0.7392506703430433	0.7090511811940088	0.716467983320894	0.7254746049929837	0.8060757494907974	0.8049719477498674	0.7725096989152249	0.7839746540922938	0.731690973865466	0.716986341546377	0.8146167131788207	0.7579353983214351	0.7733261703699994	0.7326800132693834	0.769789836145359	0.7851479164343358	0.8189907079079741	0.7994105181514395	0.760746443295788	0.73062791168674	0.7625698415798917	0.7590199946886078	0.621001603415483	0.6667590185482106	0.7152127396733335	0.6622775589561176	0.603769705217241	0.5724558957348197	0.6120213633945937	0.6730705844677878	0.7124506006120097	0.7237003802341334	0.7498717959446677	0.7388259992769415	0.6748242267646717	0.739017405005644	0.7403441166190431	0.7042955231528376	0.6437928464619085	0.07424341129240977	0.06384179301138147
