	S17H1	S20H1	S31Hp	F14H1B	S21H1	S3Hp	F3H1	F14H1A	S16H2	S23Hp	31267	S19H1	s24H1	31236	F7H1	S30H1	S9H1	530215	F22HpB	F32H1	S26Hp	31219	S2Hp
S17H1	0.0	0.4180292213720241	0.6033397931999531	0.592308115036509	0.5416946871376147	0.579778520612331	0.5815099876752365	0.6112790413833693	0.5812281029956465	0.614894951766761	0.5371618194688095	0.585143216206335	0.5416274674569304	0.5475932082151085	0.6547568382603022	0.5777578584273555	0.6017178076292053	0.6092606262010081	0.6050918111849197	0.5949923614708947	0.5978205310268283	0.5838541316429151	0.4802686735630349
S20H1	0.4180292213720241	0.0	0.517308518754536	0.5062768405910919	0.45566341269219757	0.4937472461669139	0.4954787132298194	0.5252477669379522	0.4951968285502293	0.5288636773213439	0.45113054502339234	0.4991119417609179	0.4555961930115132	0.46156193376969123	0.568725563814885	0.49172658398193836	0.5156865331837881	0.5232293517555909	0.5190605367395026	0.5089610870254775	0.5117892565814111	0.49782285719749797	0.3942373991176177
S31Hp	0.6033397931999531	0.517308518754536	0.0	0.3054796425438071	0.35900721126068735	0.5179369294221075	0.519668396485013	0.5494374501931458	0.519386511805423	0.5530533605765375	0.5094244185238654	0.557405815261391	0.5138900665119863	0.5198558072701644	0.6270194373153581	0.5500204574824115	0.5739804066842613	0.581523225256064	0.5773544102399757	0.5672549605259507	0.5700831300818843	0.5561167306979711	0.4990164139394972
F14H1B	0.592308115036509	0.5062768405910919	0.3054796425438071	0.0	0.3479755330972434	0.5069052512586635	0.508636718321569	0.5384057720297017	0.5083548336419789	0.5420216824130935	0.4983927403604214	0.5463741370979469	0.5028583883485424	0.5088241291067204	0.6159877591519141	0.5389887793189675	0.5629487285208172	0.57049154709262	0.5663227320765317	0.5562232823625066	0.5590514519184402	0.5450850525345271	0.48798473577605317
S21H1	0.5416946871376147	0.45566341269219757	0.35900721126068735	0.3479755330972434	0.0	0.45629182335976914	0.45802329042267464	0.4877923441308074	0.45774140574308453	0.4914082545141991	0.447779312461527	0.4957607091990526	0.452244960449648	0.45821070120782603	0.5653743312530197	0.48837535142007316	0.5123353006219229	0.5198781191937256	0.5157093041776374	0.5056098544636123	0.5084380240195459	0.49447162463563277	0.43737130787715883
S3Hp	0.579778520612331	0.4937472461669139	0.5179369294221075	0.5069052512586635	0.45629182335976914	0.0	0.0018972862744146665	0.4198171595663613	0.45006740639243664	0.4837342551635512	0.48586314593624336	0.5338445426737689	0.4903287939243643	0.4962945346825423	0.6034581647277361	0.5264591848947895	0.5504191340966391	0.557961952668442	0.5537931376523537	0.5436936879383285	0.5465218574942621	0.5325554581103491	0.4754551413518751
F3H1	0.5815099876752365	0.4954787132298194	0.519668396485013	0.508636718321569	0.45802329042267464	0.0018972862744146665	0.0	0.4215486266292668	0.45179887345534214	0.4854657222264567	0.48759461299914886	0.5355760097366744	0.4920602609872698	0.4980260017454478	0.6051896317906416	0.5281906519576949	0.5521506011595447	0.5596934197313475	0.5555246047152591	0.5454251550012341	0.5482533245571677	0.5342869251732545	0.4771866084147806
F14H1A	0.6112790413833693	0.5252477669379522	0.5494374501931458	0.5384057720297017	0.4877923441308074	0.4198171595663613	0.4215486266292668	0.0	0.48156792716347496	0.5152347759345894	0.5173636667072816	0.5653450634448072	0.5218293146954026	0.5277950554535806	0.6349586854987743	0.5579597056658278	0.5819196548676775	0.5894624734394802	0.585293658423392	0.5751942087093669	0.5780223782653005	0.5640559788813874	0.5069556621229134
S16H2	0.5812281029956465	0.4951968285502293	0.519386511805423	0.5083548336419789	0.45774140574308453	0.45006740639243664	0.45179887345534214	0.48156792716347496	0.0	0.4080508836639273	0.4873127283195588	0.5352941250570844	0.49177837630767973	0.49774411706585775	0.6049077471110516	0.5279087672781049	0.5518687164799546	0.5594115350517574	0.5552427200356691	0.545143270321644	0.5479714398775776	0.5340050404936645	0.47690472373519055
S23Hp	0.614894951766761	0.5288636773213439	0.5530533605765375	0.5420216824130935	0.4914082545141991	0.4837342551635512	0.4854657222264567	0.5152347759345894	0.4080508836639273	0.0	0.5209795770906733	0.5689609738281989	0.5254452250787943	0.5314109658369723	0.638574595882166	0.5615756160492195	0.5855355652510692	0.5930783838228719	0.5889095688067837	0.5788101190927586	0.5816382886486922	0.5676718892647791	0.5105715725063051
