	w9pp	w8pp	w10pp	31749	530368	F6H1	31750	530451	S12Hp	530295	530331	530177	531414	31766	31236	31343	530394	S11Hp	31021	31600	31071	S26Hp	31328	S27H1	31219	31519	S3Hp	F8H1	F22HpB	530075	F16H1	F7H1	s24H1	S2Hp	S22Hp	S8Hp	31537	S7Hp	S9H1	S23Hp	S20H1	S30H1	S29H1	S17H1	31300	31360	S15Hp	F14H1A	S31Hp	S25Hp	31700	530215	31232	530258	S19H1	S16H2	F3H1	F32H1	S6Hp	31333	S28Hp	S18H1	31267	S13Hp	F29H1	S10H1	S4Hp	S21H1	F14H1B	530444	31512	F23HpA	530050	530055	S14Hp	S1Hp	f20ppA	w20pp	w17pp	f7pp	f24pp	w23pp
w9pp	0.0	0.038750228463834954	0.036373014074268226	0.36790032907367065	0.40346532752334335	0.28138900376119436	0.3205737090008338	0.41412243755977707	0.30581069959014084	0.39832122458825986	0.4253014799506279	0.42938273438751734	0.4737308781010641	0.47022505068736337	0.38828756298059414	0.4351096907336459	0.40387748321961836	0.3335341401058444	0.33212465146820674	0.3495601319261633	0.29830302024823135	0.2677850462513102	0.3205044379928646	0.3420727017423479	0.3040771392952379	0.281865638037867	0.2615554536961755	0.3304445996950029	0.3223558346508352	0.45811150693433117	0.3501291673938957	0.3353857850313974	0.4891648625673641	0.435855959857223	0.3067115140958481	0.3310385797128453	0.3602529986153779	0.26933054313846655	0.35030975469918585	0.3358095336277948	0.4836885873807083	0.31284799660904933	0.47820229722723046	0.3611533897366986	0.36877971257650183	0.3707553602312406	0.35904210931900055	0.28722907283932586	0.2990108357969322	0.3780968020970818	0.3085644032924284	0.3848359410660418	0.40062655205480846	0.3609756894162701	0.32641869901112713	0.2715301387456099	0.28171871753490874	0.2806945037981156	0.33877039380029184	0.33217576399880927	0.39307624740562463	0.37023912839259665	0.3531888850838096	0.2825592125266376	0.3403649530392919	0.44388362638835394	0.36047876829130804	0.28114601834813063	0.3190703623703109	0.3818257175003234	0.2860193606141679	0.3174523147750396	0.30876459530044453	0.4320821214534603	0.30342771092995047	0.2850857200597264	0.024227328887764837	0.020431564848887925	0.03390344851962936	0.026587121317046946	0.026850922439762122	0.03627695300276326
w8pp	0.038750228463834954	0.0	0.05629796419696525	0.39735169497956163	0.43291669342923433	0.31084036966708534	0.3500250749067248	0.44357380346566805	0.3352620654960318	0.42777259049415084	0.4547528458565189	0.4588341002934083	0.5031822440069551	0.49967641659325435	0.4177389288864851	0.4645610566395369	0.43332884912550934	0.3629855060117354	0.3615760173740977	0.3790114978320543	0.32775438615412233	0.2972364121572012	0.3499558038987556	0.37152406764823886	0.33352850520112887	0.311317003943758	0.2910068196020665	0.3598959656008939	0.3518072005567262	0.48756287284022215	0.3795805332997867	0.36483715093728836	0.5186162284732551	0.46530732576311395	0.3361628800017391	0.36048994561873626	0.3897043645212689	0.29878190904435753	0.37976112060507683	0.3652608995336858	0.5131399532865992	0.3422993625149403	0.5076536631331214	0.39060475564258956	0.3982310784823928	0.4002067261371316	0.3884934752248915	0.31668043874521684	0.3284622017028232	0.4075481680029728	0.3380157691983194	0.4142873069719328	0.43007791796069944	0.3904270553221611	0.3558700649170181	0.30098150465150086	0.3111700834407997	0.3101458697040066	0.3682217597061828	0.36162712990470025	0.4225276133115156	0.39969049429848763	0.38264025098970056	0.3120105784325286	0.36981631894518285	0.4733349922942449	0.389930134197199	0.3105973842540216	0.34852172827620187	0.4112770834062144	0.31547072652005886	0.3469036806809306	0.3382159612063355	0.4615334873593513	0.33287907683584145	0.31453708596561736	0.05367869479365579	0.049882930754778884	0.06335681442652039	0.056040487223937965	0.05630428834665314	0.06573031890965428
w10pp	0.036373014074268226	0.05629796419696525	0.0	0.3949744805899949	0.4305394790396676	0.3084631552775186	0.34764786051715807	0.4411965890761013	0.3328848511064651	0.4253953761045841	0.45237563146695214	0.4564568859038416	0.5008050296173884	0.4972992022036876	0.4153617144969184	0.46218384224997017	0.4309516347359426	0.3606082916221687	0.359198802984531	0.37663428344248756	0.3253771717645556	0.2948591977676345	0.34757858950918885	0.36914685325867214	0.33115129081156214	0.30893978955419127	0.28862960521249975	0.35751875121132715	0.3494299861671595	0.4851856584506554	0.37720331891021996	0.36245993654772163	0.5162390140836883	0.4629301113735472	0.3337856656121724	0.35811273122916953	0.38732715013170216	0.2964046946547908	0.3773839062155101	0.36288368514411906	0.5107627388970325	0.3399221481253736	0.5052764487435547	0.38822754125302283	0.3958538640928261	0.39782951174756487	0.3861162608353248	0.3143032243556501	0.32608498731325647	0.40517095361340605	0.33563855480875265	0.41191009258236605	0.4277007035711327	0.38804984093259437	0.3534928505274514	0.29860429026193414	0.308792869051233	0.30776865531443987	0.3658445453166161	0.3592499155151335	0.4201503989219489	0.3973132799089209	0.38026303660013383	0.3096333640429619	0.3674391045556161	0.4709577779046782	0.3875529198076323	0.3082201698644549	0.34614451388663514	0.40889986901664765	0.31309351213049214	0.34452646629136385	0.3358387468167688	0.45915627296978456	0.3305018624462747	0.31215987157605063	0.051301480404089064	0.047505716365212156	0.06097960003695365	0.05366327283437124	0.05392707395708641	0.06335310452008755
31749	0.36790032907367065	0.39735169497956163	0.3949744805899949	0.0	0.13099372970918183	0.19622795557110084	0.2354126608107403	0.32896138936968355	0.22064965140004733	0.3131601763981664	0.34014043176053443	0.3442216861974238	0.3885698299109706	0.3850640024972699	0.3031265147905007	0.3499486425435524	0.31871643502952485	0.24837309191575088	0.24696360327811323	0.2643990837360698	0.21314197205813784	0.18262399806121674	0.23534338980277106	0.25691165355225437	0.2189160911051444	0.19670458984777348	0.17639440550608196	0.2452835515049094	0.2371947864607417	0.37295045874423766	0.2649681192038022	0.25022473684130386	0.40400381437727056	0.3506949116671295	0.2215504659057546	0.24587753152275177	0.27509195042528445	0.18416949494837304	0.26514870650909234	0.2506484854377013	0.3985275391906148	0.22768694841895584	0.39304124903713694	0.27599234154660507	0.28361866438640826	0.28559431204114716	0.273881061128907	0.20206802464923235	0.2138497876068387	0.2929357539069882	0.2234033551023349	0.2996748928759483	0.31546550386471495	0.2758146412261766	0.24125765082103362	0.18636909055551637	0.19655766934481522	0.19553345560802207	0.2536093456101983	0.24701471580871578	0.3079151992155311	0.28507808020250314	0.26802783689371606	0.19739816433654409	0.25520390484919836	0.35872257819826037	0.2753177201012146	0.19598497015803712	0.23390931418021735	0.29666466931022994	0.20085831242407434	0.2322912665849461	0.22360354711035102	0.34692107326336685	0.21826666273985695	0.19992467186963286	0.3676506628768038	0.36385489883792693	0.39250691503635604	0.38519058783377363	0.3854543889564888	0.39488041951948993
530368	0.40346532752334335	0.43291669342923433	0.4305394790396676	0.13099372970918183	0.0	0.23179295402077355	0.270977659260413	0.36452638781935626	0.25621464984972003	0.34872517484783905	0.3757054302102071	0.37978668464709653	0.4241348283606433	0.42062900094694256	0.3386915132401733	0.3855136409932251	0.35428143347919755	0.2839380903654236	0.28252860172778593	0.2999640821857425	0.24870697050781054	0.21818899651088944	0.2709083882524438	0.2924766520019271	0.2544810895548171	0.23226958829744618	0.21195940395575466	0.2808485499545821	0.2727597849104144	0.40851545719391036	0.3005331176534749	0.28578973529097657	0.43956881282694327	0.38625991011680216	0.2571154643554273	0.28144252997242447	0.3106569488749571	0.21973449339804574	0.30071370495876504	0.286213483887374	0.4340925376402875	0.2632519468686285	0.42860624748680964	0.31155733999627777	0.319183662836081	0.3211593104908198	0.30944605957857974	0.23763302309890505	0.2494147860565114	0.328500752356661	0.2589683535520076	0.335239891325621	0.35103050231438765	0.3113796396758493	0.2768226492707063	0.22193408900518907	0.23212266779448792	0.23109845405769477	0.289174344059871	0.28257971425838846	0.3434801976652038	0.32064307865217584	0.30359283534338877	0.2329631627862168	0.29076890329887106	0.3942875766479331	0.3108827185508872	0.23154996860770982	0.2694743126298901	0.3322296677599026	0.23642331087374704	0.2678562650346188	0.2591685455600237	0.3824860717130395	0.25383166118952966	0.23548967031930557	0.4032156613264765	0.39941989728759963	0.42807191348602874	0.42075558628344634	0.4210193874061615	0.43044541796916264
F6H1	0.28138900376119436	0.31084036966708534	0.3084631552775186	0.19622795557110084	0.23179295402077355	0.0	0.11730117228492273	0.21337225915584926	0.11642050586597938	0.20893103086409842	0.23591128622646645	0.2399925406633559	0.2967855232455259	0.2932796958318251	0.2113422081250559	0.25816433587810766	0.2269321283640801	0.15658878525030615	0.1551792966126685	0.17261477707062506	0.12135766539269312	0.090839691395772	0.14355908313732632	0.16512734688680963	0.12713178443969966	0.10492028318232875	0.08461009884063722	0.15349924483946467	0.14541047979529698	0.2811661520787929	0.17318381253835746	0.15844043017585913	0.3122195077118258	0.2589106050016847	0.12976615924030988	0.15409322485730703	0.18330764375983968	0.09238518828292831	0.1733643998436476	0.15886417877225656	0.3067432325251701	0.1359026417535111	0.3012569423716922	0.18420803488116033	0.19183435772096355	0.1938100053757024	0.18209675446346227	0.11028371798378761	0.12206548094139397	0.20115144724154352	0.13161904843689015	0.20789058621050355	0.2236811971992702	0.18403033456073187	0.14947334415558888	0.09458478389007163	0.10477336267937049	0.10374914894257735	0.16182503894475359	0.15523040914327105	0.21613089255008638	0.1932937735370584	0.17624353022827133	0.10561385767109936	0.16341959818375362	0.2669382715328157	0.18353341343576982	0.10420066349259238	0.1421250075147726	0.20488036264478518	0.10907400575862962	0.14050695991950135	0.13181924044490628	0.25513676659792206	0.12648235607441222	0.10814036520418813	0.2811393375643275	0.27734357352545064	0.30599558972387975	0.29867926252129734	0.2989430636440125	0.30836909420701364
31750	0.3205737090008338	0.3500250749067248	0.34764786051715807	0.2354126608107403	0.270977659260413	0.11730117228492273	0.0	0.25255696439548875	0.15560521110561887	0.2481157361037379	0.27509599146610597	0.27917724590299536	0.33597022848516533	0.33246440107146463	0.2505269133646954	0.2973490411177471	0.26611683360371957	0.19577349048994563	0.19436400185230795	0.21179948231026455	0.1605423706323326	0.1300243966354115	0.1827437883769658	0.2043120521264491	0.16631648967933915	0.14410498842196823	0.1237948040802767	0.19268395007910416	0.18459518503493647	0.3203508573184324	0.21236851777799692	0.19762513541549862	0.35140421295146534	0.29809531024132424	0.16895086447994934	0.1932779300969465	0.22249234899947917	0.1315698935225678	0.21254910508328706	0.19804888401189602	0.34592793776480957	0.1750873469931506	0.3404416476113317	0.2233927401207998	0.23101906296060304	0.23299471061534188	0.22128145970310176	0.14946842322342707	0.16125018618103343	0.240336152481183	0.17080375367652964	0.247075291450143	0.26286590243890967	0.22321503980037133	0.18865804939522834	0.1337694891297111	0.14395806791900997	0.14293385418221682	0.20100974418439305	0.19441511438291054	0.25531559778972585	0.23247847877669786	0.21542823546791082	0.14479856291073884	0.20260430342339308	0.30612297677245515	0.2227181186754093	0.14338536873223184	0.1813097127544121	0.24406506788442467	0.1482587109982691	0.1796916651591408	0.17100394568454577	0.2943214718375616	0.16566706131405168	0.14732507044382762	0.320324042803967	0.3165282787650901	0.3451802949635192	0.3378639677609368	0.338127768883652	0.3475537994466531
530451	0.41412243755977707	0.44357380346566805	0.4411965890761013	0.32896138936968355	0.36452638781935626	0.21337225915584926	0.25255696439548875	0.0	0.24915393966456212	0.3416644646626812	0.3686447200250492	0.3727259744619386	0.4295189570441086	0.4260131296304078	0.3440756419236386	0.3908977696766904	0.3596655621626628	0.2893222190488889	0.2879127304112512	0.30534821086920777	0.2540910991912758	0.2235731251943547	0.27629251693590906	0.29786078068539235	0.25986521823828235	0.23765371698091148	0.21734353263921993	0.28623267863804736	0.2781439135938797	0.41389958587737563	0.3059172463369402	0.29117386397444184	0.44495294151040854	0.39164403880026744	0.2624995930388926	0.28682665865588974	0.31604107755842237	0.225118622081511	0.3060978336422303	0.29159761257083927	0.4394766663237528	0.2686360755520938	0.4339903761702749	0.31694146867974304	0.3245677915195463	0.3265434391742851	0.314830188262045	0.24301715178237032	0.2547989147399767	0.33388488104012626	0.26435248223547286	0.34062402000908626	0.3564146309978529	0.3167637683593146	0.2822067779541716	0.22731821768865434	0.2375067964779532	0.23648258274116007	0.2945584727433363	0.28796384294185373	0.3488643263486691	0.3260272073356411	0.30897696402685404	0.2383472914696821	0.29615303198233633	0.3996717053313984	0.3162668472343525	0.2369340972911751	0.27485844131335535	0.33761379644336786	0.24180743955721234	0.27324039371808406	0.264552674243489	0.38787020039650477	0.25921578987299493	0.24087379900277084	0.41387277136291023	0.41007700732403335	0.43872902352246246	0.43141269631988005	0.43167649744259523	0.44110252800559635
S12Hp	0.30581069959014084	0.3352620654960318	0.3328848511064651	0.22064965140004733	0.25621464984972003	0.11642050586597938	0.15560521110561887	0.24915393966456212	0.0	0.22310793881098398	0.25008819417335204	0.25416944861024143	0.32120721907447236	0.3177013916607716	0.2357639039540024	0.28258603170705415	0.2513538241930266	0.18101048107925263	0.17960099244161498	0.19703647289957155	0.1457793612216396	0.11526138722471849	0.1679807789662728	0.18954904271575612	0.15155348026864615	0.12934197901127525	0.10903179466958371	0.17792094066841116	0.16983217562424346	0.3055878479077394	0.19760550836730395	0.18286212600480561	0.3366412035407723	0.2833323008306312	0.15418785506925636	0.17851492068625352	0.20772933958878617	0.1168068841118748	0.1977860956725941	0.18328587460120305	0.3311649283541166	0.1603243375824576	0.3256786382006387	0.20862973071010682	0.21625605354991004	0.21823170120464888	0.20651845029240876	0.1347054138127341	0.14648717677034045	0.22557314307049	0.15604074426583664	0.23231228203945004	0.2481028930282167	0.20845203038967836	0.17389503998453537	0.11900647971901812	0.12919505850831697	0.12817084477152385	0.18624673477370007	0.17965210497221754	0.24055258837903287	0.2177154693660049	0.20066522605721782	0.13003555350004586	0.1878412940127001	0.2913599673617622	0.2079551092647163	0.12862235932153887	0.1665467033437191	0.22930205847373167	0.13349570158757612	0.16492865574844784	0.15624093627385277	0.27955846242686855	0.1509040519033587	0.13256206103313461	0.305561033393274	0.3017652693543971	0.33041728555282623	0.3231009583502438	0.323364759472959	0.3327907900359601
530295	0.39832122458825986	0.42777259049415084	0.4253953761045841	0.3131601763981664	0.34872517484783905	0.20893103086409842	0.2481157361037379	0.3416644646626812	0.22310793881098398	0.0	0.342596719170471	0.3466779736073604	0.41371774407259143	0.4102119166588907	0.32827442895212144	0.37509655670517317	0.3438643491911456	0.2735210060773717	0.272111517439734	0.2895469978976906	0.23828988621975866	0.20777191222283753	0.26049130396439185	0.28205956771387514	0.2440640052667652	0.22185250400939427	0.20154231966770275	0.2704314656665302	0.26234270062236253	0.3980983729058585	0.290116033365423	0.2753726510029247	0.4291517285388914	0.3758428258287503	0.2466983800673754	0.27102544568437253	0.3002398645869052	0.20931740910999386	0.29029662067071316	0.27579639959932206	0.4236754533522356	0.25283486258057664	0.41818916319875776	0.3011402557082259	0.3087665785480291	0.3107422262027679	0.2990289752905278	0.22721593881085314	0.2389977017684595	0.31808366806860905	0.2485512692639557	0.32482280703756905	0.3406134180263357	0.30096255538779737	0.26640556498265444	0.21151700471713716	0.22170558350643602	0.22068136976964287	0.2787572597718191	0.2721626299703366	0.3330631133771519	0.3102259943641239	0.2931757510553369	0.22254607849816488	0.2803518190108191	0.3838704923598812	0.30046563426283535	0.2211328843196579	0.25905722834183814	0.3218125834718507	0.22600622658569514	0.2574391807465669	0.24875146127197184	0.3720689874249876	0.24341457690147772	0.22507258603125366	0.398071558391393	0.39427579435251614	0.42292781055094525	0.41561148334836284	0.415875284471078	0.42530131503407914
