	31160	F7H1	S31Hp	S4Hp	S7Hp	S29H1	s26pp	w9pp	S28Hp	S1Hp	S9H1	S18H1	31700	S15Hp	31300	S16H2	s24pp	S19H1	s24H1	S26Hp	F29H1	f14ppB	530295	530451	31600	S13Hp	F23HpA	S21H1	S17H1
31160	0.0	0.1970633734558722	0.08713438781198973	0.10193368509534598	0.12066158454424972	0.10942833909192864	0.11362414266679421	0.14703656169580603	0.21526851494016777	0.24346558808407723	0.3965695301274779	0.4059155119395081	0.4005384199283844	0.3921740672131903	0.40078133708611247	0.38075306267268944	0.279630928307726	0.2723518837729278	0.25843829708014304	0.297584621743131	0.28171164371445334	0.1848814138312465	0.24326236973128312	0.24851028553787788	0.2849844112735966	0.4322772255628134	0.5094096701089701	0.08958119625785838	0.0803272299585627
F7H1	0.1970633734558722	0.0	0.15886584613938334	0.1736651434227396	0.1923930428716433	0.18115979741932225	0.1853556009941878	0.2393426668402116	0.30757462008457337	0.3357716932284828	0.4888756352718835	0.49822161708391366	0.49284452507279	0.4844801723575959	0.49308744223051804	0.473059167817095	0.3719370334521316	0.36465798891733336	0.3507444022245486	0.38989072688753657	0.3740177488588589	0.2771875189756521	0.33556847487568875	0.3408163906822835	0.37729051641800215	0.524583330707219	0.6017157752533757	0.21179239192472993	0.20253842562543428
S31Hp	0.08713438781198973	0.15886584613938334	0.0	0.05802608809160309	0.07675398754050682	0.06552074208818576	0.06971654566305133	0.12941368119632915	0.19764563444069091	0.22584270758460037	0.378946649628001	0.3882926314400312	0.3829155394289075	0.3745511867137134	0.38315845658663555	0.3631301821732125	0.26200804780824916	0.2547290032734509	0.2408154165806662	0.2799617412436541	0.26408876321497643	0.16725853333176965	0.22563948923180627	0.23088740503840102	0.2673615307741197	0.4146543450633365	0.49178678960949324	0.1018634062808475	0.09260943998155183
S4Hp	0.10193368509534598	0.1736651434227396	0.05802608809160309	0.0	0.045289895358920806	0.03405664990659974	0.051606470607028394	0.1442129784796854	0.21244493172404716	0.24064200486795662	0.3937459469113572	0.4030919287233874	0.3977148367122637	0.3893504839970696	0.39795775386999177	0.37792947945656874	0.2768073450916054	0.26952830055680715	0.2556147138640224	0.2947610385270103	0.2788880604983327	0.18205783061512587	0.24043878651516248	0.24568670232175727	0.28216082805747594	0.4294536423466927	0.5065860868928495	0.11666270356420375	0.10740873726490807
S7Hp	0.12066158454424972	0.1923930428716433	0.07675398754050682	0.045289895358920806	0.0	0.030200843096306183	0.07033437005593213	0.1629408779285891	0.23117283117295087	0.25936990431686036	0.41247384636026097	0.42181982817229113	0.41644273616116745	0.40807838344597336	0.4166856533188955	0.3966573789054725	0.2955352445405091	0.28825620000571084	0.27434261331292614	0.31348893797591404	0.29761595994723644	0.2007857300640296	0.2591666859640662	0.264414601770661	0.3008887275063797	0.44818154179559644	0.5253139863417532	0.13539060301310746	0.1261366367138118
S29H1	0.10942833909192864	0.18115979741932225	0.06552074208818576	0.03405664990659974	0.030200843096306183	0.0	0.05910112460361106	0.15170763247626806	0.21993958572062983	0.24813665886453928	0.4012406009079399	0.41058658271997006	0.4052094907088464	0.3968451379936523	0.40545240786657444	0.3854241334531514	0.28430199908818804	0.2770229545533898	0.26310936786060507	0.30225569252359297	0.28638271449491537	0.18955248461170854	0.24793344051174515	0.25318135631833993	0.2896554820540586	0.43694829634327537	0.5140807408894321	0.12415735756078641	0.11490339126149074
s26pp	0.11362414266679421	0.1853556009941878	0.06971654566305133	0.051606470607028394	0.07033437005593213	0.05910112460361106	0.0	0.1559034360511336	0.22413538929549537	0.2523324624394048	0.4054364044828055	0.41478238629483566	0.409405294283712	0.4010409415685179	0.40964821144144004	0.389619937028017	0.28849780266305364	0.28121875812825536	0.26730517143547067	0.30645149609845856	0.2905785180697809	0.19374828818657414	0.25212924408661075	0.2573771598932055	0.2938512856289242	0.44114409991814096	0.5182765444642977	0.12835316113565198	0.11909919483635631
w9pp	0.14703656169580603	0.2393426668402116	0.12941368119632915	0.1442129784796854	0.1629408779285891	0.15170763247626806	0.1559034360511336	0.0	0.13811644942109153	0.2120273276069563	0.36513126965035697	0.37447725146238714	0.3691001594512634	0.3607358067360693	0.36934307660899146	0.3493148021955685	0.2481926678306051	0.24091362329580684	0.22700003660302212	0.26614636126601005	0.2502733832373324	0.1534431533541256	0.2118241092541622	0.21707202506075696	0.2535461507964757	0.4008389650856924	0.47797140963184914	0.1617655801646638	0.15251161386536813
S28Hp	0.21526851494016777	0.30757462008457337	0.19764563444069091	0.21244493172404716	0.23117283117295087	0.21993958572062983	0.22413538929549537	0.13811644942109153	0.0	0.28025928085131807	0.43336322289471874	0.4427092047067489	0.43733211269562516	0.4289677599804311	0.4375750298533532	0.41754675543993025	0.3164246210749668	0.3091455765401686	0.29523198984738386	0.3343783145103718	0.31850533648169416	0.22167510659848733	0.280056062498524	0.2853039783051187	0.3217781040408374	0.46907091833005415	0.5462033628762109	0.2299975334090255	0.22074356710972987
S1Hp	0.24346558808407723	0.3357716932284828	0.22584270758460037	0.24064200486795662	0.25936990431686036	0.24813665886453928	0.2523324624394048	0.2120273276069563	0.28025928085131807	0.0	0.3193933875847425	0.32873936939677273	0.32336227738564893	0.3149979246704549	0.32360519454337705	0.3035769201299541	0.2818849977356014	0.2746059532008031	0.2606923665080184	0.29983869117100626	0.28396571314232866	0.18713548325912183	0.2455164391591585	0.2507643549657532	0.28723848070147195	0.4759183672366807	0.5530508117828374	0.25819460655293497	0.24894064025363932
S9H1	0.3965695301274779	0.4888756352718835	0.378946649628001	0.3937459469113572	0.41247384636026097	0.4012406009079399	0.4054364044828055	0.36513126965035697	0.43336322289471874	0.3193933875847425	0.0	0.3887023546015598	0.38332526259043603	0.374960909875242	0.38356817974816415	0.3635399053347411	0.434988939779002	0.4277098952442038	0.413796308551419	0.452942633214407	0.4370696551857293	0.3402394253025225	0.39862038120255916	0.4038682970091539	0.44034242274487256	0.6290223092800813	0.706154753826238	0.4112985485963357	0.40204458229704
