	F23HpA	F6H1	s24H1	F32H1	S15Hp	S19H1	F7H1	31267	S1Hp	31700	F3H1	S26Hp	S13Hp	S9H1	S28Hp	S12Hp	F14H1A	S17H1
F23HpA	0.0	0.3710338132861	0.40867737293559864	0.3711431922331099	0.3151097525909355	0.35689371410273435	0.5172061344826393	0.501154252897215	0.5219387725995387	0.5161506488006433	0.5254063091463145	0.4062458344167948	0.3814443382160018	0.3762078252321038	0.24908628889171883	0.2135586797970477	0.12995848106704114	0.02142896054992285
F6H1	0.3710338132861	0.0	0.13960607028307404	0.21225780830121763	0.22894456374759828	0.2707285252593971	0.5058304638316957	0.4897785822462713	0.510563101948595	0.5047749781496996	0.5140306384953708	0.39487016376585116	0.3700686675650581	0.3648321545811601	0.3501955449988443	0.31466793590417313	0.37560746597839634	0.37733052935466377
s24H1	0.40867737293559864	0.13960607028307404	0.0	0.2499013679507163	0.2665881233970969	0.3083720849088958	0.5434740234811943	0.52742214189577	0.5482066615980937	0.5424185377991984	0.5516741981448694	0.43251372341534977	0.4077122272145568	0.40247571423065875	0.3878391046483429	0.3523114955536718	0.41325102562789495	0.4149740890041624
F32H1	0.3711431922331099	0.21225780830121763	0.2499013679507163	0.0	0.22905394269460816	0.27083790420640697	0.5059398427787055	0.48988796119328115	0.5106724808956049	0.5048843570967095	0.5141400174423807	0.394979542712861	0.370178046512068	0.36494153352816994	0.35030492394585416	0.31477731485118304	0.37571684492540613	0.3774399083016736
S15Hp	0.3151097525909355	0.22894456374759828	0.2665881233970969	0.22905394269460816	0.0	0.1464423433279725	0.4499064031365312	0.4338545215511068	0.4546390412534306	0.4488509174545351	0.45810657780020625	0.3389461030706866	0.3141446068698936	0.3089080938859956	0.2942714843036798	0.25874387520900866	0.3196834052832318	0.32140646865949923
S19H1	0.35689371410273435	0.2707285252593971	0.3083720849088958	0.27083790420640697	0.1464423433279725	0.0	0.49169036464833	0.4756384830629056	0.4964230027652294	0.49063487896633395	0.4998905393120051	0.3807300645824855	0.3559285683816924	0.3506920553977944	0.33605544581547864	0.30052783672080746	0.36146736679503066	0.3631904301712981
F7H1	0.5172061344826393	0.5058304638316957	0.5434740234811943	0.5059398427787055	0.4499064031365312	0.49169036464833	0.0	0.4082876712364413	0.457108302840298	0.45132017904140254	0.46908463995415917	0.3746115684661283	0.39676432561348574	0.47401840979671195	0.49636786619538364	0.4608402571007125	0.5217797871749357	0.523502850551203
31267	0.501154252897215	0.4897785822462713	0.52742214189577	0.48988796119328115	0.4338545215511068	0.4756384830629056	0.4082876712364413	0.0	0.44105642125487365	0.4352682974559782	0.45303275836873486	0.35855968688070394	0.38071244402806137	0.4579665282112876	0.4803159846099593	0.44478837551528816	0.5057279055895113	0.5074509689657787
S1Hp	0.5219387725995387	0.510563101948595	0.5482066615980937	0.5106724808956049	0.4546390412534306	0.4964230027652294	0.457108302840298	0.44105642125487365	0.0	0.42731532935413014	0.4738172780710586	0.3793442065830277	0.4014969637303851	0.47875104791361134	0.501100504312283	0.4655728952176119	0.5265124252918351	0.5282354886681024
31700	0.5161506488006433	0.5047749781496996	0.5424185377991984	0.5048843570967095	0.4488509174545351	0.49063487896633395	0.45132017904140254	0.4352682974559782	0.42731532935413014	0.0	0.4680291542721632	0.3735560827841323	0.39570883993148964	0.47296292411471585	0.49531238051338766	0.4597847714187165	0.5207243014929397	0.5224473648692071
F3H1	0.5254063091463145	0.5140306384953708	0.5516741981448694	0.5141400174423807	0.45810657780020625	0.4998905393120051	0.46908463995415917	0.45303275836873486	0.4738172780710586	0.4680291542721632	0.0	0.38281174312980343	0.4049645002771608	0.482218584460387	0.5045680408590588	0.46904043176438764	0.5299799618386108	0.5317030252148782
S26Hp	0.4062458344167948	0.39487016376585116	0.43251372341534977	0.394979542712861	0.3389461030706866	0.3807300645824855	0.3746115684661283	0.35855968688070394	0.3793442065830277	0.3735560827841323	0.38281174312980343	0.0	0.28580402554764117	0.3630581097308674	0.3854075661295391	0.34987995703486796	0.4108194871090911	0.41254255048535854
S13Hp	0.3814443382160018	0.3700686675650581	0.4077122272145568	0.370178046512068	0.3141446068698936	0.3559285683816924	0.39676432561348574	0.38071244402806137	0.4014969637303851	0.39570883993148964	0.4049645002771608	0.28580402554764117	0.0	0.3382566135300743	0.3606060699287461	0.325078460834075	0.38601799090829814	0.38774105428456557
S9H1	0.3762078252321038	0.3648321545811601	0.40247571423065875	0.36494153352816994	0.3089080938859956	0.3506920553977944	0.47401840979671195	0.4579665282112876	0.47875104791361134	0.47296292411471585	0.482218584460387	0.3630581097308674	0.3382566135300743	0.0	0.35536955694484806	0.31984194785017694	0.3807814779244001	0.3825045413006675
S28Hp	0.24908628889171883	0.3501955449988443	0.3878391046483429	0.35030492394585416	0.2942714843036798	0.33605544581547864	0.49636786619538364	0.4803159846099593	0.501100504312283	0.49531238051338766	0.5045680408590588	0.3854075661295391	0.3606060699287461	0.35536955694484806	0.0	0.11948641278743796	0.25365994158401506	0.25538300496028254
S12Hp	0.2135586797970477	0.31466793590417313	0.3523114955536718	0.31477731485118304	0.25874387520900866	0.30052783672080746	0.4608402571007125	0.44478837551528816	0.4655728952176119	0.4597847714187165	0.46904043176438764	0.34987995703486796	0.325078460834075	0.31984194785017694	0.11948641278743796	0.0	0.21813233248934397	0.21985539586561142
F14H1A	0.12995848106704114	0.37560746597839634	0.41325102562789495	0.37571684492540613	0.3196834052832318	0.36146736679503066	0.5217797871749357	0.5057279055895113	0.5265124252918351	0.5207243014929397	0.5299799618386108	0.4108194871090911	0.38601799090829814	0.3807814779244001	0.25365994158401506	0.21813233248934397	0.0	0.13625519713560486
S17H1	0.02142896054992285	0.37733052935466377	0.4149740890041624	0.3774399083016736	0.32140646865949923	0.3631904301712981	0.523502850551203	0.5074509689657787	0.5282354886681024	0.5224473648692071	0.5317030252148782	0.41254255048535854	0.38774105428456557	0.3825045413006675	0.25538300496028254	0.21985539586561142	0.13625519713560486	0.0
