	S22Hp	F22HpB	S19H1	F32H1	S12Hp	S18H1	S2Hp	530055	31750	S14Hp	f24pp	S13Hp	S9H1	w9pp	F7H1	S16H2	S26Hp
S22Hp	0.0	0.4633243362350672	0.548230178105714	0.5983941860031361	0.49196489846371794	0.6326058513192273	0.6913285860459744	0.6323010677680896	0.6911896777171357	0.6194150498141966	0.5507456896986479	0.5378617405309221	0.3935340883240432	0.3924024781324846	0.3780651170093027	0.583006711738644	0.019527449745752167
F22HpB	0.4633243362350672	0.0	0.20323931597657297	0.2534033238739951	0.14697403633457687	0.32795336790710633	0.3866761026338534	0.32764858435596866	0.3865371943050147	0.31476256640207567	0.24609320628652692	0.23320925711880114	0.1680815581876211	0.22687329301996698	0.24652560612742724	0.5238341821340669	0.45227040124386925
S19H1	0.548230178105714	0.20323931597657297	0.0	0.23756348892595008	0.1967327441652444	0.41285920977775314	0.4715819445045002	0.4125544262266155	0.4714430361756615	0.3996684082727225	0.33099904815717374	0.31811509898944795	0.2529874000582679	0.3117791348906138	0.33143144799807406	0.6087400240047136	0.5371762431145161
F32H1	0.5983941860031361	0.2534033238739951	0.23756348892595008	0.0	0.24689675206266654	0.4630232176751753	0.5217459524019223	0.4627184341240376	0.5216070440730837	0.44983241617014463	0.3811630560545959	0.3682791068868701	0.30315140795569007	0.36194314278803597	0.3815954558954962	0.6589040319021358	0.5873402510119382
S12Hp	0.49196489846371794	0.14697403633457687	0.1967327441652444	0.24689675206266654	0.0	0.3565939301357571	0.4153166648625041	0.3562891465846194	0.41517775653366545	0.3434031286307264	0.27473376851517767	0.2618498193474519	0.19672212041627185	0.2555138552486177	0.275166168356078	0.5524747443627176	0.48091096347252
S18H1	0.6326058513192273	0.32795336790710633	0.41285920977775314	0.4630232176751753	0.3565939301357571	0.0	0.06976629352961897	0.30205113878932666	0.3609397487383727	0.28916512083543366	0.35542765176657265	0.34254370259884687	0.3373630732717813	0.3961548081041272	0.4158071212115874	0.693115697218227	0.6215519163280294
S2Hp	0.6913285860459744	0.3866761026338534	0.4715819445045002	0.5217459524019223	0.4153166648625041	0.06976629352961897	0.0	0.3607738735160737	0.4196624834651197	0.3478878555621807	0.4141503864933197	0.4012664373255939	0.3960858079985283	0.4548775428308742	0.47452985593833447	0.751838431944974	0.6802746510547765
530055	0.6323010677680896	0.32764858435596866	0.4125544262266155	0.4627184341240376	0.3562891465846194	0.30205113878932666	0.3607738735160737	0.0	0.2526475557388632	0.1808729278359242	0.355122868215435	0.3422389190477092	0.3370582897206436	0.39585002455298945	0.41550233766044975	0.6928109136670892	0.6212471327768917
31750	0.6911896777171357	0.3865371943050147	0.4714430361756615	0.5216070440730837	0.41517775653366545	0.3609397487383727	0.4196624834651197	0.2526475557388632	0.0	0.17949240491841692	0.41401147816448103	0.40112752899675524	0.39594689966968966	0.45473863450203555	0.4743909476094958	0.7516995236161353	0.6801357427259378
S14Hp	0.6194150498141966	0.31476256640207567	0.3996684082727225	0.44983241617014463	0.3434031286307264	0.28916512083543366	0.3478878555621807	0.1808729278359242	0.17949240491841692	0.0	0.34223685026154205	0.32935290109381626	0.3241722717667506	0.38296400659909646	0.40261631970655676	0.6799248957131963	0.6083611148229987
f24pp	0.5507456896986479	0.24609320628652692	0.33099904815717374	0.3811630560545959	0.27473376851517767	0.35542765176657265	0.4141503864933197	0.355122868215435	0.41401147816448103	0.34223685026154205	0.0	0.14673947366976992	0.25550291165120187	0.31429464648354777	0.333946959591008	0.6112555355976476	0.53969175470745
S13Hp	0.5378617405309221	0.23320925711880114	0.31811509898944795	0.3682791068868701	0.2618498193474519	0.34254370259884687	0.4012664373255939	0.3422389190477092	0.40112752899675524	0.32935290109381626	0.14673947366976992	0.0	0.24261896248347609	0.30141069731582193	0.3210630104232822	0.5983715864299217	0.5268078055397242
S9H1	0.3935340883240432	0.1680815581876211	0.2529874000582679	0.30315140795569007	0.19672212041627185	0.3373630732717813	0.3960858079985283	0.3370582897206436	0.39594689966968966	0.3241722717667506	0.25550291165120187	0.24261896248347609	0.0	0.15708304510894297	0.17673535821640324	0.4540439342230428	0.38248015333284524
w9pp	0.3924024781324846	0.22687329301996698	0.3117791348906138	0.36194314278803597	0.2555138552486177	0.3961548081041272	0.4548775428308742	0.39585002455298945	0.45473863450203555	0.38296400659909646	0.31429464648354777	0.30141069731582193	0.15708304510894297	0.0	0.17560374802484457	0.4529123240314842	0.38134854314128663
F7H1	0.3780651170093027	0.24652560612742724	0.33143144799807406	0.3815954558954962	0.275166168356078	0.4158071212115874	0.47452985593833447	0.41550233766044975	0.4743909476094958	0.40261631970655676	0.333946959591008	0.3210630104232822	0.17673535821640324	0.17560374802484457	0.0	0.4385749629083023	0.36701118201810473
S16H2	0.583006711738644	0.5238341821340669	0.6087400240047136	0.6589040319021358	0.5524747443627176	0.693115697218227	0.751838431944974	0.6928109136670892	0.7516995236161353	0.6799248957131963	0.6112555355976476	0.5983715864299217	0.4540439342230428	0.4529123240314842	0.4385749629083023	0.0	0.5719527767474462
S26Hp	0.019527449745752167	0.45227040124386925	0.5371762431145161	0.5873402510119382	0.48091096347252	0.6215519163280294	0.6802746510547765	0.6212471327768917	0.6801357427259378	0.6083611148229987	0.53969175470745	0.5268078055397242	0.38248015333284524	0.38134854314128663	0.36701118201810473	0.5719527767474462	0.0
