	S29H1	S21H1	s14pp	s24pp	S31Hp	S13Hp	31450	31360	F22H1A	S7Hp	S25Hp	S10H1	F29H1	S28Hp	s24H1	F1H1	530295	F14H1A
S29H1	0.0	0.41939840251378474	0.403921390934547	0.3697666357198407	0.34889523016227947	0.36425134552945	0.46624957134603173	0.45851959470692	0.420331200472291	0.5900948517499659	0.4169330075432629	0.4385127694663275	0.40823251058967047	0.31175248352698026	0.3852191761764978	0.3798242684817885	0.399363938769436	0.2373012796577949
S21H1	0.41939840251378474	0.0	0.33574680811531743	0.3015920529006112	0.31494436631546907	0.3866051714054377	0.48860339722201945	0.4808734205829077	0.4426850263482787	0.6124486776259537	0.4392868334192507	0.4608665953423152	0.43058633646565825	0.334106309402968	0.4418791082693422	0.43648420057463283	0.45602387086228036	0.46183927433562777
s14pp	0.403921390934547	0.33574680811531743	0.0	0.06631541956567039	0.2994673547362313	0.37112815982619995	0.4731263856427817	0.46539640900366996	0.42720801476904097	0.5969716660467159	0.4238098218400129	0.44538958376307747	0.4151093248864205	0.31862929782373023	0.4264020966901044	0.4210071889953951	0.4405468592830426	0.44636226275639
s24pp	0.3697666357198407	0.3015920529006112	0.06631541956567039	0.0	0.265312599521525	0.3369734046114937	0.4389716304280754	0.43124165378896373	0.3930532595543347	0.5628169108320097	0.38965506662530663	0.41123482854837123	0.3809545696717142	0.28447454260902394	0.39224734147539814	0.3868524337806888	0.4063921040683363	0.41220750754168367
S31Hp	0.34889523016227947	0.31494436631546907	0.2994673547362313	0.265312599521525	0.0	0.3161019990539325	0.41810022487051424	0.41037024823140245	0.3721818539967735	0.5419455052744484	0.3687836610677454	0.39036342299081	0.360083164114153	0.26360313705146277	0.3713759359178369	0.3659810282231276	0.3855206985107751	0.3913361019841225
S13Hp	0.36425134552945	0.3866051714054377	0.37112815982619995	0.3369734046114937	0.3161019990539325	0.0	0.36329888225493906	0.3555689056158273	0.31738051138119827	0.5106963310035894	0.3375344867968863	0.3591142487199509	0.3288339898432939	0.2579343662471059	0.3867320512850074	0.38133714359029813	0.4008768138779456	0.406692217351293
31450	0.46624957134603173	0.48860339722201945	0.4731263856427817	0.4389716304280754	0.41810022487051424	0.36329888225493906	0.0	0.3741008280420003	0.3750821665316125	0.6126945568201712	0.43953271261346805	0.46111247453653265	0.4308322156598756	0.35993259206368766	0.4887302771015891	0.4833353694068798	0.5028750396945273	0.5086904431678747
31360	0.45851959470692	0.4808734205829077	0.46539640900366996	0.43124165378896373	0.41037024823140245	0.3555689056158273	0.3741008280420003	0.0	0.3673521898925008	0.6049645801810594	0.43180273597435626	0.4533824978974209	0.4231022390207638	0.35220261542457587	0.48100030046247744	0.4756053927677681	0.4951450630554156	0.500960466528763
F22H1A	0.420331200472291	0.4426850263482787	0.42720801476904097	0.3930532595543347	0.3721818539967735	0.31738051138119827	0.3750821665316125	0.3673521898925008	0.0	0.5667761859464303	0.3936143417397273	0.41519410366279186	0.3849138447861349	0.3140142211899469	0.4428119062278484	0.4374169985331391	0.45695666882078656	0.462772072294134
S7Hp	0.5900948517499659	0.6124486776259537	0.5969716660467159	0.5628169108320097	0.5419455052744484	0.5106963310035894	0.6126945568201712	0.6049645801810594	0.5667761859464303	0.0	0.20072523935789033	0.5639064407026076	0.5336261818259507	0.4837778724676219	0.6125755575055234	0.6071806498108141	0.6267203200984616	0.632535723571809
S25Hp	0.4169330075432629	0.4392868334192507	0.4238098218400129	0.38965506662530663	0.3687836610677454	0.3375344867968863	0.43953271261346805	0.43180273597435626	0.3936143417397273	0.20072523935789033	0.0	0.3907445964959046	0.36046433761924757	0.31061602826091883	0.43941371329882034	0.434018805604111	0.4535584758917585	0.4593738793651059
S10H1	0.4385127694663275	0.4608665953423152	0.44538958376307747	0.41123482854837123	0.39036342299081	0.3591142487199509	0.46111247453653265	0.4533824978974209	0.41519410366279186	0.5639064407026076	0.3907445964959046	0.0	0.34670629633402594	0.33219579018398343	0.46099347522188494	0.4555985675271756	0.4751382378148231	0.48095364128817053
F29H1	0.40823251058967047	0.43058633646565825	0.4151093248864205	0.3809545696717142	0.360083164114153	0.3288339898432939	0.4308322156598756	0.4231022390207638	0.3849138447861349	0.5336261818259507	0.36046433761924757	0.34670629633402594	0.0	0.3019155313073264	0.4307132163452279	0.42531830865051856	0.4448579789381661	0.45067338241151345
S28Hp	0.31175248352698026	0.334106309402968	0.31862929782373023	0.28447454260902394	0.26360313705146277	0.2579343662471059	0.35993259206368766	0.35220261542457587	0.3140142211899469	0.4837778724676219	0.31061602826091883	0.33219579018398343	0.3019155313073264	0.0	0.33423318928253765	0.32883828158782835	0.3483779518754758	0.35419335534882324
s24H1	0.3852191761764978	0.4418791082693422	0.4264020966901044	0.39224734147539814	0.3713759359178369	0.3867320512850074	0.4887302771015891	0.48100030046247744	0.4428119062278484	0.6125755575055234	0.43941371329882034	0.46099347522188494	0.4307132163452279	0.33423318928253765	0.0	0.37172263595279187	0.3912623062404394	0.4276600479983408
F1H1	0.3798242684817885	0.43648420057463283	0.4210071889953951	0.3868524337806888	0.3659810282231276	0.38133714359029813	0.4833353694068798	0.4756053927677681	0.4374169985331391	0.6071806498108141	0.434018805604111	0.4555985675271756	0.42531830865051856	0.32883828158782835	0.37172263595279187	0.0	0.3605296306682536	0.4222651403036315
530295	0.399363938769436	0.45602387086228036	0.4405468592830426	0.4063921040683363	0.3855206985107751	0.4008768138779456	0.5028750396945273	0.4951450630554156	0.45695666882078656	0.6267203200984616	0.4535584758917585	0.4751382378148231	0.4448579789381661	0.3483779518754758	0.3912623062404394	0.3605296306682536	0.0	0.44180481059127896
F14H1A	0.2373012796577949	0.46183927433562777	0.44636226275639	0.41220750754168367	0.3913361019841225	0.406692217351293	0.5086904431678747	0.500960466528763	0.462772072294134	0.632535723571809	0.4593738793651059	0.48095364128817053	0.45067338241151345	0.35419335534882324	0.4276600479983408	0.4222651403036315	0.44180481059127896	0.0
