	S28Hp	s16pp	s1pp	w8pp	F8H1	w16pp	s9pp	f22ppA	s19pp	s6pp	530295	s4pp	s12pp	S31Hp	F6H1	S30H1	S26Hp	S27H1	S13Hp	F3H1	s24H1	F23HpA	S11Hp	S15Hp	s25pp	s22pp	s2pp	s3pp	s20pp	w21pp	w4pp	w30pp	s26pp	S1Hp	s30pp	s24pp	s29pp	s32pp	w6pp	S17H1	s13pp	s7pp	s15pp	F14H1A
S28Hp	0.0	0.11835377645929547	0.11664207202901389	0.1349250348492255	0.20269329237946146	0.15200456882996966	0.1458466940458719	0.1280927646923829	0.14501287198259727	0.1418716795786788	0.23364839948769867	0.2803360321299274	0.2906110268584078	0.2757541596891707	0.40944368883591764	0.3882725107923647	0.3861209472877104	0.35932417071131595	0.33642185906026223	0.3717310120620856	0.393111173577809	0.32276325165639397	0.30434010598593597	0.17648881035053351	0.1287339202893593	0.13217500809281577	0.12460480917090491	0.15336730048705932	0.2181741864707679	0.16763650224110666	0.15459054929199798	0.2689644425523655	0.1970714521692382	0.2762438414826036	0.3472544743522594	0.2576584878877275	0.34656457887071646	0.4610862895315546	0.14403042020146847	0.18595779081648708	0.1437394012878842	0.1175006651082539	0.08100587229963514	0.0642151325871462
s16pp	0.11835377645929547	0.0	0.05247955618343875	0.07076251900365037	0.13853077653388632	0.08784205298439451	0.08168417820029676	0.06393024884680776	0.08085035613702214	0.07770916373310369	0.16948588364212352	0.2161735162843523	0.22644851101283264	0.2115916438435956	0.34528117299034256	0.3241099949467896	0.3219584314421354	0.2951616548657409	0.2722593432146872	0.30756849621651056	0.3289486577322339	0.25860073581081894	0.24017759014036086	0.11232629450495839	0.06457140444378415	0.06801249224724062	0.060442293325329785	0.0892047846414842	0.15401167062519275	0.1034739863955315	0.09042803344642283	0.20480192670679037	0.13290893632366305	0.21208132563702844	0.28309195850668434	0.19349597204215233	0.2824020630251414	0.39692377368597953	0.07986790435589333	0.12816419689967345	0.08594580737107058	0.05970707119144026	0.06602317937504396	0.08242690377520376
s1pp	0.11664207202901389	0.05247955618343875	0.0	0.036687217942956186	0.10445547547319213	0.05376675192370033	0.04760887713960258	0.02985494778611358	0.059317520210546065	0.0561763278066276	0.14795304771564746	0.19464068035787624	0.20491567508635658	0.19005880791711954	0.32374833706386646	0.3025771590203135	0.3004255955156593	0.27362881893926483	0.2507265072882111	0.28603566029003447	0.3074158218057578	0.23706789988434285	0.2186447542138848	0.09079345857848231	0.04303856851730807	0.04647965632076455	0.05129341076906742	0.08005590208522183	0.14486278806893038	0.09432510383926913	0.08127915089016047	0.19565304415052803	0.12376005376740068	0.2029324430807661	0.27394307595042194	0.18434708948589	0.27325318046887903	0.38777489112971714	0.07071902179963097	0.12645249246939186	0.084234102940789	0.05799536676115867	0.06431147494476237	0.08071519934492219
w8pp	0.1349250348492255	0.07076251900365037	0.036687217942956186	0.0	0.11097881728099215	0.06029009373150036	0.05413221894740261	0.03637828959391361	0.07760048303075767	0.07445929062683922	0.16623601053585907	0.21292364317808787	0.2231986379065682	0.20834177073733118	0.3420312998840781	0.32086012184052515	0.3187085583358709	0.29191178175947646	0.26900947010842274	0.3043186231102461	0.32569878462596946	0.2553508627045545	0.23692771703409643	0.10907642139869392	0.061321531337519684	0.06476261914097615	0.06957637358927903	0.09833886490543345	0.163145750889142	0.11260806665948075	0.09956211371037207	0.21393600697073964	0.1420430165876123	0.2212154059009777	0.2922260387706336	0.2026300523061016	0.29153614328909067	0.40605785394992877	0.08900198461984257	0.14473545528960347	0.10251706576100061	0.07627832958137029	0.08259443776497398	0.0989981621651338
F8H1	0.20269329237946146	0.13853077653388632	0.10445547547319213	0.11097881728099215	0.0	0.0999228245742278	0.09376494979013004	0.08965528522587562	0.14536874056099364	0.14222754815707517	0.23400426806609503	0.28069190070832384	0.29096689543680415	0.27611002826756714	0.40979955741431406	0.3886283793707611	0.3864768158661068	0.35968003928971237	0.33677772763865865	0.372086880640482	0.3934670421562054	0.3231191202347904	0.3046959745643324	0.17684467892892985	0.12908978886775563	0.1325308766712121	0.13734463111951498	0.16610712243566939	0.23091400841937795	0.18037632418971672	0.16733037124060804	0.2817042645009756	0.20981127411784825	0.2889836634312137	0.35999429630086954	0.27039830983633756	0.35930440081932663	0.47382611148016474	0.15677024215007854	0.21250371281983943	0.17028532329123658	0.14404658711160626	0.15036269529520996	0.16676641969536976
w16pp	0.15200456882996966	0.08784205298439451	0.05376675192370033	0.06029009373150036	0.0999228245742278	0.0	0.04307422623963822	0.038966561676383835	0.09468001701150183	0.09153882460758336	0.18331554451660323	0.230003177158832	0.24027817188731235	0.2254213047180753	0.35911083386482223	0.3379396558212693	0.33578809231661505	0.3089913157402206	0.2860890040891669	0.32139815709099023	0.3427783186067136	0.2724303966852986	0.25400725101484056	0.12615595537943808	0.07840106531826382	0.0818421531217203	0.08665590757002317	0.11541839888617758	0.18022528486988615	0.1296876006402249	0.11664164769111622	0.23101554095148377	0.15912255056835645	0.23829493988172185	0.3093055727513777	0.21970958628684573	0.3086156772698348	0.4231373879306729	0.10608151860058673	0.16181498927034763	0.11959659974174476	0.09335786356211444	0.09967397174571814	0.11607769614587796
s9pp	0.1458466940458719	0.08168417820029676	0.04760887713960258	0.05413221894740261	0.09376494979013004	0.04307422623963822	0.0	0.03280868689228609	0.08852214222740407	0.08538094982348561	0.17715766973250546	0.22384530237473427	0.23412029710321458	0.21926342993397757	0.3529529590807245	0.33178178103717154	0.3296302175325173	0.30283344095612286	0.27993112930506914	0.3152402823068925	0.33662044382261586	0.2662725219012009	0.24784937623074282	0.11999808059534031	0.07224319053416609	0.07568427833762255	0.08049803278592542	0.10926052410207984	0.17406741008578838	0.12352972585612715	0.11048377290701847	0.22485766616738603	0.15296467578425868	0.2321370650976241	0.30314769796727997	0.213551711502748	0.30245780248573706	0.41697951314657516	0.09992364381648897	0.15565711448624986	0.11343872495764701	0.08719998877801668	0.09351609696162037	0.10991982136178019
f22ppA	0.1280927646923829	0.06393024884680776	0.02985494778611358	0.03637828959391361	0.08965528522587562	0.038966561676383835	0.03280868689228609	0.0	0.07076821287391508	0.06762702046999661	0.15940374037901647	0.20609137302124525	0.2163663677497256	0.20150950058048855	0.3351990297272355	0.3140278516836825	0.3118762881790283	0.28507951160263384	0.2621771999515801	0.2974863529534035	0.31886651446912684	0.24851859254771186	0.2300954468772538	0.10224415124185132	0.05448926118067708	0.05793034898413356	0.06274410343243642	0.09150659474859084	0.1563134807322994	0.10577579650263814	0.09272984355352948	0.20710373681389704	0.1352107464307697	0.2143831357441351	0.28539376861379095	0.19579778214925897	0.28470387313224804	0.39922558379308615	0.08216971446299998	0.13790318513276087	0.095684795604158	0.06944605942452768	0.07576216760813138	0.0921658920082912
s19pp	0.14501287198259727	0.08085035613702214	0.059317520210546065	0.07760048303075767	0.14536874056099364	0.09468001701150183	0.08852214222740407	0.07076821287391508	0.0	0.0487705055862066	0.17209143350222433	0.21877906614445308	0.22905406087293345	0.2141971937036964	0.3478867228504433	0.32671554480689036	0.3245639813022361	0.29776720472584167	0.27486489307478795	0.3101740460766113	0.33155420759233467	0.2612062856709197	0.24278314000046164	0.11493184436505915	0.06717695430388491	0.07061804210734139	0.07966421072265081	0.10842670203880522	0.17323358802251376	0.12269590379285253	0.10964995084374385	0.2240238441041114	0.15213085372098406	0.2313032430343495	0.3023138759040054	0.21271788943947337	0.3016239804224624	0.4161456910833006	0.09908982175321436	0.15482329242297527	0.11260490289437239	0.08636616671474207	0.09268227489834577	0.10908599929850557
s6pp	0.1418716795786788	0.07770916373310369	0.0561763278066276	0.07445929062683922	0.14222754815707517	0.09153882460758336	0.08538094982348561	0.06762702046999661	0.0487705055862066	0.0	0.16895024109830586	0.21563787374053464	0.22591286846901498	0.21105600129977795	0.34474553044652484	0.3235743524029719	0.32142278889831766	0.2946260123219232	0.2717237006708695	0.30703285367269284	0.3284130151884162	0.2580650932670012	0.2396419475965432	0.11179065196114069	0.06403576189996646	0.06747684970342294	0.07652301831873234	0.10528550963488675	0.17009239561859532	0.11955471138893406	0.1065087584398254	0.22088265170019294	0.14898966131706562	0.22816205063043102	0.2991726835000869	0.2095766970355549	0.298482788018544	0.4130044986793821	0.0959486293492959	0.1516821000190568	0.10946371049045392	0.08322497431082361	0.0895410824944273	0.1059448068945871
530295	0.23364839948769867	0.16948588364212352	0.14795304771564746	0.16623601053585907	0.23400426806609503	0.18331554451660323	0.17715766973250546	0.15940374037901647	0.17209143350222433	0.16895024109830586	0.0	0.22874050921341585	0.2390155039418962	0.22415863677265915	0.35784816591940605	0.3366769878758531	0.3345254243711988	0.30772864779480436	0.28482633614375075	0.320135489145574	0.3415156506612974	0.2711677287398825	0.2527445830694244	0.12489328743402192	0.1453626774223742	0.14880376522583066	0.1682997382277522	0.19706222954390662	0.26186911552761516	0.21133143129795393	0.19828547834884525	0.3126593716092128	0.24076638122608546	0.31993877053945086	0.3909494034091068	0.30135341694457474	0.3902595079275638	0.504781218588402	0.18772534925831574	0.24345881992807664	0.20124043039947376	0.17500169421984346	0.18131780240344716	0.19772152680360697
s4pp	0.2803360321299274	0.2161735162843523	0.19464068035787624	0.21292364317808787	0.28069190070832384	0.230003177158832	0.22384530237473427	0.20609137302124525	0.21877906614445308	0.21563787374053464	0.22874050921341585	0.0	0.23028766458846295	0.21543079741922588	0.3491203265659728	0.3279491485224198	0.32579758501776557	0.2990008084413711	0.27609849679031745	0.31140764979214075	0.33278781130786417	0.2624398893864492	0.24401674371599114	0.1545813632760102	0.192050310064603	0.19549139786805944	0.214987370869981	0.2437498621861354	0.30855674816984396	0.2580190639401827	0.24497311099107402	0.3593470042514416	0.28745401386831426	0.36662640318167966	0.4376370360513355	0.34804104958680354	0.4369471405697926	0.5514688512306307	0.23441298190054455	0.2901464525703054	0.24792806304170256	0.22168932686207224	0.22800543504567594	0.24440915944583574
s12pp	0.2906110268584078	0.22644851101283264	0.20491567508635658	0.2231986379065682	0.29096689543680415	0.24027817188731235	0.23412029710321458	0.2163663677497256	0.22905406087293345	0.22591286846901498	0.2390155039418962	0.23028766458846295	0.0	0.18693270859722727	0.32062223774397425	0.2994510597004212	0.297299496195767	0.27050271961937256	0.24760040796831886	0.2829095609701422	0.3042897224858656	0.2339418005644506	0.21551865489399255	0.16485635800449053	0.2023253047930833	0.20576639259653978	0.22526236559846133	0.25402485691461574	0.3188317428983243	0.26829405866866307	0.25524810571955436	0.36962199897992193	0.2977290085967946	0.37690139791016	0.4479120307798159	0.35831604431528385	0.4472221352982729	0.5617438459591111	0.24468797662902486	0.3004214472987857	0.2582030577701829	0.23196432159055258	0.23828042977415628	0.25468415417431606
S31Hp	0.2757541596891707	0.2115916438435956	0.19005880791711954	0.20834177073733118	0.27611002826756714	0.2254213047180753	0.21926342993397757	0.20150950058048855	0.2141971937036964	0.21105600129977795	0.22415863677265915	0.21543079741922588	0.18693270859722727	0.0	0.2569888727899085	0.23581769474635547	0.23366613124170124	0.20686935466530676	0.18396704301425312	0.21927619601607642	0.2406563575317998	0.17030843561038486	0.1799400302034827	0.1499994908352535	0.1874684376238463	0.19090952542730275	0.2104054984292243	0.2391679897453787	0.30397487572908727	0.253437191499426	0.24039123855031733	0.3547651318106849	0.28287214142755757	0.36204453074092297	0.43305516361057883	0.34345917714604685	0.4323652681290359	0.546886978789874	0.22983110945978785	0.2855645801295487	0.24334619060094587	0.21710745442131554	0.22342356260491925	0.23982728700507905
F6H1	0.40944368883591764	0.34528117299034256	0.32374833706386646	0.3420312998840781	0.40979955741431406	0.35911083386482223	0.3529529590807245	0.3351990297272355	0.3478867228504433	0.34474553044652484	0.35784816591940605	0.3491203265659728	0.32062223774397425	0.2569888727899085	0.0	0.25107227603929305	0.24892071253463882	0.32486840811136986	0.3019660964603162	0.3372752494621395	0.3586554109778629	0.28830748905644793	0.3136295593502297	0.2836890199820004	0.32115796677059316	0.32459905457404964	0.3440950275759712	0.3728575188921256	0.4376644048758342	0.38712672064617293	0.3740807676970643	0.48845466095743184	0.4165616705743045	0.4957340598876699	0.5667446927573258	0.47714870629279377	0.5660547972757828	0.680576507936621	0.3635206386065348	0.41925410927629564	0.3770357197476928	0.35079698356806244	0.3571130917516661	0.3735168161518259
S30H1	0.3882725107923647	0.3241099949467896	0.3025771590203135	0.32086012184052515	0.3886283793707611	0.3379396558212693	0.33178178103717154	0.3140278516836825	0.32671554480689036	0.3235743524029719	0.3366769878758531	0.3279491485224198	0.2994510597004212	0.23581769474635547	0.25107227603929305	0.0	0.19156805086640444	0.3036972300678168	0.2807949184167632	0.3161040714185865	0.33748423293430985	0.2671363110128949	0.2924583813066767	0.2625178419384474	0.2999867887270402	0.3034278765304967	0.32292384953241826	0.35168634084857264	0.41649322683228124	0.36595554260262	0.3529095896535113	0.4672834829138789	0.39539049253075154	0.47456288184411693	0.5455735147137728	0.4559775282492408	0.5448836192322299	0.659405329893068	0.3423494605629818	0.3980829312327427	0.35586454170413984	0.3296258055245095	0.33594191370811316	0.35234563810827296
S26Hp	0.3861209472877104	0.3219584314421354	0.3004255955156593	0.3187085583358709	0.3864768158661068	0.33578809231661505	0.3296302175325173	0.3118762881790283	0.3245639813022361	0.32142278889831766	0.3345254243711988	0.32579758501776557	0.297299496195767	0.23366613124170124	0.24892071253463882	0.19156805086640444	0.0	0.3015456665631626	0.27864335491210895	0.31395250791393225	0.33533266942965567	0.2649847475082407	0.29030681780202244	0.2603662784337932	0.297835225222386	0.30127631302584246	0.32077228602776403	0.34953477734391847	0.414341663327627	0.36380397909796575	0.3507580261488571	0.4651319194092246	0.3932389290260973	0.4724113183394627	0.5434219512091185	0.4538259647445866	0.5427320557275757	0.6572537663884137	0.3401978970583276	0.39593136772808846	0.3537129781994856	0.32747424201985526	0.33379035020345893	0.35019407460361873
S27H1	0.35932417071131595	0.2951616548657409	0.27362881893926483	0.29191178175947646	0.35968003928971237	0.3089913157402206	0.30283344095612286	0.28507951160263384	0.29776720472584167	0.2946260123219232	0.30772864779480436	0.2990008084413711	0.27050271961937256	0.20686935466530676	0.32486840811136986	0.3036972300678168	0.3015456665631626	0.0	0.18075525558594496	0.25218619053827784	0.2735663520540012	0.20321843013258623	0.26351004122562793	0.23356950185739872	0.2710384486459915	0.274479536449448	0.2939755094513696	0.322738000767524	0.38754488675123255	0.3370072025215713	0.32396124957246264	0.43833514283283015	0.36644215244970285	0.44561454176306825	0.5166251746327242	0.42702918816819213	0.5159352791511812	0.6304569898120194	0.31340112048193314	0.369134591151694	0.32691620162309115	0.3006774654434608	0.3069935736270645	0.3233972980272243
