	w10pp	f12ppA	w12pp	f30pp	w26pp	f24pp	w28pp	w24pp	f32pp	f23ppA	w16pp	w19pp	f15pp	w15pp	f7pp	S10H1	F23HpA	F32H1	S2Hp	F8H1	S8Hp	f3pp	S3Hp	f16ppA	f20ppB	f31pp	f21pp	f14ppA	f18pp	w9pp	f10pp	f17ppB	f20ppA	f22ppA	f6ppB	S16H2	S7Hp	S15Hp	F14H1A	S21H1	S26Hp	31519	S28Hp	S4Hp	S23Hp	S22Hp	S13Hp	w32pp	S12Hp	S20H1	w7pp	f11pp	w2pp	w13pp	f13pp	w20pp	f6ppA	w6pp	w8pp	w25pp	f26pp	f14ppB	w23pp	f8pp	w18pp	f16ppB	f2pp	w22pp	w21pp	f4pp	w4pp	f25pp	w27pp	w17pp	f29pp	S9H1	S31Hp	F3H1	F14H1B	S17H1	f17ppA	f9pp	f28pp	f1pp	f19pp	w31pp	w29pp	f12ppB	f22ppB	F7H1	F6H1	S18H1	S19H1	w14pp	w3pp	f23ppB	w11pp	w1pp
w10pp	0.0	0.002489618067960318	0.0023097613604824126	0.013239848446153885	0.011728098230670914	0.011727098230170886	0.012148603487751401	0.013370788582984202	0.0170441527721008	0.015154994142699387	0.01564966613567875	0.018866019517484383	0.018866019517484383	0.023263044160284737	0.016602090278677647	0.12133983820530145	0.1403644351899406	0.134045601427937	0.07719283975739824	0.1308273540386239	0.11923280672996896	0.07415892204219675	0.04379322015776264	0.014758870066247242	0.034046060516072334	0.039181295081612805	0.02530442912413819	0.021719194596621534	0.031188603414479734	0.02475790459572258	0.01780342317360318	0.01780242317310315	0.0160720053365753	0.02557432579589925	0.023335365476267224	0.13100777252800966	0.14144887981040077	0.11813788750886904	0.13064823980197388	0.29572174955891545	0.2857427428273294	0.2961084857922009	0.3080743184574678	0.3570353870422345	0.29343745880342414	0.29950132101851895	0.08946799129534667	0.0527856342541131	0.134024637961319	0.12719280583017795	0.08885141074530006	0.018359620128404672	0.01686080898321882	0.015463568698634666	0.0210238221477439	0.02109904531479293	0.023459357763930554	0.025222320034036363	0.02191422363000563	0.023149599583207895	0.02073975619490105	0.022203653003274017	0.019705433858803446	0.012921654693125567	0.010187161485927755	0.017071628014392416	0.015561974123039621	0.015504335753206129	0.022954902344443594	0.018383178477658236	0.013180170870414424	0.014716346867047104	0.01898312105484748	0.01992846575481062	0.028195842179519794	0.1514929287390465	0.13257141837979358	0.13849517371686956	0.13484751289968194	0.12385452366496928	0.03901827535693646	0.035565756608259586	0.03099639521348044	0.022328347736002566	0.01899467393304575	0.0209277255017682	0.019560977402317704	0.018059012501305618	0.027645169415421614	0.13653016382416147	0.09566840056562317	0.12540150470961525	0.1178646176312739	0.015599720456231448	0.007856162219291174	0.011702897914280046	0.0037097703126844784	0.0014181659655519642
f12ppA	0.002489618067960318	0.0	0.0019096972833811765	0.012839784369052648	0.011328034153569679	0.011327034153069649	0.011748539410650165	0.012970724505882965	0.016644088694999566	0.01475493006559815	0.015249602058577514	0.01846595544038315	0.01846595544038315	0.022862980083183503	0.016202026201576413	0.12093977412820021	0.13996437111283938	0.13364553735083579	0.076792775680297	0.13042728996152267	0.11883274265286772	0.07375885796509551	0.043393156080661396	0.014358805989146005	0.03364599643897109	0.038781231004511564	0.024904365047036955	0.0213191305195203	0.0307885393373785	0.024357840518621346	0.017403359096501946	0.017402359096001917	0.015671941259474065	0.025174261718798017	0.02293530139916599	0.13060770845090844	0.14104881573329955	0.11773782343176781	0.13024817572487266	0.2953216854818142	0.2853426787502282	0.29570842171509965	0.30767425438036655	0.35663532296513323	0.2930373947263229	0.2991012569414177	0.08906792721824544	0.052385570177011856	0.13362457388421778	0.12679274175307673	0.08845134666819883	0.01795955605130344	0.016460744906117587	0.015063504621533429	0.020623758070642668	0.020698981237691698	0.02305929368682932	0.02482225595693513	0.021514159552904397	0.02274953550610666	0.020339692117799818	0.021803588926172783	0.019305369781702213	0.012521590616024331	0.009787097408826518	0.016671563937291183	0.015161910045938384	0.015104271676104893	0.02255483826734236	0.017983114400557002	0.012780106793313189	0.014316282789945867	0.018583056977746246	0.019528401677709386	0.02779577810241856	0.15109286466194527	0.13217135430269236	0.13809510963976834	0.13444744882258072	0.12345445958786805	0.03861821127983522	0.035165692531158345	0.030596331136379207	0.021928283658901333	0.018594609855944515	0.020527661424666967	0.01916091332521647	0.017658948424204384	0.02724510533832038	0.13613009974706025	0.09526833648852194	0.12500144063251403	0.11746455355417267	0.015199656379130212	0.007456098142189936	0.011302833837178809	0.003309706235583242	0.0039057840325122236
w12pp	0.0023097613604824126	0.0019096972833811765	0.0	0.01093208708667153	0.00942033687118856	0.00941933687068853	0.009840842128269047	0.011063027223501847	0.014736391412618448	0.012847232783217031	0.013341904776196395	0.01655825815800203	0.01655825815800203	0.020955282800802385	0.014294328919195295	0.1190320768458191	0.13805667383045825	0.13173784006845465	0.07488507839791589	0.12851959267914154	0.1169250453704866	0.0718511606827144	0.04148545879828028	0.012451108706764887	0.031738299156589975	0.036873533722130446	0.022996667764655837	0.019411433237139182	0.028880842054997382	0.022450143236240228	0.015495661814120829	0.015494661813620799	0.013764243977092947	0.0232665644364169	0.021027604116784872	0.1287000111685273	0.13914111845091842	0.11583012614938669	0.12834047844249152	0.2934139881994331	0.28343498146784707	0.29380072443271854	0.30576655709798545	0.3547276256827521	0.2911296974439418	0.2971935596590366	0.08716022993586432	0.05047787289463074	0.13171687660183665	0.12488504447069562	0.08654364938581771	0.01605185876892232	0.014553047623736468	0.01315580733915231	0.01871606078826155	0.01879128395531058	0.021151596404448202	0.02291455867455401	0.01960646227052328	0.020841838223725543	0.0184319948354187	0.019895891643791665	0.017397672499321094	0.010613893333643213	0.0078794001264454	0.014763866654910066	0.013254212763557266	0.013196574393723775	0.020647140984961242	0.016075417118175884	0.01087240951093207	0.012408585507564749	0.016675359695365127	0.017620704395328268	0.02588808082003744	0.14918516737956414	0.13026365702031123	0.1361874123573872	0.1325397515401996	0.12154676230548693	0.0367105139974541	0.033257995248777227	0.02868863385399809	0.020020586376520214	0.016686912573563396	0.01861996414228585	0.01725321604283535	0.015751251141823266	0.025337408055939262	0.13422240246467912	0.09336063920614082	0.12309374335013291	0.11555685627179155	0.013291959096749094	0.005548400859808817	0.00939513655479769	0.0014020089532021242	0.0037259273250343184
f30pp	0.013239848446153885	0.012839784369052648	0.01093208708667153	0.0	0.0015137502164830272	0.0015147502169830563	0.0031627637847039983	0.008449730569541295	0.012123094758657894	0.01023393612925648	0.010728608122235844	0.013944961504041484	0.013944961504041484	0.01834198614684184	0.011681032265234741	0.11641878019185854	0.13544337717649768	0.1291245434144941	0.07227178174395534	0.12590629602518097	0.11431174871652605	0.06923786402875384	0.038872162144319725	0.009837812052804333	0.029125002502629425	0.0342602370681699	0.02038337111069529	0.016798136583178636	0.026267545401036835	0.01983684658227968	0.012882365160160277	0.012881365159660246	0.011150947323132394	0.020653267782456353	0.018414307462824325	0.12608671451456674	0.13652782179695785	0.11321682949542614	0.12572718178853098	0.2908006915454726	0.2808216848138866	0.29118742777875806	0.30315326044402496	0.35211432902879164	0.2885164007899813	0.2945802630050761	0.08454693328190377	0.047864576240670184	0.12910357994787608	0.12227174781673507	0.08393035273185716	0.01343856211496177	0.011939750969775915	0.010542510685191759	0.016102764134301	0.01617798730135003	0.018538299750487656	0.020301262020593465	0.016993165616562732	0.018228541569764996	0.01581869818145815	0.017282594989831118	0.014784375845360548	0.00800059667968266	0.0052661034724848475	0.014795697821786195	0.013286043930433394	0.013228405560599904	0.020678972151837376	0.016107248285052014	0.0109042406778082	0.012440416674440877	0.01670719086224126	0.017652535562204398	0.025919911986913576	0.14921699854644024	0.13029548818718734	0.13621924352426332	0.1325715827070757	0.12157859347236305	0.03674234516433023	0.033289826415653354	0.028720465020874223	0.02005241754339635	0.01671874374043953	0.01865179530916198	0.017285047209711482	0.015783082308699396	0.025369239222815396	0.13425423363155523	0.09339247037301696	0.12312557451700903	0.11558868743866768	0.013323790263625223	0.009474209437515414	0.013320945132504286	0.01051875318211729	0.01465601441070579
w26pp	0.011728098230670914	0.011328034153569679	0.00942033687118856	0.0015137502164830272	0.0	3.00000150008727e-06	0.0016510135692210295	0.006937980354058326	0.010611344543174927	0.00872218591377351	0.009216857906752874	0.012433211288558515	0.012433211288558515	0.016830235931358867	0.010169282049751774	0.11490702997637557	0.1339316269610147	0.12761279319901112	0.07076003152847236	0.124394545809698	0.11279999850104308	0.06772611381327087	0.03736041192883676	0.008326061837321364	0.027613252287146454	0.03274848685268693	0.01887162089521232	0.015286386367695668	0.024755795185553865	0.01832509636679671	0.011370614944677308	0.011369614944177278	0.009639197107649426	0.01914151756697338	0.016902557247341354	0.12457496429908377	0.13501607158147488	0.11170507927994316	0.124215431573048	0.2892889413299896	0.2793099345984036	0.28967567756327506	0.30164151022854196	0.35060257881330864	0.2870046505744983	0.2930685127895931	0.0830351830664208	0.04635282602518722	0.1275918297323931	0.1207599976012521	0.08241860251637419	0.011926811899478801	0.010428000754292947	0.00903076046970879	0.014591013918818032	0.014666237085867062	0.017026549535004685	0.018789511805110494	0.015481415401079763	0.016716791354282026	0.014306947965975182	0.015770844774348147	0.013272625629877579	0.00648884646419969	0.0037543532570018783	0.013283947606303225	0.011774293714950425	0.011716655345116934	0.01916722193635441	0.014595498069569047	0.00939249046232523	0.010928666458957908	0.01519544064675829	0.01614078534672143	0.024408161771430605	0.14770524833095727	0.12878373797170437	0.13470749330878035	0.13105983249159273	0.1200668432568801	0.03523059494884726	0.03177807620017038	0.027208714805391256	0.01854066732791338	0.01520699352495656	0.017140045093679012	0.015773296994228515	0.014271332093216427	0.02385748900733243	0.13274248341607225	0.09188072015753398	0.12161382430152608	0.11407693722318471	0.011812040048142253	0.007962459222032444	0.011809194917021317	0.009007002966634321	0.01314426419522282
f24pp	0.011727098230170886	0.011327034153069649	0.00941933687068853	0.0015147502169830563	3.00000150008727e-06	0.0	0.0016500135687210003	0.006936980353558296	0.010610344542674897	0.00872118591327348	0.009215857906252845	0.012432211288058485	0.012432211288058485	0.01682923593085884	0.010168282049251744	0.11490602997587554	0.13393062696051466	0.12761179319851107	0.07075903152797233	0.12439354580919798	0.11279899850054306	0.06772511381277085	0.03735941192833673	0.008325061836821336	0.027612252286646426	0.0327474868521869	0.01887062089471229	0.015285386367195638	0.024754795185053836	0.018324096366296682	0.011369614944177278	0.011368614943677248	0.009638197107149396	0.019140517566473354	0.016901557246841326	0.12457396429858375	0.13501507158097484	0.11170407927944315	0.12421443157254797	0.2892879413294896	0.27930893459790357	0.28967467756277504	0.30164051022804195	0.3506015788128086	0.2870036505739983	0.2930675127890931	0.08303418306592078	0.04635182602468719	0.12759082973189306	0.12075899760075207	0.08241760251587416	0.011925811898978771	0.010427000753792917	0.00902976046920876	0.014590013918318002	0.014665237085367032	0.017025549534504657	0.018788511804610466	0.015480415400579733	0.016715791353781997	0.014305947965475152	0.01576984477384812	0.013271625629377549	0.006487846463699661	0.003753353256501849	0.013282947605803196	0.011773293714450395	0.011715655344616905	0.019166221935854377	0.014594498069069017	0.0093914904618252	0.010927666458457878	0.01519444064625826	0.016139785346221402	0.024407161770930576	0.14770424833045726	0.12878273797120435	0.13470649330828033	0.1310588324910927	0.12006584325638006	0.03522959494834724	0.03177707619967035	0.027207714804891224	0.01853966732741335	0.01520599352445653	0.017139045093178984	0.015772296993728487	0.014270332092716397	0.023856489006832397	0.13274148341557224	0.09187972015703395	0.12161282430102605	0.11407593722268468	0.011811040047642224	0.007961459221532415	0.011808194916521287	0.009006002966134291	0.013143264194722792
w28pp	0.012148603487751401	0.011748539410650165	0.009840842128269047	0.0031627637847039983	0.0016510135692210295	0.0016500135687210003	0.0	0.007358485611138813	0.011031849800255414	0.009142691170853997	0.009637363163833361	0.012853716545639002	0.012853716545639002	0.017250741188439358	0.01058978730683226	0.11532753523345607	0.1343521322180952	0.1280332984560916	0.07118053678555286	0.1248150510667785	0.11322050375812358	0.06814661907035137	0.037780917185917244	0.008746567094401853	0.028033757544226944	0.03316899210976742	0.01929212615229281	0.015706891624776155	0.025176300442634355	0.0187456016238772	0.011791120201757795	0.011790120201257765	0.010059702364729913	0.019562022824053872	0.017323062504421845	0.12499546955616427	0.13543657683855537	0.11212558453702366	0.1246359368301285	0.2897094465870701	0.27973043985548407	0.29009618282035554	0.30206201548562245	0.3510230840703891	0.2874251558315788	0.2934890180466736	0.0834556883235013	0.046773331282267704	0.1280123349894736	0.1211805028583326	0.08283910777345468	0.012347317156559288	0.010848506011373434	0.009451265726789277	0.015011519175898519	0.015086742342947549	0.017447054792085175	0.019210017062190984	0.015901920658160252	0.017137296611362516	0.01472745322305567	0.016191350031428638	0.013693130886958066	0.006909351721280179	0.004174858514082366	0.013704452863383714	0.012194798972030914	0.012137160602197421	0.019587727193434896	0.015016003326649534	0.009812995719405717	0.011349171716038397	0.015615945903838777	0.016561290603801918	0.024828667028511095	0.14812575358803776	0.12920424322878485	0.13512799856586083	0.1314803377486732	0.12048734851396058	0.03565110020592775	0.03219858145725087	0.027629220062471743	0.018961172584993868	0.015627498782037046	0.0175605503507595	0.016193802251309	0.014691837350296916	0.024277994264412916	0.13316298867315274	0.09230122541461447	0.12203432955860656	0.1144974424802652	0.01223254530522274	0.008382964479112931	0.012229700174101804	0.009427508223714808	0.013564769452303307
w24pp	0.013370788582984202	0.012970724505882965	0.011063027223501847	0.008449730569541295	0.006937980354058326	0.006936980353558296	0.007358485611138813	0.0	0.00506995408034981	0.0031807954509483942	0.0036754674439277582	0.006891820825733397	0.006891820825733397	0.01128884546853375	0.00615535582352259	0.11089310375014638	0.12991770073478554	0.12359886697278191	0.06674610530224317	0.12038061958346881	0.10878607227481389	0.06371218758704168	0.03334648570260758	0.004312135611092182	0.023599326060917275	0.028734560626457746	0.014857694668983137	0.011272460141466482	0.020741868959324686	0.014311170140567528	0.007356688718448123	0.007355688717948094	0.005625270881420242	0.018570791407027953	0.016331831087395922	0.12400423813913833	0.13444534542152944	0.11113435311999773	0.12364470541310257	0.2887182151700442	0.2787392084384582	0.28910495140332965	0.30107078406859655	0.35003185265336323	0.2864339244145529	0.2924977866296477	0.08246445690647536	0.04578209986524179	0.12702110357244767	0.12018927144130667	0.08184787635642876	0.011356085739533369	0.009857274594347517	0.008460034309763359	0.0140202877588726	0.01409551092592163	0.016455823375059256	0.01821878564516506	0.01491068924113433	0.016146065194336597	0.01373622180602975	0.015200118614402717	0.012701899469932146	0.00591812030425426	0.0031856270980565055	0.014926637958616512	0.013416984067263712	0.013359345697430221	0.020809912288667694	0.016238188421882335	0.011035180814638517	0.012571356811271195	0.016838130999071575	0.01778347569903472	0.026050852123743893	0.14934793868327056	0.13042642832401766	0.13635018366109364	0.13270252284390602	0.12170953360919337	0.03687328530116055	0.033420766552483674	0.02885140515770454	0.020183357680226666	0.016849683877269844	0.0187827354459923	0.017415987346541803	0.015914022445529714	0.025500179359645714	0.13438517376838555	0.09352341050984726	0.12325651465383936	0.11571962757549799	0.01345473040045554	0.009605149574345731	0.013451885269334603	0.010649693318947608	0.014786954547536108
f32pp	0.0170441527721008	0.016644088694999566	0.014736391412618448	0.012123094758657894	0.010611344543174927	0.010610344542674897	0.011031849800255414	0.00506995408034981	0.0	0.0018911586304014745	0.004896072276115791	0.008112425657921432	0.008112425657921432	0.012509450300721783	0.009828720012639191	0.11456646793926298	0.13359106492390213	0.1272722311618985	0.07041946949135977	0.1240539837725854	0.11245943646393049	0.06738555177615829	0.037019849891724174	0.007985499800208783	0.027272690250033874	0.03240792481557435	0.01853105885809974	0.014945824330583083	0.024415233148441285	0.01798453432968413	0.011030052907564723	0.011029052907064695	0.009298635070536843	0.022244155596144552	0.020005195276512525	0.12767760232825492	0.13811870961064604	0.11480771730911433	0.12731806960221917	0.2923915793591608	0.2824125726275748	0.29277831559244627	0.3047441482577132	0.35370521684247985	0.2901072886036695	0.29617115081876433	0.08613782109559197	0.04945546405435839	0.13069446776156426	0.12386263563042327	0.08552124054554536	0.01502944992864997	0.013530638783464118	0.01213339849887996	0.0176936519479892	0.017768875115038232	0.020129187564175855	0.021892149834281664	0.018584053430250932	0.019819429383453196	0.017409585995146352	0.018873482803519318	0.016375263659048747	0.00959148449337086	0.0068589912871731065	0.018600002147733115	0.01709034825638031	0.017032709886546822	0.024483276477784296	0.019911552610998935	0.014708545003755118	0.016244721000387798	0.020511495188188178	0.021456839888151318	0.029724216312860492	0.15302130287238716	0.13409979251313425	0.14002354785021023	0.1363758870330226	0.12538289779830997	0.04054664949027715	0.03709413074160027	0.03252476934682114	0.02385672186934327	0.020523048066386447	0.0224560996351089	0.021089351535658402	0.019587386634646313	0.029173543548762317	0.13805853795750214	0.09719677469896387	0.12692987884295595	0.1193929917646146	0.01712809458957214	0.013278513763462332	0.017125249458451203	0.014323057508064209	0.018460318736652707
f23ppA	0.015154994142699387	0.01475493006559815	0.012847232783217031	0.01023393612925648	0.00872218591377351	0.00872118591327348	0.009142691170853997	0.0031807954509483942	0.0018911586304014745	0.0	0.0030069136467143756	0.0062232670285200156	0.0062232670285200156	0.010620291671320368	0.007939561383237774	0.11267730930986157	0.1317019062945007	0.1253830725324971	0.06853031086195836	0.122164825143184	0.11057027783452908	0.06549639314675687	0.03513069126232276	0.006096341170807366	0.02538353162063246	0.030518766186172934	0.016641900228698322	0.013056665701181667	0.02252607451903987	0.016095375700282712	0.009140894278163308	0.009139894277663279	0.007409476441135427	0.020354996966743137	0.01811603664711111	0.12578844369885353	0.13622955098124465	0.11291855867971291	0.12542891097281775	0.2905024207297594	0.2805234139981734	0.29088915696304485	0.30285498962831175	0.35181605821307843	0.2882181299742681	0.2942819921893629	0.08424866246619055	0.047566305424956976	0.12880530913216284	0.12197347700102185	0.08363208191614394	0.013140291299248553	0.011641480154062701	0.010244239869478543	0.015804493318587784	0.015879716485636814	0.018240028934774437	0.02000299120488025	0.016694894800849513	0.017930270754051778	0.015520427365744934	0.016984324174117903	0.01448610502964733	0.007702325863969444	0.00496983265777169	0.016710843518331697	0.015201189626978896	0.015143551257145406	0.022594117848382878	0.018022393981597516	0.012819386374353701	0.01435556237098638	0.018622336558786763	0.0195676812587499	0.027835057683459077	0.15113214424298577	0.13221063388373283	0.13813438922080884	0.1344867284036212	0.12349373916890856	0.038657490860875734	0.035204972112198855	0.030635610717419725	0.021967563239941854	0.018633889436985032	0.02056694100570748	0.019200192906256984	0.017698228005244898	0.027284384919360898	0.13616937932810075	0.09530761606956245	0.12504072021355456	0.11750383313521318	0.015238935960170725	0.011389355134060915	0.015236090829049788	0.012433898878662792	0.016571160107251293
