	f26pp	w2pp	f2pp	S26Hp	w27pp	S3Hp	w3pp	S15Hp	f20ppA	S16H2	w25pp	F32H1	w31pp	f23ppB	f1pp	w14pp	f17ppB	f13pp	f14ppA	f6ppB	S13Hp	F23HpA	S9H1	w11pp	S23Hp	f11pp	F7H1	S2Hp	F3H1	w8pp	w9pp	f7pp	w19pp	w17pp	w28pp	w22pp	f16ppB	w16pp	f14ppB	f16ppA	w10pp	w20pp	w13pp	f6ppA	f22ppA	F14H1A	f19pp	f4pp	w26pp	f10pp	f30pp	w23pp	f12ppA	f12ppB	530451	w4pp	w1pp	f23ppA	f21pp	w15pp	w29pp	f32pp	S12Hp	w12pp	w18pp	f25pp	f24pp	f8pp	w24pp
f26pp	0.0	0.1776255436283861	0.13968910871602208	0.30828278777395857	0.25293023912025747	0.17964984652762445	0.15746209140954787	0.3171702225349738	0.14332652491311604	0.34844038536448474	0.28645916727409154	0.3393925831593798	0.17953346575475165	0.24581596748237886	0.1832786302663404	0.23765100468927505	0.17086993164371686	0.17956199643375492	0.19081185140307902	0.15792998878741232	1.0226717215856642	0.34278633071148035	0.3367922187688579	0.19288053155753504	0.32327188654022465	0.2482874331389165	0.3454425367944553	0.32464964021468123	0.3452068461659267	0.2858280399365838	0.16594354151402135	0.16756506339996527	0.17779923430978029	0.17602010481561775	0.17568650105450295	0.2163173082003636	0.2655428313555307	0.17868650817064974	0.26262674202679936	0.2014184079451046	0.15635701899613166	0.1526575664400614	0.26236279764087916	0.23164785621010006	0.2559380247464905	0.3503928021822689	0.26516593831131363	0.21005102034742254	0.15086641334009995	0.15588101399702003	0.19739827979416433	0.17661707452837333	0.237205569687162	0.12761218859807838	0.3667362778790165	0.21325192079742095	0.13355513372129346	0.19627294253805988	0.20955288494444252	0.2762826164248656	0.17339910170735423	0.2038680245747929	0.27664732153536664	0.20914855656662207	0.13372786069946146	0.19782547777651596	0.11588478215992003	0.14543653267702916	0.10150821398246114
w2pp	0.1776255436283861	0.0	0.07731037972878646	0.28629506975793045	0.23094252110422936	0.15766212851159633	0.13547437339351975	0.2951825045189457	0.13018647351206142	0.33530033396343006	0.2733191158730369	0.32625253175832525	0.16639341435369703	0.23267591608132424	0.17013857886528577	0.22451095328822043	0.15772988024266224	0.1664219450327003	0.1776718000020244	0.1447899373863577	1.0095316701846095	0.3296462793104258	0.3236521673678033	0.17974048015648042	0.31013183513917003	0.23514738173786187	0.3323024853934007	0.31150958881362667	0.3320667947648721	0.2726879885355291	0.15280349011296673	0.15442501199891065	0.16465918290872567	0.16288005341456313	0.16254644965344833	0.20317725679930898	0.2524027799544761	0.16554645676959512	0.24948669062574474	0.18827835654404998	0.14321696759507704	0.13951751503900678	0.24922274623982454	0.21850780480904544	0.2427979733454359	0.3372527507812143	0.252025886910259	0.19691096894636792	0.13772636193904533	0.14274096259596541	0.1842582283931097	0.1634770231273187	0.22406551828610738	0.11447213719702376	0.3535962264779619	0.20011186939636633	0.12041508232023884	0.18313289113700526	0.1964128335433879	0.263142565023811	0.1602590503062996	0.19072797317373827	0.2635072701343121	0.19600850516556745	0.12058780929840686	0.18468542637546134	0.10274473075886541	0.13229648127597454	0.08836816258140652
f2pp	0.13968910871602208	0.07731037972878646	0.0	0.24835863484556647	0.19300608619186532	0.11972569359923231	0.09753793848115573	0.2572460696065817	0.09225003859969741	0.2973638990510661	0.2353826809606729	0.2883160968459612	0.128456979441333	0.19473948116896023	0.1322021439529218	0.18657451837585642	0.11979344533029823	0.12848551012033627	0.1397353650896604	0.1068535024739937	0.9715952352722457	0.29170984439806175	0.28571573245543924	0.1418040452441164	0.272195400226806	0.19721094682549786	0.2943660504810367	0.27357315390126263	0.29413035985250807	0.23475155362316513	0.11486705520060271	0.11648857708654664	0.12672274799636163	0.12494361850219911	0.12461001474108431	0.16524082188694497	0.21446634504211207	0.12761002185723108	0.21155025571338074	0.15034192163168597	0.10528053268271303	0.10158108012664277	0.21128631132746054	0.18057136989668143	0.2048615384330719	0.2993163158688503	0.214089451997895	0.1589745340340039	0.09978992702668132	0.10480452768360142	0.1463217934807457	0.12554058821495467	0.18612908337374337	0.07653570228465975	0.31565979156559787	0.16217543448400232	0.08247864740787483	0.14519645622464122	0.15847639863102392	0.225206130111447	0.12232261539393562	0.15279153826137426	0.22557083522194804	0.15807207025320347	0.08265137438604285	0.14674899146309733	0.0648082958465014	0.09436004636361053	0.05043172766904251
S26Hp	0.30828278777395857	0.28629506975793045	0.24835863484556647	0.0	0.275298619146658	0.20201822655402493	0.2212258924528	0.380934023578226	0.2608437176576339	0.46595757810900257	0.40397636001860937	0.4569097759038977	0.2970506584992695	0.3633331602268967	0.3007958230108583	0.3551681974337929	0.2883871243882347	0.29707918917827275	0.3083290441475969	0.27544718153193015	1.1401889143301822	0.46030352345599823	0.4543094115133758	0.3103977243020529	0.44078907928474254	0.3658046258834343	0.46295972953897313	0.4421668329591991	0.46272403891044456	0.4033452326811016	0.2834607342585392	0.2850822561444831	0.2953164270542981	0.2935372975601356	0.2932036937990208	0.33383450094488143	0.3830600241000486	0.29620370091516757	0.38014393477131725	0.31893560068962246	0.2738742117406495	0.2701747591845792	0.379879990385397	0.3491650489546179	0.3734552174910084	0.46790999492678675	0.3826831310558315	0.3275682130919404	0.2683836060846178	0.2733982067415379	0.3149154725386822	0.29413426727289116	0.3547227624316799	0.24512938134259624	0.4842534706235344	0.33076911354193883	0.25107232646581135	0.3137901352825777	0.3270700776889604	0.3937998091693835	0.2909162944518721	0.32138521731931075	0.3941645142798845	0.32666574931113995	0.25124505344397935	0.3153426705210338	0.23340197490443787	0.262953725421547	0.21902540672697898
w27pp	0.25293023912025747	0.23094252110422936	0.19300608619186532	0.275298619146658	0.0	0.142321718457681	0.1658733437990989	0.3255814749245248	0.20549116900393277	0.4106050294553014	0.3486238113649083	0.4015572272501966	0.2416981098455684	0.30798061157319556	0.24544327435715713	0.2998156487800918	0.2330345757345336	0.24172664052457166	0.2529764954938958	0.22009463287822906	1.084836365676481	0.40495097480229714	0.39895686285967463	0.2550451756483518	0.3854365306310414	0.3104520772297332	0.40760718088527204	0.386814284305498	0.40737149025674346	0.34799268402740047	0.2281081856048381	0.229729707490782	0.23996387840059702	0.23818474890643448	0.2378511451453197	0.27848195229118033	0.32770747544634743	0.24085115226146647	0.3247913861176161	0.26358305203592136	0.2185216630869484	0.21482221053087813	0.3245274417316959	0.29381250030091677	0.31810266883730726	0.41255744627308566	0.32733058240213037	0.2722156644382393	0.2130310574309167	0.21804565808783677	0.25956292388498103	0.23878171861919006	0.29937021377797873	0.18977683268889511	0.42890092196983326	0.2754165648882377	0.1957197778121102	0.2584375866288766	0.27171752903525925	0.33844726051568236	0.23556374579817096	0.2660326686656096	0.33881196562618343	0.2713132006574388	0.1958925047902782	0.2599901218673327	0.17804942625073675	0.2076011767678459	0.16367285807327786
S3Hp	0.17964984652762445	0.15766212851159633	0.11972569359923231	0.20201822655402493	0.142321718457681	0.0	0.09259295120646585	0.2523010823318918	0.13221077641129975	0.33732463686266845	0.27534341877227525	0.3282768346575636	0.16841771725293536	0.2347002189805626	0.17216288176452413	0.2265352561874588	0.1597541831419006	0.16844624793193863	0.17969610290126276	0.14681424028559603	1.011555973083848	0.3316705822096641	0.3256764702670416	0.18176478305571875	0.31215613803840836	0.2371716846371002	0.334326788292639	0.313533891712865	0.33409109766411044	0.2747122914347675	0.15482779301220506	0.156449314898149	0.166683485807964	0.16490435631380146	0.16457075255268666	0.2052015596985473	0.2544270828537144	0.16757075966883345	0.2515109935249831	0.19030265944328834	0.1452412704943154	0.1415418179382451	0.2512470491390629	0.2205321077082838	0.24482227624467423	0.33927705368045263	0.25405018980949734	0.19893527184560628	0.1397506648382837	0.14476526549520377	0.18628253129234806	0.16550132602655704	0.2260898211853457	0.1164964400962621	0.35562052937720023	0.20213617229560465	0.12243938521947718	0.1851571940362436	0.19843713644262626	0.26516686792304933	0.16228335320553797	0.19275227607297662	0.2655315730335504	0.1980328080648058	0.1226121121976452	0.1867097292746997	0.10476903365810375	0.13432078417521287	0.09039246548064486
w3pp	0.15746209140954787	0.13547437339351975	0.09753793848115573	0.2212258924528	0.1658733437990989	0.09259295120646585	0.0	0.20742071158319975	0.11002302129322318	0.31513688174459187	0.25315566365419867	0.306089079539487	0.14622996213485878	0.212512463862486	0.14997512664644755	0.2043475010693822	0.13756642802382402	0.14625849281386205	0.15750834778318618	0.12462648516751947	0.9893682179657715	0.30948282709158753	0.303488715148965	0.15957702793764217	0.2899683829203318	0.21498392951902362	0.31213903317456243	0.2913461365947884	0.31190334254603386	0.2525245363166909	0.13264003789412848	0.13426155978007243	0.1444957306898874	0.14271660119572488	0.14238299743461008	0.18301380458047073	0.23223932773563782	0.14538300455075687	0.2293232384069065	0.16811490432521176	0.12305351537623882	0.11935406282016854	0.2290592940209863	0.19834435259020722	0.22263452112659765	0.31708929856237605	0.23186243469142076	0.1767475167275297	0.1175629097202071	0.12257751037712719	0.16409477617427148	0.14331357090848046	0.20390206606726913	0.09430868497818552	0.33343277425912365	0.17994841717752807	0.1002516301014006	0.162969438918167	0.17624938132454968	0.24297911280497275	0.1400955980874614	0.17056452095490005	0.24334381791547383	0.17584505294672922	0.10042435707956862	0.16452197415662312	0.08258127854002717	0.11213302905713629	0.06820471036256828
S15Hp	0.3171702225349738	0.2951825045189457	0.2572460696065817	0.380934023578226	0.3255814749245248	0.2523010823318918	0.20742071158319975	0.0	0.2697311524186491	0.4748450128700178	0.41286379477962465	0.4657972106649129	0.3059380932602847	0.37222059498791193	0.3096832577718735	0.36405563219480813	0.29727455914924994	0.305966623939288	0.3172164789086121	0.28433461629294543	1.1490763490911973	0.46919095821701345	0.46319684627439095	0.3192851590630681	0.4496765140457577	0.3746920606444496	0.4718471642999884	0.45105426772021434	0.4716114736714598	0.41223266744211684	0.2923481690195544	0.29396969090549835	0.30420386181531334	0.3024247323211508	0.302091128560036	0.3427219357058967	0.39194745886106375	0.3050911356761828	0.3890313695323324	0.3278230354506377	0.28276164650166474	0.2790621939455945	0.38876742514641227	0.35805248371563314	0.3823426522520236	0.47679742968780203	0.3915705658168467	0.3364556478529556	0.27727104084563303	0.28228564150255314	0.3238029072996974	0.3030217020339064	0.36361019719269505	0.2540168161036115	0.4931409053845496	0.339656548302954	0.2599597612268265	0.32267757004359293	0.3359575124499756	0.4026872439303987	0.29980372921288734	0.33027265208032597	0.40305194904089975	0.3355531840721552	0.26013248820499457	0.32423010528204904	0.2422894096654531	0.2718411601825622	0.2279128414879942
f20ppA	0.14332652491311604	0.13018647351206142	0.09225003859969741	0.2608437176576339	0.20549116900393277	0.13221077641129975	0.11002302129322318	0.2697311524186491	0.0	0.20728627218301768	0.1453050540926245	0.1982384699779128	0.03837935257328462	0.10466185430091184	0.05165383800320872	0.1060262124261434	0.03924513938058517	0.06365971533403525	0.07490957030335936	0.042027707687692664	0.9067694404859447	0.2268840496117607	0.22088993766913823	0.07697825045781538	0.20736960544050498	0.13238515203919682	0.22954025569473563	0.2087473591149616	0.22930456506620703	0.1699257588368641	0.05004126041430169	0.05166278230024562	0.07753956795045035	0.0757604384562878	0.07542683469517301	0.11605764184103368	0.16528316499620077	0.0784268418113198	0.16236707566746944	0.10115874158577468	0.056097352636801746	0.052397900080731474	0.16210313128154924	0.13138818985077014	0.1556783583871606	0.250133135822939	0.1649062719519837	0.10979135398809262	0.05060674698077003	0.055621347637690124	0.0971386134348344	0.07635740816904338	0.13694590332783207	0.0338640434677762	0.28963080102405714	0.1361464439424616	0.0564496568663341	0.1191674656831005	0.1324474080894832	0.1991771395699063	0.09629362485239489	0.12676254771983353	0.1995418446804073	0.13204307971166274	0.05662238384450212	0.1288210258516791	0.04688033023508316	0.0764320807521923	0.04182031093165496
S16H2	0.34844038536448474	0.33530033396343006	0.2973638990510661	0.46595757810900257	0.4106050294553014	0.33732463686266845	0.31513688174459187	0.4748450128700178	0.20728627218301768	0.0	0.28120825216350187	0.33414166804879014	0.2093175469566481	0.29601978465152007	0.2567676984545774	0.3111400728775121	0.24435899983195386	0.2687735757854039	0.280023430754728	0.24714156813906132	1.1118833009373132	0.4319979100631294	0.4260037981205069	0.28209211090918407	0.4124834658918737	0.33749901249056546	0.4346541161461043	0.41386121956633026	0.4344184255175757	0.37503961928823276	0.2551551208656704	0.25677664275161427	0.282653428401819	0.28087429890765647	0.2805406951465417	0.3211715022924023	0.3703970254475695	0.28354070226268846	0.36748093611883814	0.30627260203714335	0.2612112130881704	0.2575117605321002	0.3672169917329179	0.3365020503021388	0.3607922188385293	0.45524699627430765	0.3700201324033524	0.3149052144394613	0.2557206074321387	0.2607352080890588	0.3022524738862031	0.28147126862041205	0.3420597637792008	0.2389779039191449	0.49474466147542584	0.34126030439383026	0.2615635173177028	0.3242813261344692	0.3375612685408519	0.40429100002127494	0.3014074853037636	0.33187640817120223	0.404655705131776	0.33715694016303144	0.26173624429587083	0.3339348863030478	0.25199419068645185	0.28154594120356097	0.24693417138302362
