	w18pp	f14ppB	f2pp	f10pp	w29pp	w16pp	f16ppB	w27pp	f8pp	f25pp	f20ppB	f28pp	f23ppB	S20H1	S22Hp	S1Hp	S21H1	S13Hp	S26Hp	f19pp	f22ppA	w22pp	w8pp	f24pp	w24pp	w4pp	w12pp	f30pp	f18pp	f21pp	f3pp	f6ppB	f26pp	f32pp	f14ppA	w2pp	w11pp	w23pp	w14pp	f31pp	w31pp	f16ppA	w32pp	w13pp	f9pp	f11pp	f12ppB	w10pp	w6pp	F6H1	S12Hp	S2Hp	S4Hp	w21pp	f6ppA	f1pp	f29pp	w3pp	S15Hp	S19H1	w17pp	w26pp	f7pp	f15pp	f12ppA	w15pp	w25pp	f17ppA	f20ppA	w1pp	w19pp	w9pp	w28pp	w20pp	f13pp	f23ppA	f22ppB	f4pp	f17ppB
w18pp	0.0	0.0013942909449229143	0.0013942909449229143	0.0018322703113620147	0.0018322703113620147	0.0024686687047772143	0.0027115733853970416	0.003605330746049359	0.003605330746049359	0.0027817862136195817	0.003577270053923105	0.0037786815109585887	0.003095371047121669	0.051027655362717694	0.050180809719527326	0.44068537597839214	0.5132867391519519	1.1895854283020806	1.2328766419787025	0.0038406930435970817	0.0038416930440971107	0.00475747216196841	0.004570247505316348	0.002412310572704114	0.0022600560721931368	0.0015466431663306284	0.0011378455804319195	0.0003259143797369742	0.0012598176963215676	0.0012598176963215676	0.0034162895575286572	0.0032346489158564056	0.0032346489158564056	0.0025756505630861164	0.0025756505630861164	0.001473858170632408	0.001473858170632408	3.00000150008727e-06	0.0006796805918877812	0.004453915388238282	0.0015652263187479116	0.0015642263182478824	0.004546010864376648	0.004773471276368993	0.004591190649977972	0.005514302774015117	0.005514302774015117	0.005513302773515088	0.008059114551578801	0.05840305667688265	0.05069166693807507	0.05824780383428605	0.05426628357735263	0.008289745854710342	0.008289745854710342	0.004149366642588113	0.005303358604773637	0.005303358604773637	0.042781155751862185	0.043244569369897255	0.003324682932181061	0.003324682932181061	0.0036195291125718666	0.0036195291125718666	0.002813021838303391	0.002813021838303391	0.0009529106546541585	0.0035808758838823855	0.0016584275309304668	0.0016594275314304957	0.0016594275314304957	0.0016564275299304086	0.0009418742815521995	0.0012007293215266746	0.0014959818344272087	0.0019187173034354334	0.0032927788291054914	0.0009438742825522577	0.0010953320454914351
f14ppB	0.0013942909449229143	0.0	2.00000100005818e-06	0.00044197936843921675	0.00044197936843921675	0.0010783777618544163	0.001321282442474244	0.0022150398031265616	0.0022150398031265616	0.0013914952706967844	0.002186979111000308	0.002388390568035792	0.0017050801041988712	0.04963736441979489	0.04879051877660452	0.4392950850354693	0.511896448209029	1.188195137359158	1.2314863510357799	0.0024504021006742844	0.002451402101174314	0.0033671812190456123	0.0031799565623935513	0.0010220196297813162	0.0008697651292703389	0.00015835222440788876	0.0002584453654910529	0.0010723765671860563	0.0020062798837706492	0.0020062798837706492	0.004162751744977739	0.003981111103305488	0.003981111103305488	0.0033221127505351986	0.0033221127505351986	0.00222032035808149	0.00222032035808149	0.0013952909454229435	0.0020719715358106373	0.005846206332161138	0.0029575172626707673	0.0029565172621707383	0.005938301808299504	0.006165762220291849	0.0059834815939008275	0.006906593717937973	0.006906593717937973	0.006905593717437944	0.009451405495501657	0.0597953476208055	0.052083957881997926	0.059640094778208905	0.05565857452127548	0.009682036798633198	0.009682036798633198	0.0055416575865109684	0.0066956495486964925	0.0066956495486964925	0.04417344669578504	0.04463686031382011	0.004716973876103916	0.004716973876103916	0.005011820056494722	0.005011820056494722	0.0042053127822262466	0.0042053127822262466	0.0023452015985770142	0.004973166827805242	0.003050718474853323	0.003051718475353352	0.003051718475353352	0.0030487184738532645	0.0023341652254750553	0.0025930202654495305	0.0028882727783500644	0.003311008247358289	0.004685069773028347	0.0023361652264751137	0.002487622989414291
f2pp	0.0013942909449229143	2.00000100005818e-06	0.0	0.00044197936843921675	0.00044197936843921675	0.0010783777618544163	0.001321282442474244	0.0022150398031265616	0.0022150398031265616	0.0013914952706967844	0.002186979111000308	0.002388390568035792	0.0017050801041988712	0.04963736441979489	0.04879051877660452	0.4392950850354693	0.511896448209029	1.188195137359158	1.2314863510357799	0.0024504021006742844	0.002451402101174314	0.0033671812190456123	0.0031799565623935513	0.0010220196297813162	0.0008697651292703389	0.00015835222440788876	0.0002584453654910529	0.0010723765671860563	0.0020062798837706492	0.0020062798837706492	0.004162751744977739	0.003981111103305488	0.003981111103305488	0.0033221127505351986	0.0033221127505351986	0.00222032035808149	0.00222032035808149	0.0013952909454229435	0.0020719715358106373	0.005846206332161138	0.0029575172626707673	0.0029565172621707383	0.005938301808299504	0.006165762220291849	0.0059834815939008275	0.006906593717937973	0.006906593717937973	0.006905593717437944	0.009451405495501657	0.0597953476208055	0.052083957881997926	0.059640094778208905	0.05565857452127548	0.009682036798633198	0.009682036798633198	0.0055416575865109684	0.0066956495486964925	0.0066956495486964925	0.04417344669578504	0.04463686031382011	0.004716973876103916	0.004716973876103916	0.005011820056494722	0.005011820056494722	0.0042053127822262466	0.0042053127822262466	0.0023452015985770142	0.004973166827805242	0.003050718474853323	0.003051718475353352	0.003051718475353352	0.0030487184738532645	0.0023341652254750553	0.0025930202654495305	0.0028882727783500644	0.003311008247358289	0.004685069773028347	0.0023361652264751137	0.002487622989414291
f10pp	0.0018322703113620147	0.00044197936843921675	0.00044197936843921675	0.0	2.00000100005818e-06	0.000640398395415316	0.0008833030760351437	0.0017770604366874607	0.0017770604366874607	0.000953515904257684	0.0017489997445612072	0.001950411201596691	0.0012671007377597708	0.049201385054355846	0.04835453941116548	0.43885910567003034	0.51146046884359	1.1877591579937188	1.2310503716703407	0.002014422735235242	0.0020154227357352715	0.00293120185360657	0.002743977196954509	0.000586040264342274	0.0004337857638312967	0.0005963315908469891	0.0006964247319301533	0.0015103559336251567	0.00244425925020975	0.00244425925020975	0.0046007311114168396	0.004419090469744588	0.004419090469744588	0.003760092116974299	0.003760092116974299	0.0026582997245205905	0.0026582997245205905	0.001833270311862044	0.002509950902249738	0.006284185698600238	0.003395496629109868	0.003394496628609839	0.006376281174738605	0.00660374158673095	0.006421460960339928	0.007344573084377073	0.007344573084377073	0.007343573083877045	0.009889384861940758	0.0602333269872446	0.052521937248437026	0.060078074144648004	0.05609655388771458	0.010120016165072299	0.010120016165072299	0.0059796369529500695	0.0071336289151355935	0.0071336289151355935	0.04461142606222414	0.04507483968025921	0.005154953242543017	0.005154953242543017	0.005449799422933823	0.005449799422933823	0.004643292148665348	0.004643292148665348	0.002783180965016115	0.0054111461942443415	0.003488697841292423	0.003489697841792452	0.003489697841792452	0.0034866978402923647	0.0027721445919141555	0.0030309996318886308	0.0033262521447891646	0.0037489876137973893	0.005123049139467447	0.002774144592914214	0.0029256023558533913
w29pp	0.0018322703113620147	0.00044197936843921675	0.00044197936843921675	2.00000100005818e-06	0.0	0.000640398395415316	0.0008833030760351437	0.0017770604366874607	0.0017770604366874607	0.000953515904257684	0.0017489997445612072	0.001950411201596691	0.0012671007377597708	0.049201385054355846	0.04835453941116548	0.43885910567003034	0.51146046884359	1.1877591579937188	1.2310503716703407	0.002014422735235242	0.0020154227357352715	0.00293120185360657	0.002743977196954509	0.000586040264342274	0.0004337857638312967	0.0005963315908469891	0.0006964247319301533	0.0015103559336251567	0.00244425925020975	0.00244425925020975	0.0046007311114168396	0.004419090469744588	0.004419090469744588	0.003760092116974299	0.003760092116974299	0.0026582997245205905	0.0026582997245205905	0.001833270311862044	0.002509950902249738	0.006284185698600238	0.003395496629109868	0.003394496628609839	0.006376281174738605	0.00660374158673095	0.006421460960339928	0.007344573084377073	0.007344573084377073	0.007343573083877045	0.009889384861940758	0.0602333269872446	0.052521937248437026	0.060078074144648004	0.05609655388771458	0.010120016165072299	0.010120016165072299	0.0059796369529500695	0.0071336289151355935	0.0071336289151355935	0.04461142606222414	0.04507483968025921	0.005154953242543017	0.005154953242543017	0.005449799422933823	0.005449799422933823	0.004643292148665348	0.004643292148665348	0.002783180965016115	0.0054111461942443415	0.003488697841292423	0.003489697841792452	0.003489697841792452	0.0034866978402923647	0.0027721445919141555	0.0030309996318886308	0.0033262521447891646	0.0037489876137973893	0.005123049139467447	0.002774144592914214	0.0029256023558533913
w16pp	0.0024686687047772143	0.0010783777618544163	0.0010783777618544163	0.000640398395415316	0.000640398395415316	0.0	0.00024490468161988586	0.001138662042272203	0.001138662042272203	0.0003151175098424261	0.0011106013501459495	0.0013120128071814332	0.000628702343344513	0.049837783447771046	0.04899093780458068	0.4394955040634455	0.5120968672370052	1.188395556387134	1.231686770063756	0.0026508211286504417	0.002651821129150471	0.0035676002470217696	0.0033803755903697085	0.0012224386577574737	0.0010701841572464963	0.0012327299842621888	0.0013328231253453531	0.002146754327040357	0.00308065764362495	0.00308065764362495	0.00523712950483204	0.005055488863159789	0.005055488863159789	0.004396490510389499	0.004396490510389499	0.00329469811793579	0.00329469811793579	0.0024696687052772432	0.0031463492956649375	0.006920584092015437	0.0040318950225250675	0.0040308950220250385	0.007012679568153804	0.00724013998014615	0.007057859353755127	0.007980971477792273	0.007980971477792273	0.007979971477292245	0.010525783255355957	0.0608697253806598	0.053158335641852225	0.060714472538063204	0.05673295228112978	0.010756414558487498	0.010756414558487498	0.006616035346365269	0.007770027308550793	0.007770027308550793	0.04524782445563934	0.04571123807367441	0.005791351635958217	0.005791351635958217	0.006086197816349023	0.006086197816349023	0.005279690542080547	0.005279690542080547	0.0034195793584313144	0.006047544587659541	0.004125096234707622	0.004126096235207651	0.004126096235207651	0.004123096233707564	0.003408542985329355	0.0036673980253038303	0.003962650538204365	0.004385386007212589	0.005759447532882647	0.0034105429863294135	0.003562000749268591
f16ppB	0.0027115733853970416	0.001321282442474244	0.001321282442474244	0.0008833030760351437	0.0008833030760351437	0.00024490468161988586	0.0	0.0008957573616523752	0.0008957573616523752	7.421283022265665e-05	0.0008696966705261799	0.0010711081275616636	0.00038779766372474346	0.05008068812839087	0.049233842485200505	0.43973840874406533	0.512339771917625	1.1886384610677538	1.2319296747443758	0.0028937258092702695	0.002894725809770299	0.0038105049276415974	0.0036232802709895364	0.0014653433383773015	0.001313088837866324	0.0014756346648820166	0.001575727805965181	0.0023896590076601843	0.0033235623242447773	0.0033235623242447773	0.005480034185451867	0.005298393543779615	0.005298393543779615	0.0046393951910093266	0.0046393951910093266	0.0035376027985556174	0.0035376027985556174	0.0027125733858970706	0.003389253976284765	0.007163488772635266	0.004274799703144895	0.004273799702644866	0.007255584248773631	0.007483044660765976	0.0073007640343749555	0.008223876158412101	0.008223876158412101	0.008222876157912071	0.010768687935975785	0.061112630061279635	0.05340124032247206	0.06095737721868304	0.056975856961749616	0.010999319239107325	0.010999319239107325	0.006858940026985096	0.00801293198917062	0.00801293198917062	0.04549072913625917	0.04595414275429424	0.006034256316578044	0.006034256316578044	0.006329102496968849	0.006329102496968849	0.005522595222700374	0.005522595222700374	0.003662484039051142	0.006290449268279369	0.00436800091532745	0.0043690009158274794	0.0043690009158274794	0.004366000914327392	0.0036514476659491825	0.003910302705923657	0.004205555218824192	0.004628290687832416	0.006002352213502474	0.003653447666949241	0.003804905429888418
w27pp	0.003605330746049359	0.0022150398031265616	0.0022150398031265616	0.0017770604366874607	0.0017770604366874607	0.001138662042272203	0.0008957573616523752	0.0	2.00000100005818e-06	0.0009679701908749737	0.001763454031178497	0.0019648654882139806	0.0012815550243770605	0.05097444548904319	0.05012759984585282	0.44063216610471767	0.5132335292782773	1.189532218428406	1.232823432105028	0.0037874831699225868	0.0037884831704226157	0.004704262288293915	0.004517037631641853	0.0023591006990296183	0.0022068461985186414	0.002369392025534334	0.0024694851666174976	0.0032834163683125015	0.0042173196848970945	0.0042173196848970945	0.006373791546104185	0.0061921509044319326	0.0061921509044319326	0.005533152551661644	0.005533152551661644	0.004431360159207935	0.004431360159207935	0.003606330746549388	0.004283011336937082	0.008057246133287583	0.005168557063797213	0.005167557063297183	0.008149341609425948	0.008376802021418293	0.008194521395027273	0.009117633519064418	0.009117633519064418	0.009116633518564388	0.011662445296628103	0.06200638742193195	0.054294997683124374	0.06185113457933535	0.05786961432240193	0.011893076599759644	0.011893076599759644	0.007752697387637414	0.008906689349822937	0.008906689349822937	0.04638448649691149	0.04684790011494656	0.006928013677230362	0.006928013677230362	0.0072228598576211675	0.0072228598576211675	0.006416352583352692	0.006416352583352692	0.0045562413997034595	0.0071842066289316865	0.005261758275979768	0.005262758276479797	0.005262758276479797	0.00525975827497971	0.004545205026601501	0.004804060066575975	0.00509931257947651	0.005522048048484734	0.006896109574154792	0.0045472050276015585	0.004698662790540736
f8pp	0.003605330746049359	0.0022150398031265616	0.0022150398031265616	0.0017770604366874607	0.0017770604366874607	0.001138662042272203	0.0008957573616523752	2.00000100005818e-06	0.0	0.0009679701908749737	0.001763454031178497	0.0019648654882139806	0.0012815550243770605	0.05097444548904319	0.05012759984585282	0.44063216610471767	0.5132335292782773	1.189532218428406	1.232823432105028	0.0037874831699225868	0.0037884831704226157	0.004704262288293915	0.004517037631641853	0.0023591006990296183	0.0022068461985186414	0.002369392025534334	0.0024694851666174976	0.0032834163683125015	0.0042173196848970945	0.0042173196848970945	0.006373791546104185	0.0061921509044319326	0.0061921509044319326	0.005533152551661644	0.005533152551661644	0.004431360159207935	0.004431360159207935	0.003606330746549388	0.004283011336937082	0.008057246133287583	0.005168557063797213	0.005167557063297183	0.008149341609425948	0.008376802021418293	0.008194521395027273	0.009117633519064418	0.009117633519064418	0.009116633518564388	0.011662445296628103	0.06200638742193195	0.054294997683124374	0.06185113457933535	0.05786961432240193	0.011893076599759644	0.011893076599759644	0.007752697387637414	0.008906689349822937	0.008906689349822937	0.04638448649691149	0.04684790011494656	0.006928013677230362	0.006928013677230362	0.0072228598576211675	0.0072228598576211675	0.006416352583352692	0.006416352583352692	0.0045562413997034595	0.0071842066289316865	0.005261758275979768	0.005262758276479797	0.005262758276479797	0.00525975827497971	0.004545205026601501	0.004804060066575975	0.00509931257947651	0.005522048048484734	0.006896109574154792	0.0045472050276015585	0.004698662790540736
f25pp	0.0027817862136195817	0.0013914952706967844	0.0013914952706967844	0.000953515904257684	0.000953515904257684	0.0003151175098424261	7.421283022265665e-05	0.0009679701908749737	0.0009679701908749737	0.0	0.0007974838413035815	0.0009988952983390651	0.000315584834502145	0.05015090095661341	0.049304055313423044	0.4398086215722879	0.5124099847458475	1.1887086738959762	1.2319998875725982	0.0029639386374928096	0.002964938637992839	0.0038807177558641374	0.0036934930992120764	0.0015355561665998415	0.0013833016660888644	0.001545847493104557	0.001645940634187721	0.0024598718358827243	0.0033937751524673173	0.0033937751524673173	0.005550247013674407	0.005368606372002156	0.005368606372002156	0.004709608019231867	0.004709608019231867	0.0036078156267781575	0.0036078156267781575	0.0027827862141196107	0.003459466804507305	0.007233701600857805	0.004345012531367435	0.004344012530867406	0.007325797076996172	0.007553257488988517	0.007370976862597495	0.00829408898663464	0.00829408898663464	0.008293088986134612	0.010838900764198325	0.061182842889502174	0.0534714531506946	0.061027590046905576	0.057046069789972155	0.011069532067329866	0.011069532067329866	0.0069291528552076365	0.00808314481739316	0.00808314481739316	0.04556094196448171	0.04602435558251678	0.006104469144800584	0.006104469144800584	0.00639931532519139	0.00639931532519139	0.005592808050922915	0.005592808050922915	0.003732696867273682	0.0063606620965019085	0.00443821374354999	0.004439213744050019	0.004439213744050019	0.004436213742549932	0.0037216604941717225	0.003980515534146197	0.004275768047046732	0.004698503516054956	0.006072565041725014	0.003723660495171781	0.0038751182581109583
