	f14ppB	w9pp	w31pp	w20pp	f19pp	w15pp	w17pp	f7pp	w24pp	f24pp	f23ppA	w23pp	w3pp	w6pp	f17ppA	f22ppA	w22pp	f12ppB	w26pp	w13pp	f9pp	f16ppA	f31pp	F32H1	S6Hp	S18H1	S19H1	S2Hp	S29H1	S23Hp	S28Hp	F16H1	S20H1	S16H2	S13Hp	S21H1	S1Hp	F22HpB	S9H1	S22Hp	S14Hp	S4Hp	S25Hp	F23HpA	F3H1	S3Hp	S31Hp	S11Hp	F8H1	s24H1	S8Hp	530444	530315	F14H1A	F14H1B	F6H1	F7H1	S15Hp	S26Hp	S10H1	S17H1	F29H1	w32pp	w7pp	w4pp	f18pp	w14pp	w16pp	w19pp	f11pp	f6ppA	w28pp	f22ppB	f23ppB	w10pp	w27pp	f16ppB	f13pp	f8pp	w11pp	f30pp	f1pp	f28pp	S12Hp	f3pp	f12ppA	w2pp	w1pp	f29pp	w21pp	f21pp	f20ppB	w25pp	f20ppA	w29pp	w12pp	f2pp	f15pp	w8pp	f32pp	f4pp	f17ppB	w18pp	f26pp	f10pp	f14ppA	f6ppB	f25pp
f14ppB	0.0	0.003950038545444315	0.004340146965418384	0.005088257479873843	0.005228132683408818	0.0035489475016005695	0.00354794750110054	0.004761628229522377	0.001904869589322517	0.002785478863628973	0.005059108667952178	0.006680229452539819	0.012894964505106615	0.012843140438131749	0.016195437273598658	0.010188315319746056	0.008875376306194095	0.00505904879112067	0.005078041956701653	0.014522241743909946	0.015373473159395377	0.01572425518250931	0.020889648906893567	0.13461996403821824	0.13024358318042983	0.12299204956373887	0.12029777856218243	0.1280586764098707	0.12559207378585885	0.09231818545721839	0.1678143048918761	0.21347881837704008	0.261108156751109	0.3275557037351349	0.23258388438134445	0.2606483492629466	0.3266865139969731	0.3359621908780784	0.31122501775853506	0.2265257154365424	0.3290532117752573	0.3256780545652235	0.36856368599431916	0.31031840644257963	0.361460824167501	0.3618385510112134	0.3453844751242585	0.35368525400832856	0.417804964062758	0.443153706156738	0.3433188208713134	0.3798821940348566	0.3844990300326722	0.35885761833981494	0.38857240917728836	0.35933716531959853	0.2928382117413861	0.36955629834120474	0.22964888186867516	0.07686191513430307	0.12930081352145253	0.13739187612710346	0.03502773345789033	0.03527026153483455	0.015163792890828292	0.015163792890828292	0.015172170022659946	0.012040737182087147	0.013420753632808806	0.01518499969852324	0.020593692817769366	0.014345256238750156	0.02303708533972529	0.015668863581233476	0.014443660295171981	0.015067354486386159	0.015327022054933859	0.013675423167741056	0.010231293342801411	0.010231293342801411	0.009548176829006941	0.011289908713653905	0.015490201754160219	0.042625124392377874	0.04882886746915105	0.019774108736183155	0.021687706987972198	0.01832302321249329	0.029486153040838497	0.02000041316318239	0.016155366711623896	0.02276568998522299	0.015305118577507822	0.010867720144380179	0.007889110524895012	0.007741142291727721	0.008040166844404973	0.008565084322225434	0.009356441512642515	0.007415197442696841	0.007415197442696841	0.006855057211766183	0.006854057211266154	0.00571366685948091	0.005289960000077698	0.005061048792120728	0.0049038096636513555	0.001131661775858408
w9pp	0.003950038545444315	0.0	0.0011922905076615596	0.0019404010221170192	0.0020802762256519943	0.0004030910448438037	0.0004040910453438328	0.002461403320466444	0.002047168957121856	0.00292977823242837	0.0052034080367515745	0.006824528821339216	0.013039263873906012	0.012987439806931147	0.016339736642398055	0.010332614688545454	0.009019675674993493	0.005203348159920067	0.00522234132550105	0.014666541112709344	0.015517772528194775	0.015868554551308707	0.021033948275692965	0.13476426340701764	0.13038788254922923	0.12313634893253826	0.12044207793098183	0.12820297577867013	0.12573637315465824	0.09246248482601778	0.1679586042606755	0.21362311774583947	0.26125245611990844	0.3277000031039343	0.23272818375014387	0.26079264863174606	0.3268308133657726	0.33610649024687783	0.3113693171273345	0.22667001480534182	0.32919751114405676	0.3258223539340229	0.3687079853631186	0.3104627058113791	0.3616051235363005	0.3619828503800129	0.34552877449305797	0.353829553377128	0.41794926343155747	0.44329800552553744	0.34346312024011283	0.3800264934036561	0.38464332940147167	0.3590019177086144	0.3887167085460878	0.359481464688398	0.29298251111018553	0.3697005977100042	0.22979318123747455	0.07700621450310247	0.12944511289025196	0.13753617549590286	0.03517203282668972	0.03541456090363394	0.01530809225962769	0.01530809225962769	0.015316469391459343	0.012185036550886544	0.013565053001608204	0.015329299067322638	0.020737992186568764	0.014489555607549554	0.023181384708524686	0.015813162950032874	0.014587959663971379	0.015211653855185556	0.015471321423733257	0.013819722536540454	0.010375592711600807	0.010375592711600807	0.00969247619780634	0.011434208082453302	0.015634501122959617	0.04276942376117727	0.048973166837950444	0.019918408104982552	0.021832006356771596	0.01846732258129269	0.029630452409637895	0.020144712531981787	0.016299666080423294	0.022909989354022386	0.01544941794630722	0.011012019513179577	0.008033409893694408	0.007885441660527119	0.008184466213204369	0.00870938369102483	0.009500740881441913	0.007559496811496238	0.007559496811496238	0.00699935658056558	0.006998356580065551	0.005857966228280307	0.005434259368877095	0.005205348160920125	0.005048109032450752	0.002820376770585965
w31pp	0.004340146965418384	0.0011922905076615596	0.0	0.0007501105154555176	0.0008899857189904929	0.0007931994648178723	0.0007941994653179014	0.002851511740440513	0.0024372773770959246	0.0033198866524024387	0.005593516456725643	0.007214637241313285	0.013429372293880082	0.013377548226905216	0.016729845062372125	0.010722723108519523	0.009409784094967562	0.0055934565798941354	0.005612449745475119	0.015056649532683413	0.015907880948168845	0.016258662971282777	0.021424056695667035	0.13515437182699172	0.1307779909692033	0.12352645735251233	0.1208321863509559	0.12859308419864418	0.12612648157463233	0.09285259324599185	0.16834871268064958	0.21401322616581356	0.2616425645398825	0.3280901115239084	0.23311829217011792	0.2611827570517201	0.32722092178574663	0.3364965986668519	0.31175942554730857	0.22706012322531588	0.3295876195640308	0.326212462353997	0.36909809378309266	0.31085281423135314	0.36199523195627453	0.36237295879998693	0.345918882913032	0.35421966179710207	0.4183393718515315	0.4436881139455115	0.3438532286600869	0.38041660182363013	0.3850334378214457	0.35939202612858845	0.38910681696606186	0.35987157310837203	0.2933726195301596	0.37009070612997824	0.23018328965744864	0.07739632292307654	0.129835221310226	0.13792628391587694	0.03556214124666379	0.03580466932360801	0.01569820067960176	0.01569820067960176	0.015706577811433413	0.012575144970860614	0.013955161421582273	0.015719407487296708	0.021128100606542834	0.014879664027523623	0.023571493128498756	0.016203271370006943	0.014978068083945448	0.015601762275159626	0.015861429843707326	0.014209830956514524	0.010765701131574875	0.010765701131574875	0.010082584617780407	0.011824316502427372	0.016024609542933686	0.04315953218115134	0.04936327525792451	0.020308516524956622	0.022222114776745665	0.01885743100126676	0.030020560829611964	0.020534820951955857	0.016689774500397363	0.023300097773996456	0.01583952636628129	0.011402127933153646	0.008423518313668478	0.008275550080501187	0.008574574633178438	0.009099492110998898	0.009890849301415983	0.007949605231470307	0.007949605231470307	0.007389465000539649	0.00738846500003962	0.0062480746482543766	0.005824367788851164	0.005595456580894194	0.005438217452424821	0.003210485190560034
w20pp	0.005088257479873843	0.0019404010221170192	0.0007501105154555176	0.0	0.0006464541537688869	0.001541309979273332	0.0015423099797733611	0.0035996222548959726	0.0031853878915513835	0.004067997166857898	0.006341626971181102	0.007962747755768744	0.014177482808335539	0.014125658741360674	0.017477955576827582	0.01147083362297498	0.01015789460942302	0.006341567094349594	0.006360560259930578	0.01580476004713887	0.016655991462624302	0.017006773485738234	0.022172167210122492	0.13590248234144717	0.13152610148365876	0.12427456786696779	0.12158029686541136	0.12934119471309963	0.12687459208908777	0.09360070376044731	0.16909682319510502	0.214761336680269	0.26239067505433794	0.3288382220383638	0.23386640268457337	0.26193086756617556	0.3279690323002021	0.33724470918130733	0.312507536061764	0.22780823373977133	0.33033573007848627	0.3269605728684524	0.3698462042975481	0.3116009247458086	0.36274334247073	0.3631210693144424	0.34666699342748747	0.3549677723115575	0.419087482365987	0.44443622445996694	0.34460133917454233	0.3811647123380856	0.38578154833590117	0.3601401366430439	0.3898549274805173	0.3606196836228275	0.29412073004461503	0.3708388166444337	0.23093140017190408	0.078144433437532	0.13058333182468146	0.1386743944303324	0.03631025176111925	0.03655277983806347	0.016446311194057216	0.016446311194057216	0.01645468832588887	0.013323255485316071	0.01470327193603773	0.016467518001752165	0.02187621112099829	0.01562777454197908	0.024319603642954213	0.0169513818844624	0.015726178598400906	0.016349872789615083	0.016609540358162783	0.01495794147096998	0.011513811646030336	0.011513811646030336	0.010830695132235866	0.012572427016882829	0.016772720057389143	0.0439076426956068	0.050111385772379974	0.02105662703941208	0.022970225291201123	0.019605541515722216	0.03076867134406742	0.021282931466411314	0.01743788501485282	0.024048208288451913	0.016587636880736747	0.012150238447609103	0.009171628828123937	0.009023660594956646	0.009322685147633897	0.009847602625454359	0.010638959815871442	0.008697715745925766	0.008697715745925766	0.008137575514995107	0.008136575514495079	0.0069961851627098354	0.0065724783033066225	0.006343567095349653	0.00618632796688028	0.003958595705015493
f19pp	0.005228132683408818	0.0020802762256519943	0.0008899857189904929	0.0006464541537688869	0.0	0.0016811851828083073	0.0016821851833083365	0.003739497458430948	0.003325263095086359	0.004207872370392873	0.006481502174716078	0.00810262295930372	0.014317358011870516	0.01426553394489565	0.01761783078036256	0.011610708826509957	0.010297769812957996	0.00648144229788457	0.006500435463465553	0.01594463525067385	0.01679586666615928	0.01714664868927321	0.022312042413657467	0.13604235754498215	0.13166597668719374	0.12441444307050277	0.12172017206894634	0.1294810699166346	0.12701446729262275	0.09374057896398229	0.16923669839864	0.21490121188380398	0.2625305502578729	0.3289780972418988	0.23400627788810835	0.26207074276971054	0.32810890750373706	0.3373845843848423	0.312647411265299	0.2279481089433063	0.33047560528202125	0.3271004480719874	0.3699860795010831	0.31174079994934356	0.36288321767426496	0.36326094451797736	0.34680686863102245	0.3551076475150925	0.41922735756952195	0.4445760996635019	0.3447412143780773	0.38130458754162055	0.38592142353943615	0.3602800118465789	0.3899948026840523	0.36075955882636246	0.29426060524815	0.37097869184796867	0.23107127537543906	0.07828430864106697	0.13072320702821644	0.13881426963386737	0.036450126964654224	0.036692655041598445	0.01658618639759219	0.01658618639759219	0.016594563529423845	0.013463130688851048	0.014843147139572707	0.01660739320528714	0.022016086324533266	0.015767649745514055	0.02445947884648919	0.01709125708799738	0.015866053801935884	0.01648974799315006	0.01674941556169776	0.015097816674504957	0.01165368684956531	0.01165368684956531	0.01097057033577084	0.012712302220417806	0.016912595260924118	0.04404751789914177	0.050251260975914945	0.021196502242947057	0.0231101004947361	0.01974541671925719	0.030908546547602396	0.02142280666994629	0.0175777602183878	0.024188083491986888	0.01672751208427172	0.01229011365114408	0.009311504031658913	0.00916353579849162	0.009462560351168874	0.009987477828989334	0.010778835019406418	0.008837590949460742	0.008837590949460742	0.008277450718530083	0.008276450718030053	0.00713606036624481	0.006712353506841598	0.006483442298884628	0.0063262031704152556	0.004098470908550468
w15pp	0.0035489475016005695	0.0004030910448438037	0.0007931994648178723	0.001541309979273332	0.0016811851828083073	0.0	3.00000150008727e-06	0.0020603122766226986	0.0016460779132781104	0.0025286871885846244	0.004802316992907829	0.0064234377774954705	0.012638172830062267	0.012586348763087401	0.01593864559855431	0.009931523644701708	0.008618584631149747	0.004802257116076321	0.004821250281657304	0.014265450068865598	0.01511668148435103	0.015467463507464961	0.020632857231849218	0.1343631723631739	0.1299867915053855	0.12273525788869452	0.12004098688713809	0.12780188473482637	0.12533528211081452	0.09206139378217404	0.16755751321683177	0.21322202670199575	0.26085136507606466	0.32729891206009054	0.23232709270630011	0.2603915575879023	0.3264297223219288	0.33570539920303405	0.31096822608349073	0.22626892376149807	0.328796420100213	0.32542126289017914	0.3683068943192748	0.3100616147675353	0.3612040324924567	0.3615817593361691	0.3451276834492142	0.35342846233328423	0.4175481723877137	0.44289691448169366	0.34306202919626905	0.3796254023598123	0.3842422383576279	0.3586008266647706	0.388315617502244	0.3590803736445542	0.29258142006634175	0.3692995066661604	0.22939209019363083	0.07660512345925873	0.1290440218464082	0.13713508445205913	0.034770941782845975	0.035013469859790196	0.014907001215783944	0.014907001215783944	0.014915378347615598	0.011783945507042799	0.013163961957764458	0.014928208023478893	0.020336901142725017	0.014088464563705808	0.022780293664680942	0.015412071906189128	0.014186868620127633	0.01481056281134181	0.015070230379889511	0.013418631492696708	0.009974501667757062	0.009974501667757062	0.009291385153962592	0.011033117038609557	0.015233410079115871	0.04236833271733352	0.048572075794106696	0.01951731706113881	0.021430915312927852	0.01806623153744894	0.029229361365794147	0.01974362148813804	0.01589857503657955	0.02250889831017864	0.015048326902463474	0.010610928469335831	0.007632318849850664	0.007484350616683373	0.007783375169360624	0.008308292647181085	0.00909964983759817	0.007158405767652492	0.007158405767652492	0.006598265536721834	0.006597265536221805	0.005456875184436561	0.005033168325033349	0.004804257117076379	0.004647017988607007	0.0024192857267422195
w17pp	0.00354794750110054	0.0004040910453438328	0.0007941994653179014	0.0015423099797733611	0.0016821851833083365	3.00000150008727e-06	0.0	0.0020593122761226696	0.0016450779127780812	0.0025276871880845955	0.0048013169924078	0.0064224377769954415	0.012637172829562237	0.012585348762587371	0.01593764559805428	0.009930523644201678	0.008617584630649718	0.004801257115576292	0.004820250281157275	0.014264450068365568	0.015115681483851	0.015466463506964932	0.02063185723134919	0.13436217236267387	0.12998579150488546	0.12273425788819449	0.12003998688663806	0.12780088473432633	0.12533428211031447	0.09206039378167401	0.16755651321633172	0.2132210267014957	0.26085036507556464	0.3272979120595905	0.23232609270580007	0.26039055758740226	0.3264287223214288	0.33570439920253403	0.3109672260829907	0.22626792376099802	0.32879542009971297	0.3254202628896791	0.3683058943187748	0.3100606147670353	0.3612030324919567	0.3615807593356691	0.34512668344871417	0.3534274623327842	0.41754717238721367	0.44289591448119364	0.34306102919576903	0.3796244023593123	0.38424123835712787	0.3585998266642706	0.388314617501744	0.3590793736440542	0.29258042006584173	0.3692985066656604	0.22939109019313078	0.0766041234587587	0.12904302184590816	0.13713408445155909	0.03476994178234595	0.03501246985929017	0.014906001215283914	0.014906001215283914	0.014914378347115568	0.011782945506542769	0.013162961957264428	0.014927208022978863	0.02033590114222499	0.014087464563205778	0.02277929366418091	0.015411071905689099	0.014185868619627603	0.014809562810841781	0.015069230379389481	0.013417631492196679	0.009973501667257032	0.009973501667257032	0.009290385153462564	0.011032117038109527	0.015232410078615841	0.042367332716833496	0.04857107579360667	0.019516317060638777	0.02142991531242782	0.018065231536948913	0.02922836136529412	0.01974262148763801	0.01589757503607952	0.02250789830967861	0.015047326901963445	0.010609928468835801	0.007631318849350635	0.007483350616183344	0.007782375168860595	0.008307292646681055	0.00909864983709814	0.0071574057671524634	0.0071574057671524634	0.006597265536221805	0.006596265535721776	0.0054558751839365325	0.00503216832453332	0.00480325711657635	0.004646017988106978	0.00241828572624219
f7pp	0.004761628229522377	0.002461403320466444	0.002851511740440513	0.0035996222548959726	0.003739497458430948	0.0020603122766226986	0.0020593122761226696	0.0	0.002858758641199918	0.003741367916506432	0.006014997720829637	0.007636118505417278	0.013850853557984075	0.01379902949100921	0.01715132632647612	0.011144204372623517	0.009831265359071556	0.006014937843998129	0.006033931009579113	0.015478130796787407	0.016329362212272838	0.01668014423538677	0.021845537959771028	0.1355758530910957	0.1311994722333073	0.12394793861661632	0.12125366761505989	0.12901456546274817	0.12654796283873632	0.09327407451009584	0.16877019394475357	0.21443470742991755	0.2620640458039865	0.3285115927880124	0.23353977343422191	0.26160423831582413	0.32764240304985065	0.3369180799309559	0.3121809068114126	0.22748160448941987	0.33000910082813484	0.326633943618101	0.3695195750471967	0.31127429549545715	0.36241671322037855	0.36279444006409095	0.34634036417713604	0.3546411430612061	0.41876085311563555	0.4441095952096155	0.3442747099241909	0.38083808308773415	0.38545491908554974	0.35981350739269247	0.3895282982301659	0.36029305437247605	0.2937941007942636	0.37051218739408226	0.23060477092155263	0.07781780418718053	0.13025670257433	0.13834776517998093	0.03598362251076778	0.036226150587712	0.016119681943705753	0.016119681943705753	0.016128059075537406	0.012996626234964608	0.014376642685686267	0.0161408887514007	0.021549581870646827	0.015301145291627617	0.02399297439260275	0.016624752634110937	0.015399549348049442	0.01602324353926362	0.01628291110781132	0.014631312220618517	0.011187182395678869	0.011187182395678869	0.0105040658818844	0.012245797766531365	0.01644609080703768	0.04358101344525533	0.0497847565220285	0.020729997789060615	0.02264359604084966	0.019278912265370752	0.030442042093715958	0.02095630221605985	0.017111255764501357	0.02372157903810045	0.016261007630385283	0.01182360919725764	0.008844999577772471	0.00869703134460518	0.008996055897282432	0.009520973375102892	0.010312330565519976	0.0083710864955743	0.0083710864955743	0.007810946264643642	0.007809946264143613	0.00666955591235837	0.006245849052955157	0.006016937844998188	0.005859698716528815	0.0036319664546640273
w24pp	0.001904869589322517	0.002047168957121856	0.0024372773770959246	0.0031853878915513835	0.003325263095086359	0.0016460779132781104	0.0016450779127780812	0.002858758641199918	0.0	0.0008846092763065722	0.003158239080629777	0.004779359865217418	0.010994094917784214	0.010942270850809349	0.014294567686276257	0.008287445732423656	0.006974506718871695	0.003158179203798269	0.0031771723693792527	0.012621372156587546	0.013472603572072977	0.013823385595186909	0.01898877931957117	0.13271909445089586	0.12834271359310745	0.12109117997641647	0.11839690897486004	0.12615780682254832	0.12369120419853646	0.09041731586989599	0.1659134353045537	0.2115779487897177	0.2592072871637866	0.3256548341478125	0.23068301479402206	0.2587474796756242	0.32478564440965074	0.334061321290756	0.3093241481712127	0.22462484584922002	0.32715234218793493	0.3237771849779011	0.36666281640699677	0.30841753685525725	0.35955995458017864	0.35993768142389104	0.34348360553693613	0.3517843844210062	0.41590409447543564	0.4412528365694156	0.341417951283991	0.37798132444753424	0.38259816044534983	0.35695674875249256	0.386671539589966	0.35743629573227614	0.2909373421540637	0.36765542875388235	0.22774801228135277	0.07496104554698067	0.12739994393413015	0.13549100653978108	0.03312686387056792	0.03336939194751214	0.013262923303505892	0.013262923303505892	0.013271300435337545	0.010139867594764746	0.011519884045486406	0.01328413011120084	0.018692823230446968	0.012444386651427755	0.02113621575240289	0.013767993993911076	0.012542790707849581	0.013166484899063758	0.013426152467611458	0.011774553580418656	0.00833042375547901	0.00833042375547901	0.00764730724168454	0.009389039126331504	0.013589332166837819	0.04072425480505547	0.046927997881828644	0.017873239148860756	0.0197868374006498	0.016422153625170893	0.0275852834535161	0.01809954357585999	0.014254497124301496	0.02086482039790059	0.013404248990185422	0.008966850557057779	0.005988240937572611	0.00584027270440532	0.0061392972570825715	0.006664214734903032	0.007455571925320116	0.00551432785537444	0.00551432785537444	0.004954187624443782	0.004953187623943753	0.00381279727215851	0.0033890904127552974	0.0031601792047983275	0.003002940076328955	0.0007752078144641673
f24pp	0.002785478863628973	0.00292977823242837	0.0033198866524024387	0.004067997166857898	0.004207872370392873	0.0025286871885846244	0.0025276871880845955	0.003741367916506432	0.0008846092763065722	0.0	0.0022756298053232624	0.003896750589910904	0.010111485642477701	0.010059661575502836	0.013411958410969744	0.007404836457117142	0.006091897443565181	0.0022755699284917547	0.002294563094072738	0.011738762881281032	0.012589994296766464	0.012940776319880396	0.018106170044264652	0.13183648517558932	0.12746010431780092	0.12020857070110995	0.11751429969955351	0.12527519754724178	0.12280859492322994	0.08953470659458947	0.16503082602924718	0.21069533951441116	0.2583246778884801	0.324772224872506	0.22980040551871553	0.25786487040031775	0.32390303513434426	0.3331787120154495	0.3084415388959062	0.22374223657391348	0.32626973291262845	0.3228945757025946	0.3657802071316903	0.30753492757995077	0.35867734530487216	0.35905507214858456	0.34260099626162965	0.3509017751456997	0.41502148520012916	0.44037022729410913	0.3405353420086845	0.37709871517222776	0.38171555117004335	0.3560741394771861	0.3857889303146595	0.35655368645696967	0.2900547328787572	0.3667728194785759	0.22686540300604624	0.07407843627167415	0.12651733465882362	0.13460839726447454	0.032244254595261417	0.03248678267220564	0.012380314028199378	0.012380314028199378	0.012388691160031032	0.009257258319458233	0.010637274770179892	0.012401520835894327	0.01781021395514045	0.011561777376121242	0.020253606477096373	0.012885384718604563	0.011660181432543068	0.012283875623757245	0.012543543192304945	0.010891944305112143	0.007447814480172496	0.007447814480172496	0.006764697966378026	0.008506429851024991	0.012706722891531306	0.03984164552974896	0.04604538860652214	0.01699062987355424	0.018904228125343283	0.015539544349864378	0.02670267417820958	0.017216934300553474	0.013371887848994983	0.019982211122594074	0.012521639714878909	0.008084241281751265	0.005105631662266097	0.004957663429098806	0.0052566879817760575	0.005781605459596518	0.006572962650013602	0.004631718580067926	0.004631718580067926	0.004071578349137268	0.004070578348637239	0.0029301879968519954	0.002506481137448783	0.002277569929491813	0.0021203308010224403	0.0016558170887706234
