	w4pp	f32pp	f13pp	w18pp	f26pp	w24pp	f18pp	f31pp	s16pp	w27pp	f7pp	f14ppA	f9pp	w26pp	s21pp	f28pp	F32H1	F8H1	s29pp	s8pp	S23Hp	w15pp	w14pp	w1pp	w16pp	f20ppA	w9pp	f25pp	w20pp	f19pp	f4pp	w3pp	f24pp	f16ppB	f6ppB	f21pp	f3pp	w7pp	f22ppB	f6ppA	f1pp	f12ppB	w10pp	w17pp	w19pp	f14ppB	w23pp	f30pp	w29pp	f15pp	s1pp	f20ppB	s11pp	w32pp	f17ppA	f17ppB	f16ppA	f8pp	f10pp	w21pp	w31pp	w13pp	f29pp	w22pp	f23ppB	530451	s3pp	S13Hp	S1Hp	f23ppA	f22ppA	w2pp	w8pp	F7H1	S6Hp	S15Hp	F14H1B	s25pp	S10H1	s2pp	S7Hp	s23pp	S18H1	s12pp	S30H1	F14H1A	S31Hp	S19H1	S2Hp	S12Hp	s24H1	f12ppA	f2pp	w28pp	w11pp	w25pp	f11pp	w6pp	w12pp
w4pp	0.0	2.00000100005818e-06	0.001782161593791893	0.001782161593791893	0.0017831615942919222	0.0017851615952919804	0.0017861615957920096	0.016270840559482847	0.05452319154417754	0.028151405597325586	0.028153405598325642	0.028155405599325698	0.028158405600825786	0.028160405601825842	0.11018273323886531	0.03753421019625777	0.2015465972867158	0.1941763672707751	0.0724351136262509	0.08420209434802328	0.151312661273773	0.04785754705652704	0.047856547056027016	0.028205830613832323	0.03682610314089872	0.03682910314239881	0.03683010314289884	0.03683110314339887	0.03683610314589902	0.03683710314639905	0.03683810314689907	0.03684310314939922	0.03684410314989925	0.04028837376002578	0.04231402315786498	0.04029037376102584	0.04247104194266913	0.04247104194266913	0.04028737375952575	0.04028637375902572	0.03684510315039928	0.03684210314889919	0.03684110314839916	0.03684010314789913	0.036839103147399105	0.036835103145398986	0.03683410314489896	0.03683310314439893	0.0368321031438989	0.036828103141898785	0.06272098615684278	0.04353669088483905	0.10004596517206714	0.05209938074440231	0.043496700843123105	0.0368251031403987	0.036824103139898666	0.03682310313939864	0.02820483061333229	0.028159405601325817	0.028157405600325754	0.02815640559982573	0.028154405598825673	0.02815240559782561	0.028150405596825554	0.20125108880425766	0.07217646511049623	0.1261504393910339	0.08860480990067811	0.016271840559982875	0.016269840558982816	0.014251606489324184	0.02832596914663753	0.22446221912321435	0.15476133457915658	0.19462393293653643	0.17664364706086694	0.09069870022374514	0.15633730200442605	0.02372246145779492	0.14529348503764142	0.0747308792846397	0.14573769480683033	0.023625726294419922	0.15792409957678094	0.1295918255844983	0.15219736493818842	0.18107796691440037	0.17424437636943066	0.020447091957386244	0.02382372661980038	0.010486493311902547	0.0017881615967920677	0.0017881615967920677	0.0017841615947919514	0.0017851615952919806	0.0017851615952919806	0.0017841615947919514	0.0017831615942919224
f32pp	2.00000100005818e-06	0.0	0.001782161593791893	0.001782161593791893	0.0017831615942919222	0.0017851615952919804	0.0017861615957920096	0.016270840559482847	0.05452319154417754	0.028151405597325586	0.028153405598325642	0.028155405599325698	0.028158405600825786	0.028160405601825842	0.11018273323886531	0.03753421019625777	0.2015465972867158	0.1941763672707751	0.0724351136262509	0.08420209434802328	0.151312661273773	0.04785754705652704	0.047856547056027016	0.028205830613832323	0.03682610314089872	0.03682910314239881	0.03683010314289884	0.03683110314339887	0.03683610314589902	0.03683710314639905	0.03683810314689907	0.03684310314939922	0.03684410314989925	0.04028837376002578	0.04231402315786498	0.04029037376102584	0.04247104194266913	0.04247104194266913	0.04028737375952575	0.04028637375902572	0.03684510315039928	0.03684210314889919	0.03684110314839916	0.03684010314789913	0.036839103147399105	0.036835103145398986	0.03683410314489896	0.03683310314439893	0.0368321031438989	0.036828103141898785	0.06272098615684278	0.04353669088483905	0.10004596517206714	0.05209938074440231	0.043496700843123105	0.0368251031403987	0.036824103139898666	0.03682310313939864	0.02820483061333229	0.028159405601325817	0.028157405600325754	0.02815640559982573	0.028154405598825673	0.02815240559782561	0.028150405596825554	0.20125108880425766	0.07217646511049623	0.1261504393910339	0.08860480990067811	0.016271840559982875	0.016269840558982816	0.014251606489324184	0.02832596914663753	0.22446221912321435	0.15476133457915658	0.19462393293653643	0.17664364706086694	0.09069870022374514	0.15633730200442605	0.02372246145779492	0.14529348503764142	0.0747308792846397	0.14573769480683033	0.023625726294419922	0.15792409957678094	0.1295918255844983	0.15219736493818842	0.18107796691440037	0.17424437636943066	0.020447091957386244	0.02382372661980038	0.010486493311902547	0.0017881615967920677	0.0017881615967920677	0.0017841615947919514	0.0017851615952919806	0.0017851615952919806	0.0017841615947919514	0.0017831615942919224
f13pp	0.001782161593791893	0.001782161593791893	0.0	2.00000100005818e-06	5.00000250014545e-06	7.0000035002036296e-06	8.00000400023272e-06	0.01449267896769107	0.052745029952385766	0.02637324400553381	0.026375244006533866	0.026377244007533922	0.02638024400903401	0.026382244010034066	0.10840457164707352	0.035756048604466	0.19976843569492403	0.19239820567898333	0.07065695203445911	0.0824239327562315	0.1495344996819812	0.046079385464735265	0.04607838546423524	0.026427669022040547	0.03504794154910695	0.035050941550607034	0.035051941551107066	0.0350529415516071	0.03505794155410724	0.03505894155460727	0.0350599415551073	0.03506494155760744	0.03506594155810747	0.038510212168234005	0.0405358615660732	0.03851221216923406	0.040692880350877356	0.040692880350877356	0.038509212167733974	0.03850821216723394	0.035066941558607505	0.03506394155710742	0.035062941556607385	0.035061941556107354	0.03506094155560733	0.03505694155360721	0.035055941553107185	0.035054941552607154	0.03505394155210712	0.03504994155010701	0.060942824565051	0.041758529293047277	0.09826780358027536	0.050321219152610536	0.04171853925133133	0.03504694154860692	0.03504594154810689	0.035044941547606866	0.026426669021540516	0.026381244009534042	0.02637924400853398	0.026378244008033954	0.026376244007033898	0.026374244006033835	0.02637224400503378	0.19947292721246587	0.07039830351870445	0.12437227779924212	0.08682664830888633	0.0144936789681911	0.01449167896719104	0.012473444897532408	0.026547807554845756	0.22268405753142256	0.1529831729873648	0.19284577134474465	0.17486548546907515	0.08892053863195336	0.15455914041263427	0.021944299866003145	0.14351532344584964	0.07295271769284792	0.14395953321503854	0.021847564702628147	0.15614593798498916	0.12781366399270652	0.15041920334639663	0.17929980532260859	0.17246621477763888	0.018668930365594468	0.022045565028008605	0.008708331720110771	1.00000050002909e-05	1.00000050002909e-05	6.00000300017454e-06	7.0000035002036296e-06	7.0000035002036296e-06	6.00000300017454e-06	5.00000250014545e-06
w18pp	0.001782161593791893	0.001782161593791893	2.00000100005818e-06	0.0	5.00000250014545e-06	7.0000035002036296e-06	8.00000400023272e-06	0.01449267896769107	0.052745029952385766	0.02637324400553381	0.026375244006533866	0.026377244007533922	0.02638024400903401	0.026382244010034066	0.10840457164707352	0.035756048604466	0.19976843569492403	0.19239820567898333	0.07065695203445911	0.0824239327562315	0.1495344996819812	0.046079385464735265	0.04607838546423524	0.026427669022040547	0.03504794154910695	0.035050941550607034	0.035051941551107066	0.0350529415516071	0.03505794155410724	0.03505894155460727	0.0350599415551073	0.03506494155760744	0.03506594155810747	0.038510212168234005	0.0405358615660732	0.03851221216923406	0.040692880350877356	0.040692880350877356	0.038509212167733974	0.03850821216723394	0.035066941558607505	0.03506394155710742	0.035062941556607385	0.035061941556107354	0.03506094155560733	0.03505694155360721	0.035055941553107185	0.035054941552607154	0.03505394155210712	0.03504994155010701	0.060942824565051	0.041758529293047277	0.09826780358027536	0.050321219152610536	0.04171853925133133	0.03504694154860692	0.03504594154810689	0.035044941547606866	0.026426669021540516	0.026381244009534042	0.02637924400853398	0.026378244008033954	0.026376244007033898	0.026374244006033835	0.02637224400503378	0.19947292721246587	0.07039830351870445	0.12437227779924212	0.08682664830888633	0.0144936789681911	0.01449167896719104	0.012473444897532408	0.026547807554845756	0.22268405753142256	0.1529831729873648	0.19284577134474465	0.17486548546907515	0.08892053863195336	0.15455914041263427	0.021944299866003145	0.14351532344584964	0.07295271769284792	0.14395953321503854	0.021847564702628147	0.15614593798498916	0.12781366399270652	0.15041920334639663	0.17929980532260859	0.17246621477763888	0.018668930365594468	0.022045565028008605	0.008708331720110771	1.00000050002909e-05	1.00000050002909e-05	6.00000300017454e-06	7.0000035002036296e-06	7.0000035002036296e-06	6.00000300017454e-06	5.00000250014545e-06
f26pp	0.0017831615942919222	0.0017831615942919222	5.00000250014545e-06	5.00000250014545e-06	0.0	4.00000200011636e-06	5.00000250014545e-06	0.014489678966190982	0.05274202995088568	0.026370244004033722	0.02637224400503378	0.026374244006033835	0.026377244007533922	0.02637924400853398	0.10840157164557344	0.03575304860296591	0.19976543569342395	0.19239520567748325	0.07065395203295903	0.08242093275473142	0.14953149968048113	0.04607638546323518	0.04607538546273515	0.02642466902054046	0.03504494154760686	0.03504794154910695	0.03504894154960698	0.03504994155010701	0.035054941552607154	0.035055941553107185	0.03505694155360721	0.035061941556107354	0.035062941556607385	0.03850721216673392	0.040532861564573114	0.038509212167733974	0.04068988034937727	0.04068988034937727	0.038506212166233886	0.038505212165733854	0.03506394155710742	0.03506094155560733	0.0350599415551073	0.035058941554607266	0.03505794155410724	0.03505394155210712	0.0350529415516071	0.035051941551107066	0.035050941550607034	0.03504694154860692	0.06093982456355091	0.04175552929154719	0.09826480357877528	0.05031821915111045	0.04171553924983124	0.035043941547106834	0.0350429415466068	0.03504194154610678	0.026423669020040428	0.026378244008033954	0.02637624400703389	0.026375244006533866	0.02637324400553381	0.026371244004533747	0.02636924400353369	0.1994699272109658	0.07039530351720437	0.12436927779774204	0.08682364830738624	0.014490678966691012	0.014488678965690952	0.01247044489603232	0.026544807553345668	0.22268105752992248	0.15298017298586472	0.19284277134324457	0.17486248546757507	0.08891753863045328	0.1545561404111342	0.021941299864503057	0.14351232344434955	0.07294971769134784	0.14395653321353846	0.02184456470112806	0.15614293798348908	0.12781066399120644	0.15041620334489655	0.1792968053211085	0.1724632147761388	0.01866593036409438	0.022042565026508518	0.008705331718610683	7.0000035002036296e-06	7.0000035002036296e-06	3.00000150008727e-06	6.00000300017454e-06	6.00000300017454e-06	5.00000250014545e-06	4.00000200011636e-06
w24pp	0.0017851615952919804	0.0017851615952919804	7.0000035002036296e-06	7.0000035002036296e-06	4.00000200011636e-06	0.0	3.00000150008727e-06	0.014487678965190922	0.052740029949885615	0.026368244003033666	0.026370244004033722	0.02637224400503378	0.026375244006533866	0.026377244007533922	0.10839957164457338	0.035751048601965846	0.1997634356924239	0.19239320567648321	0.07065195203195897	0.08241893275373136	0.1495294996794811	0.046074385462235114	0.04607338546173509	0.026422669019540403	0.035042941546606796	0.03504594154810688	0.035046941548606915	0.03504794154910695	0.03505294155160709	0.03505394155210712	0.03505494155260715	0.03505994155510729	0.03506094155560732	0.038505212165733854	0.04053086156357305	0.03850721216673391	0.040687880348377205	0.040687880348377205	0.03850421216523382	0.03850321216473379	0.035061941556107354	0.035058941554607266	0.035057941554107235	0.0350569415536072	0.03505594155310718	0.03505194155110706	0.035050941550607034	0.035049941550107	0.03504894154960697	0.03504494154760686	0.06093782456255085	0.041753529290547126	0.09826280357777521	0.050316219150110385	0.04171353924883118	0.03504194154610677	0.03504094154560674	0.035039941545106715	0.026421669019040372	0.026376244007033898	0.026374244006033835	0.02637324400553381	0.026371244004533754	0.02636924400353369	0.026367244002533635	0.19946792720996576	0.0703933035162043	0.12436727779674198	0.08682164830638618	0.014488678965690952	0.014486678964690893	0.01246844489503226	0.026542807552345612	0.22267905752892245	0.15297817298486469	0.19284077134224453	0.17486048546657504	0.08891553862945321	0.15455414041013416	0.021939299863503	0.14351032344334952	0.07294771769034777	0.14395453321253843	0.021842564700128003	0.15614093798248904	0.1278086639902064	0.15041420334389652	0.17929480532010847	0.17246121477513876	0.018663930363094324	0.02204056502550846	0.008703331717610624	5.00000250014545e-06	5.00000250014545e-06	3.00000150008727e-06	8.00000400023272e-06	8.00000400023272e-06	7.0000035002036296e-06	6.00000300017454e-06
f18pp	0.0017861615957920096	0.0017861615957920096	8.00000400023272e-06	8.00000400023272e-06	5.00000250014545e-06	3.00000150008727e-06	0.0	0.014486678964690893	0.052739029949385584	0.026367244002533638	0.026369244003533694	0.02637124400453375	0.026374244006033838	0.026376244007033894	0.10839857164407335	0.035750048601465814	0.1997624356919239	0.1923922056759832	0.07065095203145894	0.08241793275323132	0.14952849967898107	0.04607338546173508	0.04607238546123506	0.026421669019040375	0.035041941546106764	0.03504494154760685	0.03504594154810688	0.035046941548606915	0.03505194155110706	0.03505294155160709	0.035053941552107115	0.03505894155460726	0.03505994155510729	0.03850421216523382	0.04052986156307302	0.03850621216623388	0.04068688034787717	0.04068688034787717	0.03850321216473379	0.03850221216423376	0.03506094155560732	0.035057941554107235	0.0350569415536072	0.03505594155310717	0.03505494155260715	0.03505094155060703	0.035049941550107	0.03504894154960697	0.03504794154910694	0.03504394154710683	0.060936824562050816	0.041752529290047094	0.09826180357727518	0.05031521914961035	0.04171253924833115	0.03504094154560674	0.03503994154510671	0.03503894154460668	0.026420669018540344	0.02637524400653387	0.026373244005533807	0.026372244005033782	0.026370244004033726	0.026368244003033663	0.026366244002033606	0.19946692720946574	0.07039230351570427	0.12436627779624194	0.08682064830588615	0.014487678965190922	0.014485678964190863	0.01246744489453223	0.026541807551845584	0.22267805752842243	0.15297717298436467	0.19283977134174451	0.17485948546607502	0.08891453862895318	0.15455314040963414	0.021938299863002973	0.1435093234428495	0.07294671768984774	0.1439535332120384	0.021841564699627974	0.15613993798198902	0.1278076639897064	0.1504132033433965	0.17929380531960845	0.17246021477463874	0.018662930362594296	0.022039565025008433	0.008702331717110594	4.00000200011636e-06	4.00000200011636e-06	4.00000200011636e-06	9.000004500261809e-06	9.000004500261809e-06	8.00000400023272e-06	7.0000035002036296e-06
f31pp	0.016270840559482847	0.016270840559482847	0.01449267896769107	0.01449267896769107	0.014489678966190982	0.014487678965190922	0.014486678964690893	0.0	0.03825435098569474	0.011882565038842802	0.01188456503984286	0.011886565040842918	0.011889565042343005	0.011891565043343063	0.09391389268038251	0.021265369637774974	0.1852777567282331	0.1779075267122924	0.0561662730677681	0.06793325378954049	0.13504382071529028	0.03158870649804424	0.031587706497544214	0.011936990055349539	0.020557262582415924	0.020560262583916012	0.020561262584416044	0.02056226258491607	0.020567262587416216	0.020568262587916247	0.020569262588416275	0.02057426259091642	0.02057526259141645	0.02401953320154298	0.026045182599382176	0.024021533202543036	0.026202201384186333	0.026202201384186333	0.024018533201042948	0.02401753320054292	0.02057626259191648	0.02057326259041639	0.020572262589916363	0.02057126258941633	0.020570262588916303	0.020566262586916188	0.02056526258641616	0.020564262585916128	0.0205632625854161	0.020559262583415984	0.04645214559835997	0.027267850326356254	0.08377712461358434	0.03583054018591951	0.027227860284640304	0.020556262581915896	0.020555262581415868	0.02055426258091584	0.011935990054849509	0.011890565042843033	0.011888565041842976	0.011887565041342947	0.01188556504034289	0.01188356503934283	0.011881565038342772	0.18498224824577494	0.05590762455201344	0.10988159883255111	0.07233596934219531	3.00000150008727e-06	3.00000150008727e-06	0.008191399824453067	0.02226576248176642	0.21840201245834331	0.14870112791428555	0.1885637262716654	0.1705834403959959	0.08463849355887401	0.15027709533955502	0.03312561941218189	0.15469664299202845	0.08413403723902665	0.15514085276121736	0.03302888424880689	0.16732725753116798	0.13899498353888534	0.16160052289257545	0.1904811248687874	0.1836475343238177	0.029850249911773215	0.03322688457418735	0.01988965126628951	0.01448667896469089	0.01448667896469089	0.014488678965690952	0.0144936789681911	0.0144936789681911	0.01449267896769107	0.014491678967191042
s16pp	0.05452319154417754	0.05452319154417754	0.052745029952385766	0.052745029952385766	0.05274202995088568	0.052740029949885615	0.052739029949385584	0.03825435098569474	0.0	0.03378917100148602	0.03379117100248608	0.03379317100348614	0.03379617100498623	0.03379817100598628	0.11582049864302572	0.043171975600418196	0.20718436269087637	0.19981413267493567	0.07807287903041131	0.0898398597521837	0.15695042667793355	0.053495312460687464	0.05349431246018743	0.03384359601799276	0.04246386854505915	0.04246686854655923	0.042467868547059265	0.042468868547559296	0.04247386855005944	0.04247486855055947	0.0424758685510595	0.04248086855355965	0.04248186855405967	0.045926139164186204	0.0479517885620254	0.04592813916518626	0.048108807346829555	0.048108807346829555	0.04592513916368617	0.04592413916318615	0.042482868554559704	0.042479868553059616	0.042478868552559584	0.04247786855205955	0.04247686855155953	0.04247286854955941	0.042471868549059384	0.04247086854855935	0.04246986854805933	0.04246586854605921	0.06835875156100318	0.04917445628899948	0.10568373057622756	0.05773714614856272	0.04913446624728353	0.04246286854455912	0.04246186854405909	0.042460868543559065	0.03384259601749273	0.03379717100548625	0.033795171004486195	0.03379417100398617	0.03379217100298611	0.03379017100198605	0.033788171000985995	0.22239508174461153	0.09332045805084997	0.14729443233138764	0.10974880284103185	0.03825335098519471	0.03825535098619477	0.04644375080914775	0.060518113466461104	0.256654363443038	0.18695347889898023	0.22681607725636008	0.20883579138069058	0.1228908445435687	0.1885294463242497	0.07137797039687657	0.19294899397672313	0.12238638822372133	0.19339320374591204	0.07128123523350158	0.20557960851586266	0.17724733452358002	0.19985287387727013	0.22873347585348208	0.22189988530851237	0.0681026008964679	0.07147923555888204	0.0581420022509842	0.05273902994938558	0.05273902994938558	0.05274102995038565	0.0527460299528858	0.0527460299528858	0.052745029952385766	0.05274402995188574
w27pp	0.028151405597325586	0.028151405597325586	0.02637324400553381	0.02637324400553381	0.026370244004033722	0.026368244003033666	0.026367244002533638	0.011882565038842802	0.03378917100148602	0.0	4.00000200011636e-06	6.00000300017454e-06	9.000004500261809e-06	1.1000005500319987e-05	0.08203332764253976	0.009384804599932234	0.1733971916903904	0.1660269616744497	0.04428570802992535	0.056052688751697735	0.12316325567744757	0.019708141460201497	0.01970714145970147	5.6425017506794946e-05	0.008676697544573186	0.008679697546073274	0.008680697546573303	0.008681697547073331	0.008686697549573477	0.008687697550073507	0.008688697550573535	0.00869369755307368	0.00869469755357371	0.012138968163700239	0.014164617561539437	0.012140968164700295	0.014321636346343595	0.014321636346343595	0.01213796816320021	0.01213696816270018	0.008695697554073739	0.008692697552573651	0.008691697552073623	0.008690697551573593	0.008689697551073565	0.008685697549073447	0.00868469754857342	0.00868369754807339	0.008682697547573361	0.008678697545573244	0.03457158056051722	0.015387285288513514	0.07189655957574159	0.023949975148076758	0.015347295246797565	0.008675697544073158	0.008674697543573128	0.0086736975430731	5.5425017006765854e-05	1.0000005000290898e-05	8.00000400023272e-06	7.0000035002036296e-06	5.00000250014545e-06	3.00000150008727e-06	3.00000150008727e-06	0.1960232957977596	0.06694867210399805	0.1209226463845357	0.08337701689417992	0.011881565038342772	0.011883565039342832	0.020071964862295812	0.034146327519609165	0.23028257749618605	0.1605816929521283	0.20044429130950814	0.18246400543383864	0.09651905859671676	0.16215766037739776	0.04500618445002463	0.1665772080298712	0.09601460227686939	0.1670214177990601	0.04490944928664964	0.17920782256901072	0.15087554857672808	0.1734810879304182	0.20236168990663014	0.19552809936166043	0.04173081494961596	0.0451074496120301	0.03177021630413226	0.02636724400253364	0.02636724400253364	0.026369244003533694	0.026374244006033838	0.026374244006033838	0.02637324400553381	0.02637224400503378
