	S13Hp	S1Hp	F16H1	S21H1	S12Hp	s24pp	s29pp	w28pp	s23pp	F6H1	S16H2	s25pp	w32pp	s8pp	F32H1	s32pp	w6pp	f26pp	w26pp	f11pp	f6ppB	f19pp	w25pp	s12pp	f28pp	w11pp	530451	s19pp	s22pp	f29pp	f31pp	S6Hp	F14H1B	31714	S9H1	F3H1	S2Hp	s26pp	S19H1	s14pp	S26Hp	F1H1	S31Hp	f17ppA	s11pp	S23Hp	S10H1	s31pp	s28pp	S17H1	S28Hp	S18H1	S30H1	s10pp	w20pp	f2pp	w17pp	f14ppB	w15pp	w4pp	f32pp	f24pp	f20ppB	f12ppB	f7pp	w21pp	w18pp	w13pp	w24pp	f10pp	f13pp	f25pp	f23ppB	f9pp	w16pp	f4pp	f21pp	f12ppA	f23ppA	f30pp	F8H1	s3pp	S11Hp	F23HpA	S8Hp	F14H1A	s2pp	w30pp	s30pp	f1pp	f3pp	w1pp	w14pp	w19pp	w12pp	S22Hp	S14Hp	s1pp	S4Hp	w22pp	f20ppA	w23pp	w8pp	f18pp	f8pp	f15pp	f16ppB	f22ppB	w7pp	S29H1	s16pp	S3Hp	f16ppA	f17ppB	f22ppA	w3pp	w10pp	w2pp	f14ppA	w29pp	w27pp	w31pp	w9pp	f6ppA
S13Hp	0.0	0.7432063025354935	0.7959671642044699	0.7188319756187908	0.08421331484383117	0.1354951800944884	0.1197025889297603	0.1096122208023752	0.17042209615330944	0.17800405859261148	0.19198918039342058	0.1381928119006293	0.12354827208360245	0.16127034863208176	0.1955307934453604	0.18947438874451278	0.1155119349354479	0.11358715594679439	0.10932777507413051	0.10353617837330127	0.10465115668920508	0.10358960795800823	0.10556916775393997	0.10645928515411504	0.10249979759680065	0.09802220013520596	0.17892813781636774	0.15080587771207465	0.14015809905755888	0.12197124235443621	0.11202090820868815	0.163456346205616	0.20846440145970438	0.22970690970673918	0.20725660390524303	0.21922406571870845	0.14273695516991508	0.14192626942102685	0.19663617472495332	0.18632301123517703	0.1890162680378422	0.18742704116832554	0.2038007666674097	0.11136084342989035	0.14425495663005738	0.1794887661886457	0.1302148103158392	0.15152194061771793	0.1648475059276379	0.19203450939274905	0.19472746185648718	0.19280276335549312	0.18564761648210626	0.13982685138745615	0.09544623403360761	0.1005718390927019	0.1057323431878146	0.105013422656452	0.10791762174566916	0.10854143487984869	0.10786034256023651	0.10592317621308958	0.10829016368254074	0.10477603452331435	0.11016473796687958	0.1084581436370234	0.1062994877347987	0.1062817089357572	0.10265425261959164	0.10172031955198449	0.10243949932189204	0.10429645910394462	0.10519695164420677	0.10678709742284095	0.11341837859236198	0.11408672349373697	0.11695701513861166	0.11650363569206651	0.11608869415744139	0.11249439910400352	0.15321365753548027	0.1452647384337449	0.21660308978772858	0.17153265777552673	0.23061976078833307	0.24802709934319744	0.13610175853192213	0.1469330157719883	0.1256412873904709	0.11935046416616693	0.1181827397216117	0.11947826791363714	0.12035758272039734	0.12244027660670848	0.12327796934444568	0.19543819829307402	0.20558110298498072	0.15288197790947883	0.1655181444647036	0.11592974923934221	0.11166384974055231	0.11260172297050061	0.11260172297050061	0.11636053151271517	0.10991944353006028	0.11789248521398456	0.11630470773906712	0.12762385579553168	0.1273356208901222	0.19972121298460022	0.16618770210465905	0.19716191434841357	0.12130414322786934	0.11845847236973028	0.11670638213392284	0.10880015633984089	0.1044327874927585	0.0929942926696167	0.09343204192743601	0.09440123011036577	0.09531054191672059	0.09316459736124301	0.09086493594734253	0.08848182485419377
S1Hp	0.7432063025354935	0.0	1.0508804913186474	0.9737453027329683	0.8216986269965811	0.8729804922472383	0.8571879010825102	0.8470975329551251	0.9079074083060593	0.9154893707453614	0.9294744925461705	0.8756781240533792	0.8610335842363523	0.8987556607848317	0.9330161055981103	0.9269597008972627	0.8529972470881978	0.8510724680995443	0.8468130872268804	0.8410214905260511	0.842136468841955	0.8410749201107581	0.8430544799066899	0.843944597306865	0.8399851097495505	0.8355075122879558	0.9164134499691177	0.8882911898648246	0.8776434112103088	0.8594565545071862	0.8495062203614381	0.9009416583583659	0.9459497136124543	0.967192221859489	0.944741916057993	0.9567093778714584	0.880222267322665	0.8794115815737767	0.9341214868777032	0.923808323387927	0.9265015801905921	0.9249123533210755	0.9412860788201596	0.8488461555826403	0.8817402687828073	0.9169740783413957	0.8677001224685891	0.8890072527704679	0.9023328180803878	0.929519821545499	0.9322127740092371	0.930288075508243	0.9231329286348562	0.877312163540206	0.8329315461863576	0.8380571512454518	0.8432176553405645	0.8424987348092019	0.845402933898419	0.8460267470325986	0.8453456547129864	0.8434084883658395	0.8457754758352907	0.8422613466760642	0.8476500501196295	0.8459434557897733	0.8437847998875486	0.8437670210885071	0.8401395647723415	0.8392056317047344	0.8399248114746419	0.8417817712566945	0.8426822637969567	0.8442724095755909	0.8509036907451119	0.8515720356464869	0.8544423272913616	0.8539889478448164	0.8535740063101913	0.8499797112567534	0.8906989696882301	0.8827500505864948	0.9540884019404785	0.9090179699282767	0.968105072941083	0.9855124114959474	0.873587070684672	0.8844183279247382	0.8631265995432208	0.8568357763189168	0.8556680518743616	0.8569635800663871	0.8578428948731472	0.8599255887594583	0.8607632814971956	0.932923510445824	0.9430664151377306	0.8903672900622287	0.9030034566174535	0.8534150613920921	0.8491491618933023	0.8500870351232506	0.8500870351232506	0.8538458436654651	0.8474047556828102	0.8553777973667345	0.853790019891817	0.8651091679482816	0.8648209330428721	0.9372065251373501	0.903673014257409	0.9346472265011635	0.8587894553806192	0.8559437845224802	0.8541916942866727	0.8462854684925908	0.8419180996455085	0.8304796048223666	0.830917354080186	0.8318865422631156	0.8327958540694705	0.830649909513993	0.8283502481000924	0.8259671370069437
F16H1	0.7959671642044699	1.0508804913186474	0.0	0.9320337830477845	0.8744594886655576	0.9257413539162147	0.9099487627514866	0.8998583946241016	0.9606682699750357	0.9682502324143378	0.982235354215147	0.9284389857223556	0.9137944459053288	0.9515165224538081	0.9857769672670867	0.9797205625662391	0.9057581087571742	0.9038333297685207	0.8995739488958568	0.8937823521950277	0.8948973305109315	0.8938357817797346	0.8958153415756663	0.8967054589758414	0.892745971418527	0.8882683739569323	0.9691743116380941	0.941052051533801	0.9304042728792852	0.9122174161761626	0.9022670820304145	0.9537025200273423	0.9987105752814307	1.0199530835284656	0.9975027777269694	1.0094702395404347	0.9329831289916414	0.9321724432427532	0.9868823485466797	0.9765691850569034	0.9792624418595686	0.9776732149900519	0.9940469404891361	0.9016070172516167	0.9345011304517837	0.9697349400103721	0.9204609841375655	0.9417681144394443	0.9550936797493642	0.9822806832144754	0.9849736356782135	0.9830489371772194	0.9758937903038326	0.9300730252091824	0.885692407855334	0.8908180129144282	0.8959785170095409	0.8952595964781783	0.8981637955673955	0.898787608701575	0.8981065163819628	0.8961693500348159	0.8985363375042671	0.8950222083450406	0.9004109117886059	0.8987043174587497	0.896545661556525	0.8965278827574835	0.892900426441318	0.8919664933737108	0.8926856731436184	0.8945426329256709	0.8954431254659331	0.8970332712445673	0.9036645524140883	0.9043328973154633	0.907203188960338	0.9067498095137928	0.9063348679791677	0.9027405729257298	0.9434598313572067	0.9355109122554712	1.0068492636094548	0.9617788315972531	1.0208659346100595	1.0382732731649238	0.9263479323536485	0.9371791895937146	0.9158874612121972	0.9095966379878933	0.908428913543338	0.9097244417353635	0.9106037565421237	0.9126864504284348	0.913524143166172	0.9856843721148003	0.995827276806707	0.9431281517312051	0.9557643182864299	0.9061759230610685	0.9019100235622787	0.902847896792227	0.902847896792227	0.9066067053344415	0.9001656173517866	0.9081386590357109	0.9065508815607934	0.917870029617258	0.9175817947118485	0.9899673868063266	0.9564338759263854	0.9874080881701399	0.9115503170495957	0.9087046461914566	0.9069525559556492	0.8990463301615672	0.8946789613144849	0.883240466491343	0.8836782157491624	0.8846474039320921	0.885556715738447	0.8834107711829694	0.8811111097690689	0.8787279986759201
S21H1	0.7188319756187908	0.9737453027329683	0.9320337830477845	0.0	0.7973243000798784	0.8486061653305356	0.8328135741658075	0.8227232060384224	0.8835330813893566	0.8911150438286587	0.9051001656294678	0.8513037971366765	0.8366592573196496	0.874381333868129	0.9086417786814076	0.9025853739805599	0.8286229201714951	0.8266981411828416	0.8224387603101777	0.8166471636093484	0.8177621419252523	0.8167005931940554	0.8186801529899872	0.8195702703901623	0.8156107828328478	0.8111331853712531	0.892039123052415	0.8639168629481219	0.853269084293606	0.8350822275904835	0.8251318934447354	0.8765673314416632	0.9215753866957516	0.9428178949427863	0.9203675891412902	0.9323350509547557	0.8558479404059622	0.855037254657074	0.9097471599610005	0.8994339964712242	0.9021272532738894	0.9005380264043727	0.9169117519034569	0.8244718286659376	0.8573659418661046	0.8925997514246929	0.8433257955518864	0.8646329258537652	0.8779584911636851	0.9051454946287962	0.9078384470925344	0.9059137485915403	0.8987586017181535	0.8529378366235033	0.8085572192696548	0.813682824328749	0.8188433284238618	0.8181244078924992	0.8210286069817163	0.8216524201158959	0.8209713277962837	0.8190341614491368	0.821401148918588	0.8178870197593615	0.8232757232029267	0.8215691288730705	0.8194104729708459	0.8193926941718044	0.8157652378556388	0.8148313047880317	0.8155504845579392	0.8174074443399918	0.8183079368802539	0.8198980826588882	0.8265293638284091	0.8271977087297842	0.8300680003746589	0.8296146209281137	0.8291996793934886	0.8256053843400507	0.8663246427715274	0.8583757236697921	0.9297140750237758	0.8846436430115739	0.9437307460243802	0.9611380845792447	0.8492127437679693	0.8600440010080355	0.8387522726265181	0.8324614494022141	0.8312937249576589	0.8325892531496843	0.8334685679564445	0.8355512618427556	0.8363889545804929	0.9085491835291213	0.9186920882210279	0.865992963145526	0.8786291297007508	0.8290407344753894	0.8247748349765995	0.8257127082065479	0.8257127082065479	0.8294715167487624	0.8230304287661074	0.8310034704500318	0.8294156929751143	0.8407348410315789	0.8404466061261694	0.9128321982206474	0.8792986873407063	0.9102728995844608	0.8344151284639165	0.8315694576057775	0.82981736736997	0.8219111415758881	0.8175437727288057	0.8061052779056639	0.8065430271634833	0.8075122153464129	0.8084215271527678	0.8062755825972903	0.8039759211833897	0.801592810090241
S12Hp	0.08421331484383117	0.8216986269965811	0.8744594886655576	0.7973243000798784	0.0	0.06716440449446055	0.05137181332973244	0.04128144520234736	0.10209132055328157	0.10967328299258364	0.12365840479339274	0.06986203630060143	0.0552174964835746	0.09293957303205391	0.12720001784533255	0.12114361314448491	0.04718115933542004	0.04525638034676653	0.04099699947410266	0.03520540277327342	0.03632038108917723	0.03525883235798038	0.03723839215391213	0.0381285095540872	0.0341690219967728	0.029691424535178104	0.1105973622163399	0.08247510211204681	0.07182732345753104	0.05364046675440836	0.04369013260866031	0.09512557060558816	0.14013362585967654	0.16137613410671134	0.1389258283052152	0.15089329011868058	0.07440617956988722	0.073595493820999	0.12830539912492545	0.11799223563514918	0.12068549243781435	0.1190962655682977	0.13546999106738186	0.0430300678298625	0.07592418103002954	0.11115799058861786	0.061884034715811345	0.08319116501769008	0.09651673032761005	0.1237037337927212	0.12639668625645933	0.12447198775546528	0.11731684088207842	0.07149607578742831	0.027115458433579764	0.03224106349267404	0.03740156758778676	0.03668264705642415	0.03958684614564131	0.04021065927982083	0.03952956696020866	0.037592400613061724	0.0399593880825129	0.0364452589232865	0.041833962366851725	0.04012736803699554	0.037968712134770856	0.037950933335729346	0.0343234770195638	0.033389543951956646	0.0341087237218642	0.035965683503916775	0.03686617604417891	0.03845632182281311	0.045087602992334136	0.045755947893709126	0.04862623953858381	0.04817286009203865	0.04775791855741354	0.04416362350397567	0.08488288193545243	0.07693396283371706	0.1482723141877007	0.10320188217549886	0.16228898518830523	0.17969632374316957	0.06777098293189429	0.07860224017196046	0.05731051179044305	0.05101968856613908	0.04985196412158385	0.05114749231360929	0.05202680712036949	0.054109501006680626	0.05494719374441783	0.12710742269304617	0.13725032738495285	0.08455120230945098	0.09718736886467574	0.04759897363931436	0.04333307414052445	0.04427094737047276	0.04427094737047276	0.04802975591268732	0.041588667930032436	0.04956170961395671	0.04797393213903928	0.059293080195503826	0.05900484529009435	0.13139043738457235	0.09785692650463121	0.1288311387483857	0.05297336762784148	0.05012769676970244	0.04837560653389499	0.04046938073981304	0.03610201189273065	0.024663517069588848	0.025101266327408164	0.026070454510337928	0.026979766316692744	0.024833821761215166	0.02253416034731468	0.020151049254165925
s24pp	0.1354951800944884	0.8729804922472383	0.9257413539162147	0.8486061653305356	0.06716440449446055	0.0	0.03169829120847866	0.032015494669559816	0.09282537002049404	0.10040733245979609	0.1143924542606052	0.06974357391218093	0.0550990340951541	0.09282111064363341	0.12708155545691205	0.12102515075606443	0.04706269694699955	0.04513791795834604	0.04087853708568217	0.040493046409072024	0.04160802472497584	0.04054647599377899	0.04252603578971073	0.04341615318988581	0.041743481926283056	0.041491150016617816	0.1223970876977796	0.09427482759348652	0.08362704893897074	0.06544019223584807	0.05548985809010002	0.10692529608702786	0.15193335134111624	0.17317585958815104	0.1507255537866549	0.16269301560012028	0.08620590505132693	0.08539521930243871	0.14010512460636515	0.1297919611165889	0.13248521791925405	0.1308959910497374	0.14726971654882157	0.054829793311302215	0.08772390651146925	0.12295771607005757	0.07368376019725105	0.09499089049912979	0.10831645580904975	0.1355034592741609	0.13819641173789904	0.13627171323690498	0.12911656636351812	0.08329580126886801	0.041830965138873986	0.04776529334167142	0.05292579743678413	0.05220687690542153	0.05511107599463869	0.055734889128818216	0.05505379680920604	0.05311663046205911	0.05548361793151028	0.05196948877228388	0.057358192215849105	0.05565159788599293	0.053492941983768236	0.053475163184726726	0.04984770686856117	0.04891377380095402	0.049632953570861574	0.051489913352914154	0.0523904058931763	0.053980551671810484	0.060611832841331516	0.0612801777427065	0.06415046938758119	0.06369708994103604	0.06328214840641092	0.05968785335297305	0.10040711178444982	0.09245819268271444	0.16379654403669808	0.11872611202449623	0.1778132150373026	0.19522055359216695	0.08329521278089166	0.09412647002095784	0.07283474163944043	0.06654391841513646	0.06537619397058123	0.06667172216260667	0.06755103696936687	0.069633730855678	0.07047142359341521	0.14263165254204355	0.15277455723395023	0.10007543215844836	0.11271159871367312	0.06312320348831174	0.05885730398952184	0.05979517721947014	0.05979517721947014	0.0635539857616847	0.057112897779029816	0.06508593946295409	0.06349816198803665	0.0748173100445012	0.07452907513909172	0.14691466723356972	0.11338115635362858	0.14435536859738307	0.06849759747683885	0.06565192661869981	0.06389983638289237	0.05599361058881042	0.05162624174172803	0.04380534521160372	0.05113858409268113	0.05210777227561089	0.053017084081965704	0.05087113952648813	0.04857147811258764	0.05475948162058002
s29pp	0.1197025889297603	0.8571879010825102	0.9099487627514866	0.8328135741658075	0.05137181332973244	0.03169829120847866	0.0	0.016222903504831708	0.07703277885576593	0.08461474129506798	0.09859986309587708	0.05395098274745282	0.03930644293042599	0.0770285194789053	0.11128896429218395	0.10523255959133632	0.031270105782271435	0.029345326793617933	0.02508594592095406	0.024700455244343916	0.025815433560247722	0.024753884829050873	0.026733444624982623	0.027623562025157696	0.025950890761554945	0.025698558851889704	0.1066044965330515	0.0784822364287584	0.06783445777424263	0.04964760107111996	0.03969726692537191	0.09113270492229976	0.13614076017638813	0.15738326842342293	0.13493296262192678	0.1469004244353922	0.07041331388659883	0.06960262813771059	0.12431253344163705	0.11399936995186079	0.11669262675452594	0.1151033998850093	0.13147712538409345	0.03903720214657411	0.07193131534674113	0.10716512490532945	0.05789116903252294	0.07919829933440167	0.09252386464432164	0.1197108681094328	0.12240382057317092	0.12047912207217687	0.11332397519879	0.0675032101041399	0.02603837397414588	0.03197270217694331	0.03713320627205603	0.03641428574069342	0.039318484829910585	0.03994229796409011	0.03926120564447793	0.037324039297330996	0.03969102676678217	0.03617689760755577	0.041565601051121	0.03985900672126482	0.03770035081904013	0.03768257201999862	0.034055115703833065	0.03312118263622591	0.033840362406133466	0.03569732218818604	0.03659781472844818	0.03818796050708238	0.04481924167660341	0.0454875865779784	0.04835787822285308	0.047904498776307924	0.047489557241682814	0.043895262188244945	0.08461452061972172	0.07666560151798632	0.14800395287197	0.10293352085976813	0.1620206238725745	0.17942796242743886	0.06750262161616356	0.07833387885622972	0.05704215047471232	0.05075132725040835	0.049583602805853125	0.05087913099787856	0.05175844580463876	0.05384113969094989	0.054678832428687096	0.12683906137731543	0.13698196606922214	0.08428284099372024	0.09691900754894502	0.04733061232358363	0.043064712824793724	0.044002586054742034	0.044002586054742034	0.047761394596956594	0.04132030661430171	0.04929334829822598	0.04770557082330855	0.05902471887977309	0.05873648397436362	0.13112207606884163	0.09758856518890048	0.12856277743265498	0.052705006312110746	0.04985933545397171	0.048107245218164264	0.040201019424082315	0.03583365057699992	0.028012754046875615	0.03534599292795301	0.03631518111088278	0.037224492917237596	0.03507854836176002	0.032778886947859534	0.0389668904558519
w28pp	0.1096122208023752	0.8470975329551251	0.8998583946241016	0.8227232060384224	0.04128144520234736	0.032015494669559816	0.016222903504831708	0.0	0.060811875351934275	0.06839383779123633	0.08237895959204543	0.043860614620067746	0.029216074803040917	0.06693815135152023	0.10119859616479887	0.09514219146395124	0.021179737654886364	0.01925495866623286	0.014995577793568984	0.014610087116958843	0.015725065432862652	0.0146635167016658	0.016643076497597546	0.017533193897772623	0.01586052263416987	0.015608190724504629	0.09651412840566642	0.06839186830137332	0.05774408964685756	0.03955723294373488	0.029606898797986836	0.08104233679491468	0.12605039204900303	0.14729290029603787	0.12484259449454171	0.1368100563080071	0.06032294575921374	0.05951226001032552	0.11422216531425197	0.10390900182447571	0.10660225862714086	0.10501303175762422	0.12138675725670839	0.02894683401918903	0.06184094721935606	0.09707475677794437	0.047800800905137865	0.0691079312070166	0.08243349651693656	0.10962049998204772	0.11231345244578585	0.11038875394479179	0.10323360707140493	0.05741284197675483	0.015948005846760798	0.021882334049558236	0.02704283814467095	0.02632391761330834	0.029228116702525505	0.029851929836705027	0.02917083751709285	0.02723367116994592	0.029600658639397093	0.026086529480170692	0.03147523292373592	0.02976863859387974	0.02760998269165505	0.027592203892613538	0.023964747576447988	0.023030814508840834	0.02374999427874839	0.025606954060800963	0.026507446601063106	0.0280975923796973	0.03472887354921833	0.035397218450593314	0.038267510095468006	0.03781413064892285	0.03739918911429774	0.03380489406085987	0.07452415249233663	0.06657523339060124	0.1379135847445849	0.09284315273238306	0.15193025574518942	0.16933759430005377	0.057412253488778486	0.06824351072884464	0.04695178234732724	0.040660959123023276	0.03949323467846805	0.04078876287049348	0.04166807767725368	0.043750771563564814	0.04458846430130202	0.11674869324993037	0.12689159794183705	0.07419247286633517	0.08682863942155994	0.037240244196198556	0.03297434469740865	0.03391221792735696	0.03391221792735696	0.03767102646957152	0.03122993848691663	0.0392029801708409	0.03761520269592347	0.048934350752388014	0.04864611584697854	0.12103170794145654	0.0874981970615154	0.1184724093052699	0.04261463818472567	0.039768967326586635	0.03801687709077919	0.03011065129669724	0.02574328244961484	0.017922385919490535	0.025255624800567936	0.0262248129834977	0.027134124789852516	0.024988180234374935	0.022688518820474454	0.028876522328466818
s23pp	0.17042209615330944	0.9079074083060593	0.9606682699750357	0.8835330813893566	0.10209132055328157	0.09282537002049404	0.07703277885576593	0.060811875351934275	0.0	0.1049009243403212	0.1321786595029504	0.10467048997100198	0.09002595015397513	0.12774802670245444	0.1620084715157331	0.15595206681488546	0.08198961300582058	0.08006483401716707	0.07580545314450321	0.07541996246789306	0.07653494078379687	0.07547339205260002	0.07745295184853176	0.07834306924870685	0.07667039798510408	0.07641806607543884	0.15732400375660063	0.12920174365230752	0.11855396499779178	0.10036710829466909	0.09041677414892105	0.1418522121458489	0.18686026739993727	0.20810277564697208	0.18565246984547593	0.19761993165894132	0.12113282111014795	0.12032213536125974	0.17503204066518618	0.16471887717540992	0.16741213397807508	0.16582290710855843	0.1821966326076426	0.08975670937012324	0.12265082257029028	0.1578846321288786	0.10861067625607207	0.12991780655795082	0.14324337186787078	0.17043037533298194	0.17312332779672007	0.171198629295726	0.16404348242233913	0.11822271732768905	0.076757881197695	0.08269220940049245	0.08785271349560517	0.08713379296424255	0.09003799205345972	0.09066180518763924	0.08998071286802706	0.08804354652088013	0.0904105339903313	0.0868964048311049	0.09228510827467012	0.09057851394481395	0.08841985804258926	0.08840207924354775	0.08477462292738219	0.08384068985977505	0.0845598696296826	0.08641682941173517	0.08731732195199732	0.08890746773063152	0.09553874890015254	0.09620709380152753	0.09907738544640221	0.09862400599985706	0.09820906446523195	0.09461476941179409	0.13533402784327084	0.12738510874153547	0.1987234600955191	0.15365302808331727	0.21274013109612364	0.23014746965098798	0.1182221288397127	0.12905338607977887	0.10776165769826146	0.1014708344739575	0.10030311002940226	0.1015986382214277	0.1024779530281879	0.10456064691449903	0.10539833965223623	0.17755856860086458	0.18770147329277126	0.1350023482172694	0.14763851477249415	0.09805011954713277	0.09378422004834286	0.09472209327829118	0.09472209327829118	0.09848090182050573	0.09203981383785084	0.10001285552177511	0.09842507804685768	0.10974422610332223	0.10945599119791274	0.18184158329239075	0.14830807241244962	0.1792822846562041	0.10342451353565987	0.10057884267752085	0.0988267524417134	0.09092052664763145	0.08655315780054905	0.07873226127042475	0.08606550015150215	0.08703468833443193	0.08794400014078674	0.08579805558530916	0.08349839417140867	0.08968639767940104
F6H1	0.17800405859261148	0.9154893707453614	0.9682502324143378	0.8911150438286587	0.10967328299258364	0.10040733245979609	0.08461474129506798	0.06839383779123633	0.1049009243403212	0.0	0.13976062194225247	0.11225245241030402	0.0976079125932772	0.1353299891417565	0.16959043395503515	0.16353402925418753	0.08957157544512263	0.08764679645646914	0.08338741558380526	0.08300192490719512	0.08411690322309892	0.08305535449190207	0.08503491428783382	0.08592503168800888	0.08425236042440613	0.0840000285147409	0.1649059661959027	0.13678370609160959	0.12613592743709381	0.10794907073397114	0.0979987365882231	0.14943417458515096	0.1944422298392393	0.21568473808627414	0.193234432284778	0.20520189409824335	0.12871478354945	0.12790409780056178	0.18261400310448822	0.172300839614712	0.17499409641737712	0.1734048695478605	0.18977859504694466	0.09733867180942529	0.13023278500959232	0.16546659456818064	0.11619263869537413	0.13749976899725286	0.15082533430717282	0.17801233777228398	0.1807052902360221	0.17878059173502805	0.1716254448616412	0.12580467976699108	0.08433984363699705	0.0902741718397945	0.09543467593490722	0.0947157554035446	0.09761995449276177	0.09824376762694129	0.09756267530732911	0.09562550896018218	0.09799249642963336	0.09447836727040695	0.09986707071397219	0.098160476384116	0.09600182048189132	0.0959840416828498	0.09235658536668426	0.09142265229907709	0.09214183206898466	0.09399879185103723	0.09489928439129937	0.09648943016993357	0.1031207113394546	0.10378905624082958	0.10665934788570428	0.10620596843915911	0.105791026904534	0.10219673185109612	0.1429159902825729	0.1349670711808375	0.20630542253482115	0.1612349905226193	0.2203220935354257	0.23772943209029002	0.12580409127901476	0.1366353485190809	0.1153436201375635	0.10905279691325953	0.10788507246870431	0.10918060066072974	0.11005991546748994	0.11214260935380108	0.11298030209153828	0.18514053104016664	0.1952834357320733	0.14258431065657143	0.15522047721179622	0.10563208198643481	0.10136618248764491	0.10230405571759321	0.10230405571759321	0.10606286425980778	0.0996217762771529	0.10759481796107717	0.10600704048615973	0.11732618854262428	0.11703795363721481	0.1894235457316928	0.15589003485175168	0.18686424709550614	0.11100647597496194	0.1081608051168229	0.10640871488101544	0.0985024890869335	0.0941351202398511	0.0863142237097268	0.0936474625908042	0.09461665077373396	0.09552596258008879	0.09338001802461121	0.09108035661071072	0.09726836011870309
