	f16ppB	f13pp	S9H1	w25pp	w10pp	f20ppB	w23pp	f21pp	f14ppA	f31pp	f12ppB	f7pp	f24pp	f8pp	f30pp	f23ppA	w31pp	w24pp	w29pp	w27pp	f16ppA	w2pp	w16pp	f23ppB	w11pp	f10pp	w26pp	S14Hp	w12pp	w18pp	f6ppA	w32pp	w6pp	530451	S18H1	f2pp	f17ppB	f12ppA	w28pp	f11pp	f20ppA	w20pp	f14ppB	S12Hp	w3pp	w1pp	f19pp	w15pp	w19pp	f6ppB	f15pp	w13pp	w14pp	w22pp	w8pp	w17pp	f32pp
f16ppB	0.0	0.18926568859234247	0.320660516032566	0.30284365121029694	0.1364045364311679	0.23871340771233618	0.20153383227987146	0.31234574323012204	0.2989647260002186	0.3144775551635021	0.2537931531111252	0.34448091867691133	0.21436632362786037	0.29690991464935634	0.26180035393176365	0.3009080865156316	0.28129128881344945	0.2246517917897441	0.29953117483090896	0.24760525406404696	0.3009771805279877	0.36150907505924823	0.23148122140146668	0.2693026446269374	0.26253752927159013	0.20502117510637063	0.27032743033413975	0.4800373536730937	0.33066682035395445	0.32629857607014484	0.38887172747464094	0.49980717820895487	0.42076682021211065	0.6090936380339897	0.546096606454888	0.34135344541565565	0.3604993902589192	0.4490524343226314	0.33159553086679	0.29595437004572306	0.25424093439143736	0.32500041183215894	0.3035013028213489	0.48365512933971455	0.5000008174470454	0.4159622540051996	0.36445646715073626	0.4929289721962108	0.41410927344285836	0.46281854016804985	0.35745369740464555	0.4503925722097048	0.32431336874030725	0.14829324227459295	0.18808109792598052	0.15229370517207763	0.19932351977920612
f13pp	0.18926568859234247	0.0	0.18560543077676345	0.16778856595449437	0.05286315216217463	0.20282659577644807	0.16564702034398335	0.27645893129423393	0.26307791406433045	0.278590743227614	0.21790634117523705	0.3085941067410232	0.17847951169197226	0.2610231027134682	0.22591354199587554	0.2650212745797435	0.24540447687756134	0.18876497985385599	0.26364436289502086	0.21171844212815882	0.26509036859209956	0.3256222631233601	0.19559440946557854	0.23341583269104932	0.22665071733570197	0.16913436317048253	0.23444061839825164	0.44415054173720553	0.29478000841806634	0.29041176413425673	0.3529849155387528	0.4639203662730667	0.3848800082762225	0.5732068260981016	0.5102097945189998	0.30546663347976755	0.3246125783230311	0.41316562238674326	0.2957087189309019	0.2600675581098349	0.21835412245554925	0.28911359989627083	0.2676144908854608	0.4477683174038264	0.4641140055111573	0.38007544206931143	0.3285696552148481	0.4570421602603226	0.3782224615069702	0.4269317282321617	0.32156688546875745	0.41450576027381664	0.28842655680441914	0.11240643033870484	0.22860845895775023	0.22585015772304665	0.3304435797352344
S9H1	0.320660516032566	0.18560543077676345	0.0	0.21692543538863718	0.18425797960239812	0.3342214232166716	0.29704184778420684	0.4078537587344574	0.3944727415045539	0.4099855706678375	0.34930116861546057	0.43998893418124674	0.30987433913219575	0.3924179301536917	0.357308369436099	0.396416102019967	0.37679930431778486	0.3201598072940795	0.3950391903352444	0.34311326956838234	0.396485196032323	0.45701709056358364	0.32698923690580206	0.36481066013127283	0.3580455447759255	0.30052919061070604	0.36583544583847516	0.575545369177429	0.42617483585828986	0.4218065915744802	0.4843797429789763	0.5953151937132902	0.516274835716446	0.704601653538325	0.6416046219592233	0.436861460919991	0.4560074057632546	0.5445604498269667	0.42710354637112535	0.3914623855500584	0.34974894989577276	0.4205084273364943	0.3990093183256843	0.57916314484405	0.5955088329513808	0.511470269509535	0.4599644826550716	0.5884369877005462	0.5096172889471937	0.5583265556723852	0.4529617129089809	0.5459005877140402	0.41982138424464266	0.24380125777892836	0.36000328639797374	0.3572449851632702	0.46183840717545793
w25pp	0.30284365121029694	0.16778856595449437	0.21692543538863718	0.0	0.16644111478012905	0.3164045583944025	0.27922498296193776	0.3900368939121883	0.37665587668228484	0.3921687058455684	0.3314843037931915	0.42217206935897766	0.2920574743099267	0.3746010653314226	0.33949150461382993	0.37859923719769795	0.3589824394955158	0.3023429424718104	0.3772223255129753	0.32529640474611327	0.37866833121005394	0.43920022574131456	0.309172372083533	0.34699379530900376	0.3402286799536564	0.28271232578843697	0.3480185810162061	0.55772850435516	0.4083579710360208	0.4039897267522111	0.4665628781567072	0.5774983288910212	0.4984579708941769	0.686784788716056	0.6237877571369543	0.41904459609772193	0.43819054094098553	0.5267435850046978	0.4092866815488563	0.37364552072778934	0.3319320850735037	0.4026915625142252	0.38119245350341524	0.5613462800217808	0.5776919681291117	0.4936534046872659	0.44214761783280254	0.570620122878277	0.49180042412492464	0.5405096908501161	0.43514484808671183	0.5280837228917711	0.4020045194223736	0.22598439295665929	0.34218642157570467	0.3394281203410011	0.44402154235318886
w10pp	0.1364045364311679	0.05286315216217463	0.18425797960239812	0.16644111478012905	0.0	0.14996544361527347	0.11278586818280878	0.22359777913305934	0.21021676190315586	0.22572959106643942	0.16504518901406248	0.2557329545798486	0.1256183595307977	0.2081619505522936	0.17305238983470095	0.2121601224185689	0.19254332471638674	0.13590382769268142	0.21078321073384626	0.15885728996698426	0.21222921643092496	0.2727611109621855	0.14273325730440398	0.18055468052987472	0.1737895651745274	0.11627321100930794	0.18157946623707705	0.391289389576031	0.24191885625689175	0.23755061197308214	0.30012376337757823	0.41105921411189217	0.33201885611504794	0.520345673936927	0.4573486423578253	0.25260548131859295	0.2717514261618565	0.3603044702255687	0.2428475667697273	0.20720640594866033	0.16549297029437465	0.23625244773509624	0.2147533387242862	0.39490716524265185	0.41125285334998274	0.3272142899081369	0.27570850305367356	0.4041810080991481	0.32536130934579566	0.37407057607098715	0.26870573330758285	0.3616446081126421	0.23556540464324455	0.059545278177530275	0.17574730679657566	0.17298900556187208	0.2775824275740598
f20ppB	0.23871340771233618	0.20282659577644807	0.3342214232166716	0.3164045583944025	0.14996544361527347	0.0	0.10247347221118555	0.2420788157805583	0.2286977985506548	0.24421062771393837	0.1835262256615614	0.2742139912273476	0.1440993961782966	0.22664298719979253	0.1915334264821999	0.23064115906606786	0.2110243613638857	0.15438486434018034	0.2292642473813452	0.17733832661448318	0.2307102530784239	0.2912421476096845	0.1612142939519029	0.19903571717737364	0.19227060182202632	0.13475424765680685	0.20006050288457597	0.4097704262235299	0.2603998929043907	0.2560316486205811	0.31860480002507713	0.42954025075939106	0.35049989276254684	0.5388267105844259	0.4758296790053242	0.2710865179660919	0.29023246280935544	0.3787855068730676	0.26132860341722625	0.22568744259615925	0.1839740069418736	0.2547334843825952	0.23323437537178515	0.41338820189015074	0.42973388999748163	0.3456953265556358	0.29418953970117245	0.422662044746647	0.34384234599329455	0.39255161271848604	0.2871867699550818	0.380125644760141	0.2540464412907435	0.13647556603284566	0.27805617807774397	0.27529787684304036	0.3798912988552281
w23pp	0.20153383227987146	0.16564702034398335	0.29704184778420684	0.27922498296193776	0.11278586818280878	0.10247347221118555	0.0	0.20489924034809356	0.19151822311819008	0.20703105228147364	0.1463466502290967	0.23703441579488285	0.1069198207458319	0.18946341176732784	0.15435385104973517	0.19346158363360313	0.17384478593142097	0.11720528890771562	0.1920846719488805	0.14015875118201848	0.1935306776459592	0.2540625721772197	0.12403471851943819	0.16185614174490892	0.15509102638956163	0.09757467222434213	0.16288092745211125	0.37259085079106513	0.22322031747192597	0.21885207318811636	0.28142522459261243	0.3923606753269263	0.31332031733008214	0.5016471351519611	0.4386501035728595	0.23390694253362718	0.2530528873768907	0.3416059314406029	0.22414902798476152	0.18850786716369455	0.14679443150940888	0.21755390895013046	0.19605479993932043	0.37620862645768605	0.3925543145650169	0.3085157511231711	0.2570099642687077	0.3854824693141823	0.3066627705608298	0.3553720372860213	0.2500071945226171	0.34294606932767624	0.21686686585827877	0.09929599060038094	0.24087660264527921	0.23811830141057563	0.3427117234227634
f21pp	0.31234574323012204	0.27645893129423393	0.4078537587344574	0.3900368939121883	0.22359777913305934	0.2420788157805583	0.20489924034809356	0.0	0.16306703077407958	0.1785818599383632	0.11789745788598624	0.20858522345177238	0.1264782112159398	0.20902180223743572	0.17391224151984308	0.21301997410371104	0.19340317640152888	0.14967547376300308	0.22455485680416795	0.17262893603730592	0.22600086250124662	0.2865327570325072	0.19295956927085298	0.23078099249632372	0.2240158771409764	0.16649952297575693	0.23180577820352605	0.44151570154247993	0.29214516822334075	0.28777692393953114	0.3503500753440272	0.4612855260783411	0.3822451680814969	0.570571985903376	0.5075749543242742	0.30283179328504195	0.32197773812830555	0.41053078219201766	0.2930738787361763	0.25743271791510935	0.21571928226082365	0.28647875970154524	0.2649796506907352	0.4451334772091008	0.4614791653164317	0.37744060187458583	0.3259348150201225	0.45440732006559703	0.3755876213122446	0.4242968880374361	0.31893204527403185	0.41187092007909104	0.28579171660969355	0.21010790155063153	0.3516885135955298	0.3489302123608262	0.45352363437301396
f14ppA	0.2989647260002186	0.26307791406433045	0.3944727415045539	0.37665587668228484	0.21021676190315586	0.2286977985506548	0.19151822311819008	0.16306703077407958	0.0	0.16520084270845975	0.10451644065608279	0.19520420622186896	0.11309719398603633	0.1956407850075323	0.16053122428993963	0.19963895687380756	0.1800221591716254	0.13629445653309963	0.2111738395742645	0.15924791880740247	0.21261984527134317	0.27315173980260377	0.17957855204094952	0.21739997526642027	0.21063485991107295	0.15311850574585348	0.2184247609736226	0.4281346843125765	0.2787641509934373	0.27439590670962766	0.33696905811412375	0.4479045088484377	0.36886415085159346	0.5571909686734725	0.49419393709437076	0.2894507760551385	0.30859672089840207	0.3971497649621142	0.2796928615062728	0.24405170068520587	0.20233826503092023	0.2730977424716418	0.2515986334608318	0.4317524599791973	0.44809814808652826	0.3640595846446824	0.3125537977902191	0.44102630283569355	0.3622066040823412	0.41091587080753267	0.30555102804412837	0.3984899028491876	0.2724106993797901	0.19672688432072805	0.3383074963656263	0.33554919513092274	0.44014261714311054
f31pp	0.3144775551635021	0.278590743227614	0.4099855706678375	0.3921687058455684	0.22572959106643942	0.24421062771393837	0.20703105228147364	0.1785818599383632	0.16520084270845975	0.0	0.060686402053377025	0.15965199533274227	0.1286100231493199	0.21115361417081585	0.1760440534532232	0.21515178603709112	0.19553498833490895	0.1518072856963832	0.22668666873754806	0.17476074797068603	0.22813267443462673	0.2886645689658873	0.19509138120423308	0.23291280442970383	0.2261476890743565	0.16863133490913704	0.23393759013690615	0.44364751347586007	0.2942769801567209	0.2899087358729112	0.3524818872774073	0.46341733801172125	0.384376980014877	0.5727037978367561	0.5097067662576543	0.3049636052184221	0.3241095500616856	0.41266259412539774	0.2952056906695564	0.25956452984848943	0.2178510941942038	0.2886105716349254	0.26711146262411534	0.44726528914248087	0.4636109772498118	0.37957241380796597	0.32806662695350264	0.4565391319989771	0.37771943324562474	0.4264286999708162	0.32106385720741193	0.4140027320124712	0.2879235285430737	0.2122397134840116	0.35382032552890985	0.3510620242942063	0.45565544630639404
