	f13pp	f16ppA	w16pp	w19pp	S19H1	f3pp	s3pp	f30pp	w3pp	s30pp	f17ppB	f4pp	w1pp	f1pp	f17ppA	w11pp	f12ppA	s1pp	f14ppB	S3Hp	F1H1	f20ppA	w20pp	s29pp	w29pp	f21pp	w12pp	f20ppB	s18pp	w18pp	w31pp	f23ppA	f25pp	f16ppB	w10pp	s10pp	w25pp	s25pp	w24pp	S4Hp	w9pp	w26pp	f26pp	S26Hp	s26pp	s12pp	f6ppB	f18pp	f31pp	w13pp	f12ppB	w7pp	s7pp	s8pp	s13pp	w8pp	w32pp	s32pp	w6pp	f6ppA	s20pp	w17pp	f22ppB	w22pp	f22ppA	s22pp	f32pp	s31pp	s19pp	s24pp	F3H1	s14pp	S18H1	S20H1	w14pp	f15pp	w15pp	s15pp	f29pp	f10pp	f14ppA	f19pp	f11pp	f24pp	f28pp	w28pp	s28pp	f9pp	f2pp	w2pp	s2pp	F7H1	S8Hp	w4pp	S2Hp	F14H1A	F8H1	s11pp	S27H1	S14Hp	s9pp	s17pp	S12Hp	S15Hp	S16H2	w23pp	s23pp	w27pp	s27pp	s21pp	w21pp	f8pp	f23ppB	f7pp
f13pp	0.0	0.019687327609046245	0.024950739769219788	0.02062861248616836	0.23594530269685887	0.11619231701271264	0.055948072303986324	0.0436773340687047	0.04160831757374978	0.05292660589886615	0.022890271360578595	0.02336483661928714	0.025538790393597546	0.025233275572026852	0.042876124343062344	0.037678524599381986	0.02667938586317394	0.0678024124618988	0.02775850141903319	0.23705822680360614	0.2429141947841272	0.03191408152022997	0.044304421727229766	0.04289610349808284	0.04289610349808284	0.038292135810770275	0.03547734906035892	0.06119610164859199	0.0477327158449563	0.04899645029369901	0.06648646378990312	0.053542154230142025	0.03588058537959055	0.03884404941730347	0.045507835915291915	0.07494733703937574	0.050205347326405136	0.05756007297432318	0.028294826733458133	0.26138409055353934	0.09028911049745031	0.061159872348079146	0.08308917944391327	0.27631142150097643	0.12146347010240767	0.033671773631123336	0.07560182534688706	0.05971956557028218	0.07765828295529903	0.049932043630340026	0.038275530645943016	0.09996123646646013	0.08005667823408459	0.07016761766703795	0.08075991986839162	0.10151704187859914	0.06275067508023112	0.07110837982311323	0.0873696325787881	0.06851924446225695	0.14168154844665817	0.03842367550436381	0.04971024128109216	0.06678373677505964	0.07317304086370646	0.05768738935634497	0.03070336049002149	0.07742317696567949	0.1344944287990949	0.034551565400932155	0.2776220419594374	0.21013169088597333	0.18554695853265155	0.2521895269523874	0.041058906693786	0.057707447836063255	0.06285951413762024	0.0762361469671732	0.03269496666643044	0.03004115237937319	0.024984158238578743	0.023441789206377586	0.024652014667635145	0.01732835635992771	0.056647799498229	0.053668520296669936	0.05553543231759665	0.04608437281543106	0.04211575299059525	0.04365306617684301	0.04365306617684301	0.25069606213751383	0.12598070769013578	0.06122877091057543	0.2935714973591496	0.2997894272647225	0.2609575461984563	0.16149695378036058	0.27719479143859016	0.26648878570861284	0.044679166075597014	0.10520148753956025	0.1314813317543536	0.26770772943914056	0.2809486307804696	0.10891623990961276	0.15345964966566913	0.0746889841399602	0.07020065809299585	0.06955996062874067	0.06080725454075346	0.021096323115503954	0.023701535946884202	0.00630323066584642
f16ppA	0.019687327609046245	0.0	0.005265412161173599	0.008268866088706531	0.23372475952193472	0.11397177383778848	0.05372752912906217	0.04145679089378054	0.03938777439882563	0.05070606272394199	0.020669728185654435	0.021144293444362985	0.023318247218673385	0.0230127323971027	0.049230324939831725	0.04403272519615137	0.033033586459943316	0.07415661305866818	0.03411270201580257	0.24341242740037553	0.2492683953808966	0.03826828211699935	0.05065862232399915	0.04925030409485222	0.04925030409485222	0.04464633640753966	0.0418315496571283	0.06755030224536138	0.05408691644172568	0.055350650890468395	0.0728406643866725	0.059896354826911406	0.042234785976359934	0.04519825001407285	0.051862036512061296	0.08130153763614512	0.05655954792317452	0.06391427357109256	0.03464902733022751	0.2677382911503087	0.09664331109421968	0.06751407294484853	0.08944338004068264	0.2826656220977458	0.12781767069917704	0.04002597422789272	0.08195602594365643	0.06607376616705156	0.0840124835520684	0.05628624422710941	0.0446297312427124	0.1063154370632295	0.08641087883085397	0.07652181826380733	0.087114120465161	0.10787124247536851	0.0691048756770005	0.0774625804198826	0.09372383317555748	0.07487344505902632	0.14803574904342756	0.04477787610113319	0.05606444187786154	0.07313793737182903	0.07952724146047584	0.06404158995311435	0.03705756108679087	0.08377737756244887	0.1408486293958643	0.040905765997701536	0.2839762425562068	0.21648589148274272	0.19190115912942093	0.2585437275491568	0.04741310729055538	0.06406164843283263	0.06921371473438961	0.08259034756394257	0.03904916726319982	0.03639535297614257	0.03133835883534812	0.029795989803146964	0.031006215264404523	0.023682556956697087	0.06300200009499837	0.06002272089343932	0.061889632914366034	0.05243857341220044	0.04846995358736463	0.05000726677361239	0.05000726677361239	0.2570502627342832	0.13233490828690514	0.06758297150734481	0.299925697955919	0.3061436278614919	0.2673117467952257	0.16785115437712997	0.28354899203535955	0.27284298630538223	0.051033366672366395	0.11155568813632963	0.13783553235112295	0.27406193003590995	0.287302831377239	0.11527044050638213	0.15981385026243852	0.08104318473672957	0.07655485868976522	0.07591416122551005	0.06716145513752284	0.02745052371227333	0.03005573654365358	0.017995454437424615
w16pp	0.024950739769219788	0.005265412161173599	0.0	0.013532278248880071	0.23898817168210826	0.11923518599796201	0.05899094128923571	0.046720203053954086	0.044651186558999176	0.055969474884115536	0.025933140345827978	0.026407705604536525	0.02858165937884693	0.02827614455727624	0.05449373710000527	0.04929613735632491	0.03829699862011686	0.07942002521884173	0.03937611417597611	0.24867583956054906	0.25453180754107013	0.04353169427717289	0.05592203448417269	0.05451371625502576	0.05451371625502576	0.0499097485677132	0.04709496181730184	0.07281371440553491	0.059350328601899226	0.06061406305064194	0.07810407654684605	0.06515976698708495	0.04749819813653348	0.05046166217424639	0.05712544867223484	0.08656494979631865	0.06182296008334806	0.0691776857312661	0.039912439490401054	0.2730017033104823	0.10190672325439323	0.07277748510502208	0.09470679220085618	0.2879290342579194	0.13308108285935058	0.04528938638806626	0.08721943810382998	0.07133717832722511	0.08927589571224195	0.06154965638728295	0.04989314340288594	0.11157884922340305	0.0916742909910275	0.08178523042398086	0.09237753262533455	0.11313465463554206	0.07436828783717404	0.08272599258005614	0.09898724533573103	0.08013685721919987	0.1532991612036011	0.050041288261306736	0.06132785403803508	0.07840134953200256	0.08479065362064939	0.0693050021132879	0.04232097324696441	0.08904078972262242	0.14611204155603782	0.04616917815787508	0.28923965471638036	0.22174930364291626	0.19716457128959447	0.26380713970933034	0.052676519450728924	0.06932506059300618	0.07447712689456316	0.0878537597241161	0.04431257942337336	0.04165876513631611	0.036601770995521664	0.03505940196332051	0.036269627424578066	0.02894596911687063	0.06826541225517192	0.06528613305361286	0.06715304507453958	0.057701985572373986	0.053733365747538175	0.055270678933785934	0.055270678933785934	0.2623136748944568	0.13759832044707868	0.07284638366751836	0.30518911011609257	0.31140704002166547	0.27257515895539924	0.1731145665373035	0.2888124041955331	0.2781063984655558	0.05629677883253994	0.11681910029650316	0.1430989445112965	0.2793253421960835	0.29256624353741256	0.12053385266655567	0.16507726242261206	0.08630659689690312	0.08181827084993876	0.0811775733856836	0.07242486729769639	0.03271393587244688	0.03531914870382712	0.023258866597598158
w19pp	0.02062861248616836	0.008268866088706531	0.013532278248880071	0.0	0.23466604439905683	0.11491305871491059	0.054668814006184285	0.042398075770902655	0.040329059275947744	0.05164734760106411	0.02161101306277655	0.022085578321485097	0.0242595320957955	0.02395401727422481	0.05017160981695384	0.04497401007327348	0.03397487133706543	0.07509789793579029	0.03505398689292468	0.24435371227749764	0.2502096802580187	0.03920956699412146	0.05159990720112126	0.05019158897197433	0.05019158897197433	0.04558762128466177	0.04277283453425041	0.06849158712248349	0.055028201318847794	0.056291935767590506	0.07378194926379462	0.06083763970403352	0.043176070853482046	0.04613953489119496	0.05280332138918341	0.08224282251326723	0.05750083280029663	0.06485555844821468	0.03559031220734962	0.26867957602743087	0.0975845959713418	0.06845535782197064	0.09038466491780475	0.28360690697486796	0.12875895557629916	0.04096725910501483	0.08289731082077854	0.06701505104417367	0.08495376842919052	0.05722752910423152	0.04557101611983451	0.10725672194035162	0.08735216370797608	0.07746310314092944	0.08805540534228311	0.10881252735249063	0.07004616055412262	0.07840386529700472	0.09466511805267959	0.07581472993614845	0.14897703392054967	0.045719160978255305	0.05700572675498365	0.07407922224895114	0.08046852633759795	0.06498287483023647	0.03799884596391298	0.08471866243957098	0.1417899142729864	0.04184705087482365	0.28491752743332893	0.21742717635986483	0.19284244400654305	0.2594850124262789	0.04835439216767749	0.06500293330995476	0.07015499961151174	0.08353163244106468	0.03999045214032193	0.03733663785326468	0.03227964371247023	0.03073727468026908	0.031947500141526634	0.0246238418338192	0.0639432849721205	0.06096400577056143	0.06283091779148815	0.053379858289322554	0.049411238464486744	0.0509485516507345	0.0509485516507345	0.25799154761140536	0.13327619316402725	0.06852425638446692	0.30086698283304114	0.30708491273861405	0.2682530316723478	0.16879243925425208	0.2844902769124817	0.27378427118250437	0.05197465154948851	0.11249697301345174	0.1387768172282451	0.2750032149130321	0.28824411625436114	0.11621172538350424	0.16075513513956063	0.08198446961385168	0.07749614356688733	0.07685544610263216	0.06810274001464496	0.028391808589395447	0.03099702142077569	0.01893673931454673
S19H1	0.23594530269685887	0.23372475952193472	0.23898817168210826	0.23466604439905683	0.0	0.3111698657692509	0.2509256210605245	0.23865488282524291	0.236585866330288	0.24790415465540436	0.2178678201171168	0.2299396186070303	0.2321135723813407	0.23180805755977	0.26548830002764434	0.260290700283964	0.24929156154775595	0.2904145881464808	0.2503706771036152	0.45967040248818813	0.46552637046870926	0.254526257204812	0.2669165974118118	0.26550827918266484	0.26550827918266484	0.2609043114953523	0.25808952474494096	0.283808277333174	0.27034489152953833	0.27160862597828106	0.28909863947448516	0.27615432991472405	0.25849276106417257	0.2614562251018855	0.2681200115998739	0.29755951272395775	0.27281752301098716	0.2801722486589052	0.25090700241804015	0.48399626623812136	0.31290128618203233	0.28377204803266115	0.3057013551284953	0.49892359718555845	0.3440756457869897	0.25628394931570536	0.29821400103146906	0.2823317412548642	0.30027045863988105	0.27254421931492206	0.26088770633052505	0.3225734121510421	0.3026688539186666	0.29277979335161997	0.3033720955529736	0.32412921756318114	0.28536285076481316	0.29372055550769527	0.30998180826337013	0.29113142014683896	0.36429372413124017	0.26103585118894584	0.27232241696567416	0.28939591245964164	0.2957852165482885	0.280299565040927	0.2533155361746035	0.3000353526502615	0.3571066044836769	0.25716374108551415	0.5002342176440194	0.43274386657055536	0.4081591342172336	0.4748017026369694	0.263671082378368	0.28031962352064527	0.2854716898222023	0.2988483226517552	0.2553071423510125	0.2526533280639552	0.24759633392316077	0.2460539648909596	0.24726419035221717	0.2399405320445097	0.27925997518281104	0.27628069598125193	0.2781476080021787	0.26869654850001307	0.26472792867517725	0.26626524186142503	0.26626524186142503	0.47330823782209586	0.3485928833747178	0.28384094659515746	0.5161836730437317	0.5224016029493046	0.4835697218830383	0.3841091294649426	0.4998069671231722	0.48910096139319487	0.26729134176017905	0.3278136632241423	0.3540935074389356	0.4903199051237226	0.5035608064650516	0.33152841559419477	0.3760718253502512	0.2973011598245422	0.29281283377757783	0.2921721363133227	0.2834194302253355	0.24370849880008597	0.2463137116314662	0.23425342952523726
f3pp	0.11619231701271264	0.11397177383778848	0.11923518599796201	0.11491305871491059	0.3111698657692509	0.0	0.080891478851629	0.07665701593591787	0.07458799944096296	0.11159807782598602	0.09524796132041569	0.11018663292288405	0.11236058669719447	0.11205507187562377	0.14573531434349812	0.14053771459981776	0.1295385758636097	0.17066160246233458	0.13061769141946897	0.3399174168040419	0.345773384784563	0.13477327152066573	0.14716361172766554	0.14575529349851862	0.14575529349851862	0.14115132581120604	0.13833653906079468	0.16405529164902777	0.15059190584539206	0.15185564029413479	0.1693456537903389	0.1564013442305778	0.13873977538002633	0.14170323941773924	0.1483670259157277	0.1778065270398115	0.15306453732684092	0.16041926297475895	0.1311540167338939	0.36424328055397515	0.19314830049788606	0.16401906234851493	0.18594836944434903	0.3791706115014122	0.22432266010284344	0.13653096363155912	0.17846101534732284	0.16257875557071794	0.18051747295573478	0.1527912336307758	0.14113472064637878	0.2028204264668959	0.18291586823452036	0.17302680766747372	0.1836191098688274	0.20437623187903492	0.16560986508066688	0.173967569823549	0.19022882257922386	0.1713784344626927	0.24454073844709395	0.14128286550479957	0.15256943128152795	0.16964292677549542	0.17603223086414221	0.16054657935678074	0.13356255049045726	0.18028236696611527	0.23735361879953068	0.13741075540136793	0.38048123195987316	0.31299088088640914	0.2884061485330873	0.35504871695282314	0.1439180966942218	0.16056663783649902	0.165718704138056	0.17909533696760896	0.1355541566668662	0.13290034237980897	0.1278433482390145	0.12630097920681335	0.12751120466807092	0.12018754636036348	0.15950698949866476	0.15652771029710572	0.15839462231803242	0.14894356281586685	0.14497494299103103	0.14651225617727878	0.14651225617727878	0.3535552521379496	0.22883989769057153	0.1640879609110112	0.3964306873595854	0.4026486172651583	0.3638167361988921	0.26435614378079636	0.3800539814390259	0.36934797570904865	0.14753835607603277	0.20806067753999602	0.23434052175478937	0.3705669194395763	0.38380782078090536	0.21177542991004852	0.2563188396661049	0.17754817414039598	0.1730598480934316	0.17241915062917645	0.16366644454118923	0.12395551311593972	0.12656072594731999	0.11450044384109101
s3pp	0.055948072303986324	0.05372752912906217	0.05899094128923571	0.054668814006184285	0.2509256210605245	0.080891478851629	0.0	0.01641277122719157	0.014343754732236659	0.051353833117259724	0.03500371661168938	0.049942388214157744	0.052116341988468144	0.05181082716689746	0.08549106963477181	0.08029346989109146	0.0692943311548834	0.11041735775360825	0.07037344671074265	0.2796731720953156	0.2855291400758367	0.07452902681193943	0.08691936701893924	0.0855110487897923	0.0855110487897923	0.08090708110247974	0.07809229435206838	0.10381104694030145	0.09034766113666576	0.09161139558540848	0.10910140908161259	0.09615709952185149	0.07849553067130002	0.08145899470901294	0.08812278120700137	0.1175622823310852	0.0928202926181146	0.10017501826603264	0.0709097720251676	0.3039990358452488	0.13290405578915976	0.1037748176397886	0.12570412473562273	0.3189263667926859	0.16407841539411713	0.0762867189228328	0.11821677063859651	0.10233451086199163	0.12027322824700848	0.09254698892204949	0.08089047593765247	0.14257618175816958	0.12267162352579405	0.11278256295874742	0.12337486516010107	0.1441319871703086	0.10536562037194058	0.1137233251148227	0.12998457787049755	0.11113418975396641	0.18429649373836765	0.08103862079607327	0.09232518657280162	0.1093986820667691	0.11578798615541591	0.10030233464805444	0.07331830578173096	0.12003812225738894	0.17710937409080438	0.07716651069264162	0.32023698725114685	0.2527466361776828	0.22816190382436102	0.29480447224409684	0.08367385198549546	0.10032239312777272	0.1054744594293297	0.11885109225888266	0.07530991195813991	0.07265609767108265	0.0675991035302882	0.06605673449808705	0.0672669599593446	0.059943301651637165	0.09926274478993846	0.0962834655883794	0.09815037760930612	0.08869931810714052	0.08473069828230471	0.08626801146855248	0.08626801146855248	0.2933110074292233	0.16859565298184523	0.10384371620228489	0.33618644265085906	0.34240437255643197	0.30357249149016574	0.20411189907207006	0.3198097367302996	0.3091037310003223	0.08729411136730647	0.14781643283126972	0.17409627704606304	0.31032267473085	0.32356357607217906	0.15153118520132222	0.1960745949573786	0.11730392943166965	0.11281560338470531	0.11217490592045012	0.10342219983246292	0.06371126840721342	0.06631648123859366	0.0542561991323647
f30pp	0.0436773340687047	0.04145679089378054	0.046720203053954086	0.042398075770902655	0.23865488282524291	0.07665701593591787	0.01641277122719157	0.0	0.0020710164959549687	0.039083094881978094	0.022732978376407746	0.03767164997887612	0.03984560375318652	0.039540088931615834	0.07322033139949019	0.06802273165580983	0.057023592919601775	0.09814661951832664	0.05810270847546103	0.267402433860034	0.27325840184055505	0.06225828857665781	0.0746486287836576	0.07324031055451068	0.07324031055451068	0.06863634286719811	0.06582155611678675	0.09154030870501983	0.07807692290138414	0.07934065735012685	0.09683067084633096	0.08388636128656987	0.06622479243601839	0.06918825647373131	0.07585204297171975	0.10529154409580357	0.08054955438283298	0.08790428003075101	0.05863903378988597	0.2917282976099672	0.12063331755387814	0.09150407940450699	0.1134333865003411	0.30665562855740425	0.1518076771588355	0.06401598068755118	0.10594603240331489	0.09006377262671002	0.10800249001172686	0.08027625068676786	0.06861973770237086	0.13030544352288798	0.11040088529051242	0.10051182472346579	0.11110412692481945	0.131861248935027	0.09309488213665895	0.10145258687954106	0.11771383963521594	0.09886345151868478	0.17202575550308602	0.06876788256079165	0.08005444833752	0.09712794383148748	0.1035172479201343	0.0880315964127728	0.06104756754644933	0.10776738402210732	0.16483863585552275	0.06489577245736	0.3079662490158652	0.24047589794240118	0.2158911655890794	0.2825337340088152	0.07140311375021384	0.08805165489249109	0.09320372119404807	0.10658035402360103	0.06303917372285828	0.06038535943580103	0.05532836529500658	0.05378599626280542	0.05499622172406298	0.04767256341635555	0.08699200655465683	0.08401272735309778	0.08587963937402449	0.0764285798718589	0.0724599600470231	0.07399727323327085	0.07399727323327085	0.28104026919394165	0.1563249147465636	0.09157297796700327	0.3239157044155775	0.3301336343211504	0.29130175325488417	0.19184116083678843	0.307538998495018	0.2968329927650407	0.07502337313202485	0.1355456945959881	0.16182553881078143	0.2980519364955684	0.31129283783689743	0.1392604469660406	0.18380385672209698	0.10503319119638803	0.10054486514942368	0.09990416768516851	0.0911514615971813	0.051440530171931786	0.05404574300331204	0.04198546089708308
w3pp	0.04160831757374978	0.03938777439882563	0.044651186558999176	0.040329059275947744	0.236585866330288	0.07458799944096296	0.014343754732236659	0.0020710164959549687	0.0	0.03701407838702318	0.020663961881452836	0.03560263348392121	0.03777658725823161	0.037471072436660924	0.07115131490453527	0.06595371516085491	0.05495457642464686	0.09607760302337172	0.05603369198050611	0.2653334173650791	0.2711893853456001	0.06018927208170289	0.07257961228870269	0.07117129405955576	0.07117129405955576	0.06656732637224319	0.06375253962183183	0.08947129221006492	0.07600790640642922	0.07727164085517194	0.09476165435137604	0.08181734479161495	0.06415577594106348	0.06711923997877639	0.07378302647676484	0.10322252760084866	0.07848053788787807	0.0858352635357961	0.05657001729493105	0.28965928111501227	0.11856430105892322	0.08943506290955207	0.11136437000538618	0.30458661206244936	0.14973866066388059	0.06194696419259626	0.10387701590835997	0.0879947561317551	0.10593347351677194	0.07820723419181294	0.06655072120741594	0.12823642702793303	0.1083318687955575	0.09844280822851087	0.10903511042986454	0.12979223244007204	0.09102586564170403	0.09938357038458615	0.11564482314026102	0.09679443502372986	0.1699567390081311	0.06669886606583673	0.07798543184256508	0.09505892733653257	0.10144823142517938	0.08596257991781789	0.05897855105149441	0.1056983675271524	0.16276961936056783	0.06282675596240508	0.30589723252091033	0.23840688144744626	0.21382214909412448	0.2804647175138603	0.06933409725525892	0.08598263839753617	0.09113470469909316	0.10451133752864611	0.06097015722790336	0.05831634294084611	0.05325934880005166	0.0517169797678505	0.052927205229108064	0.04560354692140063	0.08492299005970191	0.08194371085814287	0.08381062287906957	0.07435956337690398	0.07039094355206818	0.07192825673831593	0.07192825673831593	0.27897125269898676	0.15425589825160868	0.08950396147204835	0.32184668792062254	0.32806461782619545	0.2892327367599292	0.1897721443418335	0.3054699820000631	0.29476397627008577	0.07295435663706994	0.13347667810103317	0.1597565223158265	0.2959829200006135	0.30922382134194254	0.13719143047108567	0.18173484022714206	0.10296417470143311	0.09847584865446876	0.09783515119021359	0.08908244510222638	0.04937151367697687	0.05197672650835712	0.03991644440212816
s30pp	0.05292660589886615	0.05070606272394199	0.055969474884115536	0.05164734760106411	0.24790415465540436	0.11159807782598602	0.051353833117259724	0.039083094881978094	0.03701407838702318	0.0	0.031982250206569196	0.04692092180903757	0.04909487558334797	0.048789360761777284	0.08246960322965163	0.07727200348597127	0.06627286474976322	0.10739589134848809	0.06735198030562248	0.2766517056901954	0.2825076736707165	0.07150756040681926	0.08389790061381905	0.08248958238467213	0.08248958238467213	0.07788561469735956	0.07507082794694821	0.10078958053518128	0.0873261947315456	0.0885899291802883	0.10607994267649241	0.09313563311673131	0.07547406426617984	0.07843752830389275	0.08510131480188121	0.11454081592596502	0.08979882621299443	0.09715355186091247	0.06788830562004741	0.30097756944012866	0.1298825893840396	0.10075335123466844	0.12268265833050254	0.31590490038756575	0.16105694898899695	0.07326525251771263	0.11519530423347635	0.09931304445687147	0.11725176184188832	0.08952552251692932	0.07786900953253231	0.13955471535304942	0.11965015712067387	0.10976109655362723	0.12035339875498091	0.14111052076518843	0.10234415396682041	0.1107018587097025	0.1269631114653774	0.10811272334884624	0.18127502733324746	0.07801715439095311	0.08930372016768146	0.10637721566164893	0.11276651975029575	0.09728086824293426	0.07029683937661077	0.11701665585226878	0.1740879076856842	0.07414504428752144	0.3172155208460267	0.24972516977256262	0.22514043741924084	0.2917830058389767	0.0806523855803753	0.09730092672265254	0.10245299302420953	0.11582962585376247	0.07228844555301972	0.06963463126596248	0.06457763712516804	0.06303526809296688	0.06424549355422443	0.05692183524651699	0.09624127838481829	0.09326199918325923	0.09512891120418594	0.08567785170202036	0.08170923187718454	0.08324654506343229	0.08324654506343229	0.29028954102410315	0.16557418657672504	0.10082224979716473	0.33316497624573893	0.33938290615131184	0.3005510250850456	0.20109043266694987	0.3167882703251795	0.30608226459520216	0.08427264496218631	0.14479496642614953	0.17107481064094288	0.3073012083257299	0.3205421096670589	0.14850971879620203	0.19305312855225842	0.11428246302654949	0.10979413697958512	0.10915343951532996	0.10040073342734275	0.06068980200209324	0.0632950148334735	0.05123473272724453
