	f6ppA	w11pp	w25pp	w26pp	w13pp	w9pp	f24pp	w10pp	w14pp	w16pp	w23pp	S17H1	S14Hp	f4pp	F16H1	S26Hp	S2Hp	S9H1	F7H1	S18H1	S15Hp	530451	f10pp	w19pp	w8pp	f25pp	w24pp	w20pp
f6ppA	0.0	0.10044960025909798	0.2945003495572124	0.26565059239433997	0.24514245107375926	0.3676221987917668	0.2385973247702599	1.1991493505439017	1.1984120954729338	1.2259728206247111	1.2627570618385686	1.2078989466726984	1.1879378714858935	1.2623484571574446	1.2149042624288648	1.164089017085022	1.150692485814166	1.125138765671629	1.1373883655125399	1.094440680646798	0.7099033168171919	0.4044370721682589	0.16088410975037593	0.2341583540184317	0.18907974732858465	0.19482668519257662	0.13525067829567133	0.09112825727986865
w11pp	0.10044960025909798	0.0	0.2107377561125171	0.1818879989496447	0.161379857629064	0.28385960534707155	0.15483473132556463	1.1153867570992064	1.1146495020282385	1.1422102271800159	1.1789944683938733	1.124136353228003	1.1041752780411982	1.1785858637127493	1.1311416689841696	1.0803264236403267	1.0669298923694708	1.0413761722269337	1.0536257720678446	1.0106780872021026	0.6261407233724966	0.3206744787235637	0.0771215163056807	0.15039576057373646	0.1053171538838894	0.11106409174788137	0.051488084850976085	0.04391384639529026
w25pp	0.2945003495572124	0.2107377561125171	0.0	0.15389495807078085	0.2298313166681014	0.4023582483209879	0.2733333742994809	1.2338854000731225	1.2331481450021546	1.260708870153932	1.2974931113677894	1.2426349962019192	1.2226739210151143	1.2970845066866654	1.2496403119580857	1.1988250666142428	1.1854285353433869	1.1598748152008498	1.1721244150417607	1.1291767301760187	0.7446393663464128	0.43917312169748	0.23184206619566217	0.3051163104637179	0.2800479797746624	0.2857949176386544	0.22621891074174907	0.23796459569340464
w26pp	0.26565059239433997	0.1818879989496447	0.15389495807078085	0.0	0.20098155950522897	0.37350849115811546	0.2444836171366085	1.20503564291025	1.2042983878392821	1.2318591129910594	1.268643354204917	1.2137852390390467	1.1938241638522418	1.268234749523793	1.2207905547952131	1.1699753094513703	1.1565787781805144	1.1310250580379775	1.1432746578788882	1.1003269730131464	0.7157896091835404	0.4103233645346076	0.20299230903278975	0.2762665533008455	0.25119822261179	0.256945160475782	0.19736915357887666	0.20911483853053223
w13pp	0.24514245107375926	0.161379857629064	0.2298313166681014	0.20098155950522897	0.0	0.3530003498375348	0.22397547581602784	1.1845275015896695	1.1837902465187016	1.211350971670479	1.2481352128843364	1.1932770977184661	1.1733160225316612	1.2477266082032124	1.2002824134746326	1.1494671681307898	1.1360706368599338	1.1105169167173967	1.1227665165583076	1.0798188316925657	0.6952814678629597	0.3898152232140269	0.18248416771220904	0.25575841198026483	0.23069008129120933	0.23643701915520127	0.17686101225829598	0.18860669720995155
w9pp	0.3676221987917668	0.28385960534707155	0.4023582483209879	0.37350849115811546	0.3530003498375348	0.0	0.21159184439364492	1.2449160376073718	1.244178782536404	1.2717395076881814	1.3085237489020387	1.2536656337361687	1.2337045585493636	1.3081151442209147	1.2606709494923352	1.209855704148492	1.1964591728776361	1.170905452735099	1.18315505257601	1.1402073677102682	0.7556700038806622	0.4502037592317294	0.3049639154302166	0.3782381596982724	0.3531698290092169	0.35891676687320884	0.29934075997630355	0.31108644492795906
f24pp	0.2385973247702599	0.15483473132556463	0.2733333742994809	0.2444836171366085	0.22397547581602784	0.21159184439364492	0.0	1.1158911635858648	1.115153908514897	1.1427146336666745	1.1794988748805317	1.1246407597146617	1.1046796845278566	1.1790902701994077	1.1316460754708282	1.080830830126985	1.0674342988561292	1.041880578713592	1.054130178554503	1.0111824936887612	0.6266451298591552	0.3211788852102224	0.1759390414087097	0.24921328567676543	0.22414495498770992	0.2298918928517019	0.1703158859547966	0.18206157090645217
w10pp	1.1991493505439017	1.1153867570992064	1.2338854000731225	1.20503564291025	1.1845275015896695	1.2449160376073718	1.1158911635858648	0.0	0.04451154053402726	0.07207226568580472	0.10885650689966214	0.053998391733791756	0.03403731654698686	0.10844790221853805	0.093487872436049	0.07193562814878615	0.23672970086963066	0.21117598072709343	0.2941058659262435	0.4535687999855972	0.7520240246731072	1.0362739730587747	1.1364910671823512	1.209765311450407	1.1846969807613514	1.1904439186253435	1.1308679117284381	1.1426135966800939
w14pp	1.1984120954729338	1.1146495020282385	1.2331481450021546	1.2042983878392821	1.1837902465187016	1.244178782536404	1.115153908514897	0.04451154053402726	0.0	0.0555102440824632	0.09229448529632063	0.03743637013045025	0.01747529494364536	0.09336140799776524	0.09275061736508117	0.07119837307781834	0.23599244579866283	0.2104387256561256	0.29336861085527566	0.4528315449146293	0.7512867696021394	1.0355367179878068	1.1357538121113833	1.209028056379439	1.1839597256903835	1.1897066635543756	1.1301306566574703	1.141876341609126
w16pp	1.2259728206247111	1.1422102271800159	1.260708870153932	1.2318591129910594	1.211350971670479	1.2717395076881814	1.1427146336666745	0.07207226568580472	0.0555102440824632	0.0	0.09813553918145312	0.06147173375820033	0.04151065857139544	0.12092213314954268	0.12031134251685863	0.09875909822959578	0.2635531709504403	0.23799945080790302	0.3209293360070531	0.4803922700664067	0.7788474947539168	1.063097443139584	1.1633145372631606	1.2365887815312164	1.2115204508421609	1.217267388706153	1.1576913818092476	1.1694370667609033
