	w1pp	s1pp	S14Hp	F6H1	f1pp	S17H1	F7H1	w14pp	f22ppB	s2pp	f2pp	w2pp	w9pp	f30pp	s23pp	w23pp	S19H1	s28pp	f28pp	w28pp	F14H1B	S3Hp	f14ppA	S1Hp	F1H1	w22pp	f22ppA	s22pp	f19pp	f13pp	w32pp	s32pp	w20pp	w8pp	w6pp	S12Hp	f32pp	w13pp	F16H1	S26Hp	w25pp	s25pp	w16pp	f25pp	f16ppB	f16ppA	f31pp	S8Hp	f15pp	S16H2	S20H1	s17pp	w17pp	f24pp	w30pp	s30pp	w24pp	f26pp	w26pp	f20ppA	w15pp	S2Hp	w19pp	s29pp	w29pp	w21pp	s21pp	f23ppA	f18pp	f6ppB	f20ppB	s31pp	S15Hp	f17ppA	F14H1A	f21pp	F23HpA	f7pp	f9pp	f6ppA	f12ppA	f12ppB	f8pp	f14ppB	w12pp	w18pp	S27H1	s27pp	w27pp	w3pp	s3pp	w4pp	f4pp	F8H1	s12pp	S21H1	w7pp	F32H1	S22Hp	f23ppB	w10pp	S13Hp	S28Hp	S18H1	F3H1	f17ppB	f10pp	S4Hp	S9H1	s24pp	w31pp	f11pp	w11pp	S11Hp	F29H1
w1pp	0.0	0.11439569770999078	0.22962061197816247	0.25000023741124533	0.06878779672590771	0.32808422100597545	0.2806695794519277	0.1447120808735823	0.1762510619363361	0.14634659900019442	0.16603810188470064	0.1709486435508244	0.1914145120968709	0.21499614110159412	0.3164621117096801	0.2446131686357615	0.3933352724179534	0.2644350828394056	0.2570184804769958	0.2489864664298451	0.35001331209818065	0.3385844929273998	0.17217882440539944	0.27625869294650096	0.343440378151317	0.24053006767382112	0.19177068630526284	0.23475885882900285	0.15715958822873233	0.22944466958257662	0.31365813676357673	0.31812440440148376	0.29601714896346143	0.25636257987153815	0.2657104689136629	0.28960845428741555	0.20139299174349226	0.22249184344733017	0.40265376515823315	0.3633370809853166	0.2146841301770119	0.2446079653492462	0.2037073898125024	0.17598222519956713	0.21572437021571572	0.1954563016830419	0.24351739820708196	0.34633947476226246	0.2322174497709461	0.40963718365157276	0.3914029560564318	0.23929457688027606	0.20958655172954863	0.16650507515632312	0.3166185174521623	0.2781922050030404	0.1686004003281026	0.19955270518280604	0.20980193848098044	0.196405374578138	0.25115002909079814	0.2962499234097389	0.23404639471055078	0.3011371172108845	0.25749571312327146	0.2936372710671796	0.26898531373439827	0.19854194329458552	0.2171408004632083	0.15415038122531255	0.24766078597832206	0.25385737226344085	0.362706995746205	0.31039417551549375	0.3840949043662749	0.24345215761371014	0.2970879334779044	0.16308794208138408	0.21803548465656725	0.18571049150732144	0.2128772766431637	0.1975461863658422	0.2137402211449373	0.2128757490627904	0.2554126494421204	0.21108102992586358	0.3657959151306909	0.22265170823244237	0.21009546178691482	0.22303595969666964	0.2171106783037559	0.21651006982494572	0.16200681391795124	0.27161275040401184	0.2559238869762179	0.8860174583054792	0.2798169637567387	0.4161573868802242	0.38616436686818967	0.27184286825330717	0.20822523475947297	0.31704716531261135	0.3599387137525738	0.36462783299214463	0.35804840197059384	0.2486107523991931	0.24262682762129384	0.37079507423055225	0.38407866660589396	0.30724428502851725	0.19031620737871863	0.18266714155793173	0.13818846795657827	0.31181723066069894	0.34595133639445264
s1pp	0.11439569770999078	0.0	0.2862733596152569	0.30665298504833977	0.12544054436300214	0.3847369686430699	0.3373223270890222	0.20136482851067677	0.2329038095734306	0.20299934663728889	0.22269084952179513	0.22760139118791883	0.24806725973396537	0.2716488887386886	0.3731148593467746	0.3012659162728559	0.44998802005504784	0.3210878304765	0.3136712281140903	0.30563921406693956	0.40666605973527514	0.3952372405644943	0.22883157204249388	0.33291144058359545	0.4000931257884115	0.2971828153109156	0.24842343394235727	0.2914116064660973	0.21381233586582682	0.2860974172196711	0.37031088440067117	0.3747771520385782	0.3526698966005559	0.3130153275086326	0.3223632165507574	0.34626120192451004	0.2580457393805867	0.27914459108442463	0.45930651279532764	0.419989828622411	0.27133687781410637	0.30126071298634066	0.26036013744959685	0.23263497283666157	0.27237711785281016	0.2521090493201364	0.30017014584417645	0.4029922223993569	0.28887019740804054	0.4662899312886672	0.44805570369352626	0.2959473245173705	0.2662392993666431	0.22315782279341762	0.3732712650892568	0.33484495264013486	0.22525314796519708	0.2562054528199005	0.2664546861180749	0.2530581222152325	0.3078027767278926	0.3529026710468333	0.29069914234764527	0.3577898648479789	0.3141484607603659	0.350290018704274	0.32563806137149276	0.25519469093168	0.27379354810030276	0.21080312886240704	0.3043135336154165	0.3105101199005353	0.4193597433832995	0.36704692315258824	0.4407476520033694	0.3001049052508046	0.35374068111499885	0.21974068971847854	0.2746882322936617	0.2423632391444159	0.2695300242802582	0.2541989340029367	0.2703929687820318	0.2695284966998849	0.3120653970792149	0.267733777562958	0.4224486627677853	0.27930445586953684	0.2667482094240093	0.2796887073337641	0.27376342594085035	0.2731628174620402	0.21865956155504573	0.3282654980411063	0.3125766346133123	0.9426702059425737	0.3364697113938332	0.4728101345173187	0.4428171145052841	0.32849561589040166	0.2648779823965674	0.37369991294970584	0.4165914613896683	0.4212805806292391	0.4147011496076883	0.30526350003628755	0.29927957525838833	0.42744782186764674	0.4407314142429884	0.3638970326656117	0.24696895501581306	0.23931988919502617	0.19484121559367273	0.3684699782977934	0.40260408403154707
S14Hp	0.22962061197816247	0.2862733596152569	0.0	0.3428610213647595	0.20776188623747216	0.4670583105175399	0.4196436689634922	0.28368617038514676	0.3152251514479006	0.2853206885117589	0.3050121913962651	0.3099227330623889	0.3303886016084354	0.3539702306131586	0.45543620122124456	0.38358725814732597	0.5323093619295178	0.40340917235097007	0.3959925699885603	0.38796055594140955	0.4889874016097452	0.47755858243896426	0.3111529139169639	0.41523278245806544	0.48241446766288154	0.3795041571853856	0.3307447758168273	0.37373294834056736	0.2961336777402968	0.3684187590941411	0.4526322262751412	0.45709849391304824	0.4349912384750259	0.39533666938310263	0.40468455842522744	0.4285825437989801	0.34036708125505677	0.3614659329588946	0.5416278546697977	0.502311170496881	0.35365821968857636	0.38358205486081065	0.3426814793240669	0.3149563147111316	0.3546984597272802	0.3344303911946064	0.38249148771864644	0.4853135642738269	0.3711915392825106	0.5486112731631372	0.5303770455679963	0.37826866639184054	0.3485606412411131	0.3054791646678876	0.4555926069637268	0.41716629451460485	0.30757448983966706	0.3385267946943705	0.3487760279925449	0.3353794640897025	0.3901241186023626	0.4352240129213033	0.37302048422211526	0.44011120672244897	0.3964698026348359	0.43261136057874405	0.4079594032459628	0.33751603280615	0.3561148899747728	0.29312447073687703	0.3866348754898865	0.3928314617750053	0.5016810852577696	0.4493682650270583	0.5230689938778394	0.3824262471252746	0.43606202298946883	0.30206203159294853	0.3570095741681317	0.3246845810188859	0.3518513661547282	0.3365202758774067	0.3527143106565018	0.35184983857435487	0.39438673895368487	0.35005511943742806	0.5047700046422553	0.3616257977440068	0.3490695512984793	0.3620100492082341	0.3560847678153204	0.35548415933651023	0.3009809034295157	0.4105868399155763	0.39489797648778235	1.0249915478170437	0.4187910532683032	0.5551314763917887	0.5251384563797541	0.41081695776487165	0.34719932427103745	0.4560212548241758	0.49891280326413834	0.5036019225037092	0.49702249148215827	0.3875848419107576	0.3816009171328583	0.5097691637421168	0.5230527561174584	0.44621837454008173	0.3292902968902831	0.32164123106949616	0.2771625574681427	0.4507913201722634	0.48492542590601706
F6H1	0.25000023741124533	0.30665298504833977	0.3428610213647595	0.0	0.228141511670555	0.48743793595062274	0.44002329439657506	0.3040657958182296	0.33560477688098345	0.30570031394484176	0.325391816829348	0.3303023584954717	0.3507682270415182	0.37434985604624144	0.4758158266543274	0.4039668835804088	0.5526889873626006	0.4237887977840529	0.41637219542164317	0.4083401813744924	0.509367027042828	0.4979382078720471	0.33153253935004673	0.4356124078911483	0.5027940930959643	0.39988378261846846	0.3511244012499101	0.39411257377365017	0.31651330317337967	0.38879838452722393	0.473011851708224	0.47747811934613105	0.45537086390810877	0.41571629481618544	0.42506418385831024	0.4489621692320629	0.3607467066881396	0.3818455583919775	0.5620074801028805	0.5226907959299638	0.3740378451216592	0.4039616802938935	0.3630611047571497	0.3353359401442144	0.375078085160363	0.35481001662768924	0.4028711131517293	0.5056931897069097	0.3915711647155934	0.56899089859622	0.5507566710010792	0.39864829182492334	0.36894026667419594	0.32585879010097046	0.47597223239680964	0.4375459199476877	0.3279541152727499	0.35890642012745333	0.36915565342562773	0.35575908952278534	0.41050374403544543	0.45560363835438616	0.3934001096551981	0.46049083215553177	0.41684942806791875	0.45299098601182686	0.4283390286790456	0.35789565823923286	0.3764945154078556	0.3135040961699599	0.40701450092296937	0.41321108720808813	0.5220607106908524	0.4697478904601411	0.5434486193109223	0.4028058725583574	0.4564416484225517	0.3224416570260314	0.37738919960121453	0.3450642064519688	0.37223099158781103	0.35689990131048954	0.37309393608958463	0.3722294640074377	0.4147663643867677	0.37043474487051087	0.5251496300753382	0.3820054231770897	0.36944917673156213	0.38238967464131696	0.3764643932484032	0.37586378476959303	0.3213605288625986	0.4309664653486591	0.41527760192086516	1.0453711732501265	0.43917067870138604	0.5755111018248715	0.5455180818128369	0.4311965831979545	0.36757894970412025	0.4764008802572587	0.5192924286972211	0.523981547936792	0.5174021169152412	0.4079644673438404	0.4019805425659412	0.5301487891751996	0.5434323815505413	0.46659799997316453	0.3496699223233659	0.34202085650257896	0.2975421829012255	0.4711709456053462	0.5053050513390999
f1pp	0.06878779672590771	0.12544054436300214	0.20776188623747216	0.228141511670555	0.0	0.29446965578016104	0.2470550142261133	0.1110975156477679	0.1426364967105217	0.11273203377438001	0.13242353665888623	0.13733407832501	0.1577999468710565	0.18138157587577972	0.2828475464838657	0.21099860340994708	0.359720707192139	0.23082051761359118	0.22340391525118142	0.21537190120403069	0.31639874687236624	0.3049699277015854	0.13856425917958504	0.24264412772068655	0.3098258129255026	0.20691550244800672	0.15815612107944843	0.20114429360318845	0.12354502300291793	0.1958301043567622	0.2800435715377623	0.28450983917566935	0.262402583737647	0.22274801464572375	0.23209590368784852	0.25599388906160114	0.16777842651767785	0.18887727822151576	0.36903919993241874	0.3297225157595022	0.1810695649511975	0.2109934001234318	0.17009282458668798	0.14236765997375272	0.1821098049899013	0.1618417364572275	0.20990283298126755	0.31272490953644805	0.1986028845451317	0.37602261842575835	0.3577883908306174	0.20568001165446165	0.17597198650373422	0.13289050993050872	0.2830039522263479	0.244577639777226	0.1349858351022882	0.16593813995699164	0.17618737325516604	0.1627908093523236	0.21753546386498374	0.26263535818392447	0.20043182948473637	0.2675225519850701	0.22388114789745703	0.26002270584136516	0.2353707485085839	0.1649273780687711	0.1835262352373939	0.12053581599949816	0.21404622075250765	0.22024280703762641	0.3290924305203906	0.27677961028967935	0.3504803391404605	0.20983759238789573	0.26347336825209	0.12947337685556967	0.18442091943075284	0.15209592628150703	0.17926271141734929	0.1639316211400278	0.18012565591912288	0.17926118383697598	0.22179808421630598	0.17746646470004918	0.33218134990487647	0.18903714300662797	0.17648089656110041	0.18942139447085524	0.1834961130779415	0.18289550459913131	0.12839224869213683	0.23799818517819743	0.22230932175040347	0.8524028930796648	0.2462023985309243	0.3825428216544098	0.35254980164237526	0.23822830302749276	0.17461066953365856	0.28343260008679694	0.3263241485267594	0.3310132677663302	0.32443383674477944	0.2149961871733787	0.20901226239547943	0.33718050900473784	0.35046410138007955	0.27362971980270284	0.15670164215290422	0.14905257633211733	0.10457390273076386	0.27820266543488453	0.3123367711686382
S17H1	0.32808422100597545	0.3847369686430699	0.4670583105175399	0.48743793595062274	0.29446965578016104	0.0	0.39980100110249317	0.29521094497372724	0.3449959416329461	0.3273739282566003	0.34706543114110655	0.35197597280723025	0.3724418413532768	0.396023470358	0.49748944096608594	0.4256404978921674	0.5743626016743593	0.4454624120958115	0.4380458097334017	0.430013795686251	0.5310406413545865	0.5196118221838056	0.3532061536618053	0.4572860222029068	0.5244677074077229	0.421557396930227	0.3727980155616687	0.41578618808540874	0.33818691748513824	0.4104719988389825	0.49468546601998264	0.4991517336578897	0.4770444782198673	0.43738990912794407	0.4467377981700688	0.47063578354382146	0.38242032099989814	0.40351917270373605	0.5836810944146391	0.5443644102417224	0.3957114594334178	0.4256352946056521	0.38473471906890827	0.357009554455973	0.39675169947212163	0.3764836309394478	0.4245447274634878	0.5273668040186683	0.413244779027352	0.5906645129079786	0.5724302853128377	0.42032190613668197	0.3906138809859545	0.34753240441272903	0.49764584670856815	0.4592195342594463	0.3496277295845085	0.3805800344392119	0.39082926773738635	0.3774327038345439	0.43217735834720405	0.47727725266614474	0.41507372396695663	0.4821644464672904	0.4385230423796773	0.4746646003235855	0.4500126429908042	0.3795692725509914	0.3981681297196142	0.33517771048171846	0.42868811523472794	0.4348847015198467	0.543734325002611	0.49142150477189966	0.5651222336226809	0.42447948687011605	0.47811526273431026	0.34411527133778996	0.39906281391297316	0.3667378207637273	0.3939046058995696	0.3785735156222481	0.3947675504013432	0.39390307831919624	0.43643997869852624	0.3921083591822695	0.5468232443870967	0.40367903748884826	0.3911227910433207	0.40406328895307553	0.3981380075601618	0.3975373990813516	0.34303414317435715	0.45264007966041775	0.4369512162326238	1.0670447875618851	0.46084429301314456	0.5971847161366302	0.5671916961245955	0.452870197509713	0.3892525640158788	0.4980744945690172	0.5409660430089798	0.5456551622485506	0.5390757312269997	0.429638081655599	0.4236541568776997	0.5518224034869581	0.5651059958622998	0.48827161428492316	0.3713435366351245	0.3636944708143376	0.31921579721298415	0.49284455991710485	0.5269786656508585
F7H1	0.2806695794519277	0.3373223270890222	0.4196436689634922	0.44002329439657506	0.2470550142261133	0.39980100110249317	0.0	0.2477963034196795	0.2975813000788984	0.2799592867025526	0.2996507895870588	0.3045613312531826	0.3250271997992291	0.3486088288039523	0.45007479941203826	0.37822585633811967	0.5269479601203115	0.39804777054176377	0.390631168179354	0.38259915413220325	0.4836259998005389	0.47219718062975796	0.3057915121077576	0.40987138064885914	0.47705306585367524	0.3741427553761793	0.325383374007621	0.36837154653136106	0.2907722759310905	0.3630573572849348	0.4472708244659349	0.45173709210384194	0.4296298366658196	0.38997526757389633	0.39932315661602114	0.4232211419897738	0.33500567944585047	0.3561045311496883	0.5362664528605914	0.4969497686876747	0.34829681787937006	0.37822065305160435	0.3373200775148606	0.3095949129019253	0.3493370579180739	0.3290689893854001	0.37713008590944014	0.4799521624646206	0.3658301374733043	0.5432498713539309	0.52501564375879	0.37290726458263423	0.3431992394319068	0.3001177628586813	0.4502312051545205	0.41180489270539855	0.30221308803046076	0.3331653928851642	0.3434146261833386	0.3300180622804962	0.3847627167931563	0.429862611112097	0.36765908241290896	0.43474980491324267	0.3911084008256296	0.42724995876953775	0.4025980014367565	0.3321546309969437	0.3507534881655665	0.28776306892767073	0.3812734736806802	0.387470059965799	0.49631968344856325	0.444006863217852	0.5177075920686331	0.3770648453160683	0.43070062118026253	0.29670062978374223	0.3516481723589254	0.3193231792096796	0.3464899643455219	0.3311588740682004	0.34735290884729547	0.34648843676514857	0.38902533714447857	0.34469371762822176	0.499408602833049	0.3562643959348005	0.343708149489273	0.3566486473990278	0.3507233660061141	0.35012275752730393	0.2956195016203094	0.40522543810637	0.38953657467857605	1.0196301460078374	0.4134296514590969	0.5497700745825824	0.5197770545705478	0.40545555595566535	0.34183792246183115	0.4506598530149695	0.49355140145493204	0.49824052069450286	0.49166108967295197	0.3822234401015513	0.376239515323652	0.5044077619329105	0.5176913543082521	0.44085697273087543	0.3239288950810768	0.31627982926028986	0.2718011556589364	0.4454299183630571	0.47956402409681076
w14pp	0.1447120808735823	0.20136482851067677	0.28368617038514676	0.3040657958182296	0.1110975156477679	0.29521094497372724	0.2477963034196795	0.0	0.161623801500553	0.1440017881242072	0.16369329100871344	0.16860383267483714	0.18906970122088368	0.2126513302256069	0.3141173008336928	0.24226835775977426	0.39099046154196615	0.2620902719634184	0.25467366960100857	0.24664165555385786	0.34766850122219345	0.3362396820514125	0.1698340135294122	0.2739138820705137	0.3410955672753298	0.2381852567978339	0.18942587542927558	0.23241404795301562	0.15481477735274513	0.22709985870658939	0.31131332588758953	0.31577959352549656	0.29367233808747417	0.25401776899555095	0.2633656580376757	0.28726364341142835	0.19904818086750503	0.22014703257134294	0.40030895428224594	0.3609922701093293	0.21233931930102468	0.24226315447325897	0.20136257893651516	0.17363741432357988	0.2133795593397285	0.1931114908070547	0.24117258733109473	0.3439946638862752	0.22987263889495888	0.4072923727755855	0.38905814518044457	0.23694976600428883	0.2072417408535614	0.16416026428033592	0.31427370657617504	0.27584739412705317	0.16625558945211538	0.1972078943068188	0.2074571276049932	0.1940605637021508	0.2488052182148109	0.2939051125337516	0.23170158383456355	0.2987923063348973	0.2551509022472842	0.29129246019119237	0.26664050285841107	0.1961971324185983	0.21479598958722107	0.15180557034932535	0.24531597510233483	0.2515125613874536	0.3603621848702178	0.30804936463950655	0.3817500934902877	0.2411073467377229	0.29474312260191715	0.16074313120539685	0.21569067378058002	0.1833656806313342	0.2105324657671765	0.195201375489855	0.2113954102689501	0.21053093818680316	0.25306783856613313	0.20873621904987635	0.3634511042547036	0.22030689735645514	0.2077506509109276	0.22069114882068241	0.21476586742776868	0.2141652589489585	0.15966200304196404	0.26926793952802464	0.25357907610023067	0.883672647429492	0.27747215288075144	0.413812576004237	0.3838195559922024	0.2694980573773199	0.2058804238834857	0.3147023544366241	0.3575939028765866	0.3622830221161574	0.3557035910946066	0.24626594152320588	0.2402820167453066	0.36845026335456504	0.3817338557299067	0.30489947415253005	0.1879713965027314	0.18032233068194448	0.13584365708059104	0.30947241978471174	0.3436065255184654
f22ppB	0.1762510619363361	0.2329038095734306	0.3152251514479006	0.33560477688098345	0.1426364967105217	0.3449959416329461	0.2975813000788984	0.161623801500553	0.0	0.175540769186961	0.19523227207146723	0.20014281373759096	0.2206086822836375	0.24419031128836072	0.34565628189644665	0.27380733882252806	0.42252944260472	0.29362925302617215	0.2862126506637624	0.2781806366166117	0.3792074822849473	0.36777866311416635	0.201372994592166	0.3054528631332675	0.3726345483380836	0.2697242378605877	0.2209648564920294	0.26395302901576945	0.18635375841549892	0.2586388397693432	0.3428523069503433	0.34731857458825033	0.325211319150228	0.2855567500583047	0.2949046391004295	0.3188026244741822	0.23058716193025885	0.25168601363409676	0.43184793534499977	0.39253125117208315	0.2438783003637785	0.2738021355360128	0.23290155999926898	0.2051763953863337	0.2449185404024823	0.2246504718698085	0.2727115683938485	0.375533644949029	0.26141161995771267	0.4388313538383393	0.4205971262431984	0.2684887470670426	0.23878072191631522	0.19569924534308972	0.34581268763892886	0.307386375189807	0.1977945705148692	0.2287468753695726	0.238996108667747	0.2255995447649046	0.2803441992775647	0.32544409359650545	0.26324056489731734	0.33033128739765105	0.28668988331003803	0.32283144125394614	0.2981794839211649	0.2277361134813521	0.2463349706499749	0.18334455141207914	0.27685495616508865	0.2830515424502074	0.39190116593297164	0.3395883457022604	0.41328907455304154	0.2726463278004767	0.326282103664671	0.19228211226815067	0.2472296548433338	0.214904661694088	0.2420714468299303	0.2267403565526088	0.24293439133170389	0.24206991924955695	0.28460681962888695	0.24027520011263015	0.39499008531745744	0.25184587841920897	0.23928963197368142	0.25223012988343624	0.24630484849052248	0.24570424001171232	0.19120098410471784	0.3008069205907784	0.28511805716298444	0.9152116284922458	0.30901113394350527	0.4453515570669908	0.41535853705495623	0.30103703844007373	0.23741940494623953	0.3462413354993779	0.3891328839393404	0.39382200317891125	0.3872425721573604	0.2778049225859597	0.2718209978080604	0.39998924441731887	0.4132728367926605	0.3364384552152838	0.2195103775654852	0.2118613117446983	0.16738263814334486	0.3410114008474655	0.3751455065812192
s2pp	0.14634659900019442	0.20299934663728889	0.2853206885117589	0.30570031394484176	0.11273203377438001	0.3273739282566003	0.2799592867025526	0.1440017881242072	0.175540769186961	0.0	0.0488672722032213	0.05377781386934501	0.11871233342951454	0.14229396243423775	0.24375993304232374	0.17191098996840515	0.32063309375059695	0.19173290417204925	0.18431630180963948	0.17628428776248872	0.2773111334308243	0.26588231426004344	0.09947664573804306	0.2250354641229818	0.29221714932779785	0.18930683885030197	0.14054745748174363	0.18353563000548367	0.10593635940521316	0.17822144075905744	0.2624349079400576	0.2669011755779646	0.24479392013994228	0.205139351048019	0.21448724009014375	0.2383852254638964	0.15016976291997308	0.171268614623811	0.351430536334714	0.3121138521617974	0.16346090135349273	0.19338473652572702	0.1524841609889832	0.12475899637604794	0.16450114139219657	0.14423307285952275	0.1922941693835628	0.29511624593874325	0.18099422094742695	0.35841395482805355	0.3401797272329126	0.1880713480567569	0.15836332290602945	0.11528184633280396	0.26539528862864314	0.22696897617952122	0.11737717150458343	0.14832947635928684	0.15857870965746126	0.14518214575461885	0.199926800267279	0.24502669458621967	0.18282316588703162	0.24991388838736533	0.20627248429975226	0.24241404224366042	0.21776208491087912	0.14731871447106634	0.16591757163968912	0.1029271524017934	0.19643755715480288	0.20263414343992164	0.31148376692268587	0.2591709466919746	0.33287167554275576	0.192228928790191	0.2458647046543852	0.1118647132578649	0.1668122558330481	0.13448726268380226	0.16165404781964454	0.14632295754232305	0.16251699232141814	0.1616525202392712	0.20418942061860124	0.1598578011023444	0.31457268630717167	0.1714284794089232	0.15887223296339564	0.17181273087315047	0.16588744948023673	0.16528684100142654	0.11078358509443208	0.2203895215804927	0.20470065815269872	0.83479422948196	0.22859373493321955	0.36493415805670504	0.33494113804467046	0.22061963942978802	0.15700200593595376	0.2658239364890922	0.30871548492905465	0.3134046041686255	0.30682517314707464	0.19738752357567396	0.1914035987977747	0.3195718454070331	0.33285543778237475	0.2560210562049981	0.1575097883263652	0.1498607225055783	0.10538204890422484	0.2790108116083455	0.3131449173420992
