	f25pp	w16pp	f16ppA	f16ppB	w29pp	w6pp	w11pp	f10pp	f24pp	w18pp	f13pp	w23pp	f20ppA	w26pp	w8pp	f2pp	S22Hp	S18H1	w12pp	f22ppA	S14Hp	w1pp	w14pp	F6H1	w13pp	w28pp	w10pp	f14ppB	S9H1	S26Hp	w24pp	f12ppB	f8pp	w2pp	S12Hp
f25pp	0.0	0.22534333111958743	0.28733091713335024	0.33501316768958667	0.3676589157232574	0.45280462363393065	0.3656660906281054	0.39294848593037424	0.4089381074572921	0.31551019486569276	0.47456721044492634	0.5117148923157531	0.46202343212999664	0.5018330162303795	0.4672187441971175	0.42418030526996864	0.5963208516401142	0.6296454010839263	0.4585145639609788	0.47175650281276627	0.5570160095091816	0.535209284105169	0.4440084214445097	0.5825951944716878	0.5763940703374988	0.5150375444164341	0.42608273449225487	0.4089660494649622	0.5335796601840492	0.6115006409780193	0.4496360720128354	0.4107265713481815	0.4086371958254478	0.3672455082328375	0.39725999160678216
w16pp	0.22534333111958743	0.0	0.18514958922775576	0.26128260442437723	0.29392835245804794	0.37907406036872116	0.2919355273628959	0.3192179226651648	0.33520754419208265	0.24177963160048327	0.4008366471797169	0.43798432905054363	0.3882928688647872	0.42810245296517	0.39348818093190807	0.35044974200475915	0.5225902883749046	0.5559148378187169	0.38478400069576935	0.39802593954755683	0.48328544624397207	0.46147872083995956	0.37027785817930026	0.5088646312064784	0.5026635070722892	0.4413069811512247	0.35235217122704543	0.33523548619975274	0.4598490969188398	0.5377700777128098	0.37590550874762596	0.33699600808297203	0.33490663256023834	0.2935149449676281	0.3235294283415727
f16ppA	0.28733091713335024	0.18514958922775576	0.0	0.32327019043814004	0.35591593847181074	0.441061646382484	0.3539231133766587	0.38120550867892766	0.3971951302058455	0.30376721761424613	0.4628242331934797	0.4999719150643065	0.45028045487855	0.4900900389789329	0.4554757669456709	0.41243732801852195	0.5845778743886675	0.6179024238324797	0.44677158670953215	0.46001352556131964	0.5452730322577349	0.5234663068537224	0.4322654441930631	0.5708522172202413	0.5646510930860521	0.5032945671649875	0.41433975724080824	0.39722307221351555	0.5218366829326027	0.5997576637265727	0.4378930947613888	0.3989835940967349	0.3968942185740012	0.35550253098139095	0.38551701435533553
f16ppB	0.33501316768958667	0.26128260442437723	0.32327019043814004	0.0	0.28765685926446866	0.40162235846926214	0.3144838254634369	0.34176622076570573	0.3577558422926236	0.26432792970102426	0.42338494528025783	0.4605326271510846	0.41084116696532813	0.450650751065711	0.416036479032449	0.37299804010530013	0.5451385864754457	0.5784631359192578	0.4073322987963103	0.42057423764809776	0.5058337443445131	0.48402701894050054	0.3928261562798412	0.5314129293070193	0.5252118051728303	0.4638552792517657	0.37490046932758636	0.3577837843002937	0.4823973950193808	0.5603183758133508	0.3984538068481669	0.359544306183513	0.35745493066077927	0.316063243068169	0.34607772644211365
w29pp	0.3676589157232574	0.29392835245804794	0.35591593847181074	0.28765685926446866	0.0	0.43426810650293285	0.3471295734971076	0.37441196879937644	0.3904015903262943	0.29697367773469496	0.45603069331392854	0.4931783751847553	0.44348691499899884	0.4832964990993817	0.4486822270661197	0.40564378813897084	0.5777843345091163	0.6111088839529286	0.439978046829981	0.45321998568176847	0.5384794923781837	0.5166727669741713	0.4254719043135119	0.5640586773406902	0.5578575532065009	0.4965010272854364	0.40754621736125707	0.3904295323339644	0.5150431430530515	0.5929641238470216	0.4310995548818376	0.3921900542171837	0.39010067869445	0.3487089911018397	0.37872347447578436
w6pp	0.45280462363393065	0.37907406036872116	0.441061646382484	0.40162235846926214	0.43426810650293285	0.0	0.325065607350016	0.3997063142773002	0.41569593580421804	0.32226802321261866	0.48132503879185223	0.518472720662679	0.46878126047692253	0.5085908445773054	0.4739765725440434	0.4309381336168945	0.60307867998704	0.6364032294308523	0.4652723923079046	0.47851433115969216	0.5637738378561075	0.541967112452095	0.45076624979143565	0.5893530228186138	0.5831518986844246	0.5217953727633601	0.43284056283918076	0.4157238778118881	0.5403374885309752	0.6182584693249452	0.45639390035976135	0.4174843996951074	0.41539502417237373	0.3740033365797635	0.44669119401564356
w11pp	0.3656660906281054	0.2919355273628959	0.3539231133766587	0.3144838254634369	0.3471295734971076	0.325065607350016	0.0	0.3125677812714749	0.32855740279839274	0.23512949020679336	0.394186505786027	0.4313341876568537	0.3816427274710973	0.4214523115714801	0.38683803953821816	0.34379960061106923	0.5159401469812147	0.549264696425027	0.3781338593020794	0.3913757981538669	0.47663530485028216	0.45482857944626964	0.36362771678561034	0.5022144898127885	0.4960133656785993	0.4346568397575348	0.3457020298333555	0.32858534480606283	0.4531989555251499	0.5311199363191199	0.36925536735393605	0.3303458666892821	0.3282564911665484	0.2868648035739382	0.3595526610098183
f10pp	0.39294848593037424	0.3192179226651648	0.38120550867892766	0.34176622076570573	0.37441196879937644	0.3997063142773002	0.3125677812714749	0.0	0.3234933449362832	0.23006543234468382	0.38912244792391737	0.4262701297947442	0.37657866960898767	0.4163882537093706	0.38177398167610854	0.3387355427489597	0.5108760891191052	0.5442006385629174	0.3730698014399698	0.3863117402917573	0.47157124698817265	0.44976452158416014	0.3585636589235008	0.497150431950679	0.4909493078164898	0.42959278189542527	0.3406379719712459	0.3235212869439532	0.4481348976630404	0.5260558784570104	0.3641913094918265	0.3252818088271726	0.32319243330443886	0.2818007457118286	0.38683505631208714
f24pp	0.4089381074572921	0.33520754419208265	0.3971951302058455	0.3577558422926236	0.3904015903262943	0.41569593580421804	0.32855740279839274	0.3234933449362832	0.0	0.1957131043825255	0.3547701199617591	0.39191780183258584	0.3422263416468294	0.38203592574721223	0.3474216537139503	0.30438321478680136	0.47652376115694683	0.5098483106007591	0.3387174734778115	0.35195941232959904	0.4372189190260143	0.41541219362200177	0.32421133096134247	0.4627981039885206	0.4565969798543315	0.3952404539332669	0.30628564400908764	0.2994119497913804	0.4240255605104675	0.5019465413044375	0.34008197233925364	0.3011724716745997	0.299083096151866	0.28288178357258603	0.402824677839005
w18pp	0.31551019486569276	0.24177963160048327	0.30376721761424613	0.26432792970102426	0.29697367773469496	0.32226802321261866	0.23512949020679336	0.23006543234468382	0.1957131043825255	0.0	0.24371940397610786	0.28086708584693465	0.23117562566117816	0.27098520976156104	0.23637093772829904	0.19333249880115014	0.36547304517129564	0.3987975946151079	0.22766675749216028	0.2409086963439478	0.3261682030403631	0.3043614776363506	0.21316061497569125	0.3517473880028694	0.34554626386868026	0.28418973794761565	0.1952349280234364	0.20598403719978103	0.3305976479188682	0.4085186287128382	0.24665405974765428	0.20774455908300038	0.20565518356026666	0.18945387098098668	0.30939676524740567
