	f30pp	w12pp	w18pp	S19H1	w14pp	S2Hp	S20H1	F8H1	S12Hp	S27H1	S15Hp	S16H2	F6H1	F14H1A	w7pp	F23HpA	w28pp	w27pp	F32H1	S26Hp	S13Hp	w32pp	s32pp	f10pp	f32pp	f20ppB	f13pp	f24pp	f7pp	f15pp	f8pp	w6pp	f6ppA	w23pp	f12ppB	w10pp	f17ppB	f12ppA	w11pp	f11pp	w2pp	f2pp	f26pp	f21pp	f6ppB	f29pp	w24pp	w13pp	f22ppB	f31pp	f20ppA	w20pp	f28pp	w15pp	F7H1	F3H1	f14ppB	F16H1	S23Hp	f23ppB	f14ppA	w31pp	f16ppA	w16pp	w25pp	s24pp	f16ppB	f25pp	f23ppA	w29pp	w21pp	w26pp	w19pp	f19pp	w8pp	w17pp	w9pp	f9pp	f18pp	S30H1	F14H1B	S18H1	f17ppA	S14Hp	w1pp	f1pp	S9H1	f4pp	s3pp	S4Hp	S3Hp	w3pp	f22ppA	w4pp	S1Hp	w22pp
f30pp	0.0	0.023424506647110918	0.012652590698626492	0.23705675753825406	0.12115861913042981	0.10877579922758705	0.22024298295959055	0.1994163698443665	0.21276639412595427	0.2338921409112732	0.22703790125950418	0.2114627206452554	0.23167927982336622	0.1884372463703989	0.16521393995955216	0.18526363657855038	0.04243063491045706	0.06732642548801401	0.17699423478163528	0.24545055660616327	0.15833703411257835	0.10402913921161326	0.13907312945140887	0.045617212031813785	0.0557641693992986	0.06979774682718656	0.04868476116304505	0.03712424941594187	0.055525842902266795	0.057284251218584575	0.04883033098388582	0.08824465013606721	0.0714023319422062	0.052588777014468416	0.045019473370274884	0.049536852408152574	0.04939465531436849	0.06098099454084854	0.06102825999066411	0.058424076451856155	0.07033874224104285	0.05240655107102036	0.063779912268771	0.08365292910280722	0.040243137224907424	0.10957677283456724	0.037112889507789	0.046718701430147475	0.052136651168678445	0.11250069932296834	0.04897376253217404	0.049583048832460334	0.103965609197113	0.12506544497353156	0.2663855341211149	0.24715000473912307	0.04722908750705694	0.2377051283653543	0.12385024191277233	0.0501379888727217	0.05085160703680535	0.05534736059957762	0.043892673970764934	0.06270748719869873	0.08699400316463572	0.1555629963841979	0.06872505929377644	0.06101077961992983	0.04582403884512414	0.05711624458990877	0.08379439614601825	0.03171779102834827	0.035981199845125274	0.03290448601663781	0.04190084878983448	0.036727153127490496	0.08874683138151457	0.08292239854226874	0.09391510496677535	0.22875488188445683	0.23947485225601223	0.21999972318644787	0.11565888261849669	0.2237849180066774	0.04881447369219974	0.04467376561752827	0.16305313913328906	0.04335940729928033	0.15602317832098028	0.23956475143102668	0.21935124387001992	0.05556975770330875	0.08408828790302406	0.10588666006844596	0.21161385522037673	0.0806374559334251
w12pp	0.023424506647110918	0.0	0.012279017150529628	0.23885418217414586	0.12295604376632162	0.11057322386347886	0.22204040759548235	0.2012137944802583	0.21456381876184608	0.235689565547165	0.22883532589539599	0.2132601452811472	0.23347670445925803	0.1902346710062907	0.16701136459544397	0.1870610612144422	0.04422805954634886	0.06912385012390582	0.1787916594175271	0.24724798124205508	0.16013445874847015	0.10582656384750506	0.14087055408730065	0.04741463666770559	0.05756159403519041	0.07159517146307837	0.05048218579893685	0.03892167405183367	0.0573232675381586	0.05908167585447638	0.05062775561977762	0.09004207477195901	0.073199756578098	0.05438620165036022	0.04681689800616669	0.05133427704404438	0.051192079950260296	0.06277841917674035	0.06282568462655591	0.06022150108774796	0.07213616687693465	0.05420397570691216	0.0655773369046628	0.08545035373869903	0.04204056186079923	0.11137419747045904	0.038910314143680805	0.04851612606603928	0.05393407580457025	0.11429812395886015	0.05077118716806584	0.05138047346835214	0.1057630338330048	0.1268628696094234	0.26818295875700665	0.24894742937501488	0.049026512142948744	0.2395025530012461	0.12564766654866413	0.051935413508613505	0.052649031672697154	0.057144785235469425	0.04569009860665674	0.06450491183459053	0.08879142780052753	0.1573604210200897	0.07052248392966824	0.06280820425582163	0.047621463481015945	0.058913669225800575	0.08559182078191005	0.033515215664240074	0.03777862448101708	0.034701910652529616	0.04369827342572628	0.0385245777633823	0.09054425601740637	0.08471982317816054	0.09571252960266716	0.23055230652034864	0.24127227689190403	0.22179714782233967	0.11745630725438849	0.2255823426425692	0.05061189832809154	0.04647119025342007	0.16485056376918086	0.045156831935172136	0.15782060295687206	0.2413621760669185	0.22114866850591175	0.05736718233920055	0.08588571253891586	0.10768408470433777	0.21341127985626854	0.0824348805693169
w18pp	0.012652590698626492	0.012279017150529628	0.0	0.22808226622566144	0.11218412781783718	0.09980130791499442	0.21126849164699793	0.19044187853177388	0.20379190281336165	0.22491764959868057	0.21806340994691156	0.20248822933266278	0.2227047885107736	0.1794627550578063	0.15623944864695954	0.17628914526595776	0.03345614359786443	0.058351934175421394	0.16801974346904266	0.23647606529357065	0.14936254279998573	0.09505464789902063	0.13009863813881622	0.03664272071922116	0.04678967808670598	0.06082325551459394	0.03971026985045242	0.028149758103349243	0.04655135158967417	0.04830975990599195	0.03985583967129319	0.07927015882347457	0.062427840629613575	0.04361428570187579	0.03604498205768225	0.04056236109555995	0.040420164001775866	0.05200650322825592	0.05205376867807148	0.04944958513926353	0.06136425092845022	0.04343205975842773	0.05480542095617837	0.0746784377902146	0.0312686459123148	0.10060228152197462	0.028138398195196375	0.037744210117554855	0.04316215985608582	0.10352620801037571	0.03999927121958141	0.04060855751986771	0.09499111788452036	0.11609095366093894	0.25741104280852223	0.23817551342653046	0.038254596194464315	0.22873063705276167	0.11487575060017971	0.041163497560129075	0.041877115724212724	0.046372869286984995	0.0349181826581723	0.053732995886106104	0.07801951185204309	0.14658850507160529	0.05975056798118381	0.052036288307337204	0.036849547532531515	0.048141753277316145	0.07481990483342563	0.022743299715755644	0.027006708532532647	0.023929994704045183	0.032926357477241854	0.02775266181489787	0.07977234006892193	0.07394790722967612	0.08494061365418273	0.21978039057186421	0.23050036094341958	0.21102523187385525	0.10668439130590406	0.2148104266940848	0.03983998237960711	0.035699274304935635	0.15407864782069644	0.034384915986687706	0.14704868700838764	0.23059026011843406	0.2103767525574273	0.04659526639071612	0.07511379659043142	0.09691216875585335	0.20263936390778411	0.07166296462083248
S19H1	0.23705675753825406	0.23885418217414586	0.22808226622566144	0.0	0.2064350051670661	0.2492323688285033	0.3606995525605068	0.3504699947341493	0.36382001901573713	0.384945765801056	0.378091526149287	0.3625163455350382	0.3942664705767207	0.3510244371237534	0.3278011307129066	0.34785082733190487	0.2255459795425509	0.2504417701201079	0.3601095794137291	0.4285659012382571	0.34145237874467216	0.2871444838437071	0.3221884740835027	0.22873255666390763	0.23887951403139243	0.2529130914592804	0.23180010579513888	0.23130604852317418	0.24970764200949913	0.2514660503258169	0.24301213009111813	0.2824264492432995	0.2655841310494385	0.24677057612170072	0.2392012724775072	0.24371865151538488	0.2435764544216008	0.25516279364808087	0.2552100590978964	0.2526058755590885	0.2645205413482752	0.24658835017825267	0.2579617113760033	0.2778347282100395	0.23442493633213973	0.30375857194179956	0.23129468861502134	0.2409005005373798	0.24631845027591076	0.3066824984302007	0.24315556163940635	0.24376484793969266	0.29814740830434533	0.3192472440807639	0.46056733322834714	0.4413318038463554	0.24141088661428925	0.4318869274725866	0.31803204102000465	0.24431978797995402	0.24503340614403768	0.24952915970680994	0.23807447307799726	0.25688928630593105	0.28117580227186806	0.3497447954914302	0.26290685840100875	0.25519257872716217	0.24000583795235647	0.2512980436971411	0.28975409966891735	0.23767749455124737	0.24194090336802437	0.23886418953953692	0.2478605523127336	0.2426868566503896	0.2947065349044137	0.28888210206516785	0.29987480848967446	0.43471458540735597	0.44543455577891133	0.42595942670934694	0.3216185861413958	0.4297446215295765	0.2547741772150988	0.2506334691404274	0.36901284265618817	0.24931911082217945	0.3619828818438794	0.4455244549539258	0.4253109473929191	0.26152946122620785	0.2900479914259232	0.3118463635913451	0.41757355874327584	0.28659715945632425
w14pp	0.12115861913042981	0.12295604376632162	0.11218412781783718	0.2064350051670661	0.0	0.13333423042067905	0.24480141415268258	0.23457185632632505	0.24792188060791287	0.2690476273932318	0.2621933877414627	0.24661820712721394	0.27836833216889645	0.23512629871592913	0.2119029923050824	0.2319526889240806	0.10964784113472666	0.13454363171228362	0.24421144100590486	0.31266776283043285	0.22555424033684796	0.17124634543588285	0.20629033567567845	0.11283441825608337	0.1229813756235682	0.13701495305145617	0.11590196738731465	0.11540791011534995	0.13380950360167487	0.13556791191799267	0.1271139916832939	0.16652831083547529	0.14968599264161428	0.1308724377138765	0.12330313406968296	0.12782051310756065	0.12767831601377658	0.1392646552402566	0.1393119206900722	0.13670773715126422	0.14862240294045093	0.13069021177042844	0.14206357296817906	0.1619365898022153	0.1185267979243155	0.1878604335339753	0.11539655020719708	0.12500236212955557	0.13042031186808653	0.19078436002237642	0.12725742323158212	0.1278667095318684	0.18224926989652107	0.20334910567293965	0.3446691948205229	0.32543366543853114	0.12551274820646502	0.31598878906476235	0.2021339026121804	0.1284216495721298	0.12913526773621342	0.13363102129898569	0.12217633467017301	0.1409911478981068	0.1652776638640438	0.23384665708360597	0.14700871999318452	0.1392944403193379	0.12410769954453221	0.13539990528931684	0.1738559612610931	0.12177935614342314	0.12604276496020014	0.12296605113171268	0.13196241390490934	0.12678871824256535	0.17880839649658942	0.1729839636573436	0.1839766700818502	0.3188164469995317	0.3295364173710871	0.3100612883015227	0.20572044773357154	0.31384648312175223	0.1388760388072746	0.1347353307326031	0.2531147042483639	0.1334209724143552	0.24608474343605513	0.3296263165461015	0.3094128089850948	0.14563132281838362	0.1741498530180989	0.1959482251835208	0.3016754203354516	0.17069902104849996
S2Hp	0.10877579922758705	0.11057322386347886	0.09980130791499442	0.2492323688285033	0.13333423042067905	0.0	0.21293228684298132	0.2221890364234823	0.23553906070507008	0.256664807490389	0.24981056783862	0.2342353872243712	0.2659855122660537	0.22274347881308637	0.19952017240223963	0.21956986902123785	0.0972650212318839	0.12216081180944086	0.23182862110306213	0.3002849429275901	0.21317142043400517	0.1588635255330401	0.1939075157728357	0.1004515983532406	0.11059855572072544	0.12463213314861339	0.10351914748447189	0.10302509021250719	0.12142668369883211	0.12318509201514989	0.11473117178045113	0.15414549093263252	0.13730317273877152	0.11848961781103373	0.1109203141668402	0.11543769320471789	0.1152954961109338	0.12688183533741387	0.1269291007872294	0.12432491724842147	0.13623958303760816	0.11830739186758567	0.12968075306533633	0.14955376989937252	0.10614397802147274	0.17547761363113257	0.10301373030435432	0.11261954222671279	0.11803749196524375	0.17840154011953366	0.11487460332873935	0.11548388962902564	0.1698664499936783	0.1909662857700969	0.33228637491768015	0.3130508455356884	0.11312992830362226	0.3036059691619196	0.18975108270933766	0.11603882966928701	0.11675244783337066	0.12124820139614294	0.10979351476733025	0.12860832799526406	0.15289484396120104	0.22146383718076323	0.13462590009034175	0.12691162041649515	0.11172487964168945	0.12301708538647409	0.16147314135825036	0.10939653624058038	0.11365994505735738	0.11058323122886991	0.11957959400206658	0.11440589833972259	0.16642557659374665	0.16060114375450085	0.17159385017900747	0.3064336270966889	0.31715359746824434	0.29767846839867995	0.19333762783072878	0.3014636632189095	0.12649321890443183	0.12235251082976036	0.24073188434552117	0.12103815251151244	0.23370192353321237	0.3172434966432588	0.29702998908225203	0.13324850291554086	0.16176703311525614	0.18356540528067805	0.28929260043260885	0.1583162011456572
S20H1	0.22024298295959055	0.22204040759548235	0.21126849164699793	0.3606995525605068	0.24480141415268258	0.21293228684298132	0.0	0.3336562201554858	0.3470062444370736	0.36813199122239254	0.3612777515706235	0.3457025709563747	0.3774526959980572	0.3342106625450899	0.3109873561342431	0.33103705275324136	0.2087322049638874	0.23362799554144434	0.3432958048350656	0.4117521266595936	0.32463860416600865	0.2703307092650436	0.3053746995048392	0.21191878208524412	0.22206573945272892	0.2360993168806169	0.21498633121647537	0.21449227394451068	0.23289386743083562	0.2346522757471534	0.22619835551245462	0.265612674664636	0.248770356470775	0.22995680154303721	0.22238749789884368	0.22690487693672137	0.2267626798429373	0.23834901906941736	0.23839628451923292	0.23579210098042497	0.24770676676961167	0.22977457559958916	0.2411479367973398	0.261020953631376	0.21761116175347622	0.28694479736313605	0.21448091403635783	0.2240867259587163	0.22950467569724725	0.28986872385153717	0.22634178706074284	0.22695107336102915	0.2813336337256818	0.30243346950210037	0.44375355864968363	0.4245180292676919	0.22459711203562574	0.4150731528939231	0.30121826644134114	0.2275060134012905	0.22821963156537417	0.23271538512814643	0.22126069849933375	0.24007551172726754	0.26436202769320455	0.3329310209127667	0.24609308382234524	0.23837880414849866	0.22319206337369296	0.23448426911847758	0.27294032509025384	0.22086371997258386	0.22512712878936086	0.2220504149608734	0.2310467777340701	0.2258730820717261	0.27789276032575017	0.27206832748650434	0.28306103391101095	0.41790081082869246	0.4286207812002478	0.40914565213068343	0.3048048115627323	0.412930846950913	0.23796040263643534	0.23381969456176385	0.35219906807752466	0.23250533624351594	0.3451691072652159	0.4287106803752623	0.40849717281425557	0.24471568664754437	0.2732342168472597	0.2950325890126816	0.40075978416461233	0.26978338487766074
F8H1	0.1994163698443665	0.2012137944802583	0.19044187853177388	0.3504699947341493	0.23457185632632505	0.2221890364234823	0.3336562201554858	0.0	0.17750479838577995	0.3145022011781826	0.32858884171529334	0.31301366110104456	0.35662608288283315	0.31338404942986586	0.29016074301901906	0.3102104396380173	0.18790559184866334	0.2128013824262203	0.32246919171984156	0.39092551354436955	0.3038119910507846	0.24950409614981955	0.28454808638961515	0.19109216897002007	0.20123912633750488	0.21527270376539284	0.19415971810125132	0.19366566082928663	0.21206725431561158	0.21382566263192934	0.20537174239723058	0.24478606154941196	0.22794374335555095	0.20913018842781317	0.20156088478361964	0.20607826382149733	0.20593606672771325	0.2175224059541933	0.21756967140400887	0.21496548786520092	0.22688015365438763	0.20894796248436512	0.22032132368211577	0.240194340516152	0.19678454863825218	0.266118184247912	0.19365430092113378	0.20326011284349224	0.2086780625820232	0.2690421107363131	0.2055151739455188	0.2061244602458051	0.2605070206104578	0.2816068563868763	0.4229269455344596	0.40369141615246784	0.2037704989204017	0.39424653977869906	0.2803916533261171	0.20667940028606646	0.20739301845015012	0.2118887720129224	0.2004340853841097	0.2192488986120435	0.2435354145779805	0.31210440779754267	0.2252664707071212	0.2175521910332746	0.20236545025846892	0.21365765600325354	0.2521137119750298	0.20003710685735981	0.20430051567413682	0.20122380184564936	0.21022016461884604	0.20504646895650205	0.2570661472105261	0.2512417143712803	0.2622344207957869	0.3970741977134684	0.4077941680850238	0.3883190390154594	0.28397819844750827	0.39210423383568893	0.2171337895212113	0.2129930814465398	0.3313724549623006	0.2116787231282919	0.32434249414999183	0.40788406726003823	0.3876705596990315	0.22388907353232032	0.25240760373203563	0.27420597589745754	0.3799331710493883	0.24895677176243666
S12Hp	0.21276639412595427	0.21456381876184608	0.20379190281336165	0.36382001901573713	0.24792188060791287	0.23553906070507008	0.3470062444370736	0.17750479838577995	0.0	0.3278522254597704	0.34193886599688117	0.3263636853826324	0.3699761071644209	0.3267340737114536	0.3035107673006069	0.3235604639196051	0.2012556161302511	0.22615140670780806	0.33581921600142933	0.4042755378259573	0.3171620153323724	0.2628541204314073	0.2978981106712029	0.20444219325160784	0.21458915061909264	0.2286227280469806	0.2075097423828391	0.2070156851108744	0.22541727859719934	0.2271756869135171	0.21872176667881835	0.25813608583099973	0.24129376763713872	0.22248021270940094	0.2149109090652074	0.2194282881030851	0.21928609100930102	0.23087243023578108	0.23091969568559664	0.2283155121467887	0.2402301779359754	0.2222979867659529	0.23367134796370354	0.2535443647977398	0.21013457291983995	0.2794682085294998	0.20700432520272155	0.21661013712508	0.22202808686361097	0.2823921350179009	0.21886519822710657	0.21947448452739288	0.27385704489204554	0.2949568806684641	0.43627696981604736	0.4170414404340556	0.21712052320198946	0.4075965640602868	0.29374167760770487	0.22002942456765423	0.2207430427317379	0.22523879629451016	0.21378410966569747	0.23259892289363127	0.25688543885956827	0.32545443207913044	0.23861649498870896	0.23090221531486238	0.21571547454005668	0.2270076802848413	0.26546373625661757	0.21338713113894758	0.2176505399557246	0.21457382612723713	0.2235701889004338	0.21839649323808982	0.2704161714921139	0.26459173865286806	0.2755844450773747	0.4104242219950561	0.42114419236661155	0.4016690632970472	0.297328222729096	0.40545425811727676	0.23048381380279906	0.22634310572812757	0.3447224792438884	0.22502874740987966	0.3376925184315796	0.42123409154162605	0.40102058398061924	0.2372390978139081	0.2657576280136234	0.2875560001790453	0.39328319533097605	0.2623067960440244
S27H1	0.2338921409112732	0.235689565547165	0.22491764959868057	0.384945765801056	0.2690476273932318	0.256664807490389	0.36813199122239254	0.3145022011781826	0.3278522254597704	0.0	0.36306461278220004	0.34748943216795125	0.39110185394973984	0.34785982049677255	0.32463651408592575	0.344686210704924	0.22238136291557004	0.24727715349312698	0.35694496278674825	0.42540128461127624	0.3382877621176913	0.28397986721672624	0.31902385745652184	0.22556794003692676	0.23571489740441157	0.24974847483229953	0.228635489168158	0.22814143189619332	0.24654302538251827	0.24830143369883603	0.23984751346413727	0.27926183261631865	0.26241951442245764	0.24360595949471986	0.23603665585052633	0.24055403488840402	0.24041183779461994	0.2519981770211	0.25204544247091554	0.2494412589321076	0.2613559247212943	0.2434237335512718	0.25479709474902246	0.27467011158305865	0.23126031970515887	0.3005939553148187	0.22813007198804047	0.23773588391039893	0.2431538336489299	0.3035178818032198	0.2399909450124255	0.2406002313127118	0.29498279167736446	0.316082627453783	0.4574027166013663	0.43816718721937453	0.23824626998730838	0.42872231084560575	0.3148674243930238	0.24115517135297315	0.24186878951705681	0.24636454307982908	0.2349098564510164	0.2537246696789502	0.2780111856448872	0.34658017886444936	0.2597422417740279	0.2520279621001813	0.2368412213253756	0.24813342707016023	0.2865894830419365	0.2345128779242665	0.2387762867410435	0.23569957291255605	0.24469593568575274	0.23952224002340874	0.2915419182774328	0.285717485438187	0.2967101918626936	0.4315499687803751	0.44226993915193047	0.4227948100823661	0.31845396951441496	0.4265800049025956	0.25160956058811795	0.2474688525134465	0.3658482260292073	0.24615449419519858	0.3588182652168985	0.4423598383269449	0.4221463307659382	0.258364844599227	0.2868833747989423	0.30868174696436423	0.414408942116295	0.2834325428293434
