	f15pp	w11pp	f1pp	w1pp	w14pp	f7pp	s24pp	f19pp	w9pp	f6ppB	f22ppB	w16pp	w19pp	f2pp	f25pp	f16ppB	w25pp	f16ppA	f24pp	w18pp	w12pp	w23pp	S16H2	w7pp	w10pp	w32pp	f22ppA	S10H1	w31pp	w28pp	f4pp	S2Hp	w17pp	w4pp	w2pp	f13pp	w13pp	w6pp	f20ppA	f6ppA	w20pp	w22pp	f32pp	f14ppA	f11pp	w21pp	w3pp	w29pp	f10pp	w24pp	f12ppB	w15pp	w26pp	w8pp	f8pp
f15pp	0.0	0.23880735779161988	0.30180841057235736	0.28705948014352745	0.24798649293487496	0.26283047569715007	0.364737980427964	0.3113029066345	0.3347685022659963	0.27925447929212455	0.3076634623853505	0.30927961967944145	0.29618644456576093	0.29608389027368387	0.3097260615290257	0.30471123112849563	0.31665454859698805	0.28096124114023446	0.2031359113589131	0.25940272005065207	0.29523996987761914	0.3037168131104452	0.47025973584548836	0.36491081659243285	0.25080944446549913	0.3610608289949683	0.34612006559440484	0.43031549535595576	0.3505850849172932	0.35522441056247017	0.3387737076846584	0.44913998221477613	0.29162577515277177	0.37652463988398016	0.2784261009294569	0.30781485501581163	0.30440487548287043	0.2994895625341738	0.29447313649476015	0.35723610325513033	0.28582692013617783	0.35708759182570093	0.3171419219006222	0.3040742690332565	0.3016873048482792	0.3215495393118083	0.2545587110179541	0.2929056106923954	0.32272682276505626	0.21167231585909335	0.24830635172952026	0.3226551033279844	0.2607552565866115	0.25109232754655936	0.21683389567649605
w11pp	0.23880735779161988	0.0	0.3251558402083847	0.3104069097795549	0.27133392257090233	0.28617790533317744	0.38808541006399133	0.33465033627052737	0.35811593190202373	0.302601908928152	0.3310108920213779	0.3326270493154688	0.3195338742017883	0.3194313199097112	0.33307349116505314	0.32805866076452306	0.3400019782330154	0.30430867077626184	0.22648334099494047	0.28275014968667944	0.31858739951364656	0.3270642427464726	0.49360716548151573	0.3882582462284602	0.2741568741015265	0.38440825863099565	0.3694674952304322	0.45366292499198313	0.37393251455332055	0.37857184019849754	0.3621211373206858	0.4724874118508035	0.3149732047887992	0.39987206952000753	0.3017735305654843	0.33116228465183906	0.32775230511889786	0.32283699217020123	0.31782056613078746	0.38058353289115776	0.30917434977220515	0.38043502146172825	0.3404893515366496	0.3274216986692839	0.3250347344843066	0.3448969689478357	0.27790614065398145	0.3162530403284227	0.3460742524010837	0.23501974549512072	0.27165378136554763	0.34600253296401184	0.28410268622263884	0.27443975718258673	0.24018132531252342
f1pp	0.30180841057235736	0.3251558402083847	0.0	0.17883285472183696	0.1788680981797579	0.21476755555340854	0.31667506028422243	0.26323998649075847	0.28670558212225483	0.23119155914838302	0.259600542241609	0.27508248560227333	0.2619893104885928	0.2618867561965157	0.27552892745185764	0.27051409705132756	0.2824574145198199	0.2467641070630663	0.18398924602942043	0.2402560547211594	0.27609330454812653	0.2845701477809526	0.4511130705159957	0.3457641512629402	0.23166277913600647	0.3419141636654756	0.3269734002649122	0.4111688300264631	0.3314384195878005	0.3360777452329775	0.31962704235516576	0.42999331688528347	0.27247910982327916	0.3573779745544875	0.25927943559996425	0.288668189686319	0.2852582101533778	0.2803428972046812	0.27532647116526743	0.3380894379256377	0.2666802548066851	0.3379409264962082	0.2979952565711296	0.30080530314630965	0.29841833896133235	0.3182805734248615	0.2512897451310072	0.2896366448054485	0.31945785687810946	0.2084033499721465	0.2450373858425734	0.3193861374410376	0.25748629069966467	0.24782336165961252	0.22520381244667417
w1pp	0.28705948014352745	0.3104069097795549	0.17883285472183696	0.0	0.164119167750928	0.20001862512457866	0.3019261298553926	0.2484910560619286	0.2719566516934249	0.21644262871955317	0.2448516118127791	0.2603335551734435	0.24724038005976293	0.24713782576768584	0.26077999702302773	0.25576516662249765	0.26770848409099	0.23201517663423643	0.16924031560059055	0.22550712429232955	0.2613443741192966	0.26982121735212267	0.43636414008716584	0.3310152208341103	0.21691384870717662	0.3271652332366457	0.3122244698360823	0.39641989959763324	0.31668948915897066	0.32132881480414766	0.30487811192633585	0.41524438645645356	0.25773017939444925	0.34262904412565764	0.24453050517113434	0.2739192592574891	0.2705092797245479	0.2655939667758513	0.2605775407364376	0.3233405074968078	0.25193132437785526	0.32319199606737836	0.28324632614229966	0.28605637271747975	0.28366940853250244	0.3035316429960316	0.23654081470217736	0.27488771437661863	0.30470892644927955	0.1936544195433166	0.23028845541374354	0.3046372070122077	0.24273736027083476	0.23307443123078264	0.2104548820178443
w14pp	0.24798649293487496	0.27133392257090233	0.1788680981797579	0.164119167750928	0.0	0.16094563791592614	0.2628531426467401	0.20941806885327607	0.23288366448477243	0.17736964151090065	0.2057786246041266	0.22126056796479093	0.2081673928511104	0.20806483855903335	0.22170700981437524	0.21669217941384517	0.22863549688233753	0.19294218942558394	0.13016732839193806	0.18643413708367707	0.22227138691064413	0.23074823014347018	0.39729115287851335	0.2919422336254578	0.17784086149852413	0.2880922460279932	0.27315148262742983	0.35734691238898075	0.2776165019503182	0.28225582759549517	0.26580512471768336	0.3761713992478011	0.21865719218579677	0.30355605691700516	0.20545751796248185	0.23484627204883662	0.23143629251589543	0.2265209795671988	0.2215045535277851	0.28426752028815533	0.21285833716920277	0.2841190088587259	0.24417333893364718	0.24698338550882729	0.24459642132384998	0.2644586557873791	0.19746782749352487	0.23581472716796614	0.26563593924062706	0.15458143233466412	0.19121546820509105	0.2655642198035552	0.20366437306218227	0.19400144402213015	0.1713818948091918
f7pp	0.26283047569715007	0.28617790533317744	0.21476755555340854	0.20001862512457866	0.16094563791592614	0.0	0.26173462973876305	0.2082995559452991	0.23176515157679542	0.17625112860292363	0.20466011169614962	0.23610455072706604	0.22301137561338552	0.22290882132130843	0.23655099257665033	0.23153616217612025	0.24347947964461264	0.20778617218785903	0.14501131115421317	0.20127811984595215	0.23711536967291924	0.2455922129057453	0.4121351356407884	0.3067862163877329	0.1926848442607992	0.3029362287902683	0.2879954653897049	0.3721908951512558	0.2924604847125932	0.2970998103577702	0.28064910747995847	0.3910153820100762	0.23350117494807188	0.3184000396792802	0.22030150072475696	0.24969025481111173	0.24628027527817054	0.2413649623294739	0.2363485362900602	0.29911150305043044	0.22770231993147788	0.298962991621001	0.2590173216959223	0.26182736827110237	0.25944040408612506	0.2793026385496542	0.21231181025579995	0.25065870993024125	0.28047992200290217	0.1694254150969392	0.20605945096736614	0.2804082025658303	0.21850835582445738	0.20884542678440526	0.18622587757146689
s24pp	0.364737980427964	0.38808541006399133	0.31667506028422243	0.3019261298553926	0.2628531426467401	0.26173462973876305	0.0	0.24382716466514937	0.30104384344294194	0.25686335316182585	0.2879299343036673	0.33801205545787993	0.32491888034419947	0.32481632605212235	0.33845849730746425	0.33344366690693417	0.3453869843754266	0.30969367691867294	0.24691881588502707	0.30318562457676607	0.33902287440373313	0.3474997176365592	0.5140426403716023	0.40869372111854685	0.29459234899161313	0.40484373352108227	0.3899029701205188	0.4740983998820697	0.3943679894434071	0.3990073150885841	0.3825566122107724	0.49292288674089013	0.33540867967888577	0.4203075444100941	0.32220900545557085	0.3515977595419256	0.3481877800089844	0.3432724670602878	0.3382560410208741	0.40101900778124433	0.3296098246622918	0.4008704963518149	0.3609248264267362	0.3637348730019163	0.361347908816939	0.3812101432804681	0.3142193149866139	0.35256621466105514	0.38238742673371606	0.2713329198277531	0.30796695569818006	0.3823157072966442	0.32041586055527127	0.31075293151521916	0.2881333823022808
f19pp	0.3113029066345	0.33465033627052737	0.26323998649075847	0.2484910560619286	0.20941806885327607	0.2082995559452991	0.24382716466514937	0.0	0.24760876964947798	0.2034282793683619	0.23449486051020335	0.284576981664416	0.27148380655073545	0.2713812522586584	0.28502342351400023	0.28000859311347015	0.29195191058196257	0.256258603125209	0.19348374209156308	0.24975055078330205	0.2855878006102691	0.29406464384309516	0.46060756657813834	0.35525864732508283	0.2411572751981491	0.35140865972761826	0.3364678963270548	0.42066332608860574	0.34093291564994316	0.34557224129512015	0.3291215384173084	0.4394878129474261	0.28197360588542175	0.36687247061663014	0.2687739316621069	0.2981626857484616	0.2947527062155204	0.2898373932668238	0.2848209672274101	0.3475839339877803	0.2761747508688278	0.3474354225583509	0.30748975263327216	0.3102997992084523	0.307912835023475	0.3277750694870041	0.26078424119314986	0.2991311408675912	0.32895235294025205	0.21789784603428913	0.25453188190471604	0.3288806335031802	0.26698078676180725	0.2573178577217552	0.23469830850881682
w9pp	0.3347685022659963	0.35811593190202373	0.28670558212225483	0.2719566516934249	0.23288366448477243	0.23176515157679542	0.30104384344294194	0.24760876964947798	0.0	0.2268938749998582	0.2579604561416997	0.30804257729591233	0.29494940218223176	0.2948468478901547	0.3084890191454966	0.3034741887449665	0.3154175062134589	0.2797241987567053	0.2169493377230594	0.2732161464147984	0.3090533962417655	0.3175302394745915	0.4840731622096347	0.37872424295657914	0.2646228708296455	0.37487425535911456	0.3599334919585512	0.4441289217201021	0.3643985112814395	0.3690378369266165	0.3525871340488047	0.4629534085789224	0.3054392015169181	0.3903380662481265	0.2922395272936032	0.32162828137995797	0.31821830184701677	0.31330298889832014	0.30828656285890643	0.3710495296192767	0.2996403465003241	0.3709010181898472	0.3309553482647685	0.3337653948399486	0.3313784306549713	0.35124066511850044	0.2842498368246462	0.3225967364990875	0.3524179485717484	0.24136344166578547	0.2779974775362124	0.35234622913467656	0.2904463823933036	0.2807834533532515	0.25816390414031315
f6ppB	0.27925447929212455	0.302601908928152	0.23119155914838302	0.21644262871955317	0.17736964151090065	0.17625112860292363	0.25686335316182585	0.2034282793683619	0.2268938749998582	0.0	0.20244643316782793	0.2525285543220405	0.23943537920836	0.23933282491628294	0.25297499617162483	0.24796016577109475	0.2599034832395871	0.22421017578283353	0.16143531474918765	0.21770212344092665	0.2535393732678937	0.26201621650071977	0.42855913923576294	0.3232102199827074	0.20910884785577372	0.3193602323852428	0.3044194689846794	0.38861489874623034	0.30888448830756776	0.31352381395274476	0.29707311107493295	0.40743938560505066	0.24992517854304636	0.33482404327425475	0.23672550431973144	0.2661142584060862	0.262704278873145	0.2577889659244484	0.2527725398850347	0.3155355066454049	0.24412632352645236	0.31538699521597546	0.27544132529089677	0.27825137186607685	0.27586440768109954	0.2957266421446287	0.22873581385077446	0.26708271352521573	0.29690392559787665	0.1858494186919137	0.22248345456234064	0.2968322061608048	0.23493235941943186	0.22526943037937974	0.2026498811664414
