	S23Hp	f13pp	f12ppB	w32pp	s32pp	S4Hp	s31pp	S17H1	S20H1	f9pp	w1pp	S1Hp	f4pp	w19pp	w21pp	f30pp	S10H1	S3Hp	S2Hp	s3pp	w3pp	f12ppA	S27H1	s27pp	S15Hp	S26Hp	F32H1	f2pp	w24pp	w26pp	s12pp	w18pp	s26pp	w2pp	f25pp	F16H1	w23pp	S11Hp	s23pp	s17pp	s14pp	s10pp	w29pp	s29pp	s24pp	F14H1A	w14pp	w28pp	s28pp	f28pp	w11pp	w27pp	f6ppB	w20pp	w6pp	F3H1	w13pp	f6ppA	f20ppA	f14ppB	s18pp	w10pp	f32pp	s25pp	f16ppA	w16pp	w25pp	f16ppB	w4pp	F7H1	F8H1	S12Hp	s4pp	f17ppB	F6H1	w17pp	S19H1	f14ppA	w9pp	f19pp	f7pp	f10pp	f24pp	s2pp	w31pp	f26pp	f11pp	w12pp	s19pp	f21pp	f23ppB	s11pp	w8pp	s8pp	s7pp	w7pp	f8pp	f1pp	s22pp	S22Hp	s1pp	s30pp	f22ppA	w22pp	w15pp	f15pp	S9H1
S23Hp	0.0	0.30808635913390714	0.31141952335982	0.26702670163923803	0.34078967782813185	0.38377173378478824	0.3305794072621721	0.37837969939726834	0.37365980701598533	0.3740689017196064	0.32704534317279543	0.4309882705682091	0.34912378526473375	0.3275354305293966	0.39301651212271466	0.4277926117680071	0.37360242933886884	0.48489835253983726	0.4410181953700403	0.34314175475186937	0.34944987283594464	0.3677488465334442	0.3356627058899672	0.3275154021322485	0.45964359072942584	0.45505855291271047	0.4206386831312797	0.3179928761559768	0.30479377201170976	0.30521162067193086	0.3388706116905781	0.35138927040529344	0.4377380702272241	0.3208306553821941	0.3664362558097047	0.4326811543282716	0.41795310431059596	0.5016476370817601	0.4384713762496212	0.46354639210527326	0.5106892626456478	0.5307258884346079	0.4341092791024995	0.44454306405311916	0.44753067605403407	0.48406976547978886	0.3924162766564948	0.37272424091986733	0.4008320671832759	0.41890266826067246	0.30771412180539237	0.3089168009409061	0.36020894243618495	0.3298808066475057	0.4335806332461811	0.46668899842203315	0.3457442678141056	0.3731954331537749	0.3345198297833475	0.34905322033234937	0.3258174872317272	0.29957045522821824	0.3970190440179036	0.3385759914483246	0.33783530156581054	0.34084247548217406	0.3801580484089473	0.41435421753427837	0.3790834919792715	0.5292123847200585	0.5107203344267857	0.5244907757635401	0.46420049514568795	0.4010712344297743	0.40946799303432735	0.3964847579869629	0.42644298197884545	0.4113358897074385	0.3467637593356748	0.35770995235315145	0.30903293896735773	0.34074314072525613	0.3216242521727494	0.27212611092691935	0.31521421878730205	0.32891810785753245	0.31282391079633365	0.30374580184362454	0.303151518000482	0.3474307941602613	0.3355292174549859	0.4003761024643867	0.32872597300196893	0.3501905510102128	0.40553602794300314	0.366868677918033	0.35733750691403626	0.3457182303768503	0.48490530469257387	0.4731679885103247	0.3477070881293196	0.27137962004318866	0.3346440433220693	0.2885156595771935	0.2681927342544257	0.3104300452787622	0.3118040230255435
f13pp	0.30808635913390714	0.0	0.19222758894047126	0.16874593209806307	0.24250890828695693	0.2854909642436133	0.23229863772099718	0.2800989298560934	0.29336014817807116	0.29376924288169226	0.24674568433488125	0.350688611730295	0.2688241264268196	0.24723577169148242	0.3127168532848005	0.3474929529300929	0.29330277050095466	0.40459869370192314	0.36071853653212615	0.2628420959139552	0.26915021399803046	0.28744918769553	0.25536304705205304	0.24721574329433432	0.37934393189151167	0.37475889407479634	0.34033902429336554	0.2376932173180627	0.22449411317379558	0.22491196183401668	0.2585709528526639	0.27108961156737926	0.35743841138930993	0.2405309965442799	0.2861365969717905	0.35238149549035747	0.33765344547268183	0.4213479782438459	0.35817171741170706	0.38324673326735914	0.4303896038077337	0.4504262295966937	0.3538096202645854	0.364243405215205	0.3672310172161199	0.4037701066418747	0.31211661781858063	0.29242458208195315	0.3205324083453618	0.33860300942275834	0.22741446296747825	0.228617142102992	0.2799092835982708	0.2495811478095915	0.35328097440826695	0.38638933958411903	0.26544460897619143	0.2928957743158607	0.2542201709454333	0.2687535614944352	0.24551782839381303	0.21927079639030406	0.31671938517998943	0.25827633261041044	0.25753564272789636	0.2605428166442599	0.2998583895710331	0.3340545586963642	0.29878383314135737	0.44891272588214437	0.4304206755888715	0.4441911169256259	0.3839008363077738	0.32077157559186015	0.3291683341964132	0.31618509914904874	0.34614332314093127	0.33103623086952433	0.26646410049776065	0.27741029351523727	0.2287332801294436	0.26044348188734195	0.24132459333483525	0.19182645208900517	0.23491455994938792	0.24861844901961827	0.23252425195841947	0.22344614300571042	0.22285185916256783	0.2671311353223471	0.2552295586170717	0.32007644362647253	0.2484263141640548	0.2698908921722986	0.325236369105089	0.2865690190801189	0.2770378480761221	0.2654185715389361	0.40460564585465975	0.39286832967241053	0.26740742929140543	0.19107996120527448	0.25434438448415514	0.20821600073927932	0.1878930754165115	0.23013038644084804	0.3258362265627812
f12ppB	0.31141952335982	0.19222758894047126	0.0	0.17207909632397592	0.24584207251286977	0.2888241284695262	0.23563180194691002	0.2834320940820062	0.296693312403984	0.2971024071076051	0.2500788485607941	0.3540217759562078	0.2721572906527324	0.25056893591739526	0.3160500175107133	0.35082611715600576	0.2966359347268675	0.407931857927836	0.364051700758039	0.26617526013986803	0.2724833782239433	0.29078235192144286	0.2586962112779659	0.25054890752024717	0.3826770961174245	0.3780920583007092	0.3436721885192784	0.24102638154397554	0.22782727739970843	0.22824512605992953	0.26190411707857675	0.2744227757932921	0.3607715756152228	0.24386416077019274	0.28946976119770335	0.3557146597162703	0.3409866096985947	0.42468114246975874	0.3615048816376199	0.386579897493272	0.43372276803364657	0.45375939382260655	0.35714278449049824	0.36757656944111783	0.37056418144203274	0.4071032708677875	0.3154497820444935	0.295757746307866	0.32386557257127463	0.3419361736486712	0.2307476271933911	0.23195030632890484	0.2832424478241836	0.25291431203550435	0.3566141386341798	0.3897225038100319	0.2687777732021043	0.29622893854177357	0.25755333517134615	0.27208672572034803	0.24885099261972587	0.2226039606162169	0.3200525494059023	0.2616094968363233	0.2608688069538092	0.2638759808701727	0.30319155379694596	0.33738772292227703	0.3021169973672702	0.4522458901080572	0.4337538398147843	0.44752428115153875	0.3872340005336866	0.324104739817773	0.33250149842232607	0.3195182633749616	0.3494764873668441	0.33436939509543717	0.2697972647236735	0.2807434577411501	0.23206644435535645	0.2637766461132548	0.2446577575607481	0.19515961631491802	0.23824772417530077	0.2519516132455311	0.2358574161843323	0.22677930723162326	0.22618502338848068	0.27046429954825996	0.25856272284298454	0.3234096078523854	0.25175947838996765	0.27322405639821146	0.32856953333100186	0.28990218330603174	0.2803710123020349	0.26875173576484895	0.4079388100805726	0.3962014938983234	0.2707405935173183	0.19441312543118733	0.257677548710068	0.21154916496519216	0.19122623964242436	0.2334635506667609	0.32916939078869406
w32pp	0.26702670163923803	0.16874593209806307	0.17207909632397592	0.0	0.07825562704058105	0.2064306193276642	0.18770560081494808	0.23550589295004432	0.25230049068340205	0.2527095853870231	0.20568602684021214	0.3096289542356258	0.2277644689321504	0.20617611419681325	0.27165719579013137	0.3064332954354238	0.25224311300628555	0.363539036207254	0.319658879037457	0.22178243841928608	0.22809055650336135	0.24638953020086085	0.21430338955738393	0.2061560857996652	0.3382842743968425	0.3336992365801272	0.29927936679869643	0.19663355982339353	0.18343445567912647	0.18385230433934752	0.21751129535799474	0.2300299540727101	0.31637875389464076	0.19947133904961079	0.2450769394771214	0.3113218379956883	0.2965937879780127	0.38028832074917673	0.31711205991703795	0.34218707577269	0.38932994631306456	0.40936657210202454	0.3127499627699163	0.3231837477205358	0.3261713597214507	0.3627104491472055	0.2710569603239115	0.25136492458728404	0.2794727508506926	0.29754335192808923	0.18635480547280908	0.18755748460832283	0.23884962610360166	0.2085214903149224	0.31222131691359784	0.34532968208944986	0.22438495148152227	0.25183611682119156	0.2131605134507642	0.22769390399976608	0.20445817089914387	0.17821113889563495	0.2756597276853203	0.21721667511574128	0.21647598523322725	0.21948315914959077	0.258798732076364	0.292994901201695	0.2577241756466882	0.4078530683874752	0.3893610180942023	0.40313145943095674	0.3428411788131046	0.27971191809719104	0.28810867670174406	0.2751254416543796	0.30508366564626216	0.2899765733748552	0.22540444300309148	0.23635063602056816	0.18767362263477444	0.21938382439267284	0.20026493584016614	0.15076679459433606	0.19385490245471876	0.20755879152494916	0.1914645944637503	0.18238648551104125	0.18179220166789872	0.226071477827678	0.21416990112240253	0.2790167861318034	0.20736665666938564	0.2288312346776295	0.28417671161041985	0.24550936158544973	0.23597819058145297	0.224358914044267	0.3635459883599906	0.35180867217774137	0.22634777179673632	0.15002030371060537	0.21328472698948597	0.1671563432446102	0.14683341792184235	0.18907072894617893	0.2847765690681121
s32pp	0.34078967782813185	0.24250890828695693	0.24584207251286977	0.07825562704058105	0.0	0.2801935955165581	0.26146857700384196	0.30926886913893814	0.32606346687229587	0.326472561575917	0.27944900302910597	0.3833919304245197	0.30152744512104424	0.2799390903857071	0.3454201719790252	0.3801962716243176	0.32600608919517937	0.43730201239614785	0.39342185522635087	0.2955454146081799	0.3018535326922552	0.3201525063897547	0.28806636574627775	0.27991906198855904	0.4120472505857363	0.40746221276902106	0.37304234298759026	0.2703965360122874	0.2571974318680203	0.25761528052824134	0.29127427154688856	0.3037929302616039	0.3901417300835346	0.2732343152385046	0.3188399156660152	0.3850848141845822	0.37035676416690655	0.45405129693807056	0.3908750361059318	0.41595005196158386	0.46309292250195844	0.48312954829091836	0.3865129389588101	0.39694672390942964	0.39993433591034455	0.43647342533609934	0.34481993651280535	0.32512790077617787	0.3532357270395865	0.37130632811698305	0.26011778166170296	0.2613204607972167	0.3126126022924955	0.2822844665038162	0.38598429310249166	0.41909265827834374	0.2981479276704161	0.3255990930100854	0.286923489639658	0.3014568801886599	0.2782211470880377	0.25197411508452877	0.34942270387421415	0.2909796513046351	0.2902389614221211	0.2932461353384846	0.3325617082652578	0.36675787739058885	0.3314871518355821	0.4816160445763691	0.46312399428309614	0.47689443561985057	0.41660415500199843	0.35347489428608486	0.36187165289063794	0.3488884178432734	0.378846641835156	0.36373954956374904	0.2991674191919853	0.310113612209462	0.2614365988236683	0.29314680058156667	0.27402791202905996	0.2245297707832299	0.26761787864361264	0.281321767713843	0.26522757065264413	0.25614946169993513	0.25555517785679255	0.2998344540165718	0.28793287731129635	0.35277976232069724	0.2811296328582795	0.3025942108665233	0.35793968779931373	0.3192723377743436	0.3097411667703468	0.2981218902331608	0.43730896454888446	0.4255716483666352	0.30011074798563014	0.2237832798994992	0.2870477031783798	0.24091931943350403	0.2205963941107362	0.26283370513507276	0.35853954525700593
S4Hp	0.38377173378478824	0.2854909642436133	0.2888241284695262	0.2064306193276642	0.2801935955165581	0.0	0.30445063296049835	0.3522509250955946	0.3690455228289523	0.36945461753257336	0.3224310589857624	0.4263739863811761	0.3445095010777007	0.3229211463423635	0.3884022279356816	0.42317832758097407	0.36898814515183576	0.48028406835280424	0.43640391118300725	0.33852747056483634	0.3448355886489116	0.3631345623464111	0.33104842170293414	0.3229011179452155	0.45502930654239276	0.45044426872567744	0.4160243989442467	0.3133785919689438	0.30017948782467674	0.3005973364848978	0.334256327503545	0.34677498621826036	0.43312378604019103	0.316216371195161	0.3618219716226716	0.42806687014123856	0.41333882012356293	0.497033352894727	0.43385709206258816	0.45893210791824024	0.5060749784586148	0.5261116042475749	0.4294949949154665	0.4399287798660861	0.442916391867001	0.4794554812927558	0.3878019924694618	0.3681099567328343	0.3962177829962429	0.41428838407363944	0.30309983761835935	0.3043025167538731	0.35559465824915193	0.3252665224604726	0.4289663490591481	0.46207471423500013	0.34112998362707253	0.3685811489667418	0.32990554559631446	0.3444389361453163	0.32120320304469413	0.2949561710411852	0.39240475983087053	0.33396170726129154	0.3332210173787775	0.33622819129514103	0.37554376422191427	0.4097399333472453	0.37446920779223847	0.5245981005330255	0.5061060502397525	0.5198764915765071	0.4595862109586549	0.3964569502427413	0.4048537088472943	0.39187047379992984	0.4218286977918124	0.4067216055204055	0.34214947514864175	0.35309566816611837	0.3044186547803247	0.3361288565382231	0.31700996798571635	0.26751182673988627	0.310599934600269	0.32430382367049937	0.30820962660930057	0.2991315176565915	0.298537233813449	0.3428165099732282	0.3309149332679528	0.3957618182773537	0.3241116888149359	0.34557626682317977	0.4009217437559701	0.362254393731	0.3527232227270032	0.3411039461898172	0.48029102050554084	0.46855370432329163	0.3430928039422866	0.2667653358561556	0.33002975913503624	0.28390137539016047	0.2635784500673926	0.30581576109172914	0.4015216012136623
s31pp	0.3305794072621721	0.23229863772099718	0.23563180194691002	0.18770560081494808	0.26146857700384196	0.30445063296049835	0.0	0.1936864626341201	0.3158531963063361	0.3162622910099572	0.2692387324631462	0.3731816598585599	0.29131717455508455	0.2697288198197474	0.33520990141306545	0.3699860010583579	0.3157958186292196	0.42709174183018805	0.38321158466039107	0.28533514404222016	0.29164326212629543	0.309942235823795	0.277856095180318	0.2697087914225993	0.40183698001977664	0.39725194220306126	0.3628320724216305	0.2601862654463276	0.24698716130206055	0.24740500996228162	0.2810640009809289	0.29358265969564423	0.3799314595175749	0.26302404467254487	0.30862964510005547	0.3748745436186224	0.3601464936009468	0.44384102637211087	0.380664765539972	0.40573978139562406	0.45288265193599864	0.4729192777249587	0.37630266839285037	0.38673645334346995	0.38972406534438486	0.42626315477013965	0.3346096659468456	0.3149176302102181	0.3430254564736267	0.3610960575510233	0.2499075110957432	0.2511101902312569	0.30240233172653574	0.2720741959378565	0.3757740225365319	0.40888238771238394	0.2879376571044564	0.3153888224441257	0.2767132190736983	0.29124660962270016	0.268010876522078	0.24176384451856903	0.3392124333082544	0.2807693807386754	0.28002869085616133	0.28303586477252485	0.3223514376992981	0.35654760682462916	0.3212768812696223	0.4714057740104093	0.45291372371713645	0.4666841650538909	0.40639388443603874	0.3432646237201251	0.35166138232467814	0.3386781472773137	0.36863637126919624	0.3535292789977893	0.2889571486260256	0.29990334164350224	0.2512263282577085	0.2829365300156069	0.2638176414631002	0.21431950021727014	0.25740760807765284	0.27111149714788324	0.25501730008668444	0.24593919113397536	0.2453449072908328	0.2896241834506121	0.27772260674533666	0.3425694917547375	0.2709193622923197	0.2923839403005636	0.34772941723335393	0.3090620672083838	0.29953089620438705	0.2879116196672011	0.42709869398292466	0.4153613778006755	0.2899004774196704	0.21357300933353945	0.2768374326124201	0.2307090488675443	0.21038612354477645	0.252623434569113	0.3483292746910462
S17H1	0.37837969939726834	0.2800989298560934	0.2834320940820062	0.23550589295004432	0.30926886913893814	0.3522509250955946	0.1936864626341201	0.0	0.3636534884414323	0.3640625831450534	0.3170390245982424	0.4209819519936561	0.3391174666901807	0.31752911195484357	0.3830101935481617	0.41778629319345406	0.36359611076431586	0.4748920339652843	0.4310118767954873	0.33313543617731634	0.3394435542613916	0.35774252795889117	0.32565638731541424	0.31750908355769547	0.4496372721548728	0.4450522343381575	0.4106323645567267	0.30798655758142385	0.29478745343715673	0.29520530209737783	0.32886429311602505	0.3413829518307404	0.4277317516526711	0.3108243368076411	0.3564299372351517	0.4226748357537186	0.40794678573604304	0.49164131850720705	0.42846505767506826	0.4535400735307203	0.5006829440710949	0.5207195698600549	0.4241029605279466	0.43453674547856613	0.43752435747948104	0.47406344690523583	0.3824099580819418	0.3627179223453143	0.39082574860872293	0.40889634968611954	0.2977078032308394	0.29891048236635315	0.3502026238616319	0.3198744880729527	0.4235743146716281	0.4566826798474802	0.3357379492395526	0.3631891145792219	0.32451351120879446	0.3390469017577964	0.3158111686571742	0.2895641366536652	0.38701272544335064	0.3285696728737716	0.3278289829912575	0.330836156907621	0.37015172983439426	0.40434789895972534	0.3690771734047185	0.5192060661455056	0.5007140158522326	0.514484457188987	0.4541941765711349	0.3910649158552213	0.3994616744597744	0.3864784394124099	0.4164366634042924	0.4013295711328855	0.3367574407611218	0.3477036337785985	0.29902662039280475	0.3307368221507031	0.31161793359819645	0.2621197923523664	0.3052079002127491	0.3189117892829795	0.3028175922217806	0.29373948326907157	0.293145199425929	0.3374244755857083	0.32552289888043284	0.3903697838898337	0.31871965442741595	0.34018423243565976	0.39552970936845017	0.35686235934348004	0.3473311883394833	0.3357119118022973	0.4748989861180209	0.4631616699357717	0.3377007695547666	0.2613733014686357	0.3246377247475163	0.27850934100264046	0.25818641567987266	0.30042372670420925	0.3961295668261424
S20H1	0.37365980701598533	0.29336014817807116	0.296693312403984	0.25230049068340205	0.32606346687229587	0.3690455228289523	0.3158531963063361	0.3636534884414323	0.0	0.33059397092748233	0.2835704123806714	0.38751333977608504	0.3056488544726097	0.28406049973727254	0.3495415813305906	0.38431768097588304	0.3301274985467448	0.44142342174771326	0.3975432645779162	0.2996668239597453	0.3059749420438206	0.32427391574132014	0.29218777509784316	0.28404047134012445	0.4161686599373018	0.41158362212058647	0.37716375233915567	0.27451794536385277	0.2613188412195857	0.2617366898798068	0.295395680898454	0.3079143396131694	0.39426313943510005	0.27735572459007	0.3229613250175806	0.38920622353614753	0.37447817351847196	0.458172706289636	0.3949964454574972	0.42007146131314926	0.46721433185352385	0.48725095764248383	0.3906343483103755	0.4010681332609951	0.40405574526191	0.4405948346876648	0.34894134586437076	0.3292493101277433	0.35735713639115185	0.37542773746854846	0.2642391910132683	0.26544187014878207	0.3167340116440609	0.28640587585538163	0.39010570245405707	0.42321406762990915	0.30226933702198155	0.32972050236165085	0.29104489899122343	0.3055782895402253	0.28234255643960315	0.2560955244360942	0.35354411322577955	0.29510106065620056	0.2943603707736865	0.29736754469005	0.33668311761682324	0.3708792867421543	0.33560856118714744	0.4857374539279345	0.4672454036346616	0.48101584497141603	0.4207255643535639	0.35759630363765027	0.3659930622422033	0.35300982719483887	0.3829680511867214	0.36786095891531445	0.30328882854355077	0.3142350215610274	0.2655580081752337	0.2972682099331321	0.27814932138062537	0.2286511801347953	0.271739287995178	0.2854431770654084	0.2693489800042096	0.2602708710515005	0.25967658720835796	0.30395586336813724	0.2920542866628618	0.35690117167226265	0.2852510422098449	0.30671562021808874	0.3620610971508791	0.32339374712590896	0.3138625761219122	0.30224329958472623	0.44143037390044987	0.42969305771820065	0.30423215733719555	0.2279046892510646	0.29116911252994526	0.24504072878506944	0.2247178034623016	0.26695511448663817	0.3914096744448594
f9pp	0.3740689017196064	0.29376924288169226	0.2971024071076051	0.2527095853870231	0.326472561575917	0.36945461753257336	0.3162622910099572	0.3640625831450534	0.33059397092748233	0.0	0.07776744557778746	0.1817103729732012	0.1199769201924159	0.09838856545707873	0.1638696470503968	0.19864574669568927	0.14445556426655098	0.2891893518503671	0.2453091946805701	0.14743275406239914	0.15374087214647442	0.17203984584397397	0.13995370520049702	0.15709242132212867	0.289220609919306	0.2846355721025907	0.25021570232115986	0.14756989534585702	0.13437079120158993	0.13478863986181097	0.16844763088045822	0.18096628959517358	0.26731508941710425	0.15040767457207424	0.19601327499958487	0.2622581735181518	0.24753012350047618	0.3312246562716402	0.26804839543950143	0.29312341129515346	0.34026628183552804	0.360302907624488	0.2636862982923798	0.2741200832429993	0.2771076952439142	0.313646784669669	0.22199329584637498	0.20230126010974753	0.2304090863731561	0.24847968745055268	0.13729114099527256	0.13849382013078632	0.18978596162606512	0.15945782583738585	0.26315765243606126	0.2962660176119134	0.17532128700398575	0.20277245234365504	0.16409684897322765	0.17863023952222953	0.15539450642160735	0.12914747441809837	0.22659606320778378	0.16815301063820476	0.16741232075569074	0.17041949467205425	0.20973506759882746	0.2439312367241585	0.20866051116915169	0.35878940390993874	0.3402973536166658	0.3540677949534202	0.2937775143355681	0.2306482536196545	0.23904501222420754	0.22606177717684306	0.2560200011687256	0.24091290889731867	0.17634077852555496	0.18728697154303162	0.13860995815723792	0.1703201599151363	0.15120127136262962	0.12142670281468472	0.16451481067506746	0.1919909662768591	0.17589676921566028	0.1668186602629512	0.16622437641980864	0.21685731521783683	0.20495573851256138	0.26980262352196227	0.1981524940595445	0.21961707206778835	0.2749625490005787	0.23629519897560858	0.22676402797161183	0.2151447514344258	0.35433182575014943	0.3425945095679003	0.21713360918689514	0.1408061411007642	0.2316181806469166	0.18548979690204082	0.19384181001131057	0.2360791210356471	0.39181876914848046
