	s30pp	S9H1	w1pp	w8pp	S3Hp	f4pp	s2pp	w23pp	s24pp	w16pp	w14pp	w26pp	w11pp	w27pp	F6H1	S11Hp	w6pp	f20ppA	F32H1	S20H1	f10pp	F8H1	f12ppB	w12pp	w29pp	w2pp	f24pp	w24pp	w28pp	w17pp
s30pp	0.0	0.36569341221783647	0.2507111328814385	0.3271199080358771	0.35287957572820006	0.3684530927212848	0.34418058849697486	0.4132232802436736	0.37879660854078107	0.37294471516588723	0.43905858436235035	0.4279774238472476	0.36998345182395354	0.5018892818902522	0.5396407560677448	0.5161786223620416	0.46419650700556636	0.42034035280132603	0.5659558470979251	0.5818688511651439	0.44816529637868535	0.46061026719359266	0.45752555600741146	0.5029282732348973	0.44595257471032784	0.38747136699077145	0.4139770769698956	0.35448892450635217	0.41187081997184416	0.4247083200328222
S9H1	0.36569341221783647	0.0	0.21412932499263485	0.3867792394890351	0.46588989851009077	0.4814634155031755	0.45719091127886563	0.5262336030255643	0.49180693132267184	0.48595503794777795	0.5520689071442411	0.5409877466291383	0.48299377460584425	0.6148996046721429	0.6526510788496355	0.6291889451439323	0.5772068297874571	0.5333506755832168	0.6789661698798158	0.6948791739470346	0.5611756191605761	0.5736205899754834	0.5705358787893022	0.615938596016788	0.5589628974922186	0.5004816897726622	0.5269873997517863	0.46749924728824294	0.524881142753735	0.5377186428147129
w1pp	0.2507111328814385	0.21412932499263485	0.0	0.2717969601526371	0.35090761917369284	0.3664811361667776	0.34220863194246764	0.4112513236891664	0.37682465198627385	0.37097275861138	0.43708662780784313	0.42600546729274036	0.3680114952694463	0.49991732533574496	0.5376687995132375	0.5142066658075344	0.46222455045105915	0.4183683962468188	0.5639838905434179	0.5798968946106366	0.44619333982417814	0.45863831063908544	0.45555359945290425	0.5009563166803901	0.4439806181558206	0.38549941043626423	0.4120051204153884	0.35251696795184495	0.40989886341733694	0.422736363478315
w8pp	0.3271199080358771	0.3867792394890351	0.2717969601526371	0.0	0.4273163943281314	0.44288991132121613	0.41861740709690626	0.487660098843605	0.45323342714071246	0.4473815337658186	0.5134954029622817	0.5024142424471789	0.4444202704238849	0.5763261004901835	0.6140775746676761	0.590615440961973	0.5386333256054977	0.49477717140125743	0.6403926656978565	0.6563056697650752	0.5226021149786167	0.535047085793524	0.5319623746073429	0.5773650918348288	0.5203893933102592	0.4619081855907028	0.48841389556982695	0.42892574310628356	0.48630763857177556	0.4991451386327536
S3Hp	0.35287957572820006	0.46588989851009077	0.35090761917369284	0.4273163943281314	0.0	0.4247033957378767	0.4004308915135668	0.4694735832602655	0.43504691155737296	0.42919501818247907	0.4953088873789422	0.4842277268638394	0.4262337548405454	0.558139584906844	0.5958910590843366	0.5724289253786334	0.5204468100221582	0.47659065581791793	0.622206150114517	0.6381191541817357	0.5044155993952772	0.5168605702101845	0.5137758590240034	0.5591785762514891	0.5022028777269197	0.4437216700073633	0.47022737998648745	0.41073922752294406	0.46812112298843606	0.4809586230494141
f4pp	0.3684530927212848	0.4814634155031755	0.3664811361667776	0.44288991132121613	0.4247033957378767	0.0	0.27471073323496775	0.40262805042983774	0.36820137872694514	0.3623494853520513	0.4284633545485144	0.4173821940334116	0.3593882220101176	0.4912940520764162	0.5290455262539088	0.5055833925482057	0.4536012771917304	0.4097451229874901	0.5553606172840891	0.5712736213513079	0.4375700665648494	0.4500150373797567	0.44693032619357553	0.49233304342106143	0.4353573448964919	0.3768761371769355	0.4033818471560597	0.3438936946925163	0.4012755901580083	0.41411309021898635
s2pp	0.34418058849697486	0.45719091127886563	0.34220863194246764	0.41861740709690626	0.4004308915135668	0.27471073323496775	0.0	0.3783555462055278	0.3439288745026352	0.3380769811277414	0.40419085032420454	0.3931096898091017	0.33511571778580773	0.4670215478521063	0.504773022029599	0.4813108883238958	0.4293287729674205	0.3854726187631802	0.5310881130597793	0.547001117126998	0.4132975623405395	0.4257425331554468	0.4226578219692656	0.4680605391967515	0.411084840672182	0.35260363295262565	0.3791093429317498	0.31962119046820636	0.37700308593369836	0.3898405859946764
w23pp	0.4132232802436736	0.5262336030255643	0.4112513236891664	0.487660098843605	0.4694735832602655	0.40262805042983774	0.3783555462055278	0.0	0.2743337702338563	0.2684818768589625	0.37661585511249107	0.3655346945973883	0.30754072257409426	0.4394465526403929	0.4771980268178855	0.45373589311218243	0.4017537777557071	0.3578976235514668	0.5035131178480658	0.5194261219152846	0.38572256712882613	0.3981675379437334	0.39508282675755224	0.44048554398503814	0.3835098454604686	0.3250286377409122	0.35153434772003633	0.29204619525649295	0.39211124948282006	0.4201349796647619
s24pp	0.37879660854078107	0.49180693132267184	0.37682465198627385	0.45323342714071246	0.43504691155737296	0.36820137872694514	0.3439288745026352	0.2743337702338563	0.0	0.21002668754689213	0.34218918340959853	0.3311080228944957	0.2731140508712017	0.40501988093750035	0.44277135511499294	0.41930922140928983	0.36732710605281454	0.3234709518485742	0.4690864461451733	0.48499945021239205	0.35129589542593354	0.36374086624084084	0.36065615505465964	0.40605887228214554	0.349083173757576	0.29060196603801963	0.3171076760171438	0.2576195235536004	0.35768457777992746	0.3857083079618693
w16pp	0.37294471516588723	0.48595503794777795	0.37097275861138	0.4473815337658186	0.42919501818247907	0.3623494853520513	0.3380769811277414	0.2684818768589625	0.21002668754689213	0.0	0.3363372900347047	0.3252561295196019	0.2672621574963079	0.3991679875626065	0.4369194617400991	0.413457328034396	0.3614752126779207	0.3176190584736804	0.4632345527702795	0.4791475568374982	0.3454440020510397	0.357888972865947	0.3548042616797658	0.4002069789072517	0.3432312803826822	0.2847500726631258	0.31125578264224996	0.25176763017870657	0.3518326844050337	0.3798564145869755
