	f22ppA	w22pp	w19pp	w14pp	s22pp	f1pp	w1pp	s1pp	w17pp	s17pp	f23ppB	f17ppA	s21pp	w21pp	f10pp	f13pp	f12ppB	f12ppA	f18pp	s2pp	F6H1	S12Hp	f31pp	f17ppB	f2pp	S16H2	F3H1	s11pp	S11Hp	s24H1	w9pp	S15Hp	S9H1	S18H1	S2Hp	S1Hp	S14Hp	S22Hp	F7H1	S3Hp	F1H1	F14H1A	F22HpB	F8H1	S17H1	F14H1B	S8Hp	s26pp	s32pp	w32pp	f30pp	F16H1	S4Hp	S30H1	s4pp	w30pp	s30pp	s10pp	f6ppB	w3pp	s3pp	w11pp	w26pp	w4pp	f4pp	w13pp	s20pp	S13Hp	F32H1	F23HpA	w8pp	s8pp	w6pp	f32pp	f6ppA	w20pp	f20ppA	s31pp	f22ppB	f7pp	f24pp	f23ppA	s28pp	f28pp	w28pp	f14ppB	f9pp	f14ppA	s14pp	s13pp	f29pp	s24pp	s19pp	w25pp	s25pp	f25pp	w27pp	s27pp	s16pp	f16ppB	w16pp	w23pp	s23pp	s7pp	w7pp	w12pp	f3pp	f26pp	f20ppB	f11pp	s18pp	f16ppA	s12pp	f8pp	w24pp	w18pp	w2pp	w31pp	f21pp	f19pp	s29pp	w29pp	w15pp	s15pp	f15pp	w10pp	s9pp	S20H1	S27H1
f22ppA	0.0	0.007448644733660959	0.015812402492115473	0.02468878995227058	0.03825546981613979	0.040441175658159155	0.037326718422609186	0.03783949509751442	0.024423873891766527	0.03062272039617772	0.02453679989248348	0.037911507113927594	0.055550361709302554	0.04811967996149501	0.03285537552583834	0.054075524525060883	0.046750358025023905	0.048033006593795544	0.06350198530667209	0.04238389626623332	0.24556362322161052	0.13478461628356367	0.07242957644472188	0.037227864158015815	0.03508280971429782	0.27473362262818934	0.14156681249961114	0.17493762776672064	0.235603598158996	0.2135955053872967	0.07816249735524512	0.2529556890216522	0.2563450375718391	0.2755113213900813	0.2604003239788826	0.24920044256398516	0.2510750801925411	0.25612201651560396	0.24554459111083965	0.25081562506420413	0.25703036496267906	0.25086173936917566	0.2560017845362558	0.25444532757895716	0.24579261278662387	0.2339744210569578	0.11545768746357839	0.12092156600510172	0.10791371338246966	0.08624024876851413	0.05689653473656557	1.1839502782786395	0.2670272778117828	0.23865268867308148	0.12308269442661218	0.10639449328759779	0.06689372979024781	0.09535991270620861	0.07230791935206336	0.06394871815556379	0.07442735416191743	0.04782136614643566	0.03742745118204498	0.054622873038406114	0.04602383479134908	0.05294889436961746	0.14576662562314138	0.21481952446742175	0.21601334031720995	0.25311457371300095	0.11877399367801644	0.12397960618299213	0.06756302294553107	0.06065109275148527	0.05682374338992241	0.0477730973009311	0.055200001365727336	0.07032872048942819	0.06370316659884386	0.031008103172420698	0.03867818028089938	0.05504766221751836	0.05686631665027475	0.0560210988211879	0.054361306343396865	0.03716303464941959	0.04549910899556432	0.044246788379504506	0.14501628448344603	0.07142908235141693	0.05505599819365317	0.04491671481136367	0.07120819276836977	0.05501990821579171	0.05303074491013632	0.05089737898225305	0.06587986595101551	0.06828352770355005	0.1295079663082897	0.0627200332813561	0.05504442221570165	0.0700317195404222	0.10090317974379674	0.12980410753601326	0.12866561624016482	0.055536535089545286	0.09901091137283465	0.05914091669660518	0.05710737691754911	0.050463747867991	0.05205397038917493	0.048742391334882576	0.053614879212953145	0.04753505266965384	0.041552123072813515	0.046107509047362744	0.050505953480769694	0.05357062426039931	0.053624841089760455	0.05500714535013218	0.050306417616261936	0.04625800024416568	0.0460550655811551	0.05942574675770444	0.049788667092820066	0.02259731517478302	0.18625570054865548	0.20087514061780015	0.2029655954631744
w22pp	0.007448644733660959	0.0	0.011413779797301864	0.020290167257456974	0.03385684712132618	0.03604255296334555	0.03292809572779558	0.033440872402700814	0.02002525119695292	0.026224097701364114	0.020138177197669874	0.033512884419113986	0.051151739014488946	0.0437210572666814	0.028456752831024733	0.049676901830247276	0.04235173533021029	0.04363438389898193	0.05910336261185848	0.03798527357141971	0.2411650005267969	0.13038599358875005	0.06803095374990828	0.03282924146320221	0.030684187019484218	0.27033499993337573	0.13716818980479753	0.17053900507190703	0.2312049754641824	0.2091968826924831	0.07376387466043152	0.2485570663268386	0.25194641487702546	0.27111269869526766	0.25600170128406896	0.24480181986917154	0.24667645749772746	0.25172339382079034	0.24114596841602604	0.2464170023693905	0.25263174226786544	0.24646311667436205	0.2516031618414422	0.25004670488414354	0.24139399009181026	0.22957579836214417	0.11105906476876479	0.11652294331028812	0.10351509068765606	0.08184162607370053	0.05249791204175196	1.179551655583826	0.2626286551169692	0.23425406597826787	0.11868407173179858	0.10199587059278419	0.0624951070954342	0.09096129001139501	0.06790929665724976	0.05955009546075017	0.07002873146710382	0.04342274345162205	0.03302882848723137	0.05022425034359251	0.04162521209653547	0.048550271674803844	0.14136800292832777	0.21042090177260814	0.21161471762239634	0.24871595101818733	0.11437537098320284	0.11958098348817853	0.06316440025071746	0.05625247005667165	0.052425120695108796	0.043374474606117486	0.05080137867091372	0.06593009779461458	0.05930454390403025	0.02660948047760709	0.03427955758608577	0.050649039522704754	0.05246769395546114	0.051622476126374287	0.04996268364858326	0.032764411954605985	0.04110048630075071	0.0398481656846909	0.14061766178863241	0.06703045965660331	0.050657375498839564	0.04051809211655005	0.06680957007355617	0.0506212855209781	0.04863212221532271	0.04649875628743944	0.0614812432562019	0.06388490500873645	0.1251093436134761	0.058321410586542485	0.05064579952088804	0.0656330968456086	0.09650455704898314	0.12540548484119965	0.1242669935453512	0.05113791239473168	0.09461228867802104	0.054742294001791564	0.05270875422273549	0.04606512517317739	0.04765534769436132	0.04434376864006896	0.04921625651813954	0.043136429974840226	0.03715350037799991	0.04170888635254913	0.04610733078595609	0.0491720015655857	0.04922621839494685	0.050608522655318566	0.04590779492144833	0.04185937754935207	0.041656442886341495	0.05502712406289083	0.04539004439800645	0.018198692479969414	0.18185707785384186	0.19647651792298654	0.19856697276836077
w19pp	0.015812402492115473	0.011413779797301864	0.0	0.013975771326352304	0.02754245119022151	0.029728157032240878	0.02661369979669091	0.027126476471596144	0.01371085526584825	0.019909701770259445	0.013823781266565204	0.027198488488009317	0.04483734308338428	0.037406661335576734	0.022142356899920064	0.04336250589914261	0.036037339399105625	0.03731998796787726	0.052788966680753814	0.031670877640315044	0.23485060459569224	0.12407159765764539	0.061716557818803607	0.02651484553209754	0.02436979108837955	0.2640206040022711	0.13085379387369286	0.16422460914080236	0.22489057953307773	0.20288248676137843	0.06744947872932684	0.24224267039573394	0.24563201894592077	0.26479830276416305	0.24968730535296427	0.23848742393806688	0.2403620615666228	0.24540899788968568	0.23483157248492137	0.24010260643828582	0.24631734633676078	0.24014872074325738	0.24528876591033752	0.24373230895303885	0.2350795941607056	0.2232614024310395	0.10474466883766011	0.11020854737918344	0.09720069475655138	0.07552723014259585	0.04618351611064729	1.1732372596527212	0.25631425918586453	0.2279396700471632	0.1123696758006939	0.0956814746616795	0.05618071116432954	0.08464689408029033	0.06159490072614509	0.053235699529645505	0.06371433553599916	0.037108347520517386	0.0267144325561267	0.04390985441248784	0.0353108161654308	0.04223587574369918	0.1350536069972231	0.20410650584150347	0.20530032169129167	0.24240155508708267	0.10806097505209816	0.11326658755707385	0.05685000431961279	0.049938074125566986	0.04611072476400413	0.03706007867501282	0.044486982739809056	0.05961570186350991	0.05299014797292558	0.02029508454650242	0.027965161654981103	0.04433464359160009	0.04615329802435647	0.04530808019526962	0.04364828771747859	0.026450016023501315	0.03478609036964604	0.033533769753586226	0.13430326585752775	0.06071606372549865	0.0443429795677349	0.03420369618544539	0.0604951741424515	0.04430688958987344	0.042317726284218045	0.040184360356334776	0.05516684732509723	0.057570509077631775	0.11879494768237142	0.05200701465543782	0.04433140358978337	0.059318700914503926	0.09019016111787846	0.11909108891009497	0.11795259761424652	0.04482351646362701	0.08829789274691636	0.0484278980706869	0.04639435829163083	0.03975072924207272	0.04134095176325665	0.038029372708964296	0.04290186058703487	0.03682203404373556	0.03083910444689524	0.03539449042144446	0.03979293485485142	0.04285760563448104	0.04291182246384218	0.0442941267242139	0.03959339899034366	0.0355449816182474	0.03534204695523683	0.04871272813178616	0.039075648466901786	0.011884296548864744	0.18351539703378328	0.19813483710292795	0.2002252919483022
w14pp	0.02468878995227058	0.020290167257456974	0.013975771326352304	0.0	0.024852887361606762	0.02703859320362613	0.02392413596807616	0.024436912642981395	0.019929161999533755	0.026128008503944946	0.02004208800025071	0.033416795221694814	0.05105564981706978	0.043624968069262235	0.028360663633605565	0.04958081263282811	0.04225564613279112	0.04353829470156276	0.059007273414439315	0.037889184374000545	0.24106891132937774	0.1302899043913309	0.06793486455248911	0.032733152265783036	0.03058809782206505	0.27023891073595663	0.13707210060737837	0.17044291587448787	0.23110888626676324	0.20910079349506394	0.07366778546301235	0.24846097712941945	0.25185032567960625	0.27101660949784856	0.25590561208664975	0.2447057306717524	0.2465803683003083	0.2516273046233712	0.24104987921860688	0.24632091317197133	0.2525356530704463	0.2463670274769429	0.251507072644023	0.24995061568672436	0.2412979008943911	0.22947970916472502	0.11096297557134562	0.11642685411286895	0.10341900149023689	0.08174553687628136	0.052401822844332785	1.1794555663864066	0.26253256591955004	0.2341579767808487	0.11858798253437941	0.10189978139536501	0.06239901789801504	0.09086520081397584	0.06781320745983059	0.059454006263331	0.06993264226968465	0.04332665425420289	0.032932739289812205	0.05012816114617334	0.0415291228991163	0.04845418247738467	0.1412719137309086	0.21032481257518898	0.21151862842497718	0.24861986182076817	0.11427928178578367	0.11948489429075936	0.06306831105329828	0.05615638085925248	0.052329031497689624	0.043278385408698314	0.05070528947349455	0.0658340085971954	0.05920845470661108	0.026513391280187922	0.03418346838866661	0.05055295032528559	0.052371604758041965	0.051526386928955115	0.04986659445116409	0.03266832275718681	0.041004397103331536	0.039752076487271734	0.14052157259121326	0.06693437045918414	0.0505612863014204	0.04042200291913088	0.066713480876137	0.05052519632355894	0.048536033017903546	0.04640266709002028	0.061385154058782726	0.06378881581131728	0.12501325441605693	0.05822532138912331	0.050549710323468874	0.06553700764818943	0.09640846785156397	0.12530939564378046	0.12417090434793203	0.051041823197312514	0.09451619948060187	0.05464620480437239	0.05261266502531632	0.045969035975758216	0.04755925849694215	0.04424767944264979	0.04912016732072037	0.043040340777421054	0.03705741118058074	0.04161279715512996	0.04601124158853692	0.04907591236816654	0.04913012919752768	0.050512433457899394	0.045811705724029164	0.041763288351932895	0.04156035368892233	0.054931034865471656	0.04529395520058728	0.01810260328255025	0.1923917844939384	0.20701122456308307	0.2091016794084573
s22pp	0.03825546981613979	0.03385684712132618	0.02754245119022151	0.024852887361606762	0.0	0.01825754655538718	0.015143089319837214	0.015655865994742446	0.03349584186340296	0.03969468836781415	0.03360876786411991	0.046983475085564025	0.06462232968093898	0.05719164793313144	0.041927343497474776	0.06314749249669732	0.05582232599666033	0.05710497456543197	0.07257395327830851	0.051455864237869756	0.25463559119324697	0.1438565842552001	0.08150154441635832	0.046299832129652246	0.04415477768593426	0.28380559059982585	0.15063878047124757	0.18400959573835707	0.24467556613063243	0.22266747335893314	0.08723446532688156	0.26202765699328867	0.26541700554347547	0.2845832893617178	0.26947229195051897	0.2582724105356216	0.2601470481641775	0.2651939844872404	0.2546165590824761	0.2598875930358405	0.2661023329343155	0.2599337073408121	0.2650737525078922	0.26351729555059356	0.2548645807582603	0.2430463890285942	0.12452965543521483	0.12999353397673816	0.11698568135410609	0.09531221674015056	0.065968502708202	1.193022246250276	0.27609924578341927	0.2477246566447179	0.1321546623982486	0.11546646125923421	0.07596569776188425	0.10443188067784503	0.0813798873236998	0.07302068612720021	0.08349932213355386	0.05689333411807209	0.04649941915368141	0.06369484101004255	0.05509580276298551	0.06202086234125388	0.1548385935947778	0.22389149243905818	0.22508530828884638	0.2621865416846374	0.12784596164965287	0.13305157415462857	0.0766349909171675	0.06972306072312169	0.06589571136155883	0.056845065272567524	0.06427196933736376	0.07940068846106461	0.0727751345704803	0.04008007114405713	0.04775014825253581	0.06411963018915479	0.06593828462191118	0.06509306679282433	0.06343327431503329	0.04623500262105602	0.054571076967200746	0.05331875635114094	0.15408825245508245	0.08050105032305335	0.0641279661652896	0.05398868278300009	0.08028016074000621	0.06409187618742815	0.06210271288177275	0.05996934695388948	0.07495183392265194	0.07735549567518649	0.13857993427992613	0.07179200125299252	0.06411639018733808	0.07910368751205862	0.10997514771543318	0.1388760755076497	0.13773758421180124	0.06460850306118171	0.10808287934447108	0.0682128846682416	0.06617934488918553	0.059535715839627426	0.06112593836081136	0.057814359306519	0.06268684718458958	0.056607020641290265	0.05062409104444995	0.05517947701899917	0.059577921452406125	0.06264259223203575	0.06269680906139688	0.0640791133217686	0.05937838558789837	0.055329968215802106	0.055127033552791534	0.06849771472934087	0.05886063506445649	0.03166928314641945	0.2059584643578076	0.2205779044269523	0.22266835927232653
f1pp	0.040441175658159155	0.03604255296334555	0.029728157032240878	0.02703859320362613	0.01825754655538718	0.0	0.003860719149348756	0.010985684361733134	0.035681547705422326	0.04188039420983352	0.03579447370613928	0.04916918092758339	0.06680803552295836	0.059377353775150805	0.04411304933949414	0.06533319833871667	0.0580080318386797	0.059290680407451335	0.07475965912032789	0.05364157007988912	0.2568212970352663	0.14604229009721947	0.08368725025837767	0.04848553797167161	0.04634048352795363	0.2859912964418452	0.15282448631326695	0.18619530158037645	0.2468612719726518	0.22485317920095252	0.08942017116890091	0.264213362835308	0.26760271138549485	0.2867689952037371	0.27165799779253835	0.26045811637764094	0.2623327540061969	0.26737969032925973	0.2568022649244954	0.2620732988778599	0.26828803877633484	0.26211941318283144	0.2672594583499116	0.26570300139261294	0.2570502866002797	0.2452320948706136	0.12671536127723418	0.1321792398187575	0.11917138719612547	0.09749792258216994	0.06815420855022136	1.1952079520922954	0.2782849516254386	0.2499103624867373	0.134340368240268	0.11765216710125359	0.0781514036039036	0.10661758651986442	0.08356559316571915	0.07520639196921958	0.08568502797557323	0.05907903996009146	0.048685124995700775	0.0658805468520619	0.057281508605004874	0.06420656818327325	0.1570242994367972	0.22607719828107756	0.22727101413086576	0.2643722475266567	0.13003166749167225	0.13523727999664792	0.07882069675918686	0.07190876656514106	0.0680814172035782	0.05903077111458689	0.06645767517938313	0.08158639430308398	0.07496084041249965	0.042265776986076496	0.04993585409455518	0.06630533603117417	0.06812399046393054	0.06727877263484369	0.06561898015705267	0.04842070846307539	0.05675678280922011	0.055504462193160305	0.15627395829710183	0.08268675616507272	0.06631367200730898	0.05617438862501946	0.08246586658202557	0.0662775820294475	0.06428841872379212	0.06215505279590885	0.0771375397646713	0.07954120151720584	0.1407656401219455	0.07397770709501189	0.06630209602935744	0.081289393354078	0.11216085355745253	0.14106178134966904	0.1399232900538206	0.06679420890320109	0.11026858518649044	0.07039859051026097	0.0683650507312049	0.06172142168164679	0.06331164420283072	0.06000006514853837	0.06487255302660894	0.05879272648330963	0.052809796886469314	0.057365182861018535	0.06176362729442549	0.0648282980740551	0.06488251490341626	0.06626481916378797	0.061564091429917735	0.05751567405782147	0.0573127393948109	0.07068342057136023	0.06104634090647586	0.03385498898843882	0.20814417019982695	0.22276361026897165	0.22485406511434589
w1pp	0.037326718422609186	0.03292809572779558	0.02661369979669091	0.02392413596807616	0.015143089319837214	0.003860719149348756	0.0	0.007871227126183166	0.032567090469872356	0.03876593697428355	0.03268001647058931	0.04605472369203342	0.06369357828740838	0.056262896539600836	0.04099859210394417	0.06221874110316671	0.05489357460312973	0.056176223171901365	0.07164520188477791	0.05052711284433915	0.25370683979971637	0.1429278328616695	0.08057279302282772	0.045371080736121644	0.04322602629240366	0.28287683920629525	0.14971002907771697	0.18308084434482647	0.24374681473710183	0.22173872196540254	0.08630571393335096	0.26109890559975807	0.26448825414994487	0.2836545379681872	0.26854354055698837	0.257343659142091	0.2592182967706469	0.2642652330937098	0.2536878076889455	0.2589588416423099	0.2651735815407849	0.2590049559472815	0.2641450011143616	0.26258854415706295	0.2539358293647297	0.2421176376350636	0.12360090404168422	0.12906478258320755	0.11605692996057548	0.09438346534661995	0.06503975131467139	1.1920934948567452	0.27517049438988866	0.2467959052511873	0.131225911004718	0.11453770986570361	0.07503694636835365	0.10350312928431443	0.0804511359301692	0.07209193473366961	0.08257057074002326	0.05596458272454149	0.045570667760150806	0.06276608961651195	0.054167051369454905	0.06109211094772328	0.1539098422012472	0.22296274104552757	0.22415655689531577	0.2612577902911068	0.12691721025612226	0.13212282276109796	0.07570623952363689	0.06879430932959109	0.06496695996802823	0.05591631387903692	0.06334321794383316	0.07847193706753401	0.07184638317694969	0.03915131975052653	0.04682139685900521	0.06319087879562418	0.06500953322838057	0.06416431539929372	0.06250452292150269	0.04530625122752542	0.053642325573670144	0.052390004957610335	0.15315950106155185	0.07957229892952275	0.063199214771759	0.05305993138946949	0.07935140934647561	0.06316312479389755	0.06117396148824215	0.05904059556035888	0.07402308252912133	0.07642674428165588	0.13765118288639552	0.07086324985946192	0.06318763879380748	0.07817493611852802	0.10904639632190258	0.13794732411411909	0.13680883281827064	0.06367975166765111	0.10715412795094048	0.067284133274711	0.06525059349565493	0.058606964446096824	0.060197186967280755	0.0568856079129884	0.061758095791058974	0.05567826924775966	0.049695339650919344	0.054250725625468565	0.05864917005887552	0.06171384083850514	0.061768057667866284	0.063150361928238	0.058449634194367765	0.0544012168222715	0.05419828215926093	0.06756896333581026	0.05793188367092589	0.03074053175288885	0.205029712964277	0.2196491530334217	0.22173960787879593
s1pp	0.03783949509751442	0.033440872402700814	0.027126476471596144	0.024436912642981395	0.015655865994742446	0.010985684361733134	0.007871227126183166	0.0	0.03307986714477759	0.039278713649188786	0.033192793145494545	0.04656750036693866	0.06420635496231361	0.05677567321450607	0.04151136877884941	0.06273151777807195	0.05540635127803496	0.0566889998468066	0.07215797855968314	0.05103988951924439	0.2542196164746216	0.14344060953657473	0.08108556969773295	0.04588385741102688	0.04373880296730889	0.2833896158812005	0.1502228057526222	0.1835936210197317	0.24425959141200707	0.22225149864030777	0.0868184906082562	0.2616116822746633	0.2650010308248501	0.2841673146430924	0.2690563172318936	0.25785643581699624	0.25973107344555213	0.26477800976861504	0.25420058436385073	0.25947161831721516	0.26568635821569014	0.25951773262218675	0.26465777778926686	0.2631013208319682	0.25444860603963493	0.24263041430996884	0.12411368071658946	0.1295775592581128	0.11656970663548072	0.09489624202152519	0.06555252798957663	1.1926062715316506	0.2756832710647939	0.24730868192609254	0.13173868767962324	0.11505048654060884	0.07554972304325888	0.10401590595921967	0.08096391260507443	0.07260471140857484	0.0830833474149285	0.056477359399446724	0.04608344443505604	0.06327886629141719	0.05467982804436014	0.061604887622628515	0.15442261887615244	0.2234755177204328	0.224669333570221	0.26177056696601203	0.1274299869310275	0.1326355994360032	0.07621901619854213	0.06930708600449632	0.06547973664293347	0.05642909055394216	0.0638559946187384	0.07898471374243925	0.07235915985185493	0.03966409642543176	0.047334173533910444	0.06370365547052942	0.06552230990328581	0.06467709207419896	0.06301729959640792	0.045819027902430656	0.05415510224857538	0.05290278163251557	0.15367227773645709	0.08008507560442799	0.06371199144666423	0.053572708064374724	0.07986418602138085	0.06367590146880278	0.06168673816314738	0.059553372235264114	0.07453585920402657	0.07693952095656112	0.13816395956130076	0.07137602653436716	0.06370041546871272	0.07868771279343326	0.10955917299680781	0.13846010078902432	0.13732160949317587	0.06419252834255634	0.10766690462584572	0.06779690994961624	0.06576337017056016	0.05911974112100206	0.06070996364218599	0.05739838458789363	0.06227087246596421	0.0561910459226649	0.05020811632582458	0.0547635023003738	0.05916194673378076	0.062226617513410375	0.06228083434277152	0.06366313860314324	0.058962410869273	0.05491399349717674	0.05471105883416617	0.0680817400107155	0.05844466034583112	0.031253308427794085	0.20554248963918223	0.22016192970832693	0.22225238455370117
w17pp	0.024423873891766527	0.02002525119695292	0.01371085526584825	0.019929161999533755	0.03349584186340296	0.035681547705422326	0.032567090469872356	0.03307986714477759	0.0	0.008041440049017329	0.00890184844631221	0.02690490420102694	0.0445437587964019	0.03711307704859435	0.02184877261293769	0.04306892161216023	0.03574375511212324	0.03702640368089488	0.05249538239377143	0.03137729335333267	0.23455702030870987	0.12377801337066302	0.061422973531821225	0.02622126124511516	0.024076206801397174	0.2637270197152888	0.1305602095867105	0.16393102485382	0.22459699524609536	0.20258890247439607	0.06715589444234447	0.24194908610875157	0.2453384346589384	0.2645047184771807	0.2493937210659819	0.2381938396510845	0.24006847727964042	0.2451154136027033	0.234537988197939	0.23980902215130345	0.2460237620497784	0.23985513645627501	0.24499518162335515	0.24343872466605648	0.23478600987372322	0.22296781814405714	0.10445108455067774	0.10991496309220107	0.09690711046956901	0.07523364585561348	0.04588993182366491	1.172943675365739	0.25602067489888214	0.22764608576018083	0.11207609151371153	0.09538789037469714	0.055887126877347156	0.08435330979330796	0.06130131643916271	0.052942115242663124	0.06342075124901678	0.036814763233535004	0.02642084826914432	0.04361627012550546	0.03501723187844842	0.041942291456716796	0.13476002271024073	0.2038129215545211	0.2050067374043093	0.2421079708001003	0.1077673907651158	0.11297300327009148	0.05655642003263041	0.049644489838584605	0.04581714047702175	0.03676649438803044	0.044193398452826674	0.05932211757652753	0.0526965636859432	0.020001500259520043	0.027671577367998725	0.044041059304617707	0.04585971373737409	0.04501449590828724	0.04335470343049621	0.026156431736518937	0.03449250608266366	0.03324018546660385	0.13400968157054538	0.060422479438516266	0.04404939528075252	0.033910111898463005	0.06020158985546912	0.044013305302891055	0.04202414199723566	0.039890776069352395	0.05487326303811485	0.05727692479064939	0.11850136339538905	0.05171343036845544	0.04403781930280099	0.059025116627521544	0.0898965768308961	0.1187975046231126	0.11765901332726415	0.04452993217664463	0.088004308459934	0.048134313783704516	0.046100774004648445	0.03945714495509034	0.04104736747627427	0.037735788421981914	0.04260827630005249	0.03652844975675318	0.03054552015991286	0.03510090613446208	0.03949935056786904	0.042564021347498655	0.0426182381768598	0.04400054243723152	0.03929981470336128	0.03525139733126502	0.03504846266825445	0.04841914384480378	0.038782064179919404	0.01159071226188237	0.19212686843343435	0.20674630850257902	0.20883676334795326
s17pp	0.03062272039617772	0.026224097701364114	0.019909701770259445	0.026128008503944946	0.03969468836781415	0.04188039420983352	0.03876593697428355	0.039278713649188786	0.008041440049017329	0.0	0.015100694950723402	0.03310375070543813	0.05074260530081309	0.043311923553005546	0.02804761911734888	0.04926776811657142	0.04194260161653444	0.043225250185306076	0.05869422889818263	0.037576139857743864	0.24075586681312106	0.1299768598750742	0.06762182003623242	0.032420107749526354	0.030275053305808364	0.26992586621969994	0.13675905609112168	0.1701298713582312	0.23079584175050655	0.20878774897880725	0.07335474094675568	0.24814793261316276	0.2515372811633496	0.27070356498159187	0.2555925675703931	0.2443926861554957	0.24626732378405164	0.2513142601071145	0.2407368347023502	0.24600786865571467	0.2522226085541896	0.2460539829606862	0.25119402812776637	0.2496375711704677	0.24098485637813444	0.22916666464846835	0.11064993105508893	0.11611380959661226	0.1031059569739802	0.08143249236002467	0.0520887783280761	1.1791425218701501	0.26221952140329335	0.23384493226459202	0.11827493801812272	0.10158673687910832	0.06208597338175835	0.09055215629771915	0.0675001629435739	0.05914096174707432	0.06961959775342796	0.0430136097379462	0.032619694773555516	0.04981511662991665	0.041216078382859615	0.04814113796112799	0.14095886921465195	0.2100117680589323	0.21120558390872052	0.24830681730451148	0.11396623726952698	0.11917184977450267	0.06275526653704161	0.0558433363429958	0.05201598698143294	0.04296534089244163	0.05039224495723787	0.06552096408093872	0.058895410190354394	0.026200346763931237	0.03387042387240992	0.0502399058090289	0.05205856024178528	0.05121334241269843	0.049553549934907404	0.03235527824093013	0.040691352587074854	0.039439031971015046	0.1402085280749566	0.06662132594292747	0.05024824178516371	0.0401089584028742	0.06640043635988031	0.05021215180730225	0.04822298850164686	0.04608962257376359	0.061072109542526044	0.06347577129506059	0.12470020989980024	0.05791227687286663	0.050236665807212186	0.06522396313193274	0.09609542333530728	0.12499635112752379	0.12385785983167534	0.050728778681055825	0.09420315496434518	0.05433316028811571	0.05229962050905964	0.045655991459501534	0.047246213980685466	0.04393463492639311	0.048807122804463685	0.04272729626116437	0.036744366664324055	0.041299752638873276	0.04569819707228023	0.04876286785190985	0.048817084681270995	0.05019938894164271	0.045498661207772476	0.04145024383567621	0.04124730917266564	0.054617990349214975	0.0449809106843306	0.01778955876629356	0.1983257149378455	0.2129451550069902	0.21503560985236445
