	f4pp	f7pp	w19pp	w26pp	w17pp	w10pp	f23ppB	w31pp	f16ppA	f25pp	w28pp	w1pp	w14pp	w23pp	S9H1	w16pp	w24pp	f24pp	f12ppA	f12ppB	w27pp	w22pp	f10pp	f17ppB	f20ppA	w20pp	f6ppA	w29pp	w8pp	f15pp	f11pp	w11pp	S3Hp	f2pp
f4pp	0.0	0.2742380400944657	0.36694091579202737	0.31573354486949023	0.2989612623111223	0.2720690658205821	0.29172113876125055	0.3478732477496878	0.31089111473140474	0.33960557518070555	0.3500772064182178	0.3981217918277043	0.40979993960986705	0.4179035622850698	0.4739178834953663	0.27912093523874254	0.25903355911625814	0.22861344472679823	0.38852637401056145	0.37678891098766304	0.39409835400769766	0.4205195247300873	0.2630401692221443	0.28665241654953644	0.38407765916579334	0.43226111398406	0.42278387887044766	0.40440177378716413	0.4357342642862989	0.29334305357724	0.3228315710243139	0.3329511428586499	0.3716172484801723	0.29613937461590856
f7pp	0.2742380400944657	0.0	0.33353581379294356	0.28232844287040637	0.26555616031203844	0.23866396382149824	0.29191414791103676	0.348066256899474	0.311084123881191	0.3397985843304918	0.3502702155680041	0.3983148009774905	0.4099929487596533	0.418096571434856	0.4741108926451525	0.27931394438852875	0.25922656826604434	0.2288064538765845	0.3887193831603477	0.37698192013744924	0.3942913631574839	0.4207125338798735	0.26323317837193055	0.2868454256993227	0.38427066831557954	0.43245412313384624	0.4229768880202339	0.4045947829369504	0.43592727343608517	0.32358839019567753	0.35307690764275146	0.3631964794770875	0.4018625850986099	0.3263847112343461
w19pp	0.36694091579202737	0.33353581379294356	0.0	0.2619611389956711	0.24518885643730315	0.21829665994676292	0.3846170236085985	0.44076913259703576	0.40378699957875264	0.43250146002805345	0.4429730912655657	0.49101767667505225	0.502695824457215	0.5107994471324178	0.5668137683427142	0.3720168200860905	0.35192944396360604	0.3215093295741462	0.48142225885790935	0.469684795835011	0.48699423885504556	0.5134154095774353	0.35593605406949225	0.37954830139688434	0.4769735440131413	0.5251569988314079	0.5156797637177956	0.49729765863451203	0.5286301491336468	0.4162912658932392	0.44577978334031315	0.4558993551746492	0.4945654607961716	0.4190875869319078
w26pp	0.31573354486949023	0.28232844287040637	0.2619611389956711	0.0	0.09238955186692129	0.12788350880117183	0.3334096526860613	0.3895617616744986	0.3525796286562155	0.3812940891055163	0.3917657203430286	0.43981030575251506	0.4514884535346778	0.4595920762098806	0.515606397420177	0.3208094491635533	0.3007220730410689	0.270301958651609	0.4302148879353722	0.4184774249124738	0.4357868679325084	0.46220803865489807	0.3047286831469551	0.3283409304743472	0.4257661730906041	0.47394962790887074	0.4644723927952584	0.4460902877119749	0.4774227782111097	0.36508389497070204	0.39457241241777596	0.40469198425211206	0.44335808987363445	0.3678802160093706
w17pp	0.2989612623111223	0.26555616031203844	0.24518885643730315	0.09238955186692129	0.0	0.1111112262428039	0.3166373701276934	0.37278947911613064	0.33580734609784757	0.3645218065471484	0.37499343778466065	0.42303802319414713	0.4347161709763099	0.44281979365151264	0.4988341148618091	0.30403716660518537	0.28394979048270097	0.25352967609324106	0.4134426053770043	0.40170514235410587	0.4190145853741405	0.44543575609653013	0.2879564005885872	0.31156864791597927	0.40899389053223617	0.4571773453505028	0.4477001102368905	0.42931800515360696	0.46065049565274174	0.3483116124123341	0.37780012985940803	0.3879197016937441	0.4265858073152665	0.35110793345100266
w10pp	0.2720690658205821	0.23866396382149824	0.21829665994676292	0.12788350880117183	0.1111112262428039	0.0	0.2897451736371532	0.34589728262559044	0.30891514960730737	0.3376296100566082	0.34810124129412046	0.39614582670360693	0.4078239744857697	0.41592759716097244	0.4719419183712689	0.2771449701146452	0.25705759399216077	0.2266374796027009	0.3865504088864641	0.37481294586356567	0.3921223888836003	0.41854355960598993	0.261064204098047	0.28467645142543907	0.38210169404169597	0.4302851488599626	0.4208079137463503	0.40242580866306676	0.43375829916220154	0.3214194159217939	0.35090793336886783	0.3610275052032039	0.3996936108247263	0.32421573696046246
f23ppB	0.29172113876125055	0.29191414791103676	0.3846170236085985	0.3334096526860613	0.3166373701276934	0.2897451736371532	0.0	0.30335969935115237	0.2663775663328693	0.29509202678217017	0.3055636580196824	0.3536082434291689	0.36528639121133166	0.3733900138865344	0.42940433509683085	0.23460738684020715	0.21452001071772273	0.18409989632826285	0.3641880840468362	0.35245062102393776	0.3697600640439724	0.396181234766362	0.23870187925841907	0.26231412658581116	0.35973936920206806	0.4079228240203347	0.3984455889067224	0.3800634838234389	0.41139597432257363	0.3410714888624624	0.37056000630953634	0.3806795781438723	0.4193456837653947	0.34386780990113097
w31pp	0.3478732477496878	0.348066256899474	0.44076913259703576	0.3895617616744986	0.37278947911613064	0.34589728262559044	0.30335969935115237	0.0	0.2504890605178768	0.2792035209671776	0.28967515220468987	0.3377197376141764	0.3493978853963391	0.3575015080715419	0.4135158292818383	0.21871888102521464	0.23864707141398975	0.20822695702452987	0.4203401930352735	0.408602730012375	0.42591217303240964	0.4523333437547993	0.2948539882468563	0.3184662355742484	0.4158914781905053	0.46407493300877195	0.45459769789515964	0.43621559281187616	0.4675480833110109	0.39722359785089967	0.4267121152979736	0.4368316871323096	0.47549779275383197	0.4000199188895682
f16ppA	0.31089111473140474	0.311084123881191	0.40378699957875264	0.3525796286562155	0.33580734609784757	0.30891514960730737	0.2663775663328693	0.2504890605178768	0.0	0.16021357064998853	0.1706852018875008	0.2187297872969873	0.23040793507915006	0.23851155775435282	0.2945258789646492	0.09972893070802558	0.20166493839570668	0.1712448240062468	0.38335806001699035	0.371620596994092	0.38893004001412657	0.4153512107365162	0.25787185522857325	0.28148410255596534	0.3789093451722223	0.4270927999904889	0.41761556487687657	0.39923345979359304	0.4305659502927278	0.36024146483261654	0.38972998227969047	0.39984955411402656	0.43851565973554896	0.3630377858712851
f25pp	0.33960557518070555	0.3397985843304918	0.43250146002805345	0.3812940891055163	0.3645218065471484	0.3376296100566082	0.29509202678217017	0.2792035209671776	0.16021357064998853	0.0	0.13508271370534802	0.18312729911483455	0.1948054468969973	0.20290906957220006	0.2589233907824965	0.0929937144924909	0.23037939884500752	0.19995928445554764	0.4120725204662912	0.4003350574433928	0.4176445004634274	0.4440656711858171	0.28658631567787407	0.31019856300526616	0.4076238056215231	0.4558072604397897	0.4463300253261774	0.4279479202428939	0.45928041074202863	0.38895592528191736	0.4184444427289913	0.4285640145633274	0.4672301201848498	0.3917522463205859
