	S20H1	S9H1	w20pp	f20ppA	w9pp	f1pp	w17pp	S1Hp	S21H1	w1pp	S11Hp	S22Hp	w19pp	S3Hp	w3pp	F7H1	w14pp	w13pp	f4pp	F32H1	F22HpB	f22ppB	f6ppB	f8pp	F23HpA	w8pp	f2pp	S2Hp	f17ppB	f19pp	f23ppA	f18pp	f21pp	f32pp	f30pp	w12pp	f13pp	w10pp	f7pp	s24H1	f24pp	S13Hp	w24pp	w28pp	S23Hp	w23pp	f14ppB	f25pp	w25pp	f16ppB	f16ppA	w26pp	f26pp	S26Hp	w27pp	w29pp	S31Hp	f15pp	F3H1	S18H1	f23ppB	w11pp	f11pp	f14ppA	f12ppB	f10pp	f12ppA	f6ppA
S20H1	0.0	0.23172977008579018	0.18760004615416928	0.18631530910744734	0.1975782497680168	0.227319650890725	0.27741560968914036	0.37253782588804374	0.3940761152214556	0.3373166071351593	0.4030362524513588	0.3660396150063688	0.3601042719371892	0.28210866232691456	0.2744846688890905	0.40963774730655733	0.3383089197431996	0.28876062476277087	0.21002024608944697	0.419291065088035	0.40378904178130065	0.27110262630382165	0.22091543716056017	0.225255967543787	0.4171729908464649	0.3177441724765233	0.3087001989308771	0.4225910337235252	0.24699425593006705	0.29899265919669527	0.2270170810249278	0.3159501928948346	0.2841773034436267	0.2468211651318818	0.22115048663635103	0.2755344454818561	0.2886710875260572	0.21070884055630634	0.20201614591518102	0.3729200961827044	0.2339715127812587	0.8844914782624302	0.23388936398014554	0.21805024702051487	0.4094006702328608	0.3254102516616917	0.2637844100130735	0.28271889511539305	0.33803363445030465	0.35573353871820934	0.2614476728208618	0.2629626681051834	0.3221096601812382	0.3772925925466273	0.2840446196672243	0.35718282430454495	0.43770699364536286	0.4046993089120471	0.4318793914236147	0.35377634407720826	0.25510271196358575	0.23315353369360234	0.25514307155248306	0.2173853956149094	0.19004379730714674	0.19004379730714674	0.2087982918178117	0.16174617308461697
S9H1	0.23172977008579018	0.0	0.20951356479446992	0.20822882774774798	0.21949176840831744	0.24923316953102564	0.29932912832944103	0.3944513445283444	0.41598963386175625	0.35923012577545993	0.42494977109165943	0.3879531336466694	0.38201779057748986	0.30402218096721517	0.2963981875293912	0.431551265946858	0.3602224383835002	0.31067414340307153	0.23193376472974764	0.4412045837283356	0.42570256042160126	0.2930161449441223	0.24282895580086078	0.24716948618408763	0.43908650948676553	0.3396576911168239	0.33061371757117775	0.4445045523638258	0.2689077745703677	0.32090617783699593	0.24893059966522843	0.3378637115351353	0.30609082208392735	0.26873468377218246	0.24306400527665167	0.29744796412215674	0.31058460616635786	0.23262235919660695	0.22392966455548163	0.394833614823005	0.25588503142155933	0.9064049969027309	0.25580288262044615	0.2399637656608155	0.4313141888731614	0.3473237703019923	0.2856979286533741	0.3046324137556937	0.3599471530906053	0.37764705735851	0.28336119146116245	0.284876186745484	0.3440231788215389	0.39920611118692795	0.30595813830752494	0.3790963429448456	0.4596205122856635	0.42661282755234775	0.4537929100639153	0.3756898627175089	0.27701623060388636	0.255067052333903	0.27705659019278367	0.23929891425521005	0.21195731594744738	0.21195731594744738	0.23071181045811234	0.1836596917249176
w20pp	0.18760004615416928	0.20951356479446992	0.0	0.010999394680286026	0.05959521662962527	0.08933661775233345	0.13943257655074884	0.2345547927496522	0.256093082083064	0.19933357399676777	0.2650532193129672	0.22805658186797725	0.22212123879879767	0.14412562918852298	0.136501635750699	0.2716547141681657	0.20032588660480807	0.15077759162437934	0.07203721295105545	0.2813080319496434	0.26580600864290904	0.1331195931654301	0.08293240402216862	0.08727293440539546	0.2791899577080733	0.17976113933813176	0.17071716579248558	0.2846080005851336	0.1090112227916755	0.16100962605830377	0.08903404788653627	0.1779671597564431	0.14619427030523519	0.10883813199349027	0.08316745349795948	0.13755141234346455	0.15068805438766567	0.07272580741791479	0.06403311277678947	0.23493706304431283	0.09598847964286714	0.7465084451240387	0.09590633084175401	0.08006721388212333	0.27141763709446926	0.18742721852330013	0.12580137687468196	0.14473586197700156	0.20005060131191313	0.21775050557981782	0.12346463968247029	0.12497963496679185	0.18412662704284669	0.23930955940823578	0.14606158652883278	0.21919979116615346	0.29972396050697125	0.26671627577365553	0.2938963582852231	0.21579331093881676	0.11711967882519422	0.09517050055521081	0.1171600384140915	0.07940236247651787	0.05206076416875519	0.05206076416875519	0.099573775061851	0.06677646614009433
f20ppA	0.18631530910744734	0.20822882774774798	0.010999394680286026	0.0	0.05831047958290332	0.08805188070561151	0.1381478395040269	0.23327005570293027	0.2548083450363421	0.19804883695004583	0.2637684822662453	0.22677184482125531	0.22083650175207573	0.14284089214180104	0.13521689870397707	0.2703699771214438	0.19904114955808613	0.1494928545776574	0.0707524759043335	0.28002329490292144	0.2645212715961871	0.13183485611870815	0.08164766697544668	0.08598819735867351	0.27790522066135137	0.17847640229140982	0.16943242874576364	0.28332326353841164	0.10772648574495355	0.15972488901158183	0.08774931083981431	0.17668242270972115	0.14490953325851325	0.10755339494676831	0.08188271645123754	0.1362666752967426	0.14940331734094373	0.07144107037119284	0.06274837573006753	0.2336523259975909	0.0947037425961452	0.7452237080773167	0.09462159379503206	0.07878247683540139	0.2701329000477473	0.1861424814765782	0.12451663982796	0.14345112493027962	0.1987658642651912	0.21646576853309588	0.12217990263574834	0.1236948979200699	0.18284188999612475	0.23802482236151384	0.14477684948211084	0.21791505411943152	0.2984392234602493	0.2654315387269336	0.29261162123850115	0.21450857389209482	0.11583494177847227	0.09388576350848886	0.11587530136736955	0.07811762542979593	0.050776027122033246	0.050776027122033246	0.09828903801512906	0.06549172909337239
w9pp	0.1975782497680168	0.21949176840831744	0.05959521662962527	0.05831047958290332	0.0	0.07487129968583403	0.12496725848424942	0.22008947468315276	0.24162776401656458	0.18486825593026832	0.2505879012464678	0.2135912638014778	0.20765592073229822	0.12966031112202356	0.12203631768419959	0.2571893961016663	0.18586056853830862	0.1363122735578799	0.05757189488455602	0.266842713883144	0.2513406905764096	0.11865427509893067	0.0684670859556692	0.07280761633889603	0.26472463964157394	0.1652958212716323	0.15625184772598613	0.2701426825186342	0.09454590472517607	0.14654430799180435	0.07456872982003684	0.16350184168994364	0.13172895223873576	0.09437281392699085	0.06870213543146006	0.12308609427696512	0.13622273632116624	0.058260489351415354	0.04956779471029004	0.22047174497781338	0.08152316157636771	0.7320431270575393	0.08144101277525459	0.0656018958156239	0.25695231902796983	0.17296190045680068	0.11133605880818254	0.13027054391050213	0.18558528324541368	0.20328518751331837	0.10899932161597087	0.11051431690029243	0.16966130897634724	0.22484424134173633	0.13159626846233335	0.204734473099654	0.2852586424404719	0.2522509577071561	0.2794310402187237	0.2013279928723173	0.1026543607586948	0.08070518248871139	0.10269472034759208	0.06493704441001844	0.037595446102255764	0.037595446102255764	0.10955197867569852	0.07675466975394186
f1pp	0.227319650890725	0.24923316953102564	0.08933661775233345	0.08805188070561151	0.07487129968583403	0.0	0.08640588295493835	0.18152809915384174	0.20306638848725356	0.1463068804009573	0.21202652571715677	0.17502988827216678	0.1690945452029872	0.12069578377117057	0.11307179033334659	0.24822486875081332	0.17689604118745564	0.1273477462070269	0.05819187384302137	0.26746269284160934	0.25196066953487495	0.11927425405739603	0.06908706491413454	0.07342759529736137	0.2653446186000393	0.16591580023009767	0.1568718266844515	0.27076266147709954	0.09516588368364143	0.14716428695026967	0.07518870877850219	0.164121820648409	0.1323489311972011	0.09499279288545619	0.06932211438992542	0.13586391805492928	0.14900056009913037	0.07103831312937951	0.06234561848825419	0.23324956875577751	0.09430098535433187	0.7448209508355035	0.09421883655321873	0.07837971959358805	0.26973014280593394	0.1857397242347648	0.12411388258614668	0.1430483676884663	0.19836310702337784	0.21606301129128253	0.12177714539393501	0.12329214067825657	0.1824391327543114	0.23762206511970047	0.1443740922402975	0.21751229687761814	0.298036466218436	0.2650287814851202	0.2922088639966879	0.21410581665028144	0.11543218453665895	0.09348300626667554	0.11547254412555623	0.0832156078431383	0.055874009535375635	0.055874009535375635	0.13929337979840672	0.10649607087665006
w17pp	0.27741560968914036	0.29932912832944103	0.13943257655074884	0.1381478395040269	0.12496725848424942	0.08640588295493835	0.0	0.19166215745810083	0.21320044679151262	0.15644093870521636	0.23593493893453515	0.19893830148954517	0.20607333183229548	0.17079174256958596	0.16316774913176196	0.2983208275492287	0.226991999985871	0.17744370500544226	0.10828783264143674	0.3175586516400247	0.30205662833329033	0.1693702128558114	0.11918302371254991	0.12352355409577676	0.31544057739845466	0.21601175902851305	0.20696778548286685	0.3208586202755149	0.1452618424820568	0.19726024574868506	0.12528466757691756	0.21421777944682435	0.18244488999561648	0.14508875168387156	0.11941807318834077	0.18595987685334464	0.19909651889754576	0.12113427192779488	0.11244157728666956	0.2833455275541929	0.14439694415274723	0.7949169096339188	0.1443147953516341	0.1284756783920034	0.3198261016043493	0.2358356830331802	0.17420984138456205	0.19314432648688165	0.2484590658217932	0.2661589700896979	0.17187310419235038	0.17338809947667194	0.23253509155272675	0.28771802391811585	0.19447005103871287	0.2676082556760335	0.3481324250168514	0.3151247402835356	0.3423048227951032	0.26420177544869683	0.16552814333507432	0.1435789650650909	0.1655685029239716	0.1333115666415537	0.105969968333791	0.105969968333791	0.18938933859682208	0.15659202967506541
S1Hp	0.37253782588804374	0.3944513445283444	0.2345547927496522	0.23327005570293027	0.22008947468315276	0.18152809915384174	0.19166215745810083	0.0	0.24672677785914368	0.1899672697728474	0.33105715513343853	0.29406051768844854	0.30119554803119886	0.26591395876848933	0.25828996533066534	0.39344304374813205	0.32211421618477437	0.27256592120434564	0.2034100488403401	0.4126808678389281	0.3971788445321937	0.26449242905471476	0.21430523991145328	0.2186457702946801	0.41056279359735803	0.31113397522741637	0.3020900016817702	0.4159808364744183	0.24038405868096016	0.29238246194758843	0.2204068837758209	0.30933999564572773	0.27756710619451985	0.2402109678827749	0.21454028938724415	0.281082093052248	0.29421873509644914	0.21625648812669823	0.2075637934855729	0.3784677437530962	0.23951916035165058	0.8900391258328222	0.23943701155053745	0.2235978945909068	0.4149483178032527	0.3309578992320835	0.2693320575834654	0.288266542685785	0.34358128202069654	0.36128118628860123	0.26699532039125373	0.26851031567557526	0.3276573077516301	0.3828402401170192	0.2895922672376162	0.3627304718749369	0.44325464121575475	0.4102469564824389	0.4374270389940066	0.3593239916476002	0.26065035953397764	0.23870118126399426	0.26069071912287495	0.22843378284045704	0.20109218453269437	0.20109218453269437	0.28451155479572543	0.2517142458739688
S21H1	0.3940761152214556	0.41598963386175625	0.256093082083064	0.2548083450363421	0.24162776401656458	0.20306638848725356	0.21320044679151262	0.24672677785914368	0.0	0.1620750120588741	0.3525954444668503	0.3155988070218604	0.3227338373646107	0.2874522481019011	0.2798282546640771	0.41498133308154384	0.34365250551818616	0.2941042105377575	0.22494833817375193	0.4342191571723399	0.4187171338656055	0.28603071838812655	0.23584352924486507	0.24018405962809192	0.4321010829307698	0.3326722645608282	0.32362829101518203	0.4375191258078301	0.261922348014372	0.3139207512810002	0.24194517310923275	0.3308782849791395	0.29910539552793164	0.26174925721618675	0.23607857872065596	0.3026203823856598	0.3157570244298609	0.23779477746011005	0.22910208281898473	0.40000603308650806	0.2610574496850624	0.911577415166234	0.26097530088394927	0.24513618392431857	0.4364866071366645	0.35249618856549536	0.2908703469168772	0.30980483201919684	0.36511957135410833	0.382819475622013	0.2885336097246656	0.2900486050089871	0.3491955970850419	0.404378529450431	0.31113055657102806	0.3842687612083487	0.46479293054916654	0.43178524581585076	0.45896532832741843	0.380862280981012	0.2821886488673895	0.26023947059740604	0.28222900845628673	0.24997207217386885	0.22263047386610618	0.22263047386610618	0.30604984412913727	0.27325253520738063
w1pp	0.3373166071351593	0.35923012577545993	0.19933357399676777	0.19804883695004583	0.18486825593026832	0.1463068804009573	0.15644093870521636	0.1899672697728474	0.1620750120588741	0.0	0.29583593638055405	0.2588392989355641	0.26597432927831444	0.23069274001560486	0.22306874657778086	0.3582218249952476	0.2868929974318899	0.2373447024514612	0.16818883008745567	0.3774596490860436	0.36195762577930923	0.2292712103018303	0.1790840211585688	0.18342455154179566	0.37534157484447356	0.27591275647453195	0.2668687829288858	0.3807596177215338	0.2051628399280757	0.25716124319470396	0.18518566502293649	0.27411877689284325	0.24234588744163538	0.2049897491298905	0.1793190706343597	0.24586087429936354	0.25899751634356466	0.18103526937381378	0.17234257473268846	0.3432465250002118	0.20429794159876613	0.8548179070799378	0.204215792797653	0.1883766758380223	0.3797270990503682	0.2957366804791991	0.23411083883058095	0.2530453239329006	0.30836006326781207	0.32605996753571675	0.23177410163836928	0.23328909692269084	0.2924360889987456	0.34761902136413475	0.2543710484847318	0.3275092531220524	0.4080334224628703	0.3750257377295545	0.40220582024112217	0.32410277289471573	0.22542914078109322	0.2034799625111098	0.2254695003699905	0.1932125640875726	0.16587096577980992	0.16587096577980992	0.249290336042841	0.21649302712108434
