	w25pp	f16ppB	f25pp	f14ppB	f6ppA	S14Hp	F32H1	F7H1	s11pp	w16pp	w15pp	S3Hp	f32pp	f2pp	w2pp	w4pp	f1pp	w1pp	f4pp	s21pp	w3pp	s3pp	w26pp	f26pp	f3pp	w10pp	f20ppB	w21pp	s29pp	s24pp	S12Hp	S1Hp	S22Hp	f12ppA	w12pp	w18pp	s12pp	w14pp	f9pp	f15pp	s30pp	w17pp	f14ppA	f30pp	f23ppA	f21pp	f17ppA	w9pp	f11pp	f8pp	w11pp	f31pp	f23ppB	f16ppA	s17pp	w24pp	w29pp	f10pp	S23Hp	w7pp	f22ppA	s19pp	F8H1	s8pp	w8pp	f13pp	s31pp	s27pp	w27pp	f29pp	s2pp	S18H1	f20ppA	w13pp	w20pp	S13Hp	w32pp	w6pp	f22ppB	w22pp	f7pp	f12ppB	S9H1	S2Hp	s1pp	s28pp	w28pp	f28pp	w31pp	w23pp	s23pp	S15Hp	530451	31160	F14H1A	f24pp	f17ppB	f19pp	f18pp	f6ppB	s25pp	w19pp
w25pp	0.0	0.0037529960285631117	0.0037539960290631415	0.02664251281579367	0.08926731929742975	0.24283923635888902	0.2859881966958043	0.2746190891840047	0.1903409603171779	0.055435459778466784	0.09899950587707053	0.14927679308608877	0.048765316126970104	0.06873061490123274	0.06873061490123274	0.06889899745023685	0.059545782125004526	0.059545782125004526	0.05989980958283464	0.07986974263863299	0.07668086567762848	0.07668086567762848	0.07967564991324773	0.07967564991324773	0.12428741339467085	0.0726800855251633	0.07134547665934253	0.09176626246235532	0.15708319513685176	0.3044976810927245	0.2867979023170045	0.31676053950550903	0.2919265276753083	0.0738682858800629	0.09109612753695716	0.07290443273513221	0.09344999712217276	0.054112064890619316	0.06809124982594543	0.058942146746812016	0.10149386610543464	0.054677106752195295	0.05617569825763692	0.055962952234095864	0.053766023411328884	0.053766023411328884	0.06482515578513007	0.07520720340253868	0.05463507021354967	0.061237803799253115	0.061237803799253115	0.06378861658984758	0.0563489269470539	0.052834348457657415	0.15706805177346658	0.07865554209183127	0.06309849750835408	0.049721361979490175	0.3087486497968924	0.18172123044076346	0.06139578299057391	0.14155295350375602	0.2302120025485067	0.11495708587758656	0.09664862234369194	0.05724509496729839	0.15585738993510337	0.07921226327222473	0.07921226327222473	0.07235602614442287	0.09830071313898082	0.3039630426880089	0.06458642629038669	0.067817768477594	0.10173202879368005	0.2880756656648028	0.14010058776890655	0.1495112470005839	0.04085927534134094	0.0409438578268918	0.0409438578268918	0.026641512815293637	0.26723910190562206	0.22966393589390963	0.13880186806065797	0.22189076442402145	0.08018963106760356	0.09410641335537868	0.05346839390837348	0.06758743983186098	0.1300218914839129	0.2696750397878935	0.3172180436267621	0.30790379415187014	0.28382180622760406	0.017534476112290646	0.02047175300430243	0.022963049129363	0.017114526608091044	0.011714071856310737	0.013617369975539447	2.00000100005818e-06
f16ppB	0.0037529960285631117	0.0	3.00000150008727e-06	0.022891516788230613	0.08551632326986669	0.23908824033132595	0.2822372006682412	0.2708680931564416	0.18658996428961483	0.051684463750903735	0.09524850984950747	0.1455257970585257	0.045014320099407056	0.06497961887366968	0.06497961887366968	0.0651480014226738	0.05579478609744148	0.05579478609744148	0.05614881355527159	0.07611874661106993	0.07292986965006543	0.07292986965006543	0.07592465388568467	0.07592465388568467	0.1205364173671078	0.06892908949760024	0.06759448063177947	0.08801526643479227	0.1533321991092887	0.30074668506516145	0.28304690628944146	0.31300954347794596	0.28817553164774523	0.07011728985249985	0.0873451315093941	0.06915343670756915	0.08969900109460971	0.05036106886305627	0.06434025379838237	0.05519115071924897	0.09774287007787158	0.05092611072463225	0.05242470223007387	0.052211956206532815	0.050015027383765835	0.050015027383765835	0.06107415975756702	0.07145620737497563	0.05088407418598662	0.05748680777169007	0.05748680777169007	0.06003762056228453	0.05259793091949085	0.04908335243009437	0.1533170557459035	0.07490454606426822	0.059347501480791036	0.04597036595192713	0.30499765376932936	0.1779702344132004	0.05764478696301086	0.13780195747619295	0.22646100652094364	0.1112060898500235	0.09289762631612888	0.05349409893973534	0.1521063939075403	0.07546126724466168	0.07546126724466168	0.06860503011685981	0.09454971711141777	0.3002120466604458	0.06083543026282364	0.06406677245003095	0.097981032766117	0.28432466963723974	0.13634959174134348	0.14576025097302084	0.037108279313777894	0.03719286179932875	0.03719286179932875	0.022890516787730582	0.263488105878059	0.22591293986634656	0.1350508720330949	0.21813976839645838	0.0764386350400405	0.09035541732781563	0.04971739788081043	0.06383644380429793	0.12627089545634984	0.2659240437603304	0.313467047599199	0.30415279812430707	0.280070810200041	0.013783480084727594	0.016720756976739373	0.019212053101799943	0.013363530580527992	0.007963075828747683	0.013963105146076774	0.0037529960285631117
f25pp	0.0037539960290631415	3.00000150008727e-06	0.0	0.022890516787730585	0.08551532326936666	0.23908724033082593	0.2822362006677412	0.2708670931559416	0.1865889642891148	0.0516834637504037	0.09524750984900744	0.14552479705802568	0.045013320098907024	0.06497861887316965	0.06497861887316965	0.06514700142217376	0.055793786096941446	0.055793786096941446	0.05614781355477156	0.0761177466105699	0.0729288696495654	0.0729288696495654	0.07592365388518464	0.07592365388518464	0.12053541736660776	0.0689280894971002	0.06759348063127944	0.08801426643429223	0.15333119910878867	0.3007456850646614	0.28304590628894144	0.31300854347744594	0.2881745316472452	0.07011628985199982	0.08734413150889407	0.06915243670706912	0.08969800109410968	0.050360068862556236	0.06433925379788234	0.055190150718748936	0.09774187007737155	0.050925110724132215	0.05242370222957384	0.052210956206032784	0.050014027383265804	0.050014027383265804	0.06107315975706699	0.0714552073744756	0.05088307418548659	0.057485807771190035	0.057485807771190035	0.0600366205617845	0.05259693091899082	0.049082352429594335	0.1533160557454035	0.07490354606376819	0.059346501480291004	0.045969365951427095	0.30499665376882934	0.17796923441270038	0.05764378696251083	0.13780095747569293	0.22646000652044362	0.11120508984952347	0.09289662631562885	0.05349309893923531	0.15210539390704028	0.07546026724416165	0.07546026724416165	0.06860403011635978	0.09454871711091774	0.3002110466599458	0.06083443026232361	0.06406577244953092	0.09798003276561697	0.2843236696367397	0.13634859174084346	0.14575925097252082	0.03710727931327786	0.03719186179882872	0.03719186179882872	0.022889516787230554	0.26348710587755897	0.22591193986584654	0.1350498720325949	0.21813876839595836	0.07643763503954047	0.0903544173273156	0.049716397880310396	0.0638354438037979	0.12626989545584982	0.2659230437598304	0.313466047598699	0.30415179812380705	0.28006981019954097	0.013782480084227564	0.016719756976239345	0.019211053101299915	0.013362530580027962	0.007962075828247654	0.013964105146576804	0.0037539960290631415
f14ppB	0.02664251281579367	0.022891516788230613	0.022890516787730585	0.0	0.06262680648263613	0.21619872354409544	0.25934768388101065	0.24797857636921108	0.16370044750238433	0.028794946963673178	0.07235899306227692	0.12263628027129521	0.02212480331217649	0.04209010208643913	0.04209010208643913	0.04225848463544323	0.03290526931021091	0.03290526931021091	0.033259296768041034	0.05322922982383936	0.05004035286283486	0.05004035286283486	0.05303513709845411	0.05303513709845411	0.09764690057987724	0.04603957271036968	0.0447049638445489	0.0651257496475617	0.1304426823220582	0.2778571682779309	0.2601573895022109	0.2901200266907154	0.2652860148605147	0.047227773065269284	0.06445561472216355	0.04626391992033859	0.06680948430737915	0.027471552075825703	0.04145073701115182	0.0323016339320184	0.07485335329064101	0.028036593937401683	0.029535185442843316	0.02932243941930225	0.02712551059653527	0.02712551059653527	0.03818464297033646	0.04856669058774507	0.027994557398756066	0.03459729098445951	0.03459729098445951	0.03714810377505397	0.029708414132260295	0.02619383564286381	0.130427538958673	0.052015029277037654	0.03645798469356047	0.023080849164696562	0.2821081369820988	0.1550807176259699	0.034755270175780305	0.11491244068896245	0.20357148973371314	0.08831657306279295	0.07000810952889833	0.030604582152504785	0.1292168771203098	0.05257175045743112	0.05257175045743112	0.04571551332962925	0.0716602003241872	0.27732252987321526	0.03794591347559308	0.0411772556628004	0.07509151597888643	0.2614351528500092	0.11346007495411296	0.12287073418579034	0.014218762526547336	0.014303345012098196	0.014303345012098196	3.00000150008727e-06	0.25167250017067533	0.21409733415896298	0.1232352663257113	0.2063241626890748	0.06462302933265686	0.07853981162043198	0.03790179217342678	0.05202083809691429	0.11445528974896621	0.25410843805294675	0.30165144189181536	0.2923371924169234	0.26825520449265733	0.009112036705503137	0.01204931359751492	0.014540609722575489	0.020328895711263242	0.014930440960482991	0.03685262193330733	0.02664251281579367
f6ppA	0.08926731929742975	0.08551632326986669	0.08551532326936666	0.06262680648263613	0.0	0.23023301647829925	0.2733819768152144	0.2620128693034149	0.17773474043658813	0.0501744690127485	0.09373851511135223	0.14401580232037053	0.05813547208706476	0.0781007708613274	0.0781007708613274	0.08299544987279095	0.07364223454755864	0.07364223454755864	0.07399626200538875	0.09396619506118709	0.09077731810018258	0.09077731810018258	0.09377210233580183	0.09377210233580183	0.13838386581722495	0.08677653794771739	0.08544192908189663	0.1058627148849094	0.17117964755940593	0.31859413351527865	0.30089435473955867	0.33085699192806317	0.30602298009786244	0.087964738302617	0.10519257995951126	0.08700088515768631	0.10754644954472686	0.06820851731317343	0.09008450859648279	0.08093540551734937	0.12348712487597198	0.07667036552273267	0.07816895702817431	0.07795621100463324	0.07575928218186626	0.07575928218186626	0.08681841455566744	0.09720046217307604	0.07662832898408706	0.08323106256979049	0.08323106256979049	0.08578187536038495	0.07834218571759127	0.07482760722819479	0.179061310544004	0.10064880086236863	0.08509175627889146	0.07171462075002755	0.3307419085674298	0.20371448921130092	0.08338904176111128	0.17753524716959845	0.2661942962143492	0.15093937954342895	0.13263091600953433	0.0932273886331408	0.19183968360094583	0.11519455693806713	0.11519455693806713	0.10833831981026526	0.1342830068048232	0.33994533635385127	0.10056871995622908	0.1038000621434364	0.13771432245952242	0.3240579593306452	0.17608288143474898	0.18549354066642634	0.07684156900718335	0.07692615149273421	0.07692615149273421	0.06262780648313616	0.3142973066523114	0.2767221406405991	0.1858600728073474	0.26894896917071087	0.12724783581429294	0.14116461810206807	0.10052659865506286	0.11464564457855037	0.17708009623060228	0.31673324453458285	0.36427624837345146	0.3549619988985595	0.3308800109742934	0.07173684318713922	0.07467412007915099	0.07716541620421156	0.08295370219289933	0.07755524744211907	0.0994774284149434	0.08926731929742975
S14Hp	0.24283923635888902	0.23908824033132595	0.23908724033082593	0.21619872354409544	0.23023301647829925	0.0	0.40771484846134165	0.3963457409495421	0.3120676120827154	0.20374638607420786	0.2473104321728116	0.2975877193818299	0.2117073891485241	0.23167268792278675	0.23167268792278675	0.23656736693425032	0.227214151609018	0.227214151609018	0.22756817906684812	0.24753811212264645	0.24434923516164195	0.24434923516164195	0.2473440193972612	0.2473440193972612	0.2919557828786843	0.24034845500917676	0.239013846143356	0.2594346319463688	0.3247515646208653	0.472166050576738	0.45446627180101806	0.4844289089895225	0.4595948971593218	0.24153665536407637	0.25876449702097065	0.24057280221914568	0.26111836660618626	0.2217804343746328	0.24365642565794216	0.23450732257880874	0.27705904193743136	0.23024228258419202	0.23174087408963365	0.23152812806609258	0.22933119924332562	0.22933119924332562	0.2403903316171268	0.2507723792345354	0.2302002460455464	0.23680297963124985	0.23680297963124985	0.2393537924218443	0.23191410277905064	0.22839952428965415	0.3326332276054634	0.254220717923828	0.2386636733403508	0.2252865378114869	0.48431382562888914	0.35728640627276026	0.23696095882257062	0.3311071642310578	0.41976621327580854	0.3045112966048883	0.2862028330709937	0.24679930569460012	0.34541160066240517	0.26876647399952647	0.26876647399952647	0.2619102368717246	0.28785492386628253	0.4935172534153106	0.2541406370176884	0.25737197920489574	0.29128623952098176	0.4776298763921045	0.3296547984962083	0.33906545772788566	0.23041348606864268	0.23049806855419355	0.23049806855419355	0.21619972354459546	0.4678692237137707	0.43029405770205836	0.3394319898688067	0.4225208862321702	0.2808197528757522	0.2947365351635274	0.25409851571652214	0.26821756164000965	0.3306520132920616	0.4703051615960422	0.5178481654349107	0.5085339159600188	0.48445192803575277	0.22530876024859853	0.22824603714061031	0.23073733326567086	0.2365256192543586	0.23112716450357834	0.2530493454764027	0.24283923635888902
F32H1	0.2859881966958043	0.2822372006682412	0.2822362006677412	0.25934768388101065	0.2733819768152144	0.40771484846134165	0.0	0.4135898728404043	0.3429589856394256	0.24689534641112304	0.29045939250972674	0.34073667971874505	0.2548563494854393	0.2748216482597019	0.2748216482597019	0.27971632727116547	0.27036311194593315	0.27036311194593315	0.2707171394037633	0.2906870724595616	0.28749819549855715	0.28749819549855715	0.29049297973417637	0.29049297973417637	0.33510474321559947	0.28349741534609196	0.28216280648027114	0.30258359228328396	0.3679005249577805	0.5153150109136532	0.49761523213793324	0.5275778693264377	0.502743857496237	0.28468561570099155	0.30191345735788583	0.28372176255606085	0.30426732694310143	0.26492939471154797	0.28680538599485733	0.2776562829157239	0.32020800227434654	0.2733912429211072	0.27488983442654885	0.2746770884030078	0.2724801595802408	0.2724801595802408	0.283539291954042	0.2939213395714506	0.27334920638246163	0.27995193996816503	0.27995193996816503	0.2825027527587595	0.27506306311596584	0.27154848462656933	0.37578218794237855	0.2973696782607432	0.281812633677266	0.2684354981484021	0.5274627859658043	0.4004353666096755	0.28010991915948585	0.37425612456797297	0.4629151736127237	0.34766025694180347	0.3293517934079089	0.28994826603151536	0.38856056099932035	0.31191543433644164	0.31191543433644164	0.3050591972086398	0.33100388420319776	0.5366662137522258	0.29728959735460364	0.30052093954181097	0.334435199857897	0.5207788367290198	0.3728037588331235	0.3822144180648009	0.2735624464055579	0.27364702889110876	0.27364702889110876	0.25934868388151067	0.511018184050686	0.4734430180389736	0.3825809502057219	0.4656698465690854	0.32396871321266746	0.33788549550044256	0.2972474760534374	0.3113665219769249	0.3738009736289768	0.5134541219329574	0.560997125771826	0.551682876296934	0.5276008883726679	0.2684577205855137	0.2713949974775255	0.2738862936025861	0.27967457959127384	0.2742761248404936	0.29619830581331796	0.2859881966958043
F7H1	0.2746190891840047	0.2708680931564416	0.2708670931559416	0.24797857636921108	0.2620128693034149	0.3963457409495421	0.4135898728404043	0.0	0.3315898781276261	0.2355262388993235	0.2790902849979272	0.3293675722069455	0.24348724197363975	0.26345254074790236	0.26345254074790236	0.26834721975936593	0.2589940044341336	0.2589940044341336	0.25934803189196376	0.27931796494776207	0.2761290879867576	0.2761290879867576	0.27912387222237683	0.27912387222237683	0.32373563570379993	0.2721283078342924	0.2707936989684716	0.2912144847714844	0.35653141744598094	0.5039459034018536	0.4862461246261337	0.5162087618146382	0.4913747499844374	0.273316508189192	0.2905443498460863	0.2723526550442613	0.2928982194313019	0.25356028719974844	0.2754362784830578	0.2662871754039244	0.308838894762547	0.26202213540930763	0.2635207269147493	0.2633079808912082	0.26111105206844126	0.26111105206844126	0.27217018444224245	0.282552232059651	0.26198009887066204	0.2685828324563655	0.2685828324563655	0.27113364524695993	0.26369395560416625	0.2601793771147698	0.364413080430579	0.28600057074894364	0.27044352616546646	0.2570663906366025	0.5160936784540048	0.3890662590978759	0.26874081164768626	0.36288701705617343	0.4515460661009242	0.33629114943000393	0.31798268589610934	0.27857915851971576	0.3771914534875208	0.3005463268246421	0.3005463268246421	0.29369008969684024	0.31963477669139817	0.5252971062404262	0.28592048984280405	0.2891518320300114	0.3230660923460974	0.5094097292172202	0.36143465132132396	0.3708453105530013	0.26219333889375834	0.26227792137930916	0.26227792137930916	0.2479795763697111	0.49964907653888635	0.46207391052717395	0.3712118426939223	0.4543007390572858	0.31259960570086787	0.326516387988643	0.2858783685416378	0.2999974144651253	0.3624318661171772	0.5020850144211577	0.5496280182600264	0.5403137687851345	0.5162317808608683	0.2570886130737141	0.2600258899657259	0.2625171860907865	0.26830547207947425	0.262907017328694	0.28482919830151837	0.2746190891840047
s11pp	0.1903409603171779	0.18658996428961483	0.1865889642891148	0.16370044750238433	0.17773474043658813	0.3120676120827154	0.3429589856394256	0.3315898781276261	0.0	0.15124811003249675	0.19481215613110048	0.24508944334011876	0.159209113106813	0.17917441188107563	0.17917441188107563	0.1840690908925392	0.1747158755673069	0.1747158755673069	0.175069903025137	0.19503983608093534	0.19185095911993083	0.19185095911993083	0.19484574335555008	0.19484574335555008	0.2394575068369732	0.18785017896746564	0.18651557010164488	0.20693635590465764	0.2722532885791542	0.4196677745350269	0.4019679957593069	0.4319306329478114	0.4070966211176107	0.18903837932236525	0.2062662209792595	0.18807452617743456	0.2086200905644751	0.16928215833292168	0.19115814961623104	0.18200904653709762	0.22456076589572022	0.1777440065424809	0.17924259804792253	0.1790298520243815	0.17683292320161448	0.17683292320161448	0.18789205557541566	0.1982741031928243	0.17770197000383528	0.1843047035895387	0.1843047035895387	0.18685551638013317	0.17941582673733952	0.17590124824794304	0.28013495156375223	0.20172244188211685	0.18616539729863968	0.1727882617697758	0.43181554958717805	0.3047881302310491	0.18446268278085953	0.2786088881893467	0.3672679372340974	0.2520130205631772	0.23370455702928256	0.19430102965288903	0.2929133246206941	0.21626819795781535	0.21626819795781535	0.20941196083001348	0.23535664782457144	0.4410189773735995	0.20164236097597732	0.20487370316318462	0.23878796347927067	0.42513160035039343	0.2771565224544972	0.28656718168617457	0.17791521002693156	0.17799979251248244	0.17799979251248244	0.16370144750288435	0.4153709476720596	0.3777957816603472	0.2869337138270956	0.37002261019045907	0.22832147683404114	0.24223825912181626	0.20160023967481105	0.21571928559829856	0.2781537372503505	0.41780688555433104	0.46534988939319966	0.4560356399183077	0.4319536519940416	0.1728104842068874	0.1757477610988992	0.17823905722395975	0.1840273432126475	0.17862888846186722	0.20055106943469156	0.1903409603171779
w16pp	0.055435459778466784	0.051684463750903735	0.0516834637504037	0.028794946963673178	0.0501744690127485	0.20374638607420786	0.24689534641112304	0.2355262388993235	0.15124811003249675	0.0	0.04366781111558366	0.09394509832460195	0.024303612568101818	0.04426891134236445	0.04426891134236445	0.049163590353828	0.03981037502859569	0.03981037502859569	0.040164402486425804	0.06013433554222414	0.05694545858121963	0.05694545858121963	0.05994024281683888	0.05994024281683888	0.104552006298262	0.05294467842875446	0.05161006956293368	0.07203085536594646	0.13734778804044298	0.2847622739963157	0.2670624952205957	0.2970251324091002	0.2721911205788995	0.054132878783654054	0.07136072044054832	0.05316902563872336	0.07371459002576393	0.03437665779421048	0.05625264907751985	0.04710354599838644	0.08965526535700903	0.04283850600376972	0.04433709750921136	0.04412435148567029	0.04192742266290331	0.04192742266290331	0.05298655503670449	0.06336860265411311	0.04279646946512411	0.04939920305082754	0.04939920305082754	0.051950015841422004	0.04451032619862834	0.04099574770923185	0.14522945102504106	0.06681694134340568	0.05125989675992851	0.0378827612310646	0.29691004904846685	0.16988262969233797	0.049557182242148334	0.1437033876506355	0.23236243669538623	0.117107520024466	0.09879905649057139	0.05939552911417785	0.15800782408198288	0.08136269741910418	0.08136269741910418	0.07450646029130231	0.10045114728586026	0.3061134768348883	0.06673686043726614	0.06996820262447345	0.10388246294055949	0.29022609981168224	0.14225102191578604	0.1516616811474634	0.0430097094882204	0.04309429197377126	0.04309429197377126	0.028795946964173206	0.2804654471333485	0.24289028112163608	0.15202821328838442	0.23511710965174792	0.09341597629532998	0.1073327585831051	0.06669473913609988	0.0808137850595874	0.14324823671163933	0.2829013850156199	0.3304443888544885	0.32113013937959656	0.2970481514553305	0.037904983668176254	0.04084226056018804	0.0433335566852486	0.04912184267393636	0.04372338792315611	0.06564556889598044	0.055435459778466784
