	31749	530119	530258	S9H1	31512	531414	31557	s24H1	S31Hp	S30H1	f20ppA	f16ppA	f1pp	f8pp	f4pp	f21pp	31071	530074	S19H1	S3Hp	31219	530055	31379	S13Hp	31267
31749	0.0	0.300627184294709	0.2977642693563003	0.3539291048044577	0.3782283372359739	0.3968755665460508	0.4210441178856342	0.3478537823354621	0.3490320873520683	0.3270319363393081	0.40291394635750666	0.4619549388153155	0.43833892715946016	0.417440690472165	0.45228814120218974	0.4621247901815182	0.34789145626199114	0.5588963815660758	0.6163597778499311	0.3255618720420853	0.32737948046646187	0.3253574840525283	0.2977517756122089	0.3531597936287266	0.2293378349333565
530119	0.300627184294709	0.0	0.25042880957849245	0.346496622345021	0.3707958547765371	0.389443084086614	0.41361163542619744	0.3404212998760254	0.3415996048926316	0.3195994538798713	0.39548146389806993	0.4545224563558788	0.4309064447000234	0.41000820801272825	0.444855658742753	0.45469230772208147	0.3404589738025544	0.5514638991066392	0.6089272953904945	0.3181293895826486	0.31994699800702514	0.31792500159309156	0.29031929315277216	0.3457273111692899	0.28504374881846456
530258	0.2977642693563003	0.25042880957849245	0.0	0.34363370740661225	0.36793293983812836	0.38658016914820525	0.4107487204877887	0.33755838493761664	0.33873668995422285	0.3167365389414626	0.3926185489596612	0.45165954141747006	0.4280435297616147	0.4071452930743195	0.4419927438043443	0.45182939278367273	0.3375960588641457	0.5486009841682304	0.6060643804520858	0.31526647464423985	0.3170840830686164	0.3150620866546828	0.28745637821436343	0.34286439623088116	0.2821808338800558
S9H1	0.3539291048044577	0.346496622345021	0.34363370740661225	0.0	0.2522628069085228	0.30547771107520544	0.32964626241478884	0.3000809420972699	0.3012592471138761	0.3113371492665004	0.39371876628486047	0.4527597587426693	0.42914374708681396	0.40824551039951884	0.44309296112954355	0.452929610108872	0.33869627618934495	0.5497012014934297	0.607164597777285	0.3163666919694391	0.3555625298499585	0.353540533436025	0.32593482499570553	0.38134284301222326	0.33834566932821325
31512	0.3782283372359739	0.3707958547765371	0.36793293983812836	0.2522628069085228	0.0	0.3297769435067216	0.353945494846305	0.3243801745287861	0.3255584795453923	0.3356363816980166	0.4180179987163766	0.4770589911741855	0.4534429795183301	0.43254474283103495	0.4673921935610597	0.47722884254038817	0.3629955086208611	0.5740004339249458	0.6314638302088011	0.3406659244009553	0.3798617622814747	0.3778397658675411	0.3502340574272217	0.4056420754437394	0.3626449017597294
531414	0.3968755665460508	0.389443084086614	0.38658016914820525	0.30547771107520544	0.3297769435067216	0.0	0.1857660715474014	0.343027403838863	0.3442057088554692	0.35428361100809347	0.4366652280264535	0.4957062204842624	0.472090208828407	0.45119197214111184	0.4860394228711366	0.49587607185046506	0.381642737930938	0.5926476632350227	0.650111059518878	0.3593131537110322	0.3985089915915516	0.396486995177618	0.3688812867372986	0.4242893047538163	0.3812921310698063
31557	0.4210441178856342	0.41361163542619744	0.4107487204877887	0.32964626241478884	0.353945494846305	0.1857660715474014	0.0	0.3671959551784464	0.3683742601950526	0.37845216234767687	0.4608337793660369	0.5198747718238458	0.4962587601679904	0.47536052348069524	0.51020797421072	0.5200446231900484	0.4058112892705214	0.6168162145746061	0.6742796108584614	0.3834817050506156	0.422677542931135	0.42065554651720144	0.393049838076882	0.4484578560933997	0.4054606824093897
s24H1	0.3478537823354621	0.3404212998760254	0.33755838493761664	0.3000809420972699	0.3243801745287861	0.343027403838863	0.3671959551784464	0.0	0.2502921899425268	0.3052618267975048	0.3876434438158649	0.4466844362736737	0.42306842461781835	0.4021701879305232	0.437017638660548	0.44685428763987645	0.3326209537203494	0.543625879024434	0.6010892753082894	0.31029136950044356	0.34948720738096295	0.34746521096702937	0.3198595025267099	0.37526752054322765	0.33227034685921764
S31Hp	0.3490320873520683	0.3415996048926316	0.33873668995422285	0.3012592471138761	0.3255584795453923	0.3442057088554692	0.3683742601950526	0.2502921899425268	0.0	0.306440131814111	0.3888217488324711	0.4478627412902799	0.42424672963442456	0.40334849294712943	0.4381959436771542	0.44803259265648265	0.3337992587369556	0.5448041840410403	0.6022675803248956	0.31146967451704977	0.35066551239756916	0.3486435159836356	0.3210378075433161	0.37644582555983386	0.33344865187582384
S30H1	0.3270319363393081	0.3195994538798713	0.3167365389414626	0.3113371492665004	0.3356363816980166	0.35428361100809347	0.37845216234767687	0.3052618267975048	0.306440131814111	0.0	0.36682159781971085	0.4258625902775197	0.40224657862166435	0.3813483419343692	0.41619579266439394	0.4260324416437224	0.31179910772419533	0.52280403302828	0.5802674293121354	0.2894695235042895	0.32866536138480895	0.3266433649708753	0.2990376565305559	0.35444567454707365	0.31144850086306364
f20ppA	0.40291394635750666	0.39548146389806993	0.3926185489596612	0.39371876628486047	0.4180179987163766	0.4366652280264535	0.4608337793660369	0.3876434438158649	0.3888217488324711	0.36682159781971085	0.0	0.06253288207506068	0.05152071113601812	0.030622474448722972	0.06546992517874772	0.07530657415807616	0.36955591067849936	0.580560835982584	0.6380242322664393	0.3472263264585935	0.40454737140300745	0.4025253749890739	0.37491966654875447	0.4303276845652722	0.3873305108812622
