	530331	31749	31557	S31Hp	S2Hp	S19H1	F14H1B	F29H1	S3Hp	530075	530119	31379	S30H1	31300	530052	31009	31236	S10H1	31021	S28Hp	530364	31750	530315	S13Hp	F6H1	S17H1	530444	530055	31071	S16H2	31600	530451	31512	31700	F7H1	31452	31714	31360	f4pp	f20ppA	f1pp	S22Hp	31112	530215	F32H1	S15Hp	531414	530258	31637	31519	S27H1	31333	S18H1	S7Hp	31537
530331	0.0	0.17999997165860657	0.18640950883003476	0.16092715632548713	0.22575393029912216	0.2908667117365136	0.2970914961988378	0.24279755441118775	0.2443894613681076	0.2882327718189829	0.23907056534062332	0.28626318750671675	0.31886008612695554	0.3439453474676726	0.3350068449246046	0.31001395464420534	0.3230978793329599	0.3270786445998461	0.3519011604070013	0.28622499369832055	0.34521348654739425	0.3445644959079462	0.3801302434069819	0.3132918269243237	0.34951646306222606	0.34148099729309245	0.3547602550639495	0.36941830829702943	0.26098537004801253	0.35538648330173844	0.2622229528035167	0.3870170867360927	0.4214973910240333	0.2917645081749912	0.3628565648466564	0.42301824435993274	0.45814438202202207	0.381799365937315	0.44879494494366845	0.44562979460414653	0.46110737396503293	0.3732682175209167	0.2830890486221105	0.25095225297943957	0.24455827045023015	0.3246546484048808	0.33479192603094854	0.29852791298165127	0.32397579458246134	0.3555158836949016	0.3410830165229477	0.31535682116117425	0.26746605015730496	0.23847354256643016	0.19566609967700416
31749	0.17999997165860657	0.0	0.11820889758735031	0.1754183832406538	0.24024515721428885	0.30535793865168026	0.3115827231140045	0.25728878132635447	0.25888068828327426	0.30272399873414957	0.25356179225579	0.30075441442188344	0.33335131304212223	0.35843657438283927	0.3494980718397713	0.324505181559372	0.3375891062481266	0.3415698715150128	0.366392387322168	0.30071622061348724	0.35970471346256094	0.3590557228231129	0.3946214703221486	0.3277830538394904	0.36400768997739275	0.35597222420825914	0.36925148197911617	0.3839095352121961	0.2754765969631792	0.36987771021690513	0.2767141797186834	0.4015083136512594	0.43598861793919996	0.3062557350901579	0.3773477917618231	0.4375094712750994	0.47263560893718876	0.3962905928524817	0.46328617185883514	0.4601210215193132	0.4755986008801996	0.3877594444360834	0.2975802755372772	0.26544347989460626	0.25904949736539684	0.3391458753200475	0.3492831529461152	0.31301913989681796	0.33846702149762803	0.3700071106100683	0.3555742434381144	0.32984804807634094	0.28195727707247165	0.25296476948159685	0.21015732659217085
31557	0.18640950883003476	0.11820889758735031	0.0	0.18182792041208204	0.24665469438571708	0.3117674758231085	0.3179922602854327	0.2636983184977827	0.2652902254547025	0.3091335359055778	0.25997132942721823	0.30716395159331167	0.33976085021355046	0.3648461115542675	0.3559076090111995	0.33091471873080025	0.34399864341955483	0.347979408686441	0.3728019244935962	0.30712575778491547	0.36611425063398917	0.3654652599945411	0.40103100749357684	0.33419259101091864	0.37041722714882097	0.36238176137968736	0.3756610191505444	0.39031907238362434	0.28188613413460745	0.37628724738833336	0.2831237168901116	0.4079178508226876	0.4423981551106282	0.31266527226158614	0.3837573289332513	0.44391900844652765	0.479045146108617	0.4027001300239099	0.46969570903026336	0.46653055869074145	0.48200813805162784	0.3941689816075116	0.3039898127087054	0.2718530170660345	0.26545903453682507	0.3455554124914757	0.35569269011754345	0.3194286770682462	0.34487655866905625	0.3764166477814965	0.3619837806095426	0.33625758524776916	0.28836681424389987	0.2593743066530251	0.21656686376359907
S31Hp	0.16092715632548713	0.1754183832406538	0.18182792041208204	0.0	0.13196591932004037	0.22962288818519164	0.23584767264751583	0.18155373085986581	0.18314563781678567	0.22698894826766094	0.17782674178930136	0.22501936395539482	0.25761626257563364	0.2827015239163506	0.2737630213732827	0.2487701310928834	0.261854055781638	0.2658348210485242	0.2906573368556794	0.22498117014699864	0.2839696629960723	0.2833206723566243	0.31888641985566	0.2520480033730018	0.2882726395109041	0.2802371737417705	0.2935164315126275	0.3081744847457075	0.1997415464966906	0.29414265975041654	0.2009791292521948	0.32577326318477073	0.3602535674727113	0.23052068462366931	0.30161274129533444	0.3617744208086108	0.39690055847070016	0.32055554238599304	0.3875511213923465	0.38438597105282457	0.399863550413711	0.3120243939695948	0.22184522507078855	0.18970842942811764	0.1833144468989082	0.2634108248535588	0.27354810247962663	0.2372840894303293	0.26273197103113943	0.29427206014357965	0.2798391929716258	0.25411299760985234	0.206222226605983	0.17722971901510826	0.13442227612568225
S2Hp	0.22575393029912216	0.24024515721428885	0.24665469438571708	0.13196591932004037	0.0	0.2944496621588267	0.30067444662115084	0.24638050483350085	0.2479724117904207	0.291815722241296	0.24265351576293642	0.28984613792902986	0.32244303654926865	0.3475282978899857	0.3385897953469177	0.31359690506651844	0.326680829755273	0.3306615950221592	0.3554841108293144	0.2898079441206337	0.34879643696970736	0.3481474463302593	0.38371319382929503	0.3168747773466368	0.35309941348453916	0.34506394771540555	0.3583432054862626	0.37300125871934253	0.26456832047032564	0.35896943372405155	0.26580590322582986	0.3906000371584058	0.4250803414463464	0.2953474585973044	0.3664395152689695	0.42660119478224584	0.46172733244433517	0.3853823163596281	0.45237789536598155	0.44921274502645964	0.46469032438734603	0.3768511679432298	0.2866719990444236	0.2545352034017527	0.24814122087254326	0.32823759882719383	0.3383748764532617	0.3021108634039643	0.32755874500477444	0.3590988341172147	0.34466596694526086	0.3189397715834874	0.271049000579618	0.24205649298874327	0.19924905009931726
S19H1	0.2908667117365136	0.30535793865168026	0.3117674758231085	0.22962288818519164	0.2944496621588267	0.0	0.29249604628201586	0.2382021044943658	0.25718735538170295	0.30103066583257826	0.25186845935421864	0.29906108152031213	0.3316579801405509	0.35674324148126796	0.34780473893819996	0.3228118486578007	0.3358957733465553	0.33987653861344147	0.3646990544205967	0.299022887711916	0.35801138056098963	0.35736238992154157	0.3929281374205773	0.3260897209379191	0.36231435707582144	0.3542788913066878	0.36755814907754486	0.3822162023106248	0.2737832640616079	0.3681843773153338	0.27502084681711214	0.3998149807496881	0.4342952850376286	0.30456240218858666	0.3756544588602518	0.43581613837352806	0.47094227603561745	0.3945972599509104	0.4615928389572638	0.45842768861774186	0.4739052679786283	0.3860661115345121	0.29588694263570586	0.26375014699303495	0.2573561644638255	0.3374525424184761	0.347589820044544	0.3113258069952466	0.3367736885960567	0.368313777708497	0.35388091053654314	0.3281547151747697	0.2802639441709003	0.2731751264485279	0.23036768355910192
F14H1B	0.2970914961988378	0.3115827231140045	0.3179922602854327	0.23584767264751583	0.30067444662115084	0.29249604628201586	0.0	0.21760484127966578	0.26341213984402717	0.3072554502949024	0.25809324381654286	0.3052858659826363	0.33788276460287514	0.3629680259435921	0.3540295234005242	0.3290366331201249	0.3421205578088795	0.3461013230757657	0.3709238388829209	0.30524767217424015	0.3642361650233138	0.3635871743838658	0.3991529218829015	0.3323145054002433	0.3685391415381456	0.360503675769012	0.373782933539869	0.388440986772949	0.28000804852393213	0.37440916177765804	0.2812456312794363	0.40603976521201224	0.4405200694999528	0.3107871866509108	0.38187924332257595	0.4420409228358523	0.4771670604979416	0.40082204441323455	0.467817623419588	0.4646524730800661	0.48013005244095247	0.3922908959968363	0.30211172709803	0.2699749314553591	0.2635809489261497	0.3436773268808003	0.35381460450686814	0.3175505914575708	0.34299847305838094	0.37453856217082115	0.3601056949988673	0.33437949963709385	0.2864887286332245	0.27939991091085215	0.2365924680214261
F29H1	0.24279755441118775	0.25728878132635447	0.2636983184977827	0.18155373085986581	0.24638050483350085	0.2382021044943658	0.21760484127966578	0.0	0.20911819805637713	0.2529615085072524	0.20379930202889285	0.2509919241949863	0.2835888228152251	0.3086740841559421	0.2997355816128741	0.27474269133247486	0.28782661602122944	0.2918073812881156	0.31662989709527084	0.25095373038659013	0.3099422232356638	0.3092932325962157	0.34485898009525146	0.27802056361259325	0.3142451997504956	0.306209733981362	0.319488991752219	0.33414704498529896	0.22571410673628206	0.32011521999000797	0.2269516894917863	0.3517458234243622	0.3862261277123028	0.2564932448632608	0.32758530153492593	0.38774698104820227	0.4228731187102916	0.34652810262558453	0.413523681631938	0.41035853129241606	0.42583611065330246	0.33799695420918624	0.24781778531038	0.2156809896677091	0.20928700713849968	0.2893833850931503	0.2995206627192181	0.2632566496699208	0.28870453127073087	0.32024462038317114	0.3058117532112173	0.28008555784944383	0.23219478684557449	0.2251059691232021	0.1822985262337761
S3Hp	0.2443894613681076	0.25888068828327426	0.2652902254547025	0.18314563781678567	0.2479724117904207	0.25718735538170295	0.26341213984402717	0.20911819805637713	0.0	0.2081632074720962	0.1590010009937366	0.22198149409354417	0.25457839271378296	0.2796636540545	0.270725151511432	0.24573226123103276	0.25881618591978733	0.2627969511866735	0.28761946699382873	0.22194330028514803	0.2809317931342217	0.2802828024947736	0.31584854999380935	0.24901013351115114	0.2852347696490535	0.27719930387991987	0.2904785616507769	0.30513661488385685	0.19670367663483995	0.29110478988856586	0.19794125939034418	0.3227353933229201	0.35721569761086064	0.2274828147618187	0.2985748714334838	0.3587365509467601	0.39386268860884943	0.3175176725241424	0.3845132515304958	0.3813481011909739	0.3968256805518603	0.30898652410774413	0.2188073552089379	0.186670559566267	0.18027657703705757	0.2603729549917082	0.270510232617776	0.2342462195684787	0.25969410116928876	0.29123419028172903	0.2768013231097752	0.2510751277480017	0.20318435674413235	0.22669787608012196	0.18389043319069595
530075	0.2882327718189829	0.30272399873414957	0.3091335359055778	0.22698894826766094	0.291815722241296	0.30103066583257826	0.3072554502949024	0.2529615085072524	0.2081632074720962	0.0	0.16943847040828633	0.2658248045444195	0.29842170316465827	0.3235069645053753	0.3145684619623073	0.28957557168190806	0.30265949637066264	0.3066402616375488	0.33146277744470404	0.2657866107360233	0.324775103585097	0.3241261129456489	0.35969186044468465	0.29285344396202645	0.3290780800999288	0.3210426143307952	0.3343218721016522	0.34897992533473216	0.24054698708571526	0.33494810033944117	0.24178456984121946	0.3665787037737954	0.40105900806173594	0.27132612521269395	0.34241818188435913	0.4025798613976354	0.43770599905972474	0.36136098297501773	0.4283565619813711	0.4251914116418492	0.4406689910027356	0.35282983455861944	0.2626506656598132	0.2305138700171423	0.22411988748793285	0.3042162654425835	0.31435354306865126	0.278089530019354	0.30353741162016407	0.33507750073260434	0.3206446335606504	0.294918438198877	0.24702766719500763	0.27054118653099724	0.22773374364157123
