	f21pp	w24pp	f24pp	f11pp	S1Hp	s24pp	S9H1	w27pp	s25pp	s2pp	S18H1	f1pp	w10pp	S15Hp	w3pp	f4pp	f13pp	f2pp	f8pp	f18pp	f14ppB	f12ppA	f6ppA
f21pp	0.0	0.2823205912453685	0.1810300167416199	0.38798563274784753	0.5004572698132035	0.5323711903837101	0.43862064464916684	0.4926419351143271	0.480655734831839	0.3281060834921192	0.40187696810298884	0.3135958632214654	0.38645089861934356	0.5038206710518633	0.2947565336824425	0.3172428992784313	0.4761055286757706	0.2881431669668548	0.2655978607296006	0.350821300332699	0.30544520678921705	0.31904523983789546	0.34885987948521513
w24pp	0.2823205912453685	0.0	0.23102029946780714	0.4379759154740348	0.5504475525393907	0.5823614731098973	0.4886109273753541	0.5426322178405143	0.5306460175580262	0.37809636621830645	0.4518672508291761	0.3635861459476526	0.4364411813455308	0.5538109537780507	0.3447468164086297	0.3672331820046185	0.5260958114019578	0.33813344969304204	0.31558814345578784	0.4008115830588862	0.3554354895154043	0.3690355225640827	0.39885016221140235
f24pp	0.1810300167416199	0.23102029946780714	0.0	0.24168497562842828	0.35415661269378423	0.3860705332642908	0.29231998752974764	0.3463412779949078	0.33435507771241973	0.18180542637269997	0.2555763109835696	0.16729520610204612	0.2401502414999243	0.35752001393244415	0.1691620720323475	0.19164843762833633	0.35051106702567564	0.16254870531675986	0.14000339907950565	0.225226838682604	0.17985074513912214	0.1934507781878005	0.22326541783512016
f11pp	0.38798563274784753	0.4379759154740348	0.24168497562842828	0.0	0.39623219599929693	0.4281461165698035	0.33439557083526034	0.4376316236416329	0.4256454233591448	0.27309577201942503	0.3468666566302947	0.28837118038201737	0.36122621577989555	0.47859598821241534	0.37611768803857515	0.39860405363456397	0.5574666830319033	0.3695043213229875	0.3469590150857333	0.43218245468883165	0.3868063611453497	0.4004063941940281	0.4302210338413478
S1Hp	0.5004572698132035	0.5504475525393907	0.35415661269378423	0.39623219599929693	0.0	0.3968196569994124	0.3796426934343717	0.5501032607069888	0.5381170604245007	0.38556740908478093	0.4593382936956506	0.40084281744737327	0.47369785284525145	0.5910676252777713	0.48858932510393105	0.5110756906999199	0.6699383200972593	0.4819759583883434	0.45943065215108925	0.5446540917541876	0.49927799821070573	0.512878031259384	0.5426926709067037
s24pp	0.5323711903837101	0.5823614731098973	0.3860705332642908	0.4281461165698035	0.3968196569994124	0.0	0.41155661400487825	0.5820171812774954	0.5700309809950073	0.4174813296552875	0.49125221426615717	0.43275673801787984	0.505611773415758	0.6229815458482779	0.5205032456744376	0.5429896112704264	0.7018522406677659	0.51388987895885	0.4913445727215958	0.5765680123246941	0.5311919187812123	0.5447919518298906	0.5746065914772103
S9H1	0.43862064464916684	0.4886109273753541	0.29231998752974764	0.33439557083526034	0.3796426934343717	0.41155661400487825	0.0	0.4882666355429522	0.4762804352604641	0.32373078392074434	0.397501668531614	0.33900619228333667	0.4118612276812148	0.5292310001137347	0.4267526999398945	0.44923906553588333	0.6081016949332226	0.42013933322430685	0.39759402698705265	0.482817466590151	0.4374413730466691	0.4510414060953475	0.48085604574266716
w27pp	0.4926419351143271	0.5426322178405143	0.3463412779949078	0.4376316236416329	0.5501032607069888	0.5820171812774954	0.4882666355429522	0.0	0.40427269168425184	0.2517230403445321	0.3848011368004707	0.39302748274849686	0.46588251814637505	0.5832522905788948	0.48077399040505464	0.5032603560010436	0.6621229853983828	0.474160623689467	0.45161531745221284	0.5368387570553111	0.4914626635118293	0.5050626965605076	0.5348773362078274
s25pp	0.480655734831839	0.5306460175580262	0.33435507771241973	0.4256454233591448	0.5381170604245007	0.5700309809950073	0.4762804352604641	0.40427269168425184	0.0	0.21651389643591826	0.3728149365179826	0.38104128246600877	0.45389631786388696	0.5712660902964068	0.46878779012256655	0.4912741557185554	0.6501367851158948	0.4621744234069789	0.43962911716972475	0.524852556772823	0.47947646322934123	0.4930764962780195	0.5228911359253392
s2pp	0.3281060834921192	0.37809636621830645	0.18180542637269997	0.27309577201942503	0.38556740908478093	0.4174813296552875	0.32373078392074434	0.2517230403445321	0.21651389643591826	0.0	0.22026528517826288	0.228491631126289	0.3013466665241672	0.41871643895668703	0.3162381387828468	0.3387245043788356	0.4975871337761749	0.30962477206725914	0.28707946583000493	0.3723029054331033	0.3269268118896214	0.34052684493829977	0.37034148458561944
