	F32H1	w30pp	s6pp	S2Hp	s30pp	s18pp	s27pp	s24pp	s29pp	F23HpA	s3pp	S1Hp	s19pp	s25pp	s26pp	s7pp	s4pp	s28pp	s8pp	s24H1	s32pp	S26Hp	S3Hp	s12pp	s21pp	s15pp	F6H1	S23Hp	F14H1B	S4Hp	S8Hp	s9pp	S22Hp	F7H1	S7Hp	F1H1	F29H1	S15Hp	S28Hp	s22pp	S19H1	s2pp	s17pp	s14pp	s13pp	s20pp	s23pp	s31pp	s1pp	F8H1	S9H1	s10pp	S20H1	S18H1
F32H1	0.0	0.043332514003944486	0.051079981107657615	0.15143780437802634	0.10771967498591821	0.16862679433557431	0.22844503901338226	0.2322163052236394	0.340515147935889	0.354133722531615	0.35810634134229435	0.37829881243968405	0.46168666464430697	0.40438657409779705	0.5708880887271041	0.5570186876785604	0.6026024991447164	0.5369743968468482	0.6403455167157551	0.6144994078887045	0.6142130580199843	0.542471174944163	0.5167835961103481	0.603311753782355	0.6649491932705478	0.7370416474254023	1.118841827138312	1.230723709193321	1.3350275722250062	1.0251930344804934	1.0297349866185606	0.8988434840092524	0.8453649164315767	0.8488367813103589	0.780993275296134	0.8380000493829708	0.8338792908322782	0.7995356614850039	0.7910701483962334	0.3397404311773363	0.44026451661345106	0.405025714497231	0.3456043013379832	0.32096985717569615	0.30372383834475974	0.23504236883880486	0.19385563226681024	0.18402898608450302	0.1399123795880035	0.16016210380860435	0.15142089807146847	0.0474225820118211	0.015899969710159917	0.03417046128828881
w30pp	0.043332514003944486	0.0	0.0389940820029757	0.13935190527334443	0.0956337758812363	0.1565408952308924	0.21635913990870034	0.22013040611895748	0.3284292488312071	0.34204782342693313	0.34602044223761247	0.36621291333500217	0.4496007655396251	0.39230067499311516	0.5588021896224221	0.5449327885738785	0.5905166000400345	0.5248884977421663	0.6282596176110732	0.6024135087840226	0.6021271589153023	0.530385275839481	0.5046976970056661	0.5912258546776731	0.6528632941658659	0.7249557483207204	1.10675592803363	1.218637810088639	1.3229416731203243	1.0131071353758114	1.0176490875138786	0.8867575849045705	0.8332790173268948	0.836750882205677	0.7689073761914521	0.8259141502782888	0.8217933917275962	0.7874497623803219	0.7789842492915514	0.32765453207265444	0.4281786175087692	0.39293981539254913	0.3335184022333013	0.30888395807101426	0.29163793924007786	0.22295646973412295	0.18176973316212833	0.1719430869798211	0.1278264804833216	0.14807620470392244	0.13933499896678658	0.06472615106271414	0.033203538761052954	0.06878214057052148
s6pp	0.051079981107657615	0.0389940820029757	0.0	0.1218075941255893	0.07808946473348118	0.1389965840831373	0.19881482876094525	0.20258609497120236	0.310884937683452	0.324503512279178	0.32847613108985735	0.34866860218724705	0.43205645439186996	0.37475636384536004	0.541257878474667	0.5273884774261234	0.5729722888922794	0.5073441865944112	0.6107153064633181	0.5848691976362674	0.5845828477675472	0.5128409646917259	0.487153385857911	0.573681543529918	0.6353189830181107	0.7074114371729653	1.089211616885875	1.201093498940884	1.3053973619725692	0.9955628242280562	1.0001047763661235	0.8692132737568153	0.8157347061791397	0.8192065710579218	0.751363065043697	0.8083698391305337	0.8042490805798411	0.7699054512325668	0.7614399381437963	0.3101102209248993	0.41063430636101406	0.375395504244794	0.3159740910855462	0.29133964692325914	0.27409362809232274	0.20541215858636783	0.1642254220143732	0.154398775832066	0.11028216933556646	0.13053189355616732	0.12179068781903145	0.07247361816642728	0.04095100586476609	0.07652960767423461
S2Hp	0.15143780437802634	0.13935190527334443	0.1218075941255893	0.0	0.12997497930450927	0.1908820986541654	0.25070034333197333	0.2544716095422304	0.36277045225448007	0.3763890268502061	0.38036164566088543	0.4005541167582751	0.48394196896289804	0.4266418784163881	0.5931433930456951	0.5792739919971515	0.6248578034633074	0.5592297011654394	0.6626008210343461	0.6367547122072955	0.6364683623385753	0.564726479262754	0.5390389004289391	0.625567058100946	0.6872044975891388	0.7592969517439934	1.1410971314569032	1.252979013511912	1.3572828765435974	1.0474483387990843	1.0519902909371517	0.9210987883278434	0.8676202207501678	0.8710920856289499	0.8032485796147251	0.8602553537015618	0.8561345951508692	0.8217909658035949	0.8133254527148244	0.3619957354959274	0.46251982093204214	0.4272810188158221	0.3678596056565743	0.3432251614942872	0.3259791426633508	0.2572976731573959	0.21611093658540126	0.20628429040309404	0.16216768390659453	0.18241740812719537	0.17367620239005954	0.172831441436796	0.1413088291351348	0.17688743094460335
s30pp	0.10771967498591821	0.0956337758812363	0.07808946473348118	0.12997497930450927	0.0	0.0941706147018334	0.15398885937964132	0.15776012558989844	0.2660589683021481	0.2796775428978741	0.28365016170855345	0.30384263280594315	0.38723048501056606	0.32993039446405614	0.49643190909336316	0.4825625080448195	0.5281463195109755	0.4625182172131073	0.5658893370820142	0.5400432282549635	0.5397568783862433	0.46801499531042196	0.4423274164766071	0.5288555741486141	0.5904930136368068	0.6625854677916614	1.0443856475045712	1.1562675295595801	1.2605713925912654	0.9507368548467523	0.9552788069848197	0.8243873043755114	0.7709087367978358	0.7743806016766179	0.7065370956623931	0.7635438697492298	0.7594231111985372	0.7250794818512629	0.7166139687624924	0.2652842515435954	0.36580833697971016	0.3305695348634901	0.2711481217042423	0.24651367754195525	0.22926765871101884	0.1605861892050639	0.1193994526330693	0.10957280645076208	0.06545619995426258	0.11961563950193782	0.11087443376480197	0.12911331204468787	0.09759069974302668	0.1331693015524952
s18pp	0.16862679433557431	0.1565408952308924	0.1389965840831373	0.1908820986541654	0.0941706147018334	0.0	0.11250049530682235	0.11627176151707945	0.22457060422932915	0.23818917882505508	0.24216179763573442	0.2623542687331241	0.34574212093774703	0.2884420303912371	0.4549435450205441	0.44107414397200045	0.4866579554381565	0.4210298531402883	0.5244009730091952	0.49855486418214456	0.4982685143134244	0.4265266312376029	0.4008390524037881	0.4873672100757951	0.5490046495639879	0.6210971037188424	1.0028972834317522	1.1147791654867611	1.2190830285184464	0.9092484907739333	0.9137904429120007	0.7828989403026925	0.7294203727250168	0.732892237603799	0.6650487315895741	0.7220555056764109	0.7179347471257183	0.683591117778444	0.6751256046896734	0.22379588747077647	0.32431997290689113	0.2890811707906711	0.22965975763142327	0.20502531346913627	0.18777929463819987	0.11909782513224494	0.14249038468206382	0.13266373849975663	0.08854713200325713	0.18052275885159394	0.17178155311445809	0.190020431394344	0.1584978190926828	0.19407642090215133
s27pp	0.22844503901338226	0.21635913990870034	0.19881482876094525	0.25070034333197333	0.15398885937964132	0.11250049530682235	0.0	0.0037732662112571654	0.1120741089245069	0.12569268352023283	0.12966530233091217	0.1498577734283019	0.23324562563292484	0.17594553508641486	0.3424470497157219	0.3285776486671782	0.37416146013333423	0.30853335783546604	0.41190447770437294	0.3860583688773223	0.38577201900860214	0.3140301359327807	0.28834255709896583	0.37487071477097283	0.43650815425916567	0.5086006084140201	0.89040078812693	1.002282670181939	1.1065865332136242	0.796751995469111	0.8012939476071784	0.6704024449978703	0.6169238774201946	0.6203957422989768	0.5525522362847518	0.6095590103715885	0.6054382518208961	0.5710946224736216	0.5626291093848511	0.11129939216595422	0.2118234776020689	0.17658467548584886	0.11716326232660101	0.09252881816431402	0.07528279933337761	0.11546809963333751	0.20230862935987176	0.19248198317756457	0.14836537668106506	0.24034100352940188	0.23159979779226603	0.24983867607215193	0.21831606377049073	0.25389466557995927
s24pp	0.2322163052236394	0.22013040611895748	0.20258609497120236	0.2544716095422304	0.15776012558989844	0.11627176151707945	0.0037732662112571654	0.0	0.11584537513476399	0.12946394973048994	0.13343656854116928	0.153629039638559	0.23701689184318195	0.17971680129667197	0.346218315925979	0.33234891487743534	0.3779327263435914	0.3123046240457232	0.4156757439146301	0.38982963508757945	0.3895432852188593	0.3178014021430378	0.292113823309223	0.37864198098123	0.4402794204694228	0.5123718746242772	0.8941720543371872	1.0060539363921959	1.1103577994238811	0.8005232616793682	0.8050652138174356	0.6741737112081274	0.6206951436304518	0.6241670085092339	0.556323502495009	0.6133302765818457	0.6092095180311532	0.5748658886838788	0.5664003755951083	0.11507065837621132	0.21559474381232602	0.18035594169610597	0.12093452853685811	0.09630008437457112	0.07905406554363471	0.11923936584359462	0.20607989557012887	0.19625324938782168	0.15213664289132217	0.244112269739659	0.23537106400252314	0.2536099422824091	0.22208732998074787	0.2576659317902164
s29pp	0.340515147935889	0.3284292488312071	0.310884937683452	0.36277045225448007	0.2660589683021481	0.22457060422932915	0.1120741089245069	0.11584537513476399	0.0	0.04052964331514833	0.04450226212582767	0.0646947332232174	0.14808258542784034	0.09078249488133036	0.2572840095106374	0.2434146084620937	0.28899841992824976	0.22337031763038157	0.32674143749928847	0.30089532867223784	0.30060897880351767	0.22886709572769617	0.20317951689388133	0.28970767456588836	0.3513451140540812	0.4234375682089357	0.8052377479218457	0.9171196299768545	1.0214234930085395	0.7115889552640267	0.7161309074020941	0.5852394047927859	0.5317608372151102	0.5352327020938924	0.46738919607966734	0.5243959701665042	0.5202752116158117	0.48593158226853717	0.4774660691797667	0.09429367277894345	0.19481775821505815	0.1595789560988381	0.10015754293959024	0.07552309877730326	0.11810273945862707	0.22753820855584428	0.31437873828237856	0.30455209210007134	0.2604354856035718	0.3524111124519086	0.34366990671477277	0.36190878499465867	0.33038617269299747	0.365964774502466
F23HpA	0.354133722531615	0.34204782342693313	0.324503512279178	0.3763890268502061	0.2796775428978741	0.23818917882505508	0.12569268352023283	0.12946394973048994	0.04052964331514833	0.0	0.028014937136145862	0.048207408233535594	0.1361281637045771	0.0788280731580671	0.24532958778737413	0.23146018673883045	0.2770439982049865	0.2114158959071183	0.3147870157760252	0.28894090694897456	0.2886545570802544	0.21691267400443293	0.1912250951706181	0.2777532528426251	0.3393906923308179	0.4114831464856724	0.7932833261985823	0.9051652082535911	1.0094690712852763	0.6996345335407633	0.7041764856788307	0.5732849830695226	0.5198064154918469	0.5232782803706291	0.45543477435640406	0.5124415484432409	0.5083207898925484	0.4739771605452739	0.4655116474565034	0.10791224737466937	0.20843633281078405	0.173197530694564	0.11377611753531616	0.08914167337302918	0.131721314054353	0.24115678315157021	0.3279973128781045	0.3181706666957973	0.2740540601992978	0.3660296870476346	0.3572884813104988	0.3755273595903847	0.3440047472887235	0.379583349098192
