	F32H1	S22Hp	S10H1	S26Hp	S7Hp	s14pp	s24pp	s1pp	s25pp	s28pp	s23pp	s17pp	S1Hp	S19H1	S12Hp	F7H1	S6Hp	F14H1A	S25Hp	F8H1	S31Hp	S13Hp	F29H1	S17H1	S9H1	S29H1	S21H1	S3Hp	S20H1	s24H1	S4Hp	F6H1	S28Hp	S8Hp	S11Hp	F23HpA	S2Hp	530394	F14H1B	S15Hp	F1H1
F32H1	0.0	0.10921269018335099	0.1397021552015328	0.48661949496095264	0.5183777335103994	0.9117667749037763	0.9171559523507011	0.918580860676262	0.8585319415157626	0.9120223039353379	0.8760591985007582	0.8426995127909749	0.5220670942591221	0.5743242456210924	0.6335801518443513	0.6075280840700974	0.5300452853713771	0.5557326674164641	0.5125321117849039	0.6151353842923917	0.5279009740676458	0.6084356812381595	0.6091248696458009	0.6850366805824597	0.615987016254627	0.5930470138824142	0.6566291529353943	0.5946400370324403	0.5450782495909632	0.5790441023943922	0.6468884064599594	0.6157634962735301	0.5848143106413679	0.6638358450786674	0.583398560186279	0.35323106921099795	0.2550841827459366	0.14084163126585414	0.06639979909529045	0.04718769461615555	0.14397769378956707
S22Hp	0.10921269018335099	0.0	0.13205577964533188	0.4789731194047517	0.5107313579541984	0.9041203993475755	0.9095095767945003	0.9109344851200611	0.8508855659595618	0.904375928379137	0.8684128229445573	0.835053137234774	0.5144207187029213	0.5666778700648916	0.6259337762881505	0.5998817085138965	0.5223989098151762	0.5480862918602633	0.5048857362287029	0.6074890087361908	0.520254598511445	0.6007893056819587	0.6014784940896001	0.6773903050262589	0.6083406406984262	0.5854006383262134	0.6489827773791934	0.5869936614762394	0.5374318740347623	0.5713977268381913	0.6392420309037585	0.6081171207173293	0.5771679350851671	0.6561894695224666	0.5757521846300782	0.345584693654797	0.24743780718973563	0.1331952557096532	0.12237011131926137	0.11663765479496767	0.2322655019992878
S10H1	0.1397021552015328	0.13205577964533188	0.0	0.42267516417633627	0.454433402725783	0.84782244411916	0.8532116215660848	0.8546365298916456	0.7945876107311463	0.8480779731507215	0.8121148677161418	0.7787551820063585	0.4581227634745058	0.510379914836476	0.569635821059735	0.543583753285481	0.46610095458676076	0.4917883366318478	0.44858778100028746	0.5511910535077754	0.4639566432830295	0.5444913504535432	0.5451805388611846	0.6210923497978434	0.5520426854700107	0.529102683097798	0.592684822150778	0.530695706247824	0.48113391880634687	0.5150997716097759	0.5829440756753431	0.5518191654889139	0.5208699798567517	0.5998915142940511	0.5194542294016626	0.2892867384263816	0.19113985196132022	0.14170882808303567	0.15285957633744318	0.1471271198131495	0.26275496701746964
S26Hp	0.48661949496095264	0.4789731194047517	0.42267516417633627	0.0	0.08842754178236698	0.48181658317574394	0.48720576062266885	0.4886306689482296	0.4285817497877302	0.4820721122073056	0.4461090067727259	0.4127493210629425	0.13986983934101035	0.2554175323036446	0.31467343852690355	0.2886213707526496	0.2111385720539293	0.23682595409901633	0.19362539846745597	0.296228670974944	0.20899426075019806	0.2895289679207118	0.2902181563283531	0.366129967265012	0.29708030293717924	0.2741403005649665	0.33772243961794657	0.2757333237149926	0.22617153627351544	0.2601373890769446	0.3279816931425117	0.2968567829560824	0.2659075973239202	0.34492913176121964	0.2644918468688312	0.17365784848799518	0.2871802806055025	0.4886261678424555	0.499776916096863	0.4940444595725693	0.6096723067768894
S7Hp	0.5183777335103994	0.5107313579541984	0.454433402725783	0.08842754178236698	0.0	0.39339104139437703	0.39878021884130194	0.4002051271668627	0.3401562080063633	0.3936465704259387	0.357683464991359	0.3243237792815756	0.1716280778904571	0.2871757708530913	0.3464316770763503	0.3203796093020963	0.24289681060337603	0.26858419264846306	0.2253836370169027	0.3279869095243907	0.2407524992996448	0.32128720647015857	0.32197639487779983	0.3978882058144587	0.32883854148662595	0.3058985391144133	0.3694806781673933	0.3074915622644393	0.2579297748229622	0.2918956276263913	0.3597399316919584	0.3286150215055292	0.297665835873367	0.37668737031066635	0.29625008541827796	0.2054160870374419	0.3189385191549492	0.5203844063919022	0.5315351546463096	0.525802698122016	0.6414305453263363
s14pp	0.9117667749037763	0.9041203993475755	0.84782244411916	0.48181658317574394	0.39339104139437703	0.0	0.010686406977277973	0.4879749042005083	0.42792598504000895	0.4814163474595844	0.4454532420250047	0.4120935563152212	0.565017119283834	0.6805648122464683	0.7398207184697273	0.7137686506954732	0.636285851996753	0.66197323404184	0.6187726784102796	0.7213759509177676	0.6341415406930218	0.7146762478635356	0.7153654362711768	0.7912772472078358	0.7222275828800029	0.6992875805077903	0.7628697195607703	0.7008806036578162	0.6513188162163391	0.6852846690197683	0.7531289730853353	0.7220040628989062	0.691054877266744	0.7700764117040433	0.689639126811655	0.5988051284308189	0.7123275605483262	0.9137734477852792	0.9249241960396868	0.919191739515393	1.0348195867197132
s24pp	0.9171559523507011	0.9095095767945003	0.8532116215660848	0.48720576062266885	0.39878021884130194	0.010686406977277973	0.0	0.4933640816474332	0.4333151624869338	0.4868055249065093	0.4508424194719296	0.41748273376214606	0.570406296730759	0.6859539896933933	0.7452098959166522	0.7191578281423981	0.6416750294436779	0.667362411488765	0.6241618558572046	0.7267651283646925	0.6395307181399467	0.7200654253104605	0.7207546137181017	0.7966664246547606	0.7276167603269278	0.7046767579547152	0.7682588970076951	0.7062697811047411	0.656707993663264	0.6906738464666932	0.7585181505322602	0.7273932403458311	0.6964440547136689	0.7754655891509683	0.6950283042585799	0.6041943058777437	0.717716737995251	0.919162625232204	0.9303133734866116	0.9245809169623178	1.040208764166638
s1pp	0.918580860676262	0.9109344851200611	0.8546365298916456	0.4886306689482296	0.4002051271668627	0.4879749042005083	0.4933640816474332	0.0	0.07776316353442542	0.22323954434397986	0.1872764389094002	0.20488562261656434	0.5718312050563197	0.6873788980189539	0.746634804242213	0.7205827364679589	0.6430999377692387	0.6687873198143257	0.6255867641827653	0.7281900366902533	0.6409556264655074	0.7214903336360212	0.7221795220436624	0.7980913329803214	0.7290416686524885	0.7061016662802759	0.769683805333256	0.7076946894303019	0.6581329019888248	0.6920987547922539	0.759943058857821	0.7288181486713918	0.6978689630392296	0.7768904974765289	0.6964532125841406	0.6056192142033046	0.7191416463208119	0.9205875335577649	0.9317382818121724	0.9260058252878787	1.0416336724921988
s25pp	0.8585319415157626	0.8508855659595618	0.7945876107311463	0.4285817497877302	0.3401562080063633	0.42792598504000895	0.4333151624869338	0.07776316353442542	0.0	0.16319062518348054	0.12722751974890087	0.144836703456065	0.5117822858958203	0.6273299788584545	0.6865858850817136	0.6605338173074595	0.5830510186087393	0.6087384006538263	0.5655378450222659	0.6681411175297539	0.580906707305008	0.6614414144755218	0.662130602883163	0.738042413819822	0.6689927494919892	0.6460527471197766	0.7096348861727566	0.6476457702698025	0.5980839828283254	0.6320498356317545	0.6998941396973216	0.6687692295108925	0.6378200438787303	0.7168415783160296	0.6364042934236412	0.5455702950428052	0.6590927271603125	0.8605386143972655	0.8716893626516731	0.8659569061273793	0.9815847533316995
s28pp	0.9120223039353379	0.904375928379137	0.8480779731507215	0.4820721122073056	0.3936465704259387	0.4814163474595844	0.4868055249065093	0.22323954434397986	0.16319062518348054	0.0	0.1620152822535872	0.19832706587564042	0.5652726483153958	0.68082034127803	0.740076247501289	0.7140241797270349	0.6365413810283147	0.6622287630734017	0.6190282074418414	0.7216314799493293	0.6343970697245834	0.7149317768950972	0.7156209653027384	0.7915327762393973	0.7224831119115646	0.699543109539352	0.7631252485923319	0.7011361326893779	0.6515743452479008	0.6855401980513299	0.753384502116897	0.7222595919304678	0.6913104062983056	0.7703319407356051	0.6898946558432166	0.5990606574623805	0.7125830895798878	0.9140289768168408	0.9251797250712483	0.9194472685469546	1.0350751157512748
