	s8pp	w30pp	s3pp	s12pp	s28pp	S11Hp	s22pp	s7pp	S27H1	F23HpA
s8pp	0.0	0.0874699499177993	0.17239149794888883	0.14110781914165996	0.18053913324828041	0.19795751835114966	0.7100486109219026	1.2904949084387434	1.0826916965233235	1.0022763322464288
w30pp	0.0874699499177993	0.0	0.0849235480320896	0.05363986922486072	0.09307118333148116	0.11048956843435043	0.6225806610051033	1.203026958521944	0.9952237466065244	0.9148083823296294
s3pp	0.17239149794888883	0.0849235480320896	0.0	0.0846736683036866	0.12410498241030704	0.1415233675131763	0.6536144600839292	1.23406075760077	1.0262575456853502	0.9458421814084552
s12pp	0.14110781914165996	0.05363986922486072	0.0846736683036866	0.0	0.06616470570474069	0.08358309080760995	0.5956761833793629	1.1761224808962036	0.968319268980784	0.887903904703889
s28pp	0.18053913324828041	0.09307118333148116	0.12410498241030704	0.06616470570474069	0.0	0.09791121843112824	0.6351074974859834	1.2155537950028241	1.0077505830874043	0.9273352188105094
S11Hp	0.19795751835114966	0.11048956843435043	0.1415233675131763	0.08358309080760995	0.09791121843112824	0.0	0.6525258825888526	1.2329721801056934	1.0251689681902736	0.9447536039133787
s22pp	0.7100486109219026	0.6225806610051033	0.6536144600839292	0.5956761833793629	0.6351074974859834	0.6525258825888526	0.0	1.4244272908011766	1.216624078885757	1.136208714608862
s7pp	1.2904949084387434	1.203026958521944	1.23406075760077	1.1761224808962036	1.2155537950028241	1.2329721801056934	1.4244272908011766	0.0	1.080176024008595	0.9997606597317
S27H1	1.0826916965233235	0.9952237466065244	1.0262575456853502	0.968319268980784	1.0077505830874043	1.0251689681902736	1.216624078885757	1.080176024008595	0.0	0.24196959578188973
F23HpA	1.0022763322464288	0.9148083823296294	0.9458421814084552	0.887903904703889	0.9273352188105094	0.9447536039133787	1.136208714608862	0.9997606597317	0.24196959578188973	0.0
