	F1H1	S7Hp	S4Hp	s24pp	31328	S31Hp	S2Hp	s2pp	31750	F29H1	31450	S30H1	s12pp	s24H1	S29H1	F22HpB	F23HpA	S11Hp	S8Hp	S10H1	S26Hp	S6Hp	531414	s25pp	31379	31236	S25Hp	S21H1
F1H1	0.0	0.09726667010620305	0.16818701675304892	0.16836354631199452	0.5126689026126728	0.4680604177128531	0.524505285018471	0.5259621448069912	0.4997420032133868	0.513148615027007	0.5137886975124665	0.49999640765314896	0.4151642441137304	0.46328965431412394	0.24258905029517036	0.2440318335114417	0.22595459818020647	0.26543941888511124	0.24409230554674743	0.2441042226834871	0.26182376226140264	0.260871193306712	0.2799761217116346	0.2695620854446534	0.2532393495833873	0.25042563268504164	0.2349125128114366	0.002745383440354414
S7Hp	0.09726667010620305	0.0	0.15873640879648265	0.15891293835542825	0.5032182946561066	0.45860980975628685	0.5150546770619047	0.516511536850425	0.49029139525682053	0.5036980070704407	0.5043380895559002	0.4905457996965827	0.4057136361571641	0.4538390463575577	0.2331384423386041	0.23458122555487543	0.2165039902236402	0.255988810928545	0.23464169759018116	0.23465361472692084	0.25237315430483637	0.2514205853501457	0.2705255137550684	0.2601114774880871	0.24378874162682104	0.2409750247284754	0.22546190485487033	0.09951910589392748
S4Hp	0.16818701675304892	0.15873640879648265	0.0	0.017128190026860585	0.4990483841020616	0.4544398992022419	0.5108847665078597	0.51234162629638	0.4861214847027756	0.49952809651639574	0.5001681790018553	0.48637588914253777	0.4015437256031192	0.44966913580351275	0.22896853178455917	0.2304113150008305	0.21233407966959528	0.25181890037450005	0.23047178703613624	0.23048370417287595	0.24820324375079145	0.2472506747961008	0.26635560320102347	0.2559415669340422	0.23961883107277615	0.2368051141744305	0.2212919943008254	0.17043945254077336
s24pp	0.16836354631199452	0.15891293835542825	0.017128190026860585	0.0	0.4992249136610072	0.4546164287611875	0.5110612960668053	0.5125181558553256	0.4862980142617212	0.49970462607534133	0.5003447085608008	0.48655241870148336	0.4017202551620648	0.44984566536245835	0.22914506134350476	0.2305878445597761	0.21251060922854087	0.25199542993344565	0.23064831659508184	0.23066023373182148	0.24837977330973704	0.2474272043550464	0.266532132759969	0.2561180964929878	0.2397953606317217	0.23698164373337605	0.221468523859771	0.17061598209971895
31328	0.5126689026126728	0.5032182946561066	0.4990483841020616	0.4992249136610072	0.0	0.07425079344038826	0.29237805032975295	0.2938349101182731	0.31007945695259476	0.3234860687662149	0.34867304671826427	0.33488075685894675	0.2500485933195282	0.3390722546981485	0.4913799903565591	0.49282277357283044	0.4747455382415952	0.5142303589465	0.5078924916800431	0.5079044088167829	0.5256239483946984	0.5246713794400077	0.5437763078449304	0.5333622715779491	0.517039535716683	0.5142258188183374	0.49871269894473236	0.5149213384003972
S31Hp	0.4680604177128531	0.45860980975628685	0.4544398992022419	0.4546164287611875	0.07425079344038826	0.0	0.24776956542993323	0.24922642521845342	0.26547097205277503	0.27887758386639516	0.30406456181844455	0.2902722719591271	0.20544010841970853	0.2944637697983288	0.44677150545673944	0.4482142886730108	0.43013705334177554	0.4696218740466803	0.4632840067802235	0.46329592391696317	0.4810154634948787	0.4800628945401881	0.49916782294511075	0.48875378667812946	0.47243105081686343	0.4696173339185178	0.4541042140449127	0.47031285350057755
S2Hp	0.524505285018471	0.5150546770619047	0.5108847665078597	0.5110612960668053	0.29237805032975295	0.24776956542993323	0.0	0.004526877356723625	0.32191583935839285	0.335322451172013	0.36050942912406236	0.3467171392647449	0.2618849757253263	0.3509086371039466	0.5032163727623573	0.5046591559786286	0.48658192064739336	0.5260667413522981	0.5197288740858413	0.519740791222581	0.5374603308004966	0.5365077618458058	0.5556126902507286	0.5451986539837472	0.5288759181224812	0.5260622012241356	0.5105490813505306	0.5267577208061954
s2pp	0.5259621448069912	0.516511536850425	0.51234162629638	0.5125181558553256	0.2938349101182731	0.24922642521845342	0.004526877356723625	0.0	0.323372699146913	0.33677931096053315	0.3619662889125826	0.34817399905326507	0.26334183551384654	0.35236549689246677	0.5046732325508775	0.5061160157671488	0.4880387804359136	0.5275236011408184	0.5211857338743615	0.5211976510111013	0.5389171905890168	0.5379646216343261	0.5570695500392487	0.5466555137722675	0.5303327779110014	0.5275190610126558	0.5120059411390507	0.5282145805947156
31750	0.4997420032133868	0.49029139525682053	0.4861214847027756	0.4862980142617212	0.31007945695259476	0.26547097205277503	0.32191583935839285	0.323372699146913	0.0	0.2847141869713712	0.3357461473189782	0.32195385745966076	0.2371216939202422	0.32614535529886246	0.4784530909572731	0.47989587417354446	0.4618186388423092	0.501303459547214	0.4949655922807572	0.49497750941749685	0.5126970489954124	0.5117444800407218	0.5308494084456444	0.5204353721786632	0.5041126363173971	0.5012989194190515	0.4857857995454464	0.5019944390011113
F29H1	0.513148615027007	0.5036980070704407	0.49952809651639574	0.49970462607534133	0.3234860687662149	0.27887758386639516	0.335322451172013	0.33677931096053315	0.2847141869713712	0.0	0.34915275913259836	0.3353604692732809	0.2505283057338623	0.3395519671124826	0.49185970277089325	0.4933024859871646	0.47522525065592935	0.5147100713608341	0.5083722040943773	0.508384121231117	0.5261036608090326	0.5251510918543418	0.5442560202592646	0.5338419839922832	0.5175192481310172	0.5147055312326716	0.4991924113590665	0.5154010508147314
