	s29pp	S19H1	s12pp	s18pp	s4pp	s26pp	S9H1	S13Hp	s27pp	S21H1	31300	S22Hp	530119	31360	530258	S30H1	31450	s15pp	31750	31232	S1Hp	S12Hp	S31Hp	S20H1	31723	F6H1	F16H1	s32pp	F22HpB	530163	31333	31112	31021	531414	31379	S29H1	530050	31343	s31pp	s10pp	31071	S28Hp	s22pp	S16H2	31519	531424	S23Hp	F8H1	S2Hp	S15Hp	31749	s7pp	s17pp	S17H1	F32H1	s21pp	s2pp	s30pp	w30pp	s19pp	s23pp	S3Hp	s28pp	S14Hp	s1pp	s16pp	s9pp	s14pp	31700	F22H1A	s6pp	530167	s3pp	s13pp
s29pp	0.0	0.09572835461260479	0.08746758907771332	0.0530776187346354	0.0530776187346354	0.12415437894049675	0.1854027138486194	0.15896168699529223	0.15896168699529223	0.31957811165270145	0.22191566296549894	0.4336642211571078	0.6204305361765701	0.5841238640497742	0.5498943342030225	0.5278249730964671	0.6127492777348871	0.5743208081690748	0.47025835644892533	0.4959769939637141	0.5304269665500485	0.4727748311961819	0.40511422481295944	0.609500462691708	0.6355497421422323	0.4975246326835209	0.5235412960258976	0.4975236326830208	0.4299988095314641	0.5137004320898966	0.5793591680438286	0.5944045931688359	0.579382929068366	0.6473699112263195	0.881282162844182	0.7603856710263086	0.4473541611933042	0.47417880255213707	0.5256405816553139	0.5155112270339005	0.4745327576544176	0.3762020072051824	0.44728253370204274	0.4314990851332553	0.4688159853585139	0.44921422642513387	0.44921422642513387	0.33087081394149465	0.27648826936006865	0.22670296491878736	0.27184674384006147	0.2823267289709732	0.30499271979502707	0.34462918380962304	0.35096999676565843	0.2896336411192839	0.2248494544614185	0.18583284877172757	0.18583284877172757	0.20160679740748383	0.31258139242451277	0.29774952563088897	0.2798952775016227	0.3084347652858386	0.2513308151496111	0.3065879972100539	0.25701614588962807	0.3305326481209988	0.3665729883727543	0.3156259971579075	0.1732959901391506	0.22017791358647174	0.09097301248479191	0.09534917361102262
S19H1	0.09572835461260479	0.0	0.05719037434365514	0.0426547358799695	0.0426547358799695	0.12227744967827944	0.18352578458640206	0.15708475773307493	0.15708475773307493	0.31770118239048417	0.22003873370328164	0.43178729189489046	0.6185536069143527	0.582246934787557	0.5480174049408051	0.5259480438342499	0.6108723484726697	0.5724438789068576	0.468381427186708	0.49410006470149676	0.5285500372878311	0.4708979019339646	0.4032372955507421	0.6076235334294906	0.6336728128800149	0.49564770342130354	0.5216643667636802	0.49564670342080347	0.42812188026924675	0.5118235028276792	0.5774822387816112	0.5925276639066186	0.5775059998061487	0.6454929819641022	0.8794052335819647	0.7585087417640912	0.44547723193108685	0.47230187328991974	0.5237636523930966	0.5136342977716832	0.4726558283922003	0.37432507794296505	0.4454056044398254	0.42962215587103797	0.46693905609629655	0.44733729716291654	0.44733729716291654	0.32899388467927737	0.2746113400978514	0.22482603565657006	0.26996981457784414	0.28044979970875594	0.30311579053280974	0.3427522545474057	0.34909306750344116	0.28775671185706664	0.2229725251992012	0.18395591950951026	0.18395591950951026	0.19972986814526653	0.31070446316229544	0.29587259636867164	0.27801834823940536	0.3065578360236213	0.24945388588739376	0.30471106794783664	0.2551392166274108	0.32865571885878153	0.364696059110537	0.31374906789569024	0.17141906087693332	0.21830098432425443	0.0890960832225746	0.09347224434880531
s12pp	0.08746758907771332	0.05719037434365514	0.0	0.03439397034507804	0.03439397034507804	0.11401668414338798	0.1752650190515106	0.14882399219818346	0.14882399219818346	0.3094404168555927	0.21177796816839017	0.423526526359999	0.6102928413794613	0.5739861692526654	0.5397566394059137	0.5176872782993583	0.6026115829377783	0.564183113371966	0.46012066165181653	0.4858392991666053	0.5202892717529397	0.4626371363990731	0.39497653001585065	0.5993627678945992	0.6254120473451235	0.4873869378864121	0.5134036012287888	0.487385937885912	0.4198611147343553	0.5035627372927878	0.5692214732467198	0.5842668983717271	0.5692452342712572	0.6372322164292107	0.8711444680470732	0.7502479762291998	0.4372164663961954	0.46404110775502827	0.5155028868582051	0.5053735322367917	0.4643950628573088	0.3660643124080736	0.43714483890493394	0.4213613903361465	0.4586782905614051	0.43907653162802507	0.43907653162802507	0.3207331191443859	0.2663505745629599	0.2165652701216786	0.26170904904295267	0.2721890341738645	0.29485502499791827	0.33449148901251424	0.3408323019685497	0.27949594632217517	0.21471175966430972	0.1756951539746188	0.1756951539746188	0.19146910261037506	0.302443697627404	0.28761183083378017	0.2697575827045139	0.29829707048872983	0.2411931203525023	0.2964503024129452	0.24687845109251932	0.32039495332389006	0.3564352935756455	0.30548830236079877	0.16315829534204185	0.21004021878936296	0.08083531768768314	0.08521147881391385
s18pp	0.0530776187346354	0.0426547358799695	0.03439397034507804	0.0	2.00000100005818e-06	0.07962671380031006	0.14087504870843268	0.11443402185510554	0.11443402185510554	0.27505044651251476	0.17738799782531225	0.38913655601692104	0.5759028710363834	0.5395961989095875	0.5053666690628358	0.4832973079562804	0.5682216125947004	0.5297931430288881	0.4257306913087386	0.45144932882352734	0.48589930140986176	0.42824716605599517	0.3605865596727727	0.5649727975515213	0.5910220770020456	0.45299696754333413	0.47901363088571086	0.45299596754283405	0.38547114439127733	0.46917276694970983	0.5348315029036419	0.5498769280286492	0.5348552639281793	0.6028422460861328	0.8367544977039953	0.7158580058861219	0.40282649605311743	0.4296511374119503	0.48111291651512716	0.47098356189371376	0.43000509251423086	0.33167434206499563	0.402754868561856	0.38697141999306855	0.42428832021832713	0.4046865612849471	0.4046865612849471	0.28634314880130796	0.231960604219882	0.18217529977860067	0.22731907869987475	0.23779906383078656	0.2604650546548403	0.3001015186694363	0.30644233162547174	0.24510597597909725	0.1803217893212318	0.14130518363154088	0.14130518363154088	0.15707913226729714	0.268053727284326	0.2532218604907022	0.23536761236143597	0.2639071001456519	0.20680315000942437	0.26206033206986723	0.2124884807494414	0.2860049829808121	0.32204532323256757	0.2710983320177208	0.1287683249989639	0.17565024844628505	0.04644534734460522	0.05082150847083592
s4pp	0.0530776187346354	0.0426547358799695	0.03439397034507804	2.00000100005818e-06	0.0	0.07962671380031006	0.14087504870843268	0.11443402185510554	0.11443402185510554	0.27505044651251476	0.17738799782531225	0.38913655601692104	0.5759028710363834	0.5395961989095875	0.5053666690628358	0.4832973079562804	0.5682216125947004	0.5297931430288881	0.4257306913087386	0.45144932882352734	0.48589930140986176	0.42824716605599517	0.3605865596727727	0.5649727975515213	0.5910220770020456	0.45299696754333413	0.47901363088571086	0.45299596754283405	0.38547114439127733	0.46917276694970983	0.5348315029036419	0.5498769280286492	0.5348552639281793	0.6028422460861328	0.8367544977039953	0.7158580058861219	0.40282649605311743	0.4296511374119503	0.48111291651512716	0.47098356189371376	0.43000509251423086	0.33167434206499563	0.402754868561856	0.38697141999306855	0.42428832021832713	0.4046865612849471	0.4046865612849471	0.28634314880130796	0.231960604219882	0.18217529977860067	0.22731907869987475	0.23779906383078656	0.2604650546548403	0.3001015186694363	0.30644233162547174	0.24510597597909725	0.1803217893212318	0.14130518363154088	0.14130518363154088	0.15707913226729714	0.268053727284326	0.2532218604907022	0.23536761236143597	0.2639071001456519	0.20680315000942437	0.26206033206986723	0.2124884807494414	0.2860049829808121	0.32204532323256757	0.2710983320177208	0.1287683249989639	0.17565024844628505	0.04644534734460522	0.05082150847083592
s26pp	0.12415437894049675	0.12227744967827944	0.11401668414338798	0.07962671380031006	0.07962671380031006	0.0	0.06125033490912269	0.07303485227578912	0.07303485227578912	0.23365127693319837	0.13598882824599584	0.34773738643760466	0.5345037014570669	0.4981970293302711	0.46396749948351934	0.441898138376964	0.526822443015384	0.4883939734495717	0.3843315217294222	0.41005015924421095	0.4445001318305454	0.3868479964766788	0.3191873900934563	0.5235736279722049	0.5496229074227291	0.41159779796401774	0.4376144613063945	0.41159679796351767	0.34407197481196095	0.42777359737039344	0.49343233332432546	0.5084777584493327	0.49345609434886284	0.5614430765068164	0.7953553281246789	0.6744588363068055	0.36142732647380105	0.38825196783263394	0.4397137469358108	0.4295843923143974	0.38860592293491447	0.29027517248567924	0.3613556989825396	0.34557225041375217	0.38288915063901074	0.36328739170563074	0.36328739170563074	0.24494397922199157	0.19056143464056557	0.14077613019928428	0.18591990912055834	0.19639989425147017	0.21906588507552396	0.2587023490901199	0.26504316204615536	0.20370680639978087	0.1389226197419154	0.09990601405222446	0.09990601405222446	0.11567996268798073	0.22665455770500964	0.21182269091138586	0.19396844278211955	0.2225079305663355	0.16540398043010796	0.22066116249055087	0.17108931117012502	0.24460581340149576	0.2806461536532512	0.22969916243840446	0.0873691554196475	0.20254407915652853	0.0733391780548487	0.07771533918107941
S9H1	0.1854027138486194	0.18352578458640206	0.1752650190515106	0.14087504870843268	0.14087504870843268	0.06125033490912269	0.0	0.13428318718391175	0.13428318718391175	0.29489961184132096	0.19723716315411846	0.4089857213457273	0.5957520363651896	0.5594453642383937	0.525215834391642	0.5031464732850867	0.5880707779235066	0.5496423083576943	0.44557985663754485	0.4712984941523336	0.505748466738668	0.4480963313848014	0.38043572500157896	0.5848219628803275	0.6108712423308518	0.4728461328721404	0.4988627962145171	0.4728451328716403	0.4053203097200836	0.4890219322785161	0.5546806682324481	0.5697260933574554	0.5547044292569855	0.622691411414939	0.8566036630328016	0.7357071712149281	0.4226756613819237	0.4495003027407566	0.5009620818439334	0.49083272722252	0.4498542578430371	0.3515235073938019	0.42260403389066226	0.4068205853218748	0.4441374855471334	0.4245357266137534	0.4245357266137534	0.30619231413011416	0.25180976954868817	0.2020244651074069	0.24716824402868096	0.2576482291595928	0.2803142199836466	0.31995068399824256	0.326291496954278	0.2649551413079035	0.200170954650038	0.16115434896034708	0.16115434896034708	0.17692829759610335	0.2879028926131323	0.2730710258195085	0.2552167776902422	0.2837562654744581	0.22665231533823058	0.2819094973986735	0.23233764607824764	0.3058541483096184	0.34189448856137383	0.2909474973465271	0.14861749032777014	0.26379241406465115	0.13458751296297133	0.13896367408920204
S13Hp	0.15896168699529223	0.15708475773307493	0.14882399219818346	0.11443402185510554	0.11443402185510554	0.07303485227578912	0.13428318718391175	0.0	2.00000100005818e-06	0.2365294400549811	0.13886699136777858	0.3506155495593874	0.5373818645788496	0.5010751924520538	0.4668456626053021	0.44477630149874675	0.5297006061371666	0.49127213657135443	0.38720968485120494	0.4129283223659937	0.4473782949523281	0.3897261595984615	0.32206555321523905	0.5264517910939875	0.5525010705445118	0.4144759610858005	0.4404926244281772	0.4144749610853004	0.3469501379337437	0.4306517604921762	0.4963104964461082	0.5113559215711154	0.4963342574706456	0.564321239628599	0.7982334912464616	0.6773369994285882	0.3643054895955838	0.3911301309544167	0.4425919100575935	0.4324625554361801	0.3914840860566972	0.29315333560746204	0.36423386210432235	0.3484504135355349	0.3857673137607935	0.3661655548274135	0.3661655548274135	0.2478221423437743	0.19343959776234831	0.143654293321067	0.18879807224234108	0.19927805737325288	0.22194404819730668	0.26158051221190265	0.2679213251679381	0.20658496952156358	0.14180078286369813	0.1027841771740072	0.1027841771740072	0.11855812580976346	0.22953272082679238	0.21470085403316858	0.1968466059039023	0.22538609368811824	0.1682821435518907	0.22353932561233358	0.17396747429190773	0.24748397652327847	0.2835243167750339	0.23257732556018718	0.09024731854143025	0.237351387211324	0.10814648610964418	0.11252264723587489
s27pp	0.15896168699529223	0.15708475773307493	0.14882399219818346	0.11443402185510554	0.11443402185510554	0.07303485227578912	0.13428318718391175	2.00000100005818e-06	0.0	0.2365294400549811	0.13886699136777858	0.3506155495593874	0.5373818645788496	0.5010751924520538	0.4668456626053021	0.44477630149874675	0.5297006061371666	0.49127213657135443	0.38720968485120494	0.4129283223659937	0.4473782949523281	0.3897261595984615	0.32206555321523905	0.5264517910939875	0.5525010705445118	0.4144759610858005	0.4404926244281772	0.4144749610853004	0.3469501379337437	0.4306517604921762	0.4963104964461082	0.5113559215711154	0.4963342574706456	0.564321239628599	0.7982334912464616	0.6773369994285882	0.3643054895955838	0.3911301309544167	0.4425919100575935	0.4324625554361801	0.3914840860566972	0.29315333560746204	0.36423386210432235	0.3484504135355349	0.3857673137607935	0.3661655548274135	0.3661655548274135	0.2478221423437743	0.19343959776234831	0.143654293321067	0.18879807224234108	0.19927805737325288	0.22194404819730668	0.26158051221190265	0.2679213251679381	0.20658496952156358	0.14180078286369813	0.1027841771740072	0.1027841771740072	0.11855812580976346	0.22953272082679238	0.21470085403316858	0.1968466059039023	0.22538609368811824	0.1682821435518907	0.22353932561233358	0.17396747429190773	0.24748397652327847	0.2835243167750339	0.23257732556018718	0.09024731854143025	0.237351387211324	0.10814648610964418	0.11252264723587489
S21H1	0.31957811165270145	0.31770118239048417	0.3094404168555927	0.27505044651251476	0.27505044651251476	0.23365127693319837	0.29489961184132096	0.2365294400549811	0.2365294400549811	0.0	0.10869435265360487	0.3204429108452137	0.5072092258646759	0.47090255373788015	0.4366730238911283	0.41460366278457306	0.4995279674229929	0.46109949785718063	0.35703704613703124	0.38275568365182	0.4172056562381544	0.3595535208842877	0.29189291450106536	0.4962791523798138	0.5223284318303382	0.3843033223716267	0.4103199857140035	0.3843023223711267	0.31677749921957	0.4004791217780024	0.4661378577319345	0.4811832828569417	0.4661616187564719	0.5341486009144253	0.7680608525322881	0.6471643607144145	0.3341328508814101	0.36095749224024287	0.4124192713434197	0.4022899167220064	0.3613114473425235	0.26298069689328835	0.33406122339014865	0.3182777748213612	0.3555946750466198	0.3359929161132397	0.3359929161132397	0.21764950362960062	0.16326695904817462	0.16704689270089088	0.23553197446861124	0.24601195959952307	0.2686779504235769	0.3083144144381728	0.31465522739420826	0.25331887174783374	0.1885346850899683	0.15902562929459768	0.15902562929459768	0.21966869825221247	0.33064329326924136	0.31581142647561755	0.29795717834635127	0.3264966661305672	0.26939271599433967	0.3246498980547826	0.27507804673435676	0.3485945489657275	0.3846348892174829	0.3336878980026362	0.19135789098387923	0.39796781186873326	0.26876291076705344	0.2731390718932841
