	31328	S25Hp	S31Hp	S23Hp	S27H1	531414	31232	31700	31236	S15Hp	F1H1	F23HpA	S7Hp	S19H1	31267
31328	0.0	0.10821619149447582	0.5090230629716301	0.5508640626393535	0.5618681686115891	0.6107869891569488	0.571781699622995	0.6207354317949427	0.603305773615178	0.6129336011958507	0.5691081069977095	0.5687530861003756	0.5723174614953375	0.5847280689916866	0.45604122609240166
S25Hp	0.10821619149447582	0.0	0.49557245181733445	0.5374134514850578	0.5484175574572934	0.5973363780026532	0.5583310884686993	0.607284820640647	0.5898551624608823	0.599482990041555	0.5556574958434138	0.5553024749460799	0.5588668503410418	0.5712774578373909	0.442590614938106
S31Hp	0.5090230629716301	0.49557245181733445	0.0	0.3688998003931092	0.4840083437909062	0.532927164336266	0.4939218748023121	0.54287560697426	0.5254459487944952	0.5350737763751678	0.49124828217702665	0.4908932612796927	0.4944576366746546	0.5068682441710037	0.49792085603661274
S23Hp	0.5508640626393535	0.5374134514850578	0.3688998003931092	0.0	0.5258493434586295	0.5747681640039893	0.5357628744700355	0.5847166066419833	0.5672869484622185	0.5769147760428912	0.53308928184475	0.532734260947416	0.536298636342378	0.5487092438387271	0.5397618557043361
S27H1	0.5618681686115891	0.5484175574572934	0.4840083437909062	0.5258493434586295	0.0	0.5272724783042085	0.48826718877025466	0.5372209209422025	0.5197912627624377	0.5659320090939	0.5221065148957588	0.5217514939984248	0.5253158693933867	0.5377264768897358	0.5507659616765717
531414	0.6107869891569488	0.5973363780026532	0.532927164336266	0.5747681640039893	0.5272724783042085	0.0	0.15508059733754723	0.20403432950949507	0.18660467132973035	0.6148508296392597	0.5710253354411186	0.5706703145437846	0.5742346899387465	0.5866452974350956	0.5996847822219314
31232	0.571781699622995	0.5583310884686993	0.4939218748023121	0.5357628744700355	0.48826718877025466	0.15508059733754723	0.0	0.10530182573194084	0.08787216755217614	0.5758455401053059	0.5320200459071647	0.5316650250098307	0.5352294004047926	0.5476400079011418	0.5606794926879776
31700	0.6207354317949427	0.607284820640647	0.54287560697426	0.5847166066419833	0.5372209209422025	0.20403432950949507	0.10530182573194084	0.0	0.02799548932123221	0.6247992722772537	0.5809737780791124	0.5806187571817785	0.5841831325767404	0.5965937400730896	0.6096332248599253
31236	0.603305773615178	0.5898551624608823	0.5254459487944952	0.5672869484622185	0.5197912627624377	0.18660467132973035	0.08787216755217614	0.02799548932123221	0.0	0.6073696140974889	0.5635441198993478	0.5631890990020139	0.5667534743969758	0.5791640818933248	0.5922035666801606
S15Hp	0.6129336011958507	0.599482990041555	0.5350737763751678	0.5769147760428912	0.5659320090939	0.6148508296392597	0.5758455401053059	0.6247992722772537	0.6073696140974889	0.0	0.5249986787938188	0.5246436578964848	0.5282080332914467	0.5406186407877959	0.6018313942608333
F1H1	0.5691081069977095	0.5556574958434138	0.49124828217702665	0.53308928184475	0.5221065148957588	0.5710253354411186	0.5320200459071647	0.5809737780791124	0.5635441198993478	0.5249986787938188	0.0	0.001136360417543039	0.05769014137258016	0.28365976194501896	0.5580059000626921
F23HpA	0.5687530861003756	0.5553024749460799	0.4908932612796927	0.532734260947416	0.5217514939984248	0.5706703145437846	0.5316650250098307	0.5806187571817785	0.5631890990020139	0.5246436578964848	0.001136360417543039	0.0	0.057335120475246214	0.283304741047685	0.5576508791653582
S7Hp	0.5723174614953375	0.5588668503410418	0.4944576366746546	0.536298636342378	0.5253158693933867	0.5742346899387465	0.5352294004047926	0.5841831325767404	0.5667534743969758	0.5282080332914467	0.05769014137258016	0.057335120475246214	0.0	0.28686911644264684	0.5612152545603201
S19H1	0.5847280689916866	0.5712774578373909	0.5068682441710037	0.5487092438387271	0.5377264768897358	0.5866452974350956	0.5476400079011418	0.5965937400730896	0.5791640818933248	0.5406186407877959	0.28365976194501896	0.283304741047685	0.28686911644264684	0.0	0.5736258620566692
31267	0.45604122609240166	0.442590614938106	0.49792085603661274	0.5397618557043361	0.5507659616765717	0.5996847822219314	0.5606794926879776	0.6096332248599253	0.5922035666801606	0.6018313942608333	0.5580059000626921	0.5576508791653582	0.5612152545603201	0.5736258620566692	0.0
