	s26pp	s19pp	s2pp	s9pp	s15pp	s29pp	S27H1	s12pp	s6pp	S10H1	F23HpA	s23pp	s7pp	s1pp
s26pp	0.0	0.006224001914976651	0.0078306685250337	0.06523843403128557	0.1178948141816898	0.7846210636534847	0.8262536218745549	0.83087008751023	1.1663335418039045	1.639149515788031	1.639149515788031	0.007241966045873045	0.012223640931089068	0.010201709814735303
s19pp	0.006224001914976651	0.0	0.006653020700582112	0.06406078620683398	0.11671716635723821	0.7834434158290331	0.8250759740501032	0.8296924396857783	1.1651558939794529	1.6379718679635793	1.6379718679635793	0.006064318221421458	0.01104599310663748	0.009026061991283776
s2pp	0.0078306685250337	0.006653020700582112	0.0	0.06566545281589097	0.1183218329662952	0.7850480824380901	0.8266806406591602	0.8312971062948353	1.1667605605885099	1.6395765345726363	1.6395765345726363	0.007668984830478448	0.012650659715694469	0.010632728601340822
s9pp	0.06523843403128557	0.06406078620683398	0.06566545281589097	0.0	0.15325960268736163	0.8199858521591564	0.8616184103802266	0.8662348760159017	1.2016983303095763	1.6745143042937027	1.6745143042937027	0.0600596137949609	0.06504128868017692	0.06804049410759269
s15pp	0.1178948141816898	0.11671716635723821	0.1183218329662952	0.15325960268736163	0.0	0.6853817737373596	0.7270143319584298	0.7316307975941049	1.0670942518877795	1.539910225871906	1.539910225871906	0.11271599394536513	0.11769766883058115	0.12069687425799693
s29pp	0.7846210636534847	0.7834434158290331	0.7850480824380901	0.8199858521591564	0.6853817737373596	0.0	0.04163455822207019	0.04625102385774526	1.2465067123977867	1.719322686381913	1.719322686381913	0.77944224341716	0.784423918302376	0.7874231237297918
S27H1	0.8262536218745549	0.8250759740501032	0.8266806406591602	0.8616184103802266	0.7270143319584298	0.04163455822207019	0.0	0.005712395047746721	1.2881392706188568	1.7609552446029832	1.7609552446029832	0.8210748016382301	0.8260564765234462	0.829055681950862
s12pp	0.83087008751023	0.8296924396857783	0.8312971062948353	0.8662348760159017	0.7316307975941049	0.04625102385774526	0.005712395047746721	0.0	1.2927557362545319	1.7655717102386583	1.7655717102386583	0.8256912672739052	0.8306729421591212	0.8336721475865371
s6pp	1.1663335418039045	1.1651558939794529	1.1667605605885099	1.2016983303095763	1.0670942518877795	1.2465067123977867	1.2881392706188568	1.2927557362545319	0.0	1.4539775314747776	1.4539775314747776	1.16115472156758	1.1661363964527958	1.1691356018802115
S10H1	1.639149515788031	1.6379718679635793	1.6395765345726363	1.6745143042937027	1.539910225871906	1.719322686381913	1.7609552446029832	1.7655717102386583	1.4539775314747776	0.0	2.00000100005818e-06	1.6339706955517064	1.6389523704369222	1.641951575864338
F23HpA	1.639149515788031	1.6379718679635793	1.6395765345726363	1.6745143042937027	1.539910225871906	1.719322686381913	1.7609552446029832	1.7655717102386583	1.4539775314747776	2.00000100005818e-06	0.0	1.6339706955517064	1.6389523704369222	1.641951575864338
s23pp	0.007241966045873045	0.006064318221421458	0.007668984830478448	0.0600596137949609	0.11271599394536513	0.77944224341716	0.8210748016382301	0.8256912672739052	1.16115472156758	1.6339706955517064	1.6339706955517064	0.0	0.004983674886216079	0.01004402612218017
s7pp	0.012223640931089068	0.01104599310663748	0.012650659715694469	0.06504128868017692	0.11769766883058115	0.784423918302376	0.8260564765234462	0.8306729421591212	1.1661363964527958	1.6389523704369222	1.6389523704369222	0.004983674886216079	0.0	0.01502570100739619
s1pp	0.010201709814735303	0.009026061991283776	0.010632728601340822	0.06804049410759269	0.12069687425799693	0.7874231237297918	0.829055681950862	0.8336721475865371	1.1691356018802115	1.641951575864338	1.641951575864338	0.01004402612218017	0.01502570100739619	0.0
