	31749	F8H1	S2Hp	F7H1	530075	530055	530167	31328	31750	31300	F6H1	s24H1	S12Hp	s24pp	S17H1	S4Hp	530394	31519	31723	31766	S29H1	530295	530258	S6Hp	s32pp	S25Hp	s12pp	s10pp	s21pp	s25pp	s6pp	31232	31452	S11Hp	530451	530331	S27H1	S9H1	S8Hp	s23pp	S7Hp	s14pp	31600	31379	31219	F23HpA	31160	F22HpB	s15pp	S10H1	531414	F16H1	s20pp	530163	s26pp	s28pp	s30pp	S20H1	31333	531424	530364	F14H1A	530368	S30H1	S15Hp	s17pp	F1H1	31450	F22H1A	F29H1	S14Hp	530177	31343	31360	530050	S23Hp	S28Hp	S26Hp	F14H1B	S31Hp	S13Hp	S1Hp	S21H1	31009	S19H1	F32H1	S3Hp	S22Hp
31749	0.0	0.02629560038237911	0.11377288527937479	0.05735281852441295	0.0738230650822067	0.21929293302436179	0.22567197212027598	0.20801023031545252	0.2136664045608031	0.26156538227048776	0.25573407632203937	0.31604312105351756	0.22673004626679114	0.25781274879198274	0.3016441580114226	0.256233122999046	0.3002696744900943	0.3028522512693497	0.31455721980396384	0.31126868879892483	0.3285746298901176	0.3355632491806368	0.33202491512750115	0.30968362766109986	0.3150196398761434	0.20539465921537467	0.30044048803465057	0.2772371908127716	0.33789024632143033	0.269141730591146	0.2637567523994393	0.27990206991018846	0.29986428502495116	0.30700728388160753	0.34342443236223713	0.27917789383609376	0.26837725270342166	0.27650262581276447	0.2475168956162682	0.28371009103234907	0.23481771195055554	0.2940100701126099	0.2762710381217856	0.25753586748900276	0.25323699996279597	0.26664234300188605	0.5484608514043059	1.1164697106564523	1.298113719362523	1.2986159264717037	0.3499426351558826	0.26185344396572136	0.30605181248542473	0.3084841338667162	0.3604664313681471	0.33565230703291976	0.35882594590576383	0.3164917002131223	0.3146485798115258	0.32385925480006644	0.3169422422415253	0.31403992883480186	0.3039432902837386	0.2718287769640174	0.19415449458614334	0.3059308470141528	0.358452574000582	0.3123280410432328	0.394870997150591	0.2743169250824373	0.2712415488985235	0.2807009129550914	0.27760621536811453	0.2785974840792556	0.3028420059251489	0.31156669668048614	0.18406535919176406	0.1541507413324842	0.23702056412906444	0.23825919535675819	0.2682130758200863	0.26235325812548366	0.26552069009499496	0.2710182448033335	0.26660241593564915	0.26130594744119634	0.18633342290636642	0.022473185699544866
F8H1	0.02629560038237911	0.0	0.11018494924406565	0.05376488248910381	0.07023512904689758	0.21570499698905266	0.22208403608496685	0.20442229428014336	0.21007846852549394	0.25797744623517865	0.25214614028673027	0.31245518501820846	0.223142110231482	0.25422481275667363	0.2980562219761135	0.2526451869637369	0.2966817384547852	0.2992643152340406	0.31096928376865474	0.30768075276361573	0.3249866938548085	0.3319753131453277	0.32843697909219205	0.30609569162579076	0.3114317038408343	0.20180672318006554	0.29685255199934146	0.2736492547774625	0.33430231028612123	0.2655537945558369	0.2601688163641302	0.27631413387487935	0.29627634898964206	0.3034193478462984	0.33983649632692803	0.27558995780078466	0.26478931666811256	0.27291468977745537	0.24392895958095906	0.28012215499703996	0.2312297759152464	0.2904221340773008	0.2726831020864765	0.25394793145369365	0.24964906392748687	0.26305440696657695	0.5448729153689967	1.112881774621143	1.2945257833272137	1.2950279904363944	0.3463546991205735	0.25826550793041225	0.30246387645011563	0.3048961978314071	0.356878495332838	0.33206437099761066	0.35523800987045473	0.3129037641778132	0.31106064377621667	0.32027131876475734	0.3133543062062162	0.31045199279949276	0.3003553542484295	0.2682408409287083	0.1905665585508342	0.3023429109788437	0.3548646379652729	0.3087401050079237	0.3912830611152819	0.2707289890471282	0.2676536128632144	0.2771129769197823	0.2740182793328054	0.2750095480439465	0.2992540698898398	0.30797876064517704	0.18047742315645493	0.15056280529717503	0.2334326280937553	0.23467125932144905	0.2646251397847772	0.25876532209017455	0.26193275405968586	0.26743030876802437	0.26301447990034005	0.25771801140588724	0.1827454868710573	0.01888524966423573
S2Hp	0.11377288527937479	0.11018494924406565	0.0	0.1174852509674292	0.13395549752522296	0.27942536546737806	0.28580440456329226	0.26814266275846876	0.27379883700381935	0.321697814713504	0.3158665087650556	0.37617555349653387	0.2868624787098074	0.31794518123499904	0.36177659045443883	0.31636555544206224	0.36040210693311053	0.362984683712366	0.3746896522469801	0.3714011212419411	0.38870706233313385	0.3956956816236531	0.39215734757051746	0.3698160601041161	0.3751520723191597	0.26552709165839095	0.36057292047766687	0.33736962325578784	0.39802267876444664	0.32927416303416224	0.32388918484245555	0.3400345023532047	0.35999671746796746	0.36713971632462383	0.4035568648052534	0.33931032627911	0.32850968514643797	0.3366350582557808	0.30764932805928447	0.34384252347536537	0.2949501443935718	0.3541425025556262	0.3364034705648019	0.31766829993201906	0.3133694324058123	0.3267747754449023	0.6085932838473221	1.1766021430994684	1.358246151805539	1.3587483589147198	0.41007506759889883	0.32198587640873766	0.366184244928441	0.3686165663097325	0.4205988638111634	0.39578473947593606	0.4189583783487801	0.37662413265613853	0.374781012254542	0.38399168724308275	0.37707467468454153	0.3741723612778181	0.3640757227267549	0.33196120940703366	0.25428692702915956	0.36606327945716904	0.4185850064435983	0.37246047348624906	0.4550034295936073	0.33444935752545357	0.3313739813415397	0.3408333453981077	0.3377386478111308	0.3387299165222719	0.36297443836816523	0.37169912912350245	0.2441977916347803	0.21428317377550044	0.2971529965720807	0.29839162779977446	0.3283455082631026	0.32248569056849996	0.32565312253801126	0.3311506772463497	0.3267348483786654	0.32143837988421264	0.24646585534938267	0.09694434772408278
F7H1	0.05735281852441295	0.05376488248910381	0.1174852509674292	0.0	0.06031721218217765	0.20578708012433272	0.21216611922024692	0.19450437741542345	0.20016055166077404	0.24805952937045872	0.24222822342201034	0.3025372681534886	0.21322419336676207	0.2443068958919537	0.2881383051113935	0.24272727009901696	0.2867638215900652	0.28934639836932063	0.30105136690393475	0.29776283589889574	0.3150687769900885	0.3220573962806078	0.31851906222747217	0.29617777476107077	0.3015137869761144	0.1918888063153456	0.2869346351346216	0.2637313379127425	0.32438439342140135	0.25563587769111695	0.25025089949941026	0.26639621701015936	0.2863584321249222	0.29350143098157855	0.32991857946220804	0.26567204093606467	0.25487139980339263	0.26299677291273543	0.23401104271623913	0.27020423813232003	0.22131185905052647	0.2805042172125809	0.26276518522175657	0.24403001458897372	0.23973114706276694	0.253136490101857	0.5349549985042767	1.1029638577564231	1.2846078664624938	1.2851100735716745	0.3364367822558535	0.24834759106569232	0.29254595958539564	0.2949782809666872	0.3469605784681181	0.3221464541328908	0.34532009300573474	0.3029858473130932	0.3011427269114967	0.31035340190003746	0.3034363893414962	0.30053407593477277	0.29043743738370964	0.2583229240639884	0.18064864168611428	0.2924249941141237	0.344946721100553	0.2988221881432037	0.381365144250562	0.2608110721824083	0.25773569599849444	0.2671950600550624	0.26410036246808544	0.2650916311792266	0.28933615302511995	0.29806084378045716	0.170559506291735	0.14064488843245512	0.22351471122903538	0.22475334245672912	0.25470722292005726	0.24884740522545462	0.2520148371949659	0.25751239190330444	0.2530965630356201	0.2478000945411673	0.17282757000633736	0.040524280969120946
530075	0.0738230650822067	0.07023512904689758	0.13395549752522296	0.06031721218217765	0.0	0.19086269570052178	0.19724173479643597	0.17957999299161248	0.18523616723696307	0.23313514494664778	0.2273038389981994	0.28761288372967764	0.19829980894295113	0.22938251146814276	0.2732139206875826	0.227802885675206	0.2718394371662543	0.27442201394550975	0.28612698248012386	0.28283845147508485	0.3001443925662776	0.30713301185679687	0.30359467780366123	0.2812533903372599	0.2865894025523035	0.17696442189153466	0.27201025071081064	0.24880695348893156	0.3094600089975904	0.240711493267306	0.23532651507559932	0.2514718325863484	0.27143404770111124	0.2785770465577676	0.31499419503839715	0.2507476565122537	0.23994701537958169	0.2480723884889245	0.21908665829242818	0.2552798537085091	0.20638747462671553	0.26557983278876995	0.24784080079794563	0.22910563016516278	0.224806762638956	0.23821210567804607	0.5200306140804658	1.0880394733326122	1.2696834820386829	1.2701856891478636	0.3215123978320426	0.23342320664188138	0.27762157516158475	0.28005389654287627	0.3320361940443072	0.30722206970907984	0.33039570858192385	0.2880614628892823	0.2862183424876858	0.2954290174762265	0.2885120049176853	0.2856096915109619	0.2755130529598987	0.24339853964017744	0.16572425726230333	0.2775006096903128	0.3300223366767421	0.2838978037193928	0.36644075982675106	0.24588668775859734	0.2428113115746835	0.25227067563125144	0.2491759780442745	0.25016724675541563	0.274411768601309	0.2831364593566462	0.15563512186792405	0.12572050400864415	0.20859032680522444	0.20982895803291818	0.23978283849624632	0.23392302080164368	0.23709045277115498	0.2425880074794935	0.23817217861180917	0.23287571011735636	0.15790318558252642	0.0569945275269147
530055	0.21929293302436179	0.21570499698905266	0.27942536546737806	0.20578708012433272	0.19086269570052178	0.0	0.18112955159810312	0.16346780979327968	0.16912398403863027	0.21702296174831498	0.21119165579986657	0.27150070053134484	0.18218762574461828	0.2132703282698099	0.25710173748924975	0.21169070247687316	0.2557272539679215	0.25830983074717695	0.270014799281791	0.26672626827675205	0.28403220936794477	0.291020828658464	0.2874824946053284	0.2651412071389271	0.2704772193539706	0.1608522386932018	0.2558980675124778	0.23269477029059876	0.29334782579925756	0.22459931006897316	0.21921433187726652	0.23535964938801557	0.25532186450277844	0.26246486335943475	0.29888201184006435	0.23463547331392087	0.22383483218124883	0.23196020529059164	0.20297447509409533	0.23916767051017623	0.19027529142838268	0.24946764959043716	0.23172861759961277	0.21299344696682998	0.20869457944062314	0.22209992247971322	0.503918430882133	1.0719272901342793	1.2535712988403502	1.254073505949531	0.30540021463370975	0.21731102344354858	0.2615093919632519	0.2639417133445434	0.3159240108459743	0.29110988651074704	0.314283525383591	0.27194927969094945	0.270106159289353	0.27931683427789367	0.27239982171935245	0.26949750831262903	0.2594008697615659	0.22728635644184458	0.1496120740639705	0.26138842649198	0.3139101534784093	0.26778562052106003	0.3503285766284182	0.2297745045602645	0.22669912837635064	0.2361584924329186	0.23306379484594164	0.23405506355708278	0.25829958540297615	0.26702427615831337	0.1395229386695912	0.10960832081031134	0.19247814360689158	0.19371677483458533	0.22367065529791347	0.21781083760331088	0.22097826957282218	0.22647582428116064	0.22205999541347637	0.21676352691902356	0.15884523069498796	0.20246439546906977
530167	0.22567197212027598	0.22208403608496685	0.28580440456329226	0.21216611922024692	0.19724173479643597	0.18112955159810312	0.0	0.08314842019059722	0.0888045944359478	0.1618509527067939	0.1560196467583455	0.21632869148982375	0.12701561670309724	0.15809831922828887	0.20192972844772872	0.1565186934353521	0.20055524492640042	0.20313782170565586	0.21484279024026998	0.21155425923523097	0.22886020032642374	0.23584881961694298	0.23231048556380735	0.209969198097406	0.2153052103124496	0.10568022965168077	0.20072605847095676	0.17752276124907768	0.23817581675773652	0.16942730102745213	0.16404232283574544	0.18018764034649454	0.20014985546125735	0.20729285431791372	0.24371000279854327	0.17946346427239984	0.1686628231397278	0.17678819624907058	0.14780246605257427	0.1839956614686552	0.13510328238686162	0.19429564054891607	0.17655660855809174	0.1578214379253089	0.15352257039910208	0.1842282021718443	0.46604671057426394	1.0340555698264104	1.2156995785324811	1.2162017856416618	0.26752849432584086	0.17943930313567963	0.223637671655383	0.22606999303667452	0.27805229053810543	0.2532381662028781	0.2764118050757221	0.23407755938308056	0.23223443898148405	0.24144511397002477	0.23452810141148356	0.23162578800476014	0.22152914945369695	0.1894146361339757	0.11174035375610158	0.22351670618411107	0.27603843317054033	0.22991390021319108	0.31245685632054926	0.19190278425239557	0.18882740806848175	0.1982867721250497	0.19519207453807272	0.19618334324921388	0.22042786509510726	0.22915255585044447	0.10165121836172228	0.0991371510829663	0.18200697387954654	0.18324560510724028	0.21319948557056845	0.2073396678759658	0.2105070998454771	0.21600465455381562	0.2115888256861313	0.2062923571916785	0.16522426979090213	0.20884343456498397
31328	0.20801023031545252	0.20442229428014336	0.26814266275846876	0.19450437741542345	0.17957999299161248	0.16346780979327968	0.08314842019059722	0.0	0.04709152762570949	0.14418921090197045	0.13835790495352207	0.19866694968500032	0.10935387489827379	0.14043657742346544	0.18426798664290528	0.13885695163052866	0.18289350312157698	0.18547607990083242	0.19718104843544654	0.19389251743040753	0.2111984585216003	0.21818707781211955	0.2146487437589839	0.19230745629258256	0.19764346850762615	0.08801848784685733	0.18306431666613332	0.15986101944425424	0.2205140749529131	0.1517655592226287	0.146380581030922	0.1625258985416711	0.18248811365643391	0.18963111251309028	0.22604826099371983	0.1618017224675764	0.15100108133490436	0.15912645444424714	0.13014072424775083	0.16633391966383176	0.11744154058203818	0.17663389874409263	0.1588948667532683	0.14015969612048546	0.13586082859427864	0.16656646036702086	0.4483849687694405	1.016393828021587	1.1980378367276576	1.1985400438368383	0.2498667525210174	0.1617775613308562	0.20597592985055954	0.20840825123185105	0.260390548733282	0.23557642439805465	0.25875006327089867	0.2164158175782571	0.2145726971766606	0.2237833721652013	0.2168663596066601	0.21396404619993667	0.2038674076488735	0.17175289432915222	0.09407861195127813	0.20585496437928763	0.2583766913657169	0.21225215840836764	0.2947951145157258	0.17424104244757213	0.1711656662636583	0.18062503032022623	0.17753033273324928	0.17852160144439044	0.2027661232902838	0.211490814045621	0.08398947655689884	0.08147540927814284	0.16434523207472307	0.1655838633024168	0.19553774376574498	0.18967792607114237	0.19284535804065367	0.19834291274899216	0.19392708388130786	0.18863061538685505	0.14756252798607866	0.1911816927601605
31750	0.2136664045608031	0.21007846852549394	0.27379883700381935	0.20016055166077404	0.18523616723696307	0.16912398403863027	0.0888045944359478	0.04709152762570949	0.0	0.14984538514732104	0.14401407919887266	0.2043231239303509	0.11501004914362438	0.14609275166881602	0.18992416088825587	0.14451312587587925	0.18854967736692757	0.191132254146183	0.20283722268079712	0.19954869167575812	0.21685463276695088	0.22384325205747013	0.2203049180043345	0.19796363053793314	0.20329964275297674	0.09367466209220791	0.1887204909114839	0.16551719368960482	0.22617024919826367	0.15742173346797927	0.15203675527627258	0.16818207278702169	0.1881442879017845	0.19528728675844087	0.23170443523907042	0.167457896712927	0.15665725558025495	0.16478262868959773	0.13579689849310142	0.17199009390918235	0.12309771482738877	0.18229007298944322	0.1645510409986189	0.14581587036583604	0.14151700283962923	0.17222263461237144	0.4540411430147911	1.0220500022669377	1.2036940109730083	1.204196218082189	0.255522926766368	0.16743373557620678	0.21163210409591013	0.21406442547720164	0.2660467229786326	0.24123259864340524	0.26440623751624925	0.22207199182360768	0.2202288714220112	0.2294395464105519	0.22252253385201068	0.21962022044528726	0.2095235818942241	0.1774090685745028	0.09973478619662872	0.21151113862463822	0.2640328656110675	0.21790833265371823	0.3004512887610764	0.17989721669292272	0.1768218405090089	0.1862812045655768	0.18318650697859987	0.18417777568974103	0.20842229753563438	0.2171469882909716	0.08964565080224943	0.08713158352349343	0.17000140632007366	0.1712400375477674	0.20119391801109557	0.19533410031649295	0.19850153228600426	0.20399908699434274	0.19958325812665845	0.19428678963220564	0.15321870223142925	0.1968378670055111
31300	0.26156538227048776	0.25797744623517865	0.321697814713504	0.24805952937045872	0.23313514494664778	0.21702296174831498	0.1618509527067939	0.14418921090197045	0.14984538514732104	0.0	0.0759321502407027	0.13624119497218096	0.14352269257216854	0.17460539509736017	0.2184368043168	0.1730257693044234	0.21706232079547172	0.21964489757472716	0.23134986610934125	0.22806133510430227	0.245367276195495	0.2523558954860142	0.24881756143287861	0.2264762739664773	0.23181228618152086	0.12218730552075206	0.21723313434002803	0.19402983711814897	0.25468289262680777	0.18593437689652342	0.18054939870481673	0.19669471621556583	0.21665693133032865	0.223799930186985	0.26021707866761457	0.19597054014147114	0.1851698990087991	0.19329527211814188	0.16430954192164557	0.2005027373377265	0.15161035825593291	0.21080271641798737	0.19306368442716304	0.1743285137943802	0.17002964626817338	0.22012161232205613	0.5019401207244758	1.0699489799766222	1.2515929886826929	1.2520951957918736	0.30342190447605266	0.21533271328589146	0.2595310818055948	0.2619634031868863	0.31394570068831723	0.28913157635308995	0.3123052152259339	0.26997096953329236	0.2681278491316959	0.2773385241202366	0.27042151156169536	0.26751919815497194	0.2574225596039088	0.2253080462841875	0.14763376390631341	0.2594101163343229	0.3119318433207522	0.26580731036340294	0.3483502664707611	0.2277961944026074	0.22472081821869358	0.2341801822752615	0.23108548468828455	0.2320767533994257	0.25632127524531906	0.2650459660006563	0.1375446285119341	0.1350305612331781	0.21790038402975836	0.2191390152574521	0.24909289572078025	0.24323307802617766	0.24640050999568897	0.2518980647040274	0.24748223583634316	0.24218576734189035	0.20111767994111396	0.24473684471519577
