	530394	s3pp	s7pp	s15pp	S6Hp	S15Hp	S25Hp	s26pp	s27pp	s23pp	s14pp	s1pp	s31pp	s25pp	s6pp	S28Hp	s21pp	s16pp	s30pp	w30pp	s28pp	s4pp	s10pp	s29pp	s9pp	s19pp	s17pp	s12pp	s13pp	s32pp	s20pp	530215	s2pp	S7Hp
530394	0.0	0.37996909125710787	0.4269279876041042	0.407502394713783	0.41690066944311843	0.4385641845577615	0.4666395103513601	0.45870227864140867	0.45986770052888054	0.4584565979563728	0.5097360461957707	0.3280651699673352	0.4126358556543057	0.425273277521499	0.4469104025180299	0.44489795584681546	0.4441718752240164	0.4708967664018581	0.44498136217264184	0.4495457773886188	0.4496705165953823	0.5424184404028753	0.5053071777118808	0.44648366240774245	0.45314433392977277	0.4599195923578105	0.45888555222564953	0.3730194488855971	0.4037152698555176	0.4563508036971863	0.4877703972643047	0.5255316561379177	0.5775456487251036	0.3685764234104712
s3pp	0.37996909125710787	0.0	0.28423127290245387	0.26480568001213267	0.2742039547414681	0.341582022967753	0.3696573487613515	0.36172011705140006	0.362885538938872	0.36147443636636417	0.4127538846057622	0.2310830083773266	0.3156536940642971	0.3282911159314904	0.3499282409280213	0.34791579425680685	0.34718971363400786	0.37391460481184957	0.34799920058263323	0.3525636157986102	0.3526883550053737	0.44543627881286674	0.4083250161218722	0.34950150081773385	0.35616217233976416	0.3629374307678019	0.3619033906356409	0.2760372872955885	0.30673310826550904	0.35936864210717767	0.3907882356742961	0.4285494945479091	0.48056348713509506	0.3460011348377449
s7pp	0.4269279876041042	0.28423127290245387	0.0	0.23119274664102069	0.2405910213703561	0.3885409193147493	0.4166162451083479	0.4086790133983964	0.40984443528586834	0.4084333327133606	0.4597127809527586	0.278041904724323	0.36261259041129346	0.37525001227848676	0.3968871372750177	0.39487469060380326	0.3941486099810042	0.4208735011588459	0.39495809692962963	0.3995225121456065	0.3996472513523701	0.4923951751598631	0.45528391246886857	0.39646039716473025	0.40312106868676056	0.4098963271147983	0.4088622869826373	0.3229961836425849	0.3536920046125054	0.4063275384541741	0.43774713202129245	0.4755083908949055	0.5275223834820915	0.39296003118474127
s15pp	0.407502394713783	0.26480568001213267	0.23119274664102069	0.0	0.01003025188263223	0.3691153264244281	0.3971906522180267	0.3892534205080752	0.39041884239554714	0.3890077398230394	0.4402871880624374	0.2586163118340018	0.34318699752097226	0.35582441938816556	0.3774615443846965	0.37544909771348206	0.374723017090683	0.4014479082685247	0.37553250403930843	0.3800969192552853	0.3802216584620489	0.4729695822695419	0.43585831957854737	0.37703480427440905	0.38369547579643937	0.3904707342244771	0.3894366940923161	0.3035705907522637	0.3342664117221842	0.3869019455638529	0.41832153913097125	0.4560827980045843	0.5080967905917703	0.37353443829442007
S6Hp	0.41690066944311843	0.2742039547414681	0.2405910213703561	0.01003025188263223	0.0	0.37851360115376353	0.4065889269473621	0.3986516952374106	0.39981711712488255	0.3984060145523748	0.4496854627917728	0.2680145865633372	0.35258527225030767	0.36522269411750097	0.3868598191140319	0.38484737244281747	0.3841212918200184	0.41084618299786013	0.38493077876864384	0.38949519398462074	0.3896199331913843	0.4823678569988773	0.4452565943078828	0.38643307900374446	0.3930937505257748	0.3998690089538125	0.39883496882165154	0.31296886548159913	0.3436646864515196	0.3963002202931883	0.42771981386030666	0.4654810727339197	0.5174950653211057	0.3829327130237555
S15Hp	0.4385641845577615	0.341582022967753	0.3885409193147493	0.3691153264244281	0.37851360115376353	0.0	0.1381302994320739	0.35578068132082186	0.3569461032082938	0.355535000635786	0.4516958717068962	0.27002499547846065	0.35459568116543116	0.36723310303262446	0.3888702280291553	0.3868577813579409	0.38613170073514186	0.4128565919129836	0.3869411876837673	0.39150560289974423	0.3916303421065077	0.4843782659140008	0.4472670032230063	0.38844348791886785	0.39510415944089816	0.4018794178689359	0.400845377736775	0.3149792743967226	0.34567509536664304	0.39831062920831173	0.42973022277543016	0.4674914816490431	0.5195054742362291	0.4045962281383986
S25Hp	0.4666395103513601	0.3696573487613515	0.4166162451083479	0.3971906522180267	0.4065889269473621	0.1381302994320739	0.0	0.38385600711442047	0.38502142900189235	0.38361032642938453	0.4797711975004948	0.2981003212720592	0.38267100695902967	0.39530842882622297	0.4169455538227539	0.41493310715153947	0.4142070265287404	0.44093191770658213	0.41501651347736584	0.41958092869334274	0.4197056679001063	0.5124535917075993	0.4753423290166048	0.41651881371246646	0.4231794852344968	0.4299547436625345	0.42892070353037354	0.34305460019032114	0.3737504211602416	0.4263859550019103	0.45780554856902866	0.4955668074426417	0.5475808000298277	0.43267155393199713
s26pp	0.45870227864140867	0.36172011705140006	0.4086790133983964	0.3892534205080752	0.3986516952374106	0.35578068132082186	0.38385600711442047	0.0	0.0027521237458744885	0.0013410211733666994	0.4718339657905433	0.29016308956210773	0.37473377524907825	0.38737119711627155	0.4090083221128024	0.406995875441588	0.406269794818789	0.4329946859966307	0.40707928176741437	0.4116436969833913	0.41176843619015485	0.5045163599976479	0.46740509730665336	0.408581582002515	0.4152422535245453	0.422017511952583	0.42098347182042206	0.33511736848036966	0.3658131894502902	0.4184487232919588	0.44986831685907724	0.4876295757326902	0.5396435683198761	0.4247343222220457
s27pp	0.45986770052888054	0.362885538938872	0.40984443528586834	0.39041884239554714	0.39981711712488255	0.3569461032082938	0.38502142900189235	0.0027521237458744885	0.0	0.0025044430598385394	0.4729993876780152	0.29132851144957966	0.3758991971365502	0.3885366190037435	0.4101737440002743	0.4081612973290599	0.40743521670626087	0.4341601078841026	0.4082447036548863	0.41280911887086325	0.4129338580776267	0.5056817818851198	0.4685705191941253	0.40974700388998686	0.4164076754120172	0.4231829338400549	0.422148893707894	0.3362827903678416	0.36697861133776205	0.41961414517943074	0.4510337387465492	0.4887949976201621	0.5408089902073481	0.4258997441095176
s23pp	0.4584565979563728	0.36147443636636417	0.4084333327133606	0.3890077398230394	0.3984060145523748	0.355535000635786	0.38361032642938453	0.0013410211733666994	0.0025044430598385394	0.0	0.47158828510550743	0.28991740887707185	0.37448809456404236	0.38712551643123566	0.4087626414277665	0.40675019475655216	0.40602411413375306	0.43274900531159477	0.40683360108237854	0.41139801629835543	0.41152275550511896	0.5042706793126119	0.4671594166216175	0.4083359013174791	0.4149965728395094	0.42177183126754714	0.42073779113538623	0.3348716877953338	0.36556750876525423	0.418203042606923	0.44962263617404136	0.48738389504765434	0.5393978876348403	0.4244886415370098
s14pp	0.5097360461957707	0.4127538846057622	0.4597127809527586	0.4402871880624374	0.4496854627917728	0.4516958717068962	0.4797711975004948	0.4718339657905433	0.4729993876780152	0.47158828510550743	0.0	0.29066872646702946	0.375239412154	0.3878768340211933	0.40951395901772414	0.4075015123465098	0.40677543172371067	0.4335003229015524	0.40758491867233615	0.41214933388831304	0.4122740730950766	0.5050219969025695	0.4853564952310817	0.42653297992694333	0.43319365144897365	0.43996890987701137	0.4389348697448504	0.353068766404798	0.3837645873747185	0.43640012121638716	0.4678197147835056	0.5055809736571186	0.5575949662443046	0.47576808977640783
s1pp	0.3280651699673352	0.2310830083773266	0.278041904724323	0.2586163118340018	0.2680145865633372	0.27002499547846065	0.2981003212720592	0.29016308956210773	0.29132851144957966	0.28991740887707185	0.29066872646702946	0.0	0.08957763611580667	0.10221505798299997	0.12385218297953084	0.12183973630831645	0.12111365568551741	0.14783854686335912	0.12192314263414283	0.12648755785011973	0.1948857381784827	0.28763366198597573	0.3036856190026461	0.24486210369850775	0.25152277522053806	0.2582980336485758	0.2572639935164149	0.17139789017636245	0.20209371114628294	0.25472924498795163	0.28614883855507	0.32391009742868304	0.375924090015869	0.29409721354797225
s31pp	0.4126358556543057	0.3156536940642971	0.36261259041129346	0.34318699752097226	0.35258527225030767	0.35459568116543116	0.38267100695902967	0.37473377524907825	0.3758991971365502	0.37448809456404236	0.375239412154	0.08957763611580667	0.0	0.07536599819026454	0.09700312318679541	0.09499067651558102	0.09426459589278198	0.12098948707062368	0.0950740828414074	0.09963849805738431	0.2794564238654532	0.3722043476729462	0.38825630468961664	0.32943278938547826	0.3360934609075086	0.3428687193355463	0.3418346792033854	0.25596857586333294	0.2866643968332534	0.33929993067492215	0.3707195242420405	0.4084807831156535	0.4604947757028395	0.37866789923494276
s25pp	0.425273277521499	0.3282911159314904	0.37525001227848676	0.35582441938816556	0.36522269411750097	0.36723310303262446	0.39530842882622297	0.38737119711627155	0.3885366190037435	0.38712551643123566	0.3878768340211933	0.10221505798299997	0.07536599819026454	0.0	0.021639124997530932	0.01962667832631654	0.018900597703517503	0.04562548888135921	0.019710084652142922	0.024274499868119834	0.2920938457326465	0.3848417695401395	0.40089372655680994	0.34207021125267156	0.3487308827747019	0.3555061412027396	0.3544721010705787	0.26860599773052624	0.2993018187004467	0.35193735254211544	0.3833569461092338	0.4211182049828468	0.4731321975700328	0.39130532110213606
