	S3Hp	31236	S15Hp	S6Hp	S13Hp	530119	s23pp	31360	S18H1	s25pp	S29H1	530394	F14H1B	S11Hp	F3H1	S26Hp	S2Hp	31112	F8H1	F23HpA	S22Hp	S8Hp	s22pp	F22H1A	S25Hp	31379	531424	s10pp	S30H1	s29pp	s21pp	F1H1	S23Hp	S19H1	S7Hp	S17H1	F32H1	S4Hp	S9H1	31450	S28Hp	s24H1	31452	S21H1
S3Hp	0.0	0.10013582993044065	0.304547142861349	0.350415824106297	0.25900424289484925	0.43432681956457764	0.2778176077003294	0.31726270094881914	0.3765773257495214	0.40167204944875395	0.3049146474123213	0.32442452832535607	0.3122257649225009	0.32149406441637507	0.3476554442766219	0.36565510712594207	0.3209447590891607	0.331687345507591	0.42986442585903356	0.16006674212128436	0.37175871360845103	0.4622752293667926	0.49691779496739935	0.49406176266349605	0.4144248296572649	0.3939424195881276	0.5433068498474147	0.4204082906282005	0.30420349672598035	0.33547308215396016	0.2963373310536571	0.28749469404883626	0.20752779974565894	0.27843456416006396	0.28370214820265094	0.3578048525733838	0.3890563862405023	0.2606533358011528	0.2913658759891493	0.34583628690600926	0.3505125610309645	0.34685826734248687	0.33512373501293613	0.23103064670626833
31236	0.10013582993044065	0.0	0.3362205639716471	0.38208924521659515	0.2906776640051474	0.4660002406748758	0.30949102881062757	0.3489361220591173	0.40825074685981955	0.4333454705590521	0.33658806852261947	0.3560979494356542	0.34389918603279906	0.3531674855266732	0.37932886538692007	0.3973285282362402	0.35261818019945884	0.36336076661788913	0.4615378469693317	0.1917401632315825	0.40343213471874917	0.49394865047709074	0.5285912160776975	0.5257351837737942	0.44609825076756304	0.42561584069842573	0.574980270957713	0.45208171173849865	0.3358769178362785	0.3671465032642583	0.32801075216395525	0.3191681151591344	0.23920122085595708	0.3101079852703621	0.3153755693129491	0.38947827368368193	0.42072980735080046	0.29232675691145094	0.32303929709944745	0.3775097080163074	0.38218598214126265	0.378531688452785	0.36679715612323427	0.26270406781656647
S15Hp	0.304547142861349	0.3362205639716471	0.0	0.10429930718929484	0.07731579120069662	0.297970246838127	0.1414610349738788	0.254082239463994	0.31339686426469626	0.3384915879639288	0.24173418592749615	0.2612440668405309	0.24904530343767578	0.2583136029315499	0.2844749827917968	0.3024746456411169	0.25776429760433556	0.26850688402276585	0.3666839643742084	0.17919628852615815	0.468608730266185	0.5591252460245266	0.5937678116251334	0.5909117793212301	0.5112748463149989	0.49079243624586155	0.6401568665051488	0.5172583072859345	0.40105351338371437	0.4323230988116942	0.39318734771139113	0.3843447107065703	0.32487794850248775	0.39578471291689277	0.40105229695947975	0.4751550013302126	0.5064065349973311	0.3780034845579816	0.4087160247459781	0.46318643566283807	0.4678627097877933	0.4642084160993157	0.45247388376976494	0.34838079546309714
S6Hp	0.350415824106297	0.38208924521659515	0.10429930718929484	0.0	0.12318447244564462	0.34383892808307503	0.1873297162188268	0.29995092070894197	0.35926554550964424	0.3843602692088768	0.28760286717244415	0.3071127480854789	0.29491398468262375	0.30418228417649795	0.33034366403674476	0.3483433268860649	0.30363297884928353	0.3143755652677138	0.4125526456191564	0.22506496977110615	0.514477411511133	0.6049939272694747	0.6396364928700813	0.636780460566178	0.5571435275599469	0.5366611174908096	0.6860255477500967	0.5631269885308825	0.44692219462866234	0.4781917800566422	0.4390560289563391	0.43021339195151825	0.3707466297474358	0.4416533941618408	0.4469209782044278	0.5210236825751606	0.5522752162422792	0.42387216580292963	0.45458470599092615	0.5090551169077862	0.5137313910327413	0.5100770973442637	0.49834256501471297	0.39424947670804517
S13Hp	0.25900424289484925	0.2906776640051474	0.07731579120069662	0.12318447244564462	0.0	0.25242734687162727	0.09591813500737904	0.2085393394974942	0.26785396429819647	0.29294868799742907	0.1961912859609964	0.21570116687403112	0.20350240347117604	0.21277070296505018	0.23893208282529704	0.25693174567461713	0.21222139763783582	0.2229639840562661	0.3211410644077087	0.1336533885596584	0.42306583029968525	0.5135823460580269	0.5482249116586335	0.5453688793547302	0.4657319463484991	0.4452495362793618	0.594613966538649	0.47171540731943473	0.35551061341721457	0.38678019884519443	0.34764444774489134	0.3388018107400705	0.279335048535988	0.350241812950393	0.35550939699298	0.42961210136371286	0.4608636350308314	0.33246058459148187	0.3631731247794784	0.41764353569633833	0.4223198098212936	0.41866551613281594	0.4069309838032652	0.3028378954965974
530119	0.43432681956457764	0.4660002406748758	0.297970246838127	0.34383892808307503	0.25242734687162727	0.0	0.2519437417939462	0.38386191616722265	0.4431765409679249	0.46827126466715746	0.37151386263072483	0.39102374354375957	0.37882498014090443	0.3880932796347786	0.41425465949502543	0.4322543223443456	0.3875439743075642	0.3982865607259945	0.49646364107743707	0.3089759652293868	0.5983884069694136	0.6889049227277553	0.7235474883283619	0.7206914560244586	0.6410545230182275	0.6205721129490902	0.7699365432083773	0.6470379839891631	0.530833190086943	0.5621027755149228	0.5229670244146197	0.5141243874097989	0.4546576252057164	0.5255643896201214	0.5308319736627084	0.6049346780334413	0.6361862117005598	0.5077831612612103	0.5384957014492068	0.5929661123660668	0.597642386491022	0.5939880928025443	0.5822535604729936	0.4781604721663258
s23pp	0.2778176077003294	0.30949102881062757	0.1414610349738788	0.1873297162188268	0.09591813500737904	0.2519437417939462	0.0	0.22735270430297444	0.2866673291036767	0.31176205280290925	0.21500465076647662	0.23451453167951136	0.22231576827665622	0.23158406777053037	0.2577454476307772	0.27574511048009737	0.231034762443316	0.2417773488617463	0.33995442921318886	0.1524667533651386	0.4418791951051655	0.532395710863507	0.5670382764641138	0.5641822441602105	0.48454531115397936	0.46406290108484205	0.6134273313441292	0.49052877212491497	0.3743239782226948	0.4055935636506746	0.3664578125503716	0.35761517554555067	0.2981484133414682	0.3690551777558732	0.3743227617984602	0.44842546616919304	0.47967699983631157	0.35127394939696205	0.38198648958495857	0.4364569005018185	0.44113317462677376	0.4374788809382961	0.4257443486087454	0.3216512603020776
31360	0.31726270094881914	0.3489361220591173	0.254082239463994	0.29995092070894197	0.2085393394974942	0.38386191616722265	0.22735270430297444	0.0	0.16954841663645473	0.1946431403356873	0.24117262076453067	0.2606825016775654	0.24848373827471026	0.25775203776858446	0.28391341762883127	0.3019130804781514	0.25720273244137004	0.26794531885980033	0.3661223992112429	0.19191184661362828	0.48132428835365515	0.5718408041119967	0.6064833697126035	0.6036273374087002	0.523990404402469	0.5035079943333317	0.652872424592619	0.5299738653734046	0.41376907147118447	0.44503865689916433	0.40590290579886124	0.3970602687940404	0.3375935065899579	0.4085002710043629	0.4137678550469499	0.48787055941768276	0.5191220930848013	0.39071904264545176	0.4214315828334483	0.4759019937503082	0.4805782678752635	0.47692397418678584	0.4651894418572351	0.3610963535505673
S18H1	0.3765773257495214	0.40825074685981955	0.31339686426469626	0.35926554550964424	0.26785396429819647	0.4431765409679249	0.2866673291036767	0.16954841663645473	0.0	0.10528718573492425	0.30048724556523293	0.31999712647826767	0.30779836307541253	0.31706666256928673	0.34322804242953353	0.3612277052788537	0.3165173572420723	0.3272599436605026	0.42543702401194516	0.2512264714143306	0.5406389131543574	0.631155428912699	0.6657979945133057	0.6629419622094024	0.5833050292031713	0.562822619134034	0.7121870493933211	0.5892884901741069	0.47308369627188673	0.5043532816998666	0.4652175305995635	0.45637489359474265	0.39690813139066017	0.4678148958050652	0.47308247984765217	0.547185184218385	0.5784367178855035	0.45003366744615403	0.48074620763415055	0.5352166185510105	0.5398928926759657	0.536238598987488	0.5245040666579374	0.42041097835126956
s25pp	0.40167204944875395	0.4333454705590521	0.3384915879639288	0.3843602692088768	0.29294868799742907	0.46827126466715746	0.31176205280290925	0.1946431403356873	0.10528718573492425	0.0	0.3255819692644655	0.3450918501775002	0.33289308677464513	0.3421613862685193	0.36832276612876613	0.3863224289780862	0.3416120809413049	0.3523546673597352	0.45053174771117777	0.2763211951135631	0.5657336368535899	0.6562501526119315	0.6908927182125383	0.688036685908635	0.6083997529024039	0.5879173428332665	0.7372817730925537	0.6143832138733394	0.49817841997111934	0.5294480053990991	0.4903122542987961	0.4814696172939752	0.4220028550898927	0.49290961950429774	0.4981772035468847	0.5722799079176175	0.6035314415847362	0.4751283911453866	0.5058409313333831	0.560311342250243	0.5649876163751983	0.5613333226867206	0.54959879035717	0.4455057020505021
S29H1	0.3049146474123213	0.33658806852261947	0.24173418592749615	0.28760286717244415	0.1961912859609964	0.37151386263072483	0.21500465076647662	0.24117262076453067	0.30048724556523293	0.3255819692644655	0.0	0.17562301545504566	0.16342425205219055	0.1726925515460647	0.19885393140631155	0.21685359425563167	0.21483797991108872	0.22558056632951898	0.3237576466809615	0.17956379307713047	0.46897623481715733	0.559492750575499	0.5941353161761056	0.5912792838722023	0.5116423508659712	0.4911599407968339	0.640524371056121	0.5176258118369068	0.40142101793468665	0.4326906033626665	0.3935548522623634	0.38471221525754257	0.3252454530534601	0.3961522174678651	0.4014198015104521	0.47552250588118494	0.5067740395483035	0.37837098910895395	0.40908352929695047	0.4635539402138104	0.46823021433876566	0.464575920650288	0.4528413883207373	0.3487483000140695
530394	0.32442452832535607	0.3560979494356542	0.2612440668405309	0.3071127480854789	0.21570116687403112	0.39102374354375957	0.23451453167951136	0.2606825016775654	0.31999712647826767	0.3450918501775002	0.17562301545504566	0.0	0.012271632515818543	0.07826249216222503	0.1044238720224719	0.15592092791368165	0.23434786082412346	0.24509044724255372	0.34326752759399626	0.1990736739901652	0.48848611573019207	0.5790026314885337	0.6136451970891403	0.610789164785237	0.531152231779006	0.5106698217098686	0.6600342519691558	0.5371356927499416	0.4209308988477214	0.45220048427570125	0.41306473317539816	0.4042220961705773	0.3447553339664948	0.41566209838089985	0.42092968242348683	0.4950323867942197	0.5262839204613382	0.3978808700219887	0.4285934102099852	0.48306382112684515	0.4877400952518004	0.48408580156332276	0.472351269233772	0.3682581809271042
F14H1B	0.3122257649225009	0.34389918603279906	0.24904530343767578	0.29491398468262375	0.20350240347117604	0.37882498014090443	0.22231576827665622	0.24848373827471026	0.30779836307541253	0.33289308677464513	0.16342425205219055	0.012271632515818543	0.0	0.06606372875936992	0.09222510861961679	0.14372216451082653	0.22214909742126832	0.2328916838396986	0.3310687641911412	0.1868749105873101	0.476287352327337	0.5668038680856785	0.6014464336862853	0.598590401382382	0.5189534683761509	0.49847105830701355	0.6478354885663007	0.5249369293470865	0.4087321354448663	0.4400017208728461	0.4008659697725431	0.39202333276772217	0.3325565705636397	0.4034633349780447	0.4087309190206317	0.48283362339136454	0.514085157058483	0.38568210661913355	0.41639464680713006	0.47086505772399	0.47554133184894526	0.4718870381604676	0.4601525058309169	0.3560594175242491
S11Hp	0.32149406441637507	0.3531674855266732	0.2583136029315499	0.30418228417649795	0.21277070296505018	0.3880932796347786	0.23158406777053037	0.25775203776858446	0.31706666256928673	0.3421613862685193	0.1726925515460647	0.07826249216222503	0.06606372875936992	0.0	0.03466731333554068	0.15299046400470068	0.23141739691514246	0.24215998333357275	0.3403370636850153	0.19614321008118424	0.4855556518212111	0.5760721675795527	0.6107147331801595	0.6078587008762562	0.528221767870025	0.5077393578008876	0.6571037880601749	0.5342052288409606	0.41800043493874045	0.44927002036672026	0.4101342692664172	0.40129163226159636	0.34182487005751383	0.41273163447191885	0.41799921851450583	0.4921019228852387	0.5233534565523572	0.3949504061130077	0.4256629463010042	0.48013335721786415	0.4848096313428194	0.48115533765434176	0.469420805324791	0.3653277170181232
F3H1	0.3476554442766219	0.37932886538692007	0.2844749827917968	0.33034366403674476	0.23893208282529704	0.41425465949502543	0.2577454476307772	0.28391341762883127	0.34322804242953353	0.36832276612876613	0.19885393140631155	0.1044238720224719	0.09222510861961679	0.03466731333554068	0.0	0.17915184386494754	0.2575787767753893	0.2683213631938196	0.3664984435452622	0.2223045899414311	0.511717031681458	0.6022335474397995	0.6368761130404063	0.634020080736503	0.5543831477302719	0.5339007376611346	0.6832651679204217	0.5603666087012075	0.4441618147989873	0.4754314002269671	0.4362956491266641	0.42745301212184317	0.3679862499177607	0.4388930143321657	0.4441605983747527	0.5182633027454855	0.5495148364126041	0.42111178597325455	0.45182432616125107	0.506294737078111	0.5109710112030663	0.5073167175145886	0.4955821851850379	0.3914890968783701
S26Hp	0.36565510712594207	0.3973285282362402	0.3024746456411169	0.3483433268860649	0.25693174567461713	0.4322543223443456	0.27574511048009737	0.3019130804781514	0.3612277052788537	0.3863224289780862	0.21685359425563167	0.15592092791368165	0.14372216451082653	0.15299046400470068	0.17915184386494754	0.0	0.27557843962470946	0.2863210260431397	0.38449810639458226	0.2403042527907512	0.5297166945307781	0.6202332102891197	0.6548757758897263	0.652019743585823	0.572382810579592	0.5519004005104546	0.7012648307697418	0.5783662715505276	0.4621614776483074	0.49343106307628726	0.45429531197598416	0.4454526749711633	0.38598591276708083	0.45689267718148585	0.46216026122407283	0.5362629655948057	0.5675144992619242	0.4391114488225747	0.4698239890105712	0.5242943999274312	0.5289706740523864	0.5253163803639087	0.513581848034358	0.4094887597276902
S2Hp	0.3209447590891607	0.35261818019945884	0.25776429760433556	0.30363297884928353	0.21222139763783582	0.3875439743075642	0.231034762443316	0.25720273244137004	0.3165173572420723	0.3416120809413049	0.21483797991108872	0.23434786082412346	0.22214909742126832	0.23141739691514246	0.2575787767753893	0.27557843962470946	0.0	0.22163842318902757	0.31981550354047017	0.19559390475396987	0.48500634649399677	0.5755228622523383	0.610165427852945	0.6073093955490417	0.5276724625428106	0.5071900524736733	0.6565544827329605	0.5336559235137462	0.4174511296115261	0.4487207150395059	0.40958496393920285	0.40074232693438194	0.34127556473029946	0.4121823291447045	0.41744991318729147	0.4915526175580243	0.5228041512251429	0.3944011007857933	0.42511364097378984	0.4795840518906498	0.48426032601560504	0.4806060323271274	0.46887149999757666	0.36477841169090885
31112	0.331687345507591	0.36336076661788913	0.26850688402276585	0.3143755652677138	0.2229639840562661	0.3982865607259945	0.2417773488617463	0.26794531885980033	0.3272599436605026	0.3523546673597352	0.22558056632951898	0.24509044724255372	0.2328916838396986	0.24215998333357275	0.2683213631938196	0.2863210260431397	0.22163842318902757	0.0	0.22409077260795957	0.20633649117240016	0.49574893291242705	0.5862654486707686	0.6209080142713753	0.618051981967472	0.5384150489612409	0.5179326388921036	0.6672970691513908	0.5443985099321765	0.4281937160299564	0.4594633014579362	0.42032755035763314	0.41148491335281223	0.35201815114872975	0.4229249155631348	0.42819249960572175	0.5022952039764546	0.5335467376435732	0.4051436872042236	0.43585622739222013	0.4903266383090801	0.4950029124340353	0.4913486187455577	0.47961408641600695	0.37552099810933914
F8H1	0.42986442585903356	0.4615378469693317	0.3666839643742084	0.4125526456191564	0.3211410644077087	0.49646364107743707	0.33995442921318886	0.3661223992112429	0.42543702401194516	0.45053174771117777	0.3237576466809615	0.34326752759399626	0.3310687641911412	0.3403370636850153	0.3664984435452622	0.38449810639458226	0.31981550354047017	0.22409077260795957	0.0	0.30451357152384273	0.5939260132638695	0.6844425290222111	0.7190850946228179	0.7162290623189146	0.6365921293126835	0.6161097192435461	0.7654741495028333	0.642575590283619	0.5263707963813989	0.5576403818093787	0.5185046307090757	0.5096619937042548	0.4501952315001723	0.5211019959145773	0.5263695799571644	0.6004722843278971	0.6317238179950158	0.5033207675556662	0.5340333077436628	0.5885037186605226	0.593179992785478	0.5895256990970003	0.5777911667674496	0.4736980784607817
F23HpA	0.16006674212128436	0.1917401632315825	0.17919628852615815	0.22506496977110615	0.1336533885596584	0.3089759652293868	0.1524667533651386	0.19191184661362828	0.2512264714143306	0.2763211951135631	0.17956379307713047	0.1990736739901652	0.1868749105873101	0.19614321008118424	0.2223045899414311	0.2403042527907512	0.19559390475396987	0.20633649117240016	0.30451357152384273	0.0	0.32412832952612036	0.414644845284462	0.44928741088506874	0.44643137858116544	0.36679444557493424	0.3463120355057969	0.4956764657650842	0.37277790654586984	0.25657311264364974	0.28784269807162954	0.2487069469713265	0.23986430996650562	0.18039754776242312	0.25130431217682814	0.2565718962194151	0.33067460059014797	0.3619261342572665	0.23352308381791703	0.2642356240059135	0.3187060349227735	0.3233823090477287	0.3197280153592511	0.3079934830297003	0.20390039472303254
S22Hp	0.37175871360845103	0.40343213471874917	0.468608730266185	0.514477411511133	0.42306583029968525	0.5983884069694136	0.4418791951051655	0.48132428835365515	0.5406389131543574	0.5657336368535899	0.46897623481715733	0.48848611573019207	0.476287352327337	0.4855556518212111	0.511717031681458	0.5297166945307781	0.48500634649399677	0.49574893291242705	0.5939260132638695	0.32412832952612036	0.0	0.18960664803753735	0.2242492136381441	0.2213931813342408	0.14175624832800968	0.2621096994953706	0.4114741297546578	0.2885755705354435	0.29882224785969425	0.330091833287674	0.3460713217009377	0.40475064518114423	0.3920895192495898	0.4629962836639948	0.4682638677065818	0.5423665720773146	0.5736181057444332	0.44521505530508365	0.47592759549308017	0.5303980064099401	0.5350742805348954	0.5314199868464178	0.519685454516867	0.4155923662101992
S8Hp	0.4622752293667926	0.49394865047709074	0.5591252460245266	0.6049939272694747	0.5135823460580269	0.6889049227277553	0.532395710863507	0.5718408041119967	0.631155428912699	0.6562501526119315	0.559492750575499	0.5790026314885337	0.5668038680856785	0.5760721675795527	0.6022335474397995	0.6202332102891197	0.5755228622523383	0.5862654486707686	0.6844425290222111	0.414644845284462	0.18960664803753735	0.0	0.12532620163471664	0.12247016933081337	0.1280103214344926	0.3526262152537121	0.5019906455129993	0.37909208629378505	0.38933876361803577	0.4206083490460156	0.4365878374592792	0.49526716093948575	0.48260603500793137	0.5535127994223363	0.5587803834649234	0.6328830878356562	0.6641346215027748	0.5357315710634253	0.5664441112514218	0.6209145221682817	0.625590796293237	0.6219365026047593	0.6102019702752086	0.5061088819685408
s22pp	0.49691779496739935	0.5285912160776975	0.5937678116251334	0.6396364928700813	0.5482249116586335	0.7235474883283619	0.5670382764641138	0.6064833697126035	0.6657979945133057	0.6908927182125383	0.5941353161761056	0.6136451970891403	0.6014464336862853	0.6107147331801595	0.6368761130404063	0.6548757758897263	0.610165427852945	0.6209080142713753	0.7190850946228179	0.44928741088506874	0.2242492136381441	0.12532620163471664	0.0	0.0028580323049033525	0.16265288703509934	0.3872687808543189	0.5366332111136061	0.4137346518943918	0.4239813292186425	0.4552509146466223	0.47123040305988595	0.5299097265400925	0.5172486006085381	0.5881553650229432	0.5934229490655301	0.667525653436263	0.6987771871033814	0.570374136664032	0.6010866768520284	0.6555570877688884	0.6602333618938436	0.656579068205366	0.6448445358758153	0.5407514475691475
F22H1A	0.49406176266349605	0.5257351837737942	0.5909117793212301	0.636780460566178	0.5453688793547302	0.7206914560244586	0.5641822441602105	0.6036273374087002	0.6629419622094024	0.688036685908635	0.5912792838722023	0.610789164785237	0.598590401382382	0.6078587008762562	0.634020080736503	0.652019743585823	0.6073093955490417	0.618051981967472	0.7162290623189146	0.44643137858116544	0.2213931813342408	0.12247016933081337	0.0028580323049033525	0.0	0.15979685473119604	0.3844127485504156	0.5337771788097028	0.4108786195904885	0.4211252969147392	0.452394882342719	0.46837437075598265	0.5270536942361892	0.5143925683046348	0.5852993327190399	0.5905669167616268	0.6646696211323597	0.6959211547994781	0.5675181043601287	0.5982306445481251	0.6527010554649851	0.6573773295899403	0.6537230359014627	0.641988503571912	0.5378954152652442
S25Hp	0.4144248296572649	0.44609825076756304	0.5112748463149989	0.5571435275599469	0.4657319463484991	0.6410545230182275	0.48454531115397936	0.523990404402469	0.5833050292031713	0.6083997529024039	0.5116423508659712	0.531152231779006	0.5189534683761509	0.528221767870025	0.5543831477302719	0.572382810579592	0.5276724625428106	0.5384150489612409	0.6365921293126835	0.36679444557493424	0.14175624832800968	0.1280103214344926	0.16265288703509934	0.15979685473119604	0.0	0.3047758155441844	0.4541402458034716	0.33124168658425734	0.34148836390850806	0.37275794933648787	0.3887374377497515	0.4474167612299581	0.43475563529840366	0.5056623997128087	0.5109299837553957	0.5850326881261285	0.616284221793247	0.4878811713538975	0.518593711541894	0.573064122458754	0.5777403965837092	0.5740861028952315	0.5623515705656809	0.45825848225901306
31379	0.3939424195881276	0.42561584069842573	0.49079243624586155	0.5366611174908096	0.4452495362793618	0.6205721129490902	0.46406290108484205	0.5035079943333317	0.562822619134034	0.5879173428332665	0.4911599407968339	0.5106698217098686	0.49847105830701355	0.5077393578008876	0.5339007376611346	0.5519004005104546	0.5071900524736733	0.5179326388921036	0.6161097192435461	0.3463120355057969	0.2621096994953706	0.3526262152537121	0.3872687808543189	0.3844127485504156	0.3047758155441844	0.0	0.36120260298563817	0.2383040437664239	0.32100595383937075	0.35227553926735056	0.3682550276806142	0.4269343511608208	0.41427322522926635	0.48517998964367137	0.49044757368625835	0.5645502780569912	0.5958018117241097	0.4673987612847602	0.49811130147275673	0.5525817123896166	0.5572579865145719	0.5536036928260943	0.5418691604965435	0.43777607218987574
