	F29H1	S10H1	530055	530331	S17H1	F32H1	S27H1	S25Hp	S6Hp	S8Hp	s24H1	S31Hp	S13Hp	S30H1	530050	S11Hp	530163	31360	31343	F1H1	530075	31300	F22H1A	S28Hp	S21H1	31428	S23Hp	S15Hp	S19H1	531414	S7Hp
F29H1	0.0	0.03925922090229968	0.4441691607200603	0.2995706580107634	0.38220695423439155	0.366632769090619	0.366632769090619	0.3662169166900283	0.3469388899461813	0.3222567398708553	0.35815218777724306	0.4525843484625526	0.4363522566608429	0.45978505949167303	0.4418177932207282	0.4828069670123482	0.49655055805405185	0.5057072177553362	0.4733923995019311	0.4391760057469829	0.3889432593499732	0.8090082995127419	0.39673193475664814	0.28215919263968964	0.2662023390877821	1.840819988550202	0.3274968938321901	0.29607516071638984	0.24730691898489626	0.07556179104284882	0.054899804804502496
S10H1	0.03925922090229968	0.0	0.40491193981876067	0.26031343710946375	0.3429497333330919	0.32737554818931935	0.32737554818931935	0.3269596957887287	0.30768166904488164	0.28299951896955566	0.31889496687594343	0.41332712756125295	0.39709503575954325	0.4205278385903734	0.4025605723194286	0.4435497461110486	0.4572933371527522	0.4664499968540366	0.4341351786006315	0.3999187848456833	0.3496860384486736	0.7697510786114422	0.3574747138553485	0.24290197173839004	0.22694511818648253	1.8015627676489023	0.2882396729308905	0.2568179398150902	0.20804969808359666	0.03630457014154922	0.01564258390320288
530055	0.4441691607200603	0.40491193981876067	0.0	0.28605303973078366	0.36868933595441183	0.35311515081063927	0.35311515081063927	0.3526992984100486	0.33342127166620156	0.3087391215908756	0.39295458439945874	0.4873867450847682	0.4711546532830585	0.49458745611388866	0.47662018984294385	0.5176093636345638	0.5313529546762674	0.5405096143775519	0.5081947961241468	0.4739784023691985	0.42374565597218883	0.8438106961349575	0.43153433137886377	0.3169615892619053	0.3644482345956658	1.9390658840580857	0.4257427893400738	0.4426255349812205	0.4544551493600256	0.4185184245463314	0.41694159231405453
530331	0.2995706580107634	0.26031343710946375	0.28605303973078366	0.0	0.1499325902661741	0.13435840512240152	0.13435840512240152	0.13394255272181083	0.11466452597796378	0.08998237590263783	0.2483560816901618	0.3427882423754713	0.3265561505737616	0.34998895340459174	0.33202168713364694	0.3730108609252669	0.38675445196697056	0.39591111166825493	0.36359629341484984	0.32937989965990166	0.2791471532628919	0.6992121934256605	0.2869358286695669	0.1723630865526084	0.21984973188636886	1.7944673813487888	0.28114428663077684	0.2980270322719235	0.3098566466507287	0.2739199218370345	0.2723430896047576
S17H1	0.38220695423439155	0.3429497333330919	0.36868933595441183	0.1499325902661741	0.0	0.015578185145772687	0.015578185145772687	0.01704426212259761	0.05046457171585516	0.14820433116691364	0.33099237791379	0.42542453859909946	0.40919244679738975	0.4326252496282199	0.4146579833572751	0.4556471571488951	0.46939074819059873	0.4785474078918831	0.446232589638478	0.4120161958835298	0.3617834494865201	0.7818484896492888	0.369572124893195	0.25499938277623657	0.30248602810999703	1.877103677572417	0.36378058285440507	0.38066332849555173	0.3924929428743569	0.3565562180606627	0.3549793858283858
F32H1	0.366632769090619	0.32737554818931935	0.35311515081063927	0.13435840512240152	0.015578185145772687	0.0	2.00000100005818e-06	0.0014700769788250389	0.03489038657208259	0.13263014602314108	0.31541819277001737	0.4098503534553269	0.3936182616536172	0.41705106448444734	0.39908379821350254	0.4400729720051225	0.45381656304682616	0.46297322274811054	0.43065840449470544	0.39644201073975727	0.3462092643427475	0.7662743045055163	0.3539979397494225	0.239425197632464	0.28691184296622446	1.8615294924286445	0.34820639771063244	0.3650891433517791	0.3769187577305843	0.3409820329168901	0.3394052006846132
S27H1	0.366632769090619	0.32737554818931935	0.35311515081063927	0.13435840512240152	0.015578185145772687	2.00000100005818e-06	0.0	0.0014700769788250389	0.03489038657208259	0.13263014602314108	0.31541819277001737	0.4098503534553269	0.3936182616536172	0.41705106448444734	0.39908379821350254	0.4400729720051225	0.45381656304682616	0.46297322274811054	0.43065840449470544	0.39644201073975727	0.3462092643427475	0.7662743045055163	0.3539979397494225	0.239425197632464	0.28691184296622446	1.8615294924286445	0.34820639771063244	0.3650891433517791	0.3769187577305843	0.3409820329168901	0.3394052006846132
S25Hp	0.3662169166900283	0.3269596957887287	0.3526992984100486	0.13394255272181083	0.01704426212259761	0.0014700769788250389	0.0014700769788250389	0.0	0.03447453417149191	0.13221429362255038	0.31500234036942676	0.4094345010547362	0.3932024092530265	0.4166352120838567	0.3986679458129119	0.43965711960453185	0.4534007106462355	0.46255737034751987	0.43024255209411477	0.39602615833916655	0.34579341194215685	0.7658584521049255	0.3535820873488318	0.23900934523187334	0.2864959905656338	1.8611136400280537	0.34779054531004183	0.3646732909511885	0.37650290532999364	0.34056618051629944	0.33898934828402255
S6Hp	0.3469388899461813	0.30768166904488164	0.33342127166620156	0.11466452597796378	0.05046457171585516	0.03489038657208259	0.03489038657208259	0.03447453417149191	0.0	0.11293626687870335	0.2957243136255797	0.3901564743108892	0.3739243825091795	0.39735718534000963	0.37938991906906483	0.4203790928606848	0.43412268390238845	0.4432793436036728	0.41096452535026773	0.3767481315953195	0.3265153851983098	0.7465804253610785	0.33430406060498474	0.2197313184880263	0.26721796382178675	1.8418356132842066	0.3285125185661948	0.34539526420734146	0.3572248785861466	0.3212881537724524	0.3197113215401755
S8Hp	0.3222567398708553	0.28299951896955566	0.3087391215908756	0.08998237590263783	0.14820433116691364	0.13263014602314108	0.13263014602314108	0.13221429362255038	0.11293626687870335	0.0	0.27104216355025373	0.3654743242355632	0.3492422324338535	0.37267503526468365	0.35470776899373885	0.39569694278535883	0.40944053382706247	0.41859719352834684	0.38628237527494175	0.3520659815199936	0.3018332351229838	0.7218982752857526	0.3096219105296588	0.1950491684127003	0.24253581374646077	1.8171534632088808	0.30383036849086875	0.3207131141320154	0.3325427285108206	0.2966060036971264	0.2950291714648495
