	s9pp	S4Hp	F23HpA	s32pp	s24H1	s4pp	S2Hp	31300	S17H1	S28Hp	S7Hp	S6Hp	S3Hp	S13Hp	s13pp	S16H2	S8Hp	31519	S26Hp	530394	S21H1	S31Hp	S23Hp	F8H1	S29H1	S25Hp	31700	31723	31112	S19H1	F7H1	S15Hp	F14H1A	F16H1	S27H1	S11Hp	31379	530050	31219	F32H1	530119	S30H1	F14H1B
s9pp	0.0	0.22057665833299048	0.2551400845823939	0.32569100498994197	0.32365595274206693	0.3587611963624112	0.3749395027976228	0.46522346179403207	0.43050287886418825	0.4004472222046651	0.4437635222328653	0.4433261225233819	0.4935427198364025	0.4837319971261862	0.4939435650320255	0.5817622647622656	0.5535855881637946	0.553574875666574	0.41469609907940785	0.4163544810099089	0.5756167371592859	0.45400131180655057	0.47211563934944645	0.5635660799738378	0.5635953240196008	0.5594841177903571	0.6200188081406092	0.5806695291836697	0.5775100626548364	0.38215182005938275	0.38220777669709427	0.38108259877184025	0.2970623402130748	0.3448862144543221	0.35073860121936573	0.28629577848677623	0.3848848336285535	0.24682428655055005	0.2550290346813427	0.2417516482041887	0.25483942301925927	0.2431440905203738	0.22395015632412082
S4Hp	0.22057665833299048	0.0	0.193201134779452	0.2637520551870001	0.2617170029391251	0.29682224655946937	0.31300055299468094	0.40328451199109017	0.36856392906124635	0.3385082724017232	0.3818245724299234	0.38138717272044	0.4316037700334606	0.4217930473232443	0.4320046152290836	0.5198233149593237	0.49164663836085265	0.49163592586363214	0.35275714927646595	0.354415531206967	0.513677787356344	0.39206236200360867	0.41017668954650455	0.5016271301708959	0.5016563742166589	0.4975451679874152	0.5580798583376673	0.5187305793807278	0.5155711128518945	0.32021287025644085	0.32026882689415237	0.3191436489688984	0.23512339041013294	0.28294726465138026	0.28879965141642383	0.22435682868383433	0.3229458838256117	0.23383259831346792	0.24203734644426056	0.22875995996710657	0.24184773478217714	0.23015240228329167	0.2109584680870387
F23HpA	0.2551400845823939	0.193201134779452	0.0	0.07055292040854821	0.06851786816067316	0.18354170739198372	0.2850994173101511	0.37538337630656027	0.34066279337671646	0.3106071367171933	0.3539234367453936	0.3534860370359101	0.40370263434893083	0.3938919116387144	0.40410347954455383	0.49192217927479387	0.46374550267632275	0.46373479017910235	0.32485601359193617	0.3265143955224371	0.48577665167181405	0.36416122631907877	0.38227555386197465	0.473725994486366	0.473755238532129	0.4696440323028853	0.5301787226531375	0.49082944369619796	0.4876699771673647	0.29231173457191106	0.2923676912096226	0.29124251328436856	0.20722225472560313	0.2550461289668504	0.26089851573189404	0.19645569299930452	0.29504474814108184	0.2683960245628713	0.27660077269366395	0.26332338621650997	0.27641116103158053	0.26471582853269504	0.2455218943364421
s32pp	0.32569100498994197	0.2637520551870001	0.07055292040854821	0.0	0.08023595640096859	0.2540926277995319	0.35565033771769927	0.44593429671410845	0.41121371378426463	0.3811580571247415	0.42447435715294174	0.42403695744345826	0.47425355475647896	0.4644428320462626	0.47465439995210196	0.5624730996823419	0.5342964230838709	0.5342857105866505	0.3954069339994843	0.3970653159299853	0.5563275720793622	0.43471214672662695	0.4528264742695228	0.5442769148939142	0.5443061589396772	0.5401949527104335	0.6007296430606857	0.561380364103746	0.5582208975749128	0.3628626549794592	0.3629186116171707	0.36179343369191674	0.27777317513315125	0.3255970493743986	0.33144943613944217	0.26700661340685267	0.36559566854863	0.33894694497041944	0.3471516931012121	0.3338743066240581	0.34696208143912866	0.33526674894024316	0.31607281474399024
s24H1	0.32365595274206693	0.2617170029391251	0.06851786816067316	0.08023595640096859	0.0	0.2520575755516568	0.35361528546982424	0.4438992444662334	0.4091786615363896	0.37912300487686645	0.4224393049050667	0.4220019051955832	0.4722185025086039	0.46240777979838754	0.4726193477042269	0.560438047434467	0.5322613708359959	0.5322506583387754	0.39337188175160925	0.39503026368211025	0.5542925198314872	0.4326770944787519	0.4507914220216478	0.5422418626460391	0.5422711066918021	0.5381599004625585	0.5986945908128105	0.5593453118558711	0.5561858453270379	0.36082760273158415	0.36088355936929567	0.3597583814440417	0.2757381228852762	0.32356199712652356	0.32941438389156713	0.26497156115897763	0.363560616300755	0.3369118927225444	0.34511664085333704	0.33183925437618306	0.3449270291912536	0.33323169669236813	0.3140377624961152
s4pp	0.3587611963624112	0.29682224655946937	0.18354170739198372	0.2540926277995319	0.2520575755516568	0.0	0.3887205290901685	0.4790044880865777	0.4442839051567339	0.41422824849721074	0.457544548525411	0.4571071488159275	0.5073237461289481	0.4975130234187318	0.5077245913245712	0.5955432910548113	0.5673666144563402	0.5673559019591197	0.42847712537195354	0.43013550730245453	0.5893977634518315	0.4677823380990962	0.4858966656419921	0.5773471062663834	0.5773763503121464	0.5732651440829027	0.6337998344331548	0.5944505554762154	0.5912910889473821	0.39593284635192844	0.39598880298963995	0.394863625064386	0.3108433665056205	0.35866724074686784	0.3645196275119114	0.3000768047793219	0.39866585992109926	0.3720171363428887	0.3802218844736813	0.36694449799652734	0.3800322728115979	0.3683369403127124	0.3491430061164595
S2Hp	0.3749395027976228	0.31300055299468094	0.2850994173101511	0.35565033771769927	0.35361528546982424	0.3887205290901685	0.0	0.12907130797796332	0.0943507250481195	0.24220141823447397	0.28551771826267425	0.28508031855319077	0.33529691586621146	0.32548619315599503	0.33569776106183447	0.4235164607920745	0.3953397841936034	0.395329071696383	0.2564502951092168	0.2581086770397178	0.4173709331890947	0.2957555078363594	0.31386983537925534	0.4053202760036466	0.4053495200494096	0.40123831382016595	0.4617730041704181	0.4224237252134786	0.41926425868464534	0.3044579775214612	0.3045139341591727	0.3033887562339187	0.29246713584451234	0.3402910100857597	0.34614339685080325	0.28170057411821375	0.3802896292599911	0.38819544277810025	0.3964001909088929	0.3831228044317389	0.39621057924680947	0.384515246747924	0.36532131255167105
31300	0.46522346179403207	0.40328451199109017	0.37538337630656027	0.44593429671410845	0.4438992444662334	0.4790044880865777	0.12907130797796332	0.0	0.0452688499174189	0.3324853772308831	0.37580167725908337	0.3753642775495999	0.4255808748626206	0.4157701521524042	0.42598172005824364	0.5138004197884836	0.48562374319001256	0.4856130306927921	0.34673425410562597	0.3483926360361269	0.5076548921855039	0.3860394668327686	0.40415379437566445	0.4956042350000558	0.4956334790458188	0.4915222728165751	0.5520569631668273	0.5127076842098877	0.5095482176810544	0.3947419365178703	0.39479789315558184	0.3936727152303279	0.3827510948409215	0.43057496908216886	0.43642735584721243	0.37198453311462293	0.4705735882564003	0.4784794017745095	0.4866841499053021	0.47340676342814814	0.4864945382432187	0.4747992057443332	0.4556052715480803
S17H1	0.43050287886418825	0.36856392906124635	0.34066279337671646	0.41121371378426463	0.4091786615363896	0.4442839051567339	0.0943507250481195	0.0452688499174189	0.0	0.2977647943010393	0.3410810943292396	0.34064369461975613	0.3908602919327768	0.3810495692225604	0.3912611371283998	0.47907983685863986	0.45090316026016874	0.45089244776294835	0.31201367117578216	0.31367205310628316	0.47293430925566005	0.35131888390292476	0.3694332114458207	0.460883652070212	0.46091289611597497	0.4568016898867313	0.5173363802369835	0.47798710128004396	0.4748276347512107	0.36002135358802656	0.3600773102257381	0.35895213230048406	0.3480305119110777	0.39585438615232504	0.4017067729173686	0.3372639501847791	0.43585300532655646	0.44375881884466567	0.4519635669754583	0.4386861804983043	0.4517739553133749	0.4400786228144894	0.42088468861823647
S28Hp	0.4004472222046651	0.3385082724017232	0.3106071367171933	0.3811580571247415	0.37912300487686645	0.41422824849721074	0.24220141823447397	0.3324853772308831	0.2977647943010393	0.0	0.04495321942710741	0.04451581971762394	0.18708165559767848	0.1772709328874621	0.1874825007933015	0.27530120052354146	0.24712452392507045	0.24711381142785002	0.23696961388663426	0.23862799581713526	0.3978902519665122	0.2762748266137769	0.29438915415667277	0.3858395947810641	0.3858688388268271	0.38175763259758344	0.44229232294783555	0.40294304399089603	0.3997835774620628	0.32996569692850336	0.3300216535662149	0.3288964756409609	0.31797485525155456	0.3657987294928019	0.37165111625784547	0.30720829352525597	0.4057973486670333	0.4137031621851425	0.42190791031593516	0.4086305238387812	0.42171829865385174	0.41002296615496625	0.3908290319587133
