	s29pp	F7H1	S3Hp	s14pp	s1pp	s30pp	s2pp	S20H1	F16H1	s3pp	s17pp	s22pp	S26Hp	F22HpB	s27pp	s24pp	S9H1	31300
s29pp	0.0	0.21493911759429912	0.23254524252734138	0.3937758042728395	0.6530161657150044	0.6530122028387473	0.6423938316031709	0.6875863602293946	0.6768466239440669	0.6480571066914423	0.6285748438900064	0.6290796661163831	0.6855546795168043	0.8301492356011083	0.5889840432733997	0.5485059259972697	0.2652643611799514	0.11837439748955536
F7H1	0.21493911759429912	0.0	0.14597098416215182	0.36398580513001044	0.6232261665721753	0.6232222036959182	0.6126038324603418	0.6577963610865655	0.6470566248012378	0.6182671075486132	0.5987848447471773	0.599289666973554	0.6557646803739752	0.8003592364582792	0.5591940441305706	0.5187159268544406	0.23547436203712235	0.1877894898915898
S3Hp	0.23254524252734138	0.14597098416215182	0.0	0.3815919300630527	0.6408322915052177	0.6408283286289606	0.6302099573933841	0.6754024860196078	0.6646627497342802	0.6358732324816556	0.6163909696802197	0.6168957919065964	0.6733708053070175	0.8179653613913216	0.576800169063613	0.5363220517874829	0.25308048697016466	0.2053956148246321
s14pp	0.3937758042728395	0.36398580513001044	0.3815919300630527	0.0	0.30302554175209123	0.3030215788758341	0.29240320764025773	0.3375957362664814	0.3268559999811538	0.2980664827285292	0.27858421992709326	0.27908904215346997	0.554806372879246	0.6994009289635501	0.45823573663584144	0.4177576193597114	0.3092708680549411	0.36662617657013014
s1pp	0.6530161657150044	0.6232261665721753	0.6408322915052177	0.30302554175209123	0.0	0.006700516145325644	0.02722775214483695	0.07242028077106065	0.061680544485733	0.04343201145126019	0.06422203572257147	0.06472685794894821	0.8140467343214108	0.958641290405715	0.7174760980780064	0.6769979808018763	0.5685112294971061	0.6258665380122951
s30pp	0.6530122028387473	0.6232222036959182	0.6408283286289606	0.3030215788758341	0.006700516145325644	0.0	0.02722378926857981	0.07241631789480352	0.06167658160947586	0.04342804857500305	0.06421807284631433	0.06472289507269106	0.8140427714451537	0.9586373275294578	0.7174721352017492	0.6769940179256192	0.5685072666208489	0.6258625751360379
s2pp	0.6423938316031709	0.6126038324603418	0.6302099573933841	0.29240320764025773	0.02722775214483695	0.02722378926857981	0.0	0.04718995661836178	0.036450220333034127	0.032809677339426684	0.05359970161073796	0.0541045238371147	0.8034244002095774	0.9480189562938814	0.7068537639661728	0.6663756466900428	0.5578888953852725	0.6152442039004615
S20H1	0.6875863602293946	0.6577963610865655	0.6754024860196078	0.3375957362664814	0.07242028077106065	0.07241631789480352	0.04718995661836178	0.0	0.022815938870883512	0.07800220596565038	0.09879223023696167	0.0992970524633384	0.848616928835801	0.9932114849201051	0.7520462925923965	0.7115681753162665	0.6030814240114961	0.6604367325266852
F16H1	0.6768466239440669	0.6470566248012378	0.6646627497342802	0.3268559999811538	0.061680544485733	0.06167658160947586	0.036450220333034127	0.022815938870883512	0.0	0.06726246968032273	0.08805249395163402	0.08855731617801076	0.8378771925504733	0.9824717486347775	0.7413065563070689	0.7008284390309388	0.5923416877261685	0.6496969962413576
s3pp	0.6480571066914423	0.6182671075486132	0.6358732324816556	0.2980664827285292	0.04343201145126019	0.04342804857500305	0.032809677339426684	0.07800220596565038	0.06726246968032273	0.0	0.05926297669900943	0.05976779892538617	0.8090876752978489	0.9536822313821529	0.7125170390544443	0.6720389217783143	0.563552170473544	0.620907478988733
s17pp	0.6285748438900064	0.5987848447471773	0.6163909696802197	0.27858421992709326	0.06422203572257147	0.06421807284631433	0.05359970161073796	0.09879223023696167	0.08805249395163402	0.05926297669900943	0.0	0.0005068222273767946	0.7896054124964129	0.934199968580717	0.6930347762530084	0.6525566589768783	0.544069907672108	0.601425216187297
s22pp	0.6290796661163831	0.599289666973554	0.6168957919065964	0.27908904215346997	0.06472685794894821	0.06472289507269106	0.0541045238371147	0.0992970524633384	0.08855731617801076	0.05976779892538617	0.0005068222273767946	0.0	0.7901102347227895	0.9347047908070937	0.6935395984793851	0.653061481203255	0.5445747298984848	0.6019300384136738
