	s17pp	S7Hp	S28Hp	S31Hp	31700	S11Hp	F8H1	S16H2	S21H1	31236	s32pp	s12pp	S8Hp	F1H1	S25Hp	s19pp	w30pp	s4pp	s9pp
s17pp	0.0	0.532985242736504	0.9567893056187914	0.8971508454521265	0.7199721582415319	0.4396569078199427	0.6340693171369025	0.4959989034452229	0.48629692389369084	0.45399246227234247	0.43245646273372407	0.5038750838427297	0.5819354584375811	0.4949104919038666	0.278720617732607	0.2356958512730638	0.024907047992785456	0.0220834406511459	0.03204823582874274
S7Hp	0.532985242736504	0.0	0.5959122325704094	0.5362737724037445	0.35909508519315	0.23125283081925835	0.4721221230695549	0.3340517093778753	0.32434972982634325	0.3251530980697943	0.32720562567704414	0.3986242467860499	0.4766846213809013	0.3896596548471868	0.3783278682886827	0.6721291456631122	0.5345195777854573	0.5316959704438178	0.5650314785642467
S28Hp	0.9567893056187914	0.5959122325704094	0.0	0.493619545970334	0.6187348514294995	0.6550568937015455	0.8959261859518421	0.7578557722601625	0.7481537927086304	0.7489571609520815	0.7510096885593314	0.8224283096683371	0.9004886842631885	0.813463717729474	0.80213193117097	1.0959332085453997	0.9583236406677447	0.9555000333261051	0.9888355414465341
S31Hp	0.8971508454521265	0.5362737724037445	0.493619545970334	0.0	0.5590963912628345	0.5954184335348807	0.8362877257851773	0.6982173120934977	0.6885153325419655	0.6893187007854167	0.6913712283926665	0.7627898495016723	0.8408502240965237	0.7538252575628092	0.7424934710043052	1.0362947483787348	0.8986851805010798	0.8958615731594403	0.9291970812798692
31700	0.7199721582415319	0.35909508519315	0.6187348514294995	0.5590963912628345	0.0	0.4182397463242862	0.6591090385745827	0.5210386248829031	0.511336645331371	0.5121400135748221	0.514192541182072	0.5856111622910777	0.6636715368859292	0.5766465703522146	0.5653147837937106	0.8591160611681401	0.7215064932904852	0.7186828859488457	0.7520183940692746
S11Hp	0.4396569078199427	0.23125283081925835	0.6550568937015455	0.5954184335348807	0.4182397463242862	0.0	0.37879378815299347	0.24072337446131395	0.23102139490978182	0.23182476315323292	0.23387729076048278	0.30529591186948846	0.3833562864643399	0.2963313199306254	0.2849995333721213	0.5788008107465509	0.441191242868896	0.43836763552725644	0.4717031436476854
F8H1	0.6340693171369025	0.4721221230695549	0.8959261859518421	0.8362877257851773	0.6591090385745827	0.37879378815299347	0.0	0.3331990016279765	0.3234970220764444	0.4262371724701927	0.4282897000774426	0.49970832118644826	0.5777686957812997	0.4907437292475852	0.4794119426890811	0.7732132200635107	0.6356036521858558	0.6327800448442162	0.6661155529646452
S16H2	0.4959989034452229	0.3340517093778753	0.7578557722601625	0.6982173120934977	0.5210386248829031	0.24072337446131395	0.3331990016279765	0.0	0.013820484834999243	0.28816675877851317	0.290219286385763	0.3616379074947687	0.43969828208962014	0.35267331555590564	0.34134152899740156	0.6351428063718311	0.4975332384941762	0.49470963115253663	0.5280451392729656
S21H1	0.48629692389369084	0.32434972982634325	0.7481537927086304	0.6885153325419655	0.511336645331371	0.23102139490978182	0.3234970220764444	0.013820484834999243	0.0	0.27846477922698104	0.2805173068342309	0.3519359279432366	0.42999630253808796	0.34297133600437346	0.33163954944586943	0.625440826820299	0.4878312589426441	0.48500765160100456	0.5183431597214335
31236	0.45399246227234247	0.3251530980697943	0.7489571609520815	0.6893187007854167	0.5121400135748221	0.23182476315323292	0.4262371724701927	0.28816675877851317	0.27846477922698104	0.0	0.24821284521288256	0.31963146632188827	0.3976918409167397	0.3106668743830252	0.2993350878245211	0.5931363651989506	0.45552679732129575	0.4527031899796562	0.48603869810008515
s32pp	0.43245646273372407	0.32720562567704414	0.7510096885593314	0.6913712283926665	0.514192541182072	0.23387729076048278	0.4282897000774426	0.290219286385763	0.2805173068342309	0.24821284521288256	0.0	0.22304971015489955	0.30111008474975093	0.21408511821603643	0.27779908828590266	0.5716003656603322	0.43399079778267735	0.4311671904410378	0.46450269856146675
s12pp	0.5038750838427297	0.3986242467860499	0.8224283096683371	0.7627898495016723	0.5856111622910777	0.30529591186948846	0.49970832118644826	0.3616379074947687	0.3519359279432366	0.31963146632188827	0.22304971015489955	0.0	0.24157611761352024	0.23640099357462516	0.34921770939490837	0.6430189867693379	0.505409418891683	0.5025858115500434	0.5359213196704724
S8Hp	0.5819354584375811	0.4766846213809013	0.9004886842631885	0.8408502240965237	0.6636715368859292	0.3833562864643399	0.5777686957812997	0.43969828208962014	0.42999630253808796	0.3976918409167397	0.30111008474975093	0.24157611761352024	0.0	0.31446136816947656	0.42727808398975975	0.7210793613641893	0.5834697934865344	0.5806461861448948	0.6139816942653238
F1H1	0.4949104919038666	0.3896596548471868	0.813463717729474	0.7538252575628092	0.5766465703522146	0.2963313199306254	0.4907437292475852	0.35267331555590564	0.34297133600437346	0.3106668743830252	0.21408511821603643	0.23640099357462516	0.31446136816947656	0.0	0.34025311745604525	0.6340543948304748	0.4964448269528199	0.49362121961118033	0.5269567277316093
S25Hp	0.278720617732607	0.3783278682886827	0.80213193117097	0.7424934710043052	0.5653147837937106	0.2849995333721213	0.4794119426890811	0.34134152899740156	0.33163954944586943	0.2993350878245211	0.27779908828590266	0.34921770939490837	0.42727808398975975	0.34025311745604525	0.0	0.41786452065921514	0.28025495278156026	0.2774313454399207	0.31076685356034967
s19pp	0.2356958512730638	0.6721291456631122	1.0959332085453997	1.0362947483787348	0.8591160611681401	0.5788008107465509	0.7732132200635107	0.6351428063718311	0.625440826820299	0.5931363651989506	0.5716003656603322	0.6430189867693379	0.7210793613641893	0.6340543948304748	0.41786452065921514	0.0	0.23723018632201712	0.23440657898037756	0.2677420871008065
w30pp	0.024907047992785456	0.5345195777854573	0.9583236406677447	0.8986851805010798	0.7215064932904852	0.441191242868896	0.6356036521858558	0.4975332384941762	0.4878312589426441	0.45552679732129575	0.43399079778267735	0.505409418891683	0.5834697934865344	0.4964448269528199	0.28025495278156026	0.23723018632201712	0.0	0.0028256073426396184	0.05695328382052814
