	s15pp	s17pp	s23pp	s26pp	s12pp	s27pp	s32pp	S6Hp	s2pp	s10pp	s28pp	s25pp	s19pp	F16H1	S1Hp	s29pp	S30H1	F29H1	F14H1B	F23HpA	S27H1	S17H1	s24pp	S26Hp	S13Hp	S28Hp	S16H2	F22HpB	F1H1	F22H1A	S22Hp	S4Hp	s21pp	s24H1	F8H1	S8Hp	S2Hp	S12Hp	S11Hp	F32H1	31450	S21H1	F6H1	S20H1	S10H1	S7Hp	S15Hp	S31Hp	S25Hp	S23Hp	S19H1	F14H1A	31360	530394	31343	w30pp
s15pp	0.0	0.018451575982660992	0.006417467296237864	0.006996836312148997	0.1890037858008986	0.1907901213245271	0.18971259454985562	0.21223721781772648	0.19404854104826552	0.21583844944700664	0.13671652163799908	0.2453241382297005	0.2604509699376194	0.36332497852601947	0.39316580803053713	0.29560453470221787	0.3319653413826922	0.32916782925013743	0.39655230324893814	0.4079393891675888	0.421215625521771	0.42075795653123654	0.4198913418268402	0.3517733207402987	0.6684218533087717	0.5428941393014092	0.6660542156149137	0.6806868476767762	0.6443358697438811	0.6579342242778579	0.7267599698893872	0.755107087943801	0.7617906395864384	0.7475883415129707	0.6941834543585582	0.8153418752929865	0.7537038605237255	0.6640555033251638	0.7478104499941283	0.7489349907143826	0.7506447946070921	0.7147876406741632	0.7138833329888595	0.712459035984535	0.7477294764635244	0.4225548830984619	0.3415028757458575	0.38620631148234547	0.3972462067482294	0.4210400323951474	0.39917888365340565	0.3922885713239696	0.42134184695863774	0.3602502154503258	0.34247281601823637	0.04178796292752839
s17pp	0.018451575982660992	0.0	0.013612710132068075	0.01604641966116048	0.20105361188869034	0.20283994741231887	0.20176242063764738	0.2242870439055182	0.20609836713605728	0.22788827553479837	0.14876634772579084	0.25737396431749227	0.27250079602541116	0.37537480461381123	0.40521563411832884	0.30765436079000963	0.3440151674704839	0.34121765533792914	0.4086021293367299	0.4199892152553806	0.43326545160956276	0.4328077826190283	0.4319411679146319	0.36382314682809047	0.6804716793965634	0.5549439653892009	0.6781040417027054	0.6927366737645679	0.6563856958316728	0.6699840503656496	0.7388097959771789	0.7671569140315927	0.7738404656742301	0.7596381676007624	0.7062332804463499	0.8273917013807782	0.7657536866115172	0.6761053294129555	0.75986027608192	0.7609848168021743	0.7626946206948838	0.7268374667619549	0.7259331590766512	0.7245088620723267	0.7597793025513161	0.4346047091862536	0.3535527018336493	0.3982561375701372	0.4092960328360211	0.4330898584829391	0.4112287097411974	0.40433839741176136	0.43339167304642945	0.3723000415381176	0.35452264210602813	0.05383778901532014
s23pp	0.006417467296237864	0.013612710132068075	0.0	0.004012310974737351	0.1890195032022672	0.19080583872589574	0.18972831195122425	0.21225293521909508	0.19406425844963415	0.21585416684837525	0.1367322390393677	0.2453398556310691	0.26046668733898803	0.36334069592738805	0.39318152543190577	0.29562025210358645	0.3319810587840608	0.32918354665150606	0.3965680206503067	0.4079551065689574	0.4212313429231396	0.4207736739326051	0.4199070592282088	0.3517890381416673	0.6684375707101403	0.5429098567027778	0.6660699330162824	0.6807025650781449	0.6443515871452498	0.6579499416792265	0.7267756872907558	0.7551228053451696	0.7618063569878071	0.7476040589143393	0.6941991717599268	0.8153575926943551	0.7537195779250941	0.6640712207265325	0.7478261673954969	0.7489507081157513	0.7506605120084607	0.7148033580755319	0.7138990503902282	0.7124747533859036	0.747745193864893	0.42257060049983053	0.3415185931472261	0.38622202888371404	0.39726192414959804	0.42105574979651605	0.3991946010547742	0.3923042887253382	0.4213575643600064	0.3602659328516944	0.34248853341960495	0.04180368032889701
s26pp	0.006996836312148997	0.01604641966116048	0.004012310974737351	0.0	0.18959887221817834	0.19138520774180687	0.19030768096713538	0.2128323042350062	0.19464362746554528	0.21643353586428637	0.1373116080552788	0.24591922464698024	0.2610460563548992	0.3639200649432992	0.39376089444781687	0.2961996211194976	0.3325604277999719	0.32976291566741717	0.3971473896662179	0.40853447558486855	0.42181071193905073	0.4213530429485163	0.4204864282441199	0.35236840715757844	0.6690169397260515	0.543489225718689	0.6666493020321935	0.6812819340940559	0.6449309561611609	0.6585293106951375	0.7273550563066669	0.7557021743610808	0.7623857260037181	0.7481834279302504	0.694778540775838	0.8159369617102663	0.7542989469410053	0.6646505897424435	0.748405536411408	0.7495300771316624	0.7512398810243719	0.715382727091443	0.7144784194061393	0.7130541224018148	0.7483245628808042	0.42314996951574163	0.34209796216313726	0.3868013978996252	0.39784129316550915	0.42163511881242716	0.3997739700706854	0.39288365774124934	0.4219369333759175	0.36084530186760555	0.3430679024355161	0.04238304934480814
s12pp	0.1890037858008986	0.20105361188869034	0.1890195032022672	0.18959887221817834	0.0	0.06039156616283733	0.05931403938816583	0.08183866265603668	0.06364998588657575	0.08543989428531684	0.07078517474438413	0.24155261455681926	0.25667944626473815	0.3595534548531382	0.3893942843576559	0.2918330110293366	0.3281938177098109	0.3253963055772562	0.3927807795760569	0.40416786549470757	0.41744410184888975	0.4169864328583553	0.41611981815395893	0.34800179706741746	0.6646503296358904	0.5391226156285279	0.6622826919420325	0.676915324003895	0.6405643460709999	0.6541627006049766	0.7229884462165059	0.7513355642709197	0.7580191159135572	0.7438168178400895	0.690411930685677	0.8115703516201053	0.7499323368508443	0.6602839796522826	0.744038926321247	0.7451634670415014	0.7468732709342109	0.711016117001282	0.7101118093159783	0.7086875123116537	0.7439579527906431	0.41878335942558065	0.3377313520729762	0.3824347878094642	0.39347468307534816	0.4172685087222662	0.3954073599805244	0.38851704765108835	0.4175703232857565	0.35647869177744457	0.3387012923453551	0.15467210451510027
s27pp	0.1907901213245271	0.20283994741231887	0.19080583872589574	0.19138520774180687	0.06039156616283733	0.0	0.001712163409654661	0.024236786677525504	0.006048109908064576	0.043109412034204986	0.07257151026801266	0.24333895008044776	0.2584657817883667	0.3613397903767667	0.3911806198812844	0.2936193465529651	0.32998015323343943	0.3271826411008847	0.3945671150996854	0.40595420101833607	0.41923043737251825	0.4187727683819838	0.41790615367758743	0.34978813259104596	0.6664366651595189	0.5409089511521564	0.664069027465661	0.6787016595275235	0.6423506815946284	0.6559490361286051	0.7247747817401344	0.7531218997945482	0.7598054514371857	0.745603153363718	0.6921982662093055	0.8133566871437338	0.7517186723744728	0.6620703151759111	0.7458252618448755	0.7469498025651299	0.7486596064578394	0.7128024525249105	0.7118981448396068	0.7104738478352822	0.7457442883142716	0.42056969494920915	0.3395176875966048	0.3842211233330927	0.39526101859897667	0.4190548442458947	0.3971936955041529	0.39030338317471686	0.419356658809385	0.35826502730107307	0.3404876278689836	0.1564584400387288
s32pp	0.18971259454985562	0.20176242063764738	0.18972831195122425	0.19030768096713538	0.05931403938816583	0.001712163409654661	0.0	0.0225266232688709	0.004337946499409973	0.0420318852595335	0.07149398349334117	0.24226142330577627	0.2573882550136952	0.36026226360209523	0.3901030931066129	0.29254181977829363	0.32890262645876794	0.3261051143262132	0.3934895883250139	0.4048766742436646	0.41815291059784676	0.4176952416073123	0.41682862690291594	0.3487106058163745	0.6653591383848475	0.539831424377485	0.6629915006909896	0.677624132752852	0.641273154819957	0.6548715093539337	0.723697254965463	0.7520443730198768	0.7587279246625143	0.7445256265890465	0.691120739434634	0.8122791603690623	0.7506411455998013	0.6609927884012397	0.7447477350702041	0.7458722757904584	0.7475820796831679	0.711724925750239	0.7108206180649354	0.7093963210606108	0.7446667615396002	0.41949216817453766	0.3384401608219333	0.38314359655842123	0.3941834918243052	0.4179773174712232	0.3961161687294814	0.38922585640004537	0.4182791320347135	0.3571875005264016	0.33941010109431213	0.1553809132640573
S6Hp	0.21223721781772648	0.2242870439055182	0.21225293521909508	0.2128323042350062	0.08183866265603668	0.024236786677525504	0.0225266232688709	0.0	0.02437975891526666	0.06455650852740434	0.094018606761212	0.2647860465736471	0.279912878281566	0.3827868868699661	0.41262771637448376	0.3150664430461645	0.35142724972663875	0.34862973759408405	0.41601421159288476	0.42740129751153544	0.4406775338657176	0.44021986487518316	0.4393532501707868	0.37123522908424533	0.6878837616527183	0.5623560476453557	0.6855161239588603	0.7001487560207228	0.6637977780878277	0.6773961326218044	0.7462218782333337	0.7745689962877476	0.781252547930385	0.7670502498569173	0.7136453627025048	0.8348037836369331	0.7731657688676721	0.6835174116691104	0.7672723583380748	0.7683968990583292	0.7701067029510387	0.7342495490181098	0.7333452413328061	0.7319209443284815	0.767191384807471	0.4420167914424085	0.3609647840898041	0.4056682198262921	0.41670811509217603	0.44050194073909404	0.41864079199735227	0.4117504796679162	0.44080375530258437	0.37971212379427244	0.361934724362183	0.17790553653192814
s2pp	0.19404854104826552	0.20609836713605728	0.19406425844963415	0.19464362746554528	0.06364998588657575	0.006048109908064576	0.004337946499409973	0.02437975891526666	0.0	0.046367831757943415	0.07582992999175107	0.24659736980418617	0.2617242015121051	0.36459821010050514	0.3944390396050228	0.29687776627670354	0.33323857295717785	0.3304410608246231	0.3978255348234238	0.4092126207420745	0.42248885709625666	0.4220311881057222	0.42116457340132585	0.3530465523147844	0.6696950848832574	0.5441673708758948	0.6673274471893994	0.6819600792512619	0.6456091013183668	0.6592074558523435	0.7280332014638728	0.7563803195182867	0.7630638711609241	0.7488615730874564	0.6954566859330439	0.8166151068674722	0.7549770920982112	0.6653287348996495	0.7490836815686139	0.7502082222888683	0.7519180261815778	0.7160608722486489	0.7151565645633452	0.7137322675590206	0.7490027080380101	0.42382811467294756	0.3427761073203432	0.38747954305683113	0.3985194383227151	0.4223132639696331	0.4004521152278913	0.39356180289845527	0.4226150785331234	0.3615234470248115	0.34374604759272204	0.15971685976246722
s10pp	0.21583844944700664	0.22788827553479837	0.21585416684837525	0.21643353586428637	0.08543989428531684	0.043109412034204986	0.0420318852595335	0.06455650852740434	0.046367831757943415	0.0	0.09761983839049218	0.2683872782029273	0.28351410991084625	0.38638811849924626	0.4162289480037639	0.31866767467544466	0.3550284813559189	0.3522309692233642	0.41961544322216493	0.4310025291408156	0.4442787654949978	0.44382109650446333	0.44295448180006697	0.3748364607135255	0.6914849932819984	0.5659572792746359	0.6891173555881405	0.7037499876500031	0.6673990097171079	0.6809973642510847	0.749823109862614	0.7781702279170277	0.7848537795596653	0.7706514814861976	0.717246594331785	0.8384050152662132	0.7767670004969522	0.6871186432983907	0.7708735899673551	0.7719981306876094	0.7737079345803188	0.73785078064739	0.7369464729620863	0.7355221759577617	0.7707926164367511	0.4456180230716887	0.3645660157190843	0.40926945145557225	0.4203093467214562	0.4441031723683742	0.42224202362663243	0.4153517112971964	0.44440498693186453	0.3833133554235526	0.36553595599146316	0.1815067681612083
