	f1pp	f30pp	f3pp	f8pp	f28pp	f12ppA	f12ppB	f22ppA	f22ppB	f31pp	f24pp	f26pp	f29pp	f11pp	f25pp	f16ppA	f16ppB	f2pp	f7pp	f23ppA	f23ppB	f18pp	f32pp	f6ppB	f20ppB	f6ppA	f10pp	f4pp	f13pp	f15pp	f21pp	f14ppB	f19pp	f14ppA	f9pp	f17ppA	w17pp
f1pp	0.0	0.011451661731220707	0.03521194288955087	0.0785457368119632	0.10255537217588051	0.36832561439384315	0.36261159771749113	0.3264714889228737	0.3264714889228737	0.3016658300661757	0.29136491150319793	0.503357162934646	1.258654334191647	1.5501940057031753	1.508389982251813	1.5069196812497323	1.5162035351504066	0.2462510118891093	0.29705592843845136	0.29559487813924507	0.2968510425117239	0.20386123377907484	0.19771016440880063	0.19771116440930064	0.19771116440930064	0.19940593172637688	0.016402471560388564	0.013760161536202076	0.02465450158249188	0.025395279930945123	0.015285164799215557	0.029012552768567616	0.028534778646343455	0.018695896400428593	0.01580033874486196	0.01580033874486196	0.01930898244113765
f30pp	0.011451661731220707	0.0	0.027385564835000535	0.07071935875741285	0.09472899412133017	0.3604992363392928	0.3547852196629408	0.31864511086832337	0.31864511086832337	0.29383945201162537	0.2835385334486476	0.49553078488009566	1.2508279561370965	1.542367627648625	1.5005636041972625	1.4990933031951819	1.5083771570958562	0.23842463383455897	0.289229550383901	0.28776850008469473	0.28902466445717356	0.1960348557245245	0.1898837863542503	0.1898847863547503	0.1898847863547503	0.19157955367182655	0.008576093505838227	0.005933783481651741	0.016828123527941545	0.017568901876394788	0.007458786744665222	0.021186174714017285	0.020708400591793123	0.010869518345878258	0.007973960690311624	0.007973960690311624	0.011482604386587315
f3pp	0.03521194288955087	0.027385564835000535	0.0	0.050600246812106335	0.07460988217602364	0.3403801243939863	0.3346661077176343	0.29852599892301684	0.29852599892301684	0.27372034006631885	0.2634194215033411	0.47541167293478914	1.2307088441917902	1.5222485157033185	1.4804444922519562	1.4789741912498755	1.4882580451505498	0.21830552188925242	0.2691104384385945	0.2676493881393882	0.26890555251186704	0.17591574377921795	0.16976467440894374	0.16976567440944376	0.16976567440944376	0.17146044172652	0.023557802502421073	0.021926519241026697	0.036118566907975456	0.0368593452564287	0.026749230124699135	0.040476618094051196	0.039998843971827035	0.030159961725912173	0.028353316016892106	0.028353316016892106	0.0318619597131678
f8pp	0.0785457368119632	0.07071935875741285	0.050600246812106335	0.0	0.03235777697664708	0.29812801919460974	0.2924140025182577	0.2562738937236403	0.2562738937236403	0.23146823486694232	0.22116731630396455	0.4331595677354126	1.1884567389924134	1.4799964105039418	1.4381923870525795	1.4367220860504988	1.446005939951173	0.17605341668987587	0.22685833323921797	0.22539728294001168	0.2266534473124905	0.1336636385798414	0.12751256920956716	0.12751356921006718	0.12751356921006718	0.12920833652714342	0.0668915964248334	0.06526031316343903	0.07945236083038779	0.08019313917884102	0.07008302404711146	0.08381041201646353	0.08333263789423936	0.0734937556483245	0.07168710993930444	0.07168710993930444	0.07519575363558012
f28pp	0.10255537217588051	0.09472899412133017	0.07460988217602364	0.03235777697664708	0.0	0.2676798000254454	0.2619657833490934	0.22582567455447597	0.22582567455447597	0.20102001569777797	0.1907190971348002	0.40271134856624824	1.158008519823249	1.4495481913347774	1.407744167883415	1.4062738668813344	1.4155577207820087	0.14560519752071152	0.19641011407005363	0.19494906377084734	0.19620522814332617	0.10321541941067705	0.09706435004040281	0.09706535004090285	0.09706535004090285	0.09876011735797907	0.09090123178875072	0.08926994852735634	0.1034619961943051	0.10420277454275834	0.09409265941102878	0.10782004738038084	0.10734227325815668	0.09750339101224181	0.09569674530322175	0.09569674530322175	0.09920538899949743
f12ppA	0.36832561439384315	0.3604992363392928	0.3403801243939863	0.29812801919460974	0.2676798000254454	0.0	0.00994169654219419	0.3914780229351431	0.3914780229351431	0.3666723640784451	0.35637144551546734	0.5683636969469155	1.3236608682039162	1.6152005397154445	1.5733965162640824	1.5719262152620015	1.581210069162676	0.31125754590137866	0.3620624624507208	0.3606014121515145	0.3618575765239933	0.28861763283548814	0.2824665634652139	0.28246756346571394	0.28246756346571394	0.2841623307827902	0.3566714740067134	0.355040190745319	0.36923223841226777	0.369973016760721	0.3598629016289914	0.3735902895983435	0.37311251547611934	0.36327363323020445	0.3614669875211844	0.3614669875211844	0.36497563121746013
f12ppB	0.36261159771749113	0.3547852196629408	0.3346661077176343	0.2924140025182577	0.2619657833490934	0.00994169654219419	0.0	0.38576400625879115	0.38576400625879115	0.3609583474020931	0.3506574288391153	0.5626496802705634	1.3179468515275643	1.6094865230390927	1.5676824995877303	1.5662121985856496	1.575496052486324	0.3055435292250267	0.3563484457743688	0.35488739547516246	0.35614355984764134	0.2829036161591362	0.2767525467888619	0.2767535467893619	0.2767535467893619	0.27844831410643817	0.3509574573303614	0.349326174068967	0.36351822173591575	0.36425900008436896	0.3541488849526394	0.3678762729219915	0.3673984987997673	0.35755961655385243	0.3557529708448324	0.3557529708448324	0.3592616145411081
f22ppA	0.3264714889228737	0.31864511086832337	0.29852599892301684	0.2562738937236403	0.22582567455447597	0.3914780229351431	0.38576400625879115	0.0	2.00000100005818e-06	0.09138051654376544	0.08107959798078766	0.49273416448642876	1.2480313357434296	1.539571007254958	1.4977669838035956	1.496296682801515	1.5055805367021893	0.23562801344089201	0.2864329299902342	0.28497187969102783	0.28622804406350666	0.24676350736451869	0.24061243799424448	0.2406134379947445	0.2406134379947445	0.24230820531182073	0.31481734853574395	0.31318606527434956	0.3273781129412983	0.3281188912897515	0.318008776158022	0.33173616412737406	0.3312583900051499	0.321419507759235	0.31961286205021494	0.31961286205021494	0.3231215057464907
f22ppB	0.3264714889228737	0.31864511086832337	0.29852599892301684	0.2562738937236403	0.22582567455447597	0.3914780229351431	0.38576400625879115	2.00000100005818e-06	0.0	0.09138051654376544	0.08107959798078766	0.49273416448642876	1.2480313357434296	1.539571007254958	1.4977669838035956	1.496296682801515	1.5055805367021893	0.23562801344089201	0.2864329299902342	0.28497187969102783	0.28622804406350666	0.24676350736451869	0.24061243799424448	0.2406134379947445	0.2406134379947445	0.24230820531182073	0.31481734853574395	0.31318606527434956	0.3273781129412983	0.3281188912897515	0.318008776158022	0.33173616412737406	0.3312583900051499	0.321419507759235	0.31961286205021494	0.31961286205021494	0.3231215057464907
f31pp	0.3016658300661757	0.29383945201162537	0.27372034006631885	0.23146823486694232	0.20102001569777797	0.3666723640784451	0.3609583474020931	0.09138051654376544	0.09138051654376544	0.0	0.018502869336439846	0.46792850562973076	1.2232256768867318	1.5147653483982602	1.4729613249468976	1.4714910239448171	1.4807748778454912	0.21082235458419402	0.2616272711335361	0.26016622083432983	0.2614223852068087	0.2219578485078207	0.21580677913754648	0.2158077791380465	0.2158077791380465	0.21750254645512274	0.29001168967904595	0.28838040641765156	0.3025724540846003	0.3033132324330535	0.293203117301324	0.30693050527067606	0.3064527311484519	0.296613848902537	0.29480720319351694	0.29480720319351694	0.2983158468897927
f24pp	0.29136491150319793	0.2835385334486476	0.2634194215033411	0.22116731630396455	0.1907190971348002	0.35637144551546734	0.3506574288391153	0.08107959798078766	0.08107959798078766	0.018502869336439846	0.0	0.457627587066753	1.212924758323754	1.5044644298352823	1.46266040638392	1.4611901053818392	1.4704739592825136	0.20052143602121625	0.25132635257055835	0.24986530227135206	0.2511214666438309	0.21165692994484292	0.2055058605745687	0.20550686057506873	0.20550686057506873	0.20720162789214497	0.2797107711160682	0.2780794878546738	0.29227153552162255	0.29301231387007576	0.2829021987383462	0.2966295867076983	0.29615181258547413	0.28631293033955924	0.2845062846305392	0.2845062846305392	0.2880149283268149
