	S13Hp	s6pp	s28pp	S30H1	F23HpA	F22H1A	S29H1	S19H1	F29H1	s21pp	530050	F6H1	s19pp	S25Hp	S4Hp	S6Hp	F16H1	F32H1	S31Hp	s9pp	S10H1	S16H2	S12Hp	S22Hp	S27H1	31009	S17H1	S7Hp	S8Hp	S23Hp	S2Hp	S11Hp	S28Hp	F8H1	s14pp	S21H1	31749	S26Hp	s23pp	31343	s26pp	S15Hp	s32pp
S13Hp	0.0	0.024829209265873592	0.16099812425004167	0.03299315642430313	0.03449648795413793	0.4319814111136437	0.48752995902290286	0.34478606787152144	0.34111706359494903	0.32256853270867125	0.3764756060592419	0.3498196607947844	0.3725067003849607	0.3395871540951968	0.35943265406704084	0.7796559991039528	0.6902694210984146	0.3616895891155218	0.3223300928199246	0.39247098394223656	0.327594006492101	0.3613738156838053	0.4158251137360996	0.37167510965590933	0.3809304300433139	0.37604653523512654	0.31429639020689976	0.32386807565712644	0.34518987155482367	0.24184633901871064	0.23283797659935804	0.2107495587995123	0.21290519661289625	0.24218204067517718	0.32263702631921	0.3390246346795491	0.30272266112063345	0.26780409730716287	0.2758452219090643	0.25518424032250697	0.1337034879760967	0.06042449826535902	0.017107329622972255
s6pp	0.024829209265873592	0.0	0.14816782128141986	0.020162853455681307	0.021666184985516104	0.4320573470454917	0.4876058949547509	0.34486200380336945	0.34119299952679705	0.32264446864051927	0.3765515419910899	0.3498955967266324	0.3725826363168087	0.3396630900270448	0.35950858999888885	0.7797319350358007	0.6903453570302626	0.3617655250473698	0.3224060287517726	0.3925469198740846	0.32766994242394903	0.3614497516156533	0.4159010496679476	0.37175104558775734	0.3810063659751619	0.37612247116697456	0.31437232613874777	0.32394401158897446	0.3452658074866717	0.24192227495055868	0.23291391253120608	0.2108254947313603	0.21298113254474427	0.2422579766070252	0.322712962251058	0.3391005706113971	0.30279859705248147	0.2678800332390109	0.2759211578409123	0.255260176254355	0.13377942390794473	0.060500434197207034	0.02523363661596687
s28pp	0.16099812425004167	0.14816782128141986	0.0	0.1321797262597784	0.1336830577896132	0.5682262620296599	0.623774809938919	0.48103091878753756	0.47736191451096516	0.4588133836246874	0.512720456975258	0.4860645117108005	0.5087515513009768	0.4758320050112129	0.49567750498305696	0.9159008500199688	0.8265142720144307	0.4979344400315379	0.4585749437359407	0.5287158348582527	0.46383885740811714	0.4976186665998214	0.5520699646521157	0.5079199605719255	0.51717528095933	0.5122913861511427	0.4505412411229159	0.46011292657314257	0.4814347224708398	0.3780911899347268	0.36908282751537413	0.3469944097155284	0.3491500475289124	0.3784268915911933	0.4588818772352261	0.4752694855955652	0.4389675120366496	0.404048948223179	0.4120900728250804	0.3914290912385231	0.26994833889211284	0.19666934918137513	0.16140255160013495
S30H1	0.03299315642430313	0.020162853455681307	0.1321797262597784	0.0	0.005021292372404755	0.44022129420392125	0.4957698421131804	0.353025950961799	0.3493569466852266	0.3308084157989488	0.3847154891495195	0.35805954388506195	0.38074658347523826	0.34782703718547436	0.3676725371573184	0.7878958821942302	0.6985093041886921	0.36992947220579936	0.33056997591020215	0.40071086703251413	0.3358338895823786	0.36961369877408284	0.42406499682637716	0.3799149927461869	0.38917031313359146	0.3842864183254041	0.3225362732971773	0.332107958747404	0.35342975464510124	0.2500862221089882	0.2410778596896356	0.21898944188978986	0.22114507970317382	0.25042192376545475	0.33087690940948755	0.34726451776982664	0.310962544210911	0.27604398039744044	0.28408510499934186	0.2634241234127845	0.14194337106637428	0.06866438135563657	0.0333975837743964
F23HpA	0.03449648795413793	0.021666184985516104	0.1336830577896132	0.005021292372404755	0.0	0.44172462573375604	0.4972731736430152	0.3545292824916338	0.3508602782150614	0.3323117473287836	0.38621882067935426	0.35956287541489673	0.38224991500507305	0.34933036871530915	0.3691758686871532	0.7893992137240651	0.7000126357185269	0.37143280373563414	0.33207330744003694	0.4022141985623489	0.33733722111221337	0.3711170303039176	0.42556832835621194	0.3814183242760217	0.39067364466342624	0.3857897498552389	0.3240396048270121	0.3336112902772388	0.354933086174936	0.251589553638823	0.24258119121947042	0.22049277341962464	0.2226484112330086	0.25192525529528953	0.33238024093932234	0.3487678492996614	0.3124658757407458	0.2775473119272752	0.28558843652917665	0.2649274549426193	0.14344670259620906	0.07016771288547137	0.03490091530423121
F22H1A	0.4319814111136437	0.4320573470454917	0.5682262620296599	0.44022129420392125	0.44172462573375604	0.0	0.4082316371380013	0.26548774598661984	0.35210227452087994	0.33355374363460216	0.46482651150799303	0.43817056624353545	0.4608576058337118	0.4279380595439479	0.44778355951579196	0.8680069045527039	0.7786203265471656	0.4500404945642729	0.4106809982686757	0.4808218893909877	0.41594491194085215	0.4497247211325564	0.5041760191848508	0.46002601510466046	0.46928133549206497	0.46439744068387767	0.4026472956556508	0.4122189811058775	0.43354077700357474	0.3582311326178743	0.3492227701985217	0.327134352398676	0.32928999021205996	0.3906570367732879	0.47111202241732064	0.4874996307776598	0.45119765721874416	0.4162790934052736	0.48781604590270344	0.4671550643161461	0.4656478066933014	0.414496938223699	0.43238583846373696
S29H1	0.48752995902290286	0.4876058949547509	0.623774809938919	0.4957698421131804	0.4972731736430152	0.4082316371380013	0.0	0.14274589115238154	0.4076508224301391	0.38910229154386133	0.5203750594172523	0.4937191141527947	0.5164061537429709	0.48348660745320704	0.5033321074250512	0.923555452461963	0.8341688744564248	0.5055890424735321	0.4662295461779349	0.5363704373002469	0.4714934598501113	0.5052732690418156	0.5597245670941099	0.5155745630139197	0.5248298834013242	0.5199459885931368	0.45819584356491005	0.46776752901513674	0.48908932491283397	0.4137796805271335	0.4047713181077809	0.38268290030793517	0.38483853812131913	0.44620558468254706	0.5266605703265799	0.5430481786869189	0.5067462051280033	0.47182764131453275	0.5433645938119627	0.5227036122254053	0.5211963546025606	0.47004548613295816	0.48793438637299613
S19H1	0.34478606787152144	0.34486200380336945	0.48103091878753756	0.353025950961799	0.3545292824916338	0.26548774598661984	0.14274589115238154	0.0	0.26490693127875764	0.24635840039247983	0.37763116826587073	0.35097522300141315	0.3736622625915895	0.3407427163018256	0.36058821627366966	0.7808115613105815	0.6914249833050434	0.3628451513221506	0.3234856550265534	0.3936265461488654	0.32874956869872984	0.3625293778904341	0.4169806759427285	0.37283067186253815	0.38208599224994266	0.37720209744175537	0.3154519524135285	0.3250236378637552	0.34634543376145244	0.271035789375752	0.26202742695639947	0.2399390091565537	0.24209464696993765	0.30346169353116564	0.38391667917519845	0.4003042875355375	0.36400231397662186	0.32908375016315133	0.40062070266058125	0.37995972107402387	0.37845246345117917	0.32730159498157674	0.3451904952216147
F29H1	0.34111706359494903	0.34119299952679705	0.47736191451096516	0.3493569466852266	0.3508602782150614	0.35210227452087994	0.4076508224301391	0.26490693127875764	0.0	0.11800273683940149	0.37396216398929827	0.34730621872484074	0.36999325831501706	0.33707371202525316	0.3569192119970972	0.7771425570340091	0.687755979028471	0.3591761470455782	0.319816650749981	0.3899575418722929	0.3250805644221574	0.3588603736138617	0.413311671666156	0.3691616675859657	0.37841698797337026	0.3735330931651829	0.3117829481369561	0.3213546335871828	0.34267642948488003	0.2673667850991796	0.258358422679827	0.2362700048799813	0.23842564269336522	0.29979268925459324	0.380247674898626	0.3966352832589651	0.36033330970004945	0.3254147458865789	0.3969516983840088	0.37629071679745146	0.37478345917460676	0.32363259070500433	0.3415214909450423
s21pp	0.32256853270867125	0.32264446864051927	0.4588133836246874	0.3308084157989488	0.3323117473287836	0.33355374363460216	0.38910229154386133	0.24635840039247983	0.11800273683940149	0.0	0.35541363310302054	0.32875768783856296	0.35144472742873933	0.3185251811389754	0.33837068111081947	0.7585940261477313	0.6692074481421931	0.3406276161593004	0.30126811986370317	0.3714090109860152	0.30653203353587966	0.34031184272758386	0.39476314077987823	0.35061313669968797	0.3598684570870925	0.3549845622789052	0.29323441725067834	0.302806102700905	0.32412789859860225	0.24881825421290182	0.23980989179354922	0.2177214739937035	0.21987711180708744	0.2812441583683154	0.3616991440123482	0.3780867523726873	0.3417847788137717	0.3068662150003011	0.37840316749773106	0.3577421859111737	0.356234928288329	0.30508405981872655	0.3229729600587645
