	31343	31452	F8H1	530331	S31Hp	31021	S4Hp	S21H1	F23HpA	S16H2	S3Hp	S23Hp	F29H1	530394	S6Hp	S13Hp	S15Hp	31328	S22Hp	S17H1	31519	S26Hp	31700	S25Hp	S11Hp	S2Hp	530050	530055	S7Hp	31009	F32H1	F1H1	531414	S29H1	S19H1	530364	31750	F7H1	S30H1
31343	0.0	0.016917535838948575	0.43835710684782275	0.4290541668781	0.3673327964565342	0.4046076210999557	0.4343853693102337	0.405531236688717	0.2589663713100722	0.47469901470786874	0.3895974461224158	0.45518331938859485	0.5558282522602183	0.5102828530517529	0.5150531826656971	0.33971838387901515	0.4103740117929619	0.4194684266361856	0.4168661585182977	0.4356960276984411	0.4474058910243793	0.35564175459099595	0.41837137252620177	0.4178603849113129	0.42771693585440246	0.42663694975507577	0.4335711410775193	0.4287862549436681	0.42409791522104984	0.4430942838641903	0.45388373866312653	0.4326315902237486	0.4178517831677963	0.40388402655647154	0.39548223745729644	0.34050384708324105	0.2743785284930284	0.05698359817635361	0.050041350241951006
31452	0.016917535838948575	0.0	0.4529024724382434	0.44359953246852063	0.38187816204695485	0.4191529866903763	0.4489307349006543	0.4200766022791376	0.27351173690049285	0.48924438029828937	0.40414281171283645	0.4697286849790155	0.570373617850639	0.5248282186421737	0.5295985482561179	0.3542637494694358	0.42491937738338253	0.43401379222660624	0.43141152410871836	0.45024139328886176	0.4619512566147999	0.3701871201814166	0.4329167381166224	0.4324057505017335	0.4422623014448231	0.4411823153454964	0.44811650666793995	0.44333162053408876	0.43864328081147047	0.45763964945461094	0.46842910425354717	0.4471769558141692	0.43239714875821694	0.4184293921468922	0.41002760304771707	0.3550492126736617	0.28892389408344904	0.07152896376677427	0.06458671583237167
F8H1	0.43835710684782275	0.4529024724382434	0.0	0.2203766434407436	0.2229780298397499	0.2602528544831713	0.29003060269344927	0.3170781443245556	0.23154972912779354	0.49318316806888196	0.4080815994834291	0.47366747274960813	0.5743124056212316	0.5287670064127662	0.5335373360267104	0.3582025372400284	0.4288581651539752	0.4379525799971989	0.43535031187931095	0.4541801810594544	0.4982009485477811	0.40643681211439775	0.46916643004960346	0.4686554424347146	0.47851199337780426	0.47743200727847757	0.4843661986009211	0.4795813124670699	0.47489297274445164	0.4938893413875921	0.5046787961865283	0.4834266477471504	0.4686468406911981	0.45467908407987334	0.44627729498069824	0.4320494349282955	0.4426128149749646	0.4601732423966276	0.453230994462225
530331	0.4290541668781	0.44359953246852063	0.2203766434407436	0.0	0.21367508987002715	0.25094991451344856	0.2807276627237265	0.30777520435483285	0.22224678915807078	0.4838802280991592	0.39877865951370634	0.4643645327798854	0.5650094656515088	0.5194640664430434	0.5242343960569876	0.3488995972703056	0.4195552251842524	0.42864964002747613	0.4260473719095882	0.44487724108973165	0.4888980085780583	0.397133872144675	0.4598634900798807	0.4593525024649918	0.4692090534080815	0.4681290673087548	0.47506325863119836	0.47027837249734716	0.4655900327747289	0.48458640141786935	0.4953758562168056	0.4741237077774276	0.45934390072147535	0.4453761441101506	0.4369743550109755	0.42274649495857275	0.4333098750052418	0.45087030242690485	0.4439280544925022
S31Hp	0.3673327964565342	0.38187816204695485	0.2229780298397499	0.21367508987002715	0.0	0.07328895800285355	0.10306670621313152	0.24605383393326719	0.16052541873650508	0.4221588576775935	0.3370572890921406	0.40264316235831965	0.5032880952299431	0.4577426960214777	0.4625130256354219	0.2871782268487399	0.3578338547626867	0.3669282696059104	0.36432600148802247	0.3831558706681659	0.42717663815649254	0.33541250172310927	0.39814211965831503	0.39763113204342615	0.40748768298651583	0.40640769688718914	0.4133418882096326	0.4085570020757815	0.4038686623531631	0.4228650309963036	0.4336544857952398	0.41240233735586185	0.39762253029990957	0.3836547736885848	0.3752529845894097	0.36102512453700697	0.3715885045836761	0.38914893200533907	0.38220668407093644
31021	0.4046076210999557	0.4191529866903763	0.2602528544831713	0.25094991451344856	0.07328895800285355	0.0	0.09937895564561873	0.2833286585766886	0.19780024337992652	0.45943368232101495	0.3743321137355621	0.4399179870017411	0.5405629198733646	0.4950175206648992	0.49978785027884337	0.32445305149216136	0.39510867940610817	0.4042030942493319	0.40160082613144393	0.4204306953115874	0.464451462799914	0.37268732636653074	0.4354169443017365	0.4349059566868476	0.4447625076299373	0.4436825215306106	0.45061671285305405	0.44583182671920296	0.44114348699658457	0.4601398556397251	0.47092931043866126	0.4496771619992833	0.43489735494333104	0.42092959833200627	0.41252780923283117	0.39829994918042844	0.40886332922709756	0.42642375664876053	0.4194815087143579
S4Hp	0.4343853693102337	0.4489307349006543	0.29003060269344927	0.2807276627237265	0.10306670621313152	0.09937895564561873	0.0	0.31310640678696655	0.22757799159020448	0.4892114305312929	0.40410986194584003	0.46969573521201907	0.5703406680836425	0.5247952688751771	0.5295655984891213	0.3542307997024393	0.4248864276163861	0.43398084245960983	0.4313785743417219	0.45020844352186534	0.494229211010192	0.4024650745768087	0.4651946925120144	0.4646837048971255	0.4745402558402152	0.4734602697408885	0.48039446106333206	0.47560957492948086	0.4709212352068626	0.48991760385000305	0.5007070586489393	0.4794549102095613	0.46467510315360905	0.4507073465422843	0.4423055574431092	0.42807769739070645	0.4386410774373755	0.45620150485903854	0.4492592569246359
S21H1	0.405531236688717	0.4200766022791376	0.3170781443245556	0.30777520435483285	0.24605383393326719	0.2833286585766886	0.31310640678696655	0.0	0.19872385896868777	0.4603572979097762	0.37525572932432333	0.44084160259050237	0.5414865354621259	0.49594113625366043	0.5007114658676046	0.3253766670809226	0.3960322949948694	0.4051267098380931	0.4025244417202052	0.42135431090034864	0.4653750783886753	0.373610941955292	0.4363405598904977	0.4358295722756088	0.4456861232186985	0.4446061371193718	0.45154032844181535	0.44675544230796416	0.4420671025853459	0.46106347122848634	0.47185292602742257	0.4506007775880446	0.43582097053209234	0.4218532139207676	0.4134514248215925	0.39922356476918974	0.4097869448158588	0.42734737223752184	0.4204051243031192
F23HpA	0.2589663713100722	0.27351173690049285	0.23154972912779354	0.22224678915807078	0.16052541873650508	0.19780024337992652	0.22757799159020448	0.19872385896868777	0.0	0.3137924325311314	0.22869086394567856	0.2942767372118576	0.39492167008348106	0.34937627087501566	0.35414660048895985	0.17881180170227784	0.24946742961622465	0.25856184445944835	0.2559595763415604	0.27478944552170387	0.31881021301003054	0.22704607657664722	0.2897756945118529	0.28926470689696404	0.2991212578400537	0.29804127174072703	0.3049754630631706	0.3001905769293194	0.2955022372067011	0.3144986058498416	0.3252880606487778	0.30403591220939985	0.2892561051534476	0.2752883485421228	0.2668865594429477	0.25265869939054497	0.26322207943721404	0.28078250685887707	0.27384025892447444
S16H2	0.47469901470786874	0.48924438029828937	0.49318316806888196	0.4838802280991592	0.4221588576775935	0.45943368232101495	0.4892114305312929	0.4603572979097762	0.3137924325311314	0.0	0.37539957071169505	0.4409854439778741	0.5416303768494976	0.4960849776410321	0.5008553072549763	0.3614539272608366	0.43210955517478333	0.4412039700180071	0.43860170190011916	0.45743157108026256	0.5345428564078271	0.44277871997444374	0.5055083379096494	0.5049973502947607	0.5148539012378504	0.5137739151385237	0.5207081064609671	0.515923220327116	0.5112348806044976	0.5302312492476381	0.5410207040465743	0.5197685556071964	0.5049887485512441	0.4910209919399193	0.4826192028407442	0.4683913427883415	0.47895472283501056	0.4965151502566736	0.48957290232227096
