	f30pp	S3Hp	w9pp	f4pp	w17pp	w10pp	S4Hp	w22pp	s2pp	f2pp	w28pp	w11pp	f8pp	w8pp	f20ppA	w20pp	S13Hp	f7pp	F6H1	f6ppB	s24pp	s25pp	w27pp	s27pp	w18pp	w23pp	S2Hp	f14ppB	S14Hp	s24H1	f24pp	w24pp	w19pp	f16ppA	F8H1	f12ppB	f10pp
f30pp	0.0	0.30582023495927657	0.24659457341148028	0.20551830977697752	0.25063485033786137	0.2849560983990776	0.3689933324265549	0.3483180535263272	0.39891836280311854	0.31775237909908405	0.33501170068397235	0.33212516806706593	0.33290030967032597	0.35563396874725417	0.26086612439159257	0.41487067678775	0.4599923019355653	0.2217362578048211	0.4472930806257689	0.2641785256284906	0.4753617106898406	0.3761957314428144	0.4281607528122636	0.42562845498041857	0.3390715563439987	0.337977823711502	0.4482524344651583	0.34091725989420807	0.4522087987791033	0.419685739878488	0.28138992534677265	0.3794534137796622	0.3513108996654238	0.32110525591668004	0.4061650895764447	0.23753511093141577	0.19467332239791824
S3Hp	0.30582023495927657	0.0	0.38179772029475945	0.3407214566602567	0.38583799722114054	0.42015924528235676	0.5041964793098341	0.4835212004096064	0.5341215096863977	0.4529555259823632	0.4702148475672515	0.4673283149503451	0.4681034565536052	0.49083711563053334	0.39606927127487174	0.5500738236710292	0.5951954488188445	0.35693940468810026	0.5824962275090481	0.39938167251176976	0.6105648575731197	0.5113988783260935	0.5633638996955428	0.5608316018636977	0.47427470322727794	0.47318097059478115	0.5834555813484374	0.47612040677748724	0.5874119456623825	0.5548888867617672	0.4165930722300518	0.5146565606629414	0.48651404654870295	0.4563084027999592	0.5413682364597239	0.37273825781469494	0.3298764692811974
w9pp	0.24659457341148028	0.38179772029475945	0.0	0.17658474320260886	0.22170128376349268	0.2560225318247089	0.3400597658521862	0.3419484748108754	0.3925487840876667	0.31138280038363225	0.32864212196852055	0.32575558935161414	0.32653073095487417	0.3492643900318024	0.2544965456761408	0.4085010980722982	0.45362272322011343	0.2153666790893693	0.44092350191031704	0.2578089469130388	0.46899213197438877	0.3698261527273626	0.42179117409681177	0.4192588762649667	0.3327019776285469	0.3316082449960502	0.4418828557497064	0.3345476811787563	0.44583922006365145	0.41331616116303616	0.27502034663132086	0.37308383506421033	0.344941320949972	0.31473567720122825	0.39979551086099285	0.23116553221596398	0.2087987199500261
f4pp	0.20551830977697752	0.3407214566602567	0.17658474320260886	0.0	0.15266032555797587	0.18698157361919213	0.2710188076466694	0.3008722111763727	0.35147252045316396	0.2703065367491295	0.2875658583340178	0.2846793257171114	0.28545446732037144	0.30818812639729964	0.21342028204163804	0.36742483443779544	0.4125464595856107	0.17429041545486657	0.3998472382758143	0.21673268327853606	0.42791586833988604	0.32874988909285985	0.38071491046230904	0.378182612630464	0.2916257139940442	0.29053198136154745	0.4008065921152037	0.29347141754425354	0.4047629564291487	0.3722398975285334	0.23394408299681813	0.3320075714297076	0.30386505731546926	0.2736594135667255	0.3587192472264901	0.19008926858146125	0.16772245631552335
w17pp	0.25063485033786137	0.38583799722114054	0.22170128376349268	0.15266032555797587	0.0	0.20789882248437935	0.2919360565118567	0.3459887517372565	0.3965890610140478	0.31542307731001334	0.33268239889490164	0.3297958662779953	0.33057100788125526	0.35330466695818347	0.25853682260252187	0.41254137499867927	0.4576630001464945	0.21940695601575042	0.44496377883669813	0.2618492238394199	0.4730324089007699	0.37386642965374367	0.42583145102319286	0.4232991531913478	0.336742254554928	0.33564852192243133	0.4459231326760875	0.33858795810513737	0.4498794969900326	0.41735643808941725	0.27906062355770195	0.3771241119905915	0.3489815978763531	0.3187759541276094	0.40383578778737395	0.23520580914234507	0.2128389968764072
w10pp	0.2849560983990776	0.42015924528235676	0.2560225318247089	0.18698157361919213	0.20789882248437935	0.0	0.27648920931558335	0.38030999979847274	0.43091030907526406	0.34974432537122957	0.36700364695611787	0.36411711433921146	0.36489225594247154	0.3876259150193997	0.2928580706637381	0.44686262305989555	0.4919842482077108	0.2537282040769666	0.4792850268979144	0.2961704719006361	0.5073536569619861	0.4081876777149599	0.46015269908440914	0.4576204012525641	0.3710635026161443	0.3699697699836475	0.4802443807373038	0.3729092061663536	0.48420074505124877	0.45167768615063353	0.3133818716189182	0.41144536005180765	0.3833028459375693	0.35309720218882557	0.4381570358485902	0.2695270572035613	0.24716024493762342
S4Hp	0.3689933324265549	0.5041964793098341	0.3400597658521862	0.2710188076466694	0.2919360565118567	0.27648920931558335	0.0	0.46434723382595006	0.5149475431027414	0.4337815593987069	0.4510408809835952	0.44815434836668877	0.44892948996994886	0.471663149046877	0.3768953046912154	0.5308998570873729	0.5760214822351881	0.3377654381044439	0.5633222609253917	0.3802077059281134	0.5913908909894634	0.4922249117424372	0.5441899331118865	0.5416576352800414	0.4551007366436216	0.4540070040111248	0.5642816147647811	0.4569464401938309	0.5682379790787261	0.5357149201781108	0.3974191056463955	0.49548259407928497	0.4673400799650466	0.4371344362163029	0.5221942698760675	0.3535642912310386	0.33119747896510077
w22pp	0.3483180535263272	0.4835212004096064	0.3419484748108754	0.3008722111763727	0.3459887517372565	0.38030999979847274	0.46434723382595006	0.0	0.3841636348774651	0.30299765117343064	0.32025697275831894	0.3665091404141365	0.3672842820173965	0.3900179410943247	0.2952500967386631	0.44925464913482055	0.4943762742826358	0.25612023015189167	0.4816770529728394	0.2985624979755611	0.5097456830369111	0.4105797037898849	0.46254472515933415	0.4600124273274891	0.37345552869106924	0.37236179605857256	0.4826364068122288	0.3753012322412786	0.48659277112617383	0.45406971222555853	0.3157738976938432	0.41383738612673265	0.40531426855333147	0.37510862480458773	0.4601684584643524	0.29153847981932346	0.3105222000648731
s2pp	0.39891836280311854	0.5341215096863977	0.3925487840876667	0.35147252045316396	0.3965890610140478	0.43091030907526406	0.5149475431027414	0.3841636348774651	0.0	0.15682653326139273	0.2762518968057799	0.4171094496909278	0.4178845912941878	0.440618250371116	0.34585040601545436	0.49985495841161187	0.5449765835594271	0.30672053942868294	0.5322773622496307	0.3491628072523524	0.5603459923137024	0.4611800130666762	0.5131450344361255	0.5106127366042804	0.42405583796786056	0.4229621053353638	0.5332367160890201	0.4259015415180699	0.5371930804029651	0.5046700215023499	0.3663742069706345	0.464437695403524	0.4559145778301228	0.42570893408137905	0.5107687677411437	0.3421387890961147	0.36112250934166434
f2pp	0.31775237909908405	0.4529555259823632	0.31138280038363225	0.2703065367491295	0.31542307731001334	0.34974432537122957	0.4337815593987069	0.30299765117343064	0.15682653326139273	0.0	0.1950859131017454	0.3359434659868933	0.3367186075901534	0.3594522666670815	0.2646844223114199	0.4186889747075774	0.46381059985539264	0.22555455572464847	0.45111137854559624	0.26799682354831794	0.479180008609668	0.3800140293626417	0.431979050732091	0.4294467529002459	0.3428898542638261	0.34179612163132933	0.45207073238498563	0.3447355578140354	0.45602709669893066	0.42350403779831536	0.2852082232666	0.3832717116994895	0.3747485941260883	0.3445429503773446	0.42960278403710916	0.2609728053920803	0.27995652563762985
