	f29pp	w26pp	s2pp	s29pp	S27H1	s30pp	w30pp	f14ppA	f14ppB	f17ppA	s1pp	w14pp	s3pp	s27pp	s12pp	f12ppA	f16ppB	s25pp	w17pp	s17pp	S20H1	S1Hp
f29pp	0.0	0.35392872981880596	0.24789461406623206	0.37082594247712897	0.3671926533298995	0.4617871633967519	0.4843424523734638	0.27669096391386333	0.28123326034016316	0.2806200955888203	0.3497679227833451	0.27676110755120875	0.3057096515608885	0.410180961611185	0.25710951050015757	0.4470697430870383	0.34402608732873297	0.40824093671387357	0.46653510536220816	0.5025725097435032	0.34004814562363633	0.3524785469351819
w26pp	0.35392872981880596	0.0	0.2306865521271815	0.3536178805380784	0.3499845913908489	0.44457910145770135	0.46713439043441324	0.34437761066017997	0.3489199070864798	0.3483067423351369	0.41745456952966176	0.3444477542975254	0.39074824614762993	0.49521955619792646	0.342148105086899	0.5321083376737797	0.4290646819154744	0.493279531300615	0.5515736999489496	0.5876111043302447	0.4250867402103778	0.43751714152192334
s2pp	0.24789461406623206	0.2306865521271815	0.0	0.15572644274704206	0.1520931535998126	0.24668766366666503	0.26924295264337694	0.23834349490760606	0.24288579133390592	0.24227262658256302	0.3114204537770879	0.23841363854495148	0.28471413039505605	0.3891854404453525	0.23611398933432512	0.4260742219212058	0.3230305661629005	0.38724541554804115	0.44553958419637574	0.48157698857767073	0.31905262445780386	0.3314830257693494
s29pp	0.37082594247712897	0.3536178805380784	0.15572644274704206	0.0	0.09173142360826805	0.2092648739103204	0.23182016288703228	0.3612748233185029	0.3658171197448028	0.3652039549934599	0.43435178218798476	0.3613449669558484	0.40764545880595293	0.5121167688562495	0.359045317745222	0.5490055503321027	0.4459618945737974	0.510176743958938	0.5684709126072727	0.6045083169885677	0.4419839528687008	0.45441435418024634
S27H1	0.3671926533298995	0.3499845913908489	0.1520931535998126	0.09173142360826805	0.0	0.20563158476309093	0.22818687373980281	0.3576415341712735	0.3621838305975733	0.36157066584623043	0.43071849304075527	0.3577116778086189	0.40401216965872344	0.50848347970902	0.35541202859799254	0.5453722611848733	0.44232860542656793	0.5065434548117085	0.5648376234600432	0.6008750278413382	0.4383506637214713	0.45078106503301685
s30pp	0.4617871633967519	0.44457910145770135	0.24668766366666503	0.2092648739103204	0.20563158476309093	0.0	0.055029090006951664	0.4522360442381259	0.4567783406644258	0.45616517591308287	0.5253130031076078	0.45230618787547133	0.49860667972557593	0.6030779897758723	0.45000653866484497	0.6399667712517256	0.5369231154934203	0.601137964878561	0.6594321335268956	0.6954695379081905	0.5329451737883237	0.5453755750998692
w30pp	0.4843424523734638	0.46713439043441324	0.26924295264337694	0.23182016288703228	0.22818687373980281	0.055029090006951664	0.0	0.4747913332148378	0.4793336296411377	0.47872046488979475	0.5478682920843196	0.4748614768521832	0.5211619687022878	0.6256332787525842	0.47256182764155685	0.6625220602284376	0.5594784044701322	0.6236932538552729	0.6819874225036074	0.7180248268849025	0.5555004627650357	0.5679308640765812
f14ppA	0.27669096391386333	0.34437761066017997	0.23834349490760606	0.3612748233185029	0.3576415341712735	0.4522360442381259	0.4747913332148378	0.0	0.22850388096526222	0.22789071621391932	0.29703854340844416	0.2240317281763078	0.31351048024268735	0.41798179029298377	0.2649103391819564	0.4548705717688371	0.35182691601053173	0.4160417653956724	0.474335934044007	0.510373338425302	0.34784897430543515	0.3602793756169807
f14ppB	0.28123326034016316	0.3489199070864798	0.24288579133390592	0.3658171197448028	0.3621838305975733	0.4567783406644258	0.4793336296411377	0.22850388096526222	0.0	0.2019704110634133	0.2711182382579382	0.19811142302580179	0.3180527766689872	0.42252408671928365	0.2694526356082563	0.45941286819513694	0.3563692124368316	0.4205840618219723	0.47887823047030686	0.5149156348516019	0.352391270731735	0.36482167204328053
f17ppA	0.2806200955888203	0.3483067423351369	0.24227262658256302	0.3652039549934599	0.36157066584623043	0.45616517591308287	0.47872046488979475	0.22789071621391932	0.2019704110634133	0.0	0.2413753704455579	0.16836855521342153	0.31743961191764425	0.4219109219679408	0.26883947085691334	0.45879970344379406	0.35575604768548874	0.41997089707062935	0.47826506571896393	0.514302470100259	0.3517781059803921	0.36420850729193766
s1pp	0.3497679227833451	0.41745456952966176	0.3114204537770879	0.43435178218798476	0.43071849304075527	0.5253130031076078	0.5478682920843196	0.29703854340844416	0.2711182382579382	0.2413753704455579	0.0	0.17252087884898876	0.38658743911216914	0.4910587491624656	0.33798729805143823	0.5279475306383189	0.4249038748800136	0.48911872426515424	0.5474128929134888	0.5834502972947838	0.42092593317491694	0.4333563344864625
w14pp	0.27676110755120875	0.3444477542975254	0.23841363854495148	0.3613449669558484	0.3577116778086189	0.45230618787547133	0.4748614768521832	0.2240317281763078	0.19811142302580179	0.16836855521342153	0.17252087884898876	0.0	0.3135806238800327	0.41805193393032924	0.2649804828193018	0.4549407154061825	0.3518970596478772	0.4161119090330178	0.4744060776813524	0.5104434820626474	0.3479191179427806	0.3603495192543261
s3pp	0.3057096515608885	0.39074824614762993	0.28471413039505605	0.40764545880595293	0.40401216965872344	0.49860667972557593	0.5211619687022878	0.31351048024268735	0.3180527766689872	0.31743961191764425	0.38658743911216914	0.3135806238800327	0.0	0.2559017670499552	0.20991398061824298	0.39987421320512373	0.29683055744681835	0.36104540683195896	0.4193395754802936	0.45537697986158865	0.31593943277497455	0.3283698340865201
s27pp	0.410180961611185	0.49521955619792646	0.3891854404453525	0.5121167688562495	0.50848347970902	0.6030779897758723	0.6256332787525842	0.41798179029298377	0.42252408671928365	0.4219109219679408	0.4910587491624656	0.41805193393032924	0.2559017670499552	0.0	0.3143852906685395	0.5043455232554201	0.40130186749711483	0.4655167168822555	0.5238108855305901	0.5598482899118851	0.4204107428252711	0.4328411441368166
s12pp	0.25710951050015757	0.342148105086899	0.23611398933432512	0.359045317745222	0.35541202859799254	0.45000653866484497	0.47256182764155685	0.2649103391819564	0.2694526356082563	0.26883947085691334	0.33798729805143823	0.2649804828193018	0.20991398061824298	0.3143852906685395	0.0	0.20321436932059306	0.16568011577404398	0.22989496515918462	0.28818913380751926	0.3242265381888143	0.26733929171424364	0.2797696930257892
f12ppA	0.4470697430870383	0.5321083376737797	0.4260742219212058	0.5490055503321027	0.5453722611848733	0.6399667712517256	0.6625220602284376	0.4548705717688371	0.45941286819513694	0.45879970344379406	0.5279475306383189	0.4549407154061825	0.39987421320512373	0.5043455232554201	0.20321436932059306	0.0	0.35564034836092473	0.4198551977460654	0.47814936639440003	0.5141867707756951	0.45729952430112436	0.4697299256126699
f16ppB	0.34402608732873297	0.4290646819154744	0.3230305661629005	0.4459618945737974	0.44232860542656793	0.5369231154934203	0.5594784044701322	0.35182691601053173	0.3563692124368316	0.35575604768548874	0.4249038748800136	0.3518970596478772	0.29683055744681835	0.40130186749711483	0.16568011577404398	0.35564034836092473	0.0	0.19498664783205216	0.33391837820122805	0.3699557825825231	0.35425586854281904	0.3666862698543646
s25pp	0.40824093671387357	0.493279531300615	0.38724541554804115	0.510176743958938	0.5065434548117085	0.601137964878561	0.6236932538552729	0.4160417653956724	0.4205840618219723	0.41997089707062935	0.48911872426515424	0.4161119090330178	0.36104540683195896	0.4655167168822555	0.22989496515918462	0.4198551977460654	0.19498664783205216	0.0	0.39813322758636865	0.4341706319676637	0.41847071792795965	0.4309011192395052
w17pp	0.46653510536220816	0.5515736999489496	0.44553958419637574	0.5684709126072727	0.5648376234600432	0.6594321335268956	0.6819874225036074	0.474335934044007	0.47887823047030686	0.47826506571896393	0.5474128929134888	0.4744060776813524	0.4193395754802936	0.5238108855305901	0.28818913380751926	0.47814936639440003	0.33391837820122805	0.39813322758636865	0.0	0.08046403379033251	0.47676488657629423	0.4891952878878398
s17pp	0.5025725097435032	0.5876111043302447	0.48157698857767073	0.6045083169885677	0.6008750278413382	0.6954695379081905	0.7180248268849025	0.510373338425302	0.5149156348516019	0.514302470100259	0.5834502972947838	0.5104434820626474	0.45537697986158865	0.5598482899118851	0.3242265381888143	0.5141867707756951	0.3699557825825231	0.4341706319676637	0.08046403379033251	0.0	0.5128022909575893	0.5252326922691348
S20H1	0.34004814562363633	0.4250867402103778	0.31905262445780386	0.4419839528687008	0.4383506637214713	0.5329451737883237	0.5555004627650357	0.34784897430543515	0.352391270731735	0.3517781059803921	0.42092593317491694	0.3479191179427806	0.31593943277497455	0.4204107428252711	0.26733929171424364	0.45729952430112436	0.35425586854281904	0.41847071792795965	0.47676488657629423	0.5128022909575893	0.0	0.04908659770165122
S1Hp	0.3524785469351819	0.43751714152192334	0.3314830257693494	0.45441435418024634	0.45078106503301685	0.5453755750998692	0.5679308640765812	0.3602793756169807	0.36482167204328053	0.36420850729193766	0.4333563344864625	0.3603495192543261	0.3283698340865201	0.4328411441368166	0.2797696930257892	0.4697299256126699	0.3666862698543646	0.4309011192395052	0.4891952878878398	0.5252326922691348	0.04908659770165122	0.0
