	f7pp	w24pp	w14pp	F3H1	F6H1	f4pp	S2Hp	F1H1	S9H1	F7H1	F16H1	w25pp	s28pp	S28Hp	S27H1	f8pp	w17pp	F8H1	S14Hp	S13Hp	S1Hp	F32H1	F23HpA	s24H1	S11Hp	w23pp	f21pp	S12Hp	w3pp	S8Hp	S4Hp	F22HpB	S26Hp	S22Hp	31300	S18H1	S29H1	S19H1	f6ppA	530451	w13pp	s29pp	w20pp	f16ppA	f16ppB	w16pp	f32pp	f25pp	S3Hp	F14H1A	S15Hp	s24pp	f31pp	f6ppB	f24pp	S17H1	F14H1B	S7Hp	f1pp	f12ppB	w11pp
f7pp	0.0	0.09704481557172273	0.16346045310765664	0.25471184519846657	0.25278908338290973	0.19565092418750793	0.2734259273024353	0.3242766016002957	0.2789834746568516	0.287343272845275	0.2912118002666171	0.21867392254126652	0.2514859807375383	0.2808109338340666	0.26896404022917086	0.1710186305107033	0.20535848658887557	0.30540764113892255	0.27606138594188234	0.296991505784445	0.22495442289764567	0.2888713931193991	0.29642890545972833	0.32005628547512494	0.2836208860952431	0.25088139700268325	0.22363293912714707	0.15916090497503022	0.18631142643621004	0.19303059996008431	0.23327721935266008	0.3226952396537504	0.38418781694265786	0.5237500775076279	0.5442568837235863	0.277183467433935	0.31405028712381844	0.33644608407227866	0.19262379334362623	0.29819732827297335	0.23779799569571403	0.2575486370902898	0.21443230545800226	0.2371919782376748	0.2480664007294398	0.25158657847919474	0.25349146846083587	0.2219190072914338	0.3003919741184032	0.27257028873328343	0.2791850353370272	0.2836913208365379	0.20835784100035276	0.1801639841728751	0.15887596972616722	0.2457315766320608	0.26682092001513313	0.2526133186031641	0.15011634374205116	0.12729504557705398	0.13528704679155895
w24pp	0.09704481557172273	0.0	0.14954793812002082	0.24079933021083078	0.23887656839527394	0.1817384091998721	0.2595134123147995	0.3103640866126599	0.2650709596692158	0.27343075785763915	0.2772992852789813	0.2047614075536307	0.2375734657499025	0.26689841884643073	0.25505152524153507	0.15710611552306747	0.19144597160123974	0.2914951261512867	0.26214887095424655	0.2830789907968092	0.21104190791000985	0.2749588781317633	0.28251639047209254	0.30614377048748914	0.26970837110760726	0.23696888201504746	0.20972042413951125	0.14524838998739442	0.17239891144857422	0.1791180849724485	0.21936470436502425	0.3087827246661146	0.37027530195502206	0.509837562519992	0.5303443687359504	0.2632709524462992	0.30013777213618265	0.32253356908464287	0.1787112783559904	0.28428481328533756	0.2238854807080782	0.24363612210265398	0.20051979047036644	0.22327946325003897	0.23415388574180399	0.23767406349155892	0.23957895347320007	0.20800649230379797	0.2864794591307674	0.2586577737456476	0.2652725203493914	0.2697788058489021	0.19444532601271694	0.16625146918523928	0.1449634547385314	0.23181906164442498	0.25290840502749734	0.2387008036155283	0.13620382875441533	0.11338253058941818	0.12137453180392314
w14pp	0.16346045310765664	0.14954793812002082	0.0	0.23762141002859105	0.2356986482130342	0.1955919697421167	0.27336697285704414	0.32421764715490453	0.27892452021146036	0.2872843183998838	0.29115284582122586	0.2186149680958753	0.2514270262921471	0.28075197938867535	0.26890508578377964	0.1709596760653121	0.20529953214348434	0.3053486866935313	0.2760024314964912	0.29693255133905383	0.22489546845225444	0.28881243867400785	0.29636995101433716	0.31999733102973377	0.2835619316498519	0.250822442557292	0.22357398468175585	0.15910195052963902	0.18625247199081885	0.1929716455146931	0.23321826490726885	0.32263628520835924	0.38412886249726663	0.5236911230622366	0.544197929278195	0.2771245129885438	0.31399133267842727	0.33638712962688744	0.192564838898235	0.2981383738275821	0.2377390412503228	0.2574896826448986	0.21437335101261104	0.23713302379228357	0.24800744628404858	0.2515276240338035	0.25343251401544464	0.22186005284604257	0.30033301967301196	0.2725113342878922	0.27912608089163604	0.28363236639114675	0.20829888655496154	0.18010502972748388	0.15881701528077602	0.24567262218666958	0.2667619655697419	0.2525543641577729	0.17708819067523662	0.15426689251023948	0.1754842623711098
F3H1	0.25471184519846657	0.24079933021083078	0.23762141002859105	0.0	0.2767606990626347	0.28684336183292664	0.36461836494785405	0.41546903924571443	0.3701759123022703	0.3785357104906937	0.3824042379120358	0.30986636018668523	0.34267841838295704	0.37200337147948526	0.3601564778745896	0.26221106815612205	0.2965509242342943	0.3966000787843412	0.3672538235873011	0.38818394342986373	0.3161468605430644	0.3800638307648178	0.38762134310514706	0.4112487231205437	0.3748133237406618	0.342073834648102	0.3148253767725658	0.25035334262044895	0.27750386408162875	0.28422303760550305	0.3244696569980788	0.4138876772991692	0.4753802545880766	0.6149425151530465	0.6354493213690049	0.36837590507935375	0.4052427247692372	0.4276385217176974	0.28381623098904496	0.3893897659183921	0.32899043334113276	0.3487410747357085	0.30562474310342097	0.32838441588309353	0.3392588383748585	0.3427790161246135	0.3446839061062546	0.3131114449368525	0.3915844117638219	0.3637627263787021	0.37037747298244594	0.37488375848195665	0.29955027864577144	0.27135642181829384	0.250068407371586	0.33692401427747953	0.35801335766055187	0.34380575624858284	0.2683395827660466	0.2455182846010494	0.26673565446191977
F6H1	0.25278908338290973	0.23887656839527394	0.2356986482130342	0.2767606990626347	0.0	0.2849206000173698	0.3626956031322972	0.4135462774301576	0.3682531504867135	0.37661294867513684	0.380481476096479	0.3079435983711284	0.3407556565674002	0.3700806096639284	0.35823371605903276	0.2602883063405652	0.29462816241873746	0.3946773169687844	0.36533106177174424	0.3862611816143069	0.31422409872750756	0.37814106894926097	0.3856985812895902	0.4093259613049869	0.37289056192510495	0.34015107283254514	0.31290261495700894	0.2484305808048921	0.2755811022660719	0.2823002757899462	0.32254689518252194	0.41196491548361236	0.47345749277251975	0.6130197533374897	0.633526559553448	0.3664531432637969	0.40331996295368033	0.42571575990214056	0.2818934691734881	0.38746700410283524	0.3270676715255759	0.34681831292015164	0.30370198128786413	0.3264616540675367	0.33733607655930165	0.34085625430905664	0.34276114429069776	0.31118868312129566	0.3896616499482651	0.36183996456314527	0.3684547111668891	0.3729609966663998	0.2976275168302146	0.269433660002737	0.2481456455560291	0.3350012524619227	0.35609059584499503	0.341882994433026	0.26641682095048974	0.24359552278549257	0.26481289264636293
f4pp	0.19565092418750793	0.1817384091998721	0.1955919697421167	0.28684336183292664	0.2849206000173698	0.0	0.2051079349587581	0.2559586092566185	0.24353194475483642	0.25189174294325983	0.2557602703646019	0.18322239263925133	0.21603445083552317	0.2453594039320514	0.2335125103271557	0.14795058862159222	0.18229044469976446	0.28233959924981145	0.2529933440527713	0.27392346389533395	0.20188638100853457	0.26580335123028803	0.2733608635706173	0.2969882435860139	0.260552844206132	0.2278133551135722	0.20056489723803597	0.13609286308591914	0.1768350065133316	0.1835541800372058	0.2238007994297816	0.31321881973087196	0.37471139701977935	0.5142736575847493	0.5347804638007077	0.26770704751105656	0.30457386720094	0.3269696641494002	0.18314737342074772	0.2887209083500949	0.22832157577283554	0.24807221716741132	0.20495588553512378	0.2277155583147963	0.23858998080656132	0.24211015855631626	0.2440150485379574	0.2124425873685553	0.29091555419552473	0.263093868810405	0.26970861541414876	0.27421490091365947	0.19888142107747428	0.19250588855673384	0.17121787411002595	0.25807348101591954	0.27916282439899187	0.26495522298702284	0.2092786617550879	0.18645736359009074	0.2076747334509611
S2Hp	0.2734259273024353	0.2595134123147995	0.27336697285704414	0.36461836494785405	0.3626956031322972	0.2051079349587581	0.0	0.3186930697352624	0.3213069478697639	0.32966674605818724	0.3335352734795294	0.2609973957541788	0.2938094539504506	0.3231344070469788	0.31128751344208316	0.22572559173651963	0.2600654478146919	0.3601146023647389	0.3307683471676987	0.35169846701026136	0.279661384123462	0.34357835434521544	0.3511358666855447	0.3747632467009413	0.33832784732105947	0.3055883582284996	0.2783399003529634	0.21386786620084658	0.25461000962825897	0.2613291831521332	0.301575802544709	0.3909938228457994	0.45248640013470676	0.5920486606996768	0.6125554669156351	0.34548205062598397	0.3823488703158674	0.40474466726432756	0.2609223765356751	0.3664959114650223	0.306096578887763	0.3258472202823387	0.2827308886500512	0.30549056142972375	0.3163649839214887	0.3198851616712437	0.3217900516528848	0.2902175904834827	0.36869055731045214	0.34086887192533233	0.34748361852907617	0.3519899040285869	0.27665642419240166	0.27028089167166125	0.24899287722495336	0.3358484841308469	0.3569378275139192	0.34273022610195025	0.2870536648700153	0.26423236670501815	0.2854497365658885
F1H1	0.3242766016002957	0.3103640866126599	0.32421764715490453	0.41546903924571443	0.4135462774301576	0.2559586092566185	0.3186930697352624	0.0	0.37215762216762427	0.38051742035604763	0.38438594777738977	0.3118480700520392	0.344660128248311	0.3739850813448392	0.36213818773994355	0.27657626603438	0.31091612211255226	0.4109652766625993	0.3816190214655591	0.40254914130812175	0.33051205842132236	0.39442902864307583	0.4019865409834051	0.4256139209988017	0.38917852161891986	0.35643903252636	0.3291905746508238	0.26471854049870697	0.30546068392611936	0.3121798574499936	0.3524264768425694	0.4418444971436598	0.5033370744325671	0.6428993349975372	0.6634061412134955	0.39633272492384436	0.4331995446137278	0.45559534156218795	0.3117730508335355	0.4173465857628827	0.35694725318562337	0.3766978945801991	0.3335815629479116	0.35634123572758414	0.3672156582193491	0.3707358359691041	0.3726407259507452	0.3410682647813431	0.4195412316083125	0.3917195462231927	0.39833429282693655	0.40284057832644726	0.32750709849026205	0.32113156596952164	0.2998435515228137	0.3866991584287073	0.4077885018117796	0.39358090039981064	0.3379043391678757	0.31508304100287854	0.3363004108637489
S9H1	0.2789834746568516	0.2650709596692158	0.27892452021146036	0.3701759123022703	0.3682531504867135	0.24353194475483642	0.3213069478697639	0.37215762216762427	0.0	0.2798141332898206	0.28368266071116266	0.25025121362088626	0.28306327181715807	0.31238822491368634	0.3005413313087906	0.23128313909093587	0.26562299516910814	0.3656721497191551	0.3363258945221149	0.3572560143646776	0.28521893147787825	0.3491359016996317	0.3566934140399609	0.38032079405535757	0.3438853946754757	0.3111459055829159	0.2838974477073796	0.21942541355526282	0.26016755698267524	0.2668867305065495	0.3071333498991252	0.39655137020021564	0.458043947489123	0.597606208054093	0.6181130142700514	0.3510395979804002	0.38790641767028367	0.41030221461874383	0.2664799238900914	0.3720534588194385	0.3116541262421792	0.33140476763675497	0.2882884360044674	0.31104810878413996	0.321922531275905	0.3254427090256599	0.32734759900730104	0.295775137837899	0.37424810466486835	0.3464264192797486	0.35304116588349244	0.35754745138300315	0.28221397154681793	0.27583843902607746	0.2545504245793696	0.34140603148526316	0.3624953748683355	0.3482877734563665	0.29261121222443154	0.2697899140594344	0.2910072839203047
F7H1	0.287343272845275	0.27343075785763915	0.2872843183998838	0.3785357104906937	0.37661294867513684	0.25189174294325983	0.32966674605818724	0.38051742035604763	0.2798141332898206	0.0	0.24396661791982885	0.2586110118093097	0.29142307000558154	0.32074802310210976	0.30890112949721404	0.23964293727935929	0.27398279335753156	0.37403194790757854	0.3446856927105384	0.36561581255310105	0.2935787296663016	0.3574956998880551	0.3650532122283844	0.388680592243781	0.3522451928638991	0.31950570377133924	0.29225724589580304	0.22778521174368624	0.26852735517109866	0.2752465286949729	0.3154931480875487	0.40491116838863905	0.4664037456775464	0.6059660062425164	0.6264728124584747	0.35939939616882366	0.396266215858707	0.41866201280716725	0.2748397220785148	0.380413257007862	0.3200139244306026	0.3397645658251784	0.2966482341928909	0.3194079069725634	0.3302823294643284	0.33380250721408333	0.3357073971957245	0.30413493602632236	0.3826079028532918	0.354786217468172	0.3614009640719158	0.3659072495714265	0.29057376973524135	0.2841982372145009	0.262910222767793	0.3497658296736866	0.3708551730567589	0.3566475716447899	0.300971010412855	0.27814971224785784	0.29936708210872814
