	S18H1	s17pp	w6pp	f6ppA	f6ppB	s13pp	f20ppB	f14ppB	f16ppA	f23ppA	f21pp	f18pp	f14ppA	F23HpA	f8pp	s26pp	F7H1	f26pp	s16pp	s25pp	s24pp	S15Hp	s29pp	S28Hp	s12pp	s27pp	F6H1	s18pp	S11Hp	s2pp	f3pp	F14H1A	S26Hp	S9H1	S22Hp	f1pp	s1pp	S1Hp	f16ppB	w9pp	s3pp	f30pp	w3pp	s30pp	w30pp	f4pp	f23ppB
S18H1	0.0	0.3421418297848169	0.4301495789829081	0.38303131726028883	0.35008512098571287	0.39005278670184906	0.38727348134790684	0.2788516656507093	0.3174962598527717	0.3072771696005965	0.28572626489740033	0.2848638485737003	0.4349969115877369	0.5119894447880524	0.35258883782753825	0.5731576457301424	0.6421218977909813	0.5337315373274591	0.5610044215153511	0.694424089832147	0.5769708273269962	0.6008334143680598	0.6001011649410978	0.6567281557780892	0.47824292634680465	0.5943858341579504	0.6181711998705598	0.5068986800749857	0.6065974421208804	0.33799276581850923	0.49904255476097925	0.6028751859682918	0.6054303022848078	0.5870119534451788	0.49744951214279753	0.4368874530984803	0.36609796116740373	0.45271048682970927	0.4511292206667879	0.5660452961254943	0.40172030716220897	0.5096686545515404	0.5588374469550553	0.44813919141225506	0.40654931402172345	0.2787788728381486	0.4440571226125364
s17pp	0.3421418297848169	0.0	0.374618511278162	0.3275002495555427	0.29455405328096673	0.3345217189971029	0.3317424136431607	0.2233205979459631	0.26196519214802555	0.25174610189585034	0.2301951971926542	0.22933278086895414	0.37946584388299076	0.4564583770833063	0.2970577701227921	0.5176265780253961	0.586590830086235	0.47820046962271295	0.5054733538106051	0.6388930221274007	0.52143975962225	0.5453023466633137	0.5445700972363516	0.601197088073343	0.4227118586420585	0.5388547664532044	0.5626401321658137	0.45136761237023953	0.5510663744161344	0.2824616981137631	0.4435114870562331	0.5473441182635457	0.5498992345800616	0.5314808857404326	0.4419184444380514	0.3813563853937342	0.3105668934626576	0.39717941912496313	0.39559815296204176	0.5105142284207481	0.3461892394574628	0.4541375868467943	0.5033063792503092	0.3926081237075089	0.3510182463169773	0.22324780513340245	0.38852605490779024
w6pp	0.4301495789829081	0.374618511278162	0.0	0.12073420016506978	0.15562490155465702	0.2513994433298045	0.30954842115559056	0.22832174864964605	0.2669663428517085	0.2567472525995333	0.23519634789633714	0.2343339315726371	0.3844669945866737	0.4614595277869892	0.3020589208264751	0.5226277287290791	0.591591980789918	0.4832016203263959	0.510474504514288	0.6438941728310837	0.526440910325933	0.5503034973669967	0.5495712479400345	0.6061982387770259	0.4277130093457414	0.5438559171568873	0.5676412828694966	0.4563687630739225	0.5560675251198173	0.2874628488174461	0.44851263775991607	0.5523452689672286	0.5549003852837446	0.5364820364441156	0.4469195951417344	0.3863575360974171	0.31556804416634054	0.40218056982864603	0.4005993036657247	0.5155153791244311	0.3511903901611457	0.45913873755047724	0.5083075299539921	0.39760927441119187	0.3560193970206602	0.2282489558370854	0.39352720561147314
f6ppA	0.38303131726028883	0.3275002495555427	0.12073420016506978	0.0	0.10850663983203775	0.20428118160718522	0.26243015943297127	0.18120348692702676	0.2198480811290892	0.209628990876914	0.18807808617371785	0.1872156698500178	0.3373487328640544	0.41434126606436994	0.25494065910385577	0.47550946700645985	0.5444737190672988	0.4360833586037766	0.4633562427916687	0.5967759111084645	0.4793226486033137	0.5031852356443773	0.5024529862174153	0.5590799770544067	0.3805947476231222	0.496737655434268	0.5205230211468773	0.4092505013513032	0.5089492633971979	0.24034458709482678	0.4013943760372968	0.5052270072446093	0.5077821235611253	0.4893637747214963	0.39980133341911506	0.33923927437479784	0.26844978244372125	0.3550623081060268	0.3534810419431054	0.4683971174018118	0.3040721284385265	0.41202047582785795	0.46118926823137285	0.3504910126885726	0.308901135298041	0.1811306941144661	0.3464089438888539
f6ppB	0.35008512098571287	0.29455405328096673	0.15562490155465702	0.10850663983203775	0.0	0.17133498533260927	0.2294839631583953	0.14825729065245083	0.18690188485451326	0.17668279460233804	0.15513188989914192	0.15426947357544185	0.30440253658947847	0.381395069789794	0.22199446282927987	0.44256327073188395	0.5115275227927228	0.4031371623292007	0.4304100465170928	0.5638297148338886	0.4463764523287378	0.4702390393698014	0.46950678994283934	0.5261337807798308	0.3476485513485462	0.4637914591596921	0.48757682487230136	0.3763043050767273	0.4760030671226221	0.20739839082025086	0.3684481797627208	0.4722808109700334	0.47483592728654933	0.4564175784469203	0.36685513714453916	0.3062930781002219	0.2355035861691453	0.32211611183145084	0.3205348456685295	0.4354509211272358	0.27112593216395053	0.379074279553282	0.4282430719567969	0.3175448164139967	0.275954939023465	0.14818449783989018	0.31346274761427795
s13pp	0.39005278670184906	0.3345217189971029	0.2513994433298045	0.20428118160718522	0.17133498533260927	0.0	0.26945162887453145	0.18822495636858697	0.2268695505706494	0.21665046031847418	0.19509955561527806	0.194237139291578	0.34437020230561466	0.4213627355059301	0.261962128545416	0.48253093644802003	0.5514951885088589	0.4431048280453368	0.4703777122332289	0.6037973805500246	0.4863441180448739	0.5102067050859376	0.5094744556589755	0.5661014464959669	0.38761621706468236	0.5037591248758282	0.5275444905884376	0.4162719707928634	0.5159707328387582	0.247366056536387	0.408415845478857	0.5122484766861696	0.5148035930026855	0.4963852441630565	0.4068228028606753	0.346260743816358	0.27547125188528143	0.36208377754758697	0.3605025113846656	0.475418586843372	0.31109359788008667	0.4190419452694182	0.4682107376729331	0.35751248213013276	0.31592260473960115	0.18815216355602632	0.3534304133304141
f20ppB	0.38727348134790684	0.3317424136431607	0.30954842115559056	0.26243015943297127	0.2294839631583953	0.26945162887453145	0.0	0.18544565101464477	0.22409024521670723	0.21387115496453202	0.19232025026133587	0.19145783393763582	0.34159089695167244	0.41858343015198796	0.2591828231914738	0.47975163109407787	0.5487158831549168	0.44032552269139463	0.4675984068792867	0.6010180751960825	0.4835648126909317	0.5074273997319954	0.5066951503050333	0.5633221411420247	0.3848369117107402	0.500979819521886	0.5247651852344953	0.4134926654389212	0.5131914274848159	0.2445867511824448	0.4056365401249148	0.5094691713322274	0.5120242876487433	0.4936059388091143	0.4040434975067331	0.34348143846241586	0.27269194653133927	0.3593044721936448	0.35772320603072344	0.4726392814894298	0.3083142925261445	0.41626263991547596	0.46543143231899087	0.3547331767761906	0.313143299385659	0.18537285820208413	0.3506511079764719
f14ppB	0.2788516656507093	0.2233205979459631	0.22832174864964605	0.18120348692702676	0.14825729065245083	0.18822495636858697	0.18544565101464477	0.0	0.06416492203548932	0.0539458317833141	0.047438838096481695	0.04657642177278164	0.19670948478681827	0.2737020179871338	0.11430141102661964	0.3348702189292237	0.4038344709900626	0.29544411052654046	0.32271699471443255	0.4561366630312283	0.33868340052607754	0.3625459875671412	0.36181373814017914	0.41844072897717055	0.239955499545886	0.35609840735703185	0.37988377306964116	0.26861125327406704	0.3683100153199618	0.09970533901759063	0.2607551279600606	0.3645877591673732	0.36714287548388913	0.3487245266442601	0.25916208534187896	0.19860002629756165	0.1278105343664851	0.2144230600287906	0.21284179386586927	0.3277578693245756	0.1634328803612903	0.2713812277506218	0.3205500201541367	0.20985176461133642	0.1682618872208048	0.04049144603722996	0.20576969581161772
f16ppA	0.3174962598527717	0.26196519214802555	0.2669663428517085	0.2198480811290892	0.18690188485451326	0.2268695505706494	0.22409024521670723	0.06416492203548932	0.0	0.07447619885481718	0.08608343229854414	0.08522101597484408	0.23535407898888072	0.3123466121891962	0.15294600522868207	0.37351481313128615	0.44247906519212504	0.3340887047286029	0.361361588916495	0.49478125723329075	0.37732799472814	0.40119058176920364	0.4004583323422416	0.457085323179233	0.2786000937479484	0.3947430015590943	0.4185283672717036	0.3072558474761295	0.4069546095220243	0.13834993321965305	0.29939972216212307	0.40323235336943564	0.4057874696859516	0.3873691208463226	0.29780667954394135	0.23724462049962408	0.16645512856854752	0.25306765423085303	0.2514863880679317	0.3664024635266381	0.20207747456335273	0.31002582195268424	0.35919461435619915	0.24849635881339888	0.20690648142286722	0.0791360402392924	0.24441429001368015
f23ppA	0.3072771696005965	0.25174610189585034	0.2567472525995333	0.209628990876914	0.17668279460233804	0.21665046031847418	0.21387115496453202	0.0539458317833141	0.07447619885481718	0.0	0.07586434204636891	0.07500192572266887	0.22513498873670548	0.30212752193702097	0.14272691497650686	0.36329572287911094	0.43225997493994983	0.3238696144764277	0.3511424986643198	0.48456216698111554	0.3671089044759648	0.3909714915170284	0.3902392420900664	0.4468662329270578	0.2683810034957732	0.3845239113069191	0.4083092770195284	0.2970367572239543	0.39673551926984907	0.12813084296747784	0.28918063190994786	0.3930132631172604	0.3955683794337764	0.37715003059414737	0.28758758929176614	0.22702553024744887	0.1562360383163723	0.24284856397867782	0.24126729781575648	0.35618337327446287	0.19185838431117752	0.29980673170050903	0.34897552410402394	0.23827726856122364	0.196687391170692	0.06891694998711718	0.23419519976150494
