	f4pp	f2pp	f1pp	w9pp	S19H1	f11pp	f12ppB	f20ppA	f6ppB	f23ppA	f21pp	f7pp	w14pp	f10pp	w20pp	f18pp	F8H1	f8pp
f4pp	0.0	0.1927104708842727	0.237918996322529	0.3146013751483793	0.39172496616737823	0.47610787358763523	0.24705693918352706	0.36770081858777404	0.28565938102513155	0.3051631947747443	0.3152639479147605	0.2896069737482933	0.3900896820369967	0.34023767917536085	0.3850391777731397	0.32354039199865914	0.4307732781764554	0.22152244662258228
f2pp	0.1927104708842727	0.0	0.21823899966477062	0.29492137849062094	0.4338238508737428	0.5565789916998398	0.32752805729573164	0.4481719366999787	0.3661304991373362	0.3856343128869489	0.39573506602696507	0.3700780918604979	0.4705608001492013	0.42070879728756544	0.4655102958853443	0.4040115101108638	0.51124439628866	0.3019935647347869
f1pp	0.237918996322529	0.21823899966477062	0.0	0.15061085827607548	0.4790323763119991	0.6017875171380962	0.37273658273398796	0.49338046213823494	0.41133902457559246	0.4308428383252052	0.4409435914652214	0.41528661729875416	0.5157693255874576	0.46591732272582176	0.5107188213236006	0.44922003554912004	0.5564529217269163	0.34720209017304315
w9pp	0.3146013751483793	0.29492137849062094	0.15061085827607548	0.0	0.5557147551378494	0.6784698959639465	0.4494189615598383	0.5700628409640853	0.4880214034014428	0.5075252171510555	0.5176259702910717	0.49196899612460454	0.592451704413308	0.542599701551672	0.5874012001494509	0.5259024143749703	0.6331353005527666	0.4238844689988934
S19H1	0.39172496616737823	0.4338238508737428	0.4790323763119991	0.5557147551378494	0.0	0.7555934869829454	0.5265425525788372	0.6471864319830842	0.5651449944204416	0.5846488081700544	0.5947495613100706	0.5690925871436034	0.6695752954323069	0.6197232925706709	0.6645247911684498	0.6030260053939692	0.7102588915717655	0.5010080600178923
f11pp	0.47610787358763523	0.5565789916998398	0.6017875171380962	0.6784698959639465	0.7555934869829454	0.0	0.3224065084847105	0.5866388255103927	0.5045973879477503	0.524101201697363	0.5342019548373792	0.508544980670912	0.6090276889596153	0.5591756860979795	0.677714798064283	0.6162160122898024	0.7234488984675986	0.5141980669137255
f12ppB	0.24705693918352706	0.32752805729573164	0.37273658273398796	0.4494189615598383	0.5265425525788372	0.3224065084847105	0.0	0.3575878911062846	0.27554645354364216	0.29505026729325484	0.3051510204332711	0.27949404626680385	0.3799767545555072	0.3301247516938714	0.44866386366017486	0.3871650778856942	0.4943979640634905	0.28514713250961743
f20ppA	0.36770081858777404	0.4481719366999787	0.49338046213823494	0.5700628409640853	0.6471864319830842	0.5866388255103927	0.3575878911062846	0.0	0.22514693178060605	0.36679530894588114	0.3768960620858973	0.35123908791943015	0.4517217962081336	0.4018697933464977	0.5693077430644218	0.5078089572899412	0.6150418434677375	0.40579101191386435
f6ppB	0.28565938102513155	0.3661304991373362	0.41133902457559246	0.4880214034014428	0.5651449944204416	0.5045973879477503	0.27554645354364216	0.22514693178060605	0.0	0.2847538713832387	0.2948546245232549	0.26919765035678767	0.3696803586454911	0.31982835578385527	0.4872663055017793	0.42576751972729876	0.533000405905095	0.32374957435122187
f23ppA	0.3051631947747443	0.3856343128869489	0.4308428383252052	0.5075252171510555	0.5846488081700544	0.524101201697363	0.29505026729325484	0.36679530894588114	0.2847538713832387	0.0	0.1950185820796307	0.2286404524117806	0.329123160700484	0.27927115783884815	0.506770119251392	0.4452713334769115	0.5525042196547078	0.3432533881008346
