	S31Hp	s29pp	s2pp	S19H1	s25pp	s24pp	F29H1	s17pp	s28pp	s14pp
S31Hp	0.0	0.671475105886064	0.5589669939231913	0.8118144758669947	0.5885024410118885	0.6957124555295633	0.9270436068076847	0.6422031209673521	0.5273397669623275	0.5513072904302109
s29pp	0.671475105886064	0.0	0.27857444908111534	0.6399054775856372	0.416593442730531	0.5238034572482058	0.7551346085263273	0.4702941226859946	0.39925757232523645	0.5429892574787889
s2pp	0.5589669939231913	0.27857444908111534	0.0	0.5273973656227646	0.3040853307676583	0.4112953452853331	0.6426264965634546	0.3577860107231219	0.2867494603623638	0.43048114551591626
S19H1	0.8118144758669947	0.6399054775856372	0.5273973656227646	0.0	0.4289839418053086	0.5361939563229834	0.7675251076011049	0.5577952771786965	0.5395969423061673	0.6833286274597198
s25pp	0.5885024410118885	0.416593442730531	0.3040853307676583	0.4289839418053086	0.0	0.3128799214668771	0.5442110727449986	0.3344832423235903	0.3162849074510611	0.46001659260461353
s24pp	0.6957124555295633	0.5238034572482058	0.4112953452853331	0.5361939563229834	0.3128799214668771	0.0	0.5757912624843309	0.44169325684126515	0.42349492196873584	0.5672266071222883
F29H1	0.9270436068076847	0.7551346085263273	0.6426264965634546	0.7675251076011049	0.5442110727449986	0.5757912624843309	0.0	0.6730244081193866	0.6548260732468574	0.7985577584004098
s17pp	0.6422031209673521	0.4702941226859946	0.3577860107231219	0.5577952771786965	0.3344832423235903	0.44169325684126515	0.6730244081193866	0.0	0.36998558740652465	0.5137172725600772
s28pp	0.5273397669623275	0.39925757232523645	0.2867494603623638	0.5395969423061673	0.3162849074510611	0.42349492196873584	0.6548260732468574	0.36998558740652465	0.0	0.3988539185550526
s14pp	0.5513072904302109	0.5429892574787889	0.43048114551591626	0.6833286274597198	0.46001659260461353	0.5672266071222883	0.7985577584004098	0.5137172725600772	0.3988539185550526	0.0
