	s31pp	w31pp	w12pp	f29pp	w16pp	f25pp	w25pp	s14pp	w14pp	s24pp	w24pp	f24pp	w9pp	S18H1	f32pp	f19pp	s25pp	s27pp	w27pp	f11pp	w11pp	w32pp	f6ppB	s8pp	w8pp	w20pp	f6ppA	w6pp	s20pp	f21pp	f9pp	w13pp	S20H1	F14H1A	S9H1	S3Hp	f7pp	w18pp	s30pp	f22ppA	s3pp	w3pp	f2pp	s2pp	w2pp	w26pp	f13pp	f4pp	w4pp	f14ppA	f26pp	f10pp	f14ppB	S1Hp	F6H1	f8pp	w10pp	f23ppA	f16ppA	f31pp	s17pp	s1pp	w1pp	s28pp	w28pp	f28pp	w17pp	f15pp	w15pp	w29pp	s29pp	w23pp	s23pp
s31pp	0.0	0.07787882109109054	0.20168946882059552	0.21836165401241525	0.27006582101473625	0.19086896624945887	0.24663668787704274	0.2988806987134554	0.26655692827905864	0.19567499196563826	0.24000846443817547	0.19538758439066767	0.24087695813895732	0.3586069890220314	0.24460228418018726	0.24447793456705647	0.26257630192486325	0.28642570748257934	0.2972647803406635	0.27260567933058066	0.2261825988482648	0.2591538596619225	0.26578127920160316	0.2975533433567241	0.28052314996920297	0.2692240619119682	0.2798381519611641	0.2531319946556326	0.28142387900507965	0.23362114478873172	0.23364914263251896	0.22559224861967653	0.3231636535959122	0.34856952199094016	0.3838758951419877	0.45803613093514606	0.23915197422020557	0.2428453547953736	0.26021708784629843	0.2696712671375217	0.27937286460913874	0.24658096284411196	0.28378639530358724	0.22059885094939263	0.2177148737261662	0.2477336549625308	0.23322655268790105	0.2256271187652777	0.22687425065909989	0.24786617173138492	0.21911996362880648	0.22603969197187956	0.2484170475184061	0.3828132737974663	0.3492754635658151	0.22287482731791367	0.2535572255380357	0.28142832943425033	0.2662763674754186	0.2549469375014648	0.28557261558755576	0.2585878468113486	0.23903366324330394	0.27274133513088605	0.2610895739062058	0.25759472354262286	0.18708949840447447	0.24718987958294458	0.19982196401533195	0.23261457529693308	0.2020392602274531	0.21903626831859813	0.23930120069751387
w31pp	0.07787882109109054	0.0	0.19247889611417568	0.20915108130599544	0.2608552483083164	0.18165839354303903	0.2374261151706229	0.28967012600703557	0.2573463555726388	0.18646441925921842	0.23079789173175566	0.18617701168424783	0.2316663854325375	0.3493964163156116	0.23539171147376742	0.23526736186063663	0.2533657292184434	0.27721513477615956	0.2880542076342437	0.2633951066241609	0.21697202614184496	0.2499432869555027	0.2565707064951833	0.28834277065030434	0.27131257726278313	0.26001348920554834	0.27062757925474434	0.24392142194921276	0.2722133062986598	0.2244105720823119	0.22443856992609912	0.21638167591325672	0.31395308088949236	0.3393589492845203	0.37466532243556794	0.4488255582287263	0.22994140151378573	0.23363478208895377	0.2510065151398786	0.26046069443110187	0.2701622919027189	0.23737039013769212	0.2745758225971674	0.2113882782429728	0.20850430101974637	0.238523082256111	0.22401597998148123	0.21641654605885785	0.21766367795268005	0.2386555990249651	0.20990939092238664	0.21682911926545972	0.23920647481198626	0.37360270109104654	0.3400648908593953	0.21366425461149385	0.24434665283161588	0.27221775672783055	0.25706579476899877	0.24573636479504496	0.27636204288113597	0.2493772741049288	0.2298230905368841	0.26353076242446627	0.25187900119978596	0.24838415083620305	0.17787892569805464	0.23797930687652477	0.19061139130891214	0.22340400259051324	0.19282868752103327	0.20982569561217831	0.23009062799109403
w12pp	0.20168946882059552	0.19247889611417568	0.0	0.1332268580315642	0.21101612027571398	0.1318192655104366	0.18758698713802047	0.23983099797443316	0.20750722754003637	0.13662529122661599	0.18095876369915323	0.1363378836516454	0.18182725739993508	0.2995572882830092	0.185552583441165	0.1854282338280342	0.20352660118584098	0.2273760067435571	0.23821507960164126	0.21355597859155842	0.16713289810924253	0.20010415892290026	0.20673157846258092	0.23850364261770188	0.2214734492301807	0.21017436117294594	0.22078845122214188	0.19408229391661036	0.2223741782660574	0.17457144404970948	0.1745994418934967	0.16654254788065428	0.26411395285689	0.2895198212519179	0.32482619440296545	0.3989864301961238	0.1801022734811833	0.18379565405635134	0.2011673871072762	0.21062156639849944	0.2203231638701165	0.1875312621050897	0.224736694564565	0.16154915021037036	0.15866517298714394	0.18868395422350856	0.1741768519488788	0.16657741802625542	0.16782454992007761	0.18881647099236268	0.1600702628897842	0.1669899912328573	0.18936734677938383	0.32376357305844405	0.2902257628267929	0.16382512657889142	0.19450752479901345	0.2223786286952281	0.20722666673639634	0.19589723676244253	0.2265229148485335	0.19953814607232637	0.17998396250428167	0.2136916343918638	0.20203987316718353	0.19854502280360062	0.1280397976654522	0.18814017884392237	0.1407722632763097	0.1735648745579108	0.14298955948843084	0.1860859966826636	0.2063509290615793
f29pp	0.21836165401241525	0.20915108130599544	0.1332268580315642	0.0	0.22768830546753374	0.14849145070225636	0.20425917232984023	0.2565031831662529	0.22417941273185613	0.15329747641843575	0.197630948890973	0.15301006884346516	0.19849944259175484	0.31622947347482894	0.20222476863298477	0.20210041901985398	0.22019878637766074	0.24404819193537686	0.254887264793461	0.23022816378337818	0.18380508330106232	0.21677634411472002	0.22340376365440068	0.25517582780952164	0.23814563442200046	0.2268465463647657	0.23746063641396165	0.2107544791084301	0.23904636345787716	0.1912436292415292	0.19127162708531645	0.18321473307247405	0.2807861380487097	0.3061920064437377	0.34149837959478524	0.4156586153879436	0.19677445867300306	0.2004678392481711	0.21783957229909595	0.2272937515903192	0.23699534906193626	0.20420344729690948	0.24140887975638475	0.17822133540219015	0.1753373581789637	0.20535613941532832	0.19084903714069856	0.18324960321807518	0.1844967351118974	0.20548865618418244	0.17674244808160397	0.18366217642467705	0.2060395319712036	0.34043575825026384	0.30689794801861264	0.18049731177071116	0.21117970999083321	0.23905081388704785	0.2238988519282161	0.21256942195426232	0.24319510004035327	0.21621033126414613	0.19665614769610146	0.23036381958368357	0.2187120583590033	0.21521720799542038	0.14471198285727196	0.2048123640357421	0.15744444846812944	0.1902370597497306	0.15966174468025063	0.20275818187448336	0.2230231142533991
w16pp	0.27006582101473625	0.2608552483083164	0.21101612027571398	0.22768830546753374	0.0	0.10721948111380553	0.21029087654648776	0.26253488738290043	0.2302111169485036	0.17554391936051178	0.21987739183304905	0.1752565117855412	0.22990643939404753	0.34763647027712163	0.23363176543527747	0.23350741582214668	0.2516057831799534	0.2754551887376695	0.28629426159575366	0.2616351605856708	0.21521208010335502	0.2481833409170127	0.2548107604566934	0.2865828246118143	0.2695526312242931	0.2582535431670584	0.2688676332162543	0.2421614759107228	0.27045336026016986	0.2226506260438219	0.22267862388760915	0.21462172987476674	0.3121931348510024	0.3375990032460303	0.3729053763970779	0.4470656121902362	0.22818145547529575	0.2318748360504638	0.24924656910138862	0.25870074839261187	0.26840234586422895	0.23561044409920218	0.27281587655867745	0.20962833220448285	0.2067443549812564	0.23676313621762102	0.22225603394299126	0.21465660002036788	0.2159037319141901	0.23689565298647514	0.20814944488389667	0.21506917322696975	0.23744652877349628	0.3718427550525565	0.33830494482090534	0.21190430857300385	0.2425867067931259	0.2704578106893405	0.25530584873050877	0.243976418756555	0.2746020968426459	0.2476173280664388	0.22806314449839415	0.2617708163859762	0.25011905516129596	0.24662420479771308	0.18493650864445496	0.25301051601778207	0.2056426004501694	0.23843521173177054	0.20785989666229057	0.25446234887680436	0.27472728125572005
f25pp	0.19086896624945887	0.18165839354303903	0.1318192655104366	0.14849145070225636	0.10721948111380553	0.0	0.13109402178121038	0.18333803261762305	0.15101426218322625	0.09634706459523443	0.14068053706777167	0.09605965702026384	0.15070958462877015	0.26843961551184425	0.1544349106700001	0.1543105610568693	0.17240892841467603	0.19625833397239217	0.20709740683047634	0.1824383058203935	0.13601522533807764	0.16898648615173534	0.175613905691416	0.20738596984653695	0.19035577645901575	0.17905668840178102	0.18967077845097696	0.16296462114544544	0.19125650549489248	0.14345377127854456	0.1434817691223318	0.13542487510948936	0.23299628008572504	0.25840214848075294	0.29370852163180056	0.3678687574249589	0.1489846007100184	0.15267798128518645	0.17004971433611127	0.1795038936273345	0.18920549109895157	0.1564135893339248	0.19361902179340007	0.13043147743920547	0.12754750021597905	0.15756628145234364	0.14305917917771388	0.13545974525509052	0.13670687714891272	0.15769879822119776	0.12895259011861931	0.1358723184616924	0.15824967400821893	0.29264590028727916	0.25910809005562796	0.1327074538077265	0.16338985202784856	0.19126095592406317	0.1761089939652314	0.16477956399127763	0.1954052420773686	0.16842047330116144	0.14886628973311677	0.1825739616206989	0.1709222003960186	0.1674273500324357	0.1057396538791776	0.1738136612525047	0.12644574568489203	0.1592383569664932	0.12866304189701322	0.17526549411152695	0.19553042649044267
w25pp	0.24663668787704274	0.2374261151706229	0.18758698713802047	0.20425917232984023	0.21029087654648776	0.13109402178121038	0.0	0.21357410919733638	0.18125033876293958	0.1521147862228183	0.19644825869535557	0.1518273786478477	0.20647730625635405	0.3242073371394281	0.21020263229758396	0.21007828268445317	0.2281766500422599	0.25202605559997604	0.2628651284580602	0.23820602744797736	0.1917829469656615	0.2247542077793192	0.23138162731899986	0.2631536914741208	0.24612349808659964	0.23482441002936488	0.24543850007856083	0.21873234277302933	0.24702422712247635	0.19922149290612845	0.19924949074991566	0.19119259673707326	0.2887640017133089	0.31416987010833686	0.3494762432593844	0.42363647905254276	0.20475232233760227	0.20844570291277031	0.22581743596369513	0.23527161525491838	0.24497321272653544	0.21218131096150866	0.24938674342098394	0.18619919906678933	0.18331522184356291	0.21333400307992753	0.19882690080529777	0.1912274668826744	0.19247459877649659	0.21346651984878165	0.18472031174620318	0.19164004008927626	0.2140173956358028	0.348413621914863	0.3148758116832118	0.1884751754353104	0.21915757365543242	0.24702867755164704	0.23187671559281528	0.2205472856188615	0.25117296370495246	0.2241881949287453	0.20463401136070064	0.23834168324828275	0.2266899220236025	0.22319507166001956	0.16150737550676147	0.22958138288008856	0.1822134673124759	0.21500607859407705	0.18443076352459709	0.23103321573911081	0.25129814811802653
s14pp	0.2988806987134554	0.28967012600703557	0.23983099797443316	0.2565031831662529	0.26253488738290043	0.18333803261762305	0.21357410919733638	0.0	0.06889706730182794	0.20435879705923096	0.24869226953176823	0.20407138948426037	0.2587213170927667	0.3764513479758408	0.2624466431339966	0.26232229352086583	0.28042066087867257	0.3042700664363887	0.3151091392944729	0.29045003828439003	0.24402695780207417	0.2769982186157319	0.28362563815541253	0.3153977023105335	0.29836750892301234	0.28706842086577755	0.2976825109149735	0.270976353609442	0.299268237958889	0.2514655037425411	0.2514935015863283	0.24343660757348592	0.3410080125497216	0.36641388094474947	0.4017202540957971	0.4758804898889554	0.25699633317401493	0.260689713749183	0.2780614468001078	0.2875156260913311	0.2972172235629481	0.26442532179792133	0.3016307542573966	0.238443209903202	0.23555923267997558	0.26557801391634017	0.25107091164171047	0.24347147771908706	0.24471860961290925	0.26571053068519435	0.23696432258261585	0.24388405092568893	0.26626140647221547	0.4006576327512757	0.3671198225196245	0.24071918627172306	0.2714015844918451	0.2992726883880597	0.2841207264292279	0.27279129645527417	0.3034169745413651	0.276432205765158	0.2568780221971133	0.2905856940846954	0.27893393286001517	0.27543908249643223	0.21375138634317414	0.2818253937165013	0.2344574781488886	0.2672500894304897	0.23667477436100975	0.2832772265755235	0.30354215895443926
w14pp	0.26655692827905864	0.2573463555726388	0.20750722754003637	0.22417941273185613	0.2302111169485036	0.15101426218322625	0.18125033876293958	0.06889706730182794	0.0	0.17203502662483416	0.21636849909737144	0.17174761904986358	0.22639754665836992	0.34412757754144396	0.23012287269959986	0.22999852308646906	0.2480968904442758	0.27194629600199194	0.2827853688600761	0.25812626784999326	0.2117031873676774	0.24467444818133507	0.2513018677210157	0.2830739318761367	0.2660437384886155	0.2547446504313807	0.2653587404805767	0.23865258317504517	0.2669444675244922	0.2191417333081443	0.21916973115193153	0.21111283713908913	0.30868424211532475	0.3340901105103527	0.3693964836614003	0.44355671945455866	0.22467256273961814	0.22836594331478619	0.245737676365711	0.25519185565693425	0.2648934531285513	0.23210155136352456	0.2693069838229998	0.20611943946880523	0.20323546224557879	0.2332542434819434	0.21874714120731364	0.21114770728469026	0.21239483917851248	0.23338676025079752	0.20464055214821905	0.21156028049129214	0.23393763603781867	0.3683338623168789	0.33479605208522767	0.20839541583732624	0.2390778140574483	0.26694891795366293	0.25179695599483115	0.2404675260208774	0.27109320410696836	0.24410843533076118	0.22455425176271654	0.25826192365029865	0.24661016242561834	0.24311531206203546	0.18142761590877735	0.24950162328210446	0.2021337077144918	0.23492631899609293	0.20435100392661296	0.25095345614112674	0.27121838852004243
s24pp	0.19567499196563826	0.18646441925921842	0.13662529122661599	0.15329747641843575	0.17554391936051178	0.09634706459523443	0.1521147862228183	0.20435879705923096	0.17203502662483416	0.0	0.13099776381845854	0.0863768837709507	0.15551561034494954	0.27324564122802364	0.15924093638617948	0.15911658677304868	0.17721495413085542	0.20106435968857156	0.21190343254665572	0.18724433153657288	0.14082125105425702	0.17379251186791472	0.18041993140759538	0.21219199556271634	0.19516180217519513	0.1838627141179604	0.19447680416715635	0.16777064686162482	0.19606253121107187	0.14825979699472394	0.14828779483851118	0.14023090082566875	0.23780230580190442	0.2632081741969323	0.29851454734797994	0.3726747831411383	0.15379062642619779	0.15748400700136583	0.17485574005229065	0.18430991934351387	0.19401151681513096	0.16121961505010418	0.19842504750957946	0.13523750315538485	0.13235352593215843	0.16237230716852302	0.14786520489389327	0.1402657709712699	0.1415129028650921	0.16250482393737714	0.1337586158347987	0.14067834417787178	0.16305569972439832	0.29745192600345854	0.26391411577180734	0.13751347952390588	0.16819587774402794	0.19606698164024255	0.18091501968141077	0.16958558970745702	0.20021126779354798	0.17322649901734083	0.15367231544929616	0.18737998733687827	0.175728226112198	0.17223337574861508	0.11054567959535698	0.17861968696868408	0.13125177140107142	0.16404438268267257	0.1334690676131926	0.18007151982770633	0.20033645220662205
