	f8pp	f30pp	w1pp	f1pp	s1pp	w10pp	f10pp	w3pp	w2pp	f2pp	w13pp	f17ppA	f14ppB	f20ppB	w4pp	w20pp	S13Hp	f6ppB	S20H1	f6ppA	w6pp	w8pp	f14ppA	f32pp	S27H1	w19pp	S26Hp	F6H1	f13pp	f16ppA	f26pp	f31pp	f18pp	w18pp	f21pp	w17pp	f12ppA	s25pp	f9pp	w9pp	F14H1A	w26pp	S9H1	530295	S1Hp	w14pp	f29pp	w27pp	w15pp	f7pp	f4pp	f15pp	w11pp	f11pp	f12ppB	f19pp	f23ppA	f24pp	F7H1	f25pp	w16pp	f16ppB	f22ppB	w23pp	w12pp	f22ppA	S22Hp	S18H1
f8pp	0.0	0.14596910972915084	0.16583065065712962	0.20851189714377077	0.21789809886192874	0.14564642432918817	0.1745654402323065	0.1284514941850196	0.17344758085080267	0.16112863200154573	0.14541607923161426	0.142090315882164	0.12444828720419862	0.19703002186415697	0.2172312072686169	0.21438963551592144	0.3087249206304306	0.21576149252240812	0.29054676741507585	0.22431054570411024	0.22737201312028965	0.21722249966119184	0.2003761748911948	0.15789553912644633	0.3074417913365155	0.2643350318573821	0.3228359178221927	0.3022373272844381	0.1578112129281444	0.2541281270499353	0.19714677185007068	0.18936972155637066	0.21907656594435115	0.1950495387025401	0.1973581242907968	0.25175592539557534	0.2580657155748075	0.19037164535340972	0.17408231451040151	0.19277256253668568	0.2664926625622755	0.2483367861749644	0.29988353173915333	0.309582653349452	0.3106724386281018	0.2655645442847251	0.20850411202569807	0.21853084526316058	0.2563689605691716	0.17484882404984897	0.20073161965412933	0.1793403061718937	0.2035008317519319	0.2173187039798703	0.19169034452699252	0.2283242424596943	0.2559478269005598	0.17302575759857453	0.2644390263802309	0.17653866340021346	0.21490674655733583	0.16495027234857365	0.17301347559872632	0.1559398268495651	0.18781779091333342	0.14739221084582727	0.19067951366447988	0.2259660755775397
f30pp	0.14596910972915084	0.0	0.15519774591546964	0.19787899240211082	0.20726519412026878	0.13501351958752822	0.16393253549064654	0.11781858944335966	0.1798320723532753	0.1675131235040184	0.15180057073408693	0.14847480738463664	0.1308327787066713	0.2034145133666296	0.22361569877108955	0.2207741270183941	0.3151094121329033	0.22214598402488075	0.2969312589175485	0.2306950372065829	0.23375650462276232	0.2236069911636645	0.20676066639366744	0.164280030628919	0.31382628283898817	0.2707195233598548	0.32922040932466534	0.30862181878691075	0.16419570443061707	0.260512618552408	0.20353126335254332	0.19575421305884333	0.2254610574468238	0.20143403020501277	0.20374261579326944	0.258140416898048	0.2644502070772802	0.1967561368558824	0.18046680601287418	0.19915705403915834	0.27287715406474816	0.2547212776774371	0.306268023241626	0.3159671448519247	0.31705693013057445	0.27194903578719776	0.21488860352817074	0.22491533676563324	0.26275345207164424	0.18123331555232164	0.20711611115660197	0.18572479767436634	0.20988532325440454	0.22370319548234294	0.19807483602946518	0.23470873396216696	0.26233231840303245	0.1794102491010472	0.2708235178827036	0.18292315490268612	0.2212912380598085	0.17133476385104632	0.17939796710119899	0.16232431835203776	0.2074578018072955	0.16703222173978938	0.210319524558442	0.25422210227841757
w1pp	0.16583065065712962	0.15519774591546964	0.0	0.13511833935670559	0.14450454107486355	0.13321873258006287	0.1621377484831812	0.1274449494750955	0.1996936132812541	0.18737466443199718	0.1716621116620657	0.16833634831261543	0.15069431963465008	0.2232760542946084	0.24347723969906832	0.24063566794637287	0.33497095306088204	0.24200752495285954	0.3167927998455273	0.25055657813456167	0.2536180455507411	0.24346853209164326	0.22662220732164623	0.18414157155689775	0.33368782376696693	0.29058106428783353	0.34908195025264416	0.3284833597148895	0.18405724535859586	0.28037415948038674	0.2233928042805221	0.2156157539868221	0.24532259837480258	0.22129557113299153	0.22360415672124823	0.27800195782602677	0.28431174800525894	0.21661767778386118	0.20032834694085294	0.21901859496713713	0.2927386949927269	0.27458281860541583	0.32612956416960476	0.33582868577990344	0.3369184710585532	0.2918105767151765	0.2347501444561495	0.244776877693612	0.282614992999623	0.2010948564803004	0.22697765208458076	0.20558633860234513	0.22974686418238333	0.24356473641032172	0.21793637695744397	0.2545702748901457	0.2821938593310112	0.19927179002902595	0.29068505881068235	0.20278469583066489	0.24115277898778725	0.1911963047790251	0.19925950802917775	0.18218585928001652	0.2273193427352743	0.18689376266776814	0.23018106548642076	0.27408364320639633
f1pp	0.20851189714377077	0.19787899240211082	0.13511833935670559	0.0	0.1797892850849736	0.17589997906670402	0.20481899496982237	0.17012619596173667	0.24237485976789525	0.23005591091863833	0.21434335814870686	0.21101759479925658	0.19337556612129123	0.2659573007812496	0.2861584861857095	0.28331691443301404	0.3776521995475232	0.28468877143950067	0.35947404633216845	0.29323782462120285	0.29629929203738226	0.28614977857828444	0.26930345380828735	0.22682281804353893	0.3763690702536081	0.3332623107744747	0.3917631967392853	0.3711646062015307	0.226738491845237	0.3230554059670279	0.2660740507671633	0.25829700047346327	0.2880038448614437	0.2639768176196327	0.2662854032078894	0.32068320431266795	0.3269929944919001	0.25929892427050233	0.24300959342749412	0.2616998414537783	0.3354199414793681	0.317264065092057	0.36881081065624594	0.3785099322665446	0.3795997175451944	0.3344918232018177	0.2774313909427907	0.2874581241802532	0.3252962394862642	0.24377610296694158	0.26965889857122194	0.24826758508898628	0.2724281106690245	0.2862459828969629	0.2606176234440851	0.2972515213767869	0.3248751058176524	0.24195303651566713	0.33336630529732353	0.24546594231730606	0.28383402547442843	0.23387755126566626	0.24194075451581892	0.2248671057666577	0.27000058922191544	0.22957500915440932	0.27286231197306193	0.3167648896930375
s1pp	0.21789809886192874	0.20726519412026878	0.14450454107486355	0.1797892850849736	0.0	0.18528618078486198	0.21420519668798033	0.17951239767989463	0.2517610614860532	0.2394421126367963	0.22372955986686482	0.22040379651741454	0.2027617678394492	0.27534350249940753	0.29554468790386745	0.292703116151172	0.3870384012656812	0.2940749731576586	0.3688602480503264	0.3026240263393608	0.3056854937555402	0.2955359802964424	0.2786896555264453	0.2362090197616969	0.38575527197176607	0.3426485124926327	0.40114939845744324	0.38055080791968865	0.23612469356339497	0.3324416076851859	0.27546025248532124	0.26768320219162123	0.29739004657960166	0.27336301933779067	0.27567160492604736	0.3300694060308259	0.3363791962100581	0.2686851259886603	0.2523957951456521	0.27108604317193624	0.34480614319752606	0.326650266810215	0.3781970123744039	0.3878961339847026	0.38898591926335235	0.34387802491997566	0.28681759266094864	0.29684432589841114	0.33468244120442214	0.25316230468509954	0.2790451002893799	0.25765378680714424	0.28181431238718246	0.29563218461512086	0.2700038251622431	0.30663772309494486	0.33426130753581035	0.2513392382338251	0.3427525070154815	0.254852144035464	0.2932202271925864	0.24326375298382422	0.2513269562339769	0.23425330748481565	0.2793867909400734	0.23896121087256728	0.2822485136912199	0.32615109141119547
w10pp	0.14564642432918817	0.13501351958752822	0.13321873258006287	0.17589997906670402	0.18528618078486198	0.0	0.10661450943048113	0.10726072314715406	0.17950938695331264	0.1671904381040557	0.15147788533412423	0.14815212198467398	0.1305100933067086	0.20309182796666692	0.2232930133711269	0.22045144161843144	0.3147867267329406	0.22182329862491806	0.29660857351758585	0.23037235180662025	0.23343381922279965	0.22328430576370184	0.20643798099370475	0.1639573452289563	0.3135035974390255	0.2703968379598921	0.3288977239247027	0.3082991333869481	0.16387301903065438	0.2601899331524453	0.20320857795258063	0.19543152765888067	0.2251383720468611	0.2011113448050501	0.20341993039330675	0.25781773149808535	0.2641275216773175	0.19643345145591973	0.18014412061291152	0.19883436863919568	0.2725544686647855	0.2543985922774744	0.30594533784166333	0.315644459451962	0.3167342447306118	0.2716263503872351	0.21456591812820808	0.22459265136567058	0.2624307666716816	0.18091063015235895	0.20679342575663928	0.18540211227440367	0.20956263785444185	0.22338051008238025	0.19775215062950252	0.2343860485622043	0.2620096330030698	0.17908756370108453	0.2705008324827409	0.18260046950272346	0.22096855265984583	0.17101207845108363	0.1790752817012363	0.1620016329520751	0.20713511640733284	0.1667095363398267	0.20999683915847933	0.25389941687845485
f10pp	0.1745654402323065	0.16393253549064654	0.1621377484831812	0.20481899496982237	0.21420519668798033	0.10661450943048113	0.0	0.1361797390502724	0.208428402856431	0.19610945400717406	0.18039690123724256	0.17707113788779233	0.15942910920982695	0.23201084386978527	0.25221202927424524	0.24937045752154977	0.3437057426360589	0.2507423145280364	0.32552758942070414	0.2592913677097386	0.262352835125918	0.25220332166682013	0.2353569968968231	0.19287636113207463	0.34242261334214386	0.2993158538630104	0.35781673982782103	0.33721814929006644	0.19279203493377273	0.2891089490555636	0.23212759385569898	0.224350543561999	0.25405738794997945	0.23003036070816843	0.2323389462964251	0.2867367474012037	0.29304653758043586	0.22535246735903808	0.20906313651602984	0.22775338454231403	0.3014734845679038	0.2833176081805927	0.33486435374478163	0.34456347535508036	0.34565326063373014	0.30054536629035344	0.2434849340313264	0.25351166726878893	0.29134978257479993	0.20982964605547727	0.23571244165975763	0.21432112817752202	0.2384816537575602	0.2522995259854986	0.22667116653262087	0.26330506446532265	0.2909286489061881	0.20800657960420285	0.2994198483858592	0.21151948540584178	0.24988756856296415	0.19993109435420198	0.20799429760435462	0.19092064885519341	0.2360541323104512	0.19562855224294504	0.23891585506159765	0.2828184327815732
w3pp	0.1284514941850196	0.11781858944335966	0.1274449494750955	0.17012619596173667	0.17951239767989463	0.10726072314715406	0.1361797390502724	0.0	0.16231445680914408	0.14999550795988717	0.13428295518995567	0.13095719184050542	0.11331516316254006	0.18589689782249838	0.20609808322695833	0.20325651147426288	0.29759179658877205	0.20462836848074953	0.2794136433734173	0.21317742166245168	0.2162388890786311	0.20608937561953328	0.18924305084953622	0.14676241508478774	0.29630866729485694	0.25320190781572355	0.3117027937805341	0.2911042032427795	0.14667808888648584	0.24299500300827676	0.1860136478084121	0.1782365975147121	0.20794344190269257	0.18391641466088154	0.1862250002491382	0.24062280135391678	0.24693259153314895	0.17923852131175116	0.16294919046874295	0.18163943849502712	0.25535953852061694	0.23720366213330585	0.28875040769749477	0.29844952930779345	0.29953931458644323	0.25443142024306653	0.19737098798403951	0.20739772122150202	0.24523583652751302	0.16371570000819038	0.18959849561247075	0.1682071821302351	0.1923677077102733	0.2061855799382117	0.18055722048533396	0.21719111841803573	0.24481470285890122	0.16189263355691597	0.25330590233857236	0.1654055393585549	0.20377362251567727	0.1538171483069151	0.16188035155706773	0.14480670280790653	0.18994018626316428	0.14951460619565815	0.19280190901431077	0.23670448673428632
w2pp	0.17344758085080267	0.1798320723532753	0.1996936132812541	0.24237485976789525	0.2517610614860532	0.17950938695331264	0.208428402856431	0.16231445680914408	0.0	0.09870037346700372	0.16353665161410802	0.16021088826465776	0.1425688595866924	0.2151505942466507	0.23535177965111065	0.2325102078984152	0.32684549301292437	0.23388206490490188	0.3086673397975696	0.242431118086604	0.2454925855027834	0.2353430720436856	0.21849674727368854	0.1760161115089401	0.32556236371900926	0.28245560423987587	0.3409564902046865	0.32035789966693184	0.1759317853106382	0.2722486994324291	0.21526734423256444	0.20749029393886442	0.23719713832684491	0.21317011108503386	0.21547869667329056	0.2698764977780691	0.27618628795730127	0.2084922177359035	0.19220288689289527	0.21089313491917946	0.28461323494476926	0.26645735855745817	0.3180041041216471	0.32770322573194577	0.32879301101059555	0.28368511666721885	0.22662468440819183	0.23665141764565434	0.27448953295166534	0.19296939643234273	0.21885219203662307	0.19746087855438746	0.22162140413442566	0.23543927636236406	0.2098109169094863	0.24644481484218805	0.27406839928305354	0.19114632998106829	0.2825595987627247	0.19465923578270722	0.2330273189398296	0.18307084473106744	0.19113404798122008	0.17406239923305894	0.23493627292894734	0.19451069286144118	0.2377979956800938	0.2817005734000694
f2pp	0.16112863200154573	0.1675131235040184	0.18737466443199718	0.23005591091863833	0.2394421126367963	0.1671904381040557	0.19610945400717406	0.14999550795988717	0.09870037346700372	0.0	0.15121770276485108	0.14789193941540085	0.13024991073743547	0.2028316453973938	0.22303283080185374	0.2201912590491583	0.31452654416366743	0.22156311605564494	0.29634839094831267	0.2301121692373471	0.2331736366535265	0.2230241231944287	0.20617779842443162	0.16369716265968315	0.3132434148697524	0.27013665539061893	0.32863754135542955	0.30803895081767496	0.16361283646138125	0.25992975058317214	0.2029483953833075	0.1951713450896075	0.22487818947758798	0.20085116223577695	0.20315974782403362	0.2575575489288122	0.2638673391080444	0.1961732688866466	0.17988393804363836	0.19857418606992255	0.2722942860955123	0.25413840970820123	0.30568515527239015	0.3153842768826889	0.31647406216133867	0.27136616781796197	0.21430573555893492	0.22433246879639743	0.26217058410240845	0.1806504475830858	0.20653324318736616	0.18514192970513055	0.20930245528516872	0.22312032751310712	0.1974919680602294	0.23412586599293114	0.2617494504337966	0.17882738113181137	0.27024064991346775	0.1823402869334503	0.22070837009057268	0.1707518958818105	0.17881509913196314	0.161743450383802	0.22261732407969043	0.18219174401218427	0.2254790468308369	0.26938162455081244
