	s31pp	w10pp	s10pp	S12Hp	530451	w16pp	s16pp	s29pp	S21H1	s9pp	w18pp	s21pp	530055	s12pp	s20pp	S13Hp	s13pp	F7H1	s24pp	S3Hp	S27H1	w11pp	s7pp	S9H1	s1pp	s11pp	s25pp	s19pp	S14Hp	s32pp	S8Hp	S26Hp	s26pp	s22pp	S22Hp	S18H1	S20H1	S11Hp	w15pp	w27pp	s27pp	w4pp	S16H2	s4pp	f16ppA	530331	f8pp	f18pp	F6H1	s3pp	f21pp	f30pp	f14ppB	s14pp	w14pp	f25pp	S19H1	f4pp	f6ppB	w6pp	S1Hp	F23HpA	S4Hp	s18pp	w13pp	s30pp	s17pp	s15pp	w30pp	s2pp	s28pp	S28Hp
s31pp	0.0	0.004705272386713476	0.004705272386713476	0.09427312069039158	0.2722673476645586	0.34120997711098344	0.33312977863518756	0.40877440534539355	0.4079488459317532	0.35715291299905216	0.28744833130655223	0.3626864992313177	0.41251352207366665	0.2140099203394228	0.2665707025727087	0.36172275194250747	0.34862616873635366	0.341932231457376	0.31393185957750874	0.40740979841255254	0.341136284321292	0.30525743446334386	0.3648529167225836	0.4207802819447533	0.3693060673580906	0.30360928715901825	0.25718234261760264	0.2667379675304955	0.37927261078397945	0.37026772086436366	0.4057995129385322	0.3983087450554105	0.4545468603843538	0.39412698384589084	0.43941731307754267	0.43899441286374186	0.4271403822759022	0.40952444255355736	0.3909232322758751	0.4243011274852569	0.4215699940850426	0.3618500334030075	0.5524644916485155	0.3905469898131902	0.4131519717884947	0.8022306198141583	0.34775607856634383	0.4234154541699084	0.49368832505467564	0.3803637427540346	0.471136572808035	0.5221187867835461	0.4785493896822324	0.5024466452561374	0.5258155506235338	0.4822180539802112	0.5039006715324856	0.4961994738030048	0.561733440907529	0.5466232615241507	0.5950423142329392	0.4824275493376098	0.5021662961364262	0.45683387902721245	0.4281828695558223	0.3167748197767374	0.376072832811329	0.40241421284232015	0.33754574129271014	0.2549744794172593	0.31089627303805273	0.3294302064142954
w10pp	0.004705272386713476	0.0	2.00000100005818e-06	0.08977018024915254	0.2677644072233196	0.33670703666974444	0.32862683819394845	0.40427146490415455	0.40344590549051407	0.35264997255781305	0.2829453908653132	0.3581835587900786	0.4080105816324276	0.20950697989818373	0.26206776213146965	0.3572198115012684	0.3441232282951146	0.33742929101613695	0.3094289191362697	0.4029068579713135	0.33663334388005295	0.30075449402210475	0.36034997628134446	0.41627734150351425	0.3648031269168515	0.29910634671777925	0.2526794021763636	0.26223502708925644	0.3747696703427404	0.36576478042312455	0.40129657249729317	0.3938058046141714	0.45004391994311477	0.38962404340465173	0.4349143726363036	0.43449147242250274	0.4226374418346631	0.40502150211231824	0.386420291834636	0.41979818704401783	0.41706705364380353	0.3573470929617685	0.5479615512072764	0.38604404937195114	0.4086490313472556	0.7977276793729193	0.34325313812510483	0.41891251372866933	0.4891853846134366	0.3758608023127955	0.46663363236679595	0.5176158463423071	0.4740464492409933	0.49794370481489825	0.5213126101822947	0.47771511353897217	0.49939773109124663	0.4916965333617657	0.55723050046629	0.5421203210829117	0.5905393737917002	0.47792460889637073	0.4976633556951871	0.4523309385859734	0.4236799291145833	0.3122718793354983	0.37156989237008997	0.39791127240108104	0.3330428008514711	0.25047153897602026	0.3063933325968137	0.3249272659730563
s10pp	0.004705272386713476	2.00000100005818e-06	0.0	0.08977018024915254	0.2677644072233196	0.33670703666974444	0.32862683819394845	0.40427146490415455	0.40344590549051407	0.35264997255781305	0.2829453908653132	0.3581835587900786	0.4080105816324276	0.20950697989818373	0.26206776213146965	0.3572198115012684	0.3441232282951146	0.33742929101613695	0.3094289191362697	0.4029068579713135	0.33663334388005295	0.30075449402210475	0.36034997628134446	0.41627734150351425	0.3648031269168515	0.29910634671777925	0.2526794021763636	0.26223502708925644	0.3747696703427404	0.36576478042312455	0.40129657249729317	0.3938058046141714	0.45004391994311477	0.38962404340465173	0.4349143726363036	0.43449147242250274	0.4226374418346631	0.40502150211231824	0.386420291834636	0.41979818704401783	0.41706705364380353	0.3573470929617685	0.5479615512072764	0.38604404937195114	0.4086490313472556	0.7977276793729193	0.34325313812510483	0.41891251372866933	0.4891853846134366	0.3758608023127955	0.46663363236679595	0.5176158463423071	0.4740464492409933	0.49794370481489825	0.5213126101822947	0.47771511353897217	0.49939773109124663	0.4916965333617657	0.55723050046629	0.5421203210829117	0.5905393737917002	0.47792460889637073	0.4976633556951871	0.4523309385859734	0.4236799291145833	0.3122718793354983	0.37156989237008997	0.39791127240108104	0.3330428008514711	0.25047153897602026	0.3063933325968137	0.3249272659730563
S12Hp	0.09427312069039158	0.08977018024915254	0.08977018024915254	0.0	0.2705362791478346	0.33947890859425944	0.33139871011846345	0.40704333682866956	0.40621777741502907	0.35542184448232805	0.2857172627898282	0.36095543071459363	0.4107824535569426	0.21227885182269873	0.26483963405598465	0.3599916834257834	0.3468951002196296	0.34020116294065195	0.3122007910607847	0.4056787298958285	0.33940521580456795	0.30352636594661975	0.36312184820585947	0.41904921342802925	0.3675749988413665	0.30187821864229425	0.2554512741008786	0.26500689901377145	0.3775415422672554	0.36853665234763955	0.40406844442180817	0.3965776765386864	0.45281579186762977	0.39239591532916673	0.4376862445608186	0.43726334434701775	0.4254093137591781	0.40779337403683324	0.389192163759151	0.42257005896853284	0.41983892556831853	0.3601189648862835	0.5507334231317914	0.38881592129646614	0.4114209032717706	0.8004995512974342	0.34602501004961983	0.42168438565318433	0.4919572565379516	0.3786326742373105	0.46940550429131095	0.520387718266822	0.4768183211655083	0.5007155767394132	0.5240844821068098	0.48048698546348717	0.5021696030157616	0.4944684052862807	0.560002372390805	0.5448921930074266	0.5933112457162151	0.48069648082088573	0.5004352276197022	0.4551028105104884	0.4264518010390983	0.3150437512600133	0.374341764294605	0.40068314432559604	0.3358146727759861	0.25324341090053526	0.3091652045213287	0.3276991378975713
530451	0.2722673476645586	0.2677644072233196	0.2677644072233196	0.2705362791478346	0.0	0.34604775139496097	0.337967552919165	0.4136121796293711	0.41278662021573065	0.36199068728302963	0.2922861055905297	0.36752427351529515	0.4173512963576441	0.2188476946234003	0.2714084768566862	0.36656052622648494	0.35346394302033113	0.3467700057413535	0.31876963386148627	0.41224757269653	0.34597405860526953	0.3100952087473213	0.36969069100656105	0.42561805622873083	0.37414384164206804	0.3084470614429958	0.26202011690158017	0.27157574181447297	0.3841103850679569	0.37510549514834113	0.4106372872225097	0.40314651933938794	0.45938463466833135	0.3989647581298683	0.4442550873615202	0.4438321871477193	0.4319781565598797	0.4143622168375348	0.3957610065598526	0.4291389017692344	0.42640776836902006	0.366687807686985	0.557302265932493	0.3953847640971677	0.4179897460724722	0.8070683940981358	0.35259385285032135	0.4282532284538859	0.4985260993386531	0.3852015170380121	0.4759743470920125	0.5269565610675235	0.48338716396620984	0.5072844195401148	0.5306533249075113	0.4870558282641887	0.5087384458164632	0.5010372480869822	0.5665712151915065	0.5514610358081282	0.5998800885169167	0.48726532362158725	0.5070040704204036	0.46167165331119	0.4330206438397998	0.32161259406071485	0.3809106070953065	0.4072519871262976	0.3423835155766876	0.2598122537012368	0.3157340473220302	0.33426798069827285
w16pp	0.34120997711098344	0.33670703666974444	0.33670703666974444	0.33947890859425944	0.34604775139496097	0.0	0.10989173265658245	0.1855363593667885	0.1847107999531481	0.13391486702044708	0.19061487120921278	0.2658530391339783	0.3156800619763272	0.1515068014451982	0.2543131491936422	0.38130344752068446	0.36820686431453065	0.36151292703555304	0.3335125551556858	0.4269904939907295	0.36071697989946905	0.32483813004152085	0.38443361230076056	0.44036097752293035	0.38888676293626756	0.3231899827371953	0.2767630381957797	0.2863186631086725	0.39885330636215643	0.38984841644254065	0.4253802085167092	0.41788944063358746	0.47412755596253087	0.41370767942406783	0.4589980086557197	0.45857510844191884	0.4467210778540792	0.42910513813173434	0.4105039278540521	0.44388182306343393	0.4411506896632196	0.3814307289811845	0.5720451872266925	0.41012768539136724	0.4327326673666717	0.8218113153923353	0.3673367741445209	0.44299614974808543	0.5132690206328526	0.3999444383322116	0.490717268386212	0.541699482361723	0.49813008526040936	0.5220273408343143	0.5453962462017108	0.5017987495583882	0.5234813671106627	0.5157801693811818	0.5813141364857061	0.5662039571023277	0.6146230098111162	0.5020082449157868	0.5217469917146031	0.4764145746053895	0.44776356513399934	0.33635551535491437	0.395653528389506	0.42199490842049714	0.35712643687088713	0.2745551749954363	0.3304769686162297	0.34901090199247237
s16pp	0.33312977863518756	0.32862683819394845	0.32862683819394845	0.33139871011846345	0.337967552919165	0.10989173265658245	0.0	0.13118183419737112	0.1303562747837307	0.0795603418510297	0.18253467273341684	0.2577728406581823	0.30759986350053126	0.14342660296940227	0.24623295071784623	0.37322324904488857	0.36012666583873476	0.35343272855975705	0.3254323566798898	0.41891029551493364	0.35263678142367305	0.3167579315657249	0.3763534138249646	0.43228077904713436	0.3808065644604717	0.31510978426139935	0.26868283971998375	0.2782384646328766	0.39077310788636055	0.3817682179667447	0.4173000100409133	0.4098092421577916	0.46604735748673487	0.4056274809482719	0.4509178101799237	0.4504949099661229	0.4386408793782832	0.4210249396559384	0.40242372937825616	0.43580162458763794	0.4330704911874237	0.3733505305053886	0.5639649887508965	0.40204748691557124	0.42465246889087577	0.8137311169165394	0.35925657566872493	0.43491595127228944	0.5051888221570567	0.39186423985641566	0.4826370699104161	0.5336192838859272	0.4900498867846135	0.5139471423585183	0.5373160477259149	0.4937185510825923	0.5154011686348667	0.5076999709053859	0.5732339380099101	0.5581237586265319	0.6065428113353203	0.4939280464399909	0.5136667932388073	0.4683343761295935	0.4396833666582034	0.32827531687911843	0.3875733299137101	0.41391470994470114	0.3490462383950912	0.26647497651964036	0.3223967701404338	0.3409307035166764
s29pp	0.40877440534539355	0.40427146490415455	0.40427146490415455	0.40704333682866956	0.4136121796293711	0.1855363593667885	0.13118183419737112	0.0	0.11471294806458479	0.08509992319691427	0.2581792994436229	0.3334174673683884	0.3832444902107373	0.21907122967960832	0.3218775774280523	0.4488678757550946	0.4357712925489408	0.42907735526996316	0.4010769833900959	0.4945549222251397	0.42828140813387916	0.39240255827593096	0.4519980405351707	0.5079254057573405	0.45645119117067773	0.39075441097160546	0.3443274664301898	0.35388309134308266	0.4664177345965666	0.45741284467695076	0.4929446367511194	0.48545386886799763	0.541691984196941	0.48127210765847794	0.5265624368901298	0.526139536676329	0.5142855060884893	0.49666956636614445	0.4780683560884622	0.511446251297844	0.5087151178976297	0.4489951572155947	0.6396096154611026	0.47769211362577735	0.5002970956010818	0.8893757436267455	0.43490120237893104	0.5105605779824955	0.5808334488672628	0.4675088665666217	0.5582816966206221	0.6092639105961333	0.5656945134948195	0.5895917690687245	0.6129606744361209	0.5693631777927983	0.5910457953450728	0.583344597615592	0.6488785647201162	0.633768385336738	0.6821874380455264	0.5695726731501969	0.5893114199490133	0.5439790028397996	0.5153279933684095	0.40391994358932454	0.4632179566239162	0.48955933665490725	0.4246908651052973	0.34211960322984647	0.3980413968506399	0.41657533022688253
S21H1	0.4079488459317532	0.40344590549051407	0.40344590549051407	0.40621777741502907	0.41278662021573065	0.1847107999531481	0.1303562747837307	0.11471294806458479	0.0	0.08427436378327387	0.25735374002998246	0.3325919079547479	0.3824189307970969	0.2182456702659679	0.32105201801441186	0.4480423163414542	0.4349457331353004	0.4282517958563227	0.40025142397645547	0.49372936281149926	0.42745584872023873	0.3915769988622906	0.4511724811215303	0.5070998463437	0.4556256317570373	0.389928851557965	0.34350190701654937	0.3530575319294422	0.46559217518292617	0.4565872852633104	0.49211907733747895	0.4846283094543572	0.5408664247833006	0.48044654824483757	0.5257368774764895	0.5253139772626886	0.5134599466748488	0.4958440069525041	0.47724279667482183	0.5106206918842036	0.5078895584839893	0.4481695978019542	0.6387840560474622	0.4768665542121369	0.49947153618744144	0.888550184213105	0.43407564296529055	0.5097350185688552	0.5800078894536224	0.46668330715298134	0.5574561372069817	0.6084383511824928	0.5648689540811791	0.5887662096550841	0.6121351150224805	0.568537618379158	0.5902202359314324	0.5825190382019515	0.6480530053064757	0.6329428259230975	0.6813618786318859	0.5687471137365565	0.5884858605353729	0.5431534434261591	0.514502433954769	0.4030943841756841	0.46239239721027575	0.4887337772412669	0.42386530569165687	0.34129404381620604	0.39721583743699945	0.4157497708132421
s9pp	0.35715291299905216	0.35264997255781305	0.35264997255781305	0.35542184448232805	0.36199068728302963	0.13391486702044708	0.0795603418510297	0.08509992319691427	0.08427436378327387	0.0	0.20655780709728144	0.2817959750220469	0.33162299786439586	0.16744973733326687	0.27025608508171084	0.3972463834087532	0.38414980020259937	0.37745586292362165	0.3494554910437544	0.44293342987879825	0.37665991578753766	0.3407810659295895	0.40037654818882923	0.45630391341099896	0.4048296988243363	0.33913291862526396	0.29270597408384835	0.3022615989967412	0.41479624225022516	0.4057913523306093	0.44132314440477793	0.4338323765216562	0.4900704918505995	0.4296506153121365	0.4749409445437883	0.4745180443299875	0.46266401374214783	0.445048074019803	0.42644686374212076	0.45982475895150254	0.4570936255512883	0.3973736648692532	0.5879881231147611	0.42607062127943585	0.4486756032547404	0.837754251280404	0.38327971003258954	0.45893908563615404	0.5292119565209213	0.41588737422028027	0.5066602042742807	0.5576424182497918	0.5140730211484781	0.537970276722383	0.5613391820897795	0.5177416854464569	0.5394243029987313	0.5317231052692505	0.5972570723737747	0.5821468929903965	0.6305659456991849	0.5179511808038555	0.5376899276026719	0.4923575104934581	0.463706501022068	0.35229845124298304	0.4115964642775747	0.43793784430856575	0.3730693727589558	0.29049811088350497	0.3464199045042984	0.36495383788054103
